time,Miami,pts.away,score,pts.home,Orlando
0:36.0,,,23-32,,Offensive rebound by Team
0:36.0,,,23-33,1,J. Green makes free throw 2 of 2
0:25.0,,,23-33,,Personal foul by M. Hezonja (drawn by J. Richardson)
0:25.0,J. Richardson makes free throw 1 of 2,1,24-33,,
0:25.0,J. Richardson makes free throw 2 of 2,1,25-33,,
0:00.0,,,25-33,,D. Augustin misses 3-pt shot from 26 ft
0:00.0,,,25-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,25-33,,J. Green misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by H. Whiteside,,25-33,,
11:31.0,Shooting foul by C. Watson (drawn by G. Dragic),,25-33,,
11:31.0,G. Dragic makes free throw 1 of 2,1,26-33,,
11:31.0,G. Dragic makes free throw 2 of 2,1,27-33,,
11:19.0,,,27-33,,D. Augustin misses 2-pt shot from 20 ft
11:18.0,Defensive rebound by H. Whiteside,,27-33,,
11:10.0,,,27-33,,Personal foul by J. Green (drawn by G. Dragic)
11:00.0,T. Johnson makes 2-pt shot from 5 ft,2,29-33,,
10:39.0,,,29-35,2,J. Green makes 2-pt shot from 3 ft
10:15.0,G. Dragic makes 2-pt shot from 18 ft,2,31-35,,
10:00.0,,,31-35,,Shooting foul by J. Richardson (drawn by M. Hezonja)
10:00.0,,,31-36,1,M. Hezonja makes free throw 1 of 2
10:00.0,,,31-37,1,M. Hezonja makes free throw 2 of 2
9:47.0,J. Johnson makes 2-pt shot from 5 ft,2,33-37,,
9:27.0,,,33-39,2,J. Green makes 2-pt shot from 18 ft (assist by C. Watson)
9:10.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,35-39,,
9:10.0,,,35-39,,Orlando full timeout
9:10.0,,,35-39,,T. Ross enters the game for C. Watson
9:10.0,O. White enters the game for G. Dragic,,35-39,,
9:10.0,W. Ellington enters the game for J. Johnson,,35-39,,
8:51.0,,,35-39,,M. Hezonja misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by T. Johnson,,35-39,,
8:40.0,T. Johnson misses 2-pt shot from 10 ft,,35-39,,
8:38.0,,,35-39,,Defensive rebound by D. Augustin
8:28.0,,,35-39,,T. Ross misses 3-pt shot from 25 ft
8:28.0,,,35-39,,Offensive rebound by Team
8:28.0,Loose ball foul by J. Richardson (drawn by B. Biyombo),,35-39,,
8:28.0,D. Waiters enters the game for J. Richardson,,35-39,,
8:22.0,,,35-41,2,B. Biyombo makes 2-pt shot at rim (assist by T. Ross)
8:02.0,W. Ellington makes 3-pt shot from 22 ft (assist by D. Waiters),3,38-41,,
7:46.0,,,38-41,,Shooting foul by T. Johnson (drawn by D. Augustin)
7:46.0,,,38-42,1,D. Augustin makes free throw 1 of 2
7:46.0,,,38-43,1,D. Augustin makes free throw 2 of 2
7:46.0,,,38-42,,E. Fournier enters the game for M. Hezonja
7:31.0,W. Ellington misses 3-pt shot from 26 ft,,38-43,,
7:31.0,,,38-43,,Defensive rebound by T. Ross
7:22.0,,,38-43,,D. Augustin misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by H. Whiteside,,38-43,,
7:04.0,O. White misses 3-pt shot from 25 ft,,38-43,,
7:04.0,,,38-43,,Defensive rebound by E. Fournier
6:58.0,,,38-45,2,J. Green makes 2-pt shot from 2 ft (assist by E. Fournier)
6:51.0,Miami full timeout,,38-45,,
6:51.0,J. Johnson enters the game for O. White,,38-45,,
6:43.0,D. Waiters misses 3-pt shot from 26 ft,,38-45,,
6:43.0,,,38-45,,Defensive rebound by J. Green
6:21.0,,,38-45,,J. Green misses 2-pt shot from 16 ft
6:21.0,Defensive rebound by H. Whiteside,,38-45,,
6:10.0,H. Whiteside makes 2-pt shot from 8 ft (assist by T. Johnson),2,40-45,,
5:53.0,,,40-47,2,T. Ross makes 2-pt shot from 18 ft (assist by J. Green)
5:37.0,J. Johnson makes 2-pt shot from 20 ft (assist by T. Johnson),2,42-47,,
5:36.0,,,42-47,,Orlando full timeout
5:36.0,,,42-47,,E. Payton enters the game for D. Augustin
5:36.0,,,42-47,,A. Gordon enters the game for J. Green
5:36.0,,,42-47,,N. Vucevic enters the game for B. Biyombo
5:25.0,,,42-49,2,T. Ross makes 2-pt shot from 17 ft (assist by E. Fournier)
5:05.0,T. Johnson misses 2-pt shot from 6 ft,,42-49,,
5:05.0,Offensive rebound by T. Johnson,,42-49,,
5:05.0,T. Johnson misses 2-pt shot from 6 ft,,42-49,,
5:02.0,,,42-49,,Defensive rebound by E. Payton
4:52.0,,,42-49,,E. Fournier misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by W. Ellington,,42-49,,
4:41.0,T. Johnson misses 3-pt shot from 23 ft,,42-49,,
4:40.0,Offensive rebound by J. Johnson,,42-49,,
4:39.0,J. Johnson makes 2-pt shot from 1 ft,2,44-49,,
4:31.0,,,44-51,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
4:16.0,D. Waiters misses 3-pt shot from 25 ft,,44-51,,
4:16.0,Offensive rebound by H. Whiteside,,44-51,,
4:16.0,Shooting foul by N. Vucevic (drawn by H. Whiteside),,44-51,,
4:16.0,H. Whiteside makes free throw 1 of 2,1,45-51,,
4:16.0,H. Whiteside misses free throw 2 of 2,,45-51,,
4:16.0,G. Dragic enters the game for T. Johnson,,45-51,,
4:16.0,R. McGruder enters the game for W. Ellington,,45-51,,
4:14.0,,,45-51,,Defensive rebound by A. Gordon
4:04.0,,,45-53,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Fournier)
3:42.0,R. McGruder makes 3-pt shot from 24 ft (assist by D. Waiters),3,48-53,,
3:31.0,Personal foul by G. Dragic (drawn by E. Payton),,48-53,,
3:31.0,W. Reed enters the game for H. Whiteside,,48-53,,
3:27.0,,,48-53,,Turnover by E. Payton (lost ball)
3:05.0,D. Waiters misses 2-pt shot from 20 ft,,48-53,,
3:04.0,,,48-53,,Defensive rebound by E. Payton
2:48.0,,,48-55,2,E. Fournier makes 2-pt shot from 2 ft
2:27.0,D. Waiters makes 2-pt shot at rim,2,50-55,,
2:19.0,,,50-55,,E. Payton misses 2-pt shot from 3 ft (block by W. Reed)
2:18.0,,,50-55,,Offensive rebound by A. Gordon
2:05.0,,,50-55,,E. Payton misses 2-pt shot from 11 ft
2:05.0,Defensive rebound by G. Dragic,,50-55,,
2:01.0,Turnover by G. Dragic (lost ball; steal by E. Payton),,50-55,,
1:56.0,,,50-55,,Turnover by E. Payton (lost ball; steal by G. Dragic)
1:50.0,R. McGruder makes 3-pt shot from 24 ft (assist by J. Johnson),3,53-55,,
1:28.0,,,53-55,,A. Gordon misses 3-pt shot from 24 ft
1:27.0,Defensive rebound by W. Reed,,53-55,,
1:18.0,D. Waiters misses 2-pt shot from 11 ft,,53-55,,
1:17.0,,,53-55,,Defensive rebound by T. Ross
1:07.0,,,53-58,3,A. Gordon makes 3-pt shot from 24 ft (assist by T. Ross)
0:49.0,G. Dragic misses 3-pt shot from 26 ft,,53-58,,
0:47.0,,,53-58,,Defensive rebound by A. Gordon
0:41.0,,,53-60,2,A. Gordon makes 2-pt shot from 1 ft
0:34.0,Miami full timeout,,53-60,,
0:34.0,H. Whiteside enters the game for W. Reed,,53-60,,
0:34.0,,,53-60,,C. Watson enters the game for E. Fournier
0:22.0,D. Waiters misses 3-pt shot from 27 ft,,53-60,,
0:17.0,,,53-60,,Defensive rebound by Team
0:03.0,,,53-60,,A. Gordon misses 3-pt shot from 28 ft
0:01.0,Defensive rebound by H. Whiteside,,53-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,53-62,2,T. Ross makes 2-pt shot from 8 ft
11:24.0,R. McGruder misses 2-pt shot from 6 ft (block by N. Vucevic),,53-62,,
11:23.0,,,53-62,,Defensive rebound by E. Payton
11:16.0,,,53-62,,A. Gordon misses 2-pt shot from 8 ft
11:15.0,,,53-62,,Offensive rebound by A. Gordon
11:15.0,,,53-62,,A. Gordon misses 2-pt shot from 3 ft
11:14.0,Defensive rebound by H. Whiteside,,53-62,,
11:01.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,55-62,,
10:41.0,Personal foul by H. Whiteside (drawn by E. Payton),,55-62,,
10:27.0,,,55-62,,E. Fournier misses 2-pt shot from 2 ft
10:27.0,Defensive rebound by H. Whiteside,,55-62,,
10:16.0,G. Dragic misses 2-pt shot from 11 ft,,55-62,,
10:15.0,,,55-62,,Defensive rebound by Team
9:57.0,,,55-65,3,N. Vucevic makes 3-pt shot from 26 ft (assist by E. Payton)
9:41.0,D. Waiters misses 3-pt shot from 25 ft,,55-65,,
9:40.0,,,55-65,,Defensive rebound by E. Payton
9:24.0,,,55-67,2,N. Vucevic makes 2-pt shot from 8 ft (assist by T. Ross)
9:16.0,Shooting foul by E. Payton (drawn by G. Dragic),,55-67,,
9:16.0,G. Dragic makes free throw 1 of 3,1,56-67,,
9:16.0,G. Dragic makes free throw 2 of 3,1,57-67,,
9:16.0,G. Dragic makes free throw 3 of 3,1,58-67,,
9:03.0,,,58-69,2,E. Fournier makes 2-pt shot from 16 ft
8:47.0,D. Waiters misses 2-pt shot from 1 ft,,58-69,,
8:47.0,,,58-69,,Defensive rebound by Team
8:35.0,,,58-71,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
8:35.0,,,58-71,,Shooting foul by H. Whiteside (drawn by E. Fournier)
8:35.0,,,58-72,1,E. Fournier makes free throw 1 of 1
8:35.0,Miami full timeout,,58-72,,
8:35.0,J. Johnson enters the game for L. Babbitt,,58-72,,
8:35.0,T. Johnson enters the game for H. Whiteside,,58-72,,
8:35.0,W. Reed enters the game for D. Waiters,,58-72,,
8:21.0,T. Johnson makes 2-pt shot from 20 ft (assist by J. Johnson),2,60-72,,
8:05.0,,,60-74,2,N. Vucevic makes 2-pt shot from 8 ft
7:50.0,W. Reed misses 2-pt shot from 2 ft (block by N. Vucevic),,60-74,,
7:49.0,Offensive rebound by W. Reed,,60-74,,
7:47.0,W. Reed misses 2-pt shot from 1 ft (block by A. Gordon),,60-74,,
7:45.0,Offensive rebound by G. Dragic,,60-74,,
7:38.0,J. Johnson misses 3-pt shot from 25 ft,,60-74,,
7:37.0,,,60-74,,Defensive rebound by E. Payton
7:30.0,,,60-74,,Turnover by A. Gordon (bad pass; steal by J. Johnson)
7:22.0,G. Dragic misses 2-pt shot from 21 ft,,60-74,,
7:21.0,,,60-74,,Defensive rebound by E. Payton
7:13.0,,,60-76,2,E. Payton makes 2-pt shot from 1 ft
6:56.0,Shooting foul by E. Payton (drawn by T. Johnson),,60-76,,
6:56.0,T. Johnson makes free throw 1 of 2,1,61-76,,
6:56.0,T. Johnson makes free throw 2 of 2,1,62-76,,
6:56.0,J. Richardson enters the game for R. McGruder,,61-76,,
6:45.0,,,62-78,2,N. Vucevic makes 2-pt shot from 6 ft (assist by T. Ross)
6:45.0,,,62-78,,Shooting foul by T. Johnson (drawn by N. Vucevic)
6:45.0,,,62-79,1,N. Vucevic makes free throw 1 of 1
6:30.0,T. Johnson misses 3-pt shot from 24 ft,,62-79,,
6:30.0,Offensive rebound by J. Johnson,,62-79,,
6:24.0,T. Johnson misses 2-pt shot from 9 ft (block by N. Vucevic),,62-79,,
6:23.0,Offensive rebound by J. Johnson,,62-79,,
6:13.0,J. Johnson makes 2-pt shot from 2 ft,2,64-79,,
5:53.0,,,64-81,2,E. Payton makes 2-pt shot from 5 ft
5:34.0,G. Dragic misses 3-pt shot from 26 ft,,64-81,,
5:33.0,,,64-81,,Defensive rebound by E. Fournier
5:23.0,,,64-81,,N. Vucevic misses 2-pt shot from 9 ft
5:23.0,Defensive rebound by Team,,64-81,,
5:12.0,Turnover by W. Reed (bad pass; steal by T. Ross),,64-81,,
5:08.0,,,64-81,,Turnover by T. Ross (lost ball; steal by T. Johnson)
4:58.0,T. Johnson misses 2-pt shot from 4 ft (block by T. Ross),,64-81,,
4:57.0,Offensive rebound by Team,,64-81,,
4:42.0,J. Johnson misses 2-pt shot from 15 ft,,64-81,,
4:41.0,Offensive rebound by W. Reed,,64-81,,
4:39.0,Turnover by W. Reed (lost ball; steal by E. Payton),,64-81,,
4:29.0,,,64-83,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
4:10.0,W. Reed makes 2-pt shot from 9 ft (assist by T. Johnson),2,66-83,,
3:59.0,,,66-85,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
3:39.0,Turnover by W. Reed (bad pass; steal by N. Vucevic),,66-85,,
3:34.0,,,66-85,,E. Payton misses 2-pt shot from 5 ft
3:33.0,Defensive rebound by W. Reed,,66-85,,
3:25.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic),3,69-85,,
3:25.0,,,69-85,,Orlando full timeout
3:25.0,H. Whiteside enters the game for G. Dragic,,69-85,,
3:25.0,W. Ellington enters the game for J. Johnson,,69-85,,
3:25.0,J. Johnson enters the game for W. Reed,,69-85,,
3:25.0,,,69-85,,M. Hezonja enters the game for T. Ross
3:25.0,,,69-85,,D. Augustin enters the game for E. Payton
3:09.0,,,69-85,,E. Fournier misses 2-pt shot from 6 ft
3:08.0,Defensive rebound by H. Whiteside,,69-85,,
2:53.0,T. Johnson makes 2-pt shot from 5 ft,2,71-85,,
2:29.0,,,71-85,,N. Vucevic misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by W. Ellington,,71-85,,
2:20.0,J. Richardson misses 3-pt shot from 22 ft,,71-85,,
2:20.0,,,71-85,,Defensive rebound by D. Augustin
2:10.0,,,71-85,,Turnover by A. Gordon (lost ball; steal by J. Johnson)
1:54.0,Turnover by J. Richardson (traveling),,71-85,,
1:54.0,,,71-85,,B. Biyombo enters the game for A. Gordon
1:54.0,,,71-85,,J. Green enters the game for N. Vucevic
1:54.0,,,71-85,,C. Watson enters the game for E. Fournier
1:34.0,,,71-85,,J. Green misses 2-pt shot from 20 ft
1:34.0,Defensive rebound by T. Johnson,,71-85,,
1:25.0,H. Whiteside misses 2-pt shot from 12 ft,,71-85,,
1:24.0,,,71-85,,Defensive rebound by J. Green
1:01.0,,,71-85,,D. Augustin misses 2-pt shot from 9 ft
1:00.0,,,71-85,,Offensive rebound by D. Augustin
1:00.0,,,71-85,,D. Augustin misses 2-pt shot from 3 ft (block by T. Johnson)
0:59.0,,,71-85,,Offensive rebound by B. Biyombo
0:56.0,,,71-85,,B. Biyombo misses 2-pt shot from 7 ft
0:54.0,Defensive rebound by T. Johnson,,71-85,,
0:43.0,H. Whiteside makes 2-pt shot from 6 ft,2,73-85,,
0:20.0,,,73-85,,Turnover by J. Green (lost ball; steal by T. Johnson)
0:13.0,T. Johnson misses 2-pt shot from 7 ft,,73-85,,
0:13.0,,,73-85,,Defensive rebound by M. Hezonja
0:00.0,,,73-85,,C. Watson misses 2-pt shot from 20 ft
0:00.0,,,73-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Shooting foul by B. Biyombo (drawn by H. Whiteside),,73-85,,
11:43.0,H. Whiteside makes free throw 1 of 2,1,74-85,,
11:43.0,H. Whiteside makes free throw 2 of 2,1,75-85,,
11:27.0,,,75-88,3,D. Augustin makes 3-pt shot from 25 ft (assist by C. Watson)
11:11.0,W. Ellington makes 2-pt shot from 18 ft (assist by J. Johnson),2,77-88,,
10:56.0,,,77-88,,M. Hezonja misses 2-pt shot at rim (block by J. Johnson)
10:55.0,Defensive rebound by J. Richardson,,77-88,,
10:45.0,J. Johnson misses 2-pt shot from 20 ft,,77-88,,
10:43.0,,,77-88,,Defensive rebound by C. Watson
10:35.0,,,77-88,,C. Watson misses 2-pt shot from 21 ft
10:34.0,Defensive rebound by H. Whiteside,,77-88,,
10:28.0,Turnover by W. Ellington (bad pass),,77-88,,
10:12.0,,,77-91,3,D. Augustin makes 3-pt shot from 25 ft (assist by C. Watson)
9:54.0,W. Ellington makes 2-pt shot from 17 ft (assist by T. Johnson),2,79-91,,
9:30.0,,,79-93,2,J. Green makes 2-pt shot from 9 ft
9:07.0,J. Johnson misses 3-pt shot from 26 ft,,79-93,,
9:06.0,,,79-93,,Defensive rebound by B. Biyombo
9:00.0,,,79-95,2,J. Green makes 2-pt shot from 2 ft (assist by D. Augustin)
9:00.0,Miami full timeout,,79-95,,
9:00.0,G. Dragic enters the game for T. Johnson,,79-95,,
9:00.0,,,79-95,,T. Ross enters the game for C. Watson
8:47.0,W. Ellington misses 3-pt shot from 25 ft,,79-95,,
8:46.0,,,79-95,,Defensive rebound by M. Hezonja
8:32.0,,,79-95,,M. Hezonja misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by J. Johnson,,79-95,,
8:23.0,J. Johnson makes 2-pt shot from 8 ft,2,81-95,,
8:05.0,,,81-95,,D. Augustin misses 3-pt shot from 24 ft
8:05.0,Defensive rebound by H. Whiteside,,81-95,,
7:58.0,W. Ellington misses 3-pt shot from 24 ft,,81-95,,
7:57.0,Offensive rebound by G. Dragic,,81-95,,
7:53.0,G. Dragic misses 3-pt shot from 24 ft,,81-95,,
7:53.0,,,81-95,,Defensive rebound by T. Ross
7:39.0,,,81-95,,B. Biyombo misses 2-pt shot from 2 ft
7:39.0,Defensive rebound by H. Whiteside,,81-95,,
7:31.0,H. Whiteside misses 2-pt shot from 21 ft,,81-95,,
7:29.0,,,81-95,,Defensive rebound by M. Hezonja
7:08.0,,,81-95,,T. Ross misses 2-pt shot from 10 ft
7:08.0,Defensive rebound by J. Richardson,,81-95,,
7:00.0,G. Dragic makes 2-pt shot from 2 ft,2,83-95,,
7:00.0,,,83-95,,Orlando full timeout
7:00.0,L. Babbitt enters the game for J. Johnson,,83-95,,
7:00.0,,,83-95,,E. Fournier enters the game for M. Hezonja
7:00.0,,,83-95,,N. Vucevic enters the game for J. Green
7:00.0,,,83-95,,A. Gordon enters the game for B. Biyombo
6:36.0,,,83-95,,N. Vucevic misses 2-pt shot from 22 ft
6:36.0,Defensive rebound by J. Richardson,,83-95,,
6:22.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,85-95,,
6:03.0,,,85-95,,N. Vucevic misses 2-pt shot from 1 ft
6:02.0,Defensive rebound by H. Whiteside,,85-95,,
5:53.0,G. Dragic misses 2-pt shot from 7 ft,,85-95,,
5:52.0,,,85-95,,Defensive rebound by N. Vucevic
5:42.0,,,85-95,,Turnover by D. Augustin (bad pass; steal by W. Ellington)
5:36.0,W. Ellington makes 2-pt shot from 1 ft,2,87-95,,
5:15.0,,,87-95,,A. Gordon misses 2-pt shot from 11 ft
5:14.0,Defensive rebound by H. Whiteside,,87-95,,
5:00.0,G. Dragic misses 2-pt shot from 7 ft,,87-95,,
5:00.0,,,87-95,,Defensive rebound by T. Ross
4:48.0,,,87-97,2,N. Vucevic makes 2-pt shot from 7 ft (assist by D. Augustin)
4:28.0,H. Whiteside makes 2-pt shot from 19 ft,2,89-97,,
4:08.0,,,89-97,,N. Vucevic misses 2-pt shot from 19 ft
4:07.0,Defensive rebound by G. Dragic,,89-97,,
4:00.0,Shooting foul by D. Augustin (drawn by G. Dragic),,89-97,,
4:00.0,G. Dragic misses free throw 1 of 3,,89-97,,
4:00.0,Offensive rebound by Team,,89-97,,
4:00.0,G. Dragic makes free throw 2 of 3,1,90-97,,
4:00.0,G. Dragic makes free throw 3 of 3,1,91-97,,
