time,Washington,pts.away,score,pts.home,Minnesota
5:20.0,Offensive rebound by M. Morris,,40-54,,
5:18.0,M. Morris makes 2-pt shot at rim,2,42-54,,
5:05.0,,,42-54,,S. Muhammad misses 2-pt shot from 11 ft
5:04.0,Defensive rebound by B. Beal,,42-54,,
5:00.0,Turnover by B. Bogdanovic (step out of bounds),,42-54,,
5:00.0,,,42-54,,Minnesota full timeout
5:00.0,,,42-54,,B. Rush enters the game for S. Muhammad
5:00.0,,,42-54,,G. Dieng enters the game for N. Bjelica
5:00.0,M. Gortat enters the game for I. Mahinmi,,42-54,,
4:45.0,,,42-54,,B. Rush misses 2-pt shot from 1 ft
4:44.0,Defensive rebound by B. Beal,,42-54,,
4:38.0,B. Beal makes 3-pt shot from 52 ft (assist by J. Wall),3,45-54,,
4:21.0,,,45-54,,A. Wiggins misses 2-pt shot from 6 ft
4:21.0,Defensive rebound by M. Morris,,45-54,,
4:14.0,J. Wall misses 2-pt shot from 10 ft,,45-54,,
4:13.0,,,45-54,,Defensive rebound by K. Towns
3:55.0,,,45-56,2,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio)
3:33.0,M. Morris makes 2-pt shot from 5 ft,2,47-56,,
3:20.0,,,47-56,,Shooting foul by M. Morris (drawn by R. Rubio)
3:20.0,,,47-57,1,R. Rubio makes free throw 1 of 2
3:20.0,,,47-58,1,R. Rubio makes free throw 2 of 2
3:20.0,O. Porter enters the game for B. Bogdanovic,,47-57,,
3:02.0,M. Morris misses 2-pt shot from 10 ft,,47-58,,
3:01.0,,,47-58,,Defensive rebound by K. Towns
2:49.0,,,47-60,2,G. Dieng makes 2-pt shot from 12 ft (assist by B. Rush)
2:44.0,Washington full timeout,,47-60,,
2:29.0,B. Beal makes 2-pt shot from 20 ft,2,49-60,,
2:17.0,,,49-60,,Turnover by B. Rush (lost ball)
2:07.0,B. Beal misses 3-pt shot from 25 ft,,49-60,,
2:06.0,,,49-60,,Defensive rebound by B. Rush
1:45.0,,,49-60,,G. Dieng misses 2-pt shot from 18 ft
1:44.0,Defensive rebound by B. Beal,,49-60,,
1:41.0,J. Wall misses 2-pt shot from 3 ft (block by G. Dieng),,49-60,,
1:39.0,Offensive rebound by Team,,49-60,,
1:29.0,J. Wall misses 2-pt shot from 22 ft,,49-60,,
1:28.0,,,49-60,,Defensive rebound by R. Rubio
1:22.0,,,49-60,,Turnover by G. Dieng (lost ball)
1:14.0,,,49-60,,Violation by G. Dieng (kicked ball)
1:04.0,B. Beal misses 3-pt shot from 25 ft,,49-60,,
1:03.0,,,49-60,,Defensive rebound by A. Wiggins
0:50.0,,,49-62,2,R. Rubio makes 2-pt shot from 14 ft
0:49.0,Shooting foul by R. Rubio (drawn by J. Wall),,49-62,,
0:49.0,J. Wall makes free throw 1 of 2,1,50-62,,
0:49.0,J. Wall makes free throw 2 of 2,1,51-62,,
0:38.0,,,51-62,,Technical foul by Team
0:38.0,J. Wall makes technical free throw,1,52-62,,
0:31.0,,,52-62,,A. Wiggins misses 2-pt shot from 15 ft
0:30.0,Defensive rebound by M. Gortat,,52-62,,
0:26.0,J. Wall makes 2-pt shot at rim,2,54-62,,
0:07.0,,,54-64,2,K. Towns makes 2-pt shot from 15 ft (assist by R. Rubio)
0:02.0,B. Beal makes 2-pt shot from 1 ft,2,56-64,,
0:01.0,,,56-64,,R. Rubio misses 3-pt shot from 45 ft
0:00.0,,,56-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal block foul by M. Gortat (drawn by A. Wiggins),,56-64,,
11:46.0,,,56-64,,Shooting foul by O. Porter (drawn by A. Wiggins)
11:46.0,,,56-65,1,A. Wiggins makes free throw 1 of 2
11:46.0,,,56-66,1,A. Wiggins makes free throw 2 of 2
11:31.0,O. Porter misses 2-pt shot from 20 ft,,56-66,,
11:30.0,,,56-66,,Defensive rebound by G. Dieng
11:16.0,,,56-66,,A. Wiggins misses 2-pt shot from 12 ft
11:15.0,Defensive rebound by O. Porter,,56-66,,
11:02.0,B. Beal makes 2-pt shot from 1 ft,2,58-66,,
10:49.0,,,58-66,,Turnover by R. Rubio (bad pass; steal by O. Porter)
10:48.0,,,58-66,,Personal foul by R. Rubio (drawn by B. Beal)
10:34.0,B. Beal misses 3-pt shot from 24 ft,,58-66,,
10:33.0,,,58-66,,Defensive rebound by K. Towns
10:22.0,,,58-66,,A. Wiggins misses 2-pt shot from 14 ft
10:21.0,Defensive rebound by M. Gortat,,58-66,,
10:15.0,J. Wall makes 2-pt shot from 2 ft,2,60-66,,
9:48.0,,,60-69,3,R. Rubio makes 3-pt shot from 25 ft
9:27.0,J. Wall makes 2-pt shot from 2 ft,2,62-69,,
9:14.0,,,62-71,2,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio)
8:49.0,J. Wall misses 2-pt shot from 19 ft,,62-71,,
8:48.0,,,62-71,,Defensive rebound by K. Towns
8:34.0,,,62-71,,Shooting foul by B. Beal (drawn by A. Wiggins)
8:34.0,,,62-71,,A. Wiggins misses free throw 1 of 2
8:34.0,,,62-71,,Offensive rebound by Team
8:34.0,,,62-72,1,A. Wiggins makes free throw 2 of 2
8:22.0,M. Morris misses 2-pt shot from 20 ft,,62-72,,
8:21.0,,,62-72,,Defensive rebound by G. Dieng
8:06.0,,,62-74,2,K. Towns makes 2-pt shot from 10 ft
7:52.0,O. Porter makes 2-pt shot from 2 ft,2,64-74,,
7:36.0,,,64-74,,Turnover by B. Rush (lost ball; steal by J. Wall)
7:35.0,,,64-74,,Personal foul by G. Dieng (drawn by J. Wall)
7:24.0,Shooting foul by A. Wiggins (drawn by J. Wall),,64-74,,
7:24.0,J. Wall makes free throw 1 of 2,1,65-74,,
7:24.0,J. Wall misses free throw 2 of 2,,65-74,,
7:24.0,,,65-74,,Defensive rebound by K. Towns
7:18.0,Personal foul by M. Gortat (drawn by K. Towns),,65-74,,
7:14.0,,,65-76,2,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio)
6:55.0,B. Beal misses 3-pt shot from 25 ft,,65-76,,
6:54.0,,,65-76,,Defensive rebound by A. Wiggins
6:40.0,,,65-76,,K. Towns misses 2-pt shot from 1 ft (block by M. Gortat)
6:39.0,Defensive rebound by J. Wall,,65-76,,
6:35.0,J. Wall makes 2-pt shot from 1 ft,2,67-76,,
6:18.0,,,67-76,,Turnover by R. Rubio (bad pass; steal by M. Morris)
6:13.0,B. Beal misses 2-pt shot at rim,,67-76,,
6:12.0,Offensive rebound by O. Porter,,67-76,,
6:01.0,M. Gortat misses 2-pt shot from 8 ft,,67-76,,
6:00.0,,,67-76,,Defensive rebound by A. Wiggins
5:53.0,,,67-78,2,A. Wiggins makes 2-pt shot from 20 ft
5:50.0,Washington full timeout,,67-78,,
5:38.0,O. Porter misses 3-pt shot from 24 ft,,67-78,,
5:37.0,,,67-78,,Defensive rebound by G. Dieng
5:13.0,,,67-78,,G. Dieng misses 2-pt shot from 20 ft
5:12.0,,,67-78,,Offensive rebound by K. Towns
5:07.0,,,67-78,,B. Rush misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by O. Porter,,67-78,,
4:49.0,O. Porter misses 2-pt shot from 10 ft,,67-78,,
4:48.0,,,67-78,,Defensive rebound by G. Dieng
4:33.0,,,67-80,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
4:22.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,69-80,,
4:22.0,Shooting foul by A. Wiggins (drawn by M. Gortat),,69-80,,
4:22.0,M. Gortat makes free throw 1 of 1,1,70-80,,
4:22.0,B. Bogdanovic enters the game for M. Morris,,69-80,,
4:22.0,,,69-80,,N. Bjelica enters the game for K. Towns
4:15.0,,,70-80,,R. Rubio misses 2-pt shot from 21 ft
4:14.0,,,70-80,,Offensive rebound by N. Bjelica
4:10.0,,,70-83,3,B. Rush makes 3-pt shot from 22 ft (assist by N. Bjelica)
3:47.0,B. Beal makes 2-pt shot from 20 ft (assist by O. Porter),2,72-83,,
3:28.0,,,72-83,,R. Rubio misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by M. Gortat,,72-83,,
3:16.0,Turnover by J. Wall (lost ball; steal by R. Rubio),,72-83,,
3:16.0,Personal foul by J. Wall (drawn by N. Bjelica),,72-83,,
3:16.0,,,72-83,,N. Bjelica misses free throw 1 of 2
3:16.0,,,72-83,,Offensive rebound by Team
3:16.0,,,72-84,1,N. Bjelica makes free throw 2 of 2
3:16.0,I. Mahinmi enters the game for M. Gortat,,72-83,,
3:16.0,B. Jennings enters the game for B. Beal,,72-83,,
3:03.0,J. Wall makes 2-pt shot from 2 ft,2,74-84,,
2:47.0,,,74-86,2,R. Rubio makes 2-pt shot from 1 ft
2:20.0,B. Bogdanovic misses 3-pt shot from 26 ft,,74-86,,
2:18.0,Offensive rebound by O. Porter,,74-86,,
2:16.0,O. Porter makes 2-pt shot from 2 ft,2,76-86,,
1:56.0,,,76-86,,Shooting foul by I. Mahinmi (drawn by G. Dieng)
1:56.0,,,76-86,,Minnesota full timeout
1:56.0,,,76-87,1,G. Dieng makes free throw 1 of 2
1:56.0,,,76-88,1,G. Dieng makes free throw 2 of 2
1:38.0,J. Wall misses 2-pt shot from 15 ft,,76-88,,
1:37.0,,,76-88,,Defensive rebound by G. Dieng
1:30.0,,,76-88,,Turnover by A. Wiggins (lost ball; steal by O. Porter)
1:23.0,B. Bogdanovic misses 3-pt shot from 23 ft,,76-88,,
1:22.0,,,76-88,,Defensive rebound by N. Bjelica
1:10.0,,,76-88,,Turnover by R. Rubio (lost ball)
1:02.0,,,76-88,,Personal foul by B. Rush (drawn by B. Bogdanovic)
1:02.0,B. Bogdanovic makes free throw 1 of 2,1,77-88,,
1:02.0,B. Bogdanovic makes free throw 2 of 2,1,78-88,,
0:51.0,,,78-88,,R. Rubio misses 2-pt shot from 1 ft
0:49.0,Defensive rebound by O. Porter,,78-88,,
0:32.0,O. Porter misses 2-pt shot from 15 ft,,78-88,,
0:31.0,,,78-88,,Defensive rebound by N. Bjelica
0:08.0,,,78-88,,Turnover by G. Dieng (lost ball; steal by I. Mahinmi)
0:05.0,Shooting foul by N. Bjelica (drawn by J. Wall),,78-88,,
0:05.0,J. Wall makes free throw 1 of 2,1,79-88,,
0:05.0,J. Wall makes free throw 2 of 2,1,80-88,,
0:00.0,,,80-88,,Shooting foul by J. Wall (drawn by A. Wiggins)
0:00.0,,,80-88,,A. Wiggins misses free throw 1 of 2
0:00.0,,,80-88,,Offensive rebound by Team
0:00.0,,,80-89,1,A. Wiggins makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Offensive foul by I. Mahinmi,,80-89,,
11:48.0,Turnover by I. Mahinmi (offensive foul),,80-89,,
11:35.0,,,80-89,,S. Muhammad misses 2-pt shot from 13 ft
11:34.0,Defensive rebound by B. Bogdanovic,,80-89,,
11:34.0,,,80-89,,Personal foul by S. Muhammad (drawn by B. Bogdanovic)
11:16.0,Turnover by B. Jennings (bad pass; steal by N. Bjelica),,80-89,,
11:11.0,,,80-89,,Turnover by K. Dunn (bad pass; steal by B. Beal)
11:03.0,Turnover by B. Bogdanovic (bad pass; steal by T. Jones),,80-89,,
10:44.0,,,80-89,,K. Towns misses 2-pt shot from 12 ft
10:43.0,Defensive rebound by O. Porter,,80-89,,
10:30.0,O. Porter makes 2-pt shot from 23 ft (assist by B. Beal),2,82-89,,
10:14.0,,,82-91,2,K. Towns makes 2-pt shot from 2 ft (assist by T. Jones)
10:00.0,B. Beal misses 2-pt shot from 13 ft,,82-91,,
9:59.0,Offensive rebound by I. Mahinmi,,82-91,,
9:59.0,I. Mahinmi makes 2-pt shot from 1 ft,2,84-91,,
9:59.0,Shooting foul by N. Bjelica (drawn by I. Mahinmi),,84-91,,
9:59.0,I. Mahinmi makes free throw 1 of 1,1,85-91,,
9:59.0,M. Morris enters the game for O. Porter,,84-91,,
9:50.0,,,85-94,3,N. Bjelica makes 3-pt shot from 25 ft (assist by K. Towns)
9:40.0,B. Jennings misses 2-pt shot from 1 ft,,85-94,,
9:39.0,,,85-94,,Defensive rebound by N. Bjelica
9:27.0,Personal foul by B. Jennings (drawn by T. Jones),,85-94,,
9:13.0,,,85-96,2,K. Towns makes 2-pt shot from 15 ft
8:57.0,B. Bogdanovic misses 3-pt shot from 26 ft,,85-96,,
8:56.0,Offensive rebound by I. Mahinmi,,85-96,,
8:53.0,Turnover by B. Bogdanovic (lost ball; steal by K. Towns),,85-96,,
8:48.0,,,85-98,2,S. Muhammad makes 2-pt shot from 5 ft
8:48.0,Washington full timeout,,85-98,,
8:33.0,Shooting foul by N. Bjelica (drawn by M. Morris),,85-98,,
8:33.0,M. Morris makes 2-pt shot from 2 ft,2,87-98,,
8:33.0,M. Morris makes free throw 1 of 1,1,88-98,,
8:20.0,,,88-98,,Shooting foul by B. Beal (drawn by N. Bjelica)
8:20.0,,,88-99,1,N. Bjelica makes free throw 1 of 2
8:20.0,,,88-100,1,N. Bjelica makes free throw 2 of 2
8:03.0,,,88-100,,Personal foul by T. Jones (drawn by M. Morris)
8:03.0,,,88-100,,G. Dieng enters the game for N. Bjelica
7:56.0,B. Beal makes 3-pt shot from 26 ft,3,91-100,,
7:56.0,Shooting foul by K. Dunn (drawn by B. Beal),,91-100,,
7:56.0,B. Beal makes free throw 1 of 1,1,92-100,,
7:56.0,,,91-100,,R. Rubio enters the game for T. Jones
7:56.0,,,91-100,,A. Wiggins enters the game for K. Dunn
7:45.0,Personal foul by I. Mahinmi (drawn by K. Towns),,92-100,,
7:45.0,J. Wall enters the game for B. Jennings,,92-100,,
7:37.0,,,92-100,,A. Wiggins misses 2-pt shot from 21 ft
7:37.0,Defensive rebound by B. Bogdanovic,,92-100,,
7:18.0,J. Wall misses 2-pt shot from 19 ft,,92-100,,
7:17.0,,,92-100,,Defensive rebound by G. Dieng
7:12.0,,,92-100,,Turnover by R. Rubio (bad pass; steal by B. Beal)
7:04.0,B. Bogdanovic misses 3-pt shot from 23 ft,,92-100,,
7:03.0,,,92-100,,Defensive rebound by K. Towns
6:39.0,,,92-100,,S. Muhammad misses 2-pt shot from 20 ft
6:38.0,Defensive rebound by I. Mahinmi,,92-100,,
6:36.0,Turnover by I. Mahinmi (bad pass; steal by R. Rubio),,92-100,,
6:33.0,,,92-102,2,R. Rubio makes 2-pt shot at rim
6:18.0,,,92-102,,Personal foul by S. Muhammad (drawn by B. Bogdanovic)
6:18.0,B. Bogdanovic makes free throw 1 of 2,1,93-102,,
6:18.0,B. Bogdanovic makes free throw 2 of 2,1,94-102,,
6:18.0,,,93-102,,B. Rush enters the game for S. Muhammad
6:11.0,Violation by B. Bogdanovic (kicked ball),,94-102,,
5:59.0,,,94-102,,K. Towns misses 2-pt shot from 4 ft
5:58.0,Defensive rebound by M. Morris,,94-102,,
5:46.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by G. Dieng),,94-102,,
5:44.0,,,94-102,,Defensive rebound by K. Towns
5:38.0,,,94-102,,B. Rush misses 3-pt shot from 24 ft
5:37.0,,,94-102,,Offensive rebound by K. Towns
5:24.0,Personal foul by J. Wall (drawn by R. Rubio),,94-102,,
5:24.0,,,94-102,,Minnesota full timeout
5:24.0,O. Porter enters the game for B. Bogdanovic,,94-102,,
5:15.0,,,94-102,,Offensive foul by G. Dieng
5:15.0,,,94-102,,Turnover by G. Dieng (offensive foul)
5:04.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,96-102,,
4:44.0,,,96-102,,K. Towns misses 2-pt shot from 7 ft
4:42.0,Defensive rebound by M. Morris,,96-102,,
4:38.0,Offensive charge foul by J. Wall,,96-102,,
4:38.0,Turnover by J. Wall (offensive foul),,96-102,,
4:38.0,,,96-102,,N. Bjelica enters the game for G. Dieng
4:26.0,,,96-102,,K. Towns misses 2-pt shot from 1 ft
4:25.0,Defensive rebound by M. Morris,,96-102,,
