time,LA Clippers,pts.away,score,pts.home,LA Lakers
3:55.0,D. Jordan misses 2-pt shot from 2 ft,,25-14,,
3:53.0,Offensive rebound by D. Jordan,,25-14,,
3:53.0,D. Jordan makes 2-pt shot at rim,2,27-14,,
3:44.0,,,27-16,2,I. Zubac makes 2-pt shot at rim (assist by J. Randle)
3:36.0,LA Clippers full timeout,,27-16,,
3:36.0,,,27-16,,D. Nwaba enters the game for J. Clarkson
3:24.0,B. Griffin misses 3-pt shot from 26 ft,,27-16,,
3:23.0,Offensive rebound by D. Jordan,,27-16,,
3:22.0,D. Jordan misses 2-pt shot from 2 ft,,27-16,,
3:19.0,Offensive rebound by D. Jordan,,27-16,,
3:15.0,,,27-16,,Violation by D. Nwaba (kicked ball)
3:15.0,M. Speights enters the game for D. Jordan,,27-16,,
3:04.0,A. Rivers misses 3-pt shot from 24 ft,,27-16,,
3:03.0,,,27-16,,Defensive rebound by I. Zubac
2:50.0,,,27-18,2,D. Russell makes 2-pt shot from 19 ft (assist by J. Randle)
2:39.0,J. Crawford misses 3-pt shot from 25 ft,,27-18,,
2:37.0,Offensive rebound by M. Speights,,27-18,,
2:28.0,C. Paul makes 2-pt shot from 19 ft,2,29-18,,
2:13.0,,,29-18,,I. Zubac misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by A. Rivers,,29-18,,
1:58.0,C. Paul makes 2-pt shot from 15 ft (assist by B. Griffin),2,31-18,,
1:48.0,,,31-20,2,D. Russell makes 2-pt shot from 17 ft
1:30.0,M. Speights misses 3-pt shot from 25 ft,,31-20,,
1:29.0,,,31-20,,Defensive rebound by D. Nwaba
1:16.0,,,31-20,,Offensive charge foul by J. Randle
1:16.0,,,31-20,,Turnover by J. Randle (offensive foul)
1:16.0,,,31-20,,L. Nance enters the game for I. Zubac
1:16.0,R. Felton enters the game for C. Paul,,31-20,,
1:00.0,B. Griffin misses 3-pt shot from 26 ft,,31-20,,
0:59.0,,,31-20,,Defensive rebound by B. Ingram
0:54.0,,,31-20,,B. Ingram misses 2-pt shot from 1 ft
0:54.0,,,31-20,,Offensive rebound by L. Nance
0:54.0,,,31-22,2,L. Nance makes 2-pt shot from 2 ft
0:39.0,Turnover by B. Griffin (lost ball; steal by B. Ingram),,31-22,,
0:36.0,Personal foul by M. Speights (drawn by L. Nance),,31-22,,
0:36.0,P. Pierce enters the game for B. Griffin,,31-22,,
0:29.0,,,31-24,2,B. Ingram makes 2-pt shot from 2 ft (assist by D. Russell)
0:04.0,A. Rivers makes 2-pt shot from 2 ft,2,33-24,,
0:01.0,,,33-24,,J. Randle misses 3-pt shot from 26 ft
0:00.0,,,33-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,33-24,,C. Brewer misses 2-pt shot from 9 ft
11:39.0,Defensive rebound by P. Pierce,,33-24,,
11:34.0,J. Crawford makes 2-pt shot from 22 ft,2,35-24,,
11:26.0,,,35-24,,D. Nwaba misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by M. Speights,,35-24,,
11:12.0,M. Speights misses 2-pt shot from 5 ft,,35-24,,
11:05.0,,,35-24,,Defensive rebound by J. Clarkson
10:47.0,,,35-24,,Turnover by Team (shot clock)
10:24.0,J. Crawford makes 3-pt shot from 30 ft (assist by A. Rivers),3,38-24,,
10:11.0,,,38-24,,L. Nance misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by M. Speights,,38-24,,
9:54.0,J. Crawford makes 2-pt shot from 19 ft,2,40-24,,
9:36.0,,,40-26,2,B. Ingram makes 2-pt shot from 2 ft
9:21.0,A. Rivers makes 2-pt shot from 1 ft,2,42-26,,
9:21.0,,,42-26,,LA Lakers full timeout
9:21.0,,,42-26,,T. Black enters the game for B. Ingram
9:07.0,Def 3 sec tech foul by J. Crawford,,42-26,,
9:07.0,,,42-27,1,J. Clarkson makes technical free throw
8:59.0,,,42-27,,T. Black misses 2-pt shot from 3 ft
8:57.0,Defensive rebound by P. Pierce,,42-27,,
8:45.0,A. Rivers makes 2-pt shot from 2 ft,2,44-27,,
8:26.0,,,44-27,,J. Clarkson misses 2-pt shot from 11 ft
8:25.0,,,44-27,,Offensive rebound by T. Black
8:23.0,,,44-27,,T. Black misses 2-pt shot from 3 ft
8:22.0,Defensive rebound by Team,,44-27,,
8:03.0,A. Rivers makes 3-pt shot from 25 ft,3,47-27,,
7:56.0,,,47-27,,Turnover by J. Clarkson (bad pass)
7:41.0,A. Rivers misses 3-pt shot from 26 ft,,47-27,,
7:40.0,,,47-27,,Defensive rebound by D. Nwaba
7:31.0,,,47-27,,Shooting foul by P. Pierce (drawn by C. Brewer)
7:31.0,,,47-27,,C. Brewer misses free throw 1 of 2
7:31.0,,,47-27,,Offensive rebound by Team
7:31.0,,,47-27,,C. Brewer misses free throw 2 of 2
7:30.0,Defensive rebound by J. Crawford,,47-27,,
7:19.0,J. Crawford makes 2-pt shot from 21 ft,2,49-27,,
7:03.0,,,49-29,2,C. Brewer makes 2-pt shot from 2 ft
6:44.0,J. Crawford misses 3-pt shot from 25 ft,,49-29,,
6:43.0,Offensive rebound by M. Speights,,49-29,,
6:40.0,M. Speights makes 2-pt shot from 1 ft,2,51-29,,
6:26.0,,,51-29,,J. Clarkson misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by A. Rivers,,51-29,,
6:15.0,M. Speights makes 3-pt shot from 24 ft (assist by A. Rivers),3,54-29,,
6:14.0,,,54-29,,LA Lakers full timeout
6:14.0,,,54-29,,J. Randle enters the game for D. Nwaba
6:14.0,,,54-29,,I. Zubac enters the game for L. Nance
6:14.0,,,54-29,,D. Russell enters the game for C. Brewer
6:14.0,,,54-29,,B. Ingram enters the game for T. Black
5:57.0,,,54-29,,I. Zubac misses 2-pt shot from 9 ft
5:57.0,Defensive rebound by Team,,54-29,,
5:57.0,,,54-29,,Loose ball foul by I. Zubac (drawn by M. Speights)
5:57.0,Official timeout,,54-29,,
5:43.0,M. Speights misses 2-pt shot from 2 ft,,54-29,,
5:40.0,,,54-29,,Defensive rebound by I. Zubac
5:32.0,,,54-29,,D. Russell misses 2-pt shot from 18 ft
5:30.0,,,54-29,,Offensive rebound by J. Randle
5:27.0,,,54-29,,J. Randle misses 2-pt shot from 2 ft (block by P. Pierce)
5:25.0,Defensive rebound by A. Rivers,,54-29,,
5:19.0,R. Felton misses 2-pt shot from 20 ft,,54-29,,
5:15.0,Offensive rebound by M. Speights,,54-29,,
5:13.0,Shooting foul by D. Russell (drawn by A. Rivers),,54-29,,
5:13.0,A. Rivers makes free throw 1 of 2,1,55-29,,
5:13.0,A. Rivers makes free throw 2 of 2,1,56-29,,
5:13.0,B. Griffin enters the game for P. Pierce,,55-29,,
5:13.0,D. Jordan enters the game for M. Speights,,55-29,,
4:58.0,,,56-31,2,I. Zubac makes 2-pt shot from 2 ft (assist by B. Ingram)
4:45.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,58-31,,
4:33.0,,,58-31,,B. Ingram misses 3-pt shot from 23 ft
4:32.0,Defensive rebound by B. Griffin,,58-31,,
4:21.0,Shooting foul by J. Randle (drawn by B. Griffin),,58-31,,
4:21.0,B. Griffin misses free throw 1 of 2,,58-31,,
4:21.0,Offensive rebound by Team,,58-31,,
4:21.0,B. Griffin makes free throw 2 of 2,1,59-31,,
4:07.0,,,59-33,2,D. Russell makes 2-pt shot from 18 ft (assist by I. Zubac)
4:06.0,LA Clippers full timeout,,59-33,,
4:06.0,J. Redick enters the game for J. Crawford,,59-33,,
4:06.0,C. Paul enters the game for R. Felton,,59-33,,
3:50.0,C. Paul makes 2-pt shot from 14 ft,2,61-33,,
3:34.0,,,61-33,,D. Russell misses 3-pt shot from 24 ft
3:33.0,Defensive rebound by B. Griffin,,61-33,,
3:24.0,C. Paul misses 2-pt shot from 15 ft,,61-33,,
3:21.0,,,61-33,,Defensive rebound by J. Randle
3:15.0,,,61-33,,J. Clarkson misses 3-pt shot from 24 ft
3:13.0,Defensive rebound by D. Jordan,,61-33,,
3:08.0,Shooting foul by I. Zubac,,61-33,,
3:08.0,J. Redick makes free throw 1 of 2,1,62-33,,
3:08.0,J. Redick makes free throw 2 of 2,1,63-33,,
3:08.0,L. Mbah a Moute enters the game for A. Rivers,,62-33,,
2:42.0,,,63-33,,B. Ingram misses 3-pt shot from 23 ft
2:41.0,Defensive rebound by D. Jordan,,63-33,,
2:27.0,B. Griffin misses 2-pt shot from 13 ft,,63-33,,
2:23.0,Offensive rebound by B. Griffin,,63-33,,
2:23.0,Turnover by B. Griffin (bad pass),,63-33,,
2:08.0,,,63-35,2,B. Ingram makes 2-pt shot from 21 ft
1:44.0,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute),2,65-35,,
1:30.0,,,65-38,3,D. Russell makes 3-pt shot from 26 ft (assist by J. Clarkson)
1:14.0,,,65-38,,L. Nance enters the game for J. Randle
1:08.0,J. Redick misses 3-pt shot from 26 ft,,65-38,,
1:06.0,,,65-38,,Defensive rebound by L. Nance
0:59.0,,,65-38,,D. Russell misses 3-pt shot from 24 ft
0:58.0,,,65-38,,Offensive rebound by L. Nance
0:58.0,,,65-40,2,L. Nance makes 2-pt shot from 2 ft
0:46.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,67-40,,
0:37.0,,,67-40,,J. Clarkson misses 2-pt shot from 7 ft
0:34.0,Defensive rebound by L. Mbah a Moute,,67-40,,
0:28.0,C. Paul misses 3-pt shot from 26 ft,,67-40,,
0:27.0,,,67-40,,Defensive rebound by I. Zubac
0:05.0,,,67-40,,J. Clarkson misses 2-pt shot from 19 ft
0:05.0,,,67-40,,Offensive rebound by Team
0:05.0,,,67-40,,Turnover by Team (shot clock)
0:01.0,C. Paul makes 3-pt shot from 28 ft,3,70-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,70-40,,T. Ennis misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by C. Paul,,70-40,,
11:37.0,B. Griffin misses 2-pt shot from 1 ft,,70-40,,
11:35.0,,,70-40,,Defensive rebound by T. Robinson
11:29.0,,,70-42,2,T. Ennis makes 2-pt shot from 8 ft (assist by C. Brewer)
11:25.0,Technical foul by B. Griffin,,70-42,,
11:25.0,,,70-43,1,T. Ennis makes technical free throw
11:19.0,Shooting foul by D. Nwaba (drawn by L. Mbah a Moute),,70-43,,
11:19.0,L. Mbah a Moute misses free throw 1 of 2,,70-43,,
11:19.0,Offensive rebound by Team,,70-43,,
11:19.0,L. Mbah a Moute makes free throw 2 of 2,1,71-43,,
11:09.0,,,71-43,,D. Nwaba misses 2-pt shot from 6 ft (block by D. Jordan)
11:06.0,Defensive rebound by C. Paul,,71-43,,
11:03.0,,,71-43,,Inbound foul by D. Nwaba
11:03.0,J. Redick makes free throw 1 of 1,1,72-43,,
10:55.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,75-43,,
10:42.0,,,75-43,,C. Brewer misses 2-pt shot from 10 ft
10:39.0,,,75-43,,Offensive rebound by T. Black
10:38.0,,,75-43,,Turnover by T. Black (lost ball; steal by J. Redick)
10:31.0,C. Paul misses 3-pt shot from 25 ft,,75-43,,
10:29.0,,,75-43,,Defensive rebound by T. Robinson
10:20.0,,,75-43,,T. Ennis misses 2-pt shot from 8 ft (block by D. Jordan)
10:17.0,Defensive rebound by D. Jordan,,75-43,,
10:13.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by C. Brewer),,75-43,,
10:11.0,,,75-43,,Defensive rebound by T. Ennis
10:11.0,Personal foul by C. Paul (drawn by T. Ennis),,75-43,,
10:02.0,,,75-43,,T. Robinson misses 2-pt shot from 12 ft
10:00.0,,,75-43,,Offensive rebound by T. Black
9:57.0,,,75-43,,T. Black misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by C. Paul,,75-43,,
9:47.0,J. Redick misses 2-pt shot from 18 ft,,75-43,,
9:46.0,,,75-43,,Defensive rebound by T. Robinson
9:41.0,,,75-43,,T. Ennis misses 2-pt shot from 12 ft
9:37.0,,,75-43,,Offensive rebound by D. Nwaba
9:34.0,,,75-45,2,D. Nwaba makes 2-pt shot from 3 ft
9:14.0,B. Griffin misses 3-pt shot from 23 ft,,75-45,,
9:13.0,Offensive rebound by L. Mbah a Moute,,75-45,,
9:12.0,Shooting foul by T. Black (drawn by B. Griffin),,75-45,,
9:12.0,B. Griffin makes free throw 1 of 2,1,76-45,,
9:12.0,B. Griffin makes free throw 2 of 2,1,77-45,,
8:51.0,,,77-47,2,T. Robinson makes 2-pt shot from 2 ft (assist by T. Ennis)
8:26.0,C. Paul makes 3-pt shot from 24 ft,3,80-47,,
8:10.0,,,80-47,,C. Brewer misses 3-pt shot from 24 ft
8:05.0,,,80-47,,Offensive rebound by T. Robinson
8:05.0,,,80-49,2,T. Robinson makes 2-pt shot from 1 ft
7:43.0,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin),2,82-49,,
7:32.0,,,82-51,2,T. Robinson makes 2-pt shot from 8 ft (assist by T. Ennis)
7:21.0,Turnover by B. Griffin (lost ball),,82-51,,
7:21.0,Loose ball foul by B. Griffin (drawn by T. Robinson),,82-51,,
7:21.0,,,82-51,,B. Ingram enters the game for D. Nwaba
7:07.0,,,82-51,,Shooting foul by J. Redick (drawn by B. Ingram)
7:07.0,,,82-51,,B. Ingram misses free throw 1 of 2
7:07.0,,,82-51,,Offensive rebound by Team
7:07.0,,,82-51,,B. Ingram misses free throw 2 of 2
7:07.0,Defensive rebound by J. Redick,,82-51,,
6:52.0,Shooting foul by C. Brewer,,82-51,,
6:52.0,J. Redick makes free throw 1 of 3,1,83-51,,
6:52.0,J. Redick makes free throw 2 of 3,1,84-51,,
6:52.0,J. Redick makes free throw 3 of 3,1,85-51,,
6:52.0,,,84-51,,I. Zubac enters the game for T. Black
6:36.0,,,85-51,,C. Brewer misses 2-pt shot from 10 ft
6:34.0,,,85-51,,Offensive rebound by C. Brewer
6:21.0,,,85-51,,T. Ennis misses 3-pt shot from 23 ft
6:19.0,,,85-51,,Offensive rebound by T. Robinson
6:19.0,,,85-53,2,T. Robinson makes 2-pt shot from 2 ft
6:01.0,Turnover by C. Paul (lost ball; steal by T. Ennis),,85-53,,
5:58.0,Flagrant foul type 1 by B. Griffin (drawn by T. Robinson),,85-53,,
5:58.0,,,85-53,,LA Lakers full timeout
5:58.0,,,85-54,1,T. Robinson makes flagrant free throw 1 of 2
5:58.0,,,85-55,1,T. Robinson makes flagrant free throw 2 of 2
5:58.0,,,85-53,,D. Russell enters the game for C. Brewer
5:53.0,Personal foul by L. Mbah a Moute (drawn by B. Ingram),,85-55,,
5:53.0,,,85-55,,B. Ingram misses free throw 1 of 2
5:53.0,,,85-55,,Offensive rebound by Team
5:53.0,,,85-56,1,B. Ingram makes free throw 2 of 2
5:46.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin),3,88-56,,
5:36.0,Personal foul by C. Paul (drawn by T. Ennis),,88-56,,
5:36.0,,,88-57,1,T. Ennis makes free throw 1 of 2
5:36.0,,,88-58,1,T. Ennis makes free throw 2 of 2
5:29.0,Turnover by B. Griffin (bad pass; steal by I. Zubac),,88-58,,
5:24.0,,,88-60,2,T. Robinson makes 2-pt shot at rim (assist by D. Russell)
5:15.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,90-60,,
5:00.0,,,90-62,2,I. Zubac makes 2-pt shot from 6 ft (assist by T. Robinson)
4:44.0,Shooting foul by T. Robinson (drawn by B. Griffin),,90-62,,
4:44.0,B. Griffin makes free throw 1 of 2,1,91-62,,
4:44.0,B. Griffin makes free throw 2 of 2,1,92-62,,
4:44.0,A. Rivers enters the game for L. Mbah a Moute,,91-62,,
4:33.0,,,92-62,,B. Ingram misses 2-pt shot from 2 ft
4:33.0,,,92-62,,Offensive rebound by B. Ingram
4:33.0,,,92-62,,Shooting foul by A. Rivers (drawn by B. Ingram)
4:33.0,,,92-62,,B. Ingram misses free throw 1 of 2
4:33.0,,,92-62,,Offensive rebound by Team
4:33.0,,,92-62,,B. Ingram misses free throw 2 of 2
4:32.0,Defensive rebound by J. Redick,,92-62,,
4:18.0,Turnover by J. Redick (lost ball; steal by D. Russell),,92-62,,
4:15.0,,,92-62,,Shooting foul by A. Rivers (drawn by D. Russell)
4:15.0,,,92-62,,D. Russell misses free throw 1 of 2
4:15.0,,,92-62,,Offensive rebound by Team
4:15.0,,,92-63,1,D. Russell makes free throw 2 of 2
4:00.0,LA Clippers full timeout,,92-63,,
4:00.0,,,92-63,,J. Clarkson enters the game for T. Ennis
3:57.0,Shooting foul by T. Robinson (drawn by B. Griffin),,92-63,,
3:57.0,,,92-63,,Technical foul by T. Robinson (drawn by B. Griffin)
3:57.0,C. Paul makes technical free throw,1,93-63,,
3:57.0,B. Griffin makes free throw 1 of 2,1,94-63,,
3:57.0,B. Griffin makes free throw 2 of 2,1,95-63,,
3:57.0,J. Crawford enters the game for J. Redick,,94-63,,
3:44.0,,,95-63,,Turnover by J. Clarkson (traveling)
3:36.0,A. Rivers misses 3-pt shot from 26 ft,,95-63,,
3:34.0,Offensive rebound by C. Paul,,95-63,,
3:21.0,,,95-63,,Personal foul by J. Clarkson (drawn by C. Paul)
3:21.0,C. Paul makes free throw 1 of 2,1,96-63,,
3:21.0,C. Paul makes free throw 2 of 2,1,97-63,,
3:12.0,,,97-63,,J. Clarkson misses 2-pt shot from 1 ft
3:09.0,Defensive rebound by J. Crawford,,97-63,,
3:00.0,Turnover by C. Paul (bad pass; steal by D. Russell),,97-63,,
2:53.0,,,97-65,2,T. Robinson makes 2-pt shot from 9 ft
2:39.0,Shooting foul by D. Russell (drawn by C. Paul),,97-65,,
2:39.0,C. Paul makes 3-pt shot from 24 ft (assist by A. Rivers),3,100-65,,
2:39.0,Violation by Team (jump ball),,100-65,,
2:39.0,C. Paul makes free throw 1 of 1,1,101-65,,
2:39.0,M. Speights enters the game for B. Griffin,,100-65,,
2:39.0,B. Bass enters the game for D. Jordan,,100-65,,
2:21.0,,,101-67,2,I. Zubac makes 2-pt shot from 4 ft (assist by B. Ingram)
2:04.0,C. Paul misses 3-pt shot from 23 ft,,101-67,,
2:03.0,Offensive rebound by C. Paul,,101-67,,
1:59.0,B. Bass misses 2-pt shot from 7 ft,,101-67,,
1:57.0,,,101-67,,Defensive rebound by T. Robinson
1:50.0,,,101-69,2,T. Robinson makes 2-pt shot from 2 ft
1:49.0,LA Clippers full timeout,,101-69,,
1:49.0,R. Felton enters the game for C. Paul,,101-69,,
1:49.0,,,101-69,,J. Randle enters the game for T. Robinson
1:35.0,M. Speights makes 2-pt shot at rim (assist by A. Rivers),2,103-69,,
1:21.0,Personal foul by M. Speights (drawn by I. Zubac),,103-69,,
1:21.0,,,103-70,1,I. Zubac makes free throw 1 of 2
1:21.0,,,103-70,,I. Zubac misses free throw 2 of 2
1:20.0,Defensive rebound by A. Rivers,,103-70,,
1:05.0,B. Bass misses 2-pt shot from 14 ft,,103-70,,
1:03.0,,,103-70,,Defensive rebound by J. Randle
0:51.0,,,103-70,,Turnover by I. Zubac (bad pass; steal by J. Crawford)
0:38.0,Turnover by J. Crawford (bad pass),,103-70,,
0:29.0,,,103-73,3,D. Russell makes 3-pt shot from 25 ft
0:13.0,A. Rivers makes 2-pt shot from 12 ft,2,105-73,,
0:03.0,,,105-73,,Shooting foul by B. Bass (drawn by J. Randle)
0:03.0,,,105-73,,J. Randle misses free throw 1 of 2
0:03.0,,,105-73,,Offensive rebound by Team
0:03.0,,,105-74,1,J. Randle makes free throw 2 of 2
0:01.0,J. Crawford makes 3-pt shot from 46 ft (assist by M. Speights),3,108-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Speights makes 3-pt shot from 26 ft (assist by J. Crawford),3,111-74,,
11:17.0,,,111-76,2,B. Ingram makes 2-pt shot from 21 ft (assist by I. Zubac)
11:05.0,R. Felton makes 2-pt shot from 20 ft,2,113-76,,
11:05.0,Shooting foul by D. Russell (drawn by R. Felton),,113-76,,
11:05.0,R. Felton misses free throw 1 of 1,,113-76,,
11:04.0,,,113-76,,Defensive rebound by I. Zubac
10:42.0,,,113-76,,B. Ingram misses 2-pt shot from 22 ft
10:41.0,Defensive rebound by M. Speights,,113-76,,
10:38.0,Turnover by M. Speights (bad pass),,113-76,,
10:28.0,Personal foul by R. Felton (drawn by D. Russell),,113-76,,
10:24.0,,,113-76,,I. Zubac misses 2-pt shot from 8 ft
10:20.0,Defensive rebound by R. Felton,,113-76,,
10:17.0,Turnover by R. Felton (lost ball; steal by D. Russell),,113-76,,
10:11.0,,,113-78,2,J. Randle makes 2-pt shot from 6 ft (assist by D. Russell)
10:11.0,,,113-78,,Shooting foul by B. Bass (drawn by J. Randle)
10:11.0,,,113-79,1,J. Randle makes free throw 1 of 1
9:56.0,J. Crawford makes 3-pt shot from 25 ft,3,116-79,,
9:39.0,,,116-81,2,D. Russell makes 2-pt shot from 21 ft
9:22.0,Shooting foul by I. Zubac (drawn by B. Bass),,116-81,,
9:22.0,B. Bass makes free throw 1 of 2,1,117-81,,
9:22.0,B. Bass makes free throw 2 of 2,1,118-81,,
9:08.0,,,118-81,,D. Russell misses 3-pt shot from 26 ft
9:07.0,,,118-81,,Offensive rebound by J. Randle
9:05.0,,,118-83,2,J. Randle makes 2-pt shot from 1 ft
8:49.0,M. Speights misses 3-pt shot from 25 ft,,118-83,,
8:48.0,,,118-83,,Defensive rebound by D. Russell
8:38.0,,,118-86,3,B. Ingram makes 3-pt shot from 23 ft (assist by D. Russell)
8:24.0,Turnover by B. Bass (lost ball; steal by J. Randle),,118-86,,
8:19.0,,,118-88,2,J. Randle makes 2-pt shot at rim
7:59.0,B. Bass makes 2-pt shot from 11 ft,2,120-88,,
7:51.0,Personal foul by B. Bass (drawn by J. Randle),,120-88,,
7:51.0,Official timeout,,120-88,,
7:34.0,,,120-88,,D. Russell misses 2-pt shot from 19 ft
7:32.0,Defensive rebound by M. Speights,,120-88,,
7:25.0,A. Rivers misses 2-pt shot from 2 ft (block by I. Zubac),,120-88,,
7:25.0,Offensive rebound by Team,,120-88,,
7:21.0,J. Crawford misses 3-pt shot from 25 ft,,120-88,,
7:20.0,,,120-88,,Defensive rebound by J. Randle
7:14.0,,,120-91,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle)
6:49.0,Turnover by A. Rivers (bad pass),,120-91,,
6:32.0,,,120-91,,J. Randle misses 2-pt shot from 2 ft
6:30.0,,,120-91,,Offensive rebound by I. Zubac
6:30.0,,,120-93,2,I. Zubac makes 2-pt shot at rim
6:11.0,A. Rivers misses 2-pt shot from 6 ft,,120-93,,
6:08.0,,,120-93,,Defensive rebound by J. Clarkson
6:04.0,,,120-93,,Shooting foul by J. Crawford (drawn by B. Ingram)
6:04.0,,,120-94,1,B. Ingram makes free throw 1 of 2
6:04.0,,,120-95,1,B. Ingram makes free throw 2 of 2
6:04.0,W. Johnson enters the game for M. Speights,,120-93,,
5:48.0,Shooting foul by I. Zubac (drawn by A. Rivers),,120-95,,
5:48.0,,,120-95,,LA Lakers full timeout
5:48.0,LA Clippers full timeout,,120-95,,
5:48.0,A. Rivers makes free throw 1 of 2,1,121-95,,
5:48.0,A. Rivers makes free throw 2 of 2,1,122-95,,
5:30.0,,,122-95,,Shooting foul by W. Johnson (drawn by J. Randle)
5:30.0,,,122-96,1,J. Randle makes free throw 1 of 2
