time,Indiana,pts.away,score,pts.home,Detroit
4:49.0,,,22-11,,M. Morris misses 2-pt shot from 6 ft (block by G. Robinson)
4:47.0,,,22-11,,Offensive rebound by A. Drummond
4:44.0,,,22-13,2,A. Drummond makes 2-pt shot at rim
4:24.0,M. Turner misses 2-pt shot from 7 ft,,22-13,,
4:23.0,,,22-13,,Defensive rebound by A. Drummond
4:18.0,,,22-16,3,T. Harris makes 3-pt shot from 24 ft (assist by R. Jackson)
4:08.0,Turnover by P. George (bad pass),,22-16,,
4:08.0,K. Seraphin enters the game for T. Young,,22-16,,
3:55.0,,,22-18,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
3:48.0,Indiana full timeout,,22-18,,
3:30.0,P. George misses 2-pt shot from 17 ft,,22-18,,
3:30.0,,,22-18,,Defensive rebound by R. Jackson
3:22.0,,,22-18,,K. Caldwell-Pope misses 3-pt shot from 23 ft
3:21.0,,,22-18,,Offensive rebound by A. Drummond
3:19.0,,,22-18,,A. Drummond misses 2-pt shot at rim (block by P. George)
3:19.0,Defensive rebound by J. Teague,,22-18,,
3:07.0,M. Turner makes 3-pt shot from 25 ft (assist by K. Seraphin),3,25-18,,
2:43.0,,,25-20,2,T. Harris makes 2-pt shot from 18 ft (assist by K. Caldwell-Pope)
2:29.0,M. Turner makes 3-pt shot from 27 ft (assist by J. Teague),3,28-20,,
2:14.0,,,28-22,2,R. Jackson makes 2-pt shot from 15 ft
2:04.0,Shooting foul by R. Jackson (drawn by J. Teague),,28-22,,
2:04.0,J. Teague makes free throw 1 of 3,1,29-22,,
2:04.0,J. Teague makes free throw 2 of 3,1,30-22,,
2:04.0,J. Teague makes free throw 3 of 3,1,31-22,,
2:04.0,,,30-22,,B. Marjanovic enters the game for A. Drummond
2:04.0,,,30-22,,I. Smith enters the game for R. Jackson
2:04.0,M. Ellis enters the game for G. Robinson,,30-22,,
2:04.0,A. Jefferson enters the game for M. Turner,,30-22,,
1:47.0,,,31-22,,Shooting foul by M. Ellis (drawn by K. Caldwell-Pope)
1:47.0,,,31-23,1,K. Caldwell-Pope makes free throw 1 of 2
1:47.0,,,31-24,1,K. Caldwell-Pope makes free throw 2 of 2
1:47.0,A. Brooks enters the game for J. Teague,,31-23,,
1:28.0,A. Jefferson misses 2-pt shot from 11 ft,,31-24,,
1:28.0,,,31-24,,Defensive rebound by T. Harris
1:18.0,,,31-26,2,M. Morris makes 2-pt shot from 8 ft (assist by I. Smith)
1:03.0,Shooting foul by M. Morris (drawn by A. Jefferson),,31-26,,
1:03.0,A. Jefferson makes free throw 1 of 2,1,32-26,,
1:03.0,A. Jefferson makes free throw 2 of 2,1,33-26,,
1:03.0,,,32-26,,J. Leuer enters the game for M. Morris
1:03.0,C. Miles enters the game for P. George,,32-26,,
0:49.0,,,33-26,,T. Harris misses 2-pt shot from 2 ft (block by C. Miles)
0:49.0,Defensive rebound by K. Seraphin,,33-26,,
0:38.0,K. Seraphin makes 2-pt shot from 7 ft (assist by A. Brooks),2,35-26,,
0:22.0,,,35-28,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
0:09.0,,,35-28,,Personal foul by K. Caldwell-Pope (drawn by M. Ellis)
0:09.0,M. Ellis misses free throw 1 of 2,,35-28,,
0:09.0,Offensive rebound by Team,,35-28,,
0:09.0,M. Ellis makes free throw 2 of 2,1,36-28,,
0:02.0,,,36-28,,Shooting foul by A. Brooks (drawn by I. Smith)
0:02.0,,,36-28,,I. Smith misses free throw 1 of 2
0:02.0,,,36-28,,Offensive rebound by Team
0:02.0,,,36-28,,I. Smith misses free throw 2 of 2
0:01.0,,,36-28,,Offensive rebound by B. Marjanovic
0:01.0,,,36-28,,B. Marjanovic misses 2-pt shot from 7 ft
0:00.0,,,36-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Seraphin makes 2-pt shot at rim (assist by A. Jefferson),2,38-28,,
11:18.0,,,38-28,,Turnover by I. Smith (traveling)
10:52.0,M. Ellis makes 2-pt shot from 7 ft,2,40-28,,
10:32.0,,,40-28,,Turnover by S. Johnson (bad pass)
10:18.0,Turnover by A. Brooks (bad pass),,40-28,,
10:03.0,,,40-30,2,J. Leuer makes 2-pt shot from 14 ft
9:51.0,C. Miles misses 2-pt shot from 18 ft,,40-30,,
9:50.0,,,40-30,,Defensive rebound by B. Marjanovic
9:39.0,,,40-30,,S. Johnson misses 3-pt shot from 27 ft
9:39.0,,,40-30,,Offensive rebound by B. Marjanovic
9:33.0,,,40-30,,J. Leuer misses 3-pt shot from 27 ft
9:32.0,Defensive rebound by C. Miles,,40-30,,
9:19.0,A. Jefferson misses 2-pt shot from 6 ft (block by B. Marjanovic),,40-30,,
9:19.0,Offensive rebound by K. Seraphin,,40-30,,
9:13.0,K. Seraphin misses 2-pt shot from 7 ft,,40-30,,
9:13.0,,,40-30,,Defensive rebound by J. Leuer
9:05.0,,,40-33,3,S. Johnson makes 3-pt shot from 27 ft (assist by I. Smith)
8:36.0,A. Brooks misses 2-pt shot from 20 ft,,40-33,,
8:36.0,,,40-33,,Defensive rebound by T. Harris
8:29.0,,,40-33,,Turnover by I. Smith (bad pass; steal by C. Miles)
8:17.0,,,40-33,,Personal foul by S. Johnson (drawn by K. Seraphin)
8:17.0,Official timeout,,40-33,,
8:17.0,,,40-33,,A. Drummond enters the game for B. Marjanovic
8:17.0,T. Young enters the game for K. Seraphin,,40-33,,
8:03.0,M. Ellis makes 2-pt shot from 16 ft (assist by A. Jefferson),2,42-33,,
7:49.0,,,42-33,,J. Leuer misses 2-pt shot from 14 ft
7:48.0,,,42-33,,Offensive rebound by A. Drummond
7:46.0,,,42-35,2,A. Drummond makes 2-pt shot from 1 ft
7:32.0,A. Jefferson makes 2-pt shot from 8 ft (assist by M. Ellis),2,44-35,,
7:11.0,,,44-35,,T. Harris misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by A. Jefferson,,44-35,,
6:55.0,A. Jefferson makes 2-pt shot from 6 ft (assist by M. Ellis),2,46-35,,
6:49.0,,,46-35,,Detroit full timeout
6:49.0,,,46-35,,R. Jackson enters the game for I. Smith
6:49.0,,,46-35,,K. Caldwell-Pope enters the game for S. Johnson
6:45.0,,,46-37,2,T. Harris makes 2-pt shot at rim (assist by A. Drummond)
6:26.0,A. Brooks makes 3-pt shot from 23 ft (assist by M. Ellis),3,49-37,,
6:14.0,,,49-37,,J. Leuer misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by M. Ellis,,49-37,,
6:04.0,A. Jefferson misses 2-pt shot from 13 ft,,49-37,,
6:03.0,,,49-37,,Defensive rebound by T. Harris
5:58.0,,,49-39,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
5:51.0,Indiana full timeout,,49-39,,
5:51.0,M. Turner enters the game for A. Jefferson,,49-39,,
5:51.0,P. George enters the game for A. Brooks,,49-39,,
5:51.0,J. Teague enters the game for C. Miles,,49-39,,
5:51.0,,,49-39,,M. Morris enters the game for T. Harris
5:39.0,M. Ellis makes 2-pt shot from 7 ft,2,51-39,,
5:39.0,Shooting foul by M. Morris (drawn by M. Ellis),,51-39,,
5:39.0,M. Ellis makes free throw 1 of 1,1,52-39,,
5:39.0,,,51-39,,S. Johnson enters the game for M. Morris
5:36.0,Personal foul by J. Teague (drawn by R. Jackson),,52-39,,
5:27.0,,,52-39,,Turnover by R. Jackson (lost ball)
5:13.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,54-39,,
4:58.0,,,54-39,,A. Drummond misses 2-pt shot from 9 ft
4:55.0,,,54-39,,Offensive rebound by K. Caldwell-Pope
4:53.0,,,54-41,2,K. Caldwell-Pope makes 2-pt shot at rim
4:43.0,P. George misses 2-pt shot from 20 ft,,54-41,,
4:42.0,Offensive rebound by M. Turner,,54-41,,
4:29.0,M. Turner makes 2-pt shot from 22 ft (assist by J. Teague),2,56-41,,
4:18.0,,,56-43,2,R. Jackson makes 2-pt shot from 9 ft
4:04.0,Turnover by T. Young (bad pass; steal by K. Caldwell-Pope),,56-43,,
3:55.0,,,56-45,2,J. Leuer makes 2-pt shot from 13 ft (assist by K. Caldwell-Pope)
3:38.0,Turnover by M. Ellis (bad pass),,56-45,,
3:38.0,G. Robinson enters the game for M. Ellis,,56-45,,
3:23.0,,,56-45,,K. Caldwell-Pope misses 2-pt shot from 14 ft
3:23.0,Defensive rebound by M. Turner,,56-45,,
3:07.0,J. Teague misses 2-pt shot from 12 ft,,56-45,,
3:06.0,,,56-45,,Defensive rebound by J. Leuer
3:01.0,,,56-45,,Shooting foul by M. Turner (drawn by R. Jackson)
3:01.0,,,56-47,2,R. Jackson makes 2-pt shot at rim
3:01.0,,,56-48,1,R. Jackson makes free throw 1 of 1
2:50.0,Shooting foul by A. Drummond (drawn by P. George),,56-48,,
2:50.0,P. George makes free throw 1 of 2,1,57-48,,
2:50.0,P. George makes free throw 2 of 2,1,58-48,,
2:50.0,,,57-48,,T. Harris enters the game for A. Drummond
2:39.0,,,58-51,3,R. Jackson makes 3-pt shot from 27 ft (assist by J. Leuer)
2:21.0,M. Turner misses 2-pt shot from 10 ft,,58-51,,
2:20.0,,,58-51,,Defensive rebound by K. Caldwell-Pope
2:09.0,,,58-53,2,T. Harris makes 2-pt shot from 2 ft (assist by J. Leuer)
1:59.0,Turnover by J. Teague (lost ball; steal by J. Leuer),,58-53,,
1:54.0,,,58-53,,Turnover by J. Leuer (bad pass; steal by T. Young)
1:45.0,J. Teague makes 2-pt shot from 1 ft (assist by G. Robinson),2,60-53,,
1:37.0,Personal foul by T. Young (drawn by R. Jackson),,60-53,,
1:26.0,,,60-55,2,J. Leuer makes 2-pt shot from 16 ft (assist by R. Jackson)
1:08.0,M. Turner makes 2-pt shot at rim (assist by T. Young),2,62-55,,
0:55.0,,,62-55,,K. Caldwell-Pope misses 2-pt shot from 14 ft
0:55.0,Defensive rebound by P. George,,62-55,,
0:47.0,P. George makes 2-pt shot from 18 ft,2,64-55,,
0:37.0,,,64-57,2,J. Leuer makes 2-pt shot from 8 ft
0:30.0,,,64-57,,Personal foul by R. Jackson (drawn by J. Teague)
0:30.0,J. Teague makes free throw 1 of 2,1,65-57,,
0:30.0,Indiana full timeout,,65-57,,
0:30.0,J. Teague makes free throw 2 of 2,1,66-57,,
0:30.0,,,65-57,,I. Smith enters the game for R. Jackson
0:10.0,,,66-60,3,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague),2,68-60,,
11:26.0,,,68-60,,Shooting foul by M. Turner (drawn by A. Drummond)
11:26.0,,,68-61,1,A. Drummond makes free throw 1 of 2
11:26.0,,,68-62,1,A. Drummond makes free throw 2 of 2
11:03.0,Turnover by J. Teague (lost ball),,68-62,,
10:47.0,,,68-64,2,J. Leuer makes 2-pt shot from 15 ft (assist by K. Caldwell-Pope)
10:22.0,P. George misses 3-pt shot from 26 ft,,68-64,,
10:21.0,,,68-64,,Defensive rebound by R. Jackson
10:06.0,,,68-66,2,M. Morris makes 2-pt shot from 15 ft
9:47.0,G. Robinson makes 3-pt shot from 26 ft (assist by J. Teague),3,71-66,,
9:37.0,,,71-66,,Turnover by J. Leuer (bad pass; steal by T. Young)
9:30.0,Shooting foul by J. Leuer (drawn by P. George),,71-66,,
9:30.0,P. George makes free throw 1 of 2,1,72-66,,
9:30.0,P. George makes free throw 2 of 2,1,73-66,,
9:19.0,,,73-68,2,M. Morris makes 2-pt shot from 21 ft (assist by R. Jackson)
9:10.0,M. Turner misses 2-pt shot from 12 ft,,73-68,,
9:09.0,,,73-68,,Defensive rebound by R. Jackson
9:04.0,,,73-68,,R. Jackson misses 2-pt shot at rim
9:03.0,,,73-68,,Offensive rebound by A. Drummond
8:59.0,,,73-68,,A. Drummond misses 2-pt shot from 11 ft
8:59.0,,,73-68,,Offensive rebound by R. Jackson
8:54.0,,,73-68,,R. Jackson misses 2-pt shot from 1 ft
8:54.0,,,73-68,,Offensive rebound by R. Jackson
8:51.0,,,73-70,2,R. Jackson makes 2-pt shot from 1 ft
8:39.0,M. Turner misses 2-pt shot from 16 ft,,73-70,,
8:39.0,,,73-70,,Defensive rebound by J. Leuer
8:28.0,,,73-72,2,R. Jackson makes 2-pt shot from 19 ft
8:28.0,Indiana full timeout,,73-72,,
8:08.0,G. Robinson makes 2-pt shot from 19 ft (assist by P. George),2,75-72,,
7:53.0,,,75-72,,A. Drummond misses 2-pt shot from 3 ft (block by P. George)
7:53.0,,,75-72,,Offensive rebound by Team
7:44.0,,,75-72,,R. Jackson misses 2-pt shot from 6 ft
7:43.0,,,75-72,,Offensive rebound by A. Drummond
7:42.0,,,75-72,,A. Drummond misses 2-pt shot from 4 ft
7:42.0,,,75-72,,Offensive rebound by R. Jackson
7:42.0,,,75-72,,R. Jackson misses 2-pt shot from 4 ft (block by G. Robinson)
7:42.0,Defensive rebound by Team,,75-72,,
7:26.0,P. George misses 2-pt shot from 18 ft,,75-72,,
7:25.0,,,75-72,,Defensive rebound by J. Leuer
7:12.0,,,75-72,,Turnover by R. Jackson (bad pass; steal by J. Teague)
6:48.0,T. Young misses 3-pt shot from 23 ft,,75-72,,
6:48.0,Offensive rebound by M. Turner,,75-72,,
6:40.0,M. Turner makes 2-pt shot from 12 ft (assist by T. Young),2,77-72,,
6:21.0,,,77-72,,J. Leuer misses 3-pt shot from 26 ft
6:20.0,,,77-72,,Offensive rebound by M. Morris
6:15.0,,,77-75,3,R. Jackson makes 3-pt shot from 26 ft (assist by A. Drummond)
6:05.0,G. Robinson misses 3-pt shot from 24 ft,,77-75,,
6:04.0,,,77-75,,Defensive rebound by A. Drummond
5:55.0,,,77-77,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
5:36.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,79-77,,
5:29.0,,,79-77,,R. Jackson misses 2-pt shot from 4 ft (block by M. Turner)
5:29.0,,,79-77,,Offensive rebound by Team
5:20.0,,,79-77,,M. Morris misses 2-pt shot from 14 ft
5:20.0,Defensive rebound by T. Young,,79-77,,
5:03.0,J. Teague misses 2-pt shot from 6 ft,,79-77,,
5:02.0,,,79-77,,Defensive rebound by A. Drummond
4:55.0,,,79-77,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:55.0,,,79-77,,Offensive rebound by J. Leuer
4:41.0,,,79-79,2,J. Leuer makes 2-pt shot from 15 ft (assist by M. Morris)
4:20.0,P. George misses 2-pt shot from 5 ft (block by M. Morris),,79-79,,
4:19.0,,,79-79,,Defensive rebound by A. Drummond
4:12.0,,,79-79,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:12.0,Defensive rebound by G. Robinson,,79-79,,
4:05.0,P. George misses 2-pt shot from 4 ft (block by A. Drummond),,79-79,,
4:04.0,Offensive rebound by T. Young,,79-79,,
4:03.0,T. Young makes 2-pt shot at rim,2,81-79,,
3:59.0,,,81-79,,Detroit full timeout
3:59.0,K. Seraphin enters the game for T. Young,,81-79,,
3:53.0,,,81-79,,I. Smith enters the game for M. Morris
3:53.0,,,81-79,,T. Harris enters the game for R. Jackson
3:40.0,,,81-82,3,I. Smith makes 3-pt shot from 23 ft (assist by T. Harris)
3:20.0,P. George makes 2-pt shot from 11 ft,2,83-82,,
2:58.0,,,83-85,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Smith)
2:34.0,Turnover by P. George (bad pass; steal by A. Drummond),,83-85,,
2:27.0,,,83-85,,Turnover by I. Smith (bad pass; steal by K. Seraphin)
2:20.0,,,83-85,,Personal foul by A. Drummond (drawn by K. Seraphin)
2:20.0,A. Brooks enters the game for J. Teague,,83-85,,
2:03.0,P. George makes 2-pt shot from 6 ft,2,85-85,,
1:40.0,,,85-87,2,T. Harris makes 2-pt shot from 15 ft
1:20.0,M. Turner makes 2-pt shot from 15 ft (assist by P. George),2,87-87,,
1:06.0,,,87-89,2,K. Caldwell-Pope makes 2-pt shot from 14 ft
0:53.0,K. Seraphin makes 2-pt shot from 19 ft (assist by A. Brooks),2,89-89,,
0:44.0,,,89-89,,Shooting foul by G. Robinson (drawn by K. Caldwell-Pope)
0:44.0,,,89-90,1,K. Caldwell-Pope makes free throw 1 of 3
0:44.0,,,89-91,1,K. Caldwell-Pope makes free throw 2 of 3
0:44.0,,,89-92,1,K. Caldwell-Pope makes free throw 3 of 3
0:44.0,C. Miles enters the game for P. George,,89-91,,
0:44.0,A. Jefferson enters the game for M. Turner,,89-91,,
0:44.0,M. Ellis enters the game for G. Robinson,,89-91,,
0:44.0,,,89-91,,B. Marjanovic enters the game for A. Drummond
0:33.0,Shooting foul by J. Leuer (drawn by K. Seraphin),,89-92,,
0:33.0,K. Seraphin makes free throw 1 of 2,1,90-92,,
0:33.0,K. Seraphin makes free throw 2 of 2,1,91-92,,
0:07.0,,,91-92,,B. Marjanovic misses 2-pt shot from 5 ft
0:06.0,Defensive rebound by K. Seraphin,,91-92,,
0:03.0,,,91-92,,Personal foul by I. Smith (drawn by A. Brooks)
0:03.0,A. Brooks misses free throw 1 of 2,,91-92,,
0:03.0,Offensive rebound by Team,,91-92,,
0:03.0,A. Brooks makes free throw 2 of 2,1,92-92,,
0:01.0,,,92-92,,I. Smith misses 3-pt shot from 39 ft
0:00.0,,,92-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,92-94,2,B. Marjanovic makes 2-pt shot from 5 ft (assist by M. Morris)
11:22.0,C. Miles misses 3-pt shot from 27 ft,,92-94,,
11:22.0,Offensive rebound by K. Seraphin,,92-94,,
11:19.0,K. Seraphin makes 2-pt shot from 1 ft,2,94-94,,
10:58.0,,,94-94,,T. Harris misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by A. Jefferson,,94-94,,
10:40.0,C. Miles makes 3-pt shot from 27 ft (assist by A. Jefferson),3,97-94,,
10:23.0,,,97-94,,B. Marjanovic misses 2-pt shot from 6 ft
10:22.0,Defensive rebound by C. Miles,,97-94,,
10:07.0,C. Miles misses 3-pt shot from 26 ft,,97-94,,
10:06.0,,,97-94,,Defensive rebound by S. Johnson
9:56.0,,,97-94,,S. Johnson misses 3-pt shot from 27 ft
9:55.0,Defensive rebound by C. Miles,,97-94,,
9:39.0,M. Ellis makes 2-pt shot from 17 ft,2,99-94,,
9:21.0,,,99-96,2,T. Harris makes 2-pt shot from 1 ft
9:08.0,A. Jefferson misses 2-pt shot from 7 ft (block by B. Marjanovic),,99-96,,
9:07.0,,,99-96,,Defensive rebound by T. Harris
8:59.0,,,99-96,,M. Morris misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by K. Seraphin,,99-96,,
8:34.0,A. Jefferson misses 2-pt shot from 1 ft,,99-96,,
8:32.0,,,99-96,,Defensive rebound by B. Marjanovic
8:28.0,,,99-96,,M. Morris misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by Team,,99-96,,
8:28.0,Official timeout,,99-96,,
8:28.0,,,99-96,,A. Drummond enters the game for B. Marjanovic
8:28.0,M. Turner enters the game for K. Seraphin,,99-96,,
8:28.0,T. Young enters the game for A. Jefferson,,99-96,,
8:05.0,M. Ellis makes 2-pt shot from 13 ft,2,101-96,,
7:45.0,,,101-96,,S. Johnson misses 2-pt shot from 9 ft
7:45.0,,,101-96,,Offensive rebound by A. Drummond
7:42.0,,,101-96,,Detroit full timeout
7:42.0,,,101-96,,K. Caldwell-Pope enters the game for I. Smith
7:42.0,,,101-96,,R. Jackson enters the game for S. Johnson
7:42.0,P. George enters the game for A. Brooks,,101-96,,
7:42.0,J. Teague enters the game for C. Miles,,101-96,,
7:38.0,,,101-96,,T. Harris misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by P. George,,101-96,,
7:17.0,M. Ellis makes 2-pt shot from 1 ft (assist by T. Young),2,103-96,,
6:57.0,,,103-98,2,A. Drummond makes 2-pt shot from 6 ft (assist by T. Harris)
6:42.0,Shooting foul by K. Caldwell-Pope (drawn by J. Teague),,103-98,,
6:42.0,J. Teague misses free throw 1 of 2,,103-98,,
6:42.0,Offensive rebound by Team,,103-98,,
6:42.0,J. Teague makes free throw 2 of 2,1,104-98,,
6:29.0,,,104-98,,R. Jackson misses 2-pt shot from 6 ft
6:29.0,Defensive rebound by P. George,,104-98,,
6:20.0,T. Young misses 2-pt shot from 5 ft (block by A. Drummond),,104-98,,
6:19.0,,,104-98,,Defensive rebound by T. Harris
6:13.0,,,104-100,2,T. Harris makes 2-pt shot from 5 ft (assist by R. Jackson)
5:49.0,P. George makes 2-pt shot from 19 ft,2,106-100,,
5:37.0,,,106-100,,Shooting foul by M. Turner (drawn by T. Harris)
5:37.0,,,106-101,1,T. Harris makes free throw 1 of 2
5:37.0,,,106-102,1,T. Harris makes free throw 2 of 2
5:37.0,,,106-101,,J. Leuer enters the game for M. Morris
5:16.0,P. George makes 2-pt shot from 6 ft,2,108-102,,
4:57.0,,,108-102,,A. Drummond misses 2-pt shot from 4 ft
4:55.0,Defensive rebound by M. Turner,,108-102,,
4:41.0,Shooting foul by T. Harris (drawn by M. Turner),,108-102,,
4:41.0,M. Turner makes free throw 1 of 2,1,109-102,,
4:41.0,M. Turner misses free throw 2 of 2,,109-102,,
4:41.0,Offensive rebound by P. George,,109-102,,
4:29.0,Shooting foul by J. Leuer (drawn by P. George),,109-102,,
4:29.0,P. George makes free throw 1 of 2,1,110-102,,
4:29.0,P. George makes free throw 2 of 2,1,111-102,,
4:26.0,,,111-102,,Detroit full timeout
4:17.0,,,111-104,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
3:52.0,P. George misses 2-pt shot at rim,,111-104,,
3:52.0,,,111-104,,Defensive rebound by J. Leuer
3:44.0,,,111-104,,K. Caldwell-Pope misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by J. Teague,,111-104,,
3:36.0,,,111-104,,Personal foul by K. Caldwell-Pope (drawn by J. Teague)
3:28.0,P. George makes 2-pt shot from 16 ft (assist by M. Turner),2,113-104,,
3:28.0,Shooting foul by A. Drummond (drawn by P. George),,113-104,,
3:28.0,P. George makes free throw 1 of 1,1,114-104,,
3:28.0,,,113-104,,M. Morris enters the game for J. Leuer
3:28.0,G. Robinson enters the game for M. Ellis,,113-104,,
3:09.0,,,114-104,,A. Drummond misses 2-pt shot from 4 ft
3:08.0,Defensive rebound by M. Turner,,114-104,,
2:48.0,P. George makes 2-pt shot from 16 ft (assist by J. Teague),2,116-104,,
2:24.0,,,116-104,,R. Jackson misses 2-pt shot from 5 ft
2:24.0,Defensive rebound by P. George,,116-104,,
2:22.0,Indiana full timeout,,116-104,,
2:22.0,,,116-104,,Technical foul by A. Drummond
2:22.0,P. George makes technical free throw,1,117-104,,
2:22.0,M. Ellis enters the game for G. Robinson,,116-104,,
2:16.0,Turnover by J. Teague (bad pass),,117-104,,
2:09.0,G. Robinson enters the game for M. Ellis,,117-104,,
1:58.0,,,117-106,2,T. Harris makes 2-pt shot from 17 ft
1:47.0,Turnover by J. Teague (bad pass; steal by R. Jackson),,117-106,,
1:44.0,,,117-108,2,K. Caldwell-Pope makes 2-pt shot at rim
1:28.0,J. Teague makes 2-pt shot from 10 ft,2,119-108,,
1:16.0,,,119-111,3,M. Morris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
0:58.0,T. Young misses 3-pt shot from 24 ft,,119-111,,
0:57.0,,,119-111,,Defensive rebound by A. Drummond
0:50.0,,,119-114,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
0:50.0,Indiana full timeout,,119-114,,
0:50.0,M. Ellis enters the game for G. Robinson,,119-114,,
0:28.0,Turnover by M. Turner (lost ball; steal by R. Jackson),,119-114,,
0:23.0,,,119-114,,T. Harris misses 2-pt shot from 2 ft
0:23.0,,,119-114,,Offensive rebound by A. Drummond
0:20.0,,,119-116,2,A. Drummond makes 2-pt shot at rim
0:17.0,,,119-116,,Personal foul by K. Caldwell-Pope (drawn by M. Ellis)
0:17.0,M. Ellis makes free throw 1 of 2,1,120-116,,
0:17.0,M. Ellis makes free throw 2 of 2,1,121-116,,
0:17.0,,,121-116,,Detroit full timeout
0:17.0,,,120-116,,J. Leuer enters the game for T. Harris
