time,Memphis,pts.away,score,pts.home,Charlotte
7:13.0,Defensive rebound by T. Allen,,13-4,,
7:03.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Ennis),3,16-4,,
7:02.0,,,16-4,,Charlotte full timeout
6:45.0,,,16-4,,Turnover by N. Batum (bad pass; steal by M. Gasol)
6:29.0,M. Gasol misses 2-pt shot from 10 ft,,16-4,,
6:28.0,Offensive rebound by M. Gasol,,16-4,,
6:26.0,V. Carter enters the game for T. Allen,,16-4,,
6:26.0,A. Harrison enters the game for M. Conley,,16-4,,
6:13.0,Turnover by J. Ennis (bad pass; steal by K. Walker),,16-4,,
6:07.0,,,16-6,2,K. Walker makes 2-pt shot from 1 ft
5:56.0,V. Carter makes 2-pt shot from 2 ft (assist by M. Gasol),2,18-6,,
5:35.0,,,18-8,2,K. Walker makes 2-pt shot from 19 ft
5:12.0,M. Gasol makes 2-pt shot from 7 ft,2,20-8,,
5:04.0,,,20-8,,Shooting foul by A. Harrison (drawn by K. Walker)
5:04.0,,,20-9,1,K. Walker makes free throw 1 of 2
5:04.0,,,20-9,,K. Walker misses free throw 2 of 2
5:04.0,,,20-9,,S. Hawes enters the game for M. Kidd-Gilchrist
5:04.0,,,20-9,,F. Kaminsky enters the game for M. Williams
5:04.0,,,20-9,,M. Belinelli enters the game for R. Hibbert
5:02.0,Defensive rebound by J. Green,,20-9,,
4:50.0,A. Harrison misses 3-pt shot from 23 ft,,20-9,,
4:48.0,,,20-9,,Defensive rebound by S. Hawes
4:38.0,,,20-11,2,F. Kaminsky makes 2-pt shot at rim (assist by K. Walker)
4:31.0,Memphis full timeout,,20-11,,
4:15.0,J. Green makes 2-pt shot from 19 ft (assist by J. Ennis),2,22-11,,
4:04.0,,,22-11,,Shooting foul by J. Ennis (drawn by N. Batum)
4:04.0,,,22-12,1,N. Batum makes free throw 1 of 3
4:04.0,,,22-13,1,N. Batum makes free throw 2 of 3
4:04.0,,,22-14,1,N. Batum makes free throw 3 of 3
4:04.0,Z. Randolph enters the game for M. Gasol,,22-13,,
3:46.0,Turnover by J. Green (lost ball; steal by F. Kaminsky),,22-14,,
3:32.0,,,22-14,,N. Batum misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by A. Harrison,,22-14,,
3:20.0,,,22-14,,Def 3 sec tech foul by M. Belinelli
3:20.0,V. Carter makes technical free throw,1,23-14,,
3:14.0,J. Green makes 2-pt shot from 1 ft (assist by A. Harrison),2,25-14,,
3:14.0,Shooting foul by F. Kaminsky (drawn by J. Green),,25-14,,
3:14.0,,,25-14,,Violation by N. Batum (lane)
3:14.0,J. Green makes free throw 1 of 1,1,26-14,,
3:14.0,M. Conley enters the game for J. Ennis,,25-14,,
2:57.0,,,26-16,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
2:41.0,M. Conley misses 2-pt shot from 6 ft (block by S. Hawes),,26-16,,
2:41.0,,,26-16,,Defensive rebound by Team
2:40.0,J. Martin enters the game for J. Green,,26-16,,
2:28.0,,,26-19,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum)
2:16.0,Shooting foul by F. Kaminsky (drawn by J. Martin),,26-19,,
2:16.0,J. Martin makes free throw 1 of 2,1,27-19,,
2:16.0,J. Martin misses free throw 2 of 2,,27-19,,
2:16.0,,,27-19,,M. Williams enters the game for F. Kaminsky
2:16.0,,,27-19,,R. Sessions enters the game for K. Walker
2:12.0,,,27-19,,Defensive rebound by S. Hawes
2:01.0,,,27-19,,Turnover by N. Batum (bad pass; steal by M. Conley)
1:55.0,M. Conley makes 2-pt shot at rim,2,29-19,,
1:37.0,,,29-19,,M. Williams misses 2-pt shot from 1 ft
1:35.0,Defensive rebound by Z. Randolph,,29-19,,
1:19.0,M. Conley makes 3-pt shot from 23 ft (assist by V. Carter),3,32-19,,
1:00.0,,,32-22,3,M. Belinelli makes 3-pt shot from 25 ft (assist by M. Williams)
0:44.0,Z. Randolph misses 2-pt shot from 16 ft,,32-22,,
0:43.0,,,32-22,,Defensive rebound by M. Belinelli
0:35.0,,,32-22,,Shooting foul by J. Martin (drawn by R. Sessions)
0:35.0,,,32-22,,R. Sessions misses free throw 1 of 2
0:35.0,,,32-22,,Offensive rebound by Team
0:35.0,,,32-22,,R. Sessions misses free throw 2 of 2
0:34.0,Defensive rebound by Z. Randolph,,32-22,,
0:10.0,A. Harrison misses 2-pt shot from 21 ft,,32-22,,
0:08.0,,,32-22,,Defensive rebound by N. Batum
0:00.0,,,32-22,,S. Hawes misses 3-pt shot from 24 ft
0:00.0,,,32-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,32-22,,Shooting foul by Z. Randolph (drawn by M. Kidd-Gilchrist)
11:49.0,,,32-22,,M. Kidd-Gilchrist misses free throw 1 of 2
11:49.0,,,32-22,,Offensive rebound by Team
11:49.0,,,32-23,1,M. Kidd-Gilchrist makes free throw 2 of 2
11:37.0,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter),2,34-23,,
11:16.0,,,34-23,,S. Hawes misses 2-pt shot from 6 ft
11:14.0,,,34-23,,Offensive rebound by M. Kidd-Gilchrist
11:14.0,,,34-25,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
10:59.0,A. Harrison makes 3-pt shot from 24 ft (assist by M. Conley),3,37-25,,
10:43.0,,,37-25,,S. Hawes misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by M. Conley,,37-25,,
10:34.0,Z. Randolph misses 2-pt shot from 6 ft,,37-25,,
10:33.0,,,37-25,,Defensive rebound by M. Kidd-Gilchrist
10:27.0,,,37-28,3,M. Belinelli makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
10:27.0,,,37-28,,Shooting foul by A. Harrison (drawn by M. Belinelli)
10:27.0,,,37-29,1,M. Belinelli makes free throw 1 of 1
10:27.0,J. Ennis enters the game for A. Harrison,,37-28,,
10:17.0,M. Conley makes 2-pt shot from 19 ft,2,39-29,,
10:07.0,,,39-29,,Charlotte full timeout
10:00.0,,,39-29,,Shooting foul by J. Martin (drawn by M. Belinelli)
10:00.0,,,39-30,1,M. Belinelli makes free throw 1 of 2
10:00.0,,,39-31,1,M. Belinelli makes free throw 2 of 2
9:46.0,V. Carter makes 3-pt shot from 26 ft (assist by Z. Randolph),3,42-31,,
9:19.0,,,42-31,,R. Sessions misses 2-pt shot from 17 ft
9:18.0,Defensive rebound by Z. Randolph,,42-31,,
9:08.0,Z. Randolph misses 2-pt shot from 19 ft,,42-31,,
9:07.0,,,42-31,,Defensive rebound by S. Hawes
8:58.0,,,42-31,,M. Belinelli misses 2-pt shot from 19 ft
8:57.0,Defensive rebound by V. Carter,,42-31,,
8:44.0,V. Carter misses 3-pt shot from 23 ft,,42-31,,
8:43.0,,,42-31,,Defensive rebound by S. Hawes
8:24.0,,,42-31,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
8:23.0,Defensive rebound by Z. Randolph,,42-31,,
8:13.0,Z. Randolph misses 2-pt shot from 6 ft,,42-31,,
8:13.0,Offensive rebound by Team,,42-31,,
8:07.0,M. Conley misses 3-pt shot from 23 ft (block by R. Sessions),,42-31,,
8:06.0,,,42-31,,Defensive rebound by R. Sessions
8:01.0,,,42-33,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by R. Sessions)
7:55.0,Memphis full timeout,,42-33,,
7:55.0,A. Harrison enters the game for M. Conley,,42-33,,
7:55.0,M. Gasol enters the game for Z. Randolph,,42-33,,
7:55.0,J. Green enters the game for J. Martin,,42-33,,
7:36.0,M. Gasol makes 2-pt shot from 19 ft (assist by V. Carter),2,44-33,,
7:19.0,Personal foul by A. Harrison (drawn by R. Sessions),,44-33,,
7:19.0,,,44-33,,F. Kaminsky enters the game for M. Williams
7:19.0,,,44-33,,K. Walker enters the game for R. Sessions
7:19.0,T. Allen enters the game for A. Harrison,,44-33,,
7:12.0,,,44-35,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by M. Belinelli)
6:57.0,Turnover by V. Carter (bad pass; steal by M. Belinelli),,44-35,,
6:53.0,,,44-35,,Shooting foul by V. Carter (drawn by M. Kidd-Gilchrist)
6:53.0,,,44-36,1,M. Kidd-Gilchrist makes free throw 1 of 2
6:53.0,,,44-36,,Turnover by M. Kidd-Gilchrist (lane violation.)
6:38.0,J. Ennis makes 2-pt shot from 2 ft (assist by M. Gasol),2,46-36,,
6:18.0,,,46-36,,M. Belinelli misses 3-pt shot from 25 ft
6:16.0,,,46-36,,Offensive rebound by M. Kidd-Gilchrist
6:07.0,,,46-39,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist)
6:04.0,Memphis full timeout,,46-39,,
6:04.0,M. Conley enters the game for J. Ennis,,46-39,,
6:04.0,,,46-39,,N. Batum enters the game for M. Kidd-Gilchrist
5:50.0,Turnover by M. Gasol (traveling),,46-39,,
5:38.0,,,46-39,,Turnover by S. Hawes (bad pass; steal by V. Carter)
5:30.0,T. Allen misses 2-pt shot from 1 ft (block by F. Kaminsky),,46-39,,
5:28.0,,,46-39,,Defensive rebound by M. Belinelli
5:20.0,,,46-39,,M. Belinelli misses 2-pt shot from 2 ft (block by T. Allen)
5:18.0,Defensive rebound by M. Gasol,,46-39,,
5:05.0,M. Gasol makes 3-pt shot from 25 ft (assist by V. Carter),3,49-39,,
4:43.0,,,49-39,,S. Hawes misses 2-pt shot from 14 ft (block by M. Gasol)
4:41.0,Defensive rebound by V. Carter,,49-39,,
4:34.0,M. Conley makes 3-pt shot from 24 ft,3,52-39,,
4:29.0,,,52-39,,Charlotte full timeout
4:12.0,,,52-39,,F. Kaminsky misses 2-pt shot from 2 ft
4:11.0,Defensive rebound by T. Allen,,52-39,,
3:58.0,T. Allen makes 2-pt shot at rim (assist by J. Green),2,54-39,,
3:33.0,,,54-39,,K. Walker misses 2-pt shot from 1 ft (block by M. Gasol)
3:31.0,Defensive rebound by M. Gasol,,54-39,,
3:15.0,T. Allen makes 3-pt shot from 23 ft (assist by V. Carter),3,57-39,,
3:00.0,,,57-41,2,K. Walker makes 2-pt shot from 17 ft
2:38.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,59-41,,
2:38.0,Shooting foul by S. Hawes (drawn by M. Gasol),,59-41,,
2:38.0,Official timeout,,59-41,,
2:38.0,M. Gasol makes free throw 1 of 1,1,60-41,,
2:38.0,,,59-41,,M. Williams enters the game for M. Belinelli
2:38.0,,,59-41,,M. Kidd-Gilchrist enters the game for F. Kaminsky
2:24.0,,,60-41,,S. Hawes misses 2-pt shot from 2 ft (block by J. Green)
2:22.0,Defensive rebound by M. Conley,,60-41,,
2:04.0,M. Conley misses 3-pt shot from 25 ft,,60-41,,
2:01.0,Offensive rebound by Team,,60-41,,
1:54.0,V. Carter misses 3-pt shot from 25 ft,,60-41,,
1:52.0,,,60-41,,Defensive rebound by M. Kidd-Gilchrist
1:41.0,,,60-41,,K. Walker misses 2-pt shot from 18 ft
1:40.0,Defensive rebound by J. Green,,60-41,,
1:32.0,Turnover by M. Gasol (lost ball; steal by N. Batum),,60-41,,
1:28.0,,,60-41,,Turnover by S. Hawes (lost ball; steal by M. Conley)
1:19.0,T. Allen makes 2-pt shot from 21 ft (assist by M. Gasol),2,62-41,,
1:05.0,,,62-41,,N. Batum misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by M. Gasol,,62-41,,
0:56.0,Shooting foul by S. Hawes (drawn by M. Conley),,62-41,,
0:56.0,M. Conley makes free throw 1 of 2,1,63-41,,
0:56.0,M. Conley makes free throw 2 of 2,1,64-41,,
0:41.0,,,64-44,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
0:33.0,M. Gasol misses 2-pt shot from 1 ft (block by S. Hawes),,64-44,,
0:33.0,Offensive rebound by Team,,64-44,,
0:31.0,M. Conley misses 2-pt shot from 20 ft,,64-44,,
0:31.0,Offensive rebound by Team,,64-44,,
0:31.0,,,64-44,,Loose ball foul by M. Williams (drawn by J. Green)
0:31.0,J. Green makes free throw 1 of 2,1,65-44,,
0:31.0,J. Green makes free throw 2 of 2,1,66-44,,
0:12.0,,,66-44,,Shooting foul by J. Green (drawn by K. Walker)
0:12.0,,,66-44,,K. Walker misses free throw 1 of 2
0:12.0,,,66-44,,Offensive rebound by Team
0:12.0,,,66-45,1,K. Walker makes free throw 2 of 2
0:12.0,,,66-44,,M. Belinelli enters the game for S. Hawes
0:12.0,T. Daniels enters the game for T. Allen,,66-44,,
0:03.0,M. Conley makes 3-pt shot from 27 ft,3,69-45,,
0:00.0,,,69-45,,K. Walker misses 3-pt shot from 46 ft
0:00.0,,,69-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,69-45,,Turnover by N. Batum (bad pass)
11:34.0,Turnover by M. Gasol (traveling),,69-45,,
11:19.0,,,69-45,,S. Hawes misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by J. Green,,69-45,,
11:07.0,M. Conley makes 2-pt shot from 12 ft,2,71-45,,
10:41.0,,,71-45,,K. Walker misses 3-pt shot from 31 ft
10:41.0,,,71-45,,Offensive rebound by Team
10:41.0,,,71-45,,Turnover by Team (shot clock)
10:25.0,M. Gasol misses 2-pt shot from 15 ft,,71-45,,
10:23.0,,,71-45,,Defensive rebound by M. Williams
10:14.0,,,71-45,,K. Walker misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by Team,,71-45,,
9:59.0,T. Allen misses 3-pt shot from 24 ft,,71-45,,
9:58.0,,,71-45,,Defensive rebound by S. Hawes
9:42.0,,,71-45,,Shooting foul by V. Carter (drawn by K. Walker)
9:42.0,,,71-46,1,K. Walker makes free throw 1 of 2
9:42.0,,,71-47,1,K. Walker makes free throw 2 of 2
9:26.0,M. Gasol misses 2-pt shot from 6 ft,,71-47,,
9:25.0,,,71-47,,Defensive rebound by S. Hawes
9:14.0,,,71-47,,M. Williams misses 3-pt shot from 25 ft
9:13.0,,,71-47,,Offensive rebound by S. Hawes
9:09.0,,,71-50,3,N. Batum makes 3-pt shot from 24 ft (assist by S. Hawes)
9:09.0,Memphis full timeout,,71-50,,
8:58.0,Shooting foul by N. Batum (drawn by V. Carter),,71-50,,
8:58.0,V. Carter misses free throw 1 of 2,,71-50,,
8:58.0,Offensive rebound by Team,,71-50,,
8:58.0,V. Carter makes free throw 2 of 2,1,72-50,,
8:34.0,,,72-50,,K. Walker misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by V. Carter,,72-50,,
8:19.0,Offensive charge foul by T. Allen,,72-50,,
8:19.0,Turnover by T. Allen (offensive foul),,72-50,,
8:05.0,,,72-50,,M. Williams misses 2-pt shot from 8 ft
8:04.0,Defensive rebound by V. Carter,,72-50,,
7:52.0,M. Conley misses 2-pt shot from 21 ft,,72-50,,
7:51.0,,,72-50,,Defensive rebound by N. Batum
7:48.0,,,72-50,,Shooting foul by V. Carter (drawn by M. Kidd-Gilchrist)
7:48.0,,,72-50,,M. Kidd-Gilchrist misses free throw 1 of 2
7:48.0,,,72-50,,Offensive rebound by Team
7:48.0,,,72-50,,M. Kidd-Gilchrist misses free throw 2 of 2
7:48.0,A. Harrison enters the game for V. Carter,,72-50,,
7:46.0,Defensive rebound by J. Green,,72-50,,
7:26.0,M. Conley makes 2-pt shot from 18 ft (assist by A. Harrison),2,74-50,,
7:26.0,Violation by Team (jump ball),,74-50,,
7:12.0,,,74-50,,Shooting foul by J. Green (drawn by N. Batum)
7:12.0,,,74-50,,N. Batum misses free throw 1 of 3
7:12.0,,,74-50,,Offensive rebound by Team
7:12.0,,,74-51,1,N. Batum makes free throw 2 of 3
7:12.0,,,74-52,1,N. Batum makes free throw 3 of 3
6:54.0,M. Gasol misses 2-pt shot from 16 ft,,74-52,,
6:53.0,,,74-52,,Defensive rebound by K. Walker
6:45.0,,,74-52,,S. Hawes misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by J. Green,,74-52,,
6:28.0,Shooting foul by M. Kidd-Gilchrist (drawn by M. Conley),,74-52,,
6:28.0,M. Conley makes free throw 1 of 2,1,75-52,,
6:28.0,M. Conley makes free throw 2 of 2,1,76-52,,
6:28.0,T. Williams enters the game for T. Allen,,75-52,,
6:15.0,,,76-52,,N. Batum misses 3-pt shot from 25 ft
6:14.0,,,76-52,,Offensive rebound by M. Kidd-Gilchrist
6:14.0,,,76-54,2,M. Kidd-Gilchrist makes 2-pt shot at rim
5:59.0,M. Gasol misses 2-pt shot from 13 ft,,76-54,,
5:59.0,,,76-54,,Defensive rebound by N. Batum
5:53.0,,,76-56,2,K. Walker makes 2-pt shot from 1 ft
5:40.0,M. Conley misses 2-pt shot from 21 ft,,76-56,,
5:40.0,Offensive rebound by Team,,76-56,,
5:40.0,Turnover by M. Conley (traveling),,76-56,,
5:40.0,,,76-56,,Charlotte full timeout
5:23.0,,,76-56,,Offensive foul by S. Hawes
5:23.0,,,76-56,,Turnover by S. Hawes (offensive foul)
5:06.0,M. Conley misses 2-pt shot from 2 ft,,76-56,,
5:05.0,,,76-56,,Defensive rebound by M. Kidd-Gilchrist
4:56.0,,,76-59,3,S. Hawes makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
4:34.0,T. Williams misses 3-pt shot from 24 ft,,76-59,,
4:31.0,,,76-59,,Defensive rebound by S. Hawes
4:24.0,,,76-59,,N. Batum misses 3-pt shot from 26 ft
4:22.0,Defensive rebound by J. Green,,76-59,,
4:02.0,M. Gasol misses 2-pt shot from 18 ft,,76-59,,
4:01.0,,,76-59,,Defensive rebound by N. Batum
3:52.0,,,76-59,,K. Walker misses 3-pt shot from 25 ft
3:52.0,,,76-59,,Offensive rebound by Team
3:52.0,Loose ball foul by A. Harrison (drawn by S. Hawes),,76-59,,
3:52.0,,,76-59,,M. Belinelli enters the game for M. Kidd-Gilchrist
3:52.0,,,76-59,,F. Kaminsky enters the game for M. Williams
3:52.0,,,76-59,,R. Hibbert enters the game for S. Hawes
3:52.0,V. Carter enters the game for M. Gasol,,76-59,,
3:52.0,Z. Randolph enters the game for A. Harrison,,76-59,,
3:52.0,T. Allen enters the game for T. Williams,,76-59,,
3:38.0,,,76-62,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by M. Belinelli)
3:38.0,Memphis full timeout,,76-62,,
3:38.0,A. Harrison enters the game for M. Conley,,76-62,,
3:16.0,A. Harrison misses 2-pt shot from 2 ft (block by M. Belinelli),,76-62,,
3:16.0,Offensive rebound by Team,,76-62,,
3:13.0,Z. Randolph misses 2-pt shot from 17 ft,,76-62,,
3:10.0,Offensive rebound by V. Carter,,76-62,,
2:51.0,T. Allen misses 2-pt shot from 4 ft (block by M. Belinelli),,76-62,,
2:49.0,,,76-62,,Defensive rebound by M. Belinelli
2:44.0,,,76-64,2,M. Belinelli makes 2-pt shot from 1 ft
2:24.0,Z. Randolph makes 2-pt shot from 17 ft (assist by T. Allen),2,78-64,,
2:07.0,,,78-64,,N. Batum misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by Z. Randolph,,78-64,,
1:54.0,V. Carter misses 2-pt shot from 1 ft,,78-64,,
1:52.0,,,78-64,,Defensive rebound by K. Walker
1:40.0,,,78-66,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by M. Belinelli)
1:20.0,,,78-66,,Personal foul by R. Hibbert (drawn by Z. Randolph)
1:20.0,,,78-66,,R. Sessions enters the game for K. Walker
1:06.0,T. Allen misses 2-pt shot from 3 ft (block by F. Kaminsky),,78-66,,
1:04.0,Offensive rebound by J. Green,,78-66,,
1:04.0,J. Green makes 2-pt shot at rim,2,80-66,,
0:49.0,,,80-68,2,F. Kaminsky makes 2-pt shot from 6 ft
0:36.0,Z. Randolph makes 2-pt shot from 1 ft,2,82-68,,
0:21.0,,,82-70,2,F. Kaminsky makes 2-pt shot from 7 ft
0:21.0,,,82-70,,Shooting foul by J. Green (drawn by F. Kaminsky)
0:21.0,,,82-71,1,F. Kaminsky makes free throw 1 of 1
0:01.0,A. Harrison makes 2-pt shot from 2 ft,2,84-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,V. Carter misses 3-pt shot from 26 ft,,84-71,,
11:37.0,,,84-71,,Defensive rebound by S. Hawes
11:17.0,,,84-73,2,F. Kaminsky makes 2-pt shot from 1 ft
11:02.0,Z. Randolph misses 2-pt shot from 5 ft (block by F. Kaminsky),,84-73,,
11:00.0,,,84-73,,Defensive rebound by R. Sessions
10:53.0,M. Conley enters the game for A. Harrison,,84-73,,
10:43.0,,,84-75,2,S. Hawes makes 2-pt shot from 1 ft (assist by R. Sessions)
10:25.0,Turnover by M. Gasol (lost ball; steal by M. Belinelli),,84-75,,
10:25.0,Personal foul by T. Allen (drawn by M. Kidd-Gilchrist),,84-75,,
10:11.0,,,84-75,,M. Belinelli misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by M. Conley,,84-75,,
9:57.0,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Gasol),2,86-75,,
9:45.0,Personal foul by T. Allen (drawn by S. Hawes),,86-75,,
9:35.0,,,86-77,2,S. Hawes makes 2-pt shot from 15 ft (assist by M. Belinelli)
9:16.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Gasol),3,89-77,,
8:59.0,,,89-77,,Shooting foul by M. Conley (drawn by M. Kidd-Gilchrist)
8:59.0,Official timeout,,89-77,,
8:59.0,,,89-78,1,M. Kidd-Gilchrist makes free throw 1 of 2
8:59.0,,,89-78,,M. Kidd-Gilchrist misses free throw 2 of 2
8:57.0,Defensive rebound by Z. Randolph,,89-78,,
8:37.0,V. Carter misses 3-pt shot from 25 ft,,89-78,,
8:37.0,,,89-78,,Defensive rebound by Team
8:37.0,Loose ball foul by Z. Randolph (drawn by F. Kaminsky),,89-78,,
8:23.0,,,89-78,,Turnover by M. Belinelli (bad pass; steal by M. Conley)
8:08.0,M. Conley makes 2-pt shot from 11 ft,2,91-78,,
7:55.0,Personal foul by T. Allen (drawn by M. Belinelli),,91-78,,
7:55.0,,,91-78,,M. Belinelli misses free throw 1 of 2
7:55.0,,,91-78,,Offensive rebound by Team
7:55.0,,,91-79,1,M. Belinelli makes free throw 2 of 2
7:39.0,Turnover by M. Gasol (lost ball; steal by S. Hawes),,91-79,,
7:23.0,,,91-79,,Turnover by F. Kaminsky (bad pass; steal by T. Allen)
6:58.0,M. Conley misses 3-pt shot from 25 ft,,91-79,,
6:56.0,,,91-79,,Defensive rebound by M. Belinelli
6:46.0,A. Harrison enters the game for T. Allen,,91-79,,
6:46.0,,,91-79,,K. Walker enters the game for R. Sessions
6:41.0,Personal foul by A. Harrison (drawn by M. Belinelli),,91-79,,
6:41.0,,,91-80,1,M. Belinelli makes free throw 1 of 2
6:41.0,,,91-81,1,M. Belinelli makes free throw 2 of 2
6:41.0,,,91-80,,N. Batum enters the game for M. Kidd-Gilchrist
6:19.0,A. Harrison misses 2-pt shot from 2 ft (block by K. Walker),,91-81,,
6:19.0,Offensive rebound by Team,,91-81,,
6:19.0,,,91-81,,Violation by N. Batum (kicked ball)
6:12.0,Z. Randolph misses 2-pt shot from 21 ft,,91-81,,
6:10.0,,,91-81,,Defensive rebound by M. Belinelli
6:04.0,,,91-81,,M. Belinelli misses 2-pt shot from 5 ft (block by A. Harrison)
6:02.0,Defensive rebound by Z. Randolph,,91-81,,
5:43.0,Z. Randolph makes 2-pt shot from 2 ft,2,93-81,,
5:43.0,,,93-81,,Charlotte full timeout
5:43.0,T. Allen enters the game for V. Carter,,93-81,,
5:23.0,,,93-81,,K. Walker misses 3-pt shot from 25 ft (block by M. Gasol)
5:21.0,Defensive rebound by M. Gasol,,93-81,,
5:16.0,M. Conley makes 2-pt shot from 1 ft,2,95-81,,
4:55.0,,,95-81,,F. Kaminsky misses 3-pt shot from 27 ft
4:54.0,Defensive rebound by M. Gasol,,95-81,,
4:33.0,Z. Randolph makes 2-pt shot from 1 ft,2,97-81,,
4:21.0,,,97-83,2,S. Hawes makes 2-pt shot from 2 ft (assist by K. Walker)
4:01.0,M. Conley makes 3-pt shot from 23 ft (assist by A. Harrison),3,100-83,,
4:01.0,,,100-83,,Charlotte full timeout
3:46.0,,,100-85,2,S. Hawes makes 2-pt shot from 9 ft (assist by N. Batum)
3:29.0,M. Gasol misses 3-pt shot from 25 ft,,100-85,,
3:27.0,Offensive rebound by Z. Randolph,,100-85,,
3:27.0,Z. Randolph makes 2-pt shot from 1 ft,2,102-85,,
3:14.0,,,102-85,,Shooting foul by M. Gasol (drawn by F. Kaminsky)
3:14.0,,,102-85,,F. Kaminsky misses free throw 1 of 2
3:14.0,,,102-85,,Offensive rebound by Team
3:14.0,,,102-86,1,F. Kaminsky makes free throw 2 of 2
3:14.0,,,102-85,,A. Harrison enters the game for N. Batum
3:14.0,,,102-85,,B. Roberts enters the game for K. Walker
3:12.0,,,102-86,,Personal take foul by A. Harrison (drawn by A. Harrison)
