time,Utah,pts.away,score,pts.home,Memphis
6:04.0,D. Favors misses 2-pt shot from 18 ft,,45-51,,
6:03.0,,,45-51,,Defensive rebound by J. Green
5:56.0,,,45-51,,Memphis full timeout
5:56.0,J. Ingles enters the game for D. Favors,,45-51,,
5:56.0,B. Diaw enters the game for R. Hood,,45-51,,
5:51.0,,,45-51,,Turnover by T. Allen (bad pass; steal by G. Hayward)
5:46.0,G. Hayward makes 2-pt shot from 1 ft,2,47-51,,
5:33.0,,,47-51,,Turnover by T. Allen (lost ball; steal by G. Hill)
5:26.0,,,47-51,,Violation by V. Carter (kicked ball)
5:20.0,G. Hayward misses 2-pt shot from 18 ft,,47-51,,
5:19.0,,,47-51,,Defensive rebound by V. Carter
5:06.0,,,47-51,,M. Gasol misses 2-pt shot from 22 ft
5:06.0,Defensive rebound by G. Hayward,,47-51,,
4:45.0,Shooting foul by M. Gasol (drawn by R. Gobert),,47-51,,
4:45.0,R. Gobert makes free throw 1 of 2,1,48-51,,
4:45.0,R. Gobert makes free throw 2 of 2,1,49-51,,
4:45.0,,,48-51,,Z. Randolph enters the game for J. Green
4:45.0,,,48-51,,T. Daniels enters the game for J. Ennis
4:21.0,,,49-51,,Z. Randolph misses 2-pt shot from 16 ft
4:21.0,,,49-51,,Offensive rebound by T. Allen
4:21.0,,,49-51,,Turnover by Team (shot clock)
4:07.0,G. Hayward misses 2-pt shot from 2 ft,,49-51,,
4:05.0,,,49-51,,Defensive rebound by Z. Randolph
3:48.0,,,49-51,,M. Gasol misses 2-pt shot from 4 ft (block by B. Diaw)
3:46.0,,,49-51,,Offensive rebound by Z. Randolph
3:46.0,,,49-51,,Z. Randolph misses 2-pt shot from 1 ft
3:45.0,Defensive rebound by G. Hill,,49-51,,
3:31.0,Shooting foul by M. Gasol (drawn by R. Gobert),,49-51,,
3:31.0,R. Gobert misses free throw 1 of 2,,49-51,,
3:31.0,Offensive rebound by Team,,49-51,,
3:31.0,R. Gobert misses free throw 2 of 2,,49-51,,
3:31.0,,,49-51,,M. Conley enters the game for T. Allen
3:29.0,,,49-51,,Defensive rebound by M. Gasol
3:09.0,,,49-51,,T. Daniels misses 2-pt shot from 21 ft
3:08.0,Defensive rebound by R. Gobert,,49-51,,
2:44.0,G. Hill misses 3-pt shot from 23 ft,,49-51,,
2:43.0,,,49-51,,Defensive rebound by T. Daniels
2:32.0,,,49-53,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
2:26.0,Utah full timeout,,49-53,,
2:26.0,J. Johnson enters the game for G. Hayward,,49-53,,
2:11.0,Shooting foul by M. Conley (drawn by G. Hill),,49-53,,
2:11.0,G. Hill misses free throw 1 of 2,,49-53,,
2:11.0,Offensive rebound by Team,,49-53,,
2:11.0,G. Hill makes free throw 2 of 2,1,50-53,,
1:51.0,,,50-53,,Z. Randolph misses 2-pt shot from 6 ft (block by R. Gobert)
1:47.0,Defensive rebound by G. Hill,,50-53,,
1:43.0,G. Hill misses 2-pt shot from 3 ft,,50-53,,
1:39.0,Offensive rebound by R. Gobert,,50-53,,
1:39.0,R. Gobert misses 2-pt shot from 2 ft,,50-53,,
1:37.0,,,50-53,,Defensive rebound by T. Daniels
1:27.0,,,50-53,,Turnover by Z. Randolph (traveling)
1:27.0,,,50-53,,J. Green enters the game for M. Gasol
1:27.0,D. Favors enters the game for R. Gobert,,50-53,,
1:27.0,S. Mack enters the game for G. Hill,,50-53,,
1:09.0,J. Johnson misses 2-pt shot from 8 ft,,50-53,,
1:08.0,,,50-53,,Defensive rebound by M. Conley
1:01.0,,,50-55,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
0:49.0,Shooting foul by T. Daniels (drawn by J. Ingles),,50-55,,
0:49.0,J. Ingles misses free throw 1 of 3,,50-55,,
0:49.0,Offensive rebound by Team,,50-55,,
0:49.0,J. Ingles misses free throw 2 of 3,,50-55,,
0:49.0,Offensive rebound by Team,,50-55,,
0:49.0,J. Ingles makes free throw 3 of 3,1,51-55,,
0:39.0,Violation by D. Favors (def goaltending),,51-55,,
0:39.0,,,51-57,2,M. Conley makes 2-pt shot from 2 ft
0:33.0,S. Mack misses 2-pt shot from 6 ft,,51-57,,
0:30.0,,,51-57,,Defensive rebound by Z. Randolph
0:15.0,Personal foul by J. Ingles (drawn by T. Daniels),,51-57,,
0:04.0,,,51-60,3,T. Daniels makes 3-pt shot from 24 ft (assist by M. Conley)
0:02.0,Turnover by D. Favors (lost ball; steal by Z. Randolph),,51-60,,
0:01.0,,,51-63,3,V. Carter makes 3-pt shot from 27 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,51-63,,Z. Randolph misses 2-pt shot from 5 ft
11:42.0,Defensive rebound by S. Mack,,51-63,,
11:36.0,R. Hood makes 3-pt shot from 23 ft (assist by S. Mack),3,54-63,,
11:18.0,,,54-63,,V. Carter misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by J. Johnson,,54-63,,
10:55.0,R. Hood misses 2-pt shot from 14 ft,,54-63,,
10:53.0,,,54-63,,Defensive rebound by Z. Randolph
10:36.0,,,54-63,,Turnover by M. Conley (bad pass; steal by D. Favors)
10:30.0,,,54-63,,Personal foul by J. Green (drawn by J. Johnson)
10:30.0,J. Ingles enters the game for J. Johnson,,54-63,,
10:30.0,,,54-63,,J. Ennis enters the game for V. Carter
10:21.0,Turnover by R. Hood (bad pass),,54-63,,
10:09.0,,,54-63,,Z. Randolph misses 2-pt shot from 21 ft
10:08.0,Defensive rebound by B. Diaw,,54-63,,
9:54.0,D. Favors misses 2-pt shot from 2 ft,,54-63,,
9:53.0,,,54-63,,Defensive rebound by Z. Randolph
9:34.0,,,54-63,,M. Conley misses 2-pt shot from 14 ft
9:33.0,Defensive rebound by B. Diaw,,54-63,,
9:23.0,S. Mack misses 2-pt shot from 3 ft (block by Z. Randolph),,54-63,,
9:22.0,,,54-63,,Defensive rebound by Team
9:22.0,G. Hill enters the game for S. Mack,,54-63,,
9:12.0,,,54-63,,Turnover by T. Daniels (bad pass)
8:47.0,D. Favors misses 3-pt shot from 24 ft,,54-63,,
8:46.0,,,54-63,,Defensive rebound by J. Green
8:42.0,,,54-63,,Shooting foul by J. Ingles (drawn by J. Ennis)
8:42.0,,,54-63,,Memphis full timeout
8:42.0,,,54-64,1,J. Ennis makes free throw 1 of 2
8:42.0,,,54-65,1,J. Ennis makes free throw 2 of 2
8:42.0,,,54-63,,A. Harrison enters the game for M. Conley
8:42.0,G. Hayward enters the game for B. Diaw,,54-63,,
8:42.0,J. Johnson enters the game for J. Ingles,,54-63,,
8:24.0,J. Johnson misses 2-pt shot from 22 ft,,54-65,,
8:22.0,,,54-65,,Defensive rebound by J. Ennis
8:06.0,,,54-68,3,T. Daniels makes 3-pt shot from 25 ft (assist by A. Harrison)
7:58.0,Offensive foul by G. Hill,,54-68,,
7:58.0,Turnover by G. Hill (offensive foul),,54-68,,
7:49.0,,,54-70,2,Z. Randolph makes 2-pt shot from 6 ft
7:49.0,,,54-70,,Shooting foul by D. Favors (drawn by Z. Randolph)
7:49.0,,,54-71,1,Z. Randolph makes free throw 1 of 1
7:49.0,R. Gobert enters the game for D. Favors,,54-70,,
7:43.0,,,54-71,,Personal foul by A. Harrison (drawn by G. Hill)
7:32.0,J. Johnson misses 2-pt shot from 10 ft,,54-71,,
7:31.0,Offensive rebound by R. Gobert,,54-71,,
7:31.0,Shooting foul by Z. Randolph (drawn by R. Gobert),,54-71,,
7:31.0,R. Gobert makes free throw 1 of 2,1,55-71,,
7:31.0,R. Gobert misses free throw 2 of 2,,55-71,,
7:31.0,,,55-71,,Defensive rebound by Z. Randolph
7:15.0,,,55-71,,A. Harrison misses 3-pt shot from 25 ft
7:14.0,,,55-71,,Offensive rebound by Team
7:14.0,Loose ball foul by G. Hill (drawn by J. Ennis),,55-71,,
7:04.0,,,55-71,,T. Daniels misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by J. Johnson,,55-71,,
6:56.0,R. Hood misses 3-pt shot from 23 ft,,55-71,,
6:53.0,Offensive rebound by R. Gobert,,55-71,,
6:53.0,R. Gobert misses 2-pt shot from 2 ft,,55-71,,
6:49.0,,,55-71,,Defensive rebound by Z. Randolph
6:36.0,,,55-71,,Turnover by Z. Randolph (lost ball; steal by R. Gobert)
6:24.0,,,55-71,,Personal foul by J. Green (drawn by R. Gobert)
6:24.0,T. Lyles enters the game for J. Johnson,,55-71,,
6:24.0,,,55-71,,M. Gasol enters the game for Z. Randolph
6:24.0,,,55-71,,M. Conley enters the game for A. Harrison
6:12.0,R. Hood misses 3-pt shot from 25 ft,,55-71,,
6:11.0,,,55-71,,Defensive rebound by J. Ennis
5:59.0,,,55-71,,Turnover by J. Ennis (bad pass; steal by G. Hayward)
5:53.0,Turnover by G. Hayward (lost ball; steal by J. Ennis),,55-71,,
5:49.0,,,55-71,,Shooting foul by T. Lyles (drawn by J. Green)
5:49.0,,,55-71,,Memphis full timeout
5:49.0,,,55-71,,J. Green misses free throw 1 of 2
5:49.0,,,55-71,,Offensive rebound by Team
5:49.0,,,55-72,1,J. Green makes free throw 2 of 2
5:39.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,58-72,,
5:39.0,Shooting foul by J. Ennis (drawn by G. Hayward),,58-72,,
5:39.0,G. Hayward makes free throw 1 of 1,1,59-72,,
5:18.0,,,59-72,,M. Conley misses 2-pt shot from 2 ft
5:18.0,Defensive rebound by Team,,59-72,,
5:07.0,G. Hayward misses 3-pt shot from 25 ft,,59-72,,
5:06.0,,,59-72,,Defensive rebound by J. Green
4:55.0,,,59-72,,M. Gasol misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by R. Gobert,,59-72,,
4:54.0,Turnover by R. Gobert (lost ball),,59-72,,
4:44.0,,,59-75,3,J. Ennis makes 3-pt shot from 23 ft (assist by M. Gasol)
4:23.0,T. Lyles makes 3-pt shot from 24 ft (assist by G. Hayward),3,62-75,,
4:01.0,,,62-75,,Offensive foul by J. Green
4:01.0,,,62-75,,Turnover by J. Green (offensive foul)
4:01.0,,,62-75,,Technical foul by J. Green
4:01.0,G. Hayward makes technical free throw,1,63-75,,
4:01.0,A. Burks enters the game for R. Hood,,62-75,,
4:01.0,,,62-75,,Z. Randolph enters the game for J. Green
4:01.0,,,63-75,,V. Carter enters the game for T. Daniels
3:50.0,,,63-75,,Violation by M. Gasol (kicked ball)
3:40.0,T. Lyles makes 3-pt shot from 25 ft (assist by G. Hayward),3,66-75,,
3:18.0,,,66-78,3,M. Conley makes 3-pt shot from 24 ft (assist by Z. Randolph)
2:59.0,,,66-78,,Personal foul by M. Conley (drawn by G. Hayward)
2:59.0,Utah full timeout,,66-78,,
2:59.0,G. Hayward makes free throw 1 of 2,1,67-78,,
2:59.0,G. Hayward makes free throw 2 of 2,1,68-78,,
2:46.0,,,68-80,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley)
2:32.0,G. Hayward makes 2-pt shot from 3 ft,2,70-80,,
2:14.0,,,70-80,,Z. Randolph misses 2-pt shot from 15 ft
2:13.0,Defensive rebound by T. Lyles,,70-80,,
2:02.0,G. Hill makes 2-pt shot from 2 ft,2,72-80,,
1:53.0,,,72-80,,Memphis full timeout
1:53.0,R. Hood enters the game for A. Burks,,72-80,,
1:38.0,,,72-82,2,Z. Randolph makes 2-pt shot from 4 ft
1:29.0,T. Lyles makes 3-pt shot from 23 ft (assist by G. Hill),3,75-82,,
1:14.0,,,75-82,,Turnover by M. Conley (bad pass; steal by T. Lyles)
1:10.0,G. Hill makes 2-pt shot from 1 ft (assist by T. Lyles),2,77-82,,
0:48.0,,,77-82,,M. Gasol misses 2-pt shot from 14 ft
0:47.0,,,77-82,,Offensive rebound by Z. Randolph
0:43.0,,,77-82,,Memphis full timeout
0:25.0,,,77-82,,Shooting foul by R. Gobert (drawn by M. Gasol)
0:25.0,Technical foul by R. Gobert (drawn by M. Gasol),,77-82,,
0:25.0,,,77-82,,M. Gasol misses technical free throw
0:25.0,,,77-82,,Offensive rebound by Team
0:25.0,,,77-83,1,M. Gasol makes free throw 1 of 3
0:25.0,,,77-84,1,M. Gasol makes free throw 2 of 3
