time,New Orleans,pts.away,score,pts.home,New York
10:16.0,Defensive rebound by A. Davis,,64-53,,
9:53.0,Turnover by Team (shot clock),,64-53,,
9:32.0,,,64-56,3,B. Jennings makes 3-pt shot from 26 ft
9:13.0,J. Holiday makes 2-pt shot from 2 ft (assist by A. Davis),2,66-56,,
9:13.0,Shooting foul by K. Porzingis (drawn by J. Holiday),,66-56,,
9:13.0,J. Holiday misses free throw 1 of 1,,66-56,,
9:12.0,,,66-56,,Defensive rebound by J. Noah
8:49.0,,,66-56,,C. Lee misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by B. Hield,,66-56,,
8:39.0,A. Davis misses 2-pt shot from 9 ft,,66-56,,
8:38.0,,,66-56,,Defensive rebound by K. Porzingis
8:18.0,,,66-58,2,C. Anthony makes 2-pt shot from 20 ft
8:02.0,J. Holiday misses 2-pt shot from 2 ft,,66-58,,
8:01.0,,,66-58,,Defensive rebound by J. Noah
7:55.0,,,66-58,,Turnover by C. Anthony (lost ball; steal by S. Hill)
7:50.0,D. Cunningham misses 2-pt shot from 3 ft,,66-58,,
7:48.0,Offensive rebound by A. Davis,,66-58,,
7:48.0,A. Davis makes 2-pt shot at rim,2,68-58,,
7:30.0,,,68-58,,C. Lee misses 2-pt shot from 3 ft (block by A. Davis)
7:29.0,Defensive rebound by B. Hield,,68-58,,
7:25.0,B. Hield misses 3-pt shot from 24 ft,,68-58,,
7:22.0,Offensive rebound by A. Davis,,68-58,,
7:22.0,A. Davis misses 2-pt shot from 1 ft,,68-58,,
7:21.0,,,68-58,,Defensive rebound by J. Noah
7:16.0,,,68-58,,Turnover by B. Jennings (lost ball; steal by J. Holiday)
7:13.0,A. Davis makes 2-pt shot at rim (assist by S. Hill),2,70-58,,
7:13.0,,,70-58,,New York full timeout
6:56.0,,,70-58,,C. Anthony misses 2-pt shot from 16 ft
6:56.0,,,70-58,,Offensive rebound by J. Noah
6:56.0,,,70-60,2,J. Noah makes 2-pt shot from 1 ft
6:38.0,Turnover by J. Holiday (bad pass; steal by B. Jennings),,70-60,,
6:24.0,,,70-60,,Turnover by K. Porzingis (bad pass; steal by S. Hill)
6:21.0,S. Hill makes 2-pt shot at rim,2,72-60,,
6:02.0,,,72-60,,Shooting foul by A. Davis (drawn by C. Anthony)
6:02.0,,,72-60,,C. Anthony misses free throw 1 of 2
6:02.0,,,72-60,,Offensive rebound by Team
6:02.0,,,72-61,1,C. Anthony makes free throw 2 of 2
5:43.0,A. Davis makes 2-pt shot from 11 ft,2,74-61,,
5:30.0,,,74-61,,B. Jennings misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by B. Hield,,74-61,,
5:09.0,D. Cunningham misses 2-pt shot from 1 ft (block by K. Porzingis),,74-61,,
5:08.0,Offensive rebound by A. Davis,,74-61,,
5:08.0,,,74-61,,K. O'Quinn enters the game for J. Noah
5:08.0,,,74-61,,L. Thomas enters the game for K. Porzingis
5:04.0,A. Davis makes 2-pt shot from 14 ft (assist by J. Holiday),2,76-61,,
4:45.0,,,76-61,,C. Anthony misses 2-pt shot from 4 ft (block by S. Hill)
4:45.0,Defensive rebound by S. Hill,,76-61,,
4:38.0,D. Cunningham makes 3-pt shot from 25 ft (assist by B. Hield),3,79-61,,
4:38.0,,,79-61,,New York full timeout
4:21.0,,,79-61,,C. Lee misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by A. Davis,,79-61,,
4:03.0,A. Davis misses 2-pt shot from 16 ft,,79-61,,
4:02.0,,,79-61,,Defensive rebound by C. Anthony
3:53.0,,,79-63,2,B. Jennings makes 2-pt shot from 11 ft
3:30.0,A. Davis makes 3-pt shot from 25 ft (assist by B. Hield),3,82-63,,
3:10.0,,,82-63,,B. Jennings misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by B. Hield,,82-63,,
3:01.0,S. Hill misses 3-pt shot from 25 ft,,82-63,,
3:00.0,,,82-63,,Defensive rebound by B. Jennings
2:39.0,,,82-63,,C. Anthony misses 2-pt shot from 8 ft
2:38.0,,,82-63,,Offensive rebound by K. O'Quinn
2:36.0,,,82-63,,C. Anthony misses 2-pt shot from 12 ft
2:35.0,Defensive rebound by Team,,82-63,,
2:35.0,,,82-63,,Loose ball foul by K. O'Quinn (drawn by D. Cunningham)
2:35.0,New Orleans full timeout,,82-63,,
2:35.0,,,82-63,,Technical foul by C. Anthony
2:35.0,,,82-63,,Technical foul by C. Anthony
2:35.0,A. Davis misses technical free throw,,82-63,,
2:35.0,Offensive rebound by Team,,82-63,,
2:35.0,A. Davis makes technical free throw,1,83-63,,
2:35.0,,,82-63,,R. Baker enters the game for C. Anthony
2:35.0,,,82-63,,J. Holiday enters the game for B. Jennings
2:35.0,,,82-63,,M. Ndour enters the game for C. Lee
2:35.0,E. Moore enters the game for S. Hill,,82-63,,
2:35.0,T. Evans enters the game for J. Holiday,,82-63,,
2:22.0,A. Davis makes 2-pt shot from 17 ft (assist by E. Moore),2,85-63,,
2:02.0,,,85-63,,J. Holiday misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by A. Davis,,85-63,,
1:53.0,B. Hield misses 3-pt shot from 26 ft,,85-63,,
1:52.0,,,85-63,,Defensive rebound by R. Baker
1:41.0,,,85-63,,L. Thomas misses 2-pt shot from 3 ft
1:40.0,Defensive rebound by A. Davis,,85-63,,
1:35.0,Offensive foul by T. Evans,,85-63,,
1:35.0,Turnover by T. Evans (offensive foul),,85-63,,
1:35.0,L. Galloway enters the game for B. Hield,,85-63,,
1:21.0,,,85-63,,J. Holiday misses 2-pt shot from 17 ft
1:20.0,Defensive rebound by A. Davis,,85-63,,
1:16.0,,,85-63,,Flagrant foul type 1 by K. O'Quinn (drawn by A. Davis)
1:16.0,A. Davis makes flagrant free throw 1 of 2,1,86-63,,
1:16.0,A. Davis makes flagrant free throw 2 of 2,1,87-63,,
1:16.0,,,85-63,,W. Hernangomez enters the game for K. O'Quinn
1:16.0,T. Jones enters the game for A. Davis,,87-63,,
1:00.0,T. Jones makes 2-pt shot from 3 ft (assist by E. Moore),2,89-63,,
0:49.0,,,89-65,2,J. Holiday makes 2-pt shot from 2 ft (assist by W. Hernangomez)
0:41.0,T. Evans misses 3-pt shot from 26 ft,,89-65,,
0:40.0,,,89-65,,Defensive rebound by R. Baker
0:33.0,,,89-65,,Turnover by J. Holiday (bad pass; steal by T. Jones)
0:28.0,T. Evans makes 2-pt shot at rim (assist by E. Moore),2,91-65,,
0:17.0,Shooting block foul by T. Evans (drawn by L. Thomas),,91-65,,
0:17.0,,,91-65,,L. Thomas misses free throw 1 of 2
0:17.0,,,91-65,,Offensive rebound by Team
0:17.0,,,91-66,1,L. Thomas makes free throw 2 of 2
0:00.0,T. Evans misses 3-pt shot from 25 ft,,91-66,,
0:00.0,Offensive rebound by Team,,91-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,91-66,,M. Ndour misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by T. Evans,,91-66,,
11:32.0,L. Galloway misses 3-pt shot from 25 ft,,91-66,,
11:31.0,,,91-66,,Defensive rebound by R. Baker
11:20.0,,,91-69,3,L. Thomas makes 3-pt shot from 25 ft (assist by R. Baker)
11:04.0,Shooting foul by L. Thomas (drawn by T. Jones),,91-69,,
11:04.0,T. Jones makes free throw 1 of 2,1,92-69,,
11:04.0,T. Jones makes free throw 2 of 2,1,93-69,,
10:38.0,,,93-69,,L. Thomas misses 2-pt shot from 11 ft
10:37.0,,,93-69,,Offensive rebound by W. Hernangomez
10:35.0,,,93-69,,Turnover by W. Hernangomez (lost ball; steal by D. Cunningham)
10:30.0,T. Jones makes 2-pt shot at rim (assist by T. Evans),2,95-69,,
10:12.0,,,95-69,,W. Hernangomez misses 2-pt shot from 5 ft (block by T. Jones)
10:11.0,,,95-69,,Offensive rebound by Team
10:06.0,,,95-69,,J. Holiday misses 2-pt shot from 2 ft (block by E. Moore)
10:05.0,,,95-69,,Offensive rebound by L. Thomas
10:02.0,,,95-69,,J. Holiday misses 3-pt shot from 22 ft
10:00.0,Defensive rebound by T. Jones,,95-69,,
9:48.0,,,95-69,,S. Vujacic enters the game for L. Thomas
9:42.0,,,95-69,,Violation by M. Ndour (def goaltending)
9:42.0,T. Evans makes 2-pt shot from 2 ft,2,97-69,,
9:26.0,,,97-71,2,R. Baker makes 2-pt shot from 1 ft
9:04.0,D. Motiejunas enters the game for D. Cunningham,,97-71,,
9:04.0,Jump ball: R. Baker vs. L. Galloway (T. Evans gains possession),,,,Jump ball: R. Baker vs. L. Galloway (T. Evans gains possession)
9:03.0,T. Evans misses 3-pt shot from 26 ft,,97-71,,
9:02.0,,,97-71,,Defensive rebound by R. Baker
8:47.0,,,97-71,,S. Vujacic misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by D. Motiejunas,,97-71,,
8:38.0,Turnover by T. Evans (bad pass; steal by S. Vujacic),,97-71,,
8:33.0,,,97-71,,R. Baker misses 2-pt shot from 2 ft (block by L. Galloway)
8:32.0,Defensive rebound by Team,,97-71,,
8:32.0,Official timeout,,97-71,,
8:14.0,L. Galloway misses 3-pt shot from 25 ft,,97-71,,
8:14.0,,,97-71,,Defensive rebound by R. Baker
7:55.0,,,97-71,,S. Vujacic misses 2-pt shot from 21 ft
7:54.0,Defensive rebound by T. Evans,,97-71,,
7:33.0,E. Moore makes 2-pt shot from 19 ft,2,99-71,,
7:15.0,,,99-73,2,W. Hernangomez makes 2-pt shot from 2 ft
7:04.0,E. Moore makes 2-pt shot from 18 ft,2,101-73,,
6:50.0,,,101-75,2,R. Baker makes 2-pt shot from 17 ft (assist by W. Hernangomez)
6:32.0,Shooting foul by M. Ndour (drawn by T. Jones),,101-75,,
6:32.0,T. Jones misses free throw 1 of 2,,101-75,,
6:32.0,Offensive rebound by Team,,101-75,,
6:32.0,T. Jones makes free throw 2 of 2,1,102-75,,
6:17.0,,,102-75,,Turnover by W. Hernangomez (bad pass; steal by D. Motiejunas)
5:58.0,T. Evans makes 2-pt shot from 22 ft,2,104-75,,
5:41.0,,,104-77,2,W. Hernangomez makes 2-pt shot from 19 ft (assist by R. Baker)
5:27.0,,,104-77,,Personal foul by J. Holiday (drawn by D. Motiejunas)
5:27.0,,,104-77,,New York full timeout
5:27.0,T. Frazier enters the game for T. Jones,,104-77,,
5:27.0,C. Diallo enters the game for L. Galloway,,104-77,,
5:21.0,,,104-77,,Personal foul by R. Baker (drawn by C. Diallo)
5:10.0,E. Moore makes 2-pt shot from 23 ft (assist by D. Motiejunas),2,106-77,,
4:57.0,,,106-77,,S. Vujacic misses 2-pt shot from 18 ft
4:56.0,,,106-77,,Offensive rebound by W. Hernangomez
4:51.0,,,106-80,3,S. Vujacic makes 3-pt shot from 25 ft (assist by W. Hernangomez)
4:37.0,E. Moore misses 3-pt shot from 23 ft,,106-80,,
4:36.0,,,106-80,,Defensive rebound by R. Baker
4:29.0,,,106-82,2,R. Baker makes 2-pt shot from 23 ft
4:09.0,Turnover by D. Motiejunas (bad pass; steal by M. Ndour),,106-82,,
4:05.0,,,106-82,,Turnover by S. Vujacic (bad pass; steal by T. Frazier)
3:51.0,C. Diallo misses 2-pt shot from 5 ft,,106-82,,
3:50.0,,,106-82,,Defensive rebound by W. Hernangomez
3:46.0,,,106-82,,Shooting foul by T. Frazier (drawn by S. Vujacic)
3:46.0,,,106-83,1,S. Vujacic makes free throw 1 of 3
3:46.0,,,106-84,1,S. Vujacic makes free throw 2 of 3
3:46.0,,,106-85,1,S. Vujacic makes free throw 3 of 3
3:35.0,T. Frazier misses 3-pt shot from 26 ft,,106-85,,
3:35.0,,,106-85,,Defensive rebound by M. Ndour
3:34.0,Personal foul by C. Diallo (drawn by M. Ndour),,106-85,,
3:24.0,,,106-87,2,S. Vujacic makes 2-pt shot from 23 ft (assist by R. Baker)
3:08.0,Turnover by T. Evans (lost ball),,106-87,,
2:49.0,,,106-89,2,J. Holiday makes 2-pt shot from 4 ft
2:35.0,E. Moore makes 2-pt shot from 10 ft,2,108-89,,
2:23.0,Personal foul by C. Diallo (drawn by R. Baker),,108-89,,
2:23.0,New Orleans full timeout,,108-89,,
2:23.0,B. Hield enters the game for T. Evans,,108-89,,
2:12.0,,,108-91,2,W. Hernangomez makes 2-pt shot from 1 ft
1:57.0,C. Diallo misses 2-pt shot from 20 ft,,108-91,,
1:56.0,,,108-91,,Defensive rebound by W. Hernangomez
1:42.0,,,108-91,,Turnover by R. Baker (bad pass; steal by B. Hield)
1:38.0,B. Hield makes 2-pt shot from 2 ft (assist by D. Motiejunas),2,110-91,,
1:29.0,,,110-91,,J. Holiday misses 2-pt shot from 17 ft
1:28.0,,,110-91,,Offensive rebound by M. Ndour
1:27.0,,,110-91,,Turnover by M. Ndour (lost ball; steal by B. Hield)
1:17.0,C. Diallo misses 2-pt shot from 1 ft,,110-91,,
1:15.0,,,110-91,,Defensive rebound by M. Ndour
1:12.0,,,110-94,3,J. Holiday makes 3-pt shot from 25 ft (assist by S. Vujacic)
0:58.0,C. Diallo misses 2-pt shot from 20 ft,,110-94,,
0:57.0,,,110-94,,Defensive rebound by J. Holiday
