time,Orlando,pts.away,score,pts.home,LA Lakers
4:08.0,A. Gordon makes free throw 2 of 2,1,22-22,,
4:08.0,N. Vucevic enters the game for B. Biyombo,,21-22,,
4:08.0,D. Augustin enters the game for E. Payton,,21-22,,
4:08.0,,,21-22,,B. Ingram enters the game for L. Deng
4:08.0,,,21-22,,J. Clarkson enters the game for N. Young
4:08.0,,,21-22,,T. Black enters the game for T. Mozgov
3:47.0,,,22-22,,B. Ingram misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by E. Fournier,,22-22,,
3:41.0,D. Augustin misses 3-pt shot from 25 ft,,22-22,,
3:39.0,,,22-22,,Defensive rebound by D. Russell
3:31.0,,,22-24,2,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell)
3:24.0,Orlando full timeout,,22-24,,
3:24.0,,,22-24,,L. Williams enters the game for D. Russell
3:10.0,Turnover by E. Fournier (lost ball),,22-24,,
3:02.0,,,22-26,2,B. Ingram makes 2-pt shot from 2 ft
3:02.0,,,22-26,,Shooting foul by A. Gordon (drawn by B. Ingram)
3:02.0,,,22-27,1,B. Ingram makes free throw 1 of 1
3:02.0,J. Green enters the game for A. Gordon,,22-26,,
2:43.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,25-27,,
2:24.0,,,25-30,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle)
2:10.0,Turnover by E. Fournier (bad pass; steal by T. Black),,25-30,,
2:06.0,,,25-32,2,L. Williams makes 2-pt shot from 1 ft
1:44.0,E. Fournier misses 2-pt shot from 4 ft,,25-32,,
1:44.0,,,25-32,,Defensive rebound by Team
1:44.0,J. Meeks enters the game for E. Fournier,,25-32,,
1:28.0,,,25-34,2,T. Black makes 2-pt shot from 6 ft
1:28.0,,,25-34,,Shooting foul by N. Vucevic (drawn by T. Black)
1:28.0,,,25-35,1,T. Black makes free throw 1 of 1
1:18.0,N. Vucevic makes 2-pt shot from 3 ft (assist by D. Augustin),2,27-35,,
1:18.0,Shooting foul by T. Black (drawn by N. Vucevic),,27-35,,
1:18.0,N. Vucevic misses free throw 1 of 1,,27-35,,
1:17.0,,,27-35,,Defensive rebound by J. Randle
1:09.0,,,27-35,,Turnover by B. Ingram (bad pass)
0:54.0,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin),2,29-35,,
0:45.0,,,29-37,2,L. Williams makes 2-pt shot from 1 ft (assist by J. Randle)
0:38.0,S. Ibaka makes 2-pt shot from 6 ft (assist by N. Vucevic),2,31-37,,
0:32.0,,,31-37,,J. Randle misses 2-pt shot from 3 ft
0:31.0,Defensive rebound by N. Vucevic,,31-37,,
0:21.0,N. Vucevic makes 3-pt shot from 25 ft (assist by D. Augustin),3,34-37,,
0:01.0,,,34-40,3,J. Randle makes 3-pt shot from 25 ft (assist by L. Williams)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by J. Meeks,,34-40,,
11:42.0,,,34-40,,B. Ingram misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by J. Meeks,,34-40,,
11:31.0,Shooting foul by B. Ingram (drawn by B. Biyombo),,34-40,,
11:31.0,B. Biyombo misses free throw 1 of 2,,34-40,,
11:31.0,Offensive rebound by Team,,34-40,,
11:31.0,B. Biyombo misses free throw 2 of 2,,34-40,,
11:30.0,,,34-40,,Defensive rebound by T. Robinson
11:14.0,,,34-40,,T. Black misses 2-pt shot from 1 ft
11:13.0,Defensive rebound by N. Vucevic,,34-40,,
11:02.0,N. Vucevic makes 2-pt shot from 7 ft (assist by D. Augustin),2,36-40,,
10:48.0,,,36-40,,J. Clarkson misses 3-pt shot from 25 ft
10:47.0,,,36-40,,Offensive rebound by T. Robinson
10:40.0,,,36-40,,T. Robinson misses 2-pt shot from 16 ft
10:39.0,Defensive rebound by B. Biyombo,,36-40,,
10:29.0,N. Vucevic misses 2-pt shot from 19 ft,,36-40,,
10:28.0,,,36-40,,Defensive rebound by T. Black
10:20.0,,,36-40,,T. Robinson misses 2-pt shot from 2 ft
10:19.0,Defensive rebound by B. Biyombo,,36-40,,
10:10.0,Shooting foul by T. Black (drawn by D. Augustin),,36-40,,
10:10.0,D. Augustin makes free throw 1 of 2,1,37-40,,
10:10.0,D. Augustin misses free throw 2 of 2,,37-40,,
10:09.0,,,37-40,,Defensive rebound by T. Black
9:57.0,,,37-40,,Turnover by T. Black (traveling)
9:46.0,J. Green makes 2-pt shot from 15 ft (assist by D. Augustin),2,39-40,,
9:29.0,,,39-40,,T. Black misses 2-pt shot from 5 ft
9:26.0,,,39-40,,Offensive rebound by T. Robinson
9:24.0,,,39-42,2,T. Robinson makes 2-pt shot at rim
9:17.0,Shooting foul by T. Black (drawn by D. Augustin),,39-42,,
9:17.0,D. Augustin makes free throw 1 of 2,1,40-42,,
9:17.0,D. Augustin makes free throw 2 of 2,1,41-42,,
9:17.0,,,40-42,,T. Mozgov enters the game for T. Black
9:04.0,,,41-42,,L. Williams misses 3-pt shot from 25 ft
9:03.0,,,41-42,,Offensive rebound by T. Mozgov
8:56.0,,,41-44,2,L. Williams makes 2-pt shot from 7 ft (assist by J. Clarkson)
8:56.0,,,41-44,,Shooting foul by N. Vucevic
8:56.0,Official timeout,,41-44,,
8:56.0,,,41-45,1,L. Williams makes free throw 1 of 1
8:39.0,J. Meeks makes 3-pt shot from 25 ft (assist by N. Vucevic),3,44-45,,
8:19.0,,,44-45,,Offensive foul by T. Robinson
8:19.0,,,44-45,,Turnover by T. Robinson (offensive foul)
8:03.0,J. Meeks misses 3-pt shot from 25 ft,,44-45,,
8:02.0,,,44-45,,Defensive rebound by T. Mozgov
7:54.0,,,44-47,2,J. Clarkson makes 2-pt shot from 17 ft
7:39.0,Shooting foul by B. Ingram (drawn by J. Green),,44-47,,
7:39.0,J. Green makes free throw 1 of 2,1,45-47,,
7:39.0,J. Green makes free throw 2 of 2,1,46-47,,
7:28.0,Personal foul by J. Green (drawn by B. Ingram),,46-47,,
7:22.0,,,46-47,,T. Robinson misses 2-pt shot from 3 ft
7:20.0,Defensive rebound by D. Augustin,,46-47,,
7:18.0,Turnover by D. Augustin (lost ball; steal by T. Robinson),,46-47,,
7:11.0,,,46-47,,B. Ingram misses 3-pt shot from 22 ft
7:09.0,Defensive rebound by D. Augustin,,46-47,,
6:57.0,N. Vucevic misses 2-pt shot from 17 ft,,46-47,,
6:54.0,,,46-47,,Defensive rebound by T. Robinson
6:46.0,,,46-49,2,T. Robinson makes 2-pt shot from 7 ft
6:26.0,D. Augustin misses 3-pt shot from 25 ft,,46-49,,
6:25.0,,,46-49,,Defensive rebound by T. Robinson
6:15.0,,,46-49,,L. Williams misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by J. Green,,46-49,,
6:09.0,D. Augustin misses 3-pt shot from 24 ft,,46-49,,
6:07.0,,,46-49,,Defensive rebound by J. Clarkson
5:55.0,,,46-51,2,J. Clarkson makes 2-pt shot at rim
5:55.0,Orlando full timeout,,46-51,,
5:55.0,,,46-51,,D. Russell enters the game for B. Ingram
5:55.0,,,46-51,,L. Deng enters the game for L. Williams
5:55.0,,,46-51,,J. Randle enters the game for T. Robinson
5:55.0,S. Ibaka enters the game for N. Vucevic,,46-51,,
5:55.0,E. Payton enters the game for D. Augustin,,46-51,,
5:42.0,Turnover by J. Meeks (bad pass),,46-51,,
5:26.0,,,46-51,,J. Clarkson misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by B. Biyombo,,46-51,,
5:16.0,S. Ibaka makes 2-pt shot from 17 ft (assist by E. Payton),2,48-51,,
4:59.0,,,48-51,,L. Deng misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by S. Ibaka,,48-51,,
4:49.0,E. Payton misses 2-pt shot from 20 ft,,48-51,,
4:48.0,Offensive rebound by S. Ibaka,,48-51,,
4:45.0,S. Ibaka misses 2-pt shot from 3 ft,,48-51,,
4:44.0,Offensive rebound by E. Payton,,48-51,,
4:40.0,Turnover by E. Payton (lost ball; steal by J. Clarkson),,48-51,,
4:35.0,,,48-51,,J. Clarkson misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by E. Payton,,48-51,,
4:28.0,B. Biyombo misses 2-pt shot from 1 ft,,48-51,,
4:26.0,Offensive rebound by E. Payton,,48-51,,
4:22.0,E. Payton misses 2-pt shot from 8 ft,,48-51,,
4:20.0,,,48-51,,Defensive rebound by T. Mozgov
4:09.0,,,48-51,,Shooting foul by S. Ibaka (drawn by J. Randle)
4:09.0,,,48-52,1,J. Randle makes free throw 1 of 2
4:09.0,,,48-53,1,J. Randle makes free throw 2 of 2
4:09.0,A. Gordon enters the game for J. Green,,48-52,,
4:09.0,E. Fournier enters the game for J. Meeks,,48-52,,
4:09.0,,,48-52,,N. Young enters the game for J. Clarkson
3:47.0,A. Gordon misses 3-pt shot from 26 ft,,48-53,,
3:45.0,,,48-53,,Defensive rebound by N. Young
3:30.0,,,48-55,2,N. Young makes 2-pt shot from 1 ft (assist by D. Russell)
3:24.0,E. Fournier misses 2-pt shot from 1 ft,,48-55,,
3:21.0,,,48-55,,Defensive rebound by J. Randle
3:12.0,,,48-55,,N. Young misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by B. Biyombo,,48-55,,
3:01.0,E. Payton makes 2-pt shot from 2 ft,2,50-55,,
2:43.0,,,50-57,2,T. Mozgov makes 2-pt shot at rim (assist by D. Russell)
2:25.0,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier),2,52-57,,
2:03.0,,,52-57,,D. Russell misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by A. Gordon,,52-57,,
1:52.0,A. Gordon misses 2-pt shot from 21 ft,,52-57,,
1:50.0,,,52-57,,Defensive rebound by J. Randle
1:43.0,,,52-60,3,L. Deng makes 3-pt shot from 24 ft
1:41.0,Orlando full timeout,,52-60,,
1:41.0,,,52-60,,LA Lakers full timeout
1:41.0,N. Vucevic enters the game for B. Biyombo,,52-60,,
1:32.0,,,52-60,,Def 3 sec tech foul by T. Mozgov
1:32.0,E. Fournier makes technical free throw,1,53-60,,
1:26.0,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic),3,56-60,,
1:01.0,,,56-60,,N. Young misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by E. Payton,,56-60,,
0:54.0,N. Vucevic misses 3-pt shot from 25 ft,,56-60,,
0:52.0,,,56-60,,Defensive rebound by D. Russell
0:31.0,,,56-60,,L. Deng misses 2-pt shot from 4 ft
0:31.0,,,56-60,,Offensive rebound by T. Mozgov
0:31.0,,,56-62,2,T. Mozgov makes 2-pt shot at rim
0:20.0,,,56-62,,Personal foul by L. Deng (drawn by E. Fournier)
0:20.0,E. Fournier misses free throw 1 of 2,,56-62,,
0:20.0,Offensive rebound by Team,,56-62,,
0:20.0,,,56-62,,LA Lakers full timeout
0:20.0,E. Fournier makes free throw 2 of 2,1,57-62,,
0:20.0,B. Biyombo enters the game for A. Gordon,,56-62,,
0:20.0,J. Green enters the game for N. Vucevic,,56-62,,
0:03.0,,,57-62,,Turnover by N. Young (bad pass; steal by E. Payton)
0:01.0,E. Payton makes 3-pt shot from 25 ft,3,60-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,60-64,2,T. Mozgov makes 2-pt shot at rim (assist by D. Russell)
11:25.0,Offensive foul by B. Biyombo,,60-64,,
11:25.0,Turnover by B. Biyombo (offensive foul),,60-64,,
11:10.0,,,60-67,3,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle)
10:51.0,E. Payton misses 3-pt shot from 24 ft,,60-67,,
10:51.0,,,60-67,,Defensive rebound by J. Randle
10:40.0,,,60-67,,Shooting foul by A. Gordon (drawn by J. Randle)
10:40.0,,,60-68,1,J. Randle makes free throw 1 of 2
10:40.0,,,60-68,,J. Randle misses free throw 2 of 2
10:39.0,Defensive rebound by B. Biyombo,,60-68,,
10:26.0,E. Fournier misses 2-pt shot from 4 ft,,60-68,,
10:25.0,,,60-68,,Defensive rebound by T. Mozgov
10:09.0,,,60-68,,Offensive foul by J. Randle
10:09.0,,,60-68,,Turnover by J. Randle (offensive foul)
9:59.0,A. Gordon misses 3-pt shot from 25 ft,,60-68,,
9:57.0,,,60-68,,Defensive rebound by L. Deng
9:43.0,Personal foul by S. Ibaka (drawn by D. Russell),,60-68,,
9:34.0,,,60-68,,L. Deng misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by B. Biyombo,,60-68,,
9:23.0,Turnover by E. Payton (bad pass; steal by D. Russell),,60-68,,
9:13.0,,,60-68,,D. Russell misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by Team,,60-68,,
9:07.0,,,60-68,,Personal foul by D. Russell (drawn by E. Payton)
8:55.0,Shooting foul by J. Randle (drawn by A. Gordon),,60-68,,
8:55.0,A. Gordon misses free throw 1 of 2,,60-68,,
8:55.0,Offensive rebound by Team,,60-68,,
8:55.0,A. Gordon makes free throw 2 of 2,1,61-68,,
8:39.0,,,61-68,,J. Randle misses 2-pt shot from 5 ft
8:37.0,Defensive rebound by A. Gordon,,61-68,,
8:36.0,,,61-68,,Personal foul by J. Randle (drawn by A. Gordon)
8:25.0,E. Payton misses 2-pt shot from 17 ft,,61-68,,
8:24.0,,,61-68,,Defensive rebound by D. Russell
8:18.0,,,61-68,,N. Young misses 3-pt shot from 27 ft
8:16.0,Defensive rebound by A. Gordon,,61-68,,
8:05.0,S. Ibaka misses 2-pt shot from 11 ft,,61-68,,
8:03.0,,,61-68,,Defensive rebound by J. Randle
7:53.0,,,61-70,2,T. Mozgov makes 2-pt shot from 16 ft (assist by D. Russell)
7:53.0,Orlando full timeout,,61-70,,
7:32.0,E. Payton misses 2-pt shot from 5 ft,,61-70,,
7:31.0,,,61-70,,Defensive rebound by J. Randle
7:16.0,,,61-72,2,D. Russell makes 2-pt shot from 2 ft
7:07.0,A. Gordon misses 3-pt shot from 26 ft,,61-72,,
7:05.0,Offensive rebound by E. Payton,,61-72,,
6:57.0,E. Payton misses 2-pt shot from 4 ft (block by N. Young),,61-72,,
6:55.0,Offensive rebound by E. Fournier,,61-72,,
6:54.0,E. Fournier misses 2-pt shot from 2 ft,,61-72,,
6:54.0,Offensive rebound by B. Biyombo,,61-72,,
6:54.0,Shooting foul by T. Mozgov (drawn by B. Biyombo),,61-72,,
6:54.0,B. Biyombo makes free throw 1 of 2,1,62-72,,
6:54.0,B. Biyombo makes free throw 2 of 2,1,63-72,,
6:54.0,J. Green enters the game for A. Gordon,,62-72,,
6:54.0,D. Augustin enters the game for E. Payton,,62-72,,
6:36.0,,,63-72,,L. Deng misses 2-pt shot from 16 ft
6:33.0,Defensive rebound by B. Biyombo,,63-72,,
6:18.0,Turnover by B. Biyombo (bad pass; steal by T. Mozgov),,63-72,,
6:12.0,,,63-72,,N. Young misses 2-pt shot from 2 ft
6:09.0,Defensive rebound by E. Fournier,,63-72,,
5:51.0,S. Ibaka misses 2-pt shot from 15 ft,,63-72,,
5:50.0,,,63-72,,Defensive rebound by T. Mozgov
5:39.0,,,63-72,,Shooting foul by S. Ibaka (drawn by J. Randle)
5:39.0,,,63-72,,J. Randle misses free throw 1 of 2
5:39.0,,,63-72,,Offensive rebound by Team
5:39.0,,,63-73,1,J. Randle makes free throw 2 of 2
5:39.0,N. Vucevic enters the game for B. Biyombo,,63-72,,
5:17.0,S. Ibaka misses 2-pt shot from 7 ft,,63-73,,
5:15.0,,,63-73,,Defensive rebound by T. Mozgov
5:06.0,,,63-75,2,D. Russell makes 2-pt shot from 7 ft
4:47.0,S. Ibaka makes 2-pt shot from 6 ft (assist by D. Augustin),2,65-75,,
4:33.0,,,65-75,,L. Deng misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by Team,,65-75,,
4:33.0,,,65-75,,Loose ball foul by T. Mozgov (drawn by N. Vucevic)
4:33.0,N. Vucevic makes free throw 1 of 2,1,66-75,,
4:33.0,N. Vucevic misses free throw 2 of 2,,66-75,,
4:33.0,,,66-75,,T. Black enters the game for T. Mozgov
4:33.0,,,66-75,,B. Ingram enters the game for L. Deng
4:33.0,,,66-75,,J. Clarkson enters the game for N. Young
4:32.0,,,66-75,,Defensive rebound by J. Randle
4:14.0,,,66-75,,J. Clarkson misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by S. Ibaka,,66-75,,
4:02.0,D. Augustin misses 2-pt shot from 4 ft,,66-75,,
4:00.0,Offensive rebound by N. Vucevic,,66-75,,
4:00.0,N. Vucevic misses 2-pt shot from 2 ft,,66-75,,
3:58.0,Offensive rebound by N. Vucevic,,66-75,,
3:55.0,N. Vucevic makes 2-pt shot from 4 ft,2,68-75,,
3:38.0,,,68-77,2,T. Black makes 2-pt shot at rim (assist by B. Ingram)
3:18.0,N. Vucevic misses 2-pt shot from 12 ft,,68-77,,
3:17.0,,,68-77,,Defensive rebound by B. Ingram
3:05.0,,,68-77,,J. Randle misses 2-pt shot from 3 ft
3:04.0,,,68-77,,Offensive rebound by J. Randle
3:02.0,,,68-77,,J. Randle misses 2-pt shot from 3 ft (block by S. Ibaka)
3:01.0,Defensive rebound by D. Augustin,,68-77,,
2:49.0,E. Fournier misses 3-pt shot from 25 ft,,68-77,,
2:48.0,,,68-77,,Defensive rebound by B. Ingram
2:30.0,,,68-77,,Turnover by B. Ingram (bad pass; steal by N. Vucevic)
2:21.0,N. Vucevic misses 2-pt shot from 18 ft,,68-77,,
2:19.0,,,68-77,,Defensive rebound by B. Ingram
2:13.0,,,68-79,2,B. Ingram makes 2-pt shot from 2 ft
1:53.0,J. Green misses 2-pt shot from 19 ft,,68-79,,
1:53.0,,,68-79,,Defensive rebound by J. Clarkson
1:47.0,,,68-79,,Turnover by J. Randle (lost ball)
1:47.0,,,68-79,,LA Lakers full timeout
1:47.0,,,68-79,,L. Williams enters the game for J. Randle
1:47.0,,,68-79,,T. Robinson enters the game for D. Russell
1:36.0,Shooting foul by T. Robinson (drawn by E. Fournier),,68-79,,
1:36.0,E. Fournier makes free throw 1 of 2,1,69-79,,
1:36.0,E. Fournier misses free throw 2 of 2,,69-79,,
1:35.0,,,69-79,,Defensive rebound by L. Williams
1:13.0,,,69-81,2,T. Black makes 2-pt shot at rim (assist by L. Williams)
1:00.0,Turnover by E. Fournier (lost ball),,69-81,,
0:49.0,,,69-81,,Turnover by L. Williams (bad pass; steal by S. Ibaka)
0:38.0,Turnover by J. Green (bad pass),,69-81,,
0:38.0,J. Meeks enters the game for E. Fournier,,69-81,,
0:30.0,,,69-81,,L. Williams misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by S. Ibaka,,69-81,,
0:09.0,J. Green misses 3-pt shot from 23 ft,,69-81,,
0:08.0,,,69-81,,Defensive rebound by T. Black
0:02.0,,,69-81,,L. Williams misses 2-pt shot from 1 ft
0:00.0,,,69-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,N. Vucevic makes 2-pt shot from 1 ft,2,71-81,,
11:47.0,Shooting foul by T. Black (drawn by N. Vucevic),,71-81,,
11:47.0,N. Vucevic makes free throw 1 of 1,1,72-81,,
11:34.0,,,72-81,,T. Mozgov enters the game for T. Black
11:23.0,,,72-84,3,B. Ingram makes 3-pt shot from 24 ft (assist by J. Clarkson)
11:00.0,J. Green misses 2-pt shot from 7 ft (block by T. Robinson),,72-84,,
11:00.0,Offensive rebound by Team,,72-84,,
10:57.0,N. Vucevic misses 3-pt shot from 24 ft,,72-84,,
10:53.0,,,72-84,,Defensive rebound by T. Robinson
10:35.0,,,72-87,3,B. Ingram makes 3-pt shot from 26 ft (assist by T. Mozgov)
10:34.0,Orlando full timeout,,72-87,,
10:34.0,A. Gordon enters the game for B. Biyombo,,72-87,,
10:18.0,D. Augustin makes 3-pt shot from 25 ft (assist by J. Meeks),3,75-87,,
9:59.0,,,75-87,,L. Williams misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by A. Gordon,,75-87,,
9:52.0,Offensive foul by J. Green,,75-87,,
9:52.0,Turnover by J. Green (offensive foul),,75-87,,
9:52.0,,,75-87,,L. Deng enters the game for T. Robinson
9:37.0,,,75-87,,Shooting foul by D. Augustin (drawn by J. Clarkson)
9:37.0,,,75-88,1,J. Clarkson makes free throw 1 of 2
9:37.0,,,75-89,1,J. Clarkson makes free throw 2 of 2
9:24.0,J. Meeks misses 2-pt shot from 16 ft,,75-89,,
9:23.0,,,75-89,,Defensive rebound by T. Mozgov
9:08.0,,,75-91,2,B. Ingram makes 2-pt shot from 7 ft
8:58.0,N. Vucevic makes 2-pt shot from 4 ft,2,77-91,,
8:51.0,,,77-91,,Shooting foul by J. Meeks
8:51.0,,,77-92,1,L. Williams makes free throw 1 of 3
8:51.0,,,77-93,1,L. Williams makes free throw 2 of 3
8:51.0,,,77-94,1,L. Williams makes free throw 3 of 3
8:51.0,E. Fournier enters the game for J. Meeks,,77-93,,
8:51.0,S. Ibaka enters the game for J. Green,,77-93,,
8:40.0,N. Vucevic makes 2-pt shot from 16 ft (assist by A. Gordon),2,79-94,,
8:18.0,,,79-96,2,T. Mozgov makes 2-pt shot at rim (assist by L. Williams)
8:09.0,N. Vucevic misses 3-pt shot from 25 ft,,79-96,,
8:08.0,,,79-96,,Defensive rebound by L. Deng
7:55.0,,,79-96,,L. Deng misses 2-pt shot from 5 ft (block by N. Vucevic)
7:53.0,,,79-96,,Offensive rebound by L. Deng
7:52.0,,,79-96,,Shooting foul by S. Ibaka (drawn by L. Deng)
7:52.0,,,79-96,,L. Deng misses free throw 1 of 2
7:52.0,,,79-96,,Offensive rebound by Team
7:52.0,,,79-97,1,L. Deng makes free throw 2 of 2
7:37.0,Turnover by N. Vucevic (bad pass),,79-97,,
7:28.0,,,79-97,,L. Williams misses 2-pt shot from 2 ft (block by N. Vucevic)
7:28.0,,,79-97,,Offensive rebound by Team
7:18.0,,,79-97,,L. Williams misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by N. Vucevic,,79-97,,
7:08.0,E. Fournier misses 2-pt shot from 20 ft,,79-97,,
7:05.0,Offensive rebound by S. Ibaka,,79-97,,
7:02.0,S. Ibaka misses 2-pt shot from 3 ft,,79-97,,
7:00.0,,,79-97,,Defensive rebound by J. Clarkson
6:51.0,,,79-97,,L. Williams misses 3-pt shot from 26 ft
6:50.0,Defensive rebound by N. Vucevic,,79-97,,
6:39.0,N. Vucevic misses 2-pt shot from 5 ft,,79-97,,
6:36.0,Offensive rebound by S. Ibaka,,79-97,,
6:36.0,S. Ibaka makes 2-pt shot from 5 ft,2,81-97,,
6:36.0,,,81-97,,LA Lakers full timeout
6:36.0,J. Green enters the game for N. Vucevic,,81-97,,
6:20.0,,,81-97,,L. Williams misses 3-pt shot from 27 ft
6:18.0,Defensive rebound by S. Ibaka,,81-97,,
6:02.0,E. Fournier misses 2-pt shot from 8 ft,,81-97,,
5:59.0,,,81-97,,Defensive rebound by T. Mozgov
5:59.0,,,81-97,,Turnover by L. Williams (bad pass)
5:59.0,,,81-97,,D. Russell enters the game for L. Williams
5:59.0,,,81-97,,J. Randle enters the game for T. Mozgov
5:46.0,E. Fournier makes 2-pt shot from 1 ft (assist by D. Augustin),2,83-97,,
5:28.0,,,83-97,,L. Deng misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by D. Augustin,,83-97,,
5:20.0,J. Green makes 2-pt shot from 1 ft (assist by D. Augustin),2,85-97,,
5:20.0,,,85-97,,LA Lakers full timeout
