time,LA Clippers,pts.away,score,pts.home,Sacramento
0:41.0,,,17-27,,Defensive rebound by M. Barnes
0:32.0,,,17-29,2,K. Koufos makes 2-pt shot from 6 ft (assist by D. Collison)
0:28.0,,,17-29,,Personal foul by K. Koufos (drawn by C. Paul)
0:28.0,,,17-29,,A. Tolliver enters the game for M. Barnes
0:10.0,W. Johnson makes 2-pt shot from 3 ft (assist by C. Paul),2,19-29,,
0:02.0,,,19-29,,D. Collison misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by W. Johnson,,19-29,,
0:00.0,M. Speights misses 3-pt shot from 50 ft,,19-29,,
0:00.0,Offensive rebound by Team,,19-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,M. Speights misses 3-pt shot from 25 ft,,19-29,,
11:51.0,,,19-29,,Defensive rebound by A. Tolliver
11:27.0,,,19-29,,K. Koufos misses 2-pt shot from 6 ft
11:26.0,Defensive rebound by M. Speights,,19-29,,
11:07.0,W. Johnson misses 3-pt shot from 24 ft,,19-29,,
11:07.0,,,19-29,,Defensive rebound by K. Koufos
11:00.0,,,19-29,,Shooting foul by W. Johnson (drawn by T. Lawson)
11:00.0,,,19-30,1,T. Lawson makes free throw 1 of 2
11:00.0,,,19-31,1,T. Lawson makes free throw 2 of 2
10:50.0,M. Speights misses 2-pt shot from 4 ft,,19-31,,
10:49.0,Offensive rebound by M. Speights,,19-31,,
10:49.0,M. Speights misses 2-pt shot from 3 ft,,19-31,,
10:49.0,Offensive rebound by M. Speights,,19-31,,
10:49.0,M. Speights misses 2-pt shot from 3 ft,,19-31,,
10:48.0,Offensive rebound by M. Speights,,19-31,,
10:48.0,Shooting foul by A. Tolliver (drawn by M. Speights),,19-31,,
10:48.0,M. Speights makes free throw 1 of 2,1,20-31,,
10:48.0,M. Speights makes free throw 2 of 2,1,21-31,,
10:33.0,,,21-31,,Shooting foul by M. Speights (drawn by K. Koufos)
10:33.0,,,21-31,,K. Koufos misses free throw 1 of 2
10:33.0,,,21-31,,Offensive rebound by Team
10:33.0,,,21-32,1,K. Koufos makes free throw 2 of 2
10:17.0,J. Crawford misses 2-pt shot from 22 ft,,21-32,,
10:16.0,,,21-32,,Defensive rebound by A. Tolliver
10:06.0,,,21-32,,A. Tolliver misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by M. Speights,,21-32,,
9:56.0,C. Paul makes 2-pt shot from 14 ft,2,23-32,,
9:45.0,,,23-32,,T. Lawson misses 2-pt shot from 10 ft (block by R. Felton)
9:45.0,Defensive rebound by Team,,23-32,,
9:45.0,A. Rivers enters the game for W. Johnson,,23-32,,
9:43.0,Jump ball: R. Felton vs. T. Lawson (C. Paul gains possession),,,,Jump ball: R. Felton vs. T. Lawson (C. Paul gains possession)
9:26.0,M. Speights misses 3-pt shot from 25 ft,,23-32,,
9:25.0,,,23-32,,Defensive rebound by G. Temple
9:13.0,,,23-34,2,K. Koufos makes 2-pt shot at rim (assist by T. Lawson)
8:54.0,R. Felton misses 2-pt shot from 11 ft,,23-34,,
8:53.0,Offensive rebound by M. Speights,,23-34,,
8:50.0,M. Speights misses 2-pt shot from 6 ft,,23-34,,
8:49.0,,,23-34,,Defensive rebound by G. Temple
8:41.0,,,23-34,,A. Tolliver misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by M. Speights,,23-34,,
8:31.0,A. Rivers misses 2-pt shot from 3 ft,,23-34,,
8:31.0,Offensive rebound by A. Rivers,,23-34,,
8:31.0,A. Rivers makes 2-pt shot from 3 ft,2,25-34,,
8:31.0,Shooting foul by K. Koufos (drawn by A. Rivers),,25-34,,
8:31.0,Official timeout,,25-34,,
8:31.0,A. Rivers misses free throw 1 of 1,,25-34,,
8:31.0,D. Jordan enters the game for M. Speights,,25-34,,
8:29.0,,,25-34,,Defensive rebound by A. Tolliver
8:10.0,,,25-34,,A. Tolliver misses 3-pt shot from 25 ft
8:08.0,,,25-34,,Offensive rebound by K. Koufos
8:02.0,,,25-34,,T. Lawson misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by R. Felton,,25-34,,
7:46.0,C. Paul makes 3-pt shot from 25 ft (assist by R. Felton),3,28-34,,
7:34.0,,,28-34,,G. Temple misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by R. Felton,,28-34,,
7:22.0,A. Rivers makes 3-pt shot from 23 ft (assist by C. Paul),3,31-34,,
7:17.0,,,31-34,,Sacramento full timeout
7:17.0,,,31-34,,R. Gay enters the game for A. Tolliver
7:08.0,,,31-34,,R. Gay misses 2-pt shot from 16 ft
7:07.0,Defensive rebound by C. Paul,,31-34,,
6:49.0,A. Rivers makes 3-pt shot from 25 ft (assist by J. Crawford),3,34-34,,
6:35.0,,,34-34,,Turnover by T. Lawson (bad pass; steal by D. Jordan)
