time,Miami,pts.away,score,pts.home,Dallas
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Personal foul by O. White (drawn by N. Noel),,31-22,,
11:28.0,,,31-24,2,Y. Ferrell makes 2-pt shot from 3 ft
11:01.0,O. White makes 3-pt shot from 26 ft (assist by G. Dragic),3,34-24,,
10:45.0,,,34-26,2,D. Harris makes 2-pt shot from 3 ft (assist by Y. Ferrell)
10:33.0,W. Ellington misses 3-pt shot from 23 ft,,34-26,,
10:30.0,,,34-26,,Defensive rebound by D. Nowitzki
10:25.0,,,34-26,,Y. Ferrell misses 2-pt shot from 18 ft
10:23.0,,,34-26,,Offensive rebound by D. Nowitzki
10:23.0,,,34-26,,D. Nowitzki misses 2-pt shot from 2 ft
10:22.0,,,34-26,,Offensive rebound by D. Finney-Smith
10:10.0,,,34-28,2,D. Finney-Smith makes 2-pt shot from 17 ft (assist by Y. Ferrell)
9:57.0,J. Johnson misses 2-pt shot from 9 ft,,34-28,,
9:55.0,,,34-28,,Defensive rebound by D. Finney-Smith
9:41.0,Def 3 sec tech foul by O. White,,34-28,,
9:41.0,,,34-29,1,D. Nowitzki makes technical free throw
9:41.0,,,34-29,,D. Powell enters the game for N. Noel
9:34.0,,,34-29,,D. Harris misses 2-pt shot from 4 ft
9:33.0,,,34-29,,Offensive rebound by Y. Ferrell
9:27.0,Personal foul by G. Dragic (drawn by D. Nowitzki),,34-29,,
9:19.0,,,34-32,3,D. Harris makes 3-pt shot from 25 ft (assist by Y. Ferrell)
9:13.0,Miami full timeout,,34-32,,
8:57.0,J. Johnson makes 2-pt shot from 12 ft,2,36-32,,
8:37.0,,,36-32,,Turnover by D. Harris (bad pass; steal by J. Johnson)
8:25.0,G. Dragic makes 3-pt shot from 24 ft (assist by W. Ellington),3,39-32,,
8:04.0,,,39-32,,Shooting foul by J. Johnson (drawn by D. Nowitzki)
8:04.0,,,39-33,1,D. Nowitzki makes free throw 1 of 2
8:04.0,,,39-34,1,D. Nowitzki makes free throw 2 of 2
7:54.0,,,39-34,,Def 3 sec tech foul by D. Nowitzki
7:54.0,W. Ellington misses technical free throw,,39-34,,
7:54.0,Offensive rebound by Team,,39-34,,
7:54.0,,,39-34,,H. Barnes enters the game for D. Nowitzki
7:54.0,,,39-34,,S. Curry enters the game for D. Harris
7:54.0,,,39-34,,Q. Cook enters the game for Y. Ferrell
7:44.0,Turnover by W. Ellington (bad pass; steal by D. Finney-Smith),,39-34,,
7:37.0,,,39-34,,S. Curry misses 3-pt shot from 26 ft
7:35.0,Defensive rebound by W. Ellington,,39-34,,
7:24.0,G. Dragic makes 2-pt shot from 22 ft,2,41-34,,
7:02.0,,,41-36,2,H. Barnes makes 2-pt shot from 8 ft
6:50.0,,,41-36,,Personal foul by D. Powell (drawn by J. Richardson)
6:50.0,T. Johnson enters the game for G. Dragic,,41-36,,
6:50.0,D. Waiters enters the game for W. Ellington,,41-36,,
6:50.0,H. Whiteside enters the game for O. White,,41-36,,
6:50.0,,,41-36,,N. Noel enters the game for D. Powell
6:34.0,J. Johnson misses 2-pt shot from 17 ft,,41-36,,
6:33.0,Offensive rebound by H. Whiteside,,41-36,,
6:30.0,H. Whiteside misses 2-pt shot from 5 ft,,41-36,,
6:29.0,,,41-36,,Defensive rebound by N. Noel
6:15.0,,,41-36,,D. Finney-Smith misses 2-pt shot from 10 ft
6:13.0,,,41-36,,Offensive rebound by N. Noel
6:13.0,,,41-38,2,N. Noel makes 2-pt shot from 4 ft
6:01.0,J. Richardson makes 2-pt shot from 6 ft,2,43-38,,
5:42.0,,,43-41,3,S. Curry makes 3-pt shot from 24 ft (assist by Q. Cook)
5:28.0,J. Johnson makes 2-pt shot from 6 ft (assist by T. Johnson),2,45-41,,
5:08.0,,,45-43,2,H. Barnes makes 2-pt shot from 4 ft (assist by S. Curry)
4:55.0,Shooting foul by N. Noel (drawn by T. Johnson),,45-43,,
4:55.0,Official timeout,,45-43,,
4:55.0,T. Johnson makes free throw 1 of 2,1,46-43,,
4:55.0,T. Johnson misses free throw 2 of 2,,46-43,,
4:55.0,,,45-43,,S. Mejri enters the game for N. Noel
4:55.0,L. Babbitt enters the game for J. Johnson,,45-43,,
4:55.0,,,46-43,,W. Matthews enters the game for D. Finney-Smith
4:54.0,,,46-43,,Defensive rebound by S. Mejri
4:41.0,,,46-43,,Q. Cook misses 3-pt shot from 25 ft
4:39.0,,,46-43,,Offensive rebound by S. Mejri
4:32.0,,,46-45,2,S. Curry makes 2-pt shot from 4 ft
4:16.0,J. Richardson misses 2-pt shot from 11 ft,,46-45,,
4:14.0,,,46-45,,Defensive rebound by Q. Cook
4:08.0,,,46-47,2,S. Curry makes 2-pt shot from 20 ft
4:08.0,,,46-47,,Shooting foul by H. Whiteside (drawn by S. Curry)
4:08.0,,,46-48,1,S. Curry makes free throw 1 of 1
4:08.0,R. McGruder enters the game for J. Richardson,,46-47,,
3:55.0,H. Whiteside misses 2-pt shot from 6 ft,,46-48,,
3:54.0,,,46-48,,Defensive rebound by W. Matthews
3:38.0,,,46-48,,S. Curry misses 2-pt shot from 18 ft
3:36.0,,,46-48,,Offensive rebound by S. Mejri
3:34.0,,,46-48,,S. Mejri misses 2-pt shot from 3 ft
3:33.0,Defensive rebound by D. Waiters,,46-48,,
3:21.0,R. McGruder misses 3-pt shot from 25 ft,,46-48,,
3:20.0,,,46-48,,Defensive rebound by H. Barnes
3:11.0,,,46-48,,H. Barnes misses 2-pt shot from 20 ft
3:10.0,,,46-48,,Offensive rebound by S. Mejri
3:05.0,,,46-50,2,H. Barnes makes 2-pt shot from 3 ft (assist by S. Mejri)
2:59.0,Miami full timeout,,46-50,,
2:59.0,,,46-50,,Dallas full timeout
2:59.0,G. Dragic enters the game for R. McGruder,,46-50,,
2:46.0,T. Johnson misses 2-pt shot from 18 ft,,46-50,,
2:44.0,Offensive rebound by Team,,46-50,,
2:44.0,J. Johnson enters the game for L. Babbitt,,46-50,,
2:38.0,H. Whiteside makes 2-pt shot from 3 ft (assist by D. Waiters),2,48-50,,
2:22.0,,,48-50,,Shooting foul by J. Johnson (drawn by H. Barnes)
2:22.0,,,48-51,1,H. Barnes makes free throw 1 of 2
2:22.0,,,48-52,1,H. Barnes makes free throw 2 of 2
2:22.0,,,48-51,,D. Nowitzki enters the game for S. Mejri
2:00.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,51-52,,
1:46.0,,,51-52,,H. Barnes misses 3-pt shot from 27 ft
1:45.0,Defensive rebound by G. Dragic,,51-52,,
1:36.0,G. Dragic misses 2-pt shot from 8 ft,,51-52,,
1:35.0,Offensive rebound by H. Whiteside,,51-52,,
1:32.0,H. Whiteside misses 2-pt shot from 2 ft,,51-52,,
1:30.0,Offensive rebound by G. Dragic,,51-52,,
1:28.0,G. Dragic misses 2-pt shot from 21 ft,,51-52,,
1:28.0,,,51-52,,Defensive rebound by Team
1:19.0,,,51-52,,Q. Cook misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by D. Waiters,,51-52,,
1:12.0,,,51-52,,Personal foul by S. Curry (drawn by D. Waiters)
1:12.0,D. Waiters misses free throw 1 of 2,,51-52,,
1:12.0,Offensive rebound by Team,,51-52,,
1:12.0,D. Waiters makes free throw 2 of 2,1,52-52,,
1:12.0,,,51-52,,D. Harris enters the game for Q. Cook
1:12.0,R. McGruder enters the game for T. Johnson,,51-52,,
1:12.0,O. White enters the game for J. Johnson,,51-52,,
0:47.0,,,52-52,,D. Nowitzki misses 2-pt shot from 20 ft
0:46.0,Defensive rebound by H. Whiteside,,52-52,,
0:41.0,G. Dragic makes 2-pt shot from 12 ft (assist by D. Waiters),2,54-52,,
0:24.0,,,54-55,3,S. Curry makes 3-pt shot from 25 ft
0:04.0,Turnover by D. Waiters (traveling),,54-55,,
0:04.0,,,54-55,,Dallas full timeout
0:04.0,J. Richardson enters the game for H. Whiteside,,54-55,,
0:00.0,,,54-55,,Turnover by D. Harris (lost ball; steal by G. Dragic)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,54-55,,S. Curry misses 2-pt shot from 13 ft
11:40.0,Defensive rebound by L. Babbitt,,54-55,,
11:28.0,R. McGruder misses 2-pt shot from 8 ft,,54-55,,
11:27.0,Offensive rebound by R. McGruder,,54-55,,
11:24.0,G. Dragic misses 2-pt shot from 5 ft,,54-55,,
11:23.0,Offensive rebound by G. Dragic,,54-55,,
11:20.0,G. Dragic misses 2-pt shot from 1 ft,,54-55,,
11:19.0,,,54-55,,Defensive rebound by D. Nowitzki
11:09.0,,,54-55,,Shooting foul by D. Waiters (drawn by S. Curry)
11:09.0,,,54-56,1,S. Curry makes free throw 1 of 2
11:09.0,,,54-57,1,S. Curry makes free throw 2 of 2
10:47.0,R. McGruder makes 2-pt shot from 5 ft (assist by G. Dragic),2,56-57,,
10:30.0,,,56-59,2,H. Barnes makes 2-pt shot from 14 ft (assist by Y. Ferrell)
10:03.0,Turnover by Team (shot clock),,56-59,,
9:49.0,,,56-59,,D. Nowitzki misses 2-pt shot from 12 ft
9:47.0,Defensive rebound by L. Babbitt,,56-59,,
9:34.0,R. McGruder misses 3-pt shot from 26 ft,,56-59,,
9:33.0,,,56-59,,Defensive rebound by D. Nowitzki
9:25.0,,,56-59,,S. Curry misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by R. McGruder,,56-59,,
9:21.0,Shooting foul by Y. Ferrell (drawn by D. Waiters),,56-59,,
9:21.0,D. Waiters misses free throw 1 of 2,,56-59,,
9:21.0,Offensive rebound by Team,,56-59,,
9:21.0,D. Waiters misses free throw 2 of 2,,56-59,,
9:20.0,,,56-59,,Defensive rebound by D. Nowitzki
8:57.0,,,56-59,,S. Curry misses 2-pt shot from 21 ft
8:56.0,Defensive rebound by L. Babbitt,,56-59,,
8:44.0,D. Waiters misses 2-pt shot from 9 ft,,56-59,,
8:42.0,,,56-59,,Defensive rebound by D. Nowitzki
8:33.0,,,56-59,,Y. Ferrell misses 2-pt shot from 12 ft
8:32.0,Defensive rebound by H. Whiteside,,56-59,,
8:24.0,G. Dragic makes 2-pt shot from 2 ft,2,58-59,,
8:04.0,,,58-61,2,H. Barnes makes 2-pt shot from 17 ft (assist by Y. Ferrell)
7:49.0,Turnover by G. Dragic (dbl dribble),,58-61,,
7:27.0,,,58-61,,H. Barnes misses 2-pt shot from 6 ft
7:26.0,Defensive rebound by H. Whiteside,,58-61,,
7:20.0,L. Babbitt misses 3-pt shot from 24 ft,,58-61,,
7:18.0,,,58-61,,Defensive rebound by D. Nowitzki
7:15.0,,,58-64,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by S. Curry)
6:54.0,H. Whiteside makes 2-pt shot from 16 ft (assist by G. Dragic),2,60-64,,
6:41.0,,,60-64,,Y. Ferrell misses 2-pt shot from 4 ft (block by H. Whiteside)
6:38.0,Defensive rebound by D. Waiters,,60-64,,
6:34.0,Shooting foul by D. Nowitzki (drawn by G. Dragic),,60-64,,
6:34.0,G. Dragic misses free throw 1 of 2,,60-64,,
6:34.0,Offensive rebound by Team,,60-64,,
6:34.0,G. Dragic makes free throw 2 of 2,1,61-64,,
6:34.0,,,61-64,,Dallas full timeout
6:34.0,,,60-64,,N. Noel enters the game for D. Nowitzki
6:34.0,,,60-64,,Q. Cook enters the game for Y. Ferrell
6:34.0,J. Johnson enters the game for L. Babbitt,,60-64,,
6:34.0,T. Johnson enters the game for G. Dragic,,61-64,,
6:15.0,,,61-66,2,N. Noel makes 2-pt shot from 1 ft (assist by W. Matthews)
6:03.0,Turnover by T. Johnson (palming),,61-66,,
5:46.0,,,61-68,2,S. Curry makes 2-pt shot from 4 ft
5:30.0,D. Waiters misses 3-pt shot from 24 ft,,61-68,,
5:29.0,Offensive rebound by T. Johnson,,61-68,,
5:21.0,T. Johnson makes 2-pt shot from 9 ft (assist by J. Johnson),2,63-68,,
5:12.0,Personal foul by R. McGruder (drawn by S. Curry),,63-68,,
4:57.0,,,63-70,2,H. Barnes makes 2-pt shot from 6 ft
4:39.0,Turnover by H. Whiteside (bad pass; steal by N. Noel),,63-70,,
4:29.0,,,63-70,,Q. Cook misses 3-pt shot from 28 ft
4:28.0,Defensive rebound by H. Whiteside,,63-70,,
4:11.0,Turnover by R. McGruder (lost ball),,63-70,,
3:52.0,,,63-73,3,W. Matthews makes 3-pt shot from 26 ft (assist by Q. Cook)
3:52.0,Miami full timeout,,63-73,,
3:52.0,G. Dragic enters the game for D. Waiters,,63-73,,
3:38.0,H. Whiteside misses 2-pt shot from 6 ft,,63-73,,
3:37.0,,,63-73,,Defensive rebound by W. Matthews
3:24.0,,,63-73,,Turnover by Q. Cook (bad pass; steal by H. Whiteside)
3:15.0,H. Whiteside misses 2-pt shot from 4 ft (block by N. Noel),,63-73,,
3:13.0,,,63-73,,Defensive rebound by Q. Cook
2:58.0,,,63-73,,Turnover by W. Matthews (bad pass; steal by T. Johnson)
2:57.0,,,63-73,,Loose ball foul by W. Matthews (drawn by T. Johnson)
2:51.0,,,63-73,,Personal foul by Q. Cook (drawn by G. Dragic)
2:37.0,T. Johnson misses 2-pt shot from 4 ft,,63-73,,
2:36.0,Offensive rebound by H. Whiteside,,63-73,,
2:34.0,H. Whiteside makes 2-pt shot from 1 ft,2,65-73,,
2:34.0,Violation by Team (jump ball),,65-73,,
2:22.0,Personal block foul by J. Johnson (drawn by H. Barnes),,65-73,,
2:13.0,,,65-73,,Turnover by W. Matthews (step out of bounds)
1:56.0,J. Johnson misses 2-pt shot from 6 ft,,65-73,,
1:55.0,Offensive rebound by J. Johnson,,65-73,,
1:52.0,J. Johnson makes 2-pt shot from 4 ft,2,67-73,,
1:40.0,Violation by J. Johnson (kicked ball),,67-73,,
1:27.0,,,67-76,3,S. Curry makes 3-pt shot from 28 ft (assist by H. Barnes)
1:11.0,G. Dragic misses 3-pt shot from 25 ft,,67-76,,
1:11.0,Offensive rebound by G. Dragic,,67-76,,
1:03.0,J. Johnson misses 3-pt shot from 25 ft,,67-76,,
1:02.0,,,67-76,,Defensive rebound by S. Curry
0:45.0,,,67-76,,H. Barnes misses 2-pt shot from 15 ft
0:43.0,,,67-76,,Offensive rebound by N. Noel
0:32.0,,,67-78,2,S. Curry makes 2-pt shot from 11 ft
0:12.0,T. Johnson misses 2-pt shot from 16 ft,,67-78,,
0:11.0,Offensive rebound by H. Whiteside,,67-78,,
0:10.0,H. Whiteside makes 2-pt shot from 3 ft,2,69-78,,
0:02.0,,,69-78,,Turnover by S. Curry (bad pass; steal by G. Dragic)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Johnson misses 2-pt shot from 4 ft,,69-78,,
11:37.0,,,69-78,,Defensive rebound by D. Nowitzki
11:21.0,Violation by O. White (kicked ball),,69-78,,
11:21.0,,,69-78,,D. Powell enters the game for N. Noel
11:10.0,,,69-78,,Y. Ferrell misses 2-pt shot from 15 ft
11:08.0,Defensive rebound by J. Johnson,,69-78,,
11:01.0,J. Johnson makes 2-pt shot from 12 ft,2,71-78,,
10:43.0,,,71-78,,D. Nowitzki misses 2-pt shot from 13 ft
10:41.0,Defensive rebound by W. Ellington,,71-78,,
10:33.0,W. Ellington misses 3-pt shot from 26 ft,,71-78,,
10:32.0,,,71-78,,Defensive rebound by Y. Ferrell
10:15.0,,,71-78,,D. Nowitzki misses 2-pt shot from 15 ft
10:14.0,Defensive rebound by J. Johnson,,71-78,,
10:07.0,W. Ellington makes 3-pt shot from 24 ft (assist by T. Johnson),3,74-78,,
9:51.0,Personal block foul by G. Dragic (drawn by D. Harris),,74-78,,
9:43.0,,,74-80,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Harris)
9:33.0,Turnover by T. Johnson (lost ball),,74-80,,
9:20.0,,,74-80,,D. Harris misses 2-pt shot from 3 ft
9:19.0,,,74-80,,Offensive rebound by Y. Ferrell
9:14.0,,,74-80,,Shooting foul by T. Johnson (drawn by D. Powell)
9:14.0,,,74-81,1,D. Powell makes free throw 1 of 2
9:14.0,,,74-81,,D. Powell misses free throw 2 of 2
9:13.0,Defensive rebound by G. Dragic,,74-81,,
8:54.0,J. Johnson misses 3-pt shot from 26 ft,,74-81,,
8:52.0,,,74-81,,Defensive rebound by D. Nowitzki
8:39.0,,,74-81,,Turnover by D. Harris (bad pass; steal by T. Johnson)
8:32.0,G. Dragic makes 2-pt shot from 6 ft (assist by T. Johnson),2,76-81,,
8:16.0,,,76-81,,Turnover by D. Powell (lost ball; steal by O. White)
8:09.0,W. Ellington misses 3-pt shot from 24 ft,,76-81,,
8:08.0,,,76-81,,Defensive rebound by D. Powell
7:56.0,,,76-81,,Shooting foul by T. Johnson (drawn by Y. Ferrell)
7:56.0,Official timeout,,76-81,,
7:56.0,,,76-81,,Y. Ferrell misses free throw 1 of 2
7:56.0,,,76-81,,Offensive rebound by Team
7:56.0,,,76-82,1,Y. Ferrell makes free throw 2 of 2
7:56.0,D. Waiters enters the game for T. Johnson,,76-81,,
7:56.0,H. Whiteside enters the game for O. White,,76-81,,
7:56.0,,,76-81,,N. Noel enters the game for D. Powell
7:35.0,H. Whiteside makes 2-pt shot from 7 ft (assist by G. Dragic),2,78-82,,
7:18.0,,,78-82,,D. Harris misses 2-pt shot from 3 ft (block by J. Johnson)
7:16.0,Defensive rebound by H. Whiteside,,78-82,,
7:09.0,G. Dragic makes 2-pt shot from 16 ft,2,80-82,,
6:52.0,,,80-84,2,N. Noel makes 2-pt shot at rim (assist by D. Harris)
6:28.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Waiters),3,83-84,,
6:26.0,,,83-84,,Dallas full timeout
6:26.0,,,83-84,,S. Curry enters the game for D. Nowitzki
6:26.0,,,83-84,,W. Matthews enters the game for D. Harris
6:26.0,,,83-84,,H. Barnes enters the game for D. Finney-Smith
6:08.0,,,83-84,,S. Curry misses 2-pt shot from 20 ft
6:07.0,Defensive rebound by H. Whiteside,,83-84,,
5:52.0,D. Waiters makes 3-pt shot from 26 ft (assist by W. Ellington),3,86-84,,
5:34.0,,,86-84,,H. Barnes misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by H. Whiteside,,86-84,,
5:27.0,,,86-84,,Personal foul by S. Curry (drawn by D. Waiters)
5:19.0,D. Waiters misses 3-pt shot from 24 ft,,86-84,,
5:18.0,Offensive rebound by H. Whiteside,,86-84,,
5:18.0,,,86-84,,Personal foul by Y. Ferrell (drawn by H. Whiteside)
4:55.0,G. Dragic misses 2-pt shot from 9 ft,,86-84,,
4:54.0,Offensive rebound by H. Whiteside,,86-84,,
4:53.0,H. Whiteside misses 2-pt shot from 4 ft,,86-84,,
4:52.0,,,86-84,,Defensive rebound by Y. Ferrell
4:48.0,,,86-84,,Turnover by Y. Ferrell (bad pass; steal by D. Waiters)
4:39.0,G. Dragic makes 3-pt shot from 23 ft (assist by D. Waiters),3,89-84,,
4:10.0,,,89-86,2,S. Curry makes 2-pt shot from 5 ft
3:51.0,D. Waiters misses 2-pt shot from 17 ft,,89-86,,
3:50.0,,,89-86,,Defensive rebound by H. Barnes
3:32.0,,,89-86,,H. Barnes misses 2-pt shot from 14 ft
3:31.0,Defensive rebound by J. Johnson,,89-86,,
3:26.0,Miami full timeout,,89-86,,
3:26.0,Technical foul by Team,,89-86,,
3:26.0,,,89-87,1,S. Curry makes technical free throw
3:11.0,Turnover by G. Dragic (bad pass; steal by W. Matthews),,89-87,,
3:07.0,,,89-87,,Turnover by W. Matthews (bad pass; steal by G. Dragic)
2:53.0,W. Ellington misses 3-pt shot from 25 ft,,89-87,,
2:52.0,,,89-87,,Defensive rebound by N. Noel
2:29.0,,,89-87,,Turnover by W. Matthews (lost ball; steal by D. Waiters)
2:06.0,G. Dragic misses 2-pt shot from 8 ft,,89-87,,
2:05.0,,,89-87,,Defensive rebound by N. Noel
1:52.0,,,89-90,3,S. Curry makes 3-pt shot from 29 ft (assist by N. Noel)
1:35.0,Turnover by G. Dragic (lost ball),,89-90,,
1:35.0,,,89-90,,D. Nowitzki enters the game for N. Noel
1:35.0,T. Johnson enters the game for W. Ellington,,89-90,,
1:16.0,,,89-90,,Shooting foul by T. Johnson (drawn by H. Barnes)
1:16.0,,,89-91,1,H. Barnes makes free throw 1 of 2
1:16.0,,,89-92,1,H. Barnes makes free throw 2 of 2
1:16.0,,,89-91,,N. Noel enters the game for D. Nowitzki
0:56.0,D. Waiters misses 3-pt shot from 25 ft,,89-92,,
0:56.0,,,89-92,,Defensive rebound by Team
0:56.0,,,89-92,,D. Nowitzki enters the game for N. Noel
0:37.0,,,89-92,,D. Nowitzki misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by T. Johnson,,89-92,,
