time,Portland,pts.away,score,pts.home,Memphis
8:53.0,,,29-21,,Defensive rebound by Z. Randolph
8:43.0,,,29-21,,T. Douglas misses 2-pt shot from 9 ft
8:41.0,Defensive rebound by A. Aminu,,29-21,,
8:35.0,A. Aminu misses 2-pt shot from 4 ft (block by D. Davis),,29-21,,
8:35.0,Offensive rebound by Team,,29-21,,
8:35.0,Portland full timeout,,29-21,,
8:35.0,,,29-21,,M. Gasol enters the game for D. Davis
8:35.0,E. Turner enters the game for A. Aminu,,29-21,,
8:35.0,M. Leonard enters the game for J. Layman,,29-21,,
8:24.0,E. Turner makes 2-pt shot from 7 ft,2,31-21,,
8:03.0,,,31-21,,M. Gasol misses 2-pt shot from 8 ft
8:01.0,Defensive rebound by M. Leonard,,31-21,,
7:45.0,Shooting foul by J. Martin (drawn by E. Turner),,31-21,,
7:45.0,E. Turner makes free throw 1 of 2,1,32-21,,
7:45.0,E. Turner misses free throw 2 of 2,,32-21,,
7:43.0,,,32-21,,Defensive rebound by Team
7:28.0,,,32-21,,T. Daniels misses 2-pt shot from 3 ft
7:27.0,Defensive rebound by E. Turner,,32-21,,
7:19.0,Shooting foul by Z. Randolph (drawn by E. Davis),,32-21,,
7:19.0,E. Davis misses free throw 1 of 2,,32-21,,
7:19.0,Offensive rebound by Team,,32-21,,
7:19.0,E. Davis makes free throw 2 of 2,1,33-21,,
7:19.0,,,32-21,,J. Green enters the game for Z. Randolph
7:19.0,,,32-21,,T. Allen enters the game for J. Martin
7:04.0,,,33-21,,Shooting foul by E. Davis (drawn by M. Gasol)
7:04.0,,,33-22,1,M. Gasol makes free throw 1 of 2
7:04.0,,,33-23,1,M. Gasol makes free throw 2 of 2
7:04.0,M. Plumlee enters the game for E. Davis,,33-22,,
6:52.0,A. Crabbe makes 3-pt shot from 24 ft (assist by E. Turner),3,36-23,,
6:40.0,,,36-25,2,T. Douglas makes 2-pt shot from 3 ft
6:12.0,C. McCollum makes 2-pt shot from 15 ft,2,38-25,,
5:55.0,,,38-27,2,M. Gasol makes 2-pt shot from 7 ft
5:36.0,M. Plumlee misses 2-pt shot from 11 ft,,38-27,,
5:34.0,,,38-27,,Defensive rebound by T. Allen
5:27.0,,,38-30,3,M. Gasol makes 3-pt shot from 28 ft (assist by T. Allen)
5:27.0,Portland full timeout,,38-30,,
5:27.0,D. Lillard enters the game for C. McCollum,,38-30,,
5:07.0,A. Crabbe misses 2-pt shot from 16 ft,,38-30,,
5:05.0,,,38-30,,Defensive rebound by J. Green
4:52.0,,,38-30,,M. Gasol misses 2-pt shot from 11 ft
4:51.0,,,38-30,,Offensive rebound by T. Allen
4:47.0,,,38-32,2,T. Allen makes 2-pt shot from 5 ft
4:38.0,,,38-32,,Personal foul by T. Allen (drawn by M. Plumlee)
4:38.0,,,38-32,,A. Harrison enters the game for T. Douglas
4:31.0,M. Leonard misses 3-pt shot from 22 ft,,38-32,,
4:30.0,,,38-32,,Defensive rebound by T. Daniels
4:15.0,,,38-32,,T. Allen misses 2-pt shot from 2 ft
4:13.0,Defensive rebound by M. Plumlee,,38-32,,
4:01.0,M. Plumlee misses 2-pt shot from 1 ft,,38-32,,
3:59.0,,,38-32,,Defensive rebound by M. Gasol
3:55.0,,,38-34,2,T. Allen makes 2-pt shot from 1 ft
3:55.0,,,38-34,,Shooting foul by E. Turner (drawn by T. Allen)
3:55.0,,,38-35,1,T. Allen makes free throw 1 of 1
3:47.0,,,38-35,,Personal foul by J. Green (drawn by M. Plumlee)
3:47.0,M. Plumlee misses free throw 1 of 2,,38-35,,
3:47.0,Offensive rebound by Team,,38-35,,
3:47.0,M. Plumlee misses free throw 2 of 2,,38-35,,
3:47.0,Offensive rebound by M. Leonard,,38-35,,
3:42.0,A. Crabbe misses 3-pt shot from 25 ft,,38-35,,
3:41.0,,,38-35,,Defensive rebound by J. Green
3:28.0,,,38-35,,J. Green misses 3-pt shot from 24 ft
3:26.0,Defensive rebound by M. Leonard,,38-35,,
3:17.0,D. Lillard makes 2-pt shot from 7 ft,2,40-35,,
2:59.0,,,40-35,,Shooting foul by M. Leonard (drawn by M. Gasol)
2:59.0,,,40-35,,Memphis full timeout
2:59.0,,,40-35,,M. Gasol misses free throw 1 of 2
2:59.0,,,40-35,,Offensive rebound by Team
2:59.0,,,40-36,1,M. Gasol makes free throw 2 of 2
2:59.0,C. McCollum enters the game for M. Leonard,,40-35,,
2:59.0,N. Vonleh enters the game for A. Crabbe,,40-35,,
2:59.0,,,40-35,,T. Douglas enters the game for T. Daniels
2:57.0,Turnover by M. Plumlee (bad pass; steal by A. Harrison),,40-36,,
2:52.0,,,40-39,3,M. Gasol makes 3-pt shot from 25 ft (assist by A. Harrison)
2:52.0,Portland full timeout,,40-39,,
2:47.0,Turnover by M. Plumlee (lost ball),,40-39,,
2:35.0,,,40-41,2,A. Harrison makes 2-pt shot from 22 ft (assist by M. Gasol)
2:12.0,C. McCollum makes 3-pt shot from 26 ft,3,43-41,,
2:00.0,,,43-41,,Shooting foul by E. Turner (drawn by J. Green)
2:00.0,,,43-42,1,J. Green makes free throw 1 of 2
2:00.0,,,43-43,1,J. Green makes free throw 2 of 2
1:45.0,D. Lillard makes 3-pt shot from 25 ft (assist by N. Vonleh),3,46-43,,
1:28.0,,,46-43,,J. Green misses 2-pt shot from 4 ft
1:26.0,Defensive rebound by D. Lillard,,46-43,,
1:21.0,D. Lillard misses 3-pt shot from 26 ft,,46-43,,
1:17.0,,,46-43,,Defensive rebound by M. Gasol
1:01.0,,,46-43,,T. Douglas misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by E. Turner,,46-43,,
0:50.0,E. Turner misses 2-pt shot from 3 ft,,46-43,,
0:49.0,Offensive rebound by E. Turner,,46-43,,
0:49.0,E. Turner makes 2-pt shot from 3 ft,2,48-43,,
0:45.0,,,48-43,,Memphis full timeout
0:45.0,,,48-43,,T. Daniels enters the game for T. Allen
0:25.0,,,48-43,,A. Harrison misses 2-pt shot from 2 ft
0:25.0,,,48-43,,Offensive rebound by J. Green
0:25.0,,,48-43,,Turnover by Team (shot clock)
0:25.0,,,48-43,,T. Allen enters the game for T. Daniels
0:25.0,A. Crabbe enters the game for N. Vonleh,,48-43,,
0:25.0,M. Leonard enters the game for M. Plumlee,,48-43,,
0:05.0,,,48-43,,Personal foul by T. Douglas (drawn by A. Crabbe)
0:05.0,A. Crabbe makes free throw 1 of 2,1,49-43,,
0:05.0,A. Crabbe makes free throw 2 of 2,1,50-43,,
0:05.0,M. Plumlee enters the game for M. Leonard,,49-43,,
0:05.0,,,49-43,,T. Daniels enters the game for T. Allen
0:01.0,,,50-43,,Offensive foul by A. Harrison
0:01.0,,,50-43,,Turnover by A. Harrison (offensive foul)
0:01.0,M. Leonard enters the game for M. Plumlee,,50-43,,
0:01.0,A. Aminu enters the game for E. Turner,,50-43,,
0:01.0,Portland full timeout,,50-43,,
0:01.0,,,50-43,,D. Davis enters the game for T. Daniels
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,50-43,,Technical foul by Team
12:00.0,D. Lillard misses technical free throw,,50-43,,
12:00.0,Offensive rebound by Team,,50-43,,
11:46.0,M. Leonard misses 3-pt shot from 25 ft,,50-43,,
11:45.0,,,50-43,,Defensive rebound by M. Gasol
11:29.0,,,50-43,,A. Harrison misses 2-pt shot from 17 ft
11:28.0,Defensive rebound by E. Turner,,50-43,,
11:19.0,E. Turner makes 2-pt shot from 2 ft,2,52-43,,
10:59.0,,,52-43,,T. Allen misses 2-pt shot from 1 ft (block by M. Plumlee)
10:58.0,,,52-43,,Offensive rebound by T. Allen
10:58.0,,,52-43,,Shooting foul by M. Leonard (drawn by T. Allen)
10:58.0,,,52-44,1,T. Allen makes free throw 1 of 2
10:58.0,,,52-44,,T. Allen misses free throw 2 of 2
10:57.0,Defensive rebound by E. Turner,,52-44,,
10:41.0,Turnover by E. Turner (lost ball; steal by T. Williams),,52-44,,
10:36.0,,,52-44,,T. Williams misses 2-pt shot from 1 ft
10:36.0,,,52-44,,Offensive rebound by Team
10:26.0,,,52-46,2,A. Harrison makes 2-pt shot from 3 ft
10:16.0,E. Turner misses 2-pt shot from 21 ft,,52-46,,
10:13.0,,,52-46,,Defensive rebound by J. Green
10:05.0,,,52-46,,M. Gasol misses 2-pt shot from 21 ft
10:04.0,Defensive rebound by Team,,52-46,,
9:52.0,C. McCollum misses 2-pt shot from 6 ft,,52-46,,
9:49.0,,,52-46,,Defensive rebound by J. Green
9:40.0,Personal foul by D. Lillard (drawn by J. Green),,52-46,,
9:29.0,,,52-46,,M. Gasol misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by M. Plumlee,,52-46,,
9:20.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,55-46,,
9:02.0,,,55-48,2,M. Gasol makes 2-pt shot from 7 ft (assist by J. Green)
8:50.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,57-48,,
8:50.0,,,57-48,,Memphis full timeout
8:50.0,A. Aminu enters the game for M. Leonard,,57-48,,
8:43.0,,,57-48,,Turnover by J. Green (bad pass; steal by A. Aminu)
8:29.0,Turnover by A. Aminu (bad pass; steal by T. Allen),,57-48,,
8:26.0,,,57-48,,Turnover by T. Williams (lost ball; steal by C. McCollum)
8:21.0,C. McCollum misses 2-pt shot from 2 ft (block by T. Williams),,57-48,,
8:21.0,Offensive rebound by Team,,57-48,,
8:09.0,D. Lillard misses 3-pt shot from 24 ft,,57-48,,
8:08.0,Offensive rebound by A. Aminu,,57-48,,
8:04.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu),3,60-48,,
7:40.0,,,60-48,,M. Gasol misses 2-pt shot from 2 ft
7:37.0,,,60-48,,Offensive rebound by J. Green
7:37.0,,,60-48,,J. Green misses 2-pt shot from 2 ft
7:35.0,,,60-48,,Offensive rebound by J. Green
7:35.0,,,60-50,2,J. Green makes 2-pt shot from 1 ft
7:34.0,,,60-50,,Technical foul by M. Gasol
7:34.0,C. McCollum makes technical free throw,1,61-50,,
7:19.0,A. Aminu misses 3-pt shot from 24 ft,,61-50,,
7:18.0,,,61-50,,Defensive rebound by T. Williams
7:05.0,,,61-50,,T. Williams misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by A. Aminu,,61-50,,
7:00.0,Turnover by A. Aminu (bad pass; steal by T. Williams),,61-50,,
6:56.0,Shooting block foul by D. Lillard (drawn by A. Harrison),,61-50,,
6:56.0,,,61-51,1,A. Harrison makes free throw 1 of 2
6:56.0,,,61-51,,A. Harrison misses free throw 2 of 2
6:55.0,Defensive rebound by A. Aminu,,61-51,,
6:43.0,M. Plumlee misses 2-pt shot from 1 ft,,61-51,,
6:41.0,,,61-51,,Defensive rebound by J. Green
6:27.0,,,61-53,2,T. Allen makes 2-pt shot from 4 ft
6:07.0,A. Aminu misses 3-pt shot from 22 ft,,61-53,,
6:06.0,,,61-53,,Defensive rebound by T. Williams
5:47.0,,,61-53,,T. Williams misses 2-pt shot from 13 ft
5:46.0,Defensive rebound by M. Plumlee,,61-53,,
5:41.0,,,61-53,,Personal foul by T. Williams (drawn by C. McCollum)
5:41.0,,,61-53,,T. Daniels enters the game for T. Allen
5:25.0,E. Turner misses 3-pt shot from 23 ft,,61-53,,
5:24.0,,,61-53,,Defensive rebound by J. Green
5:12.0,,,61-53,,Shooting foul by A. Aminu (drawn by M. Gasol)
5:12.0,,,61-53,,M. Gasol misses free throw 1 of 2
5:12.0,,,61-53,,Offensive rebound by Team
5:12.0,,,61-54,1,M. Gasol makes free throw 2 of 2
5:12.0,A. Crabbe enters the game for C. McCollum,,61-53,,
4:54.0,Shooting foul by J. Green (drawn by M. Plumlee),,61-54,,
4:54.0,M. Plumlee misses free throw 1 of 2,,61-54,,
4:54.0,Offensive rebound by Team,,61-54,,
4:54.0,M. Plumlee makes free throw 2 of 2,1,62-54,,
4:34.0,,,62-54,,A. Harrison misses 2-pt shot from 22 ft
4:32.0,Defensive rebound by M. Plumlee,,62-54,,
4:20.0,,,62-54,,Personal foul by A. Harrison (drawn by D. Lillard)
4:20.0,,,62-54,,T. Douglas enters the game for A. Harrison
4:20.0,J. Layman enters the game for E. Turner,,62-54,,
4:11.0,A. Aminu misses 3-pt shot from 25 ft,,62-54,,
4:11.0,,,62-54,,Defensive rebound by T. Williams
3:58.0,,,62-56,2,M. Gasol makes 2-pt shot from 4 ft
3:58.0,,,62-56,,Shooting foul by M. Plumlee (drawn by M. Gasol)
3:58.0,,,62-57,1,M. Gasol makes free throw 1 of 1
3:43.0,J. Layman misses 3-pt shot from 24 ft,,62-57,,
3:42.0,,,62-57,,Defensive rebound by Team
3:42.0,,,62-57,,Z. Randolph enters the game for M. Gasol
3:42.0,E. Davis enters the game for M. Plumlee,,62-57,,
3:25.0,,,62-59,2,T. Daniels makes 2-pt shot from 21 ft (assist by Z. Randolph)
3:07.0,Offensive charge foul by E. Davis,,62-59,,
3:07.0,Turnover by E. Davis (offensive foul),,62-59,,
2:59.0,,,62-59,,Offensive foul by J. Green
2:59.0,,,62-59,,Turnover by J. Green (offensive foul)
2:59.0,Portland full timeout,,62-59,,
2:43.0,Shooting foul by T. Williams (drawn by J. Layman),,62-59,,
2:43.0,J. Layman makes free throw 1 of 2,1,63-59,,
2:43.0,J. Layman makes free throw 2 of 2,1,64-59,,
2:37.0,,,64-59,,Turnover by T. Daniels (step out of bounds)
2:22.0,A. Crabbe misses 3-pt shot from 25 ft,,64-59,,
2:21.0,,,64-59,,Defensive rebound by J. Green
2:01.0,,,64-59,,T. Douglas misses 2-pt shot from 12 ft
1:59.0,Defensive rebound by A. Aminu,,64-59,,
1:53.0,A. Crabbe misses 2-pt shot from 4 ft,,64-59,,
1:51.0,Offensive rebound by E. Davis,,64-59,,
1:51.0,E. Davis makes 2-pt shot from 1 ft,2,66-59,,
1:51.0,,,66-59,,Memphis full timeout
1:51.0,C. McCollum enters the game for D. Lillard,,66-59,,
1:51.0,N. Vonleh enters the game for A. Aminu,,66-59,,
1:51.0,,,66-59,,J. Martin enters the game for J. Green
1:40.0,,,66-59,,Shooting foul by E. Davis (drawn by Z. Randolph)
1:40.0,,,66-59,,Z. Randolph misses free throw 1 of 2
1:40.0,,,66-59,,Offensive rebound by Team
1:40.0,,,66-60,1,Z. Randolph makes free throw 2 of 2
1:25.0,,,66-60,,Personal foul by T. Williams (drawn by E. Davis)
1:25.0,E. Davis misses free throw 1 of 2,,66-60,,
1:25.0,Offensive rebound by Team,,66-60,,
1:25.0,E. Davis makes free throw 2 of 2,1,67-60,,
1:25.0,,,66-60,,A. Harrison enters the game for T. Williams
1:07.0,,,67-60,,J. Martin misses 2-pt shot from 21 ft
1:05.0,,,67-60,,Offensive rebound by A. Harrison
0:56.0,,,67-60,,A. Harrison misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by E. Davis,,67-60,,
0:46.0,C. McCollum misses 2-pt shot from 21 ft,,67-60,,
0:44.0,Offensive rebound by E. Davis,,67-60,,
0:42.0,E. Davis misses 2-pt shot from 1 ft,,67-60,,
0:40.0,Offensive rebound by E. Davis,,67-60,,
0:40.0,Turnover by E. Davis (lost ball; steal by T. Daniels),,67-60,,
0:36.0,Personal foul by N. Vonleh (drawn by Z. Randolph),,67-60,,
0:36.0,,,67-60,,Z. Randolph misses free throw 1 of 2
0:36.0,,,67-60,,Offensive rebound by Team
0:36.0,,,67-61,1,Z. Randolph makes free throw 2 of 2
0:24.0,Shooting foul by Z. Randolph (drawn by C. McCollum),,67-61,,
0:24.0,C. McCollum makes free throw 1 of 2,1,68-61,,
0:24.0,C. McCollum makes free throw 2 of 2,1,69-61,,
0:24.0,A. Aminu enters the game for E. Davis,,68-61,,
0:02.0,,,69-61,,A. Harrison misses 2-pt shot from 3 ft
0:01.0,,,69-61,,Offensive rebound by Z. Randolph
0:01.0,,,69-61,,Z. Randolph misses 2-pt shot from 1 ft
0:01.0,,,69-61,,Offensive rebound by Team
0:01.0,M. Plumlee enters the game for C. McCollum,,69-61,,
0:00.0,,,69-61,,Z. Randolph misses 3-pt shot from 26 ft
0:00.0,,,69-61,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,69-61,,T. Daniels misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by A. Aminu,,69-61,,
11:36.0,A. Crabbe misses 2-pt shot from 12 ft,,69-61,,
11:33.0,,,69-61,,Defensive rebound by T. Douglas
11:20.0,,,69-63,2,Z. Randolph makes 2-pt shot from 3 ft
10:57.0,Shooting foul by J. Martin (drawn by E. Davis),,69-63,,
10:57.0,E. Davis makes free throw 1 of 2,1,70-63,,
10:57.0,E. Davis makes free throw 2 of 2,1,71-63,,
10:57.0,N. Vonleh enters the game for J. Layman,,70-63,,
10:57.0,E. Turner enters the game for A. Aminu,,70-63,,
10:43.0,,,71-63,,T. Daniels misses 2-pt shot from 18 ft
10:42.0,,,71-63,,Offensive rebound by Z. Randolph
10:39.0,,,71-63,,Z. Randolph misses 2-pt shot from 4 ft
10:39.0,,,71-63,,Offensive rebound by Z. Randolph
10:39.0,,,71-63,,Shooting foul by N. Vonleh (drawn by Z. Randolph)
10:39.0,,,71-64,1,Z. Randolph makes free throw 1 of 2
10:39.0,,,71-64,,Z. Randolph misses free throw 2 of 2
10:38.0,Defensive rebound by E. Turner,,71-64,,
10:26.0,Offensive foul by N. Vonleh,,71-64,,
10:26.0,Turnover by N. Vonleh (offensive foul),,71-64,,
10:14.0,,,71-64,,T. Daniels misses 2-pt shot from 2 ft
10:12.0,Defensive rebound by A. Crabbe,,71-64,,
9:53.0,A. Crabbe misses 2-pt shot from 19 ft,,71-64,,
9:52.0,Offensive rebound by E. Davis,,71-64,,
