time,Detroit,pts.away,score,pts.home,Brooklyn
4:51.0,T. Harris makes free throw 2 of 2,1,21-25,,
4:51.0,,,20-25,,L. Scola enters the game for B. Lopez
4:51.0,,,20-25,,I. Whitehead enters the game for J. Lin
4:51.0,J. Leuer enters the game for M. Morris,,20-25,,
4:38.0,,,21-25,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
4:37.0,Defensive rebound by A. Drummond,,21-25,,
4:36.0,,,21-25,,Personal foul by R. Hollis-Jefferson (drawn by A. Drummond)
4:36.0,,,21-25,,S. Kilpatrick enters the game for R. Hollis-Jefferson
4:18.0,T. Harris misses 2-pt shot from 3 ft,,21-25,,
4:17.0,,,21-25,,Defensive rebound by S. Kilpatrick
4:07.0,,,21-27,2,J. Harris makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
3:49.0,J. Leuer makes 2-pt shot from 13 ft (assist by T. Harris),2,23-27,,
3:34.0,,,23-27,,Turnover by I. Whitehead (bad pass; steal by I. Smith)
3:27.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by I. Smith),3,26-27,,
3:26.0,,,26-27,,Brooklyn full timeout
3:26.0,A. Baynes enters the game for A. Drummond,,26-27,,
3:26.0,B. Udrih enters the game for I. Smith,,26-27,,
3:15.0,,,26-27,,Offensive charge foul by I. Whitehead
3:15.0,,,26-27,,Turnover by I. Whitehead (offensive foul)
2:53.0,Turnover by T. Harris (bad pass; steal by L. Scola),,26-27,,
2:48.0,,,26-29,2,L. Scola makes 2-pt shot from 2 ft (assist by I. Whitehead)
2:28.0,,,26-29,,Personal foul by L. Scola (drawn by B. Udrih)
2:28.0,B. Udrih makes free throw 1 of 2,1,27-29,,
2:28.0,B. Udrih makes free throw 2 of 2,1,28-29,,
2:17.0,,,28-31,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by J. Hamilton)
2:03.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,28-31,,
2:02.0,,,28-31,,Defensive rebound by J. Hamilton
1:54.0,,,28-34,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by I. Whitehead)
1:42.0,B. Udrih makes 2-pt shot from 20 ft,2,30-34,,
1:25.0,,,30-36,2,J. Harris makes 2-pt shot from 1 ft (assist by L. Scola)
1:13.0,,,30-36,,J. Lin enters the game for I. Whitehead
1:13.0,,,30-36,,T. Booker enters the game for J. Hamilton
1:13.0,M. Morris enters the game for T. Harris,,30-36,,
1:13.0,S. Johnson enters the game for K. Caldwell-Pope,,30-36,,
0:59.0,S. Johnson misses 3-pt shot from 24 ft,,30-36,,
0:58.0,Offensive rebound by J. Leuer,,30-36,,
0:54.0,Turnover by J. Leuer (bad pass; steal by T. Booker),,30-36,,
0:38.0,,,30-36,,S. Kilpatrick misses 2-pt shot from 1 ft (block by A. Baynes)
0:37.0,,,30-36,,Offensive rebound by Team
0:33.0,,,30-36,,T. Booker misses 2-pt shot from 5 ft
0:31.0,Defensive rebound by J. Leuer,,30-36,,
0:21.0,B. Udrih misses 2-pt shot from 12 ft,,30-36,,
0:20.0,,,30-36,,Defensive rebound by J. Lin
0:01.0,,,30-38,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by J. Lin)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,30-41,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by J. Hamilton)
11:35.0,M. Morris misses 2-pt shot from 8 ft,,30-41,,
11:34.0,,,30-41,,Defensive rebound by B. Bogdanovic
11:28.0,,,30-41,,B. Bogdanovic misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by J. Leuer,,30-41,,
11:07.0,A. Baynes makes 2-pt shot from 12 ft (assist by B. Udrih),2,32-41,,
10:49.0,,,32-43,2,J. Hamilton makes 2-pt shot from 20 ft (assist by J. Lin)
10:34.0,A. Baynes misses 2-pt shot from 13 ft,,32-43,,
10:33.0,,,32-43,,Defensive rebound by B. Bogdanovic
10:21.0,,,32-43,,T. Booker misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by J. Leuer,,32-43,,
10:07.0,J. Leuer makes 3-pt shot from 24 ft (assist by S. Johnson),3,35-43,,
9:50.0,,,35-43,,J. Lin misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by S. Johnson,,35-43,,
9:41.0,B. Udrih makes 2-pt shot from 9 ft,2,37-43,,
9:30.0,,,37-45,2,S. Kilpatrick makes 2-pt shot from 17 ft
9:15.0,J. Leuer misses 2-pt shot from 2 ft (block by J. Hamilton),,37-45,,
9:14.0,Offensive rebound by Team,,37-45,,
9:14.0,A. Drummond enters the game for A. Baynes,,37-45,,
9:09.0,B. Udrih makes 2-pt shot from 10 ft,2,39-45,,
8:48.0,,,39-45,,Turnover by B. Bogdanovic (lost ball)
8:48.0,Official timeout,,39-45,,
8:28.0,A. Drummond misses 2-pt shot from 4 ft,,39-45,,
8:27.0,Offensive rebound by M. Morris,,39-45,,
8:26.0,Shooting foul by J. Hamilton (drawn by M. Morris),,39-45,,
8:26.0,M. Morris makes free throw 1 of 2,1,40-45,,
8:26.0,M. Morris makes free throw 2 of 2,1,41-45,,
8:16.0,,,41-45,,Shooting foul by S. Johnson (drawn by J. Lin)
8:16.0,,,41-46,1,J. Lin makes free throw 1 of 2
8:16.0,,,41-47,1,J. Lin makes free throw 2 of 2
7:57.0,J. Leuer misses 3-pt shot from 25 ft,,41-47,,
7:56.0,,,41-47,,Defensive rebound by J. Lin
7:51.0,,,41-47,,Turnover by T. Booker (bad pass; steal by M. Morris)
7:46.0,J. Leuer makes 2-pt shot from 2 ft (assist by B. Udrih),2,43-47,,
7:36.0,,,43-49,2,T. Booker makes 2-pt shot from 6 ft
7:15.0,A. Drummond misses 2-pt shot from 1 ft,,43-49,,
7:14.0,,,43-49,,Defensive rebound by T. Booker
7:07.0,,,43-52,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by T. Booker)
6:59.0,Detroit full timeout,,43-52,,
6:59.0,,,43-52,,B. Lopez enters the game for T. Booker
6:59.0,,,43-52,,I. Whitehead enters the game for J. Lin
6:59.0,I. Smith enters the game for M. Morris,,43-52,,
6:59.0,T. Harris enters the game for B. Udrih,,43-52,,
6:53.0,A. Drummond misses 2-pt shot from 8 ft,,43-52,,
6:52.0,,,43-52,,Defensive rebound by S. Kilpatrick
6:49.0,Personal foul by A. Drummond (drawn by B. Lopez),,43-52,,
6:45.0,,,43-55,3,B. Lopez makes 3-pt shot from 25 ft (assist by J. Hamilton)
6:22.0,Turnover by S. Johnson (lost ball; steal by S. Kilpatrick),,43-55,,
6:14.0,,,43-55,,B. Lopez misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by S. Johnson,,43-55,,
6:09.0,,,43-55,,Personal foul by B. Lopez (drawn by A. Drummond)
5:54.0,I. Smith misses 2-pt shot from 20 ft,,43-55,,
5:53.0,Offensive rebound by T. Harris,,43-55,,
5:46.0,Shooting foul by I. Whitehead (drawn by T. Harris),,43-55,,
5:46.0,T. Harris makes free throw 1 of 2,1,44-55,,
5:46.0,T. Harris makes free throw 2 of 2,1,45-55,,
5:46.0,K. Caldwell-Pope enters the game for S. Johnson,,44-55,,
5:33.0,,,45-57,2,B. Lopez makes 2-pt shot from 1 ft
5:21.0,Shooting foul by S. Kilpatrick (drawn by K. Caldwell-Pope),,45-57,,
5:21.0,K. Caldwell-Pope makes free throw 1 of 2,1,46-57,,
5:21.0,K. Caldwell-Pope makes free throw 2 of 2,1,47-57,,
5:12.0,,,47-57,,I. Whitehead misses 2-pt shot from 2 ft (block by A. Drummond)
5:11.0,,,47-57,,Offensive rebound by B. Bogdanovic
4:59.0,,,47-57,,B. Lopez misses 2-pt shot from 1 ft (block by A. Drummond)
4:57.0,Defensive rebound by I. Smith,,47-57,,
4:52.0,I. Smith makes 2-pt shot from 3 ft,2,49-57,,
4:32.0,,,49-57,,J. Lin enters the game for I. Whitehead
4:32.0,,,49-57,,J. Harris enters the game for B. Bogdanovic
4:32.0,,,49-57,,Brooklyn full timeout
4:32.0,S. Johnson enters the game for J. Leuer,,49-57,,
4:26.0,,,49-59,2,B. Lopez makes 2-pt shot from 3 ft
4:10.0,Turnover by T. Harris (bad pass; steal by J. Harris),,49-59,,
4:05.0,,,49-59,,J. Lin misses 2-pt shot at rim
4:03.0,Defensive rebound by A. Drummond,,49-59,,
3:52.0,T. Harris makes 2-pt shot from 2 ft (assist by A. Drummond),2,51-59,,
3:43.0,,,51-61,2,J. Lin makes 2-pt shot from 1 ft
3:22.0,T. Harris misses 2-pt shot from 8 ft,,51-61,,
3:21.0,,,51-61,,Defensive rebound by S. Kilpatrick
3:13.0,,,51-64,3,J. Harris makes 3-pt shot from 25 ft (assist by J. Lin)
2:54.0,A. Drummond makes 2-pt shot from 7 ft,2,53-64,,
2:38.0,,,53-64,,Turnover by J. Harris (bad pass)
2:38.0,,,53-64,,T. Booker enters the game for J. Hamilton
2:38.0,,,53-64,,R. Hollis-Jefferson enters the game for S. Kilpatrick
2:26.0,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith),2,55-64,,
2:14.0,,,55-64,,Offensive foul by B. Lopez
2:14.0,,,55-64,,Turnover by B. Lopez (offensive foul)
2:14.0,,,55-64,,I. Whitehead enters the game for J. Lin
2:01.0,T. Harris misses 2-pt shot from 3 ft,,55-64,,
2:00.0,,,55-64,,Defensive rebound by I. Whitehead
1:54.0,,,55-66,2,I. Whitehead makes 2-pt shot from 18 ft
1:40.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,55-66,,
1:39.0,,,55-66,,Defensive rebound by J. Harris
1:26.0,,,55-69,3,B. Lopez makes 3-pt shot from 24 ft (assist by I. Whitehead)
1:02.0,Turnover by I. Smith (lost ball; steal by B. Lopez),,55-69,,
0:43.0,,,55-71,2,J. Harris makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
0:30.0,Turnover by A. Drummond (traveling),,55-71,,
0:07.0,,,55-71,,Brooklyn full timeout
0:07.0,J. Leuer enters the game for T. Harris,,55-71,,
0:05.0,,,55-71,,B. Lopez misses 2-pt shot from 8 ft
0:03.0,Defensive rebound by A. Drummond,,55-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,55-74,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by I. Whitehead)
11:24.0,I. Smith misses 2-pt shot from 1 ft,,55-74,,
11:22.0,,,55-74,,Defensive rebound by T. Booker
11:06.0,Personal foul by K. Caldwell-Pope (drawn by B. Bogdanovic),,55-74,,
11:03.0,,,55-76,2,B. Lopez makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
11:02.0,Detroit full timeout,,55-76,,
10:40.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith),3,58-76,,
10:27.0,,,58-76,,Turnover by I. Whitehead (bad pass; steal by M. Morris)
10:22.0,T. Harris makes 2-pt shot from 3 ft (assist by I. Smith),2,60-76,,
10:03.0,,,60-78,2,B. Lopez makes 2-pt shot from 6 ft
9:44.0,,,60-78,,Personal foul by I. Whitehead (drawn by I. Smith)
9:34.0,Turnover by K. Caldwell-Pope (lost ball; steal by R. Hollis-Jefferson),,60-78,,
9:29.0,,,60-78,,B. Bogdanovic misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by T. Harris,,60-78,,
9:20.0,I. Smith misses 2-pt shot at rim,,60-78,,
9:17.0,,,60-78,,Defensive rebound by B. Lopez
9:10.0,,,60-78,,R. Hollis-Jefferson misses 2-pt shot from 19 ft
9:09.0,Defensive rebound by K. Caldwell-Pope,,60-78,,
8:56.0,A. Drummond makes 2-pt shot from 10 ft,2,62-78,,
8:42.0,,,62-78,,Turnover by I. Whitehead (bad pass; steal by K. Caldwell-Pope)
8:36.0,T. Harris makes 2-pt shot from 3 ft (assist by I. Smith),2,64-78,,
8:36.0,Shooting foul by T. Booker (drawn by T. Harris),,64-78,,
8:36.0,T. Harris misses free throw 1 of 1,,64-78,,
8:34.0,,,64-78,,Defensive rebound by B. Lopez
8:23.0,,,64-78,,I. Whitehead misses 2-pt shot from 14 ft
8:22.0,Defensive rebound by A. Drummond,,64-78,,
8:11.0,M. Morris makes 2-pt shot from 23 ft,2,66-78,,
8:10.0,,,66-78,,Brooklyn full timeout
7:56.0,,,66-78,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
7:54.0,,,66-78,,Offensive rebound by B. Lopez
7:53.0,,,66-78,,B. Lopez misses 2-pt shot from 3 ft
7:51.0,Defensive rebound by A. Drummond,,66-78,,
7:40.0,M. Morris makes 3-pt shot from 24 ft (assist by A. Drummond),3,69-78,,
7:27.0,,,69-78,,B. Lopez misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by M. Morris,,69-78,,
7:19.0,T. Harris misses 3-pt shot from 24 ft,,69-78,,
7:18.0,,,69-78,,Defensive rebound by I. Whitehead
7:07.0,,,69-81,3,I. Whitehead makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
6:51.0,M. Morris misses 2-pt shot from 5 ft,,69-81,,
6:50.0,,,69-81,,Defensive rebound by R. Hollis-Jefferson
6:31.0,,,69-81,,Shooting foul by A. Drummond (drawn by B. Lopez)
6:31.0,,,69-82,1,B. Lopez makes free throw 1 of 2
6:31.0,,,69-83,1,B. Lopez makes free throw 2 of 2
6:31.0,,,69-82,,S. Kilpatrick enters the game for I. Whitehead
6:31.0,,,69-82,,J. Hamilton enters the game for T. Booker
6:14.0,A. Drummond misses 2-pt shot from 9 ft (block by B. Lopez),,69-83,,
6:13.0,,,69-83,,Defensive rebound by J. Hamilton
5:59.0,,,69-83,,S. Kilpatrick misses 2-pt shot from 1 ft
5:58.0,,,69-83,,Offensive rebound by J. Hamilton
5:57.0,,,69-85,2,J. Hamilton makes 2-pt shot from 1 ft
5:42.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,69-85,,
5:41.0,,,69-85,,Defensive rebound by B. Lopez
5:32.0,,,69-85,,Turnover by S. Kilpatrick (traveling)
5:32.0,,,69-85,,L. Scola enters the game for B. Lopez
5:32.0,,,69-85,,J. Harris enters the game for B. Bogdanovic
5:32.0,J. Leuer enters the game for M. Morris,,69-85,,
5:18.0,I. Smith makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,71-85,,
4:59.0,,,71-85,,J. Harris misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by A. Drummond,,71-85,,
4:38.0,Shooting foul by J. Hamilton (drawn by I. Smith),,71-85,,
4:38.0,I. Smith makes free throw 1 of 2,1,72-85,,
4:38.0,I. Smith makes free throw 2 of 2,1,73-85,,
4:38.0,A. Baynes enters the game for A. Drummond,,72-85,,
4:18.0,,,73-87,2,J. Hamilton makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
3:59.0,J. Leuer makes 2-pt shot from 7 ft,2,75-87,,
3:46.0,,,75-87,,J. Hamilton misses 2-pt shot from 19 ft
3:45.0,Defensive rebound by T. Harris,,75-87,,
3:33.0,,,75-87,,Personal foul by L. Scola (drawn by A. Baynes)
3:33.0,,,75-87,,B. Bogdanovic enters the game for R. Hollis-Jefferson
3:33.0,B. Udrih enters the game for I. Smith,,75-87,,
3:23.0,B. Udrih makes 2-pt shot from 16 ft,2,77-87,,
3:08.0,,,77-90,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Harris)
2:56.0,Turnover by K. Caldwell-Pope (lost ball),,77-90,,
2:41.0,,,77-92,2,J. Harris makes 2-pt shot from 2 ft (assist by S. Kilpatrick)
2:28.0,,,77-92,,Violation by J. Hamilton (kicked ball)
2:20.0,T. Harris misses 3-pt shot from 24 ft,,77-92,,
2:20.0,,,77-92,,Defensive rebound by S. Kilpatrick
2:19.0,Personal foul by J. Leuer (drawn by S. Kilpatrick),,77-92,,
2:10.0,,,77-92,,Turnover by B. Bogdanovic (lost ball; steal by B. Udrih)
2:04.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,77-92,,
2:03.0,Offensive rebound by Team,,77-92,,
2:03.0,,,77-92,,I. Whitehead enters the game for S. Kilpatrick
2:03.0,,,77-92,,T. Booker enters the game for J. Hamilton
1:56.0,B. Udrih misses 2-pt shot from 11 ft,,77-92,,
1:55.0,,,77-92,,Defensive rebound by L. Scola
1:47.0,,,77-92,,I. Whitehead misses 2-pt shot from 4 ft (block by A. Baynes)
1:44.0,Defensive rebound by K. Caldwell-Pope,,77-92,,
1:40.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,77-92,,
1:38.0,,,77-92,,Defensive rebound by I. Whitehead
1:24.0,,,77-92,,L. Scola misses 3-pt shot from 24 ft
1:23.0,Defensive rebound by Team,,77-92,,
1:12.0,,,77-92,,Personal foul by J. Harris (drawn by K. Caldwell-Pope)
1:12.0,K. Caldwell-Pope makes free throw 1 of 2,1,78-92,,
1:12.0,K. Caldwell-Pope makes free throw 2 of 2,1,79-92,,
1:12.0,S. Johnson enters the game for T. Harris,,78-92,,
1:05.0,Personal foul by J. Leuer (drawn by T. Booker),,79-92,,
0:53.0,,,79-92,,Turnover by J. Harris (step out of bounds)
0:40.0,A. Baynes misses 2-pt shot from 7 ft,,79-92,,
0:39.0,Offensive rebound by B. Udrih,,79-92,,
0:27.0,S. Johnson misses 2-pt shot from 8 ft,,79-92,,
0:26.0,,,79-92,,Defensive rebound by I. Whitehead
0:06.0,,,79-92,,Offensive foul by T. Booker
0:06.0,,,79-92,,Turnover by T. Booker (offensive foul)
0:06.0,,,79-92,,S. Kilpatrick enters the game for I. Whitehead
0:02.0,B. Udrih misses 3-pt shot from 25 ft,,79-92,,
0:01.0,Offensive rebound by A. Baynes,,79-92,,
0:01.0,A. Baynes makes 2-pt shot from 2 ft,2,81-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,81-92,,Personal foul by L. Scola (drawn by A. Baynes)
11:31.0,S. Johnson misses 3-pt shot from 23 ft,,81-92,,
11:29.0,,,81-92,,Defensive rebound by B. Bogdanovic
11:12.0,,,81-92,,B. Bogdanovic misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by S. Johnson,,81-92,,
10:53.0,S. Johnson misses 3-pt shot from 24 ft,,81-92,,
10:52.0,Offensive rebound by Team,,81-92,,
10:52.0,,,81-92,,Loose ball foul by I. Whitehead (drawn by A. Baynes)
10:43.0,B. Udrih misses 2-pt shot from 13 ft,,81-92,,
10:42.0,,,81-92,,Defensive rebound by L. Scola
10:41.0,,,81-92,,Personal foul by T. Booker (drawn by A. Baynes)
10:41.0,Personal foul by A. Baynes,,81-92,,
10:24.0,,,81-92,,J. Harris misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by M. Morris,,81-92,,
10:11.0,M. Morris makes 2-pt shot from 14 ft,2,83-92,,
9:52.0,,,83-92,,Turnover by L. Scola (bad pass; steal by M. Morris)
9:39.0,M. Morris makes 3-pt shot from 24 ft (assist by B. Udrih),3,86-92,,
9:39.0,,,86-92,,Brooklyn full timeout
9:39.0,,,86-92,,J. Hamilton enters the game for T. Booker
9:39.0,,,86-92,,S. Kilpatrick enters the game for I. Whitehead
9:28.0,,,86-94,2,S. Kilpatrick makes 2-pt shot from 7 ft
9:01.0,B. Udrih misses 2-pt shot from 19 ft,,86-94,,
9:00.0,,,86-94,,Defensive rebound by L. Scola
8:47.0,,,86-94,,Shooting foul by A. Baynes (drawn by S. Kilpatrick)
8:47.0,,,86-95,1,S. Kilpatrick makes free throw 1 of 2
8:47.0,,,86-96,1,S. Kilpatrick makes free throw 2 of 2
8:30.0,M. Morris misses 2-pt shot from 17 ft,,86-96,,
8:29.0,Offensive rebound by A. Baynes,,86-96,,
8:24.0,M. Morris makes 2-pt shot from 12 ft (assist by B. Udrih),2,88-96,,
8:24.0,Shooting foul by B. Bogdanovic (drawn by M. Morris),,88-96,,
8:24.0,M. Morris makes free throw 1 of 1,1,89-96,,
8:24.0,K. Caldwell-Pope enters the game for S. Johnson,,88-96,,
8:24.0,,,88-96,,B. Lopez enters the game for L. Scola
8:10.0,,,89-96,,B. Lopez misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by J. Leuer,,89-96,,
7:59.0,A. Baynes misses 2-pt shot from 1 ft,,89-96,,
7:58.0,,,89-96,,Defensive rebound by B. Lopez
7:45.0,,,89-96,,Turnover by S. Kilpatrick (bad pass; steal by A. Baynes)
7:30.0,M. Morris misses 3-pt shot from 25 ft,,89-96,,
7:29.0,,,89-96,,Defensive rebound by S. Kilpatrick
7:17.0,,,89-96,,Shooting foul by A. Baynes (drawn by B. Lopez)
7:17.0,,,89-96,,B. Lopez misses free throw 1 of 2
7:17.0,,,89-96,,Offensive rebound by Team
7:17.0,,,89-96,,B. Lopez misses free throw 2 of 2
7:17.0,I. Smith enters the game for B. Udrih,,89-96,,
7:17.0,T. Harris enters the game for J. Leuer,,89-96,,
7:17.0,,,89-96,,I. Whitehead enters the game for J. Harris
7:17.0,,,89-96,,R. Hollis-Jefferson enters the game for B. Bogdanovic
7:15.0,Defensive rebound by K. Caldwell-Pope,,89-96,,
6:54.0,M. Morris misses 2-pt shot from 22 ft,,89-96,,
6:53.0,Offensive rebound by A. Baynes,,89-96,,
6:41.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Harris),,89-96,,
6:41.0,T. Harris makes free throw 1 of 2,1,90-96,,
6:41.0,T. Harris misses free throw 2 of 2,,90-96,,
6:40.0,,,90-96,,Defensive rebound by B. Lopez
6:23.0,,,90-96,,B. Lopez misses 3-pt shot from 24 ft
6:22.0,,,90-96,,Offensive rebound by B. Lopez
6:19.0,,,90-96,,B. Lopez misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by I. Smith,,90-96,,
6:06.0,M. Morris misses 2-pt shot from 3 ft,,90-96,,
6:05.0,,,90-96,,Defensive rebound by B. Lopez
5:57.0,,,90-96,,Turnover by I. Whitehead (bad pass; steal by K. Caldwell-Pope)
5:42.0,,,90-96,,Personal foul by S. Kilpatrick (drawn by M. Morris)
5:42.0,Official timeout,,90-96,,
5:42.0,M. Morris misses free throw 1 of 2,,90-96,,
5:42.0,Offensive rebound by Team,,90-96,,
5:42.0,M. Morris makes free throw 2 of 2,1,91-96,,
5:42.0,J. Leuer enters the game for A. Baynes,,90-96,,
5:42.0,,,90-96,,T. Booker enters the game for J. Hamilton
5:42.0,,,90-96,,J. Harris enters the game for I. Whitehead
5:27.0,,,91-96,,B. Lopez misses 2-pt shot from 2 ft (block by J. Leuer)
5:25.0,Defensive rebound by T. Harris,,91-96,,
5:16.0,I. Smith misses 2-pt shot from 2 ft,,91-96,,
5:15.0,Offensive rebound by J. Leuer,,91-96,,
5:06.0,T. Harris misses 2-pt shot from 6 ft,,91-96,,
5:05.0,,,91-96,,Defensive rebound by B. Lopez
4:46.0,,,91-99,3,S. Kilpatrick makes 3-pt shot from 25 ft
4:26.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,91-99,,
4:25.0,,,91-99,,Defensive rebound by S. Kilpatrick
4:18.0,Personal block foul by K. Caldwell-Pope (drawn by S. Kilpatrick),,91-99,,
4:18.0,,,91-99,,B. Bogdanovic enters the game for R. Hollis-Jefferson
4:13.0,,,91-99,,S. Kilpatrick misses 2-pt shot from 2 ft (block by J. Leuer)
4:11.0,Defensive rebound by J. Leuer,,91-99,,
4:03.0,J. Leuer makes 2-pt shot from 15 ft,2,93-99,,
