time,New Orleans,pts.away,score,pts.home,LA Lakers
5:26.0,Shooting foul by L. Nance (drawn by T. Frazier),,16-13,,
5:26.0,T. Frazier makes free throw 1 of 2,1,17-13,,
5:26.0,T. Frazier misses free throw 2 of 2,,17-13,,
5:26.0,D. Motiejunas enters the game for A. Ajinca,,17-13,,
5:26.0,C. Diallo enters the game for D. Cunningham,,17-13,,
5:24.0,,,17-13,,Defensive rebound by J. Randle
5:07.0,,,17-13,,T. Ennis misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by C. Diallo,,17-13,,
4:55.0,C. Diallo makes 2-pt shot from 15 ft (assist by T. Frazier),2,19-13,,
4:46.0,,,19-13,,Turnover by J. Clarkson (traveling)
4:34.0,Turnover by J. Holiday (bad pass),,19-13,,
4:13.0,,,19-13,,J. Clarkson misses 2-pt shot from 8 ft
4:13.0,Defensive rebound by Team,,19-13,,
4:02.0,T. Frazier misses 2-pt shot from 7 ft,,19-13,,
4:00.0,Offensive rebound by C. Diallo,,19-13,,
3:51.0,Turnover by S. Hill (lost ball; steal by B. Ingram),,19-13,,
3:43.0,,,19-13,,Turnover by T. Ennis (bad pass; steal by S. Hill)
3:36.0,T. Frazier misses 2-pt shot from 2 ft,,19-13,,
3:32.0,,,19-13,,Defensive rebound by L. Nance
3:24.0,,,19-15,2,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram)
3:08.0,J. Holiday makes 2-pt shot from 5 ft,2,21-15,,
3:00.0,Personal foul by S. Hill (drawn by B. Ingram),,21-15,,
3:00.0,,,21-15,,B. Ingram misses free throw 1 of 2
3:00.0,,,21-15,,Offensive rebound by Team
3:00.0,,,21-15,,B. Ingram misses free throw 2 of 2
3:00.0,Q. Cook enters the game for T. Frazier,,21-15,,
2:58.0,Defensive rebound by C. Diallo,,21-15,,
2:39.0,D. Motiejunas misses 2-pt shot from 12 ft,,21-15,,
2:35.0,,,21-15,,Defensive rebound by L. Nance
2:17.0,,,21-15,,J. Clarkson misses 3-pt shot from 24 ft
2:14.0,,,21-15,,Offensive rebound by B. Ingram
2:14.0,,,21-17,2,B. Ingram makes 2-pt shot at rim
2:02.0,Q. Cook misses 3-pt shot from 25 ft,,21-17,,
2:00.0,,,21-17,,Defensive rebound by J. Randle
1:42.0,,,21-17,,B. Ingram misses 2-pt shot from 13 ft
1:39.0,Defensive rebound by J. Holiday,,21-17,,
1:34.0,J. Holiday makes 2-pt shot at rim (assist by Q. Cook),2,23-17,,
1:33.0,,,23-17,,LA Lakers full timeout
1:33.0,J. Crawford enters the game for J. Holiday,,23-17,,
1:24.0,Personal foul by S. Hill (drawn by B. Ingram),,23-17,,
1:24.0,,,23-18,1,B. Ingram makes free throw 1 of 2
1:24.0,,,23-19,1,B. Ingram makes free throw 2 of 2
1:24.0,,,23-18,,T. Black enters the game for J. Randle
1:24.0,A. Toupane enters the game for S. Hill,,23-18,,
1:24.0,,,23-18,,D. Nwaba enters the game for J. Clarkson
1:04.0,D. Motiejunas makes 2-pt shot from 14 ft (assist by Q. Cook),2,25-19,,
0:56.0,,,25-21,2,D. Nwaba makes 2-pt shot from 2 ft (assist by B. Ingram)
0:40.0,Turnover by C. Diallo (lost ball; steal by L. Nance),,25-21,,
0:34.0,,,25-21,,L. Nance misses 2-pt shot from 7 ft
0:32.0,,,25-21,,Offensive rebound by D. Nwaba
0:28.0,,,25-23,2,D. Nwaba makes 2-pt shot from 1 ft
0:17.0,D. Motiejunas misses 2-pt shot from 10 ft,,25-23,,
0:13.0,,,25-23,,Defensive rebound by T. Black
0:01.0,,,25-26,3,L. Nance makes 3-pt shot from 24 ft (assist by B. Ingram)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:25.0,,,25-28,2,T. Ennis makes 2-pt shot from 7 ft
11:21.0,J. Crawford misses 2-pt shot from 13 ft,,25-28,,
11:19.0,,,25-28,,Defensive rebound by T. Ennis
11:14.0,,,25-28,,T. Black misses 2-pt shot from 2 ft (block by C. Diallo)
11:13.0,Defensive rebound by D. Motiejunas,,25-28,,
11:09.0,,,25-28,,Personal foul by D. Nwaba (drawn by J. Crawford)
11:00.0,,,25-28,,Personal foul by T. Robinson (drawn by Q. Cook)
10:55.0,,,25-28,,Loose ball foul by T. Ennis (drawn by Q. Cook)
10:42.0,Q. Cook misses 2-pt shot from 2 ft (block by T. Black),,25-28,,
10:42.0,Offensive rebound by Team,,25-28,,
10:41.0,Turnover by Team (shot clock),,25-28,,
10:27.0,,,25-30,2,T. Robinson makes 2-pt shot at rim
10:13.0,D. Motiejunas misses 2-pt shot from 9 ft,,25-30,,
10:09.0,,,25-30,,Defensive rebound by T. Robinson
9:59.0,,,25-30,,T. Ennis misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by D. Motiejunas,,25-30,,
9:48.0,J. Crawford makes 2-pt shot at rim,2,27-30,,
9:38.0,,,27-32,2,T. Black makes 2-pt shot from 2 ft (assist by T. Ennis)
9:25.0,J. Crawford makes 2-pt shot from 9 ft (assist by D. Motiejunas),2,29-32,,
9:21.0,,,29-32,,Offensive charge foul by T. Ennis
9:21.0,,,29-32,,Turnover by T. Ennis (offensive foul)
9:13.0,Turnover by D. Motiejunas (lost ball; steal by C. Brewer),,29-32,,
9:09.0,,,29-32,,Shooting foul by A. Toupane (drawn by D. Nwaba)
9:09.0,,,29-33,1,D. Nwaba makes free throw 1 of 2
9:09.0,,,29-34,1,D. Nwaba makes free throw 2 of 2
8:50.0,C. Diallo makes 2-pt shot from 6 ft (assist by J. Crawford),2,31-34,,
8:29.0,,,31-34,,Turnover by T. Robinson (step out of bounds)
8:29.0,New Orleans full timeout,,31-34,,
8:29.0,A. Ajinca enters the game for D. Motiejunas,,31-34,,
8:06.0,Q. Cook misses 2-pt shot from 17 ft,,31-34,,
8:05.0,,,31-34,,Defensive rebound by C. Brewer
8:02.0,,,31-34,,Shooting foul by J. Crawford (drawn by C. Brewer)
8:02.0,,,31-34,,C. Brewer misses free throw 1 of 2
8:02.0,,,31-34,,Offensive rebound by Team
8:02.0,,,31-35,1,C. Brewer makes free throw 2 of 2
7:45.0,A. Ajinca misses 2-pt shot from 8 ft (block by T. Black),,31-35,,
7:38.0,,,31-35,,Defensive rebound by T. Robinson
7:35.0,,,31-37,2,D. Nwaba makes 2-pt shot at rim (assist by C. Brewer)
7:21.0,C. Diallo makes 2-pt shot from 13 ft (assist by J. Crawford),2,33-37,,
7:01.0,,,33-39,2,D. Nwaba makes 2-pt shot from 8 ft
6:51.0,C. Diallo makes 2-pt shot from 1 ft (assist by Q. Cook),2,35-39,,
6:42.0,,,35-41,2,T. Ennis makes 2-pt shot from 1 ft
6:23.0,J. Crawford misses 3-pt shot from 25 ft,,35-41,,
6:22.0,Offensive rebound by C. Diallo,,35-41,,
6:22.0,Shooting foul by T. Robinson (drawn by C. Diallo),,35-41,,
6:22.0,C. Diallo makes free throw 1 of 2,1,36-41,,
6:22.0,,,36-41,,LA Lakers full timeout
6:22.0,C. Diallo misses free throw 2 of 2,,36-41,,
6:22.0,,,36-41,,J. Randle enters the game for T. Robinson
6:22.0,S. Hill enters the game for Q. Cook,,36-41,,
6:22.0,J. Holiday enters the game for A. Toupane,,36-41,,
6:20.0,,,36-41,,Defensive rebound by T. Black
6:06.0,,,36-41,,T. Black misses 2-pt shot from 7 ft
6:01.0,Defensive rebound by A. Ajinca,,36-41,,
5:52.0,Turnover by J. Crawford (bad pass; steal by T. Black),,36-41,,
5:45.0,,,36-43,2,C. Brewer makes 2-pt shot from 1 ft (assist by T. Ennis)
5:28.0,J. Holiday misses 2-pt shot from 16 ft,,36-43,,
5:24.0,,,36-43,,Defensive rebound by J. Randle
5:22.0,,,36-43,,Shooting foul by C. Diallo (drawn by J. Randle)
5:22.0,,,36-44,1,J. Randle makes free throw 1 of 2
5:22.0,,,36-44,,J. Randle misses free throw 2 of 2
5:22.0,,,36-44,,J. Clarkson enters the game for D. Nwaba
5:22.0,D. Cunningham enters the game for C. Diallo,,36-44,,
5:20.0,Defensive rebound by D. Cunningham,,36-44,,
5:04.0,A. Ajinca makes 2-pt shot from 10 ft (assist by J. Holiday),2,38-44,,
4:38.0,,,38-46,2,J. Clarkson makes 2-pt shot from 2 ft
4:33.0,D. Cunningham makes 2-pt shot at rim (assist by J. Crawford),2,40-46,,
4:24.0,,,40-46,,Turnover by T. Ennis (lost ball; steal by A. Ajinca)
4:24.0,,,40-46,,Personal foul by T. Ennis (drawn by S. Hill)
4:24.0,S. Hill makes free throw 1 of 2,1,41-46,,
4:24.0,S. Hill misses free throw 2 of 2,,41-46,,
4:24.0,T. Frazier enters the game for J. Crawford,,41-46,,
4:24.0,,,41-46,,B. Ingram enters the game for T. Ennis
4:22.0,,,41-46,,Defensive rebound by T. Black
4:11.0,,,41-46,,T. Black misses 2-pt shot from 8 ft
4:09.0,Defensive rebound by A. Ajinca,,41-46,,
4:00.0,A. Ajinca makes 2-pt shot from 19 ft (assist by T. Frazier),2,43-46,,
3:41.0,,,43-46,,J. Randle misses 2-pt shot from 10 ft
3:32.0,,,43-46,,Offensive rebound by C. Brewer
3:32.0,,,43-46,,C. Brewer misses 2-pt shot from 1 ft
3:31.0,Defensive rebound by S. Hill,,43-46,,
3:28.0,S. Hill misses 2-pt shot from 2 ft (block by T. Black),,43-46,,
3:25.0,,,43-46,,Defensive rebound by C. Brewer
3:21.0,,,43-46,,C. Brewer misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by A. Ajinca,,43-46,,
3:18.0,Shooting foul by B. Ingram (drawn by A. Ajinca),,43-46,,
3:18.0,A. Ajinca makes free throw 1 of 2,1,44-46,,
3:18.0,A. Ajinca makes free throw 2 of 2,1,45-46,,
3:18.0,,,44-46,,M. World Peace enters the game for T. Black
3:18.0,,,44-46,,L. Nance enters the game for C. Brewer
2:54.0,,,45-46,,J. Randle misses 2-pt shot from 2 ft (block by A. Ajinca)
2:54.0,,,45-46,,Offensive rebound by Team
2:54.0,New Orleans full timeout,,45-46,,
2:51.0,,,45-49,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle)
2:37.0,,,45-49,,Personal foul by J. Randle (drawn by A. Ajinca)
2:37.0,A. Ajinca makes free throw 1 of 2,1,46-49,,
2:37.0,A. Ajinca misses free throw 2 of 2,,46-49,,
2:35.0,,,46-49,,Defensive rebound by J. Randle
2:21.0,,,46-51,2,J. Randle makes 2-pt shot from 3 ft (assist by B. Ingram)
2:08.0,Shooting foul by J. Randle (drawn by T. Frazier),,46-51,,
2:08.0,T. Frazier makes free throw 1 of 2,1,47-51,,
2:08.0,T. Frazier makes free throw 2 of 2,1,48-51,,
2:08.0,,,47-51,,D. Nwaba enters the game for J. Randle
1:57.0,,,48-53,2,J. Clarkson makes 2-pt shot from 11 ft
1:44.0,A. Ajinca makes 2-pt shot at rim (assist by T. Frazier),2,50-53,,
1:31.0,,,50-53,,Turnover by B. Ingram (lost ball)
1:24.0,,,50-53,,Violation by J. Clarkson (kicked ball)
1:11.0,D. Cunningham makes 3-pt shot from 23 ft (assist by T. Frazier),3,53-53,,
0:59.0,Personal foul by A. Ajinca (drawn by B. Ingram),,53-53,,
0:59.0,D. Motiejunas enters the game for A. Ajinca,,53-53,,
0:50.0,,,53-55,2,B. Ingram makes 2-pt shot from 19 ft
0:27.0,S. Hill misses 2-pt shot from 12 ft,,53-55,,
0:26.0,,,53-55,,Defensive rebound by M. World Peace
0:04.0,,,53-55,,Shooting foul by J. Holiday (drawn by J. Clarkson)
0:04.0,,,53-56,1,J. Clarkson makes free throw 1 of 2
0:04.0,,,53-57,1,J. Clarkson makes free throw 2 of 2
0:00.0,T. Frazier misses 2-pt shot from 1 ft,,53-57,,
0:00.0,Offensive rebound by Team,,53-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,53-60,3,J. Clarkson makes 3-pt shot from 24 ft (assist by J. Randle)
11:28.0,T. Frazier misses 2-pt shot from 1 ft,,53-60,,
11:25.0,,,53-60,,Defensive rebound by L. Nance
11:19.0,,,53-63,3,J. Clarkson makes 3-pt shot from 26 ft (assist by B. Ingram)
11:08.0,Shooting foul by J. Randle (drawn by J. Holiday),,53-63,,
11:08.0,J. Holiday makes free throw 1 of 2,1,54-63,,
11:08.0,J. Holiday makes free throw 2 of 2,1,55-63,,
11:08.0,,,54-63,,T. Robinson enters the game for J. Randle
10:49.0,,,55-63,,J. Clarkson misses 3-pt shot from 26 ft
10:48.0,,,55-63,,Offensive rebound by M. World Peace
10:40.0,,,55-63,,B. Ingram misses 2-pt shot from 14 ft
10:38.0,Defensive rebound by S. Hill,,55-63,,
10:27.0,S. Hill makes 3-pt shot from 25 ft (assist by D. Cunningham),3,58-63,,
10:09.0,,,58-63,,M. World Peace misses 2-pt shot from 21 ft
10:06.0,Defensive rebound by S. Hill,,58-63,,
9:57.0,S. Hill misses 2-pt shot from 17 ft,,58-63,,
9:55.0,,,58-63,,Defensive rebound by B. Ingram
9:40.0,,,58-63,,B. Ingram misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by J. Holiday,,58-63,,
9:19.0,S. Hill misses 3-pt shot from 26 ft,,58-63,,
9:18.0,,,58-63,,Defensive rebound by M. World Peace
9:05.0,,,58-66,3,M. World Peace makes 3-pt shot from 25 ft (assist by T. Robinson)
8:46.0,A. Ajinca makes 2-pt shot from 19 ft (assist by J. Holiday),2,60-66,,
8:25.0,,,60-66,,B. Ingram misses 2-pt shot from 12 ft
8:23.0,,,60-66,,Offensive rebound by B. Ingram
8:18.0,,,60-68,2,M. World Peace makes 2-pt shot from 7 ft (assist by L. Nance)
8:11.0,Turnover by J. Holiday (lost ball; steal by M. World Peace),,60-68,,
8:02.0,,,60-68,,M. World Peace misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by A. Ajinca,,60-68,,
7:52.0,,,60-68,,Personal foul by J. Clarkson (drawn by T. Frazier)
7:49.0,Turnover by J. Holiday (bad pass; steal by T. Robinson),,60-68,,
7:49.0,,,60-70,2,T. Robinson makes 2-pt shot from 1 ft
7:49.0,,,60-70,,Shooting foul by T. Frazier (drawn by T. Robinson)
7:49.0,New Orleans full timeout,,60-70,,
7:49.0,,,60-71,1,T. Robinson makes free throw 1 of 1
7:30.0,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday),3,63-71,,
7:06.0,,,63-71,,L. Nance misses 2-pt shot from 17 ft
7:04.0,,,63-71,,Offensive rebound by T. Robinson
6:58.0,,,63-73,2,M. World Peace makes 2-pt shot from 15 ft
6:35.0,T. Frazier misses 2-pt shot from 15 ft,,63-73,,
6:33.0,,,63-73,,Defensive rebound by J. Clarkson
6:23.0,,,63-75,2,T. Robinson makes 2-pt shot at rim (assist by J. Clarkson)
6:04.0,A. Ajinca misses 2-pt shot from 7 ft,,63-75,,
6:01.0,,,63-75,,Defensive rebound by T. Robinson
5:56.0,,,63-75,,D. Nwaba enters the game for M. World Peace
5:56.0,D. Motiejunas enters the game for A. Ajinca,,63-75,,
5:56.0,Q. Cook enters the game for T. Frazier,,63-75,,
5:52.0,Personal foul by S. Hill (drawn by B. Ingram),,63-75,,
5:44.0,Personal foul by D. Motiejunas (drawn by J. Clarkson),,63-75,,
5:30.0,,,63-75,,Shooting foul by Q. Cook (drawn by T. Robinson)
5:30.0,,,63-75,,T. Robinson misses free throw 1 of 3
5:30.0,,,63-75,,Offensive rebound by Team
5:30.0,,,63-76,1,T. Robinson makes free throw 2 of 3
5:30.0,,,63-76,,T. Robinson misses free throw 3 of 3
5:30.0,Defensive rebound by Team,,63-76,,
5:18.0,D. Cunningham misses 3-pt shot from 24 ft,,63-76,,
5:16.0,Offensive rebound by J. Holiday,,63-76,,
5:13.0,Turnover by J. Holiday (bad pass; steal by J. Clarkson),,63-76,,
5:00.0,,,63-76,,B. Ingram misses 2-pt shot from 17 ft
4:58.0,Defensive rebound by J. Holiday,,63-76,,
4:45.0,J. Holiday makes 2-pt shot from 2 ft,2,65-76,,
4:21.0,,,65-76,,Turnover by Team (shot clock)
4:12.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Holiday),2,67-76,,
3:54.0,,,67-76,,L. Nance misses 2-pt shot from 4 ft (block by D. Motiejunas)
3:52.0,Defensive rebound by S. Hill,,67-76,,
3:45.0,Shooting foul by D. Nwaba (drawn by D. Motiejunas),,67-76,,
3:45.0,D. Motiejunas makes free throw 1 of 2,1,68-76,,
3:45.0,D. Motiejunas makes free throw 2 of 2,1,69-76,,
3:33.0,,,69-78,2,T. Robinson makes 2-pt shot from 7 ft
3:21.0,J. Holiday misses 3-pt shot from 26 ft,,69-78,,
3:20.0,,,69-78,,Defensive rebound by T. Robinson
3:05.0,,,69-78,,T. Robinson misses 2-pt shot from 10 ft
3:03.0,Defensive rebound by S. Hill,,69-78,,
2:54.0,S. Hill makes 2-pt shot at rim (assist by D. Motiejunas),2,71-78,,
2:54.0,,,71-78,,LA Lakers full timeout
2:54.0,,,71-78,,C. Brewer enters the game for L. Nance
2:54.0,,,71-78,,T. Ennis enters the game for J. Clarkson
2:54.0,,,71-78,,T. Black enters the game for T. Robinson
2:53.0,C. Diallo enters the game for D. Cunningham,,71-78,,
2:32.0,,,71-78,,D. Nwaba misses 2-pt shot from 7 ft
2:29.0,Defensive rebound by C. Diallo,,71-78,,
2:16.0,,,71-78,,Personal foul by C. Brewer (drawn by Q. Cook)
1:59.0,D. Motiejunas misses 3-pt shot from 25 ft,,71-78,,
1:58.0,,,71-78,,Defensive rebound by B. Ingram
1:52.0,,,71-78,,B. Ingram misses 2-pt shot from 14 ft
1:51.0,Defensive rebound by C. Diallo,,71-78,,
1:37.0,Q. Cook misses 2-pt shot from 17 ft,,71-78,,
1:33.0,,,71-78,,Defensive rebound by T. Black
1:29.0,A. Toupane enters the game for S. Hill,,71-78,,
1:19.0,,,71-78,,T. Black misses 2-pt shot from 7 ft
1:12.0,Defensive rebound by C. Diallo,,71-78,,
1:04.0,Q. Cook misses 3-pt shot from 25 ft,,71-78,,
1:03.0,,,71-78,,Defensive rebound by T. Black
0:51.0,,,71-80,2,B. Ingram makes 2-pt shot from 19 ft (assist by D. Nwaba)
0:39.0,Turnover by D. Motiejunas (lost ball; steal by D. Nwaba),,71-80,,
0:35.0,,,71-82,2,D. Nwaba makes 2-pt shot from 1 ft (assist by B. Ingram)
0:21.0,C. Diallo makes 2-pt shot from 6 ft (assist by J. Holiday),2,73-82,,
0:02.0,,,73-84,2,B. Ingram makes 2-pt shot at rim
0:02.0,,,73-84,,Shooting foul by C. Diallo (drawn by B. Ingram)
0:02.0,,,73-85,1,B. Ingram makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Diallo misses 2-pt shot from 13 ft,,73-85,,
11:44.0,,,73-85,,Defensive rebound by T. Black
11:27.0,,,73-87,2,M. World Peace makes 2-pt shot from 17 ft
11:12.0,J. Crawford misses 2-pt shot from 19 ft,,73-87,,
11:09.0,,,73-87,,Defensive rebound by C. Brewer
11:02.0,,,73-87,,Turnover by D. Nwaba (lost ball; steal by J. Crawford)
10:46.0,Turnover by Q. Cook (bad pass; steal by C. Brewer),,73-87,,
10:41.0,,,73-89,2,C. Brewer makes 2-pt shot at rim
10:22.0,A. Toupane misses 3-pt shot from 23 ft,,73-89,,
10:21.0,Offensive rebound by D. Motiejunas,,73-89,,
10:16.0,D. Motiejunas misses 2-pt shot from 4 ft,,73-89,,
10:11.0,,,73-89,,Defensive rebound by T. Black
10:07.0,,,73-89,,Offensive foul by M. World Peace
10:07.0,,,73-89,,Turnover by M. World Peace (offensive foul)
9:59.0,,,73-89,,Personal foul by C. Brewer (drawn by A. Toupane)
9:49.0,C. Diallo makes 2-pt shot from 17 ft (assist by J. Crawford),2,75-89,,
9:30.0,,,75-89,,T. Black misses 2-pt shot from 2 ft (block by C. Diallo)
9:30.0,,,75-89,,Offensive rebound by Team
9:24.0,,,75-89,,T. Black misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by C. Diallo,,75-89,,
9:16.0,C. Diallo makes 2-pt shot at rim (assist by J. Crawford),2,77-89,,
9:03.0,,,77-92,3,M. World Peace makes 3-pt shot from 25 ft
8:45.0,Turnover by C. Diallo (lost ball; steal by M. World Peace),,77-92,,
8:43.0,,,77-92,,Turnover by D. Nwaba (lost ball)
8:43.0,Official timeout,,77-92,,
8:25.0,J. Crawford misses 3-pt shot from 25 ft,,77-92,,
8:23.0,Offensive rebound by C. Diallo,,77-92,,
8:21.0,C. Diallo makes 2-pt shot from 2 ft,2,79-92,,
7:59.0,,,79-92,,M. World Peace misses 3-pt shot from 25 ft
7:58.0,,,79-92,,Offensive rebound by C. Brewer
7:52.0,,,79-95,3,M. World Peace makes 3-pt shot from 26 ft (assist by C. Brewer)
7:37.0,A. Toupane makes 3-pt shot from 26 ft (assist by D. Motiejunas),3,82-95,,
7:18.0,,,82-95,,M. World Peace misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by J. Crawford,,82-95,,
7:07.0,J. Crawford misses 2-pt shot from 15 ft,,82-95,,
7:04.0,,,82-95,,Defensive rebound by T. Black
6:59.0,Violation by D. Motiejunas (kicked ball),,82-95,,
6:45.0,,,82-98,3,M. World Peace makes 3-pt shot from 25 ft (assist by T. Ennis)
6:29.0,Shooting foul by D. Nwaba (drawn by D. Motiejunas),,82-98,,
6:29.0,D. Motiejunas makes free throw 1 of 2,1,83-98,,
6:29.0,D. Motiejunas makes free throw 2 of 2,1,84-98,,
6:29.0,,,83-98,,L. Nance enters the game for M. World Peace
6:14.0,,,84-100,2,T. Black makes 2-pt shot from 5 ft (assist by C. Brewer)
5:58.0,A. Toupane misses 3-pt shot from 23 ft,,84-100,,
5:57.0,,,84-100,,Defensive rebound by D. Nwaba
5:51.0,,,84-100,,T. Ennis misses 3-pt shot from 23 ft
5:49.0,Defensive rebound by D. Motiejunas,,84-100,,
5:43.0,Q. Cook makes 3-pt shot from 24 ft (assist by J. Crawford),3,87-100,,
5:29.0,,,87-102,2,T. Black makes 2-pt shot at rim (assist by C. Brewer)
5:12.0,J. Crawford misses 2-pt shot from 20 ft,,87-102,,
5:08.0,,,87-102,,Defensive rebound by T. Black
5:02.0,,,87-104,2,L. Nance makes 2-pt shot from 16 ft (assist by C. Brewer)
4:45.0,C. Diallo makes 2-pt shot at rim (assist by J. Crawford),2,89-104,,
4:20.0,,,89-104,,L. Nance misses 2-pt shot from 2 ft
4:17.0,Defensive rebound by J. Crawford,,89-104,,
4:10.0,J. Crawford makes 2-pt shot from 10 ft,2,91-104,,
4:10.0,,,91-104,,LA Lakers full timeout
4:10.0,,,91-104,,M. World Peace enters the game for T. Black
4:10.0,A. Ajinca enters the game for D. Motiejunas,,91-104,,
3:45.0,,,91-106,2,C. Brewer makes 2-pt shot from 11 ft
3:27.0,J. Crawford misses 3-pt shot from 24 ft,,91-106,,
3:25.0,,,91-106,,Defensive rebound by L. Nance
3:08.0,,,91-106,,C. Brewer misses 2-pt shot from 10 ft
3:01.0,Defensive rebound by A. Ajinca,,91-106,,
2:59.0,Turnover by Q. Cook (lost ball; steal by M. World Peace),,91-106,,
2:55.0,,,91-106,,Turnover by C. Brewer (bad pass; steal by J. Crawford)
2:50.0,Turnover by J. Crawford (bad pass; steal by T. Ennis),,91-106,,
2:44.0,,,91-106,,D. Nwaba misses 2-pt shot at rim (block by A. Toupane)
2:44.0,,,91-106,,Offensive rebound by Team
