time,New Orleans,pts.away,score,pts.home,Washington
7:07.0,B. Hield misses 3-pt shot from 26 ft,,4-14,,
7:06.0,Offensive rebound by A. Davis,,4-14,,
7:06.0,Shooting foul by O. Porter (drawn by A. Davis),,4-14,,
7:06.0,A. Davis makes free throw 1 of 2,1,5-14,,
7:06.0,A. Davis makes free throw 2 of 2,1,6-14,,
6:46.0,,,6-14,,M. Gortat misses 2-pt shot from 11 ft
6:45.0,Defensive rebound by J. Holiday,,6-14,,
6:35.0,T. Jones misses 2-pt shot from 2 ft,,6-14,,
6:35.0,,,6-14,,Defensive rebound by M. Gortat
6:28.0,,,6-14,,O. Porter misses 3-pt shot from 22 ft
6:27.0,Defensive rebound by S. Hill,,6-14,,
6:15.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,8-14,,
6:02.0,,,8-14,,Turnover by B. Beal (bad pass)
5:47.0,A. Davis misses 2-pt shot from 16 ft,,8-14,,
5:47.0,,,8-14,,Defensive rebound by O. Porter
5:36.0,,,8-14,,B. Beal misses 2-pt shot from 12 ft
5:34.0,Defensive rebound by Team,,8-14,,
5:34.0,,,8-14,,K. Oubre enters the game for M. Morris
5:18.0,B. Hield misses 2-pt shot from 2 ft,,8-14,,
5:17.0,,,8-14,,Defensive rebound by M. Gortat
5:08.0,,,8-16,2,J. Wall makes 2-pt shot from 16 ft
4:59.0,S. Hill makes 2-pt shot from 15 ft,2,10-16,,
4:42.0,,,10-16,,M. Gortat misses 2-pt shot from 5 ft (block by T. Jones)
4:41.0,,,10-16,,Offensive rebound by J. Wall
4:37.0,,,10-16,,J. Wall misses 2-pt shot from 14 ft
4:36.0,Defensive rebound by J. Holiday,,10-16,,
4:33.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,12-16,,
4:10.0,,,12-16,,Shooting foul by B. Hield (drawn by B. Beal)
4:10.0,,,12-17,1,K. Oubre makes free throw 1 of 2
4:10.0,,,12-18,1,K. Oubre makes free throw 2 of 2
4:10.0,D. Cunningham enters the game for T. Jones,,12-17,,
4:10.0,E. Moore enters the game for B. Hield,,12-17,,
3:55.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,14-18,,
3:33.0,,,14-18,,O. Porter misses 2-pt shot from 5 ft
3:33.0,,,14-18,,Offensive rebound by M. Gortat
3:32.0,,,14-18,,Shooting foul by S. Hill (drawn by M. Gortat)
3:32.0,,,14-19,1,M. Gortat makes free throw 1 of 2
3:32.0,,,14-20,1,M. Gortat makes free throw 2 of 2
3:15.0,J. Holiday misses 2-pt shot from 8 ft,,14-20,,
3:14.0,,,14-20,,Defensive rebound by M. Gortat
3:07.0,,,14-20,,O. Porter misses 3-pt shot from 28 ft
3:06.0,Defensive rebound by D. Cunningham,,14-20,,
2:52.0,J. Holiday misses 2-pt shot from 16 ft,,14-20,,
2:51.0,,,14-20,,Defensive rebound by M. Gortat
2:44.0,,,14-20,,Turnover by B. Beal (lost ball)
2:43.0,,,14-20,,Washington full timeout
2:43.0,T. Evans enters the game for J. Holiday,,14-20,,
2:32.0,Turnover by T. Evans (bad pass; steal by J. Wall),,14-20,,
2:25.0,,,14-23,3,K. Oubre makes 3-pt shot from 28 ft (assist by J. Wall)
2:11.0,S. Hill misses 2-pt shot from 3 ft,,14-23,,
2:10.0,Offensive rebound by S. Hill,,14-23,,
1:53.0,E. Moore makes 2-pt shot from 8 ft,2,16-23,,
1:36.0,,,16-23,,Turnover by B. Beal (bad pass)
1:35.0,,,16-23,,T. Burke enters the game for J. Wall
1:25.0,Shooting foul by T. Burke (drawn by E. Moore),,16-23,,
1:25.0,E. Moore misses free throw 1 of 2,,16-23,,
1:25.0,Offensive rebound by Team,,16-23,,
1:25.0,E. Moore misses free throw 2 of 2,,16-23,,
1:25.0,,,16-23,,J. Smith enters the game for O. Porter
1:24.0,,,16-23,,Defensive rebound by M. Gortat
1:10.0,,,16-23,,Shooting foul by A. Davis (drawn by J. Smith)
1:10.0,,,16-24,1,J. Smith makes free throw 1 of 2
1:10.0,,,16-24,,J. Smith misses free throw 2 of 2
1:10.0,L. Galloway enters the game for S. Hill,,16-24,,
1:09.0,Defensive rebound by A. Davis,,16-24,,
0:56.0,T. Evans misses 2-pt shot from 2 ft,,16-24,,
0:55.0,Offensive rebound by A. Davis,,16-24,,
0:54.0,A. Davis makes 2-pt shot from 3 ft,2,18-24,,
0:38.0,,,18-24,,T. Burke misses 2-pt shot from 17 ft
0:37.0,Defensive rebound by A. Davis,,18-24,,
0:30.0,D. Motiejunas enters the game for A. Davis,,18-24,,
0:18.0,D. Cunningham misses 2-pt shot from 7 ft,,18-24,,
0:17.0,,,18-24,,Defensive rebound by J. Smith
0:01.0,,,18-24,,T. Burke misses 3-pt shot from 33 ft
0:00.0,,,18-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,18-26,2,M. Morris makes 2-pt shot from 13 ft
11:25.0,,,18-26,,Personal foul by K. Oubre (drawn by T. Evans)
11:20.0,,,18-26,,Personal foul by M. Morris (drawn by T. Evans)
11:14.0,L. Galloway makes 3-pt shot from 23 ft (assist by D. Motiejunas),3,21-26,,
10:50.0,,,21-26,,M. Morris misses 2-pt shot from 13 ft
10:49.0,Defensive rebound by T. Evans,,21-26,,
10:39.0,E. Moore misses 2-pt shot from 12 ft,,21-26,,
10:38.0,,,21-26,,Defensive rebound by M. Morris
10:28.0,,,21-28,2,J. Smith makes 2-pt shot from 2 ft (assist by T. Satoransky)
10:15.0,T. Evans misses 2-pt shot from 6 ft,,21-28,,
10:14.0,Offensive rebound by T. Evans,,21-28,,
10:12.0,T. Evans makes 2-pt shot from 2 ft,2,23-28,,
9:54.0,,,23-30,2,T. Satoransky makes 2-pt shot from 2 ft
9:33.0,T. Evans makes 3-pt shot from 28 ft (assist by E. Moore),3,26-30,,
9:10.0,,,26-32,2,T. Burke makes 2-pt shot from 19 ft
9:00.0,D. Cunningham makes 2-pt shot from 4 ft (assist by D. Motiejunas),2,28-32,,
9:00.0,Shooting foul by T. Satoransky (drawn by D. Cunningham),,28-32,,
9:00.0,D. Cunningham makes free throw 1 of 1,1,29-32,,
8:46.0,,,29-32,,Shooting foul by E. Moore (drawn by T. Satoransky)
8:46.0,Official timeout,,29-32,,
8:46.0,,,29-33,1,T. Satoransky makes free throw 1 of 2
8:46.0,,,29-34,1,T. Satoransky makes free throw 2 of 2
8:32.0,D. Motiejunas misses 3-pt shot from 25 ft,,29-34,,
8:31.0,,,29-34,,Defensive rebound by K. Oubre
8:13.0,,,29-34,,Turnover by M. Morris (bad pass; steal by T. Evans)
8:09.0,,,29-34,,Violation by K. Oubre (kicked ball)
8:00.0,L. Galloway misses 2-pt shot from 19 ft,,29-34,,
7:59.0,,,29-34,,Defensive rebound by K. Oubre
7:46.0,,,29-36,2,J. Smith makes 2-pt shot from 18 ft (assist by T. Satoransky)
7:29.0,T. Evans misses 2-pt shot from 20 ft,,29-36,,
7:28.0,,,29-36,,Defensive rebound by J. Smith
7:22.0,Personal foul by L. Galloway (drawn by M. Morris),,29-36,,
7:22.0,A. Davis enters the game for D. Motiejunas,,29-36,,
7:22.0,J. Holiday enters the game for E. Moore,,29-36,,
7:13.0,Personal foul by T. Evans (drawn by M. Morris),,29-36,,
7:13.0,,,29-36,,J. Wall enters the game for T. Burke
7:03.0,,,29-38,2,J. Smith makes 2-pt shot from 17 ft (assist by T. Satoransky)
6:49.0,T. Evans makes 2-pt shot from 1 ft,2,31-38,,
6:42.0,,,31-41,3,K. Oubre makes 3-pt shot from 28 ft (assist by J. Wall)
6:29.0,A. Davis misses 2-pt shot from 15 ft,,31-41,,
6:28.0,,,31-41,,Defensive rebound by J. Wall
6:19.0,,,31-41,,B. Beal enters the game for T. Satoransky
6:19.0,T. Jones enters the game for D. Cunningham,,31-41,,
6:19.0,,,31-41,,M. Gortat enters the game for J. Smith
6:08.0,,,31-43,2,M. Gortat makes 2-pt shot from 16 ft (assist by J. Wall)
5:57.0,,,31-43,,Def 3 sec tech foul by M. Morris
5:57.0,,,31-43,,Washington full timeout
5:57.0,A. Davis misses technical free throw,,31-43,,
5:57.0,Offensive rebound by Team,,31-43,,
5:45.0,T. Jones makes 3-pt shot from 26 ft (assist by T. Evans),3,34-43,,
5:26.0,,,34-43,,B. Beal misses 2-pt shot from 21 ft
5:25.0,Defensive rebound by A. Davis,,34-43,,
5:12.0,J. Holiday misses 2-pt shot from 19 ft,,34-43,,
5:11.0,,,34-43,,Defensive rebound by M. Gortat
4:57.0,,,34-43,,Offensive charge foul by J. Wall
4:57.0,,,34-43,,Turnover by J. Wall (offensive foul)
4:57.0,S. Hill enters the game for L. Galloway,,34-43,,
4:57.0,,,34-43,,O. Porter enters the game for K. Oubre
4:38.0,,,34-43,,Shooting block foul by M. Morris (drawn by T. Jones)
4:38.0,T. Jones misses free throw 1 of 2,,34-43,,
4:38.0,Offensive rebound by Team,,34-43,,
4:38.0,T. Jones misses free throw 2 of 2,,34-43,,
4:38.0,B. Hield enters the game for T. Evans,,34-43,,
4:37.0,,,34-43,,Defensive rebound by M. Gortat
4:18.0,,,34-43,,B. Beal misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by J. Holiday,,34-43,,
4:09.0,J. Holiday makes 2-pt shot from 1 ft,2,36-43,,
3:49.0,,,36-46,3,O. Porter makes 3-pt shot from 26 ft
3:34.0,A. Davis makes 2-pt shot from 14 ft (assist by S. Hill),2,38-46,,
3:34.0,Shooting foul by M. Gortat (drawn by A. Davis),,38-46,,
3:34.0,A. Davis makes free throw 1 of 1,1,39-46,,
3:25.0,,,39-46,,Turnover by J. Wall (bad pass; steal by S. Hill)
3:18.0,T. Jones makes 2-pt shot at rim (assist by B. Hield),2,41-46,,
3:01.0,,,41-46,,O. Porter misses 2-pt shot from 7 ft
3:00.0,Defensive rebound by J. Holiday,,41-46,,
2:56.0,Shooting foul by O. Porter (drawn by J. Holiday),,41-46,,
2:56.0,New Orleans full timeout,,41-46,,
2:56.0,J. Holiday makes free throw 1 of 2,1,42-46,,
2:56.0,J. Holiday makes free throw 2 of 2,1,43-46,,
2:38.0,,,43-46,,Turnover by J. Wall (step out of bounds)
2:26.0,Turnover by J. Holiday (bad pass; steal by O. Porter),,43-46,,
2:26.0,Personal foul by J. Holiday (drawn by O. Porter),,43-46,,
2:08.0,,,43-46,,M. Morris misses 3-pt shot from 27 ft
2:06.0,Defensive rebound by J. Holiday,,43-46,,
1:56.0,J. Holiday misses 3-pt shot from 27 ft,,43-46,,
1:55.0,,,43-46,,Defensive rebound by J. Wall
1:50.0,,,43-49,3,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall)
1:31.0,B. Hield misses 2-pt shot from 10 ft,,43-49,,
1:30.0,,,43-49,,Defensive rebound by B. Beal
1:19.0,,,43-49,,J. Wall misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by J. Holiday,,43-49,,
1:14.0,T. Evans enters the game for J. Holiday,,43-49,,
1:08.0,T. Evans makes 2-pt shot from 2 ft,2,45-49,,
0:50.0,,,45-49,,Shooting foul by T. Evans (drawn by O. Porter)
0:50.0,,,45-50,1,O. Porter makes free throw 1 of 2
0:50.0,,,45-51,1,O. Porter makes free throw 2 of 2
0:45.0,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans),2,47-51,,
0:35.0,,,47-53,2,B. Beal makes 2-pt shot from 1 ft
0:11.0,B. Hield makes 2-pt shot from 1 ft,2,49-53,,
0:01.0,,,49-53,,J. Wall misses 2-pt shot from 13 ft
0:00.0,,,49-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,49-53,,M. Morris misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by B. Hield,,49-53,,
11:38.0,S. Hill makes 3-pt shot from 25 ft (assist by B. Hield),3,52-53,,
11:20.0,,,52-56,3,J. Wall makes 3-pt shot from 27 ft (assist by B. Beal)
11:06.0,J. Holiday misses 2-pt shot from 14 ft,,52-56,,
11:05.0,,,52-56,,Defensive rebound by B. Beal
11:01.0,,,52-56,,Turnover by B. Beal (bad pass)
10:48.0,T. Jones makes 2-pt shot from 7 ft,2,54-56,,
10:48.0,Shooting foul by M. Morris (drawn by T. Jones),,54-56,,
10:48.0,T. Jones misses free throw 1 of 1,,54-56,,
10:47.0,,,54-56,,Defensive rebound by O. Porter
10:35.0,,,54-56,,M. Gortat misses 2-pt shot from 10 ft
10:34.0,Defensive rebound by T. Jones,,54-56,,
10:28.0,B. Hield misses 2-pt shot from 1 ft (block by M. Gortat),,54-56,,
10:27.0,,,54-56,,Defensive rebound by O. Porter
10:19.0,,,54-58,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:06.0,J. Holiday makes 2-pt shot from 7 ft (assist by A. Davis),2,56-58,,
9:43.0,,,56-58,,Turnover by O. Porter (bad pass; steal by A. Davis)
9:31.0,T. Jones makes 2-pt shot from 11 ft,2,58-58,,
9:15.0,,,58-61,3,M. Morris makes 3-pt shot from 23 ft (assist by J. Wall)
9:03.0,S. Hill misses 3-pt shot from 26 ft,,58-61,,
9:02.0,,,58-61,,Defensive rebound by M. Gortat
8:53.0,,,58-64,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
8:32.0,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday),2,60-64,,
8:12.0,,,60-64,,O. Porter misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by T. Jones,,60-64,,
8:03.0,S. Hill makes 2-pt shot from 2 ft (assist by J. Holiday),2,62-64,,
7:45.0,,,62-64,,M. Morris misses 2-pt shot from 8 ft
7:45.0,Defensive rebound by Team,,62-64,,
7:38.0,Shooting foul by B. Beal (drawn by J. Holiday),,62-64,,
7:38.0,J. Holiday makes free throw 1 of 2,1,63-64,,
7:38.0,J. Holiday misses free throw 2 of 2,,63-64,,
7:37.0,,,63-64,,Defensive rebound by O. Porter
7:22.0,,,63-64,,Shooting foul by S. Hill (drawn by M. Morris)
7:22.0,,,63-65,1,M. Morris makes free throw 1 of 2
7:22.0,,,63-66,1,M. Morris makes free throw 2 of 2
7:12.0,J. Holiday misses 2-pt shot from 3 ft,,63-66,,
7:11.0,,,63-66,,Defensive rebound by O. Porter
7:07.0,,,63-66,,Turnover by J. Wall (lost ball)
6:55.0,A. Davis makes 2-pt shot from 6 ft,2,65-66,,
6:33.0,,,65-66,,M. Gortat misses 2-pt shot from 5 ft
6:32.0,Defensive rebound by A. Davis,,65-66,,
6:22.0,B. Hield makes 2-pt shot from 10 ft,2,67-66,,
6:21.0,,,67-66,,Washington full timeout
6:09.0,,,67-66,,M. Morris misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by S. Hill,,67-66,,
6:02.0,B. Hield misses 3-pt shot from 27 ft,,67-66,,
6:01.0,,,67-66,,Defensive rebound by M. Morris
5:56.0,,,67-66,,Shooting foul by B. Hield (drawn by J. Wall)
5:56.0,,,67-66,,J. Wall misses free throw 1 of 2
5:56.0,,,67-66,,Offensive rebound by Team
5:56.0,,,67-66,,J. Wall misses free throw 2 of 2
5:55.0,Defensive rebound by A. Davis,,67-66,,
5:38.0,A. Davis makes 2-pt shot from 14 ft,2,69-66,,
5:21.0,,,69-66,,J. Wall misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by B. Hield,,69-66,,
5:09.0,Turnover by B. Hield (bad pass; steal by J. Wall),,69-66,,
5:05.0,,,69-68,2,J. Wall makes 2-pt shot at rim
4:47.0,Turnover by S. Hill (bad pass; steal by B. Beal),,69-68,,
4:40.0,,,69-68,,J. Wall misses 2-pt shot at rim (block by S. Hill)
4:39.0,,,69-68,,Offensive rebound by M. Gortat
4:39.0,,,69-70,2,M. Gortat makes 2-pt shot from 2 ft
4:39.0,New Orleans full timeout,,69-70,,
4:39.0,,,69-70,,K. Oubre enters the game for M. Morris
4:39.0,E. Moore enters the game for B. Hield,,69-70,,
4:23.0,J. Holiday makes 2-pt shot from 2 ft,2,71-70,,
4:04.0,,,71-72,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:50.0,,,71-72,,Personal foul by K. Oubre (drawn by J. Holiday)
3:50.0,T. Evans enters the game for T. Jones,,71-72,,
3:43.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,73-72,,
3:23.0,,,73-72,,B. Beal misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by S. Hill,,73-72,,
3:16.0,Shooting foul by M. Gortat (drawn by T. Evans),,73-72,,
3:16.0,T. Evans misses free throw 1 of 2,,73-72,,
3:16.0,Offensive rebound by Team,,73-72,,
3:16.0,T. Evans makes free throw 2 of 2,1,74-72,,
3:01.0,,,74-72,,J. Wall misses 3-pt shot from 27 ft
3:00.0,Defensive rebound by A. Davis,,74-72,,
2:43.0,T. Evans misses 2-pt shot from 18 ft,,74-72,,
2:42.0,Offensive rebound by J. Holiday,,74-72,,
2:39.0,J. Holiday makes 2-pt shot from 14 ft,2,76-72,,
2:19.0,,,76-72,,K. Oubre misses 3-pt shot from 26 ft
2:18.0,,,76-72,,Offensive rebound by O. Porter
2:15.0,,,76-74,2,O. Porter makes 2-pt shot from 3 ft
2:02.0,Turnover by T. Evans (bad pass; steal by J. Wall),,76-74,,
1:58.0,,,76-76,2,J. Wall makes 2-pt shot at rim
1:38.0,A. Davis makes 2-pt shot from 16 ft (assist by J. Holiday),2,78-76,,
1:20.0,,,78-76,,Shooting foul by J. Holiday (drawn by J. Wall)
1:20.0,,,78-77,1,J. Wall makes free throw 1 of 2
1:20.0,,,78-78,1,J. Wall makes free throw 2 of 2
1:20.0,T. Jones enters the game for A. Davis,,78-77,,
1:20.0,,,78-77,,T. Satoransky enters the game for B. Beal
1:20.0,,,78-77,,J. Smith enters the game for M. Gortat
1:05.0,T. Jones misses 2-pt shot from 5 ft,,78-78,,
1:05.0,Offensive rebound by Team,,78-78,,
1:01.0,Shooting foul by J. Smith (drawn by T. Jones),,78-78,,
1:01.0,T. Jones misses free throw 1 of 2,,78-78,,
1:01.0,Offensive rebound by Team,,78-78,,
1:01.0,T. Jones makes free throw 2 of 2,1,79-78,,
1:01.0,D. Cunningham enters the game for S. Hill,,78-78,,
0:50.0,,,79-78,,Shooting foul by D. Cunningham (drawn by J. Wall)
0:50.0,,,79-79,1,J. Wall makes free throw 1 of 2
0:50.0,,,79-80,1,J. Wall makes free throw 2 of 2
0:50.0,B. Hield enters the game for J. Holiday,,79-79,,
0:34.0,T. Jones makes 2-pt shot from 8 ft,2,81-80,,
0:27.0,,,81-80,,O. Porter misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by Team,,81-80,,
0:26.0,,,81-80,,Loose ball foul by J. Smith (drawn by T. Jones)
0:26.0,T. Jones makes free throw 1 of 2,1,82-80,,
0:26.0,T. Jones makes free throw 2 of 2,1,83-80,,
0:04.0,,,83-80,,J. Wall misses 2-pt shot from 9 ft
0:03.0,Defensive rebound by T. Jones,,83-80,,
0:01.0,T. Jones misses 3-pt shot from 37 ft,,83-80,,
0:00.0,Offensive rebound by Team,,83-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,B. Hield misses 2-pt shot from 5 ft (block by T. Satoransky),,83-80,,
11:36.0,,,83-80,,Defensive rebound by J. Smith
11:19.0,,,83-80,,M. Morris misses 2-pt shot from 4 ft
11:18.0,,,83-80,,Offensive rebound by J. Smith
11:16.0,,,83-82,2,J. Smith makes 2-pt shot from 1 ft
10:58.0,B. Hield misses 3-pt shot from 28 ft,,83-82,,
10:57.0,,,83-82,,Defensive rebound by M. Morris
10:42.0,,,83-82,,Turnover by K. Oubre (lost ball; steal by D. Cunningham)
10:36.0,T. Evans misses 2-pt shot from 5 ft (block by T. Burke),,83-82,,
10:35.0,Offensive rebound by B. Hield,,83-82,,
10:32.0,T. Jones misses 2-pt shot from 19 ft,,83-82,,
10:31.0,,,83-82,,Defensive rebound by T. Burke
10:14.0,,,83-84,2,T. Burke makes 2-pt shot from 11 ft
10:01.0,T. Evans misses 2-pt shot from 4 ft (block by J. Smith),,83-84,,
10:00.0,Offensive rebound by T. Jones,,83-84,,
9:59.0,Shooting foul by J. Smith (drawn by T. Jones),,83-84,,
9:59.0,T. Jones misses free throw 1 of 2,,83-84,,
9:59.0,Offensive rebound by Team,,83-84,,
9:59.0,T. Jones makes free throw 2 of 2,1,84-84,,
9:52.0,Personal foul by E. Moore (drawn by T. Burke),,84-84,,
9:48.0,,,84-86,2,K. Oubre makes 2-pt shot from 14 ft (assist by T. Burke)
9:30.0,Turnover by T. Evans (traveling),,84-86,,
9:15.0,,,84-88,2,M. Morris makes 2-pt shot from 2 ft
9:14.0,New Orleans full timeout,,84-88,,
9:14.0,A. Davis enters the game for T. Jones,,84-88,,
9:14.0,J. Holiday enters the game for B. Hield,,84-88,,
9:00.0,T. Evans misses 2-pt shot from 1 ft,,84-88,,
8:59.0,,,84-88,,Defensive rebound by J. Smith
8:38.0,,,84-88,,M. Morris misses 2-pt shot from 10 ft
8:37.0,Defensive rebound by T. Evans,,84-88,,
8:25.0,A. Davis misses 2-pt shot from 11 ft,,84-88,,
8:24.0,,,84-88,,Defensive rebound by M. Morris
8:10.0,,,84-88,,K. Oubre misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by T. Evans,,84-88,,
8:09.0,,,84-88,,Personal foul by T. Satoransky (drawn by T. Evans)
8:09.0,,,84-88,,J. Wall enters the game for T. Satoransky
8:09.0,,,84-88,,B. Beal enters the game for T. Burke
7:55.0,J. Holiday misses 2-pt shot from 1 ft (block by K. Oubre),,84-88,,
7:53.0,Offensive rebound by J. Holiday,,84-88,,
7:48.0,J. Holiday misses 3-pt shot from 26 ft,,84-88,,
7:47.0,,,84-88,,Defensive rebound by B. Beal
7:41.0,,,84-88,,K. Oubre misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by A. Davis,,84-88,,
7:24.0,T. Evans makes 2-pt shot from 6 ft,2,86-88,,
7:00.0,,,86-90,2,B. Beal makes 2-pt shot from 16 ft (assist by J. Wall)
6:36.0,Turnover by J. Holiday (lost ball),,86-90,,
6:36.0,,,86-90,,M. Gortat enters the game for J. Smith
6:36.0,,,86-90,,O. Porter enters the game for K. Oubre
6:24.0,,,86-90,,B. Beal misses 2-pt shot from 5 ft (block by E. Moore)
6:21.0,Defensive rebound by J. Holiday,,86-90,,
6:18.0,J. Holiday misses 2-pt shot from 5 ft (block by J. Wall),,86-90,,
6:16.0,Offensive rebound by D. Cunningham,,86-90,,
6:14.0,D. Cunningham makes 2-pt shot at rim,2,88-90,,
6:02.0,,,88-90,,M. Morris misses 2-pt shot from 4 ft
6:02.0,Defensive rebound by D. Cunningham,,88-90,,
5:52.0,T. Evans makes 3-pt shot from 27 ft (assist by J. Holiday),3,91-90,,
5:50.0,,,91-90,,Washington full timeout
5:39.0,,,91-92,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:23.0,A. Davis misses 2-pt shot from 16 ft,,91-92,,
5:22.0,,,91-92,,Defensive rebound by O. Porter
5:01.0,,,91-92,,M. Morris misses 2-pt shot from 6 ft (block by A. Davis)
4:59.0,Defensive rebound by E. Moore,,91-92,,
4:54.0,T. Evans misses 2-pt shot from 6 ft,,91-92,,
4:53.0,,,91-92,,Defensive rebound by M. Gortat
4:47.0,,,91-94,2,J. Wall makes 2-pt shot from 20 ft
4:34.0,J. Holiday misses 2-pt shot from 2 ft,,91-94,,
4:33.0,,,91-94,,Defensive rebound by M. Gortat
4:14.0,,,91-94,,Shooting foul by J. Holiday (drawn by M. Morris)
4:14.0,,,91-95,1,M. Morris makes free throw 1 of 2
4:14.0,,,91-96,1,M. Morris makes free throw 2 of 2
3:59.0,Turnover by A. Davis (lost ball),,91-96,,
3:41.0,,,91-96,,B. Beal misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by T. Evans,,91-96,,
3:29.0,T. Evans misses 2-pt shot from 3 ft,,91-96,,
3:29.0,Offensive rebound by Team,,91-96,,
3:29.0,,,91-96,,Loose ball foul by M. Morris (drawn by A. Davis)
3:29.0,T. Jones enters the game for D. Cunningham,,91-96,,
3:22.0,A. Davis misses 2-pt shot from 17 ft,,91-96,,
3:21.0,,,91-96,,Defensive rebound by B. Beal
3:11.0,,,91-96,,Offensive foul by M. Morris
3:11.0,,,91-96,,Turnover by M. Morris (offensive foul)
2:55.0,Turnover by J. Holiday (lost ball; steal by J. Wall),,91-96,,
2:49.0,,,91-98,2,J. Wall makes 2-pt shot from 1 ft
2:48.0,New Orleans full timeout,,91-98,,
2:33.0,J. Holiday misses 2-pt shot from 9 ft,,91-98,,
2:30.0,,,91-98,,Defensive rebound by B. Beal
2:15.0,Personal foul by E. Moore (drawn by B. Beal),,91-98,,
2:12.0,,,91-100,2,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall)
1:58.0,T. Evans misses 3-pt shot from 30 ft,,91-100,,
1:57.0,,,91-100,,Defensive rebound by M. Gortat
1:41.0,,,91-100,,J. Wall misses 3-pt shot from 27 ft
1:40.0,Defensive rebound by T. Evans,,91-100,,
1:37.0,Turnover by T. Evans (bad pass),,91-100,,
1:15.0,,,91-102,2,J. Wall makes 2-pt shot from 21 ft
