time,Houston,pts.away,score,pts.home,LA Clippers
7:36.0,E. Gordon misses 3-pt shot from 27 ft,,47-41,,
7:33.0,,,47-41,,Defensive rebound by B. Griffin
7:25.0,,,47-41,,Turnover by M. Speights (bad pass)
7:08.0,R. Anderson makes 2-pt shot from 2 ft (assist by B. Brown),2,49-41,,
6:52.0,,,49-44,3,J. Crawford makes 3-pt shot from 28 ft (assist by B. Griffin)
6:33.0,B. Brown misses 2-pt shot from 20 ft,,49-44,,
6:31.0,Offensive rebound by Team,,49-44,,
6:31.0,,,49-44,,D. Jordan enters the game for M. Speights
6:20.0,R. Anderson makes 3-pt shot from 27 ft (assist by B. Brown),3,52-44,,
6:01.0,,,52-44,,Turnover by D. Jordan (lost ball)
6:01.0,C. Onuaku enters the game for M. Harrell,,52-44,,
5:50.0,E. Gordon misses 3-pt shot from 27 ft,,52-44,,
5:49.0,,,52-44,,Defensive rebound by D. Jordan
5:41.0,,,52-46,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford)
5:29.0,Turnover by R. Anderson (lost ball; steal by J. Redick),,52-46,,
5:24.0,,,52-48,2,R. Felton makes 2-pt shot from 2 ft
5:24.0,Houston full timeout,,52-48,,
5:24.0,,,52-48,,C. Paul enters the game for R. Felton
5:24.0,J. Harden enters the game for I. Taylor,,52-48,,
5:24.0,T. Ariza enters the game for C. Onuaku,,52-48,,
5:06.0,B. Brown misses 3-pt shot from 26 ft,,52-48,,
5:02.0,,,52-48,,Defensive rebound by J. Redick
4:58.0,,,52-48,,Turnover by B. Griffin (lost ball; steal by B. Brown)
4:53.0,E. Gordon makes 2-pt shot from 2 ft (assist by B. Brown),2,54-48,,
4:44.0,Personal foul by J. Harden (drawn by B. Griffin),,54-48,,
4:34.0,,,54-50,2,B. Griffin makes 2-pt shot from 4 ft
4:20.0,R. Anderson misses 3-pt shot from 27 ft,,54-50,,
4:19.0,,,54-50,,Defensive rebound by C. Paul
4:12.0,Personal foul by J. Harden (drawn by D. Jordan),,54-50,,
4:05.0,,,54-50,,Shooting foul by T. Ariza (drawn by B. Griffin)
4:05.0,,,54-51,1,B. Griffin makes free throw 1 of 2
4:05.0,,,54-52,1,B. Griffin makes free throw 2 of 2
3:53.0,Shooting foul by D. Jordan (drawn by J. Harden),,54-52,,
3:53.0,J. Harden misses free throw 1 of 2,,54-52,,
3:53.0,Offensive rebound by Team,,54-52,,
3:53.0,J. Harden misses free throw 2 of 2,,54-52,,
3:53.0,C. Onuaku enters the game for E. Gordon,,54-52,,
3:51.0,,,54-52,,Defensive rebound by D. Jordan
3:37.0,,,54-52,,Turnover by B. Griffin (bad pass)
3:28.0,Turnover by J. Harden (discontinued dribble),,54-52,,
3:20.0,,,54-52,,C. Paul misses 2-pt shot from 19 ft
3:17.0,,,54-52,,Offensive rebound by D. Jordan
3:17.0,,,54-52,,D. Jordan misses 2-pt shot at rim
3:14.0,,,54-52,,Offensive rebound by D. Jordan
3:14.0,,,54-54,2,D. Jordan makes 2-pt shot at rim
2:58.0,Shooting foul by D. Jordan (drawn by J. Harden),,54-54,,
2:58.0,Official timeout,,54-54,,
2:58.0,J. Harden makes free throw 1 of 2,1,55-54,,
2:58.0,J. Harden makes free throw 2 of 2,1,56-54,,
2:58.0,,,54-54,,L. Mbah a Moute enters the game for D. Jordan
2:40.0,,,56-54,,J. Redick misses 2-pt shot from 9 ft
2:37.0,Defensive rebound by R. Anderson,,56-54,,
2:25.0,J. Harden misses 3-pt shot from 28 ft,,56-54,,
2:24.0,Offensive rebound by J. Harden,,56-54,,
2:18.0,Turnover by T. Ariza (bad pass; steal by C. Paul),,56-54,,
2:12.0,,,56-54,,J. Redick misses 3-pt shot from 25 ft
2:09.0,,,56-54,,Offensive rebound by B. Griffin
2:01.0,,,56-54,,B. Griffin misses 2-pt shot from 3 ft
1:59.0,,,56-54,,Offensive rebound by B. Griffin
1:58.0,,,56-56,2,B. Griffin makes 2-pt shot from 2 ft
1:34.0,T. Ariza misses 3-pt shot from 27 ft,,56-56,,
1:34.0,Offensive rebound by Team,,56-56,,
1:18.0,,,56-56,,Personal foul by B. Griffin (drawn by J. Harden)
1:18.0,J. Harden misses free throw 1 of 2,,56-56,,
1:18.0,Offensive rebound by Team,,56-56,,
1:18.0,J. Harden makes free throw 2 of 2,1,57-56,,
1:18.0,,,56-56,,M. Speights enters the game for B. Griffin
0:54.0,,,57-56,,C. Paul misses 2-pt shot from 13 ft
0:51.0,Defensive rebound by J. Harden,,57-56,,
0:44.0,Turnover by C. Onuaku (lost ball; steal by C. Paul),,57-56,,
0:37.0,,,57-59,3,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul)
0:26.0,T. Ariza misses 3-pt shot from 25 ft,,57-59,,
0:24.0,,,57-59,,Defensive rebound by M. Speights
0:03.0,,,57-59,,Shooting foul by J. Harden (drawn by J. Crawford)
0:03.0,,,57-60,1,J. Crawford makes free throw 1 of 2
0:03.0,,,57-61,1,J. Crawford makes free throw 2 of 2
0:03.0,,,57-60,,W. Johnson enters the game for M. Speights
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Harden misses 2-pt shot from 17 ft,,57-61,,
11:40.0,,,57-61,,Defensive rebound by Team
11:22.0,,,57-61,,Turnover by B. Griffin (lost ball; steal by T. Ariza)
11:16.0,T. Ariza misses 3-pt shot from 25 ft,,57-61,,
11:14.0,,,57-61,,Defensive rebound by Team
11:01.0,,,57-61,,LA Clippers full timeout
10:56.0,Personal foul by C. Onuaku (drawn by C. Paul),,57-61,,
10:50.0,,,57-61,,Shooting foul by C. Onuaku (drawn by B. Griffin)
10:50.0,,,57-62,1,B. Griffin makes free throw 1 of 2
10:50.0,,,57-63,1,B. Griffin makes free throw 2 of 2
10:50.0,M. Harrell enters the game for C. Onuaku,,57-62,,
10:36.0,T. Ariza misses 3-pt shot from 26 ft,,57-63,,
10:33.0,,,57-63,,Defensive rebound by B. Griffin
10:21.0,,,57-65,2,J. Redick makes 2-pt shot from 19 ft (assist by L. Mbah a Moute)
9:56.0,M. Harrell makes 2-pt shot from 6 ft (assist by T. Ariza),2,59-65,,
9:56.0,Shooting foul by L. Mbah a Moute (drawn by M. Harrell),,59-65,,
9:56.0,M. Harrell misses free throw 1 of 1,,59-65,,
9:55.0,,,59-65,,Defensive rebound by B. Griffin
9:42.0,,,59-65,,J. Redick misses 3-pt shot from 27 ft
9:41.0,Defensive rebound by J. Harden,,59-65,,
9:38.0,Offensive charge foul by M. Harrell,,59-65,,
9:38.0,Turnover by M. Harrell (offensive foul),,59-65,,
9:25.0,,,59-65,,B. Griffin misses 2-pt shot from 3 ft
9:23.0,Defensive rebound by M. Harrell,,59-65,,
9:10.0,Turnover by J. Harden (bad pass; steal by L. Mbah a Moute),,59-65,,
9:06.0,,,59-65,,C. Paul misses 2-pt shot from 2 ft (block by T. Williams)
9:06.0,,,59-65,,Offensive rebound by Team
8:50.0,,,59-68,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by J. Redick)
8:34.0,T. Ariza misses 3-pt shot from 27 ft,,59-68,,
8:33.0,,,59-68,,Defensive rebound by C. Paul
8:24.0,Personal foul by T. Ariza (drawn by B. Griffin),,59-68,,
8:24.0,,,59-68,,Technical foul by D. Jordan
8:24.0,Technical foul by M. Harrell,,59-68,,
8:07.0,,,59-68,,C. Paul misses 2-pt shot from 15 ft
8:04.0,Defensive rebound by J. Harden,,59-68,,
7:53.0,M. Harrell misses 2-pt shot from 15 ft,,59-68,,
7:50.0,Offensive rebound by T. Williams,,59-68,,
7:50.0,T. Williams misses 2-pt shot from 2 ft,,59-68,,
7:47.0,,,59-68,,Defensive rebound by D. Jordan
7:40.0,,,59-70,2,C. Paul makes 2-pt shot from 14 ft
7:20.0,Turnover by J. Harden (bad pass; steal by C. Paul),,59-70,,
7:16.0,,,59-72,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by C. Paul)
7:16.0,Houston full timeout,,59-72,,
7:16.0,,,59-72,,Technical foul by C. Paul
7:16.0,J. Harden makes technical free throw,1,60-72,,
7:02.0,T. Ariza misses 3-pt shot from 27 ft,,60-72,,
7:01.0,,,60-72,,Defensive rebound by Team
6:50.0,,,60-72,,B. Griffin misses 2-pt shot from 15 ft
6:49.0,Defensive rebound by J. Harden,,60-72,,
6:35.0,J. Harden misses 2-pt shot from 3 ft,,60-72,,
6:31.0,,,60-72,,Defensive rebound by D. Jordan
6:29.0,,,60-74,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
6:09.0,Turnover by T. Williams (lost ball; steal by L. Mbah a Moute),,60-74,,
6:05.0,,,60-74,,Shooting foul by J. Harden (drawn by B. Griffin)
6:05.0,,,60-75,1,B. Griffin makes free throw 1 of 2
6:05.0,,,60-76,1,B. Griffin makes free throw 2 of 2
5:50.0,E. Gordon misses 3-pt shot from 27 ft,,60-76,,
5:49.0,,,60-76,,Defensive rebound by B. Griffin
5:44.0,,,60-78,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:36.0,Turnover by T. Williams (lost ball; steal by J. Redick),,60-78,,
5:27.0,,,60-81,3,J. Redick makes 3-pt shot from 28 ft (assist by D. Jordan)
5:10.0,E. Gordon misses 2-pt shot from 1 ft,,60-81,,
5:09.0,Offensive rebound by M. Harrell,,60-81,,
5:09.0,M. Harrell misses 2-pt shot from 2 ft,,60-81,,
5:08.0,,,60-81,,Defensive rebound by B. Griffin
5:02.0,,,60-83,2,C. Paul makes 2-pt shot from 1 ft
5:02.0,Houston full timeout,,60-83,,
5:02.0,B. Brown enters the game for J. Harden,,60-83,,
5:02.0,I. Taylor enters the game for E. Gordon,,60-83,,
4:45.0,T. Williams misses 3-pt shot from 25 ft,,60-83,,
4:44.0,,,60-83,,Defensive rebound by L. Mbah a Moute
4:31.0,,,60-85,2,B. Griffin makes 2-pt shot at rim
4:09.0,B. Brown misses 2-pt shot from 8 ft,,60-85,,
4:06.0,Offensive rebound by M. Harrell,,60-85,,
4:00.0,M. Harrell misses 2-pt shot from 17 ft,,60-85,,
4:00.0,,,60-85,,Defensive rebound by Team
4:00.0,C. Onuaku enters the game for T. Williams,,60-85,,
3:48.0,,,60-85,,C. Paul misses 2-pt shot from 16 ft
3:47.0,Defensive rebound by M. Harrell,,60-85,,
3:38.0,T. Ariza makes 2-pt shot from 2 ft (assist by B. Brown),2,62-85,,
3:16.0,,,62-85,,Turnover by J. Redick (bad pass)
3:16.0,,,62-85,,J. Crawford enters the game for L. Mbah a Moute
2:56.0,B. Brown makes 2-pt shot from 14 ft,2,64-85,,
2:41.0,,,64-87,2,B. Griffin makes 2-pt shot at rim
2:27.0,I. Taylor misses 2-pt shot from 3 ft,,64-87,,
2:26.0,,,64-87,,Defensive rebound by D. Jordan
2:17.0,,,64-89,2,J. Crawford makes 2-pt shot from 14 ft
2:07.0,Turnover by C. Onuaku (offensive foul),,64-89,,
2:07.0,Offensive foul by C. Onuaku,,64-89,,
2:07.0,,,64-89,,LA Clippers full timeout
2:07.0,,,64-89,,R. Felton enters the game for D. Jordan
2:07.0,,,64-89,,M. Speights enters the game for J. Redick
1:51.0,,,64-92,3,M. Speights makes 3-pt shot from 27 ft (assist by C. Paul)
1:34.0,B. Brown makes 3-pt shot from 25 ft,3,67-92,,
1:12.0,,,67-94,2,R. Felton makes 2-pt shot from 19 ft (assist by M. Speights)
1:03.0,B. Brown makes 2-pt shot from 10 ft,2,69-94,,
0:45.0,,,69-97,3,C. Paul makes 3-pt shot from 27 ft (assist by M. Speights)
0:29.0,B. Brown misses 3-pt shot from 28 ft,,69-97,,
0:28.0,,,69-97,,Defensive rebound by Team
0:28.0,,,69-97,,W. Johnson enters the game for B. Griffin
0:28.0,,,69-97,,B. Bass enters the game for C. Paul
0:07.0,,,69-97,,Turnover by R. Felton (lost ball; steal by C. Onuaku)
0:07.0,Turnover by T. Ariza (step out of bounds),,69-97,,
0:03.0,,,69-97,,J. Crawford misses 3-pt shot from 28 ft
0:01.0,Defensive rebound by C. Onuaku,,69-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,69-97,,W. Johnson misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by M. Harrell,,69-97,,
11:31.0,M. Harrell makes 2-pt shot at rim (assist by I. Taylor),2,71-97,,
11:06.0,,,71-97,,W. Johnson misses 3-pt shot from 27 ft
11:01.0,Defensive rebound by M. Harrell,,71-97,,
10:57.0,E. Gordon makes 3-pt shot from 25 ft,3,74-97,,
10:39.0,,,74-97,,J. Crawford misses 2-pt shot from 19 ft
10:36.0,Defensive rebound by E. Gordon,,74-97,,
10:32.0,E. Gordon misses 2-pt shot from 2 ft,,74-97,,
10:32.0,Offensive rebound by M. Harrell,,74-97,,
10:32.0,,,74-97,,Loose ball foul by M. Speights (drawn by M. Harrell)
10:25.0,M. Harrell makes 2-pt shot from 2 ft (assist by B. Brown),2,76-97,,
10:25.0,Shooting foul by M. Speights (drawn by M. Harrell),,76-97,,
10:25.0,M. Harrell makes free throw 1 of 1,1,77-97,,
10:07.0,,,77-97,,M. Speights misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by E. Gordon,,77-97,,
9:48.0,B. Brown misses 3-pt shot from 27 ft,,77-97,,
9:47.0,,,77-97,,Defensive rebound by R. Felton
9:41.0,,,77-97,,J. Crawford misses 2-pt shot from 6 ft
9:40.0,,,77-97,,Offensive rebound by B. Bass
9:40.0,,,77-97,,B. Bass misses 2-pt shot from 2 ft
9:36.0,,,77-97,,Offensive rebound by W. Johnson
9:29.0,,,77-97,,Shooting foul by E. Gordon (drawn by B. Bass)
9:29.0,,,77-98,1,B. Bass makes free throw 1 of 2
9:29.0,,,77-99,1,B. Bass makes free throw 2 of 2
9:10.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Ariza),3,80-99,,
8:45.0,,,80-101,2,J. Crawford makes 2-pt shot from 19 ft (assist by B. Bass)
8:30.0,T. Ariza misses 2-pt shot from 21 ft,,80-101,,
8:27.0,,,80-101,,Defensive rebound by B. Bass
8:12.0,,,80-103,2,B. Bass makes 2-pt shot from 6 ft
8:00.0,Turnover by B. Brown (step out of bounds),,80-103,,
8:00.0,Official timeout,,80-103,,
8:00.0,T. Williams enters the game for E. Gordon,,80-103,,
7:42.0,,,80-103,,J. Crawford misses 2-pt shot from 4 ft (block by M. Harrell)
7:40.0,,,80-103,,Offensive rebound by M. Speights
7:40.0,,,80-103,,M. Speights misses 2-pt shot at rim
7:40.0,Defensive rebound by Team,,80-103,,
7:22.0,T. Ariza makes 2-pt shot from 1 ft (assist by B. Brown),2,82-103,,
7:05.0,,,82-103,,R. Felton misses 2-pt shot from 3 ft
7:00.0,,,82-103,,Offensive rebound by B. Bass
7:00.0,,,82-105,2,B. Bass makes 2-pt shot from 2 ft
6:47.0,I. Taylor misses 2-pt shot from 2 ft,,82-105,,
6:45.0,,,82-105,,Defensive rebound by R. Felton
6:41.0,,,82-107,2,W. Johnson makes 2-pt shot at rim (assist by R. Felton)
6:16.0,M. Harrell misses 3-pt shot from 25 ft,,82-107,,
6:15.0,,,82-107,,Defensive rebound by M. Speights
6:09.0,,,82-107,,J. Crawford misses 3-pt shot from 27 ft
6:03.0,Defensive rebound by T. Ariza,,82-107,,
5:56.0,T. Ariza misses 3-pt shot from 27 ft,,82-107,,
5:55.0,Offensive rebound by M. Harrell,,82-107,,
5:55.0,M. Harrell makes 2-pt shot from 2 ft,2,84-107,,
5:39.0,,,84-109,2,B. Bass makes 2-pt shot from 13 ft (assist by M. Speights)
5:19.0,B. Brown misses 2-pt shot from 6 ft,,84-109,,
5:17.0,,,84-109,,Defensive rebound by M. Speights
5:14.0,,,84-109,,Shooting foul by M. Harrell (drawn by J. Crawford)
