time,Detroit,pts.away,score,pts.home,Charlotte
10:02.0,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith),2,62-58,,
10:02.0,Shooting foul by C. Zeller (drawn by T. Harris),,62-58,,
10:02.0,T. Harris makes free throw 1 of 1,1,63-58,,
9:53.0,,,63-58,,Turnover by K. Walker (bad pass; steal by T. Harris)
9:44.0,J. Leuer misses 2-pt shot from 16 ft,,63-58,,
9:42.0,Offensive rebound by K. Caldwell-Pope,,63-58,,
9:42.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,63-58,,
9:40.0,,,63-58,,Defensive rebound by N. Batum
9:32.0,,,63-61,3,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky)
9:06.0,T. Harris makes 2-pt shot from 18 ft (assist by K. Caldwell-Pope),2,65-61,,
8:48.0,,,65-61,,N. Batum misses 2-pt shot from 23 ft
8:47.0,Defensive rebound by T. Harris,,65-61,,
8:38.0,K. Caldwell-Pope misses 2-pt shot at rim,,65-61,,
8:37.0,,,65-61,,Defensive rebound by C. Zeller
8:27.0,,,65-63,2,C. Zeller makes 2-pt shot from 20 ft (assist by F. Kaminsky)
8:05.0,M. Morris makes 3-pt shot from 24 ft (assist by T. Harris),3,68-63,,
7:53.0,,,68-63,,Offensive charge foul by C. Zeller
7:53.0,,,68-63,,Turnover by C. Zeller (offensive foul)
7:41.0,Turnover by J. Leuer (lost ball; steal by K. Walker),,68-63,,
7:36.0,,,68-63,,K. Walker misses 2-pt shot from 2 ft (block by K. Caldwell-Pope)
7:35.0,Defensive rebound by K. Caldwell-Pope,,68-63,,
7:31.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,68-63,,
7:30.0,,,68-63,,Defensive rebound by N. Batum
7:28.0,,,68-65,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
7:13.0,Turnover by K. Caldwell-Pope (lost ball; steal by C. Zeller),,68-65,,
7:01.0,,,68-65,,F. Kaminsky misses 3-pt shot from 23 ft
6:59.0,Defensive rebound by I. Smith,,68-65,,
6:49.0,J. Leuer misses 2-pt shot from 19 ft,,68-65,,
6:48.0,,,68-65,,Defensive rebound by N. Batum
6:39.0,,,68-65,,F. Kaminsky misses 3-pt shot from 26 ft
6:37.0,,,68-65,,Offensive rebound by Team
6:35.0,,,68-65,,Turnover by N. Batum (bad pass; steal by I. Smith)
6:31.0,I. Smith makes 2-pt shot at rim,2,70-65,,
6:07.0,,,70-67,2,F. Kaminsky makes 2-pt shot from 7 ft
5:51.0,M. Morris misses 2-pt shot from 18 ft,,70-67,,
5:50.0,,,70-67,,Defensive rebound by C. Zeller
5:41.0,,,70-69,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
5:40.0,Detroit full timeout,,70-69,,
5:39.0,A. Baynes enters the game for J. Leuer,,70-69,,
5:22.0,I. Smith makes 2-pt shot from 18 ft,2,72-69,,
5:09.0,Personal foul by A. Baynes (drawn by K. Walker),,72-69,,
5:02.0,,,72-69,,N. Batum misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by T. Harris,,72-69,,
4:57.0,,,72-69,,Violation by K. Walker (kicked ball)
4:39.0,T. Harris makes 2-pt shot from 1 ft,2,74-69,,
4:19.0,,,74-69,,F. Kaminsky misses 3-pt shot from 25 ft
4:17.0,,,74-69,,Offensive rebound by C. Zeller
4:00.0,,,74-69,,Turnover by C. Zeller (3 sec)
4:00.0,,,74-69,,M. Belinelli enters the game for N. Batum
3:44.0,M. Morris misses 2-pt shot from 19 ft,,74-69,,
3:43.0,,,74-69,,Defensive rebound by K. Walker
3:25.0,,,74-69,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
3:24.0,Defensive rebound by M. Morris,,74-69,,
3:16.0,I. Smith misses 3-pt shot from 25 ft,,74-69,,
3:15.0,,,74-69,,Defensive rebound by F. Kaminsky
3:07.0,,,74-69,,K. Walker misses 2-pt shot from 1 ft
3:06.0,Defensive rebound by A. Baynes,,74-69,,
3:00.0,A. Baynes misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,74-69,,
3:00.0,Offensive rebound by Team,,74-69,,
3:00.0,J. Leuer enters the game for M. Morris,,74-69,,
2:54.0,Jump ball: A. Baynes vs. M. Kidd-Gilchrist (I. Smith gains possession),,,,Jump ball: A. Baynes vs. M. Kidd-Gilchrist (I. Smith gains possession)
2:53.0,,,74-69,,Personal foul by K. Walker (drawn by A. Baynes)
2:53.0,,,74-69,,Charlotte full timeout
2:53.0,,,74-69,,J. Lamb enters the game for M. Kidd-Gilchrist
2:53.0,,,74-69,,S. Hawes enters the game for F. Kaminsky
2:36.0,I. Smith misses 3-pt shot from 30 ft,,74-69,,
2:35.0,Offensive rebound by Team,,74-69,,
2:35.0,,,74-69,,R. Hibbert enters the game for C. Zeller
2:21.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,76-69,,
2:05.0,,,76-69,,M. Belinelli misses 2-pt shot from 16 ft
2:04.0,Defensive rebound by Team,,76-69,,
2:04.0,,,76-69,,Loose ball foul by R. Hibbert (drawn by A. Baynes)
1:50.0,J. Leuer makes 2-pt shot from 11 ft,2,78-69,,
1:36.0,,,78-69,,Shooting foul by K. Caldwell-Pope (drawn by M. Belinelli)
1:36.0,,,78-70,1,M. Belinelli makes free throw 1 of 2
1:36.0,,,78-71,1,M. Belinelli makes free throw 2 of 2
1:24.0,K. Caldwell-Pope makes 3-pt shot from 27 ft,3,81-71,,
1:05.0,,,81-71,,Shooting foul by J. Leuer (drawn by K. Walker)
1:05.0,,,81-71,,K. Walker misses free throw 1 of 2
1:05.0,,,81-71,,Offensive rebound by Team
1:05.0,,,81-72,1,K. Walker makes free throw 2 of 2
0:52.0,Turnover by A. Baynes (offensive goaltending),,81-72,,
0:38.0,,,81-72,,Offensive charge foul by J. Lamb
0:38.0,,,81-72,,Turnover by J. Lamb (offensive foul)
0:25.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by I. Smith),3,84-72,,
0:04.0,,,84-74,2,K. Walker makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,A. Baynes makes 2-pt shot from 6 ft,2,86-74,,
11:27.0,,,86-74,,J. Lamb misses 2-pt shot from 2 ft
11:26.0,Defensive rebound by A. Baynes,,86-74,,
11:17.0,M. Morris misses 2-pt shot from 22 ft,,86-74,,
11:16.0,Offensive rebound by J. Leuer,,86-74,,
11:14.0,J. Leuer makes 2-pt shot at rim,2,88-74,,
11:14.0,,,88-74,,Charlotte full timeout
11:14.0,,,88-74,,N. Batum enters the game for J. Lamb
11:03.0,,,88-74,,Offensive foul by S. Hawes
11:03.0,,,88-74,,Turnover by S. Hawes (offensive foul)
10:44.0,J. Leuer misses 3-pt shot from 25 ft,,88-74,,
10:43.0,,,88-74,,Defensive rebound by R. Sessions
10:35.0,,,88-76,2,S. Hawes makes 2-pt shot from 10 ft (assist by R. Sessions)
10:12.0,D. Hilliard makes 3-pt shot from 24 ft (assist by B. Udrih),3,91-76,,
9:53.0,,,91-76,,N. Batum misses 2-pt shot from 15 ft
9:52.0,Defensive rebound by A. Baynes,,91-76,,
9:42.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Baynes),,91-76,,
9:42.0,A. Baynes makes free throw 1 of 2,1,92-76,,
9:42.0,A. Baynes makes free throw 2 of 2,1,93-76,,
9:27.0,,,93-76,,Turnover by R. Sessions (lost ball; steal by J. Leuer)
9:20.0,A. Baynes misses 2-pt shot from 17 ft,,93-76,,
9:17.0,Offensive rebound by J. Leuer,,93-76,,
9:15.0,Turnover by J. Leuer (lost ball; steal by M. Kidd-Gilchrist),,93-76,,
9:03.0,,,93-76,,Turnover by S. Hawes (bad pass; steal by D. Hilliard)
8:58.0,D. Hilliard makes 2-pt shot at rim,2,95-76,,
8:58.0,Shooting foul by N. Batum (drawn by D. Hilliard),,95-76,,
8:58.0,Official timeout,,95-76,,
8:58.0,D. Hilliard misses free throw 1 of 1,,95-76,,
8:58.0,,,95-76,,C. Zeller enters the game for S. Hawes
8:56.0,,,95-76,,Defensive rebound by N. Batum
8:41.0,,,95-76,,N. Batum misses 2-pt shot from 9 ft
8:40.0,Defensive rebound by J. Leuer,,95-76,,
8:23.0,D. Hilliard misses 3-pt shot from 25 ft,,95-76,,
8:22.0,,,95-76,,Defensive rebound by C. Zeller
8:12.0,,,95-76,,R. Sessions misses 2-pt shot from 1 ft
8:11.0,Defensive rebound by M. Morris,,95-76,,
8:05.0,M. Morris misses 3-pt shot from 25 ft,,95-76,,
8:02.0,,,95-76,,Defensive rebound by M. Kidd-Gilchrist
7:57.0,Personal foul by J. Leuer (drawn by M. Kidd-Gilchrist),,95-76,,
7:49.0,,,95-78,2,R. Sessions makes 2-pt shot from 9 ft
7:34.0,B. Udrih makes 2-pt shot from 17 ft,2,97-78,,
7:24.0,,,97-78,,Shooting foul by B. Udrih (drawn by R. Sessions)
7:24.0,,,97-79,1,R. Sessions makes free throw 1 of 2
7:24.0,,,97-80,1,R. Sessions makes free throw 2 of 2
7:24.0,T. Harris enters the game for J. Leuer,,97-79,,
7:15.0,,,97-80,,Personal foul by M. Belinelli (drawn by D. Hilliard)
7:04.0,T. Harris misses 3-pt shot from 25 ft,,97-80,,
7:03.0,,,97-80,,Defensive rebound by N. Batum
6:55.0,,,97-82,2,C. Zeller makes 2-pt shot from 8 ft (assist by R. Sessions)
6:38.0,M. Morris makes 2-pt shot from 19 ft,2,99-82,,
6:18.0,,,99-82,,N. Batum misses 2-pt shot from 14 ft
6:17.0,Defensive rebound by T. Harris,,99-82,,
6:07.0,,,99-82,,Personal foul by M. Kidd-Gilchrist (drawn by M. Morris)
6:07.0,,,99-82,,K. Walker enters the game for R. Sessions
6:07.0,I. Smith enters the game for B. Udrih,,99-82,,
5:56.0,Offensive charge foul by T. Harris,,99-82,,
5:56.0,Turnover by T. Harris (offensive foul),,99-82,,
5:56.0,,,99-82,,Charlotte full timeout
5:56.0,J. Leuer enters the game for A. Baynes,,99-82,,
5:56.0,K. Caldwell-Pope enters the game for D. Hilliard,,99-82,,
5:46.0,,,99-82,,C. Zeller misses 2-pt shot from 2 ft
5:45.0,Defensive rebound by J. Leuer,,99-82,,
5:33.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,99-82,,
5:32.0,,,99-82,,Defensive rebound by C. Zeller
5:27.0,Personal foul by J. Leuer (drawn by K. Walker),,99-82,,
5:18.0,,,99-82,,M. Belinelli misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by T. Harris,,99-82,,
4:56.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,99-82,,
4:54.0,,,99-82,,Defensive rebound by C. Zeller
4:45.0,,,99-82,,Turnover by K. Walker (lost ball)
4:26.0,K. Caldwell-Pope misses 2-pt shot from 4 ft (block by C. Zeller),,99-82,,
4:24.0,Offensive rebound by K. Caldwell-Pope,,99-82,,
4:22.0,T. Harris makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,102-82,,
4:22.0,,,102-82,,Charlotte full timeout
4:22.0,,,102-82,,T. Graham enters the game for M. Kidd-Gilchrist
4:22.0,,,102-82,,F. Kaminsky enters the game for C. Zeller
4:22.0,,,102-82,,B. Roberts enters the game for N. Batum
4:22.0,,,102-82,,A. Harrison enters the game for K. Walker
3:59.0,,,102-82,,F. Kaminsky misses 3-pt shot from 26 ft
3:57.0,Defensive rebound by K. Caldwell-Pope,,102-82,,
3:41.0,J. Leuer makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,104-82,,
3:32.0,,,104-82,,M. Belinelli misses 2-pt shot from 16 ft
3:30.0,Defensive rebound by J. Leuer,,104-82,,
3:24.0,I. Smith misses 2-pt shot from 1 ft,,104-82,,
3:23.0,,,104-82,,Defensive rebound by T. Graham
3:13.0,,,104-82,,Turnover by F. Kaminsky (bad pass)
3:13.0,D. Hilliard enters the game for I. Smith,,104-82,,
