time,Atlanta,pts.away,score,pts.home,Oklahoma City
6:26.0,,,11-7,,D. Sabonis misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by P. Millsap,,11-7,,
6:14.0,Atlanta full timeout,,11-7,,
6:14.0,,,11-7,,J. Grant enters the game for D. Sabonis
6:14.0,T. Hardaway enters the game for K. Bazemore,,11-7,,
6:08.0,D. Schroder makes 2-pt shot from 23 ft (assist by T. Sefolosha),2,13-7,,
5:56.0,,,13-7,,Offensive charge foul by R. Westbrook
5:56.0,,,13-7,,Turnover by R. Westbrook (offensive foul)
5:56.0,,,13-7,,S. Christon enters the game for A. Morrow
5:46.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,15-7,,
5:27.0,,,15-7,,S. Christon misses 2-pt shot from 6 ft
5:26.0,,,15-7,,Offensive rebound by A. Roberson
5:15.0,,,15-7,,R. Westbrook misses 2-pt shot from 18 ft
5:14.0,Defensive rebound by K. Korver,,15-7,,
5:03.0,P. Millsap makes 2-pt shot from 7 ft,2,17-7,,
4:36.0,,,17-7,,A. Roberson misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by D. Schroder,,17-7,,
4:26.0,T. Hardaway misses 3-pt shot from 25 ft,,17-7,,
4:26.0,,,17-7,,Defensive rebound by S. Christon
4:18.0,,,17-7,,Shooting foul by T. Hardaway (drawn by R. Westbrook)
4:18.0,,,17-8,1,R. Westbrook makes free throw 1 of 2
4:18.0,,,17-9,1,R. Westbrook makes free throw 2 of 2
4:18.0,,,17-8,,A. Abrines enters the game for A. Roberson
4:05.0,P. Millsap misses 2-pt shot from 1 ft (block by S. Adams),,17-9,,
4:04.0,,,17-9,,Defensive rebound by S. Adams
3:58.0,K. Bazemore enters the game for T. Sefolosha,,17-9,,
3:48.0,,,17-9,,R. Westbrook misses 2-pt shot from 15 ft
3:47.0,Defensive rebound by P. Millsap,,17-9,,
3:39.0,K. Korver misses 3-pt shot from 24 ft,,17-9,,
3:38.0,,,17-9,,Defensive rebound by S. Adams
3:29.0,,,17-12,3,J. Grant makes 3-pt shot from 23 ft (assist by R. Westbrook)
3:12.0,D. Schroder misses 2-pt shot from 18 ft,,17-12,,
3:11.0,,,17-12,,Defensive rebound by S. Adams
3:01.0,,,17-12,,Turnover by R. Westbrook (bad pass; steal by T. Hardaway)
3:00.0,Turnover by T. Hardaway (bad pass; steal by R. Westbrook),,17-12,,
2:56.0,,,17-12,,R. Westbrook misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by P. Millsap,,17-12,,
2:45.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,20-12,,
2:28.0,,,20-12,,Turnover by R. Westbrook (bad pass; steal by K. Bazemore)
2:22.0,Turnover by D. Schroder (lost ball),,20-12,,
2:22.0,,,20-12,,Oklahoma City full timeout
2:22.0,,,20-12,,E. Kanter enters the game for S. Adams
2:22.0,,,20-12,,A. Roberson enters the game for R. Westbrook
2:22.0,M. Muscala enters the game for K. Korver,,20-12,,
2:22.0,M. Delaney enters the game for D. Schroder,,20-12,,
2:07.0,,,20-12,,A. Abrines misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by T. Hardaway,,20-12,,
1:59.0,Turnover by T. Hardaway (bad pass; steal by A. Abrines),,20-12,,
1:35.0,,,20-12,,A. Abrines misses 2-pt shot from 5 ft
1:35.0,,,20-12,,Offensive rebound by E. Kanter
1:34.0,,,20-14,2,E. Kanter makes 2-pt shot from 2 ft
1:16.0,M. Muscala misses 2-pt shot from 9 ft,,20-14,,
1:15.0,,,20-14,,Defensive rebound by E. Kanter
1:01.0,,,20-14,,A. Abrines misses 3-pt shot from 25 ft
1:00.0,,,20-14,,Offensive rebound by E. Kanter
1:00.0,,,20-16,2,E. Kanter makes 2-pt shot from 3 ft
0:49.0,P. Millsap makes 2-pt shot from 1 ft (assist by T. Hardaway),2,22-16,,
0:36.0,,,22-16,,Turnover by E. Kanter (lost ball)
0:36.0,K. Korver enters the game for P. Millsap,,22-16,,
0:36.0,,,22-16,,J. Lauvergne enters the game for J. Grant
0:25.0,T. Hardaway misses 2-pt shot from 9 ft,,22-16,,
0:25.0,,,22-16,,Defensive rebound by J. Lauvergne
0:04.0,,,22-16,,S. Christon misses 3-pt shot from 23 ft
0:03.0,Defensive rebound by M. Muscala,,22-16,,
0:00.0,T. Hardaway misses 3-pt shot from 42 ft,,22-16,,
0:00.0,Offensive rebound by Team,,22-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,22-18,2,A. Roberson makes 2-pt shot from 5 ft (assist by S. Christon)
11:20.0,Shooting foul by A. Abrines (drawn by D. Schroder),,22-18,,
11:20.0,D. Schroder makes free throw 1 of 2,1,23-18,,
11:20.0,D. Schroder makes free throw 2 of 2,1,24-18,,
10:57.0,,,24-18,,S. Christon misses 2-pt shot from 5 ft
10:56.0,,,24-18,,Offensive rebound by J. Lauvergne
10:55.0,,,24-20,2,J. Lauvergne makes 2-pt shot from 1 ft
10:29.0,K. Bazemore misses 3-pt shot from 25 ft,,24-20,,
10:29.0,,,24-20,,Defensive rebound by Team
10:16.0,Personal foul by K. Korver (drawn by A. Roberson),,24-20,,
10:04.0,,,24-22,2,A. Abrines makes 2-pt shot from 5 ft
9:58.0,K. Bazemore makes 2-pt shot from 2 ft (assist by M. Muscala),2,26-22,,
9:35.0,,,26-24,2,A. Abrines makes 2-pt shot from 16 ft (assist by S. Christon)
9:10.0,M. Delaney makes 2-pt shot from 15 ft,2,28-24,,
8:57.0,,,28-24,,J. Lauvergne misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by D. Schroder,,28-24,,
8:37.0,Shooting foul by J. Lauvergne (drawn by K. Bazemore),,28-24,,
8:37.0,Official timeout,,28-24,,
8:37.0,K. Bazemore makes free throw 1 of 2,1,29-24,,
8:37.0,K. Bazemore misses free throw 2 of 2,,29-24,,
8:37.0,,,28-24,,R. Westbrook enters the game for J. Lauvergne
8:37.0,P. Millsap enters the game for K. Korver,,28-24,,
8:37.0,T. Sefolosha enters the game for M. Muscala,,28-24,,
8:36.0,,,29-24,,Defensive rebound by R. Westbrook
8:16.0,,,29-24,,R. Westbrook misses 3-pt shot from 24 ft
8:16.0,,,29-24,,Offensive rebound by E. Kanter
8:16.0,,,29-26,2,E. Kanter makes 2-pt shot from 1 ft
7:54.0,D. Schroder makes 2-pt shot from 15 ft (assist by P. Millsap),2,31-26,,
7:33.0,,,31-26,,N. Collison enters the game for E. Kanter
7:33.0,T. Hardaway enters the game for K. Bazemore,,31-26,,
7:26.0,,,31-26,,S. Christon misses 3-pt shot from 22 ft
7:26.0,,,31-26,,Offensive rebound by R. Westbrook
7:26.0,,,31-26,,A. Morrow enters the game for S. Christon
7:24.0,,,31-26,,Turnover by R. Westbrook (bad pass; steal by T. Sefolosha)
7:14.0,T. Sefolosha misses 2-pt shot from 18 ft,,31-26,,
7:14.0,Offensive rebound by P. Millsap,,31-26,,
7:09.0,M. Delaney misses 3-pt shot from 22 ft,,31-26,,
7:09.0,,,31-26,,Defensive rebound by R. Westbrook
7:00.0,,,31-28,2,R. Westbrook makes 2-pt shot from 14 ft
6:44.0,D. Schroder makes 2-pt shot from 1 ft,2,33-28,,
6:31.0,,,33-30,2,R. Westbrook makes 2-pt shot from 17 ft
6:25.0,Turnover by M. Delaney (bad pass; steal by A. Morrow),,33-30,,
6:18.0,,,33-30,,R. Westbrook misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by M. Delaney,,33-30,,
6:05.0,Shooting foul by N. Collison (drawn by P. Millsap),,33-30,,
6:05.0,P. Millsap makes free throw 1 of 2,1,34-30,,
6:05.0,P. Millsap makes free throw 2 of 2,1,35-30,,
6:05.0,,,34-30,,S. Adams enters the game for N. Collison
6:05.0,K. Korver enters the game for M. Delaney,,34-30,,
5:52.0,,,35-33,3,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:37.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Schroder),2,37-33,,
5:26.0,,,37-35,2,R. Westbrook makes 2-pt shot from 1 ft
5:15.0,Shooting foul by A. Morrow (drawn by D. Schroder),,37-35,,
5:15.0,,,37-35,,Oklahoma City full timeout
5:15.0,D. Schroder makes free throw 1 of 2,1,38-35,,
5:15.0,D. Schroder makes free throw 2 of 2,1,39-35,,
5:15.0,,,37-35,,J. Grant enters the game for A. Abrines
5:15.0,K. Bazemore enters the game for P. Millsap,,37-35,,
5:15.0,M. Muscala enters the game for T. Hardaway,,37-35,,
5:02.0,,,39-35,,A. Roberson misses 3-pt shot from 23 ft
5:00.0,,,39-35,,Offensive rebound by S. Adams
4:57.0,,,39-35,,A. Morrow misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by K. Bazemore,,39-35,,
4:39.0,D. Schroder makes 2-pt shot from 1 ft,2,41-35,,
4:24.0,,,41-37,2,R. Westbrook makes 2-pt shot from 1 ft
4:24.0,,,41-37,,Shooting foul by M. Muscala (drawn by R. Westbrook)
4:24.0,,,41-38,1,R. Westbrook makes free throw 1 of 1
4:24.0,,,41-37,,S. Christon enters the game for A. Morrow
4:12.0,Turnover by K. Bazemore (bad pass; steal by S. Adams),,41-38,,
4:05.0,,,41-38,,Offensive charge foul by S. Adams
4:05.0,,,41-38,,Turnover by S. Adams (offensive foul)
4:05.0,P. Millsap enters the game for K. Korver,,41-38,,
3:48.0,T. Sefolosha misses 3-pt shot from 23 ft,,41-38,,
3:48.0,,,41-38,,Defensive rebound by J. Grant
3:34.0,,,41-40,2,R. Westbrook makes 2-pt shot from 20 ft
3:13.0,M. Muscala misses 2-pt shot from 14 ft,,41-40,,
3:12.0,,,41-40,,Defensive rebound by S. Adams
3:12.0,,,41-40,,Oklahoma City full timeout
3:12.0,K. Korver enters the game for D. Schroder,,41-40,,
3:12.0,M. Delaney enters the game for M. Muscala,,41-40,,
3:02.0,,,41-42,2,R. Westbrook makes 2-pt shot from 14 ft
2:35.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Bazemore),2,43-42,,
2:22.0,Personal foul by K. Bazemore (drawn by R. Westbrook),,43-42,,
2:22.0,Atlanta full timeout,,43-42,,
2:15.0,Personal foul by M. Delaney (drawn by R. Westbrook),,43-42,,
2:04.0,,,43-42,,R. Westbrook misses 2-pt shot from 19 ft
2:03.0,,,43-42,,Offensive rebound by S. Adams
2:03.0,Personal foul by K. Korver (drawn by S. Adams),,43-42,,
2:03.0,,,43-43,1,S. Adams makes free throw 1 of 2
2:03.0,,,43-44,1,S. Adams makes free throw 2 of 2
1:53.0,K. Korver makes 3-pt shot from 25 ft (assist by K. Bazemore),3,46-44,,
1:40.0,Personal foul by K. Bazemore (drawn by J. Grant),,46-44,,
1:40.0,,,46-45,1,J. Grant makes free throw 1 of 2
1:40.0,,,46-46,1,J. Grant makes free throw 2 of 2
1:27.0,T. Sefolosha misses 3-pt shot from 23 ft,,46-46,,
1:27.0,,,46-46,,Defensive rebound by A. Roberson
1:20.0,,,46-48,2,R. Westbrook makes 2-pt shot from 17 ft
1:02.0,P. Millsap makes 2-pt shot from 3 ft,2,48-48,,
0:55.0,,,48-48,,A. Roberson misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by K. Bazemore,,48-48,,
0:45.0,M. Delaney misses 3-pt shot from 24 ft,,48-48,,
0:44.0,,,48-48,,Defensive rebound by A. Roberson
0:37.0,,,48-51,3,R. Westbrook makes 3-pt shot from 25 ft
0:32.0,,,48-51,,Personal foul by J. Grant (drawn by K. Bazemore)
0:32.0,K. Bazemore misses free throw 1 of 2,,48-51,,
0:32.0,Offensive rebound by Team,,48-51,,
0:32.0,K. Bazemore misses free throw 2 of 2,,48-51,,
0:32.0,M. Muscala enters the game for P. Millsap,,48-51,,
0:32.0,T. Hardaway enters the game for K. Korver,,48-51,,
0:32.0,,,48-51,,A. Abrines enters the game for S. Christon
0:31.0,,,48-51,,Defensive rebound by R. Westbrook
0:15.0,Personal foul by M. Delaney (drawn by A. Abrines),,48-51,,
0:15.0,,,48-52,1,A. Abrines makes free throw 1 of 2
0:15.0,,,48-53,1,A. Abrines makes free throw 2 of 2
0:15.0,P. Millsap enters the game for T. Sefolosha,,48-52,,
0:15.0,D. Schroder enters the game for M. Delaney,,48-52,,
0:15.0,K. Korver enters the game for M. Muscala,,48-52,,
0:15.0,,,48-52,,S. Christon enters the game for S. Adams
0:01.0,Turnover by P. Millsap (lost ball; steal by A. Roberson),,48-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,48-55,2,S. Adams makes 2-pt shot from 4 ft
11:44.0,,,48-55,,Shooting foul by P. Millsap (drawn by S. Adams)
11:44.0,,,48-55,,S. Adams misses free throw 1 of 1
11:44.0,Defensive rebound by T. Sefolosha,,48-55,,
11:27.0,P. Millsap misses 2-pt shot from 4 ft,,48-55,,
11:27.0,,,48-55,,Defensive rebound by D. Sabonis
11:13.0,,,48-55,,D. Sabonis misses 2-pt shot from 3 ft
11:12.0,Defensive rebound by K. Korver,,48-55,,
10:51.0,Turnover by D. Schroder (bad pass; steal by S. Adams),,48-55,,
10:38.0,,,48-55,,A. Roberson misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by T. Sefolosha,,48-55,,
10:23.0,K. Korver makes 2-pt shot from 17 ft,2,50-55,,
10:05.0,Personal foul by T. Sefolosha (drawn by D. Sabonis),,50-55,,
9:53.0,,,50-55,,Turnover by A. Roberson (bad pass)
9:39.0,P. Millsap misses 3-pt shot from 25 ft,,50-55,,
9:39.0,,,50-55,,Defensive rebound by A. Roberson
9:32.0,,,50-55,,Shooting foul by D. Schroder (drawn by A. Morrow)
9:32.0,,,50-56,1,A. Morrow makes free throw 1 of 2
9:32.0,,,50-57,1,A. Morrow makes free throw 2 of 2
9:17.0,D. Schroder misses 2-pt shot from 3 ft,,50-57,,
9:16.0,,,50-57,,Defensive rebound by R. Westbrook
9:09.0,,,50-57,,Shooting foul by T. Sefolosha (drawn by R. Westbrook)
9:09.0,,,50-57,,R. Westbrook misses free throw 1 of 2
9:09.0,,,50-57,,Offensive rebound by Team
9:09.0,,,50-58,1,R. Westbrook makes free throw 2 of 2
9:02.0,,,50-58,,Violation by A. Roberson (kicked ball)
8:52.0,D. Schroder makes 3-pt shot from 25 ft (assist by K. Korver),3,53-58,,
8:41.0,,,53-58,,Offensive foul by A. Roberson
8:41.0,,,53-58,,Turnover by A. Roberson (offensive foul)
8:29.0,P. Millsap makes 2-pt shot from 10 ft (assist by K. Korver),2,55-58,,
8:14.0,,,55-58,,A. Morrow misses 2-pt shot from 10 ft
8:14.0,Defensive rebound by T. Sefolosha,,55-58,,
8:02.0,P. Millsap misses 2-pt shot from 19 ft,,55-58,,
8:01.0,,,55-58,,Defensive rebound by D. Sabonis
7:55.0,,,55-60,2,R. Westbrook makes 2-pt shot from 18 ft
7:33.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by K. Korver),3,58-60,,
7:16.0,,,58-60,,R. Westbrook misses 2-pt shot from 14 ft
7:15.0,Defensive rebound by T. Sefolosha,,58-60,,
7:04.0,K. Bazemore misses 2-pt shot from 1 ft,,58-60,,
7:03.0,Offensive rebound by D. Schroder,,58-60,,
7:00.0,D. Schroder misses 3-pt shot from 24 ft,,58-60,,
6:59.0,,,58-60,,Defensive rebound by D. Sabonis
6:53.0,,,58-60,,R. Westbrook misses 2-pt shot from 2 ft
6:52.0,Defensive rebound by P. Millsap,,58-60,,
6:45.0,Turnover by P. Millsap (bad pass),,58-60,,
6:45.0,,,58-60,,Oklahoma City full timeout
6:29.0,,,58-60,,D. Sabonis misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by P. Millsap,,58-60,,
6:19.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,61-60,,
6:01.0,,,61-63,3,R. Westbrook makes 3-pt shot from 25 ft
5:49.0,P. Millsap makes 2-pt shot from 12 ft,2,63-63,,
5:40.0,,,63-63,,Shooting foul by K. Korver (drawn by S. Adams)
5:40.0,,,63-63,,S. Adams misses free throw 1 of 2
5:40.0,,,63-63,,Offensive rebound by Team
5:40.0,,,63-63,,S. Adams misses free throw 2 of 2
5:40.0,Defensive rebound by T. Sefolosha,,63-63,,
5:40.0,,,63-63,,A. Abrines enters the game for A. Roberson
5:40.0,T. Hardaway enters the game for K. Bazemore,,63-63,,
5:22.0,T. Sefolosha misses 2-pt shot from 2 ft,,63-63,,
5:22.0,,,63-63,,Defensive rebound by D. Sabonis
5:06.0,,,63-65,2,R. Westbrook makes 2-pt shot from 19 ft
4:52.0,Turnover by D. Schroder (back court),,63-65,,
4:52.0,,,63-65,,J. Grant enters the game for D. Sabonis
4:52.0,K. Bazemore enters the game for D. Schroder,,63-65,,
4:52.0,,,63-65,,S. Christon enters the game for A. Morrow
4:48.0,,,63-68,3,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:36.0,T. Sefolosha makes 2-pt shot from 16 ft (assist by K. Korver),2,65-68,,
4:18.0,Shooting block foul by K. Korver (drawn by R. Westbrook),,65-68,,
4:18.0,,,65-69,1,R. Westbrook makes free throw 1 of 2
4:18.0,,,65-70,1,R. Westbrook makes free throw 2 of 2
4:18.0,M. Scott enters the game for K. Korver,,65-69,,
4:06.0,K. Bazemore makes 2-pt shot from 7 ft,2,67-70,,
3:46.0,,,67-70,,R. Westbrook misses 2-pt shot from 19 ft
3:46.0,,,67-70,,Offensive rebound by S. Christon
3:38.0,,,67-70,,S. Adams misses 2-pt shot from 2 ft
3:38.0,Defensive rebound by Team,,67-70,,
3:38.0,,,67-70,,Loose ball foul by S. Adams (drawn by P. Millsap)
3:29.0,Shooting foul by R. Westbrook (drawn by K. Bazemore),,67-70,,
3:29.0,K. Bazemore makes free throw 1 of 2,1,68-70,,
3:29.0,K. Bazemore makes free throw 2 of 2,1,69-70,,
3:29.0,,,68-70,,E. Kanter enters the game for S. Adams
3:07.0,,,69-73,3,J. Grant makes 3-pt shot from 25 ft (assist by R. Westbrook)
2:55.0,Shooting foul by A. Abrines (drawn by T. Sefolosha),,69-73,,
2:55.0,Atlanta full timeout,,69-73,,
2:55.0,T. Sefolosha makes free throw 1 of 2,1,70-73,,
2:55.0,T. Sefolosha makes free throw 2 of 2,1,71-73,,
2:36.0,,,71-73,,E. Kanter misses 2-pt shot from 8 ft
2:35.0,Defensive rebound by P. Millsap,,71-73,,
2:24.0,P. Millsap misses 3-pt shot from 25 ft,,71-73,,
2:24.0,,,71-73,,Defensive rebound by A. Abrines
2:14.0,,,71-73,,Shooting foul by K. Bazemore (drawn by R. Westbrook)
2:14.0,,,71-74,1,R. Westbrook makes free throw 1 of 2
2:14.0,,,71-75,1,R. Westbrook makes free throw 2 of 2
2:01.0,K. Bazemore makes 2-pt shot from 2 ft,2,73-75,,
2:01.0,Shooting foul by E. Kanter (drawn by K. Bazemore),,73-75,,
2:01.0,K. Bazemore makes free throw 1 of 1,1,74-75,,
2:01.0,D. Schroder enters the game for T. Sefolosha,,73-75,,
2:01.0,,,73-75,,A. Roberson enters the game for R. Westbrook
1:48.0,,,74-75,,Turnover by A. Roberson (bad pass; steal by P. Millsap)
1:42.0,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Bazemore),2,76-75,,
1:30.0,,,76-75,,A. Abrines misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by P. Millsap,,76-75,,
1:18.0,M. Scott makes 2-pt shot at rim (assist by K. Bazemore),2,78-75,,
1:18.0,,,78-75,,Oklahoma City full timeout
1:04.0,,,78-75,,A. Abrines misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by M. Scott,,78-75,,
0:54.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,81-75,,
0:33.0,,,81-75,,Shooting foul by T. Hardaway (drawn by A. Roberson)
0:33.0,,,81-75,,A. Roberson misses free throw 1 of 2
0:33.0,,,81-75,,Offensive rebound by Team
0:33.0,,,81-76,1,A. Roberson makes free throw 2 of 2
0:13.0,Turnover by P. Millsap (lost ball; steal by J. Grant),,81-76,,
0:04.0,,,81-76,,J. Grant misses 2-pt shot from 3 ft (block by P. Millsap)
0:04.0,,,81-76,,Offensive rebound by Team
0:01.0,,,81-76,,A. Roberson misses 2-pt shot at rim
0:01.0,,,81-76,,Offensive rebound by S. Christon
0:01.0,,,81-78,2,S. Christon makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Scott misses 2-pt shot from 9 ft,,81-78,,
11:44.0,,,81-78,,Defensive rebound by E. Kanter
11:32.0,,,81-78,,Turnover by K. Singler (traveling)
11:20.0,D. Schroder makes 2-pt shot from 1 ft,2,83-78,,
11:00.0,,,83-80,2,J. Grant makes 2-pt shot from 1 ft
10:39.0,T. Hardaway misses 2-pt shot from 2 ft,,83-80,,
10:38.0,Offensive rebound by M. Scott,,83-80,,
10:36.0,M. Scott misses 2-pt shot from 3 ft,,83-80,,
10:35.0,,,83-80,,Defensive rebound by E. Kanter
10:16.0,,,83-83,3,A. Roberson makes 3-pt shot from 25 ft (assist by S. Christon)
9:55.0,T. Hardaway makes 3-pt shot from 23 ft (assist by K. Bazemore),3,86-83,,
9:30.0,,,86-86,3,A. Roberson makes 3-pt shot from 25 ft
9:07.0,K. Bazemore misses 3-pt shot from 25 ft,,86-86,,
9:05.0,,,86-86,,Defensive rebound by K. Singler
8:47.0,,,86-86,,J. Grant misses 2-pt shot from 5 ft
8:47.0,,,86-86,,Offensive rebound by E. Kanter
8:46.0,,,86-88,2,E. Kanter makes 2-pt shot from 1 ft
8:45.0,Atlanta full timeout,,86-88,,
8:45.0,P. Millsap enters the game for M. Muscala,,86-88,,
8:45.0,K. Korver enters the game for M. Scott,,86-88,,
8:33.0,Shooting foul by E. Kanter (drawn by D. Schroder),,86-88,,
8:33.0,D. Schroder makes free throw 1 of 2,1,87-88,,
8:33.0,D. Schroder makes free throw 2 of 2,1,88-88,,
8:12.0,,,88-90,2,A. Roberson makes 2-pt shot from 2 ft (assist by E. Kanter)
7:49.0,P. Millsap misses 2-pt shot from 2 ft (block by E. Kanter),,88-90,,
7:48.0,Offensive rebound by P. Millsap,,88-90,,
7:45.0,P. Millsap makes 3-pt shot from 25 ft,3,91-90,,
7:25.0,,,91-92,2,J. Grant makes 2-pt shot from 1 ft (assist by A. Roberson)
7:11.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder),2,93-92,,
7:11.0,Shooting foul by E. Kanter (drawn by P. Millsap),,93-92,,
7:11.0,P. Millsap makes free throw 1 of 1,1,94-92,,
7:11.0,,,93-92,,R. Westbrook enters the game for S. Christon
7:11.0,,,93-92,,S. Adams enters the game for E. Kanter
7:11.0,T. Sefolosha enters the game for K. Bazemore,,93-92,,
6:53.0,,,94-94,2,K. Singler makes 2-pt shot from 2 ft
6:30.0,D. Schroder makes 2-pt shot from 1 ft,2,96-94,,
6:18.0,,,96-97,3,R. Westbrook makes 3-pt shot from 25 ft
5:55.0,T. Hardaway makes 2-pt shot from 1 ft,2,98-97,,
5:35.0,,,98-97,,A. Roberson misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by Team,,98-97,,
5:35.0,Official timeout,,98-97,,
5:35.0,,,98-97,,A. Morrow enters the game for A. Roberson
5:27.0,Offensive foul by P. Millsap,,98-97,,
5:27.0,Turnover by P. Millsap (offensive foul),,98-97,,
5:17.0,Shooting block foul by T. Hardaway (drawn by R. Westbrook),,98-97,,
5:17.0,,,98-98,1,R. Westbrook makes free throw 1 of 2
5:17.0,,,98-99,1,R. Westbrook makes free throw 2 of 2
5:01.0,D. Schroder misses 3-pt shot from 24 ft,,98-99,,
5:01.0,,,98-99,,Defensive rebound by R. Westbrook
4:45.0,,,98-99,,R. Westbrook misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by T. Hardaway,,98-99,,
4:43.0,Offensive charge foul by T. Hardaway,,98-99,,
4:43.0,Turnover by T. Hardaway (offensive foul),,98-99,,
4:43.0,K. Bazemore enters the game for T. Hardaway,,98-99,,
4:34.0,,,98-102,3,J. Grant makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:27.0,Shooting foul by A. Morrow (drawn by K. Bazemore),,98-102,,
4:27.0,K. Bazemore misses free throw 1 of 2,,98-102,,
4:27.0,Offensive rebound by Team,,98-102,,
4:27.0,K. Bazemore misses free throw 2 of 2,,98-102,,
4:27.0,,,98-102,,Defensive rebound by R. Westbrook
4:05.0,,,98-104,2,R. Westbrook makes 2-pt shot from 19 ft
3:54.0,Shooting foul by A. Morrow (drawn by D. Schroder),,98-104,,
