time,Brooklyn,pts.away,score,pts.home,Sacramento
11:33.0,,,35-31,,Shooting foul by T. Booker (drawn by A. Tolliver)
11:33.0,,,35-32,1,A. Tolliver makes free throw 1 of 2
11:33.0,,,35-33,1,A. Tolliver makes free throw 2 of 2
11:17.0,S. Dinwiddie misses 2-pt shot from 7 ft,,35-33,,
11:16.0,,,35-33,,Defensive rebound by W. Cauley-Stein
10:57.0,,,35-35,2,B. Hield makes 2-pt shot from 3 ft
10:44.0,J. Harris makes 3-pt shot from 24 ft (assist by T. Booker),3,38-35,,
10:19.0,,,38-35,,A. Tolliver misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by S. Dinwiddie,,38-35,,
10:02.0,Turnover by I. Whitehead (lost ball; steal by B. Hield),,38-35,,
9:55.0,,,38-35,,Shooting foul by J. Hamilton (drawn by W. Cauley-Stein)
9:55.0,,,38-35,,W. Cauley-Stein misses free throw 1 of 2
9:55.0,,,38-35,,Offensive rebound by Team
9:55.0,,,38-36,1,W. Cauley-Stein makes free throw 2 of 2
9:55.0,Q. Acy enters the game for J. Hamilton,,38-35,,
9:44.0,I. Whitehead makes 2-pt shot from 4 ft,2,40-36,,
9:44.0,Shooting foul by T. Lawson (drawn by I. Whitehead),,40-36,,
9:44.0,I. Whitehead makes free throw 1 of 1,1,41-36,,
9:20.0,,,41-36,,B. Hield misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by J. Harris,,41-36,,
9:02.0,S. Dinwiddie misses 2-pt shot from 19 ft,,41-36,,
9:00.0,Offensive rebound by Team,,41-36,,
8:42.0,Turnover by T. Booker (lost ball),,41-36,,
8:42.0,Official timeout,,41-36,,
8:26.0,,,41-36,,Turnover by W. Cauley-Stein (dbl dribble)
8:01.0,T. Booker makes 2-pt shot from 13 ft,2,43-36,,
7:43.0,,,43-39,3,T. Evans makes 3-pt shot from 25 ft
7:32.0,S. Dinwiddie misses 2-pt shot from 9 ft (block by T. Evans),,43-39,,
7:31.0,Offensive rebound by S. Dinwiddie,,43-39,,
7:24.0,Q. Acy misses 3-pt shot from 24 ft,,43-39,,
7:24.0,,,43-39,,Defensive rebound by Team
7:24.0,B. Lopez enters the game for T. Booker,,43-39,,
7:04.0,,,43-39,,T. Evans misses 2-pt shot from 14 ft
7:03.0,Defensive rebound by Q. Acy,,43-39,,
6:55.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,45-39,,
6:37.0,,,45-39,,A. Tolliver misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by I. Whitehead,,45-39,,
6:27.0,I. Whitehead makes 2-pt shot from 5 ft,2,47-39,,
6:21.0,,,47-39,,Sacramento full timeout
6:21.0,S. Kilpatrick enters the game for I. Whitehead,,47-39,,
6:06.0,,,47-39,,A. Tolliver misses 3-pt shot from 25 ft
6:06.0,,,47-39,,Offensive rebound by Team
6:06.0,Loose ball foul by J. Harris (drawn by W. Cauley-Stein),,47-39,,
5:53.0,,,47-39,,B. Hield misses 2-pt shot from 11 ft
5:53.0,Defensive rebound by Q. Acy,,47-39,,
5:40.0,S. Dinwiddie misses 2-pt shot from 2 ft,,47-39,,
5:39.0,,,47-39,,Defensive rebound by T. Evans
5:21.0,,,47-42,3,B. Hield makes 3-pt shot from 25 ft (assist by T. Lawson)
5:10.0,B. Lopez misses 3-pt shot from 28 ft,,47-42,,
5:09.0,,,47-42,,Defensive rebound by A. Tolliver
5:02.0,,,47-42,,Turnover by B. Hield (lost ball)
5:02.0,J. Lin enters the game for S. Dinwiddie,,47-42,,
5:02.0,C. LeVert enters the game for J. Harris,,47-42,,
5:02.0,,,47-42,,D. Collison enters the game for T. Lawson
5:02.0,,,47-42,,A. Afflalo enters the game for B. Hield
4:46.0,C. LeVert misses 2-pt shot from 18 ft,,47-42,,
4:46.0,,,47-42,,Defensive rebound by A. Tolliver
4:36.0,Personal foul by S. Kilpatrick (drawn by A. Afflalo),,47-42,,
4:36.0,,,47-42,,K. Koufos enters the game for A. Tolliver
4:36.0,R. Hollis-Jefferson enters the game for Q. Acy,,47-42,,
4:28.0,,,47-45,3,T. Evans makes 3-pt shot from 25 ft
4:17.0,B. Lopez makes 2-pt shot at rim (assist by J. Lin),2,49-45,,
4:03.0,,,49-45,,T. Evans misses 3-pt shot from 22 ft
4:03.0,Defensive rebound by Team,,49-45,,
4:03.0,,,49-45,,Personal foul by W. Cauley-Stein (drawn by R. Hollis-Jefferson)
3:38.0,B. Lopez misses 3-pt shot from 26 ft,,49-45,,
3:38.0,,,49-45,,Defensive rebound by T. Evans
3:28.0,,,49-45,,K. Koufos misses 2-pt shot from 7 ft
3:26.0,,,49-45,,Offensive rebound by K. Koufos
3:26.0,,,49-45,,K. Koufos misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by B. Lopez,,49-45,,
3:23.0,Shooting foul by D. Collison (drawn by R. Hollis-Jefferson),,49-45,,
3:23.0,R. Hollis-Jefferson makes free throw 1 of 2,1,50-45,,
3:23.0,R. Hollis-Jefferson makes free throw 2 of 2,1,51-45,,
3:11.0,,,51-45,,Turnover by W. Cauley-Stein (bad pass; steal by R. Hollis-Jefferson)
3:07.0,J. Lin misses 2-pt shot from 2 ft,,51-45,,
3:07.0,,,51-45,,Defensive rebound by Team
2:56.0,,,51-47,2,D. Collison makes 2-pt shot from 15 ft
2:52.0,Turnover by J. Lin (bad pass),,51-47,,
2:52.0,Brooklyn full timeout,,51-47,,
2:52.0,,,51-47,,T. Lawson enters the game for W. Cauley-Stein
2:52.0,,,51-47,,A. Tolliver enters the game for T. Evans
2:27.0,,,51-47,,D. Collison misses 2-pt shot from 4 ft
2:27.0,Defensive rebound by B. Lopez,,51-47,,
2:17.0,J. Lin makes 3-pt shot from 25 ft,3,54-47,,
1:51.0,,,54-50,3,T. Lawson makes 3-pt shot from 26 ft
1:35.0,S. Kilpatrick misses 3-pt shot from 25 ft,,54-50,,
1:35.0,,,54-50,,Defensive rebound by A. Tolliver
1:24.0,,,54-52,2,T. Lawson makes 2-pt shot from 14 ft
1:08.0,B. Lopez makes 2-pt shot from 13 ft (assist by C. LeVert),2,56-52,,
1:00.0,,,56-54,2,T. Lawson makes 2-pt shot from 15 ft
0:48.0,B. Lopez misses 2-pt shot from 10 ft,,56-54,,
0:47.0,,,56-54,,Defensive rebound by A. Tolliver
0:36.0,,,56-54,,Turnover by T. Lawson (bad pass; steal by C. LeVert)
0:32.0,,,56-54,,Personal foul by T. Lawson (drawn by S. Kilpatrick)
0:27.0,Shooting foul by A. Tolliver (drawn by B. Lopez),,56-54,,
0:27.0,B. Lopez makes free throw 1 of 2,1,57-54,,
0:27.0,B. Lopez misses free throw 2 of 2,,57-54,,
0:25.0,Offensive rebound by C. LeVert,,57-54,,
0:01.0,Turnover by Team (shot clock),,57-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,C. LeVert misses 2-pt shot from 3 ft (block by S. Labissiere),,57-54,,
12:00.0,Offensive rebound by Team,,57-54,,
11:40.0,J. Lin misses 2-pt shot from 21 ft,,57-54,,
11:39.0,,,57-54,,Defensive rebound by S. Labissiere
11:24.0,,,57-56,2,B. McLemore makes 2-pt shot from 19 ft
11:03.0,B. Lopez misses 2-pt shot from 9 ft,,57-56,,
11:02.0,,,57-56,,Defensive rebound by B. McLemore
10:52.0,,,57-56,,K. Koufos misses 2-pt shot from 10 ft
10:51.0,Defensive rebound by B. Lopez,,57-56,,
10:41.0,J. Lin makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson),2,59-56,,
10:26.0,Personal foul by J. Lin (drawn by K. Koufos),,59-56,,
10:14.0,,,59-56,,Offensive foul by D. Collison
10:14.0,,,59-56,,Turnover by D. Collison (offensive foul)
10:01.0,R. Foye makes 3-pt shot from 23 ft (assist by J. Lin),3,62-56,,
9:45.0,,,62-56,,B. McLemore misses 2-pt shot from 4 ft
9:45.0,Defensive rebound by B. Lopez,,62-56,,
9:39.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,62-56,,
9:39.0,Offensive rebound by C. LeVert,,62-56,,
9:37.0,C. LeVert makes 2-pt shot from 1 ft,2,64-56,,
9:19.0,,,64-56,,Shooting foul by R. Hollis-Jefferson (drawn by S. Labissiere)
9:19.0,,,64-57,1,S. Labissiere makes free throw 1 of 2
9:19.0,,,64-58,1,S. Labissiere makes free throw 2 of 2
9:04.0,Turnover by C. LeVert (bad pass; steal by S. Labissiere),,64-58,,
8:49.0,,,64-58,,A. Afflalo misses 2-pt shot from 6 ft
8:49.0,Defensive rebound by R. Hollis-Jefferson,,64-58,,
8:34.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,64-58,,
8:33.0,,,64-58,,Defensive rebound by K. Koufos
8:22.0,,,64-58,,Turnover by D. Collison (bad pass; steal by C. LeVert)
8:17.0,C. LeVert makes 2-pt shot at rim,2,66-58,,
7:57.0,Shooting block foul by C. LeVert (drawn by B. McLemore),,66-58,,
7:57.0,,,66-59,1,B. McLemore makes free throw 1 of 2
7:57.0,,,66-60,1,B. McLemore makes free throw 2 of 2
7:47.0,Offensive foul by B. Lopez,,66-60,,
7:47.0,Turnover by B. Lopez (offensive foul),,66-60,,
7:35.0,,,66-60,,D. Collison misses 2-pt shot from 16 ft
7:35.0,Defensive rebound by R. Foye,,66-60,,
7:32.0,,,66-60,,Personal foul by K. Koufos (drawn by B. Lopez)
7:19.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft (block by D. Collison),,66-60,,
7:19.0,Offensive rebound by Team,,66-60,,
7:16.0,Shooting foul by B. McLemore (drawn by J. Lin),,66-60,,
7:16.0,J. Lin misses free throw 1 of 2,,66-60,,
7:16.0,Offensive rebound by Team,,66-60,,
7:16.0,J. Lin makes free throw 2 of 2,1,67-60,,
7:01.0,Personal foul by R. Foye (drawn by S. Labissiere),,67-60,,
7:01.0,,,67-60,,Sacramento full timeout
7:01.0,S. Dinwiddie enters the game for J. Lin,,67-60,,
6:48.0,,,67-62,2,D. Collison makes 2-pt shot from 19 ft
6:35.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,67-62,,
6:34.0,,,67-62,,Defensive rebound by A. Afflalo
6:17.0,,,67-62,,Shooting foul by R. Foye (drawn by A. Afflalo)
6:17.0,,,67-63,1,A. Afflalo makes free throw 1 of 2
6:17.0,,,67-64,1,A. Afflalo makes free throw 2 of 2
6:11.0,Shooting foul by S. Labissiere (drawn by R. Hollis-Jefferson),,67-64,,
6:11.0,R. Hollis-Jefferson makes free throw 1 of 2,1,68-64,,
6:11.0,R. Hollis-Jefferson misses free throw 2 of 2,,68-64,,
6:10.0,,,68-64,,Defensive rebound by K. Koufos
5:55.0,,,68-64,,B. McLemore misses 2-pt shot from 22 ft
5:54.0,Defensive rebound by C. LeVert,,68-64,,
5:40.0,C. LeVert makes 2-pt shot from 15 ft,2,70-64,,
5:17.0,,,70-64,,B. McLemore misses 2-pt shot from 5 ft
5:17.0,Defensive rebound by Team,,70-64,,
5:17.0,,,70-64,,A. Tolliver enters the game for S. Labissiere
5:17.0,,,70-64,,W. Cauley-Stein enters the game for K. Koufos
5:11.0,,,70-64,,Personal foul by W. Cauley-Stein (drawn by B. Lopez)
5:11.0,S. Kilpatrick enters the game for R. Foye,,70-64,,
5:11.0,J. Harris enters the game for C. LeVert,,70-64,,
5:11.0,T. Booker enters the game for R. Hollis-Jefferson,,70-64,,
5:00.0,B. Lopez makes 2-pt shot from 10 ft,2,72-64,,
4:45.0,,,72-64,,Shooting foul by J. Harris (drawn by A. Tolliver)
4:45.0,,,72-65,1,A. Tolliver makes free throw 1 of 2
4:45.0,,,72-65,,A. Tolliver misses free throw 2 of 2
4:45.0,,,72-65,,T. Lawson enters the game for B. McLemore
4:45.0,,,72-65,,B. Hield enters the game for D. Collison
4:44.0,Defensive rebound by T. Booker,,72-65,,
4:36.0,Offensive foul by J. Harris,,72-65,,
4:36.0,Turnover by J. Harris (offensive foul),,72-65,,
4:22.0,,,72-65,,Turnover by B. Hield (bad pass)
4:10.0,Offensive foul by B. Lopez,,72-65,,
4:10.0,Turnover by B. Lopez (offensive foul),,72-65,,
4:10.0,J. Hamilton enters the game for B. Lopez,,72-65,,
3:55.0,,,72-68,3,B. Hield makes 3-pt shot from 25 ft (assist by T. Lawson)
3:37.0,J. Harris misses 3-pt shot from 26 ft,,72-68,,
3:37.0,,,72-68,,Defensive rebound by W. Cauley-Stein
3:37.0,Personal foul by T. Booker (drawn by W. Cauley-Stein),,72-68,,
3:37.0,,,72-69,1,W. Cauley-Stein makes free throw 1 of 2
3:37.0,,,72-70,1,W. Cauley-Stein makes free throw 2 of 2
3:13.0,T. Booker makes 2-pt shot from 10 ft,2,74-70,,
2:57.0,,,74-70,,Turnover by T. Lawson (bad pass; steal by J. Hamilton)
2:55.0,,,74-70,,Personal foul by B. Hield (drawn by S. Kilpatrick)
2:55.0,Brooklyn full timeout,,74-70,,
2:55.0,S. Kilpatrick makes free throw 1 of 2,1,75-70,,
2:55.0,S. Kilpatrick makes free throw 2 of 2,1,76-70,,
2:55.0,I. Whitehead enters the game for S. Dinwiddie,,74-70,,
2:37.0,,,76-70,,A. Afflalo misses 2-pt shot from 8 ft
2:36.0,Defensive rebound by J. Harris,,76-70,,
2:24.0,Turnover by S. Kilpatrick (bad pass),,76-70,,
2:09.0,,,76-70,,B. Hield misses 2-pt shot from 12 ft
2:08.0,Defensive rebound by S. Kilpatrick,,76-70,,
2:02.0,Turnover by S. Kilpatrick (lost ball; steal by W. Cauley-Stein),,76-70,,
1:50.0,,,76-70,,T. Lawson misses 2-pt shot from 19 ft
1:47.0,Defensive rebound by T. Booker,,76-70,,
1:42.0,T. Booker misses 2-pt shot from 3 ft,,76-70,,
1:41.0,,,76-70,,Defensive rebound by T. Lawson
1:35.0,,,76-70,,A. Tolliver misses 3-pt shot from 26 ft
1:33.0,,,76-70,,Offensive rebound by B. Hield
1:26.0,,,76-70,,B. Hield misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by T. Booker,,76-70,,
1:18.0,J. Harris makes 3-pt shot from 25 ft (assist by T. Booker),3,79-70,,
1:18.0,,,79-70,,Sacramento full timeout
1:08.0,Personal foul by J. Harris (drawn by A. Afflalo),,79-70,,
1:08.0,,,79-71,1,A. Afflalo makes free throw 1 of 2
1:08.0,,,79-72,1,A. Afflalo makes free throw 2 of 2
1:01.0,Offensive foul by I. Whitehead,,79-72,,
1:01.0,Turnover by I. Whitehead (offensive foul),,79-72,,
0:41.0,,,79-72,,A. Tolliver misses 3-pt shot from 27 ft
0:40.0,Defensive rebound by S. Kilpatrick,,79-72,,
0:28.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,81-72,,
0:05.0,,,81-72,,Turnover by T. Lawson (lost ball)
0:00.0,T. Booker misses 2-pt shot from 3 ft,,81-72,,
0:00.0,Offensive rebound by Team,,81-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,81-74,2,W. Cauley-Stein makes 2-pt shot at rim (assist by A. Tolliver)
11:27.0,J. Hamilton misses 3-pt shot from 27 ft,,81-74,,
11:26.0,,,81-74,,Defensive rebound by T. Evans
11:16.0,,,81-74,,A. Tolliver misses 3-pt shot from 25 ft
11:15.0,,,81-74,,Offensive rebound by W. Cauley-Stein
11:14.0,Personal foul by S. Dinwiddie (drawn by W. Cauley-Stein),,81-74,,
11:06.0,,,81-76,2,W. Cauley-Stein makes 2-pt shot from 12 ft (assist by T. Lawson)
10:45.0,Shooting foul by A. Tolliver (drawn by S. Dinwiddie),,81-76,,
10:45.0,S. Dinwiddie makes free throw 1 of 2,1,82-76,,
10:45.0,S. Dinwiddie makes free throw 2 of 2,1,83-76,,
10:22.0,,,83-78,2,B. Hield makes 2-pt shot from 4 ft
10:13.0,Q. Acy enters the game for J. Hamilton,,83-78,,
10:06.0,Offensive foul by I. Whitehead,,83-78,,
10:06.0,Turnover by I. Whitehead (offensive foul),,83-78,,
9:41.0,,,83-78,,T. Lawson misses 2-pt shot from 5 ft
9:40.0,Defensive rebound by J. Harris,,83-78,,
9:37.0,Shooting foul by T. Evans (drawn by I. Whitehead),,83-78,,
9:37.0,I. Whitehead makes free throw 1 of 2,1,84-78,,
9:37.0,I. Whitehead makes free throw 2 of 2,1,85-78,,
9:21.0,,,85-78,,T. Evans misses 2-pt shot from 5 ft
9:20.0,,,85-78,,Offensive rebound by T. Evans
9:20.0,,,85-78,,T. Evans misses 2-pt shot from 2 ft
9:19.0,,,85-78,,Offensive rebound by W. Cauley-Stein
9:18.0,,,85-78,,W. Cauley-Stein misses 2-pt shot from 5 ft
9:17.0,Defensive rebound by S. Dinwiddie,,85-78,,
9:04.0,Shooting foul by W. Cauley-Stein (drawn by I. Whitehead),,85-78,,
9:04.0,I. Whitehead makes free throw 1 of 2,1,86-78,,
9:04.0,I. Whitehead makes free throw 2 of 2,1,87-78,,
9:04.0,S. Kilpatrick enters the game for J. Harris,,86-78,,
8:56.0,,,87-78,,Offensive foul by W. Cauley-Stein
8:56.0,,,87-78,,Turnover by W. Cauley-Stein (offensive foul)
8:56.0,Official timeout,,87-78,,
8:49.0,Turnover by T. Booker (lost ball),,87-78,,
8:31.0,,,87-78,,T. Evans misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by S. Dinwiddie,,87-78,,
8:18.0,Q. Acy makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,90-78,,
8:08.0,,,90-78,,W. Cauley-Stein misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by Q. Acy,,90-78,,
7:56.0,Shooting foul by T. Lawson (drawn by Q. Acy),,90-78,,
7:56.0,Q. Acy misses free throw 1 of 2,,90-78,,
7:56.0,Offensive rebound by Team,,90-78,,
7:56.0,Q. Acy makes free throw 2 of 2,1,91-78,,
7:56.0,,,90-78,,S. Labissiere enters the game for A. Tolliver
7:32.0,,,91-80,2,S. Labissiere makes 2-pt shot from 12 ft (assist by T. Lawson)
7:20.0,S. Kilpatrick misses 2-pt shot from 2 ft,,91-80,,
7:19.0,Offensive rebound by T. Booker,,91-80,,
7:19.0,T. Booker misses 2-pt shot from 1 ft,,91-80,,
7:18.0,,,91-80,,Defensive rebound by W. Cauley-Stein
7:08.0,,,91-82,2,S. Labissiere makes 2-pt shot from 12 ft
6:42.0,S. Kilpatrick misses 3-pt shot from 24 ft,,91-82,,
6:42.0,Offensive rebound by T. Booker,,91-82,,
6:39.0,Turnover by T. Booker (bad pass; steal by W. Cauley-Stein),,91-82,,
6:37.0,,,91-82,,Turnover by B. Hield (back court)
6:37.0,B. Lopez enters the game for S. Dinwiddie,,91-82,,
6:37.0,C. LeVert enters the game for T. Booker,,91-82,,
6:37.0,,,91-82,,D. Collison enters the game for W. Cauley-Stein
6:30.0,,,91-82,,Personal foul by S. Labissiere (drawn by B. Lopez)
6:30.0,B. Lopez makes free throw 1 of 2,1,92-82,,
6:30.0,B. Lopez makes free throw 2 of 2,1,93-82,,
6:14.0,,,93-82,,Turnover by D. Collison (lost ball; steal by S. Kilpatrick)
6:03.0,B. Lopez makes 2-pt shot from 3 ft,2,95-82,,
5:56.0,,,95-82,,Sacramento full timeout
5:56.0,,,95-82,,K. Koufos enters the game for S. Labissiere
5:34.0,,,95-84,2,D. Collison makes 2-pt shot from 13 ft (assist by T. Lawson)
5:26.0,Turnover by B. Lopez (bad pass; steal by D. Collison),,95-84,,
5:07.0,,,95-84,,K. Koufos misses 2-pt shot from 5 ft (block by Q. Acy)
5:07.0,,,95-84,,Offensive rebound by K. Koufos
5:07.0,,,95-84,,K. Koufos misses 2-pt shot from 5 ft
5:06.0,Defensive rebound by Team,,95-84,,
5:06.0,J. Lin enters the game for S. Kilpatrick,,95-84,,
