time,Phoenix,pts.away,score,pts.home,LA Clippers
10:23.0,Defensive rebound by L. Barbosa,,26-28,,
10:15.0,A. Len makes 2-pt shot from 2 ft (assist by L. Barbosa),2,28-28,,
10:01.0,,,28-28,,M. Speights misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by P. Tucker,,28-28,,
9:53.0,Shooting foul by W. Johnson (drawn by A. Len),,28-28,,
9:53.0,A. Len misses free throw 1 of 2,,28-28,,
9:53.0,Offensive rebound by Team,,28-28,,
9:53.0,A. Len makes free throw 2 of 2,1,29-28,,
9:43.0,,,29-28,,A. Rivers misses 2-pt shot from 15 ft
9:41.0,Defensive rebound by L. Barbosa,,29-28,,
9:28.0,A. Len misses 2-pt shot from 1 ft,,29-28,,
9:27.0,Offensive rebound by A. Len,,29-28,,
9:24.0,A. Len misses 2-pt shot from 5 ft,,29-28,,
9:23.0,,,29-28,,Defensive rebound by M. Speights
9:17.0,,,29-28,,Turnover by M. Speights (bad pass; steal by A. Len)
9:16.0,,,29-28,,Personal take foul by M. Speights (drawn by L. Barbosa)
9:16.0,,,29-28,,D. Jordan enters the game for M. Speights
8:59.0,M. Chriss makes 2-pt shot from 22 ft (assist by A. Len),2,31-28,,
8:43.0,,,31-28,,A. Rivers misses 2-pt shot from 11 ft
8:43.0,Defensive rebound by Team,,31-28,,
8:39.0,,,31-28,,Loose ball foul by D. Jordan (drawn by P. Tucker)
8:39.0,Official timeout,,31-28,,
8:20.0,E. Bledsoe misses 2-pt shot from 17 ft,,31-28,,
8:19.0,,,31-28,,Defensive rebound by D. Jordan
8:03.0,,,31-28,,R. Felton misses 2-pt shot from 2 ft
8:02.0,Defensive rebound by A. Len,,31-28,,
8:00.0,Turnover by P. Tucker (step out of bounds),,31-28,,
8:00.0,,,31-28,,J. Redick enters the game for A. Rivers
8:00.0,,,31-28,,C. Paul enters the game for R. Felton
7:42.0,,,31-28,,J. Crawford misses 2-pt shot from 9 ft
7:42.0,,,31-28,,Offensive rebound by D. Jordan
7:37.0,,,31-28,,D. Jordan misses 2-pt shot from 5 ft
7:36.0,Defensive rebound by A. Len,,31-28,,
7:28.0,A. Len misses 2-pt shot from 16 ft,,31-28,,
7:27.0,,,31-28,,Defensive rebound by W. Johnson
7:17.0,,,31-30,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
7:06.0,Turnover by M. Chriss (lost ball; steal by C. Paul),,31-30,,
7:06.0,Loose ball foul by M. Chriss (drawn by W. Johnson),,31-30,,
7:06.0,,,31-30,,B. Griffin enters the game for W. Johnson
7:06.0,T. Warren enters the game for M. Chriss,,31-30,,
6:56.0,Personal foul by L. Barbosa (drawn by J. Redick),,31-30,,
6:56.0,J. Dudley enters the game for P. Tucker,,31-30,,
6:56.0,B. Knight enters the game for L. Barbosa,,31-30,,
6:56.0,T. Chandler enters the game for A. Len,,31-30,,
6:48.0,,,31-30,,J. Redick misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by T. Warren,,31-30,,
6:25.0,E. Bledsoe makes 2-pt shot from 9 ft,2,33-30,,
6:11.0,,,33-32,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
5:58.0,Turnover by B. Knight (bad pass; steal by J. Crawford),,33-32,,
5:57.0,Personal take foul by J. Dudley (drawn by J. Crawford),,33-32,,
5:57.0,,,33-32,,LA Clippers full timeout
5:57.0,,,33-32,,L. Mbah a Moute enters the game for J. Crawford
5:45.0,,,33-32,,J. Redick misses 2-pt shot from 16 ft
5:44.0,Defensive rebound by E. Bledsoe,,33-32,,
5:39.0,Turnover by T. Chandler (lost ball; steal by C. Paul),,33-32,,
5:35.0,Personal foul by J. Dudley (drawn by D. Jordan),,33-32,,
5:27.0,,,33-34,2,J. Redick makes 2-pt shot from 1 ft (assist by B. Griffin)
5:14.0,Turnover by E. Bledsoe (bad pass; steal by D. Jordan),,33-34,,
5:06.0,,,33-36,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick)
4:59.0,Turnover by J. Dudley (bad pass),,33-36,,
4:48.0,,,33-38,2,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute)
4:48.0,Phoenix full timeout,,33-38,,
4:35.0,T. Warren misses 2-pt shot from 11 ft,,33-38,,
4:34.0,,,33-38,,Defensive rebound by D. Jordan
4:27.0,Personal block foul by J. Dudley (drawn by B. Griffin),,33-38,,
4:27.0,,,33-39,1,B. Griffin makes free throw 1 of 2
4:27.0,,,33-40,1,B. Griffin makes free throw 2 of 2
4:27.0,P. Tucker enters the game for J. Dudley,,33-39,,
4:21.0,Offensive foul by E. Bledsoe,,33-40,,
4:21.0,Turnover by E. Bledsoe (offensive foul),,33-40,,
3:59.0,,,33-40,,C. Paul misses 3-pt shot from 25 ft
3:59.0,,,33-40,,Offensive rebound by Team
3:59.0,Loose ball foul by T. Warren (drawn by D. Jordan),,33-40,,
3:59.0,,,33-40,,D. Jordan misses free throw 1 of 2
3:59.0,,,33-40,,Offensive rebound by Team
3:59.0,,,33-40,,D. Jordan misses free throw 2 of 2
3:57.0,Defensive rebound by E. Bledsoe,,33-40,,
3:46.0,P. Tucker misses 2-pt shot from 10 ft,,33-40,,
3:46.0,,,33-40,,Defensive rebound by B. Griffin
3:36.0,Personal foul by T. Chandler (drawn by B. Griffin),,33-40,,
3:36.0,,,33-41,1,B. Griffin makes free throw 1 of 2
3:36.0,,,33-42,1,B. Griffin makes free throw 2 of 2
3:21.0,B. Knight misses 2-pt shot from 1 ft,,33-42,,
3:20.0,,,33-42,,Defensive rebound by D. Jordan
3:14.0,,,33-44,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
2:48.0,E. Bledsoe makes 2-pt shot from 6 ft,2,35-44,,
2:35.0,,,35-44,,Offensive foul by J. Redick
2:35.0,,,35-44,,Turnover by J. Redick (offensive foul)
2:13.0,Turnover by T. Warren (traveling),,35-44,,
1:53.0,,,35-46,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
1:43.0,E. Bledsoe misses 3-pt shot from 24 ft,,35-46,,
1:42.0,,,35-46,,Defensive rebound by C. Paul
1:39.0,,,35-46,,Turnover by D. Jordan (bad pass)
1:25.0,T. Warren misses 2-pt shot from 20 ft,,35-46,,
1:24.0,,,35-46,,Defensive rebound by C. Paul
1:23.0,Personal foul by E. Bledsoe (drawn by C. Paul),,35-46,,
1:23.0,,,35-47,1,C. Paul makes free throw 1 of 2
1:23.0,,,35-48,1,C. Paul makes free throw 2 of 2
1:16.0,Turnover by E. Bledsoe (bad pass; steal by J. Redick),,35-48,,
1:09.0,,,35-48,,Turnover by B. Griffin (bad pass)
0:49.0,Turnover by Team (back court),,35-48,,
0:27.0,,,35-48,,J. Redick misses 2-pt shot from 16 ft
0:25.0,Defensive rebound by E. Bledsoe,,35-48,,
0:23.0,Shooting foul by B. Griffin (drawn by T. Warren),,35-48,,
0:23.0,T. Warren misses free throw 1 of 2,,35-48,,
0:23.0,Offensive rebound by Team,,35-48,,
0:23.0,T. Warren makes free throw 2 of 2,1,36-48,,
0:23.0,,,35-48,,J. Crawford enters the game for L. Mbah a Moute
0:03.0,,,36-48,,C. Paul misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by T. Chandler,,36-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,36-48,,J. Redick misses 2-pt shot from 18 ft
11:44.0,Defensive rebound by J. Dudley,,36-48,,
11:30.0,E. Bledsoe misses 2-pt shot from 19 ft,,36-48,,
11:30.0,Offensive rebound by T. Chandler,,36-48,,
11:30.0,Shooting foul by D. Jordan (drawn by T. Chandler),,36-48,,
11:30.0,T. Chandler makes free throw 1 of 2,1,37-48,,
11:30.0,T. Chandler makes free throw 2 of 2,1,38-48,,
11:18.0,,,38-51,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
11:02.0,J. Dudley makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,41-51,,
10:47.0,Violation by J. Dudley (kicked ball),,41-51,,
10:45.0,Personal foul by T. Chandler (drawn by B. Griffin),,41-51,,
10:38.0,,,41-51,,Shooting foul by T. Chandler (drawn by D. Jordan)
10:38.0,Violation by Team (jump ball),,41-51,,
10:38.0,,,41-51,,D. Jordan misses free throw 1 of 2
10:38.0,,,41-51,,Offensive rebound by Team
10:38.0,,,41-52,1,D. Jordan makes free throw 2 of 2
10:17.0,T. Warren misses 2-pt shot from 19 ft,,41-52,,
10:17.0,Offensive rebound by T. Warren,,41-52,,
10:14.0,T. Warren misses 2-pt shot from 9 ft,,41-52,,
10:12.0,,,41-52,,Defensive rebound by C. Paul
10:08.0,,,41-52,,Turnover by J. Redick (bad pass)
9:56.0,E. Bledsoe misses 2-pt shot from 2 ft (block by B. Griffin),,41-52,,
9:56.0,Offensive rebound by E. Bledsoe,,41-52,,
9:56.0,,,41-52,,Loose ball foul by B. Griffin (drawn by E. Bledsoe)
9:50.0,,,41-52,,Violation by B. Griffin (def goaltending)
9:50.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,43-52,,
9:37.0,,,43-52,,J. Redick misses 2-pt shot from 19 ft
9:36.0,Defensive rebound by T. Chandler,,43-52,,
9:25.0,J. Dudley makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,45-52,,
9:09.0,,,45-52,,Turnover by B. Griffin (bad pass; steal by J. Dudley)
9:04.0,B. Knight makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,48-52,,
9:04.0,,,48-52,,LA Clippers full timeout
8:45.0,,,48-54,2,J. Redick makes 2-pt shot from 11 ft (assist by D. Jordan)
8:35.0,E. Bledsoe makes 2-pt shot from 2 ft,2,50-54,,
8:35.0,Shooting foul by C. Paul (drawn by E. Bledsoe),,50-54,,
8:35.0,E. Bledsoe makes free throw 1 of 1,1,51-54,,
8:19.0,,,51-54,,B. Griffin misses 2-pt shot from 14 ft
8:19.0,Defensive rebound by E. Bledsoe,,51-54,,
8:08.0,J. Dudley misses 2-pt shot from 2 ft,,51-54,,
8:08.0,,,51-54,,Defensive rebound by D. Jordan
7:59.0,,,51-54,,C. Paul misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by T. Warren,,51-54,,
7:50.0,J. Dudley misses 3-pt shot from 25 ft,,51-54,,
7:48.0,,,51-54,,Defensive rebound by D. Jordan
7:43.0,,,51-54,,Shooting foul by T. Warren (drawn by L. Mbah a Moute)
7:43.0,,,51-56,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
7:43.0,,,51-56,,L. Mbah a Moute misses free throw 1 of 1
7:40.0,Defensive rebound by T. Chandler,,51-56,,
7:29.0,E. Bledsoe misses 2-pt shot from 2 ft,,51-56,,
7:25.0,Offensive rebound by T. Chandler,,51-56,,
7:25.0,T. Chandler makes 2-pt shot at rim,2,53-56,,
7:16.0,,,53-56,,Turnover by C. Paul (bad pass; steal by J. Dudley)
7:12.0,Shooting foul by C. Paul (drawn by B. Knight),,53-56,,
7:12.0,B. Knight makes free throw 1 of 2,1,54-56,,
7:12.0,B. Knight makes free throw 2 of 2,1,55-56,,
7:05.0,Personal foul by B. Knight (drawn by J. Redick),,55-56,,
7:00.0,,,55-56,,Shooting foul by T. Chandler (drawn by D. Jordan)
7:00.0,,,55-57,1,D. Jordan makes free throw 1 of 2
7:00.0,,,55-58,1,D. Jordan makes free throw 2 of 2
7:00.0,A. Len enters the game for T. Chandler,,55-57,,
6:50.0,E. Bledsoe misses 2-pt shot from 19 ft,,55-58,,
6:48.0,,,55-58,,Defensive rebound by D. Jordan
6:41.0,Personal foul by J. Dudley (drawn by B. Griffin),,55-58,,
6:41.0,,,55-58,,B. Griffin misses free throw 1 of 2
6:41.0,,,55-58,,Offensive rebound by Team
6:41.0,,,55-59,1,B. Griffin makes free throw 2 of 2
6:41.0,M. Chriss enters the game for J. Dudley,,55-58,,
6:26.0,M. Chriss misses 2-pt shot from 3 ft (block by D. Jordan),,55-59,,
6:26.0,Offensive rebound by Team,,55-59,,
6:26.0,,,55-59,,A. Rivers enters the game for L. Mbah a Moute
6:24.0,Offensive charge foul by A. Len,,55-59,,
6:24.0,Turnover by A. Len (offensive foul),,55-59,,
6:11.0,,,55-61,2,C. Paul makes 2-pt shot from 17 ft
5:54.0,B. Knight makes 2-pt shot from 8 ft (assist by M. Chriss),2,57-61,,
5:44.0,,,57-63,2,C. Paul makes 2-pt shot from 15 ft
5:38.0,Shooting foul by D. Jordan (drawn by M. Chriss),,57-63,,
5:38.0,M. Chriss misses free throw 1 of 2,,57-63,,
5:38.0,Offensive rebound by Team,,57-63,,
5:38.0,M. Chriss makes free throw 2 of 2,1,58-63,,
5:21.0,,,58-65,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
5:11.0,B. Knight makes 2-pt shot from 19 ft,2,60-65,,
5:10.0,,,60-65,,Shooting foul by A. Len (drawn by B. Griffin)
5:10.0,Technical foul by A. Len (drawn by B. Griffin),,60-65,,
5:10.0,,,60-66,1,C. Paul makes technical free throw
5:10.0,,,60-67,1,B. Griffin makes free throw 1 of 2
5:10.0,,,60-67,,B. Griffin misses free throw 2 of 2
5:10.0,,,60-67,,J. Crawford enters the game for J. Redick
5:09.0,Defensive rebound by M. Chriss,,60-67,,
5:03.0,Shooting foul by B. Griffin (drawn by A. Len),,60-67,,
5:03.0,A. Len makes free throw 1 of 2,1,61-67,,
5:03.0,A. Len misses free throw 2 of 2,,61-67,,
5:02.0,,,61-67,,Defensive rebound by D. Jordan
4:45.0,,,61-67,,Shooting foul by M. Chriss (drawn by B. Griffin)
4:45.0,,,61-68,1,B. Griffin makes free throw 1 of 2
4:45.0,,,61-69,1,B. Griffin makes free throw 2 of 2
4:45.0,P. Tucker enters the game for M. Chriss,,61-68,,
4:28.0,B. Knight misses 2-pt shot from 18 ft,,61-69,,
4:26.0,,,61-69,,Defensive rebound by D. Jordan
4:14.0,Personal foul by T. Warren (drawn by C. Paul),,61-69,,
4:14.0,,,61-70,1,C. Paul makes free throw 1 of 2
4:14.0,,,61-70,,C. Paul misses free throw 2 of 2
4:14.0,T. Ulis enters the game for T. Warren,,61-70,,
4:13.0,Defensive rebound by P. Tucker,,61-70,,
3:54.0,P. Tucker makes 2-pt shot from 6 ft,2,63-70,,
3:34.0,,,63-72,2,C. Paul makes 2-pt shot from 2 ft
3:19.0,T. Ulis misses 2-pt shot from 14 ft,,63-72,,
3:19.0,,,63-72,,Defensive rebound by B. Griffin
3:04.0,,,63-72,,Turnover by C. Paul (bad pass; steal by P. Tucker)
3:04.0,,,63-72,,Personal take foul by D. Jordan (drawn by E. Bledsoe)
3:04.0,E. Bledsoe makes free throw 1 of 2,1,64-72,,
3:04.0,E. Bledsoe misses free throw 2 of 2,,64-72,,
3:04.0,,,64-72,,M. Speights enters the game for D. Jordan
3:04.0,,,64-72,,W. Johnson enters the game for B. Griffin
3:03.0,,,64-72,,Defensive rebound by W. Johnson
2:42.0,,,64-74,2,A. Rivers makes 2-pt shot from 2 ft
2:30.0,B. Knight misses 2-pt shot from 6 ft,,64-74,,
2:29.0,Offensive rebound by T. Ulis,,64-74,,
2:23.0,A. Len misses 2-pt shot from 13 ft,,64-74,,
2:23.0,Offensive rebound by P. Tucker,,64-74,,
2:21.0,Turnover by P. Tucker (bad pass; steal by J. Crawford),,64-74,,
2:19.0,,,64-76,2,C. Paul makes 2-pt shot from 2 ft (assist by J. Crawford)
2:19.0,Phoenix full timeout,,64-76,,
2:19.0,L. Barbosa enters the game for E. Bledsoe,,64-76,,
2:19.0,,,64-76,,R. Felton enters the game for C. Paul
2:06.0,A. Len misses 2-pt shot from 4 ft,,64-76,,
2:02.0,,,64-76,,Defensive rebound by M. Speights
1:56.0,,,64-76,,Shooting foul by A. Len (drawn by M. Speights)
1:56.0,,,64-77,1,M. Speights makes free throw 1 of 2
1:56.0,,,64-78,1,M. Speights makes free throw 2 of 2
1:32.0,P. Tucker misses 2-pt shot from 5 ft,,64-78,,
1:30.0,,,64-78,,Defensive rebound by M. Speights
1:24.0,,,64-78,,M. Speights misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by P. Tucker,,64-78,,
1:19.0,,,64-78,,Personal foul by M. Speights (drawn by A. Len)
1:19.0,A. Len makes free throw 1 of 2,1,65-78,,
1:19.0,A. Len makes free throw 2 of 2,1,66-78,,
1:00.0,,,66-78,,Shooting foul by P. Tucker (drawn by J. Crawford)
1:00.0,,,66-79,1,J. Crawford makes free throw 1 of 2
1:00.0,,,66-80,1,J. Crawford makes free throw 2 of 2
0:52.0,,,66-80,,Shooting block foul by M. Speights (drawn by B. Knight)
0:52.0,B. Knight makes free throw 1 of 2,1,67-80,,
0:52.0,B. Knight makes free throw 2 of 2,1,68-80,,
0:39.0,,,68-80,,R. Felton misses 2-pt shot from 16 ft
0:37.0,Defensive rebound by A. Len,,68-80,,
0:28.0,Turnover by B. Knight (lost ball; steal by M. Speights),,68-80,,
0:06.0,,,68-82,2,J. Crawford makes 2-pt shot from 20 ft
0:00.0,T. Ulis makes 2-pt shot from 4 ft,2,70-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,L. Barbosa makes 2-pt shot from 12 ft,2,72-82,,
11:10.0,,,72-82,,J. Crawford misses 2-pt shot from 16 ft
11:10.0,,,72-82,,Offensive rebound by Team
10:59.0,,,72-85,3,W. Johnson makes 3-pt shot from 25 ft (assist by A. Rivers)
10:42.0,A. Len misses 2-pt shot from 8 ft,,72-85,,
10:41.0,,,72-85,,Defensive rebound by W. Johnson
10:35.0,,,72-85,,Turnover by A. Rivers (lost ball; steal by L. Barbosa)
10:30.0,L. Barbosa makes 2-pt shot from 17 ft (assist by D. Bender),2,74-85,,
10:16.0,Personal foul by P. Tucker (drawn by A. Rivers),,74-85,,
10:10.0,,,74-85,,A. Rivers misses 2-pt shot from 3 ft
10:10.0,,,74-85,,Offensive rebound by M. Speights
10:10.0,,,74-85,,Shooting foul by A. Len (drawn by M. Speights)
10:10.0,,,74-86,1,M. Speights makes free throw 1 of 2
10:10.0,,,74-87,1,M. Speights makes free throw 2 of 2
10:10.0,M. Chriss enters the game for A. Len,,74-86,,
9:49.0,P. Tucker makes 2-pt shot from 2 ft,2,76-87,,
9:29.0,,,76-87,,J. Crawford misses 2-pt shot from 3 ft
9:29.0,,,76-87,,Offensive rebound by M. Speights
9:26.0,,,76-89,2,M. Speights makes 2-pt shot from 1 ft
9:15.0,,,76-89,,Personal foul by M. Speights (drawn by M. Chriss)
9:15.0,,,76-89,,B. Griffin enters the game for W. Johnson
9:09.0,L. Barbosa misses 3-pt shot from 24 ft,,76-89,,
9:08.0,,,76-89,,Defensive rebound by J. Crawford
8:59.0,,,76-91,2,J. Crawford makes 2-pt shot from 1 ft
8:53.0,Phoenix full timeout,,76-91,,
8:53.0,E. Bledsoe enters the game for T. Ulis,,76-91,,
8:53.0,J. Dudley enters the game for M. Chriss,,76-91,,
8:53.0,T. Chandler enters the game for P. Tucker,,76-91,,
8:53.0,T. Warren enters the game for L. Barbosa,,76-91,,
8:53.0,B. Knight enters the game for D. Bender,,76-91,,
8:36.0,T. Warren misses 2-pt shot from 15 ft,,76-91,,
8:36.0,,,76-91,,Defensive rebound by B. Griffin
8:29.0,,,76-93,2,J. Crawford makes 2-pt shot from 18 ft
