time,Washington,pts.away,score,pts.home,Phoenix
7:53.0,I. Mahinmi enters the game for M. Gortat,,8-11,,
7:39.0,I. Mahinmi misses 2-pt shot from 5 ft,,8-12,,
7:37.0,,,8-12,,Defensive rebound by A. Len
7:30.0,,,8-12,,E. Bledsoe misses 2-pt shot from 17 ft
7:28.0,,,8-12,,Offensive rebound by A. Len
7:28.0,,,8-12,,Turnover by A. Len (lost ball; steal by B. Beal)
7:18.0,,,8-12,,Def 3 sec tech foul by A. Len
7:18.0,B. Beal makes technical free throw,1,9-12,,
7:16.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,11-12,,
7:01.0,,,11-14,2,T. Warren makes 2-pt shot from 11 ft
6:41.0,B. Beal makes 2-pt shot from 1 ft,2,13-14,,
6:35.0,,,13-14,,Turnover by E. Bledsoe (bad pass; steal by M. Morris)
6:27.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,16-14,,
6:03.0,,,16-14,,E. Bledsoe misses 3-pt shot from 31 ft
6:01.0,Defensive rebound by I. Mahinmi,,16-14,,
5:57.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,19-14,,
5:56.0,,,19-14,,Phoenix full timeout
5:56.0,,,19-14,,A. Williams enters the game for A. Len
5:41.0,,,19-14,,Turnover by D. Booker (bad pass; steal by I. Mahinmi)
5:38.0,Shooting foul by A. Williams (drawn by M. Morris),,19-14,,
5:38.0,M. Morris makes free throw 1 of 2,1,20-14,,
5:38.0,M. Morris makes free throw 2 of 2,1,21-14,,
5:19.0,,,21-14,,E. Bledsoe misses 2-pt shot from 1 ft
5:17.0,Defensive rebound by I. Mahinmi,,21-14,,
5:06.0,Shooting foul by M. Chriss (drawn by I. Mahinmi),,21-14,,
5:06.0,I. Mahinmi misses free throw 1 of 2,,21-14,,
5:06.0,Offensive rebound by Team,,21-14,,
5:06.0,I. Mahinmi makes free throw 2 of 2,1,22-14,,
5:06.0,B. Bogdanovic enters the game for B. Beal,,21-14,,
4:56.0,,,22-14,,D. Booker misses 2-pt shot from 18 ft
4:54.0,,,22-14,,Offensive rebound by M. Chriss
4:54.0,,,22-14,,M. Chriss misses 2-pt shot from 2 ft
4:53.0,Defensive rebound by B. Bogdanovic,,22-14,,
4:48.0,Turnover by I. Mahinmi (traveling),,22-14,,
4:33.0,,,22-16,2,A. Williams makes 2-pt shot from 8 ft (assist by D. Booker)
4:28.0,Shooting foul by M. Chriss (drawn by J. Wall),,22-16,,
4:28.0,J. Wall misses free throw 1 of 2,,22-16,,
4:28.0,Offensive rebound by Team,,22-16,,
4:28.0,J. Wall misses free throw 2 of 2,,22-16,,
4:28.0,J. Smith enters the game for M. Morris,,22-16,,
4:28.0,,,22-16,,J. Dudley enters the game for M. Chriss
4:27.0,,,22-16,,Defensive rebound by A. Williams
4:18.0,,,22-16,,D. Booker misses 2-pt shot from 8 ft
4:15.0,Defensive rebound by I. Mahinmi,,22-16,,
4:04.0,Shooting foul by T. Warren (drawn by I. Mahinmi),,22-16,,
4:04.0,I. Mahinmi makes free throw 1 of 2,1,23-16,,
4:04.0,I. Mahinmi makes free throw 2 of 2,1,24-16,,
3:57.0,,,24-16,,Turnover by E. Bledsoe (lost ball)
3:46.0,J. Wall misses 2-pt shot from 19 ft,,24-16,,
3:42.0,,,24-16,,Defensive rebound by D. Booker
3:38.0,,,24-16,,D. Booker misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by O. Porter,,24-16,,
3:27.0,O. Porter misses 2-pt shot from 17 ft,,24-16,,
3:27.0,Offensive rebound by Team,,24-16,,
3:27.0,,,24-16,,Loose ball foul by D. Booker (drawn by B. Bogdanovic)
3:27.0,B. Bogdanovic makes free throw 1 of 2,1,25-16,,
3:27.0,B. Bogdanovic makes free throw 2 of 2,1,26-16,,
3:27.0,,,25-16,,T. Ulis enters the game for E. Bledsoe
3:27.0,B. Jennings enters the game for J. Wall,,25-16,,
3:09.0,,,26-16,,Turnover by D. Booker (lost ball; steal by I. Mahinmi)
2:58.0,I. Mahinmi makes 2-pt shot from 8 ft (assist by B. Jennings),2,28-16,,
2:48.0,,,28-18,2,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis)
2:42.0,Washington full timeout,,28-18,,
2:35.0,O. Porter makes 2-pt shot from 18 ft,2,30-18,,
2:27.0,,,30-18,,Turnover by D. Booker (lost ball; steal by J. Smith)
2:22.0,Shooting foul by J. Dudley (drawn by B. Bogdanovic),,30-18,,
2:22.0,B. Bogdanovic makes free throw 1 of 2,1,31-18,,
2:22.0,B. Bogdanovic makes free throw 2 of 2,1,32-18,,
2:22.0,K. Oubre enters the game for O. Porter,,31-18,,
2:12.0,,,32-18,,J. Dudley misses 2-pt shot from 19 ft
2:10.0,,,32-18,,Offensive rebound by T. Warren
2:06.0,,,32-20,2,T. Warren makes 2-pt shot from 14 ft
1:52.0,Shooting foul by A. Williams (drawn by J. Smith),,32-20,,
1:52.0,J. Smith makes free throw 1 of 2,1,33-20,,
1:52.0,J. Smith makes free throw 2 of 2,1,34-20,,
1:36.0,,,34-20,,T. Warren misses 2-pt shot from 14 ft
1:34.0,Defensive rebound by J. Smith,,34-20,,
1:24.0,K. Oubre misses 2-pt shot from 19 ft,,34-20,,
1:21.0,,,34-20,,Defensive rebound by T. Warren
1:17.0,,,34-22,2,D. Booker makes 2-pt shot from 1 ft (assist by T. Warren)
1:17.0,,,34-22,,Shooting foul by K. Oubre (drawn by D. Booker)
1:17.0,,,34-22,,D. Booker misses free throw 1 of 1
1:16.0,,,34-22,,Offensive rebound by D. Booker
1:08.0,,,34-22,,A. Williams misses 2-pt shot from 7 ft
1:04.0,Defensive rebound by J. Smith,,34-22,,
0:48.0,B. Jennings misses 2-pt shot from 7 ft,,34-22,,
0:48.0,Offensive rebound by Team,,34-22,,
0:46.0,J. Smith misses 2-pt shot from 19 ft,,34-22,,
0:45.0,Offensive rebound by Team,,34-22,,
0:45.0,,,34-22,,Loose ball foul by T. Warren
0:45.0,B. Bogdanovic makes free throw 1 of 2,1,35-22,,
0:45.0,B. Bogdanovic makes free throw 2 of 2,1,36-22,,
0:45.0,,,35-22,,L. Barbosa enters the game for T. Warren
0:38.0,,,36-22,,A. Williams misses 2-pt shot at rim
0:35.0,,,36-22,,Offensive rebound by A. Williams
0:35.0,,,36-24,2,A. Williams makes 2-pt shot from 2 ft
0:35.0,Shooting block foul by I. Mahinmi (drawn by A. Williams),,36-24,,
0:35.0,,,36-25,1,A. Williams makes free throw 1 of 1
0:18.0,B. Jennings makes 2-pt shot from 22 ft,2,38-25,,
0:01.0,,,38-25,,D. Booker misses 2-pt shot from 9 ft
0:00.0,Defensive rebound by I. Mahinmi,,38-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,I. Mahinmi misses 2-pt shot from 4 ft,,38-25,,
11:39.0,,,38-25,,Defensive rebound by A. Williams
11:31.0,,,38-25,,Turnover by T. Ulis (lost ball; steal by I. Mahinmi)
11:26.0,B. Jennings misses 2-pt shot from 1 ft,,38-25,,
11:24.0,Offensive rebound by I. Mahinmi,,38-25,,
11:24.0,I. Mahinmi makes 2-pt shot at rim,2,40-25,,
11:19.0,,,40-27,2,D. Jones makes 2-pt shot at rim (assist by T. Ulis)
11:04.0,,,40-27,,Def 3 sec tech foul by A. Williams
11:04.0,B. Bogdanovic makes technical free throw,1,41-27,,
10:59.0,Turnover by B. Jennings (bad pass; steal by J. Dudley),,41-27,,
10:55.0,,,41-29,2,D. Jones makes 2-pt shot at rim (assist by J. Dudley)
10:45.0,Offensive foul by J. Smith,,41-29,,
10:45.0,Turnover by J. Smith (offensive foul),,41-29,,
10:45.0,,,41-29,,Technical foul by J. Dudley
10:45.0,Technical foul by B. Jennings,,41-29,,
10:45.0,,,41-29,,T. Warren enters the game for J. Dudley
10:45.0,J. Wall enters the game for B. Jennings,,41-29,,
10:37.0,,,41-29,,L. Barbosa misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by J. Smith,,41-29,,
10:24.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Wall),3,44-29,,
10:03.0,Personal foul by K. Oubre (drawn by A. Williams),,44-29,,
9:57.0,,,44-29,,T. Ulis misses 2-pt shot from 11 ft
9:56.0,Defensive rebound by I. Mahinmi,,44-29,,
9:50.0,J. Wall makes 2-pt shot from 4 ft,2,46-29,,
9:50.0,Shooting foul by D. Jones (drawn by J. Wall),,46-29,,
9:50.0,J. Wall misses free throw 1 of 1,,46-29,,
9:49.0,Offensive rebound by J. Smith,,46-29,,
9:46.0,Turnover by J. Smith (bad pass; steal by L. Barbosa),,46-29,,
9:40.0,,,46-31,2,A. Williams makes 2-pt shot from 1 ft (assist by L. Barbosa)
9:22.0,Shooting foul by D. Jones (drawn by K. Oubre),,46-31,,
9:22.0,K. Oubre makes free throw 1 of 2,1,47-31,,
9:22.0,K. Oubre makes free throw 2 of 2,1,48-31,,
9:08.0,,,48-33,2,L. Barbosa makes 2-pt shot from 2 ft
8:55.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by J. Wall),2,50-33,,
8:40.0,,,50-33,,Shooting foul by I. Mahinmi (drawn by A. Williams)
8:40.0,Official timeout,,50-33,,
8:40.0,,,50-33,,A. Williams misses free throw 1 of 2
8:40.0,,,50-33,,Offensive rebound by Team
8:40.0,,,50-34,1,A. Williams makes free throw 2 of 2
8:40.0,,,50-33,,A. Len enters the game for T. Warren
8:27.0,B. Bogdanovic misses 3-pt shot from 25 ft,,50-34,,
8:26.0,,,50-34,,Defensive rebound by A. Len
8:12.0,,,50-34,,A. Williams misses 2-pt shot from 2 ft (block by I. Mahinmi)
8:08.0,Defensive rebound by I. Mahinmi,,50-34,,
7:59.0,J. Smith makes 2-pt shot at rim (assist by J. Wall),2,52-34,,
7:39.0,,,52-34,,Turnover by L. Barbosa (bad pass; steal by I. Mahinmi)
7:32.0,K. Oubre misses 2-pt shot from 1 ft (block by A. Len),,52-34,,
7:29.0,Offensive rebound by B. Bogdanovic,,52-34,,
7:29.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,54-34,,
7:26.0,Personal foul by J. Smith (drawn by L. Barbosa),,54-34,,
7:26.0,,,54-34,,D. Booker enters the game for D. Jones
7:26.0,M. Morris enters the game for I. Mahinmi,,54-34,,
7:26.0,B. Beal enters the game for K. Oubre,,54-34,,
7:21.0,,,54-34,,T. Ulis misses 2-pt shot from 19 ft (block by J. Wall)
7:19.0,Defensive rebound by B. Beal,,54-34,,
7:15.0,,,54-34,,Personal foul by A. Len (drawn by J. Wall)
7:15.0,,,54-34,,E. Bledsoe enters the game for T. Ulis
7:12.0,J. Smith makes 2-pt shot from 17 ft (assist by J. Wall),2,56-34,,
6:57.0,,,56-34,,L. Barbosa misses 3-pt shot from 25 ft
6:57.0,,,56-34,,Offensive rebound by A. Williams
6:57.0,,,56-34,,Shooting foul by M. Morris (drawn by A. Williams)
6:57.0,,,56-34,,A. Williams misses free throw 1 of 2
6:57.0,,,56-34,,Offensive rebound by Team
6:57.0,,,56-35,1,A. Williams makes free throw 2 of 2
6:57.0,,,56-34,,M. Chriss enters the game for A. Len
6:47.0,,,56-35,,Personal foul by M. Chriss (drawn by M. Morris)
6:39.0,J. Wall misses 2-pt shot from 21 ft,,56-35,,
6:35.0,,,56-35,,Defensive rebound by L. Barbosa
6:28.0,,,56-38,3,E. Bledsoe makes 3-pt shot from 26 ft
5:59.0,J. Wall misses 2-pt shot from 18 ft,,56-38,,
5:59.0,Offensive rebound by Team,,56-38,,
5:59.0,,,56-38,,Phoenix full timeout
5:59.0,M. Gortat enters the game for B. Bogdanovic,,56-38,,
5:59.0,O. Porter enters the game for J. Smith,,56-38,,
5:52.0,Turnover by B. Beal (bad pass; steal by M. Chriss),,56-38,,
5:49.0,,,56-40,2,M. Chriss makes 2-pt shot at rim (assist by D. Booker)
5:21.0,J. Wall misses 3-pt shot from 26 ft,,56-40,,
5:17.0,,,56-40,,Defensive rebound by A. Williams
5:13.0,,,56-42,2,E. Bledsoe makes 2-pt shot from 18 ft
4:49.0,M. Morris misses 2-pt shot from 2 ft,,56-42,,
4:46.0,,,56-42,,Defensive rebound by M. Chriss
4:35.0,,,56-45,3,E. Bledsoe makes 3-pt shot from 25 ft
4:34.0,Washington full timeout,,56-45,,
4:14.0,J. Wall misses 2-pt shot from 16 ft,,56-45,,
4:14.0,,,56-45,,Defensive rebound by D. Booker
4:14.0,,,56-45,,Turnover by D. Booker (lost ball; steal by J. Wall)
4:02.0,B. Beal misses 2-pt shot from 2 ft (block by L. Barbosa),,56-45,,
3:59.0,,,56-45,,Defensive rebound by E. Bledsoe
3:54.0,,,56-48,3,M. Chriss makes 3-pt shot from 24 ft (assist by L. Barbosa)
3:39.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,58-48,,
3:34.0,Personal foul by M. Morris (drawn by L. Barbosa),,58-48,,
3:34.0,,,58-49,1,L. Barbosa makes free throw 1 of 2
3:34.0,,,58-50,1,L. Barbosa makes free throw 2 of 2
3:20.0,B. Beal makes 2-pt shot from 2 ft,2,60-50,,
3:05.0,,,60-53,3,L. Barbosa makes 3-pt shot from 26 ft (assist by D. Booker)
2:45.0,O. Porter misses 2-pt shot from 19 ft,,60-53,,
2:43.0,,,60-53,,Defensive rebound by E. Bledsoe
2:40.0,,,60-55,2,E. Bledsoe makes 2-pt shot from 1 ft
2:40.0,Shooting block foul by M. Gortat (drawn by E. Bledsoe),,60-55,,
2:40.0,Washington full timeout,,60-55,,
2:40.0,,,60-56,1,E. Bledsoe makes free throw 1 of 1
2:40.0,J. Smith enters the game for M. Gortat,,60-55,,
2:22.0,J. Smith makes 2-pt shot from 18 ft,2,62-56,,
2:10.0,,,62-58,2,E. Bledsoe makes 2-pt shot from 3 ft
2:05.0,Turnover by J. Wall (bad pass),,62-58,,
1:54.0,,,62-58,,L. Barbosa misses 3-pt shot from 25 ft
1:54.0,,,62-58,,Offensive rebound by Team
1:54.0,Loose ball foul by M. Morris (drawn by M. Chriss),,62-58,,
1:54.0,,,62-58,,M. Chriss misses free throw 1 of 2
1:54.0,,,62-58,,Offensive rebound by Team
1:54.0,,,62-59,1,M. Chriss makes free throw 2 of 2
1:54.0,B. Bogdanovic enters the game for M. Morris,,62-58,,
1:42.0,O. Porter misses 3-pt shot from 25 ft,,62-59,,
1:41.0,,,62-59,,Defensive rebound by E. Bledsoe
1:37.0,Personal foul by J. Smith (drawn by A. Williams),,62-59,,
1:37.0,,,62-60,1,A. Williams makes free throw 1 of 2
1:37.0,,,62-61,1,A. Williams makes free throw 2 of 2
1:37.0,I. Mahinmi enters the game for J. Smith,,62-60,,
1:24.0,J. Wall misses 2-pt shot from 1 ft,,62-61,,
1:22.0,Offensive rebound by O. Porter,,62-61,,
1:18.0,Shooting foul by A. Williams (drawn by B. Beal),,62-61,,
1:18.0,B. Beal misses free throw 1 of 2,,62-61,,
1:18.0,Offensive rebound by Team,,62-61,,
1:18.0,B. Beal makes free throw 2 of 2,1,63-61,,
1:18.0,,,62-61,,T. Warren enters the game for A. Williams
1:00.0,,,63-61,,Turnover by D. Booker (bad pass; steal by I. Mahinmi)
0:56.0,B. Bogdanovic misses 2-pt shot from 2 ft,,63-61,,
0:53.0,Offensive rebound by I. Mahinmi,,63-61,,
0:53.0,I. Mahinmi makes 2-pt shot at rim,2,65-61,,
0:41.0,,,65-61,,Turnover by D. Booker (lost ball; steal by B. Beal)
0:38.0,Turnover by B. Beal (bad pass),,65-61,,
0:37.0,,,65-61,,T. Ulis enters the game for E. Bledsoe
0:24.0,,,65-61,,L. Barbosa misses 3-pt shot from 26 ft
0:21.0,Defensive rebound by I. Mahinmi,,65-61,,
0:01.0,J. Wall makes 2-pt shot from 1 ft,2,67-61,,
0:01.0,,,67-61,,Shooting block foul by M. Chriss (drawn by J. Wall)
0:01.0,,,67-61,,Technical foul by M. Chriss (drawn by J. Wall)
0:01.0,B. Beal makes technical free throw,1,68-61,,
0:01.0,,,68-61,,Phoenix full timeout
0:01.0,J. Wall misses free throw 1 of 1,,68-61,,
0:01.0,,,68-61,,A. Williams enters the game for T. Warren
0:00.0,,,68-61,,Defensive rebound by A. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,B. Beal misses 2-pt shot from 21 ft,,68-61,,
11:45.0,,,68-61,,Defensive rebound by A. Len
11:23.0,,,68-61,,A. Len misses 2-pt shot from 9 ft
11:21.0,Defensive rebound by Team,,68-61,,
11:05.0,M. Morris misses 2-pt shot from 9 ft,,68-61,,
11:01.0,,,68-61,,Defensive rebound by A. Len
10:56.0,,,68-64,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by D. Booker)
10:45.0,B. Beal misses 3-pt shot from 24 ft,,68-64,,
10:43.0,,,68-64,,Defensive rebound by T. Warren
10:39.0,Shooting block foul by J. Wall (drawn by E. Bledsoe),,68-64,,
10:39.0,,,68-65,1,E. Bledsoe makes free throw 1 of 3
10:39.0,,,68-66,1,E. Bledsoe makes free throw 2 of 3
10:39.0,,,68-67,1,E. Bledsoe makes free throw 3 of 3
10:26.0,M. Gortat misses 2-pt shot from 6 ft,,68-67,,
10:22.0,,,68-67,,Defensive rebound by A. Len
10:07.0,,,68-69,2,T. Warren makes 2-pt shot from 7 ft
9:50.0,Shooting foul by T. Warren (drawn by M. Morris),,68-69,,
9:50.0,M. Morris makes free throw 1 of 2,1,69-69,,
9:50.0,M. Morris makes free throw 2 of 2,1,70-69,,
9:39.0,,,70-71,2,T. Warren makes 2-pt shot from 17 ft (assist by E. Bledsoe)
9:26.0,M. Morris misses 2-pt shot from 1 ft (block by A. Len),,70-71,,
9:23.0,,,70-71,,Defensive rebound by T. Warren
9:20.0,,,70-73,2,T. Warren makes 2-pt shot from 1 ft
9:06.0,B. Beal misses 2-pt shot from 2 ft (block by A. Len),,70-73,,
9:04.0,,,70-73,,Defensive rebound by D. Jones
9:00.0,,,70-76,3,E. Bledsoe makes 3-pt shot from 27 ft (assist by T. Warren)
8:58.0,Washington full timeout,,70-76,,
8:38.0,J. Wall misses 2-pt shot from 20 ft,,70-76,,
8:34.0,,,70-76,,Defensive rebound by T. Warren
8:21.0,,,70-76,,D. Booker misses 2-pt shot from 5 ft
8:20.0,Defensive rebound by B. Beal,,70-76,,
8:17.0,B. Beal misses 2-pt shot from 3 ft (block by D. Jones),,70-76,,
8:12.0,,,70-76,,Defensive rebound by A. Len
8:08.0,,,70-78,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
7:56.0,,,70-78,,Personal foul by D. Booker (drawn by O. Porter)
7:48.0,M. Gortat misses 2-pt shot from 2 ft (block by A. Len),,70-78,,
7:45.0,,,70-78,,Defensive rebound by D. Jones
7:39.0,,,70-78,,E. Bledsoe misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by M. Morris,,70-78,,
7:33.0,B. Beal misses 2-pt shot from 3 ft (block by D. Jones),,70-78,,
7:30.0,,,70-78,,Defensive rebound by T. Warren
7:23.0,,,70-81,3,T. Warren makes 3-pt shot from 23 ft (assist by D. Booker)
7:22.0,Washington full timeout,,70-81,,
7:22.0,J. Smith enters the game for M. Morris,,70-81,,
7:22.0,I. Mahinmi enters the game for M. Gortat,,70-81,,
7:11.0,,,70-81,,Personal foul by D. Jones (drawn by J. Wall)
6:57.0,Shooting foul by D. Jones (drawn by B. Beal),,70-81,,
6:57.0,B. Beal misses free throw 1 of 3,,70-81,,
6:57.0,Offensive rebound by Team,,70-81,,
6:57.0,B. Beal makes free throw 2 of 3,1,71-81,,
6:57.0,B. Beal makes free throw 3 of 3,1,72-81,,
6:44.0,,,72-81,,Turnover by E. Bledsoe (bad pass; steal by I. Mahinmi)
6:25.0,Shooting foul by A. Len (drawn by J. Smith),,72-81,,
6:25.0,J. Smith makes free throw 1 of 2,1,73-81,,
6:25.0,J. Smith misses free throw 2 of 2,,73-81,,
6:23.0,,,73-81,,Defensive rebound by T. Warren
5:59.0,,,73-81,,D. Booker misses 3-pt shot from 26 ft
5:57.0,Defensive rebound by O. Porter,,73-81,,
5:43.0,J. Smith makes 2-pt shot from 17 ft (assist by J. Wall),2,75-81,,
5:29.0,,,75-81,,T. Warren misses 2-pt shot from 18 ft
5:26.0,Defensive rebound by O. Porter,,75-81,,
5:23.0,J. Wall makes 2-pt shot from 1 ft,2,77-81,,
5:22.0,,,77-81,,Phoenix full timeout
5:22.0,,,77-81,,A. Williams enters the game for A. Len
4:57.0,,,77-81,,E. Bledsoe misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by O. Porter,,77-81,,
4:49.0,B. Beal misses 3-pt shot from 23 ft,,77-81,,
4:47.0,Offensive rebound by B. Beal,,77-81,,
4:42.0,O. Porter misses 2-pt shot from 12 ft,,77-81,,
4:40.0,,,77-81,,Defensive rebound by A. Williams
4:37.0,,,77-81,,Turnover by E. Bledsoe (bad pass; steal by J. Wall)
4:34.0,J. Wall misses 3-pt shot from 26 ft,,77-81,,
4:32.0,Offensive rebound by J. Wall,,77-81,,
4:29.0,J. Wall makes 2-pt shot from 2 ft,2,79-81,,
4:11.0,,,79-81,,Turnover by E. Bledsoe (lost ball; steal by I. Mahinmi)
4:11.0,,,79-81,,Loose ball foul by E. Bledsoe (drawn by I. Mahinmi)
4:11.0,I. Mahinmi misses free throw 1 of 2,,79-81,,
4:11.0,Offensive rebound by Team,,79-81,,
4:11.0,I. Mahinmi misses free throw 2 of 2,,79-81,,
4:11.0,,,79-81,,L. Barbosa enters the game for D. Jones
4:11.0,,,79-81,,T. Ulis enters the game for E. Bledsoe
4:11.0,B. Bogdanovic enters the game for O. Porter,,79-81,,
4:08.0,,,79-81,,Defensive rebound by A. Williams
4:00.0,,,79-81,,T. Ulis misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by B. Bogdanovic,,79-81,,
3:52.0,J. Wall makes 2-pt shot at rim,2,81-81,,
3:52.0,Shooting foul by T. Warren (drawn by J. Wall),,81-81,,
3:52.0,J. Wall makes free throw 1 of 1,1,82-81,,
3:52.0,,,81-81,,M. Chriss enters the game for T. Warren
3:52.0,T. Satoransky enters the game for B. Beal,,81-81,,
3:37.0,,,82-81,,Shooting foul by T. Satoransky (drawn by D. Booker)
3:37.0,,,82-82,1,D. Booker makes free throw 1 of 2
3:37.0,,,82-83,1,D. Booker makes free throw 2 of 2
3:24.0,J. Wall makes 2-pt shot from 17 ft,2,84-83,,
3:14.0,,,84-85,2,D. Booker makes 2-pt shot from 11 ft (assist by T. Ulis)
2:56.0,Shooting foul by A. Williams (drawn by I. Mahinmi),,84-85,,
2:56.0,I. Mahinmi makes free throw 1 of 2,1,85-85,,
2:56.0,I. Mahinmi makes free throw 2 of 2,1,86-85,,
2:46.0,,,86-85,,D. Booker misses 2-pt shot from 14 ft
2:43.0,Defensive rebound by J. Wall,,86-85,,
2:34.0,J. Wall misses 3-pt shot from 24 ft,,86-85,,
2:32.0,,,86-85,,Defensive rebound by L. Barbosa
2:22.0,,,86-85,,A. Williams misses 2-pt shot from 11 ft
2:20.0,Defensive rebound by B. Bogdanovic,,86-85,,
2:08.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Wall),3,89-85,,
1:42.0,,,89-85,,Turnover by L. Barbosa (bad pass)
1:41.0,T. Burke enters the game for J. Wall,,89-85,,
1:22.0,B. Bogdanovic makes 3-pt shot from 25 ft,3,92-85,,
1:00.0,,,92-85,,M. Chriss misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by T. Satoransky,,92-85,,
0:52.0,B. Bogdanovic misses 3-pt shot from 25 ft,,92-85,,
0:49.0,Offensive rebound by B. Bogdanovic,,92-85,,
0:49.0,B. Bogdanovic misses 3-pt shot from 25 ft,,92-85,,
0:47.0,,,92-85,,Defensive rebound by D. Booker
0:43.0,Shooting block foul by T. Satoransky (drawn by D. Booker),,92-85,,
0:43.0,,,92-86,1,D. Booker makes free throw 1 of 2
0:43.0,,,92-87,1,D. Booker makes free throw 2 of 2
0:28.0,Turnover by T. Burke (lost ball; steal by T. Ulis),,92-87,,
0:27.0,Loose ball foul by T. Burke (drawn by T. Ulis),,92-87,,
0:27.0,,,92-88,1,T. Ulis makes free throw 1 of 2
0:27.0,,,92-88,,T. Ulis misses free throw 2 of 2
0:27.0,B. Beal enters the game for T. Satoransky,,92-88,,
0:26.0,,,92-88,,Offensive rebound by A. Williams
0:25.0,,,92-90,2,A. Williams makes 2-pt shot from 1 ft
0:08.0,Shooting foul by T. Ulis (drawn by B. Bogdanovic),,92-90,,
0:08.0,B. Bogdanovic makes free throw 1 of 2,1,93-90,,
0:08.0,B. Bogdanovic makes free throw 2 of 2,1,94-90,,
0:08.0,T. Satoransky enters the game for B. Beal,,93-90,,
0:02.0,,,94-92,2,D. Booker makes 2-pt shot from 3 ft (assist by T. Ulis)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,94-92,,L. Barbosa misses 2-pt shot from 21 ft
11:38.0,Defensive rebound by B. Bogdanovic,,94-92,,
11:10.0,J. Smith makes 3-pt shot from 25 ft (assist by I. Mahinmi),3,97-92,,
