time,Indiana,pts.away,score,pts.home,Dallas
4:06.0,T. Young enters the game for C. Miles,,50-43,,
3:57.0,Turnover by P. George (bad pass),,50-44,,
3:46.0,,,50-46,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Williams)
3:30.0,M. Turner misses 2-pt shot from 19 ft,,50-46,,
3:29.0,,,50-46,,Defensive rebound by Team
3:16.0,,,50-49,3,W. Matthews makes 3-pt shot from 25 ft (assist by S. Curry)
3:10.0,Indiana full timeout,,50-49,,
3:10.0,,,50-49,,D. Finney-Smith enters the game for S. Curry
3:00.0,J. Teague makes 2-pt shot from 1 ft,2,52-49,,
2:44.0,Personal foul by P. George (drawn by H. Barnes),,52-49,,
2:32.0,,,52-49,,H. Barnes misses 2-pt shot from 14 ft
2:31.0,Defensive rebound by J. Teague,,52-49,,
2:17.0,M. Ellis misses 2-pt shot from 14 ft,,52-49,,
2:16.0,,,52-49,,Defensive rebound by H. Barnes
2:01.0,,,52-49,,W. Matthews misses 2-pt shot from 15 ft
2:00.0,Defensive rebound by P. George,,52-49,,
1:48.0,M. Ellis misses 2-pt shot from 5 ft,,52-49,,
1:48.0,,,52-49,,Defensive rebound by Team
1:30.0,,,52-52,3,D. Williams makes 3-pt shot from 25 ft (assist by W. Matthews)
1:14.0,M. Ellis misses 2-pt shot from 22 ft,,52-52,,
1:13.0,,,52-52,,Defensive rebound by H. Barnes
1:11.0,,,52-52,,Offensive foul by D. Williams
1:11.0,,,52-52,,Turnover by D. Williams (offensive foul)
1:00.0,Turnover by M. Ellis (bad pass; steal by W. Matthews),,52-52,,
0:58.0,,,52-54,2,W. Matthews makes 2-pt shot from 1 ft
0:39.0,T. Young misses 2-pt shot from 6 ft,,52-54,,
0:38.0,,,52-54,,Defensive rebound by D. Finney-Smith
0:33.0,,,52-54,,S. Mejri misses 2-pt shot from 1 ft (block by T. Young)
0:26.0,,,52-54,,Offensive rebound by H. Barnes
0:26.0,,,52-54,,H. Barnes misses 2-pt shot from 18 ft
0:25.0,Defensive rebound by T. Young,,52-54,,
0:06.0,,,52-54,,Personal take foul by D. Finney-Smith (drawn by P. George)
0:06.0,Indiana full timeout,,52-54,,
0:06.0,,,52-54,,D. Harris enters the game for D. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by M. Turner (lost ball; steal by D. Williams),,52-54,,
11:20.0,,,52-57,3,D. Williams makes 3-pt shot from 23 ft (assist by H. Barnes)
11:07.0,,,52-57,,Personal foul by D. Williams (drawn by M. Turner)
10:54.0,M. Ellis misses 3-pt shot from 24 ft,,52-57,,
10:53.0,,,52-57,,Defensive rebound by W. Matthews
10:41.0,,,52-59,2,S. Mejri makes 2-pt shot from 1 ft (assist by D. Williams)
10:27.0,T. Young misses 2-pt shot from 16 ft,,52-59,,
10:26.0,,,52-59,,Defensive rebound by S. Mejri
10:11.0,,,52-59,,W. Matthews misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by T. Young,,52-59,,
9:55.0,Turnover by P. George (bad pass; steal by S. Mejri),,52-59,,
9:34.0,,,52-59,,D. Williams misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by P. George,,52-59,,
9:21.0,M. Ellis misses 3-pt shot from 22 ft,,52-59,,
