time,Philadelphia,pts.away,score,pts.home,New York
3:35.0,,,16-13,,Shooting foul by N. Stauskas (drawn by J. Holiday)
3:35.0,,,16-14,1,J. Holiday makes free throw 1 of 2
3:35.0,,,16-14,,J. Holiday misses free throw 2 of 2
3:35.0,,,16-14,,S. Vujacic enters the game for C. Anthony
3:33.0,,,16-14,,Offensive rebound by M. Kuzminskas
3:20.0,,,16-14,,S. Vujacic misses 3-pt shot from 27 ft
3:19.0,Defensive rebound by A. Poythress,,16-14,,
3:10.0,A. Poythress makes 2-pt shot from 1 ft,2,18-14,,
3:02.0,,,18-14,,M. Plumlee misses 2-pt shot at rim
3:01.0,Defensive rebound by T. Splitter,,18-14,,
2:53.0,Turnover by T. Splitter (lost ball; steal by C. Randle),,18-14,,
2:47.0,,,18-16,2,C. Randle makes 2-pt shot at rim
2:47.0,,,18-16,,Shooting foul by N. Stauskas (drawn by C. Randle)
2:47.0,Philadelphia full timeout,,18-16,,
2:47.0,,,18-17,1,C. Randle makes free throw 1 of 1
2:47.0,R. Holmes enters the game for A. Poythress,,18-16,,
2:47.0,J. Anderson enters the game for N. Stauskas,,18-16,,
2:37.0,,,18-17,,Violation by J. Holiday (kicked ball)
2:24.0,J. Anderson misses 3-pt shot from 23 ft,,18-17,,
2:23.0,,,18-17,,Defensive rebound by J. Holiday
1:58.0,,,18-20,3,M. Kuzminskas makes 3-pt shot from 25 ft (assist by S. Vujacic)
1:38.0,G. Henderson misses 2-pt shot from 14 ft,,18-20,,
1:37.0,,,18-20,,Defensive rebound by M. Plumlee
1:26.0,,,18-20,,M. Plumlee misses 2-pt shot from 6 ft
1:24.0,Defensive rebound by T. Luwawu-Cabarrot,,18-20,,
1:20.0,Shooting foul by S. Vujacic (drawn by T. Splitter),,18-20,,
1:20.0,T. Splitter makes free throw 1 of 2,1,19-20,,
1:20.0,T. Splitter misses free throw 2 of 2,,19-20,,
1:19.0,,,19-20,,Defensive rebound by M. Plumlee
1:11.0,,,19-20,,J. Holiday misses 3-pt shot from 24 ft
1:10.0,,,19-20,,Offensive rebound by M. Kuzminskas
1:07.0,,,19-20,,Turnover by M. Kuzminskas (lost ball)
1:07.0,S. Long enters the game for T. Splitter,,19-20,,
0:44.0,Shooting foul by M. Plumlee (drawn by T. Luwawu-Cabarrot),,19-20,,
0:44.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,19-20,,
0:44.0,Offensive rebound by Team,,19-20,,
0:44.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,20-20,,
0:35.0,,,20-22,2,C. Randle makes 2-pt shot from 4 ft
0:23.0,R. Holmes makes 2-pt shot at rim,2,22-22,,
0:04.0,,,22-24,2,J. Holiday makes 2-pt shot at rim
0:04.0,,,22-24,,Shooting foul by S. Long (drawn by J. Holiday)
0:04.0,,,22-25,1,J. Holiday makes free throw 1 of 1
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by J. Anderson (bad pass),,22-25,,
11:46.0,T. McConnell enters the game for G. Henderson,,22-25,,
11:35.0,,,22-25,,Turnover by M. Kuzminskas (lost ball)
11:21.0,Offensive foul by T. Luwawu-Cabarrot,,22-25,,
11:21.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,22-25,,
11:21.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,22-25,,
11:10.0,,,22-25,,S. Vujacic misses 2-pt shot from 17 ft
11:09.0,,,22-25,,Offensive rebound by M. Plumlee
11:08.0,,,22-27,2,M. Plumlee makes 2-pt shot from 1 ft
10:49.0,R. Holmes misses 3-pt shot from 26 ft,,22-27,,
10:48.0,,,22-27,,Defensive rebound by J. Holiday
10:34.0,,,22-29,2,J. Holiday makes 2-pt shot from 12 ft
10:23.0,J. Anderson makes 2-pt shot from 1 ft (assist by T. McConnell),2,24-29,,
10:22.0,,,24-29,,Turnover by J. Holiday (bad pass; steal by N. Stauskas)
10:21.0,Shooting foul by J. Holiday (drawn by N. Stauskas),,24-29,,
10:21.0,N. Stauskas makes free throw 1 of 2,1,25-29,,
10:21.0,N. Stauskas makes free throw 2 of 2,1,26-29,,
10:21.0,,,25-29,,K. O'Quinn enters the game for J. Holiday
10:11.0,,,26-29,,M. Kuzminskas misses 2-pt shot at rim
10:09.0,,,26-29,,Offensive rebound by M. Kuzminskas
10:09.0,,,26-31,2,M. Kuzminskas makes 2-pt shot at rim
10:04.0,A. Poythress makes 2-pt shot at rim (assist by T. McConnell),2,28-31,,
9:50.0,,,28-31,,S. Vujacic misses 2-pt shot from 20 ft
9:49.0,,,28-31,,Offensive rebound by M. Plumlee
9:48.0,,,28-33,2,M. Plumlee makes 2-pt shot at rim
9:34.0,,,28-33,,Personal foul by C. Randle (drawn by N. Stauskas)
9:34.0,,,28-33,,M. Ndour enters the game for M. Kuzminskas
9:23.0,Turnover by N. Stauskas (bad pass; steal by C. Randle),,28-33,,
9:21.0,,,28-33,,Offensive foul by C. Randle
9:21.0,,,28-33,,Turnover by C. Randle (bad pass)
9:07.0,T. McConnell makes 2-pt shot from 2 ft,2,30-33,,
8:56.0,,,30-33,,S. Vujacic misses 2-pt shot from 22 ft
8:55.0,Defensive rebound by Team,,30-33,,
8:55.0,Official timeout,,30-33,,
8:39.0,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Anderson),3,33-33,,
8:21.0,,,33-33,,Turnover by M. Plumlee (lost ball; steal by R. Holmes)
8:11.0,J. Anderson makes 3-pt shot from 22 ft (assist by T. McConnell),3,36-33,,
7:58.0,,,36-33,,Turnover by C. Randle (bad pass; steal by J. Anderson)
7:49.0,R. Holmes misses 2-pt shot from 6 ft (block by K. O'Quinn),,36-33,,
7:48.0,,,36-33,,Defensive rebound by M. Plumlee
7:43.0,,,36-33,,M. Ndour misses 2-pt shot at rim (block by J. Anderson)
7:41.0,Defensive rebound by T. McConnell,,36-33,,
7:32.0,A. Poythress misses 3-pt shot from 24 ft,,36-33,,
7:31.0,,,36-33,,Defensive rebound by K. O'Quinn
7:19.0,,,36-35,2,C. Randle makes 2-pt shot from 5 ft
7:01.0,A. Poythress misses 2-pt shot at rim,,36-35,,
7:00.0,,,36-35,,Defensive rebound by C. Randle
6:53.0,,,36-35,,C. Randle misses 2-pt shot at rim
6:53.0,,,36-35,,Offensive rebound by K. O'Quinn
6:51.0,,,36-35,,K. O'Quinn misses 2-pt shot at rim
6:49.0,,,36-35,,Offensive rebound by M. Plumlee
6:49.0,,,36-37,2,M. Plumlee makes 2-pt shot from 1 ft
6:41.0,Shooting foul by C. Randle (drawn by T. McConnell),,36-37,,
6:41.0,T. McConnell misses free throw 1 of 2,,36-37,,
6:41.0,Offensive rebound by Team,,36-37,,
6:41.0,T. McConnell misses free throw 2 of 2,,36-37,,
6:41.0,,,36-37,,R. Baker enters the game for C. Randle
6:40.0,,,36-37,,Defensive rebound by K. O'Quinn
6:27.0,,,36-39,2,R. Baker makes 2-pt shot from 22 ft
6:13.0,Turnover by T. McConnell (lost ball; steal by K. O'Quinn),,36-39,,
5:53.0,,,36-39,,K. O'Quinn misses 2-pt shot from 5 ft
5:52.0,Defensive rebound by N. Stauskas,,36-39,,
5:45.0,A. Poythress makes 2-pt shot from 2 ft (assist by J. Anderson),2,38-39,,
5:45.0,,,38-39,,New York full timeout
5:45.0,T. Splitter enters the game for A. Poythress,,38-39,,
5:45.0,G. Henderson enters the game for T. McConnell,,38-39,,
5:45.0,,,38-39,,C. Lee enters the game for M. Plumlee
5:45.0,,,38-39,,C. Anthony enters the game for S. Vujacic
5:23.0,,,38-39,,C. Anthony misses 2-pt shot from 9 ft
5:22.0,,,38-39,,Offensive rebound by Team
5:22.0,Loose ball foul by T. Splitter (drawn by K. O'Quinn),,38-39,,
5:16.0,,,38-39,,R. Baker misses 3-pt shot from 25 ft
5:15.0,,,38-39,,Offensive rebound by C. Anthony
5:13.0,,,38-41,2,C. Anthony makes 2-pt shot at rim
4:48.0,T. Splitter makes 2-pt shot at rim (assist by G. Henderson),2,40-41,,
4:32.0,,,40-43,2,C. Anthony makes 2-pt shot from 18 ft
4:18.0,T. Splitter makes 3-pt shot from 25 ft (assist by N. Stauskas),3,43-43,,
3:54.0,,,43-43,,C. Anthony misses 2-pt shot from 16 ft
3:53.0,Defensive rebound by N. Stauskas,,43-43,,
3:47.0,Shooting foul by K. O'Quinn (drawn by N. Stauskas),,43-43,,
3:47.0,N. Stauskas makes free throw 1 of 2,1,44-43,,
3:47.0,N. Stauskas makes free throw 2 of 2,1,45-43,,
3:35.0,,,45-43,,R. Baker misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by Team,,45-43,,
3:20.0,J. Anderson makes 3-pt shot from 25 ft (assist by G. Henderson),3,48-43,,
3:08.0,,,48-45,2,C. Anthony makes 2-pt shot at rim
3:08.0,,,48-45,,Shooting foul by J. Anderson (drawn by C. Anthony)
3:08.0,,,48-46,1,C. Anthony makes free throw 1 of 1
2:57.0,J. Anderson makes 2-pt shot at rim (assist by N. Stauskas),2,50-46,,
2:35.0,,,50-46,,C. Lee misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by N. Stauskas,,50-46,,
2:23.0,T. Splitter misses 2-pt shot at rim,,50-46,,
2:23.0,Offensive rebound by T. Splitter,,50-46,,
2:22.0,T. Splitter misses 2-pt shot at rim (block by M. Ndour),,50-46,,
2:21.0,Offensive rebound by R. Holmes,,50-46,,
2:20.0,Shooting foul by K. O'Quinn (drawn by R. Holmes),,50-46,,
2:20.0,R. Holmes makes 2-pt shot at rim,2,52-46,,
2:20.0,Philadelphia full timeout,,52-46,,
2:20.0,R. Holmes makes free throw 1 of 1,1,53-46,,
2:20.0,A. Poythress enters the game for G. Henderson,,52-46,,
2:05.0,,,53-48,2,C. Anthony makes 2-pt shot from 12 ft (assist by K. O'Quinn)
1:42.0,A. Poythress makes 2-pt shot from 1 ft,2,55-48,,
1:27.0,,,55-51,3,K. O'Quinn makes 3-pt shot from 24 ft (assist by R. Baker)
1:08.0,N. Stauskas misses 3-pt shot from 25 ft,,55-51,,
1:07.0,,,55-51,,Defensive rebound by Team
0:51.0,,,55-53,2,C. Anthony makes 2-pt shot from 11 ft
0:39.0,N. Stauskas misses 2-pt shot from 1 ft,,55-53,,
0:39.0,Offensive rebound by A. Poythress,,55-53,,
0:39.0,A. Poythress makes 2-pt shot from 1 ft,2,57-53,,
0:31.0,,,57-53,,C. Anthony misses 2-pt shot from 15 ft
0:30.0,,,57-53,,Offensive rebound by K. O'Quinn
0:24.0,,,57-56,3,C. Lee makes 3-pt shot from 26 ft (assist by R. Baker)
0:24.0,,,57-56,,Violation by Team (jump ball)
0:02.0,Shooting foul by C. Anthony (drawn by J. Anderson),,57-56,,
0:02.0,J. Anderson makes free throw 1 of 2,1,58-56,,
0:02.0,J. Anderson makes free throw 2 of 2,1,59-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft,2,61-56,,
11:18.0,,,61-56,,Shooting foul by A. Poythress (drawn by W. Hernangomez)
11:18.0,,,61-56,,W. Hernangomez misses free throw 1 of 2
11:18.0,,,61-56,,Offensive rebound by Team
11:18.0,,,61-57,1,W. Hernangomez makes free throw 2 of 2
11:18.0,,,61-56,,C. Randle enters the game for R. Baker
11:04.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,61-57,,
11:04.0,,,61-57,,Defensive rebound by W. Hernangomez
10:59.0,,,61-59,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Anthony)
10:47.0,Turnover by J. Anderson (bad pass),,61-59,,
10:34.0,,,61-59,,C. Anthony misses 2-pt shot from 19 ft
10:33.0,,,61-59,,Offensive rebound by W. Hernangomez
10:26.0,,,61-62,3,C. Randle makes 3-pt shot from 27 ft (assist by W. Hernangomez)
10:15.0,T. McConnell misses 2-pt shot from 7 ft,,61-62,,
10:15.0,,,61-62,,Defensive rebound by W. Hernangomez
10:07.0,,,61-62,,Turnover by C. Randle (bad pass; steal by T. McConnell)
10:03.0,J. Anderson makes 2-pt shot at rim (assist by T. McConnell),2,63-62,,
9:38.0,,,63-62,,M. Ndour misses 2-pt shot from 11 ft
9:38.0,,,63-62,,Offensive rebound by M. Ndour
9:33.0,,,63-62,,Turnover by M. Ndour (bad pass; steal by A. Poythress)
9:25.0,R. Holmes makes 2-pt shot at rim (assist by J. Anderson),2,65-62,,
9:08.0,Personal foul by J. Anderson (drawn by C. Anthony),,65-62,,
8:58.0,,,65-62,,Shooting foul by J. Anderson (drawn by C. Anthony)
8:58.0,,,65-63,1,C. Anthony makes free throw 1 of 2
8:58.0,,,65-64,1,C. Anthony makes free throw 2 of 2
8:58.0,G. Henderson enters the game for J. Anderson,,65-63,,
8:38.0,R. Holmes makes 2-pt shot from 8 ft (assist by T. Luwawu-Cabarrot),2,67-64,,
8:30.0,,,67-64,,C. Lee misses 2-pt shot from 19 ft
8:30.0,Defensive rebound by R. Holmes,,67-64,,
8:27.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell),2,69-64,,
8:01.0,,,69-64,,C. Anthony misses 2-pt shot from 11 ft
8:00.0,Defensive rebound by T. McConnell,,69-64,,
7:54.0,,,69-64,,Personal foul by C. Lee (drawn by T. Luwawu-Cabarrot)
7:54.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,70-64,,
7:54.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,71-64,,
7:46.0,,,71-64,,Shooting foul by R. Holmes (drawn by W. Hernangomez)
7:46.0,,,71-65,1,W. Hernangomez makes free throw 1 of 2
7:46.0,,,71-66,1,W. Hernangomez makes free throw 2 of 2
7:46.0,T. Splitter enters the game for R. Holmes,,71-65,,
7:33.0,T. McConnell misses 2-pt shot from 8 ft,,71-66,,
7:32.0,Offensive rebound by A. Poythress,,71-66,,
7:31.0,A. Poythress makes 2-pt shot at rim,2,73-66,,
7:22.0,Personal foul by T. Splitter (drawn by W. Hernangomez),,73-66,,
7:22.0,,,73-67,1,W. Hernangomez makes free throw 1 of 2
7:22.0,,,73-68,1,W. Hernangomez makes free throw 2 of 2
7:11.0,J. Anderson enters the game for A. Poythress,,73-68,,
6:59.0,Turnover by T. McConnell (traveling),,73-68,,
6:39.0,,,73-68,,Turnover by W. Hernangomez (lost ball; steal by G. Henderson)
6:31.0,G. Henderson makes 2-pt shot from 15 ft,2,75-68,,
6:19.0,,,75-70,2,M. Ndour makes 2-pt shot from 1 ft (assist by W. Hernangomez)
5:59.0,T. Splitter makes 2-pt shot from 8 ft,2,77-70,,
5:59.0,,,77-70,,New York full timeout
5:59.0,S. Long enters the game for T. Luwawu-Cabarrot,,77-70,,
5:59.0,N. Stauskas enters the game for T. McConnell,,77-70,,
5:59.0,,,77-70,,R. Baker enters the game for M. Ndour
5:59.0,,,77-70,,M. Plumlee enters the game for W. Hernangomez
5:59.0,,,77-70,,M. Kuzminskas enters the game for C. Lee
5:39.0,,,77-70,,Turnover by C. Anthony (traveling)
5:30.0,,,77-70,,Personal foul by R. Baker (drawn by G. Henderson)
5:22.0,T. Splitter misses 3-pt shot from 23 ft,,77-70,,
5:21.0,,,77-70,,Defensive rebound by M. Plumlee
5:14.0,Jump ball: R. Baker vs. T. Splitter (N. Stauskas gains possession),,,,Jump ball: R. Baker vs. T. Splitter (N. Stauskas gains possession)
5:14.0,,,77-70,,Turnover by R. Baker (lost ball; steal by T. Splitter)
4:53.0,T. Splitter misses 2-pt shot from 4 ft,,77-70,,
4:53.0,Offensive rebound by Team,,77-70,,
4:53.0,,,77-70,,Loose ball foul by M. Plumlee (drawn by S. Long)
4:46.0,S. Long misses 2-pt shot from 19 ft,,77-70,,
4:46.0,,,77-70,,Defensive rebound by M. Plumlee
4:31.0,,,77-72,2,C. Randle makes 2-pt shot from 1 ft
4:07.0,Turnover by S. Long (offensive foul),,77-72,,
4:07.0,Offensive foul by S. Long,,77-72,,
3:51.0,,,77-74,2,M. Plumlee makes 2-pt shot from 18 ft
3:32.0,T. Splitter misses 2-pt shot from 4 ft,,77-74,,
3:31.0,,,77-74,,Defensive rebound by R. Baker
3:24.0,,,77-74,,M. Kuzminskas misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by J. Anderson,,77-74,,
3:16.0,G. Henderson makes 2-pt shot from 3 ft,2,79-74,,
3:03.0,,,79-74,,Turnover by C. Randle (bad pass)
3:03.0,,,79-74,,J. Holiday enters the game for C. Anthony
3:03.0,T. Luwawu-Cabarrot enters the game for T. Splitter,,79-74,,
3:00.0,J. Anderson makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot),2,81-74,,
3:00.0,Shooting foul by M. Kuzminskas (drawn by J. Anderson),,81-74,,
3:00.0,J. Anderson misses free throw 1 of 1,,81-74,,
2:59.0,,,81-74,,Defensive rebound by M. Kuzminskas
2:44.0,,,81-74,,Turnover by R. Baker (bad pass; steal by S. Long)
2:35.0,J. Anderson makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,83-74,,
2:23.0,,,83-74,,Turnover by J. Holiday (bad pass; steal by J. Anderson)
2:12.0,S. Long misses 3-pt shot from 25 ft,,83-74,,
2:12.0,,,83-74,,Defensive rebound by J. Holiday
1:53.0,Philadelphia full timeout,,83-74,,
1:53.0,R. Holmes enters the game for J. Anderson,,83-74,,
1:53.0,,,83-74,,S. Vujacic enters the game for C. Randle
1:50.0,,,83-76,2,M. Kuzminskas makes 2-pt shot from 1 ft (assist by S. Vujacic)
1:27.0,S. Long misses 2-pt shot from 2 ft,,83-76,,
1:27.0,Offensive rebound by S. Long,,83-76,,
1:25.0,S. Long makes 2-pt shot at rim,2,85-76,,
1:05.0,,,85-76,,Offensive foul by M. Plumlee
1:05.0,,,85-76,,Turnover by M. Plumlee (offensive foul)
0:47.0,S. Long makes 2-pt shot from 1 ft,2,87-76,,
0:35.0,,,87-78,2,M. Plumlee makes 2-pt shot at rim (assist by R. Baker)
0:19.0,T. Luwawu-Cabarrot misses 2-pt shot at rim,,87-78,,
0:17.0,,,87-78,,Defensive rebound by M. Plumlee
0:04.0,,,87-78,,S. Vujacic misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by T. Luwawu-Cabarrot,,87-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,87-80,2,J. Holiday makes 2-pt shot from 18 ft (assist by S. Vujacic)
11:44.0,,,87-80,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Holiday)
11:44.0,,,87-81,1,J. Holiday makes free throw 1 of 1
11:26.0,N. Stauskas makes 2-pt shot at rim,2,89-81,,
11:09.0,,,89-83,2,M. Kuzminskas makes 2-pt shot from 16 ft (assist by S. Vujacic)
11:01.0,,,89-83,,Personal foul by M. Plumlee (drawn by S. Long)
11:01.0,,,89-83,,K. O'Quinn enters the game for M. Plumlee
11:01.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,89-83,,
10:52.0,Turnover by N. Stauskas (bad pass; steal by J. Holiday),,89-83,,
10:47.0,,,89-85,2,R. Baker makes 2-pt shot at rim (assist by S. Vujacic)
10:27.0,S. Long misses 2-pt shot from 13 ft (block by K. O'Quinn),,89-85,,
10:26.0,Offensive rebound by S. Long,,89-85,,
10:18.0,G. Henderson misses 2-pt shot from 20 ft,,89-85,,
10:16.0,,,89-85,,Defensive rebound by Team
10:03.0,,,89-85,,Turnover by S. Vujacic (bad pass; steal by J. Anderson)
9:52.0,J. Anderson makes 3-pt shot from 24 ft (assist by G. Henderson),3,92-85,,
9:33.0,Personal foul by S. Long (drawn by J. Holiday),,92-85,,
9:33.0,T. Splitter enters the game for S. Long,,92-85,,
9:33.0,T. Luwawu-Cabarrot enters the game for N. Stauskas,,92-85,,
9:25.0,,,92-87,2,K. O'Quinn makes 2-pt shot at rim (assist by J. Holiday)
8:58.0,T. Luwawu-Cabarrot misses 2-pt shot from 15 ft,,92-87,,
8:57.0,Offensive rebound by Team,,92-87,,
8:57.0,Turnover by Team (shot clock),,92-87,,
8:57.0,Official timeout,,92-87,,
8:57.0,A. Poythress enters the game for G. Henderson,,92-87,,
8:46.0,,,92-89,2,J. Holiday makes 2-pt shot at rim (assist by K. O'Quinn)
8:31.0,Turnover by T. Luwawu-Cabarrot (bad pass),,92-89,,
8:17.0,Violation by T. Splitter (kicked ball),,92-89,,
8:17.0,,,92-89,,M. Plumlee enters the game for K. O'Quinn
8:10.0,,,92-89,,Shooting foul by T. Splitter (drawn by M. Plumlee)
8:10.0,,,92-89,,M. Plumlee misses free throw 1 of 2
8:10.0,,,92-89,,Offensive rebound by Team
8:10.0,,,92-89,,M. Plumlee misses free throw 2 of 2
8:10.0,,,92-89,,W. Hernangomez enters the game for M. Kuzminskas
8:08.0,Defensive rebound by T. Splitter,,92-89,,
7:56.0,A. Poythress misses 2-pt shot from 1 ft,,92-89,,
7:53.0,Offensive rebound by R. Holmes,,92-89,,
7:46.0,R. Holmes makes 2-pt shot at rim,2,94-89,,
7:36.0,,,94-91,2,M. Plumlee makes 2-pt shot from 1 ft (assist by S. Vujacic)
7:23.0,R. Holmes misses 2-pt shot from 2 ft,,94-91,,
7:21.0,,,94-91,,Defensive rebound by M. Plumlee
7:16.0,,,94-94,3,S. Vujacic makes 3-pt shot from 24 ft
6:58.0,T. Luwawu-Cabarrot makes 2-pt shot at rim,2,96-94,,
6:52.0,Personal foul by T. Luwawu-Cabarrot (drawn by R. Baker),,96-94,,
6:52.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,96-94,,
6:42.0,,,96-94,,M. Plumlee misses 2-pt shot from 5 ft
6:40.0,Defensive rebound by N. Stauskas,,96-94,,
6:32.0,R. Holmes misses 3-pt shot from 26 ft,,96-94,,
6:32.0,,,96-94,,Defensive rebound by Team
6:32.0,S. Long enters the game for T. Splitter,,96-94,,
6:21.0,,,96-94,,S. Vujacic misses 3-pt shot from 22 ft
6:20.0,Defensive rebound by R. Holmes,,96-94,,
