time,Golden State,pts.away,score,pts.home,Utah
8:35.0,,,6-3,,B. Diaw misses 2-pt shot from 2 ft (block by D. Green)
8:34.0,Defensive rebound by Z. Pachulia,,6-3,,
8:34.0,,,6-3,,Personal foul by B. Diaw (drawn by Z. Pachulia)
8:20.0,K. Durant makes 2-pt shot from 15 ft,2,8-3,,
8:14.0,,,8-3,,Turnover by S. Mack (bad pass; steal by K. Thompson)
8:03.0,K. Durant misses 2-pt shot from 11 ft,,8-3,,
8:02.0,,,8-3,,Defensive rebound by R. Gobert
7:54.0,Personal foul by K. Thompson (drawn by J. Ingles),,8-3,,
7:54.0,,,8-3,,R. Hood enters the game for J. Ingles
7:42.0,,,8-3,,Shooting foul by Z. Pachulia (drawn by S. Mack)
7:42.0,,,8-4,1,S. Mack makes free throw 1 of 2
7:42.0,,,8-4,,S. Mack misses free throw 2 of 2
7:42.0,Defensive rebound by Team,,8-4,,
7:33.0,K. Thompson misses 2-pt shot from 10 ft,,8-4,,
7:33.0,,,8-4,,Defensive rebound by G. Hayward
7:22.0,,,8-4,,B. Diaw misses 2-pt shot from 5 ft
7:21.0,Defensive rebound by D. Green,,8-4,,
7:08.0,S. Curry misses 3-pt shot from 25 ft,,8-4,,
7:07.0,,,8-4,,Defensive rebound by Team
6:46.0,,,8-6,2,S. Mack makes 2-pt shot from 13 ft
6:32.0,S. Curry makes 2-pt shot from 21 ft (assist by D. Green),2,10-6,,
6:26.0,,,10-6,,Utah full timeout
6:17.0,,,10-8,2,G. Hayward makes 2-pt shot from 19 ft (assist by S. Mack)
5:58.0,S. Curry misses 3-pt shot from 24 ft,,10-8,,
5:58.0,,,10-8,,Defensive rebound by R. Gobert
5:45.0,,,10-10,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
5:30.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,13-10,,
5:14.0,,,13-10,,Shooting foul by D. Green (drawn by R. Gobert)
5:14.0,,,13-10,,R. Gobert misses free throw 1 of 2
5:14.0,,,13-10,,Offensive rebound by Team
5:14.0,,,13-10,,R. Gobert misses free throw 2 of 2
5:14.0,Defensive rebound by J. McGee,,13-10,,
5:14.0,J. McGee enters the game for Z. Pachulia,,13-10,,
5:14.0,A. Iguodala enters the game for D. Green,,13-10,,
5:14.0,,,13-10,,J. Johnson enters the game for B. Diaw
5:03.0,K. Durant misses 2-pt shot from 3 ft (block by R. Gobert),,13-10,,
5:02.0,,,13-10,,Defensive rebound by J. Johnson
4:54.0,,,13-10,,S. Mack misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by K. Durant,,13-10,,
4:44.0,,,13-10,,R. Neto enters the game for S. Mack
4:42.0,K. Thompson makes 2-pt shot from 3 ft (assist by S. Curry),2,15-10,,
4:24.0,,,15-10,,R. Hood misses 2-pt shot from 3 ft
4:24.0,,,15-10,,Offensive rebound by R. Gobert
4:24.0,,,15-10,,Shooting foul by J. McGee (drawn by R. Gobert)
4:24.0,,,15-11,1,R. Gobert makes free throw 1 of 2
4:24.0,,,15-11,,R. Gobert misses free throw 2 of 2
4:23.0,Defensive rebound by J. McGee,,15-11,,
4:13.0,Shooting foul by R. Neto (drawn by K. Durant),,15-11,,
4:13.0,K. Durant makes free throw 1 of 2,1,16-11,,
4:13.0,K. Durant makes free throw 2 of 2,1,17-11,,
4:13.0,,,16-11,,D. Favors enters the game for R. Gobert
4:13.0,S. Livingston enters the game for K. Thompson,,16-11,,
4:01.0,,,17-11,,G. Hayward misses 2-pt shot from 19 ft
3:59.0,,,17-11,,Offensive rebound by D. Favors
3:57.0,,,17-11,,D. Favors misses 2-pt shot from 3 ft
3:56.0,Defensive rebound by K. Durant,,17-11,,
3:46.0,,,17-11,,Personal foul by D. Favors (drawn by S. Curry)
3:36.0,Turnover by A. Iguodala (bad pass; steal by D. Favors),,17-11,,
3:28.0,,,17-11,,R. Hood misses 2-pt shot from 14 ft
3:27.0,Defensive rebound by S. Curry,,17-11,,
3:21.0,S. Livingston misses 2-pt shot from 11 ft,,17-11,,
3:21.0,Offensive rebound by J. McGee,,17-11,,
3:16.0,J. McGee misses 2-pt shot from 2 ft,,17-11,,
3:16.0,,,17-11,,Defensive rebound by D. Favors
3:08.0,,,17-11,,G. Hayward misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by J. McGee,,17-11,,
2:55.0,K. Durant makes 2-pt shot from 14 ft,2,19-11,,
2:39.0,,,19-11,,Shooting foul by J. McGee (drawn by G. Hayward)
2:39.0,Golden State full timeout,,19-11,,
2:39.0,,,19-12,1,G. Hayward makes free throw 1 of 2
2:39.0,,,19-13,1,G. Hayward makes free throw 2 of 2
2:39.0,,,19-11,,D. Exum enters the game for R. Neto
2:22.0,K. Durant misses 3-pt shot from 24 ft,,19-13,,
2:22.0,Offensive rebound by J. McGee,,19-13,,
2:19.0,,,19-13,,Personal foul by D. Exum (drawn by S. Curry)
2:19.0,S. Curry makes free throw 1 of 2,1,20-13,,
2:19.0,S. Curry misses free throw 2 of 2,,20-13,,
2:18.0,Offensive rebound by Team,,20-13,,
2:16.0,Turnover by K. Durant (lost ball; steal by D. Exum),,20-13,,
2:08.0,,,20-13,,D. Exum misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by A. Iguodala,,20-13,,
1:56.0,Shooting foul by D. Exum (drawn by K. Durant),,20-13,,
1:56.0,K. Durant makes free throw 1 of 2,1,21-13,,
1:56.0,K. Durant makes free throw 2 of 2,1,22-13,,
1:41.0,,,22-15,2,G. Hayward makes 2-pt shot from 14 ft
1:26.0,S. Curry misses 2-pt shot from 9 ft,,22-15,,
1:25.0,,,22-15,,Defensive rebound by R. Hood
1:16.0,,,22-17,2,G. Hayward makes 2-pt shot from 9 ft
1:00.0,K. Durant misses 2-pt shot from 8 ft,,22-17,,
0:59.0,Offensive rebound by K. Durant,,22-17,,
0:55.0,A. Iguodala makes 3-pt shot from 25 ft (assist by S. Livingston),3,25-17,,
0:37.0,,,25-17,,J. Johnson misses 2-pt shot from 7 ft
0:36.0,Defensive rebound by J. McGee,,25-17,,
0:32.0,K. Durant makes 2-pt shot from 1 ft,2,27-17,,
0:11.0,,,27-17,,J. Johnson misses 2-pt shot from 4 ft
0:10.0,Defensive rebound by S. Curry,,27-17,,
0:01.0,K. Durant misses 3-pt shot from 28 ft,,27-17,,
0:00.0,Offensive rebound by A. Iguodala,,27-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,K. Thompson misses 2-pt shot from 22 ft,,27-17,,
11:47.0,,,27-17,,Defensive rebound by J. Johnson
11:23.0,,,27-20,3,J. Johnson makes 3-pt shot from 26 ft (assist by S. Mack)
11:11.0,,,27-20,,Personal foul by J. Ingles (drawn by A. Iguodala)
11:02.0,I. Clark misses 3-pt shot from 28 ft,,27-20,,
11:02.0,,,27-20,,Defensive rebound by R. Gobert
10:40.0,,,27-20,,J. Johnson misses 2-pt shot from 12 ft
10:39.0,Defensive rebound by Team,,27-20,,
10:32.0,,,27-20,,Personal foul by R. Gobert (drawn by D. West)
10:24.0,D. Green misses 3-pt shot from 25 ft,,27-20,,
10:23.0,,,27-20,,Defensive rebound by J. Ingles
10:07.0,,,27-20,,S. Mack misses 2-pt shot from 3 ft
10:06.0,Defensive rebound by D. Green,,27-20,,
10:04.0,,,27-20,,Personal foul by R. Hood (drawn by D. Green)
10:04.0,,,27-20,,B. Diaw enters the game for J. Johnson
9:53.0,D. Green makes 2-pt shot from 1 ft (assist by D. West),2,29-20,,
9:53.0,Shooting foul by B. Diaw (drawn by D. Green),,29-20,,
9:53.0,D. Green misses free throw 1 of 1,,29-20,,
9:52.0,,,29-20,,Defensive rebound by R. Gobert
9:39.0,,,29-20,,R. Hood misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by D. West,,29-20,,
9:17.0,I. Clark makes 2-pt shot from 5 ft,2,31-20,,
9:04.0,Personal foul by A. Iguodala (drawn by R. Gobert),,31-20,,
8:50.0,,,31-20,,Shooting foul by I. Clark (drawn by S. Mack)
8:50.0,,,31-20,,Utah full timeout
8:50.0,,,31-21,1,S. Mack makes free throw 1 of 3
8:50.0,,,31-22,1,S. Mack makes free throw 2 of 3
8:50.0,,,31-23,1,S. Mack makes free throw 3 of 3
8:50.0,,,31-20,,G. Hayward enters the game for R. Hood
8:35.0,Turnover by A. Iguodala (back court),,31-23,,
8:35.0,Violation by Team (jump ball),,31-23,,
8:24.0,,,31-25,2,B. Diaw makes 2-pt shot from 5 ft (assist by G. Hayward)
7:57.0,Turnover by I. Clark (lost ball; steal by S. Mack),,31-25,,
7:53.0,,,31-27,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
7:52.0,Golden State full timeout,,31-27,,
7:52.0,S. Livingston enters the game for A. Iguodala,,31-27,,
7:52.0,K. Durant enters the game for I. Clark,,31-27,,
7:37.0,Turnover by S. Livingston (bad pass; steal by J. Ingles),,31-27,,
7:36.0,Personal foul by K. Thompson (drawn by J. Ingles),,31-27,,
7:26.0,,,31-27,,G. Hayward misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by S. Livingston,,31-27,,
7:14.0,K. Durant makes 2-pt shot from 15 ft (assist by D. Green),2,33-27,,
7:01.0,,,33-27,,Turnover by S. Mack (discontinued dribble)
6:43.0,K. Durant makes 2-pt shot from 9 ft,2,35-27,,
6:24.0,,,35-30,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Gobert)
6:07.0,K. Durant makes 2-pt shot from 9 ft,2,37-30,,
5:55.0,,,37-30,,S. Mack misses 2-pt shot from 3 ft
5:55.0,Defensive rebound by S. Livingston,,37-30,,
5:45.0,S. Livingston misses 2-pt shot from 10 ft,,37-30,,
5:44.0,,,37-30,,Defensive rebound by R. Gobert
5:30.0,,,37-32,2,R. Gobert makes 2-pt shot from 2 ft (assist by S. Mack)
5:16.0,K. Thompson misses 2-pt shot from 14 ft,,37-32,,
5:15.0,,,37-32,,Defensive rebound by B. Diaw
5:06.0,,,37-34,2,B. Diaw makes 2-pt shot from 1 ft (assist by R. Gobert)
4:58.0,Golden State full timeout,,37-34,,
4:58.0,,,37-34,,R. Hood enters the game for J. Ingles
4:58.0,S. Curry enters the game for K. Thompson,,37-34,,
4:51.0,D. Green makes 2-pt shot at rim (assist by D. West),2,39-34,,
4:36.0,Personal foul by K. Durant (drawn by G. Hayward),,39-34,,
4:24.0,,,39-36,2,B. Diaw makes 2-pt shot at rim (assist by R. Gobert)
4:12.0,S. Curry misses 2-pt shot from 14 ft,,39-36,,
4:11.0,,,39-36,,Defensive rebound by B. Diaw
4:00.0,,,39-38,2,S. Mack makes 2-pt shot from 2 ft (assist by R. Hood)
3:36.0,D. West makes 2-pt shot from 17 ft (assist by D. Green),2,41-38,,
3:16.0,,,41-38,,Turnover by G. Hayward (lost ball)
3:16.0,A. Iguodala enters the game for D. West,,41-38,,
3:16.0,K. Thompson enters the game for S. Livingston,,41-38,,
3:16.0,,,41-38,,J. Ingles enters the game for S. Mack
2:56.0,,,41-38,,J. Johnson enters the game for B. Diaw
2:56.0,,,41-38,,Utah full timeout
2:53.0,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Curry),3,44-38,,
2:38.0,,,44-40,2,J. Ingles makes 2-pt shot from 5 ft
2:38.0,Away from play foul by D. Green (drawn by R. Gobert),,44-40,,
2:38.0,,,44-40,,R. Gobert misses free throw 1 of 1
2:38.0,D. West enters the game for D. Green,,44-40,,
2:37.0,Offensive rebound by K. Durant,,44-40,,
2:28.0,K. Durant makes 3-pt shot from 25 ft,3,47-40,,
2:28.0,Technical foul by D. Green,,47-40,,
2:28.0,,,47-41,1,G. Hayward makes technical free throw
2:09.0,,,47-41,,G. Hayward misses 2-pt shot from 23 ft
2:09.0,,,47-41,,Offensive rebound by R. Gobert
2:08.0,,,47-43,2,R. Gobert makes 2-pt shot at rim
1:53.0,K. Durant misses 2-pt shot from 1 ft (block by R. Gobert),,47-43,,
1:52.0,,,47-43,,Defensive rebound by J. Johnson
1:46.0,,,47-43,,Utah full timeout
1:46.0,,,47-43,,S. Mack enters the game for J. Ingles
1:36.0,,,47-45,2,J. Johnson makes 2-pt shot from 7 ft
1:20.0,S. Curry misses 3-pt shot from 24 ft,,47-45,,
1:19.0,,,47-45,,Defensive rebound by J. Johnson
1:01.0,,,47-48,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
0:53.0,D. West makes 2-pt shot from 13 ft (assist by S. Curry),2,49-48,,
0:37.0,,,49-48,,R. Hood misses 3-pt shot from 23 ft
0:35.0,Defensive rebound by K. Durant,,49-48,,
0:28.0,K. Thompson misses 3-pt shot from 25 ft,,49-48,,
0:27.0,,,49-48,,Defensive rebound by R. Gobert
0:27.0,Personal foul by S. Curry (drawn by R. Gobert),,49-48,,
0:27.0,,,49-49,1,R. Gobert makes free throw 1 of 2
0:27.0,,,49-50,1,R. Gobert makes free throw 2 of 2
0:27.0,,,49-49,,J. Ingles enters the game for J. Johnson
0:03.0,Turnover by D. West (lost ball; steal by J. Ingles),,49-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Z. Pachulia misses 2-pt shot from 15 ft,,49-50,,
11:40.0,,,49-50,,Defensive rebound by B. Diaw
11:16.0,,,49-50,,B. Diaw misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by K. Durant,,49-50,,
11:06.0,S. Curry misses 2-pt shot from 3 ft,,49-50,,
11:06.0,,,49-50,,Defensive rebound by B. Diaw
10:56.0,,,49-50,,S. Mack misses 2-pt shot from 4 ft
10:56.0,Defensive rebound by D. Green,,49-50,,
10:44.0,K. Durant makes 2-pt shot from 5 ft,2,51-50,,
10:22.0,,,51-52,2,G. Hayward makes 2-pt shot from 9 ft
10:03.0,D. Green misses 3-pt shot from 26 ft,,51-52,,
10:03.0,,,51-52,,Defensive rebound by R. Gobert
9:39.0,,,51-52,,S. Mack misses 2-pt shot from 5 ft (block by K. Durant)
9:39.0,,,51-52,,Offensive rebound by S. Mack
9:39.0,,,51-52,,Turnover by Team (shot clock)
9:22.0,S. Curry misses 3-pt shot from 25 ft,,51-52,,
9:22.0,,,51-52,,Defensive rebound by J. Ingles
9:04.0,,,51-54,2,J. Ingles makes 2-pt shot from 1 ft
8:54.0,S. Curry misses 3-pt shot from 24 ft,,51-54,,
8:54.0,,,51-54,,Defensive rebound by Team
8:42.0,,,51-54,,G. Hayward misses 2-pt shot from 11 ft
8:42.0,Defensive rebound by D. Green,,51-54,,
8:34.0,K. Durant misses 2-pt shot from 2 ft,,51-54,,
8:34.0,,,51-54,,Defensive rebound by R. Gobert
8:28.0,,,51-57,3,G. Hayward makes 3-pt shot from 25 ft (assist by S. Mack)
8:27.0,Golden State full timeout,,51-57,,
8:27.0,,,51-57,,R. Hood enters the game for J. Ingles
8:05.0,Z. Pachulia makes 2-pt shot from 7 ft,2,53-57,,
7:51.0,,,53-60,3,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert)
7:39.0,S. Curry misses 2-pt shot from 17 ft,,53-60,,
7:39.0,,,53-60,,Defensive rebound by R. Gobert
7:28.0,,,53-62,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
7:03.0,Z. Pachulia misses 2-pt shot from 14 ft,,53-62,,
7:03.0,,,53-62,,Defensive rebound by R. Hood
6:43.0,,,53-62,,R. Hood misses 3-pt shot from 27 ft
6:43.0,Defensive rebound by K. Thompson,,53-62,,
6:34.0,K. Thompson misses 2-pt shot from 17 ft,,53-62,,
6:33.0,Offensive rebound by Z. Pachulia,,53-62,,
6:32.0,Shooting foul by R. Gobert (drawn by Z. Pachulia),,53-62,,
6:32.0,Z. Pachulia makes 2-pt shot from 3 ft,2,55-62,,
6:32.0,Z. Pachulia makes free throw 1 of 1,1,56-62,,
6:32.0,,,55-62,,J. Johnson enters the game for B. Diaw
6:19.0,Personal foul by Z. Pachulia (drawn by R. Gobert),,56-62,,
6:19.0,A. Iguodala enters the game for Z. Pachulia,,56-62,,
6:11.0,,,56-62,,S. Mack misses 2-pt shot from 11 ft
6:10.0,Defensive rebound by K. Durant,,56-62,,
6:01.0,Shooting foul by R. Hood (drawn by D. Green),,56-62,,
6:01.0,D. Green misses free throw 1 of 2,,56-62,,
6:01.0,Offensive rebound by Team,,56-62,,
6:01.0,D. Green makes free throw 2 of 2,1,57-62,,
5:45.0,,,57-62,,Turnover by G. Hayward (lost ball)
5:33.0,S. Curry misses 3-pt shot from 24 ft,,57-62,,
5:30.0,,,57-62,,Defensive rebound by S. Mack
5:11.0,,,57-62,,G. Hayward misses 2-pt shot from 14 ft
5:11.0,Defensive rebound by S. Curry,,57-62,,
5:07.0,,,57-62,,Personal foul by R. Hood (drawn by S. Curry)
5:04.0,,,57-62,,Personal foul by S. Mack (drawn by S. Curry)
5:04.0,,,57-62,,J. Ingles enters the game for S. Mack
4:58.0,K. Durant makes 3-pt shot from 25 ft,3,60-62,,
4:42.0,,,60-64,2,J. Johnson makes 2-pt shot from 14 ft
4:29.0,K. Thompson misses 3-pt shot from 24 ft,,60-64,,
4:29.0,,,60-64,,Defensive rebound by G. Hayward
4:21.0,,,60-64,,Shooting foul by K. Durant (drawn by G. Hayward)
4:21.0,,,60-65,1,G. Hayward makes free throw 1 of 2
4:21.0,,,60-66,1,G. Hayward makes free throw 2 of 2
4:21.0,J. McGee enters the game for D. Green,,60-65,,
4:10.0,S. Curry misses 2-pt shot from 16 ft,,60-66,,
4:10.0,,,60-66,,Defensive rebound by R. Gobert
4:03.0,,,60-66,,J. Johnson misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by A. Iguodala,,60-66,,
3:49.0,J. McGee makes 2-pt shot at rim (assist by A. Iguodala),2,62-66,,
3:27.0,,,62-66,,Turnover by J. Johnson (lost ball; steal by K. Durant)
3:21.0,K. Durant misses 3-pt shot from 25 ft,,62-66,,
3:19.0,,,62-66,,Defensive rebound by J. Ingles
3:11.0,,,62-66,,J. Ingles misses 2-pt shot from 2 ft (block by J. McGee)
3:10.0,Defensive rebound by S. Curry,,62-66,,
3:05.0,S. Curry makes 3-pt shot from 25 ft,3,65-66,,
3:05.0,,,65-66,,Utah full timeout
3:05.0,S. Livingston enters the game for K. Thompson,,65-66,,
2:52.0,,,65-66,,R. Hood misses 2-pt shot from 19 ft
2:52.0,Defensive rebound by K. Durant,,65-66,,
2:36.0,S. Curry makes 2-pt shot from 20 ft,2,67-66,,
2:17.0,,,67-68,2,R. Gobert makes 2-pt shot at rim (assist by G. Hayward)
1:56.0,,,67-68,,Personal foul by J. Johnson (drawn by A. Iguodala)
1:56.0,A. Iguodala makes free throw 1 of 2,1,68-68,,
1:56.0,A. Iguodala misses free throw 2 of 2,,68-68,,
1:56.0,,,68-68,,D. Favors enters the game for R. Gobert
1:56.0,D. Green enters the game for K. Durant,,68-68,,
1:56.0,,,68-68,,S. Mack enters the game for R. Hood
1:55.0,,,68-68,,Defensive rebound by J. Johnson
1:44.0,,,68-68,,Shooting foul by S. Curry (drawn by G. Hayward)
1:44.0,,,68-69,1,G. Hayward makes free throw 1 of 2
1:44.0,,,68-70,1,G. Hayward makes free throw 2 of 2
1:32.0,,,68-70,,Personal foul by D. Favors (drawn by S. Curry)
1:32.0,S. Curry makes free throw 1 of 2,1,69-70,,
1:32.0,S. Curry makes free throw 2 of 2,1,70-70,,
1:07.0,,,70-70,,J. Johnson misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by S. Livingston,,70-70,,
0:47.0,A. Iguodala misses 2-pt shot from 12 ft,,70-70,,
0:47.0,Offensive rebound by Team,,70-70,,
0:43.0,S. Curry misses 3-pt shot from 23 ft,,70-70,,
0:43.0,,,70-70,,Defensive rebound by J. Johnson
0:31.0,,,70-70,,J. Johnson misses 2-pt shot from 6 ft
0:31.0,Defensive rebound by D. Green,,70-70,,
0:26.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,72-70,,
0:03.0,,,72-70,,G. Hayward misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by D. Green,,72-70,,
0:00.0,S. Curry misses 3-pt shot from 65 ft,,72-70,,
0:00.0,Offensive rebound by Team,,72-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,72-70,,R. Hood misses 2-pt shot from 12 ft
11:41.0,Defensive rebound by D. West,,72-70,,
11:24.0,D. Green makes 2-pt shot at rim (assist by D. West),2,74-70,,
11:02.0,,,74-73,3,S. Mack makes 3-pt shot from 25 ft
10:52.0,,,74-73,,Personal foul by B. Diaw (drawn by D. West)
10:43.0,A. Iguodala misses 2-pt shot from 16 ft,,74-73,,
10:42.0,,,74-73,,Defensive rebound by S. Mack
10:20.0,,,74-73,,J. Johnson misses 2-pt shot from 8 ft
10:19.0,Defensive rebound by D. West,,74-73,,
10:07.0,D. Green misses 2-pt shot from 2 ft,,74-73,,
10:07.0,,,74-73,,Defensive rebound by B. Diaw
9:53.0,,,74-75,2,B. Diaw makes 2-pt shot from 3 ft (assist by R. Hood)
9:25.0,K. Thompson misses 3-pt shot from 25 ft (block by J. Ingles),,74-75,,
9:24.0,Offensive rebound by I. Clark,,74-75,,
9:19.0,K. Thompson misses 3-pt shot from 23 ft,,74-75,,
9:18.0,,,74-75,,Defensive rebound by R. Hood
9:03.0,,,74-75,,Loose ball foul by S. Mack (drawn by K. Thompson)
9:03.0,,,74-75,,Turnover by S. Mack (lost ball)
9:03.0,,,74-75,,G. Hayward enters the game for J. Johnson
9:03.0,,,74-75,,R. Gobert enters the game for S. Mack
9:03.0,K. Durant enters the game for I. Clark,,74-75,,
8:53.0,,,74-75,,Personal foul by J. Ingles (drawn by A. Iguodala)
8:53.0,Golden State full timeout,,74-75,,
8:44.0,A. Iguodala makes 2-pt shot from 16 ft,2,76-75,,
8:28.0,,,76-75,,G. Hayward misses 2-pt shot from 14 ft
8:28.0,Defensive rebound by K. Durant,,76-75,,
8:08.0,A. Iguodala misses 3-pt shot from 24 ft,,76-75,,
8:08.0,,,76-75,,Defensive rebound by R. Gobert
7:49.0,,,76-75,,B. Diaw misses 2-pt shot from 11 ft
7:49.0,Defensive rebound by D. Green,,76-75,,
7:32.0,Shooting foul by B. Diaw (drawn by K. Thompson),,76-75,,
7:32.0,K. Thompson makes free throw 1 of 2,1,77-75,,
7:32.0,K. Thompson makes free throw 2 of 2,1,78-75,,
7:32.0,,,77-75,,S. Mack enters the game for R. Hood
7:32.0,S. Curry enters the game for A. Iguodala,,77-75,,
7:15.0,,,78-78,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward)
6:52.0,K. Durant misses 2-pt shot from 7 ft,,78-78,,
6:51.0,,,78-78,,Defensive rebound by J. Ingles
6:29.0,,,78-78,,S. Mack misses 2-pt shot from 5 ft
6:29.0,,,78-78,,Offensive rebound by Team
6:29.0,J. McGee enters the game for D. West,,78-78,,
6:25.0,,,78-78,,R. Gobert misses 2-pt shot from 3 ft
6:25.0,,,78-78,,Offensive rebound by R. Gobert
6:25.0,,,78-78,,Shooting foul by J. McGee (drawn by R. Gobert)
6:25.0,,,78-79,1,R. Gobert makes free throw 1 of 2
6:25.0,,,78-79,,R. Gobert misses free throw 2 of 2
6:24.0,Defensive rebound by J. McGee,,78-79,,
6:10.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,80-79,,
5:57.0,,,80-79,,S. Mack misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by D. Green,,80-79,,
5:44.0,K. Durant makes 2-pt shot from 1 ft,2,82-79,,
5:44.0,,,82-79,,Utah full timeout
5:23.0,,,82-79,,B. Diaw misses 2-pt shot from 19 ft
5:22.0,Defensive rebound by K. Durant,,82-79,,
5:05.0,,,82-79,,Personal foul by J. Ingles (drawn by S. Curry)
5:05.0,S. Curry makes free throw 1 of 2,1,83-79,,
5:05.0,S. Curry makes free throw 2 of 2,1,84-79,,
5:05.0,,,83-79,,R. Hood enters the game for J. Ingles
5:05.0,,,83-79,,J. Johnson enters the game for B. Diaw
4:55.0,,,84-79,,Shooting foul by J. McGee (drawn by R. Gobert)
4:55.0,,,84-80,1,R. Gobert makes free throw 1 of 2
4:55.0,,,84-81,1,R. Gobert makes free throw 2 of 2
4:39.0,J. McGee misses 2-pt shot from 3 ft,,84-81,,
4:38.0,,,84-81,,Defensive rebound by Team
4:20.0,,,84-81,,J. Johnson misses 3-pt shot from 23 ft
4:20.0,Defensive rebound by K. Durant,,84-81,,
4:07.0,K. Durant makes 2-pt shot from 19 ft,2,86-81,,
3:56.0,,,86-81,,Shooting foul by K. Thompson (drawn by G. Hayward)
3:56.0,,,86-82,1,G. Hayward makes free throw 1 of 3
3:56.0,,,86-83,1,G. Hayward makes free throw 2 of 3
3:56.0,,,86-84,1,G. Hayward makes free throw 3 of 3
3:56.0,A. Iguodala enters the game for J. McGee,,86-83,,
3:39.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala),3,89-84,,
3:19.0,,,89-84,,G. Hayward misses 2-pt shot from 12 ft
3:18.0,Defensive rebound by A. Iguodala,,89-84,,
3:06.0,K. Durant makes 3-pt shot from 25 ft,3,92-84,,
3:04.0,,,92-84,,Utah full timeout
2:54.0,,,92-84,,Turnover by G. Hayward (bad pass; steal by D. Green)
2:37.0,Shooting foul by J. Johnson (drawn by S. Curry),,92-84,,
2:37.0,S. Curry makes free throw 1 of 3,1,93-84,,
2:37.0,S. Curry makes free throw 2 of 3,1,94-84,,
2:37.0,S. Curry makes free throw 3 of 3,1,95-84,,
2:28.0,,,95-86,2,G. Hayward makes 2-pt shot from 22 ft
