time,Orlando,pts.away,score,pts.home,LA Clippers
4:58.0,,,14-17,,Defensive rebound by D. Jordan
4:52.0,Personal foul by E. Payton (drawn by C. Paul),,14-17,,
4:52.0,,,14-17,,LA Clippers full timeout
4:52.0,Violation by Team (jump ball),,14-17,,
4:52.0,,,14-18,1,C. Paul makes free throw 1 of 2
4:52.0,,,14-19,1,C. Paul makes free throw 2 of 2
4:52.0,,,14-17,,B. Bass enters the game for L. Mbah a Moute
4:52.0,D. Augustin enters the game for E. Payton,,14-17,,
4:38.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier),2,16-19,,
4:25.0,,,16-21,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
4:14.0,J. Meeks makes 2-pt shot from 21 ft (assist by D. Augustin),2,18-21,,
3:54.0,Personal foul by D. Augustin (drawn by C. Paul),,18-21,,
3:54.0,,,18-21,,C. Paul misses free throw 1 of 2
3:54.0,,,18-21,,Offensive rebound by Team
3:54.0,,,18-22,1,C. Paul makes free throw 2 of 2
3:54.0,B. Biyombo enters the game for N. Vucevic,,18-21,,
3:42.0,D. Augustin makes 2-pt shot from 16 ft,2,20-22,,
3:26.0,,,20-22,,J. Redick misses 3-pt shot from 26 ft
3:25.0,,,20-22,,Offensive rebound by D. Jordan
3:21.0,,,20-22,,Offensive foul by C. Paul
3:21.0,,,20-22,,Turnover by C. Paul (offensive foul)
3:21.0,,,20-22,,R. Felton enters the game for C. Paul
3:21.0,,,20-22,,J. Crawford enters the game for J. Redick
3:05.0,A. Gordon makes 3-pt shot from 23 ft (assist by J. Meeks),3,23-22,,
2:38.0,,,23-24,2,A. Rivers makes 2-pt shot from 4 ft
2:22.0,A. Gordon makes 2-pt shot at rim,2,25-24,,
2:22.0,Shooting foul by D. Jordan (drawn by A. Gordon),,25-24,,
2:22.0,Orlando full timeout,,25-24,,
2:22.0,A. Gordon misses free throw 1 of 1,,25-24,,
2:20.0,,,25-24,,Defensive rebound by B. Bass
2:05.0,,,25-26,2,A. Rivers makes 2-pt shot from 3 ft
1:35.0,E. Fournier misses 2-pt shot from 8 ft,,25-26,,
1:33.0,,,25-26,,Defensive rebound by D. Jordan
1:22.0,,,25-26,,A. Rivers misses 3-pt shot from 25 ft
1:21.0,,,25-26,,Offensive rebound by D. Jordan
1:19.0,,,25-26,,Turnover by J. Crawford (bad pass; steal by B. Biyombo)
1:14.0,E. Fournier makes 2-pt shot from 3 ft (assist by A. Gordon),2,27-26,,
0:56.0,,,27-26,,B. Bass misses 2-pt shot at rim (block by B. Biyombo)
0:56.0,,,27-26,,Offensive rebound by Team
0:56.0,,,27-26,,Turnover by B. Bass (illegal assist)
0:54.0,,,27-26,,W. Johnson enters the game for A. Rivers
0:46.0,J. Meeks makes 3-pt shot from 30 ft (assist by E. Fournier),3,30-26,,
0:39.0,Violation by B. Biyombo (def goaltending),,30-26,,
0:39.0,,,30-28,2,R. Felton makes 2-pt shot from 3 ft
0:27.0,D. Augustin misses 2-pt shot from 5 ft,,30-28,,
0:24.0,,,30-28,,Defensive rebound by D. Jordan
0:08.0,,,30-28,,Turnover by R. Felton (bad pass; steal by J. Meeks)
0:02.0,A. Gordon makes 3-pt shot from 24 ft (assist by D. Augustin),3,33-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,A. Gordon misses 3-pt shot from 26 ft,,33-28,,
11:37.0,Offensive rebound by Team,,33-28,,
11:25.0,A. Gordon misses 2-pt shot from 12 ft,,33-28,,
11:22.0,,,33-28,,Defensive rebound by W. Johnson
11:08.0,,,33-28,,R. Felton misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by J. Meeks,,33-28,,
10:57.0,B. Biyombo misses 2-pt shot from 5 ft,,33-28,,
10:54.0,,,33-28,,Defensive rebound by R. Felton
10:48.0,,,33-31,3,W. Johnson makes 3-pt shot from 27 ft (assist by J. Crawford)
10:28.0,A. Gordon makes 2-pt shot from 19 ft,2,35-31,,
10:10.0,,,35-31,,J. Crawford misses 2-pt shot from 8 ft
10:08.0,Defensive rebound by J. Meeks,,35-31,,
9:57.0,D. Augustin misses 2-pt shot from 18 ft (block by R. Felton),,35-31,,
9:54.0,,,35-31,,Defensive rebound by R. Felton
9:52.0,,,35-31,,Shooting foul by J. Meeks (drawn by B. Bass)
9:52.0,,,35-33,2,B. Bass makes 2-pt shot from 2 ft
9:52.0,,,35-34,1,B. Bass makes free throw 1 of 1
9:52.0,C. Watson enters the game for J. Meeks,,35-33,,
9:38.0,Turnover by M. Hezonja (lost ball; steal by J. Crawford),,35-34,,
9:34.0,,,35-34,,Turnover by R. Felton (bad pass)
9:14.0,M. Hezonja misses 3-pt shot from 27 ft,,35-34,,
9:13.0,,,35-34,,Defensive rebound by M. Speights
9:03.0,,,35-34,,Turnover by B. Bass (bad pass)
8:50.0,A. Gordon misses 3-pt shot from 25 ft,,35-34,,
8:49.0,Offensive rebound by A. Gordon,,35-34,,
8:46.0,Official timeout,,35-34,,
8:46.0,,,35-34,,C. Paul enters the game for B. Bass
8:46.0,E. Payton enters the game for A. Gordon,,35-34,,
8:46.0,J. Green enters the game for D. Augustin,,35-34,,
8:38.0,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja),2,37-34,,
8:23.0,,,37-34,,Turnover by J. Crawford (lost ball; steal by C. Watson)
8:14.0,Shooting foul by W. Johnson (drawn by E. Payton),,37-34,,
8:14.0,E. Payton misses free throw 1 of 2,,37-34,,
8:14.0,Offensive rebound by Team,,37-34,,
8:14.0,E. Payton misses free throw 2 of 2,,37-34,,
8:13.0,,,37-34,,Defensive rebound by R. Felton
7:59.0,,,37-34,,R. Felton misses 2-pt shot from 3 ft
7:55.0,Defensive rebound by B. Biyombo,,37-34,,
7:47.0,Turnover by B. Biyombo (lost ball; steal by W. Johnson),,37-34,,
7:27.0,,,37-36,2,C. Paul makes 2-pt shot from 19 ft
7:06.0,Orlando full timeout,,37-36,,
7:06.0,,,37-36,,J. Redick enters the game for R. Felton
6:59.0,C. Watson misses 3-pt shot from 26 ft,,37-36,,
6:59.0,Offensive rebound by Team,,37-36,,
6:59.0,,,37-36,,Loose ball foul by J. Redick (drawn by B. Biyombo)
6:51.0,J. Green misses 2-pt shot from 8 ft,,37-36,,
6:48.0,Offensive rebound by C. Watson,,37-36,,
6:45.0,C. Watson makes 2-pt shot from 20 ft,2,39-36,,
6:45.0,Shooting foul by M. Speights (drawn by C. Watson),,39-36,,
6:45.0,C. Watson makes free throw 1 of 1,1,40-36,,
6:45.0,N. Vucevic enters the game for B. Biyombo,,39-36,,
6:31.0,,,40-36,,J. Crawford misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by N. Vucevic,,40-36,,
6:23.0,J. Green makes 2-pt shot from 3 ft (assist by N. Vucevic),2,42-36,,
6:23.0,Shooting foul by W. Johnson (drawn by J. Green),,42-36,,
6:23.0,J. Green makes free throw 1 of 1,1,43-36,,
6:23.0,,,42-36,,D. Jordan enters the game for M. Speights
6:23.0,,,42-36,,L. Mbah a Moute enters the game for W. Johnson
6:04.0,Personal foul by C. Watson (drawn by L. Mbah a Moute),,43-36,,
6:04.0,,,43-36,,A. Rivers enters the game for J. Crawford
5:58.0,,,43-38,2,C. Paul makes 2-pt shot from 15 ft (assist by A. Rivers)
5:46.0,E. Payton misses 2-pt shot from 8 ft,,43-38,,
5:44.0,,,43-38,,Defensive rebound by D. Jordan
5:39.0,,,43-38,,C. Paul misses 3-pt shot from 27 ft
5:37.0,,,43-38,,Offensive rebound by L. Mbah a Moute
5:29.0,,,43-40,2,C. Paul makes 2-pt shot from 15 ft
5:08.0,M. Hezonja misses 3-pt shot from 27 ft,,43-40,,
5:07.0,,,43-40,,Defensive rebound by C. Paul
5:01.0,,,43-40,,D. Jordan misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by N. Vucevic,,43-40,,
4:52.0,N. Vucevic misses 3-pt shot from 27 ft,,43-40,,
4:51.0,Offensive rebound by J. Green,,43-40,,
4:48.0,,,43-40,,Personal foul by C. Paul (drawn by J. Green)
4:48.0,J. Green makes free throw 1 of 2,1,44-40,,
4:48.0,J. Green makes free throw 2 of 2,1,45-40,,
4:48.0,E. Fournier enters the game for M. Hezonja,,44-40,,
4:35.0,,,45-40,,L. Mbah a Moute misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by C. Watson,,45-40,,
4:26.0,J. Green misses 2-pt shot from 2 ft,,45-40,,
4:25.0,,,45-40,,Defensive rebound by L. Mbah a Moute
4:23.0,,,45-40,,Turnover by L. Mbah a Moute (traveling)
4:23.0,A. Gordon enters the game for C. Watson,,45-40,,
4:15.0,N. Vucevic misses 2-pt shot from 18 ft,,45-40,,
4:14.0,,,45-40,,Defensive rebound by C. Paul
4:05.0,,,45-40,,J. Redick misses 3-pt shot from 24 ft
4:04.0,,,45-40,,Offensive rebound by D. Jordan
3:59.0,,,45-43,3,J. Redick makes 3-pt shot from 27 ft (assist by D. Jordan)
3:46.0,Turnover by N. Vucevic (lost ball; steal by C. Paul),,45-43,,
3:36.0,,,45-45,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
3:36.0,Orlando full timeout,,45-45,,
3:36.0,Technical foul by N. Vucevic,,45-45,,
3:36.0,,,45-46,1,J. Redick makes technical free throw
3:22.0,J. Green misses 2-pt shot from 4 ft,,45-46,,
3:22.0,,,45-46,,Defensive rebound by Team
3:09.0,,,45-46,,L. Mbah a Moute misses 2-pt shot from 16 ft
3:08.0,,,45-46,,Offensive rebound by D. Jordan
2:58.0,Loose ball foul by E. Fournier (drawn by D. Jordan),,45-46,,
2:58.0,,,45-46,,LA Clippers full timeout
2:52.0,,,45-46,,Shooting foul by E. Fournier (drawn by A. Rivers)
2:52.0,,,45-47,1,A. Rivers makes free throw 1 of 2
2:52.0,,,45-48,1,A. Rivers makes free throw 2 of 2
2:36.0,Turnover by A. Gordon (lost ball; steal by D. Jordan),,45-48,,
2:30.0,,,45-50,2,L. Mbah a Moute makes 2-pt shot from 4 ft (assist by C. Paul)
2:20.0,E. Payton makes 2-pt shot from 2 ft,2,47-50,,
2:07.0,Personal foul by E. Fournier (drawn by J. Redick),,47-50,,
2:07.0,,,47-51,1,J. Redick makes free throw 1 of 2
2:07.0,,,47-52,1,J. Redick makes free throw 2 of 2
2:07.0,D. Augustin enters the game for E. Fournier,,47-51,,
1:56.0,J. Green misses 3-pt shot from 26 ft,,47-52,,
1:54.0,,,47-52,,Defensive rebound by J. Redick
1:45.0,,,47-54,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:26.0,N. Vucevic makes 2-pt shot from 12 ft,2,49-54,,
1:12.0,,,49-56,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
0:49.0,N. Vucevic makes 2-pt shot from 10 ft (assist by E. Payton),2,51-56,,
0:33.0,,,51-56,,L. Mbah a Moute misses 2-pt shot from 21 ft
0:32.0,Defensive rebound by J. Green,,51-56,,
0:14.0,E. Payton misses 2-pt shot from 16 ft,,51-56,,
0:13.0,,,51-56,,Defensive rebound by D. Jordan
0:02.0,,,51-56,,Turnover by C. Paul (bad pass)
0:02.0,J. Meeks enters the game for E. Payton,,51-56,,
0:02.0,,,51-56,,R. Felton enters the game for C. Paul
0:01.0,A. Gordon misses 3-pt shot from 27 ft,,51-56,,
0:00.0,Offensive rebound by Team,,51-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Gordon makes 2-pt shot from 3 ft,2,53-56,,
11:22.0,,,53-58,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by J. Redick)
11:03.0,Turnover by E. Fournier (bad pass; steal by L. Mbah a Moute),,53-58,,
10:59.0,,,53-60,2,L. Mbah a Moute makes 2-pt shot at rim
10:43.0,,,53-60,,Violation by D. Jordan (kicked ball)
10:33.0,J. Green makes 2-pt shot from 18 ft,2,55-60,,
10:17.0,,,55-60,,Offensive foul by D. Jordan
10:17.0,,,55-60,,Turnover by D. Jordan (offensive foul)
9:59.0,J. Green misses 2-pt shot from 19 ft,,55-60,,
9:56.0,,,55-60,,Defensive rebound by C. Paul
9:51.0,,,55-60,,J. Redick misses 3-pt shot from 27 ft
9:49.0,Defensive rebound by E. Payton,,55-60,,
9:43.0,E. Payton makes 2-pt shot from 2 ft,2,57-60,,
9:13.0,,,57-60,,C. Paul misses 2-pt shot from 15 ft
9:12.0,,,57-60,,Offensive rebound by D. Jordan
9:12.0,,,57-60,,Shooting foul by N. Vucevic (drawn by D. Jordan)
9:12.0,,,57-61,1,D. Jordan makes free throw 1 of 2
9:12.0,,,57-61,,D. Jordan misses free throw 2 of 2
9:12.0,Defensive rebound by Team,,57-61,,
9:03.0,E. Payton misses 2-pt shot from 17 ft,,57-61,,
9:01.0,,,57-61,,Defensive rebound by D. Jordan
8:47.0,Personal foul by E. Payton (drawn by C. Paul),,57-61,,
8:33.0,,,57-61,,A. Rivers misses 2-pt shot from 2 ft
8:29.0,,,57-61,,Offensive rebound by D. Jordan
8:29.0,,,57-61,,D. Jordan misses 2-pt shot at rim
8:26.0,Defensive rebound by N. Vucevic,,57-61,,
8:25.0,Turnover by E. Payton (lost ball; steal by C. Paul),,57-61,,
8:25.0,Personal foul by E. Fournier (drawn by C. Paul),,57-61,,
8:25.0,J. Meeks enters the game for E. Fournier,,57-61,,
8:11.0,,,57-63,2,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by J. Redick)
7:56.0,E. Payton misses 2-pt shot from 4 ft (block by D. Jordan),,57-63,,
7:56.0,Offensive rebound by Team,,57-63,,
7:56.0,Orlando full timeout,,57-63,,
7:53.0,J. Meeks makes 2-pt shot from 16 ft (assist by A. Gordon),2,59-63,,
7:30.0,,,59-63,,L. Mbah a Moute misses 2-pt shot from 2 ft
7:27.0,,,59-63,,Offensive rebound by D. Jordan
7:27.0,,,59-65,2,D. Jordan makes 2-pt shot from 2 ft
7:05.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,61-65,,
6:42.0,,,61-65,,A. Rivers misses 2-pt shot from 2 ft
6:41.0,Defensive rebound by N. Vucevic,,61-65,,
6:34.0,N. Vucevic makes 2-pt shot from 6 ft (assist by A. Gordon),2,63-65,,
6:18.0,,,63-65,,C. Paul misses 3-pt shot from 26 ft
6:15.0,Defensive rebound by A. Gordon,,63-65,,
6:12.0,J. Meeks misses 2-pt shot from 2 ft (block by D. Jordan),,63-65,,
6:09.0,Offensive rebound by Team,,63-65,,
6:04.0,J. Green misses 2-pt shot from 8 ft,,63-65,,
6:03.0,,,63-65,,Defensive rebound by D. Jordan
5:56.0,,,63-65,,J. Redick misses 2-pt shot from 21 ft
5:56.0,Defensive rebound by Team,,63-65,,
5:39.0,Turnover by J. Green (palming),,63-65,,
5:22.0,,,63-65,,C. Paul misses 3-pt shot from 27 ft
5:20.0,Defensive rebound by J. Green,,63-65,,
5:04.0,Turnover by N. Vucevic (bad pass; steal by C. Paul),,63-65,,
5:01.0,,,63-65,,Shooting foul by J. Green (drawn by A. Rivers)
5:01.0,,,63-65,,A. Rivers misses free throw 1 of 2
5:01.0,,,63-65,,Offensive rebound by Team
5:01.0,,,63-65,,A. Rivers misses free throw 2 of 2
5:01.0,D. Augustin enters the game for E. Payton,,63-65,,
5:00.0,Defensive rebound by N. Vucevic,,63-65,,
4:50.0,D. Augustin misses 3-pt shot from 25 ft,,63-65,,
4:49.0,,,63-65,,Defensive rebound by D. Jordan
4:39.0,,,63-65,,Offensive foul by C. Paul
4:39.0,,,63-65,,Turnover by C. Paul (offensive foul)
4:39.0,,,63-65,,J. Crawford enters the game for J. Redick
4:25.0,N. Vucevic misses 2-pt shot from 22 ft,,63-65,,
4:22.0,,,63-65,,Defensive rebound by D. Jordan
4:04.0,,,63-65,,C. Paul misses 2-pt shot from 21 ft
4:03.0,Defensive rebound by N. Vucevic,,63-65,,
3:55.0,J. Green misses 2-pt shot from 2 ft,,63-65,,
3:52.0,,,63-65,,Defensive rebound by A. Rivers
3:51.0,,,63-65,,Offensive charge foul by A. Rivers
3:51.0,,,63-65,,Turnover by A. Rivers (offensive foul)
3:51.0,,,63-65,,W. Johnson enters the game for L. Mbah a Moute
3:35.0,,,63-65,,Personal foul by D. Jordan (drawn by N. Vucevic)
3:35.0,,,63-65,,R. Felton enters the game for C. Paul
3:26.0,,,63-65,,Personal foul by R. Felton (drawn by D. Augustin)
3:26.0,M. Hezonja enters the game for J. Green,,63-65,,
3:20.0,Turnover by N. Vucevic (traveling),,63-65,,
3:04.0,,,63-67,2,J. Crawford makes 2-pt shot from 12 ft
2:52.0,J. Meeks makes 3-pt shot from 27 ft (assist by N. Vucevic),3,66-67,,
2:36.0,,,66-67,,Turnover by J. Crawford (bad pass; steal by J. Meeks)
2:30.0,A. Gordon makes 2-pt shot at rim,2,68-67,,
2:20.0,,,68-67,,LA Clippers full timeout
2:20.0,,,68-67,,M. Speights enters the game for D. Jordan
2:20.0,B. Biyombo enters the game for N. Vucevic,,68-67,,
2:06.0,,,68-69,2,J. Crawford makes 2-pt shot from 1 ft
1:46.0,B. Biyombo makes 2-pt shot from 3 ft (assist by M. Hezonja),2,70-69,,
1:23.0,,,70-69,,J. Crawford misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by B. Biyombo,,70-69,,
1:06.0,J. Meeks makes 2-pt shot from 16 ft,2,72-69,,
0:55.0,,,72-69,,Turnover by A. Rivers (lost ball)
0:55.0,,,72-69,,J. Redick enters the game for A. Rivers
0:43.0,Turnover by M. Hezonja (bad pass; steal by W. Johnson),,72-69,,
0:38.0,Violation by B. Biyombo (def goaltending),,72-69,,
0:38.0,,,72-71,2,R. Felton makes 2-pt shot from 2 ft (assist by W. Johnson)
0:19.0,A. Gordon makes 3-pt shot from 26 ft (assist by D. Augustin),3,75-71,,
0:03.0,,,75-73,2,J. Crawford makes 2-pt shot from 3 ft
0:00.0,D. Augustin misses 3-pt shot from 53 ft,,75-73,,
0:00.0,Offensive rebound by Team,,75-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,75-73,,Shooting foul by M. Hezonja (drawn by J. Crawford)
11:53.0,,,75-74,1,J. Crawford makes free throw 1 of 3
11:53.0,,,75-75,1,J. Crawford makes free throw 2 of 3
11:53.0,,,75-76,1,J. Crawford makes free throw 3 of 3
11:38.0,J. Meeks misses 3-pt shot from 26 ft,,75-76,,
11:36.0,,,75-76,,Defensive rebound by W. Johnson
11:32.0,,,75-76,,Turnover by J. Crawford (bad pass; steal by J. Meeks)
11:28.0,J. Meeks makes 2-pt shot at rim,2,77-76,,
11:10.0,,,77-79,3,M. Speights makes 3-pt shot from 25 ft (assist by J. Redick)
10:52.0,J. Green misses 3-pt shot from 27 ft,,77-79,,
10:51.0,,,77-79,,Defensive rebound by W. Johnson
10:39.0,,,77-81,2,W. Johnson makes 2-pt shot from 18 ft (assist by J. Crawford)
10:21.0,M. Hezonja misses 3-pt shot from 25 ft,,77-81,,
10:19.0,,,77-81,,Defensive rebound by M. Speights
10:12.0,,,77-83,2,M. Speights makes 2-pt shot from 2 ft (assist by J. Crawford)
10:12.0,,,77-83,,Shooting foul by M. Hezonja (drawn by M. Speights)
10:12.0,Orlando full timeout,,77-83,,
10:12.0,,,77-83,,M. Speights misses free throw 1 of 1
10:12.0,C. Watson enters the game for M. Hezonja,,77-83,,
10:10.0,Defensive rebound by J. Meeks,,77-83,,
9:48.0,J. Green misses 2-pt shot from 13 ft,,77-83,,
9:46.0,,,77-83,,Defensive rebound by J. Redick
9:43.0,,,77-83,,Turnover by M. Speights (traveling)
9:26.0,J. Green makes 2-pt shot from 15 ft,2,79-83,,
9:11.0,,,79-83,,Turnover by J. Crawford (bad pass; steal by J. Meeks)
9:06.0,D. Augustin makes 2-pt shot from 3 ft (assist by C. Watson),2,81-83,,
8:48.0,,,81-85,2,M. Speights makes 2-pt shot at rim (assist by J. Redick)
8:30.0,C. Watson misses 2-pt shot from 3 ft,,81-85,,
8:27.0,,,81-85,,Defensive rebound by M. Speights
8:23.0,,,81-87,2,R. Felton makes 2-pt shot from 2 ft
8:09.0,,,81-87,,Shooting block foul by M. Speights (drawn by J. Green)
8:09.0,J. Green misses free throw 1 of 2,,81-87,,
8:09.0,Offensive rebound by Team,,81-87,,
8:09.0,J. Green makes free throw 2 of 2,1,82-87,,
8:09.0,E. Fournier enters the game for J. Meeks,,81-87,,
7:49.0,,,82-89,2,R. Felton makes 2-pt shot from 1 ft (assist by M. Speights)
7:37.0,D. Augustin misses 2-pt shot from 18 ft,,82-89,,
7:36.0,Offensive rebound by D. Augustin,,82-89,,
7:35.0,,,82-89,,Personal foul by J. Crawford (drawn by D. Augustin)
7:35.0,A. Gordon enters the game for J. Green,,82-89,,
7:28.0,E. Fournier misses 2-pt shot from 11 ft,,82-89,,
7:26.0,,,82-89,,Defensive rebound by J. Redick
7:14.0,,,82-89,,W. Johnson misses 2-pt shot from 21 ft
7:12.0,Defensive rebound by D. Augustin,,82-89,,
7:08.0,,,82-89,,Personal foul by R. Felton (drawn by D. Augustin)
7:08.0,N. Vucevic enters the game for B. Biyombo,,82-89,,
6:53.0,Shooting foul by R. Felton (drawn by D. Augustin),,82-89,,
6:53.0,D. Augustin makes free throw 1 of 3,1,83-89,,
6:53.0,D. Augustin makes free throw 2 of 3,1,84-89,,
6:53.0,D. Augustin makes free throw 3 of 3,1,85-89,,
6:53.0,,,84-89,,C. Paul enters the game for R. Felton
6:40.0,,,85-92,3,M. Speights makes 3-pt shot from 26 ft (assist by J. Crawford)
6:24.0,E. Fournier makes 2-pt shot from 17 ft,2,87-92,,
6:09.0,,,87-92,,Offensive foul by M. Speights
6:09.0,,,87-92,,Turnover by M. Speights (offensive foul)
5:58.0,A. Gordon makes 3-pt shot from 28 ft (assist by N. Vucevic),3,90-92,,
5:38.0,,,90-95,3,M. Speights makes 3-pt shot from 26 ft (assist by J. Redick)
5:14.0,N. Vucevic makes 2-pt shot from 13 ft (assist by C. Watson),2,92-95,,
5:00.0,,,92-95,,M. Speights misses 3-pt shot from 26 ft
4:59.0,Defensive rebound by E. Fournier,,92-95,,
4:45.0,A. Gordon misses 2-pt shot from 13 ft,,92-95,,
4:42.0,,,92-95,,Defensive rebound by J. Redick
4:35.0,,,92-95,,W. Johnson misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by N. Vucevic,,92-95,,
4:27.0,E. Fournier misses 3-pt shot from 24 ft,,92-95,,
4:25.0,,,92-95,,Defensive rebound by C. Paul
4:25.0,,,92-95,,LA Clippers full timeout
4:25.0,,,92-95,,A. Rivers enters the game for W. Johnson
4:25.0,,,92-95,,D. Jordan enters the game for M. Speights
4:07.0,,,92-95,,J. Redick misses 3-pt shot from 27 ft
4:07.0,,,92-95,,Offensive rebound by Team
4:07.0,Loose ball foul by E. Fournier (drawn by D. Jordan),,92-95,,
4:07.0,J. Meeks enters the game for C. Watson,,92-95,,
3:50.0,,,92-95,,J. Redick misses 2-pt shot from 6 ft (block by N. Vucevic)
