time,Milwaukee,pts.away,score,pts.home,Houston
4:34.0,,,14-12,1,N. Hilario makes free throw 1 of 2
4:34.0,,,14-12,,N. Hilario misses free throw 2 of 2
4:31.0,,,14-12,,Offensive rebound by S. Dekker
4:26.0,,,14-12,,E. Gordon misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by M. Beasley,,14-12,,
4:06.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by G. Monroe),3,17-12,,
3:48.0,,,17-14,2,N. Hilario makes 2-pt shot from 19 ft (assist by S. Dekker)
3:32.0,J. Parker misses 2-pt shot from 12 ft,,17-14,,
3:31.0,,,17-14,,Defensive rebound by S. Dekker
3:23.0,,,17-14,,J. Harden misses 2-pt shot from 3 ft (block by M. Beasley)
3:23.0,,,17-14,,Offensive rebound by Team
3:20.0,,,17-16,2,S. Dekker makes 2-pt shot from 2 ft (assist by T. Ariza)
3:04.0,M. Beasley misses 2-pt shot from 18 ft,,17-16,,
3:02.0,Offensive rebound by G. Monroe,,17-16,,
2:59.0,M. Beasley makes 2-pt shot from 2 ft (assist by G. Monroe),2,19-16,,
2:47.0,,,19-18,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden)
2:35.0,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova),2,21-18,,
2:15.0,,,21-20,2,E. Gordon makes 2-pt shot at rim (assist by N. Hilario)
2:15.0,Milwaukee full timeout,,21-20,,
2:15.0,G. Antetokounmpo enters the game for J. Parker,,21-20,,
2:02.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,23-20,,
1:55.0,,,23-20,,Turnover by E. Gordon (lost ball)
1:43.0,Turnover by G. Monroe (lost ball; steal by N. Hilario),,23-20,,
1:43.0,Personal foul by G. Monroe (drawn by J. Harden),,23-20,,
1:25.0,,,23-20,,E. Gordon misses 3-pt shot from 26 ft
1:23.0,,,23-20,,Offensive rebound by T. Ariza
1:14.0,,,23-20,,Turnover by S. Dekker (bad pass; steal by T. Snell)
1:06.0,T. Snell misses 3-pt shot from 25 ft,,23-20,,
1:04.0,Offensive rebound by G. Antetokounmpo,,23-20,,
1:02.0,G. Antetokounmpo makes 2-pt shot at rim,2,25-20,,
0:55.0,,,25-22,2,J. Harden makes 2-pt shot from 3 ft
0:35.0,M. Dellavedova misses 3-pt shot from 26 ft,,25-22,,
0:33.0,,,25-22,,Defensive rebound by T. Ariza
0:27.0,,,25-22,,J. Harden misses 3-pt shot from 30 ft
0:26.0,Defensive rebound by G. Antetokounmpo,,25-22,,
0:20.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,27-22,,
0:02.0,,,27-22,,N. Hilario misses 2-pt shot from 9 ft
0:00.0,Defensive rebound by G. Antetokounmpo,,27-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,27-22,,C. Brewer misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by Team,,27-22,,
11:25.0,Turnover by G. Monroe (bad pass; steal by C. Brewer),,27-22,,
11:18.0,,,27-22,,P. Beverley misses 2-pt shot from 7 ft (block by G. Monroe)
11:16.0,Defensive rebound by M. Beasley,,27-22,,
11:06.0,G. Monroe makes 2-pt shot from 3 ft,2,29-22,,
10:42.0,,,29-22,,S. Dekker misses 3-pt shot from 26 ft
10:40.0,,,29-22,,Offensive rebound by C. Brewer
10:36.0,,,29-22,,E. Gordon misses 3-pt shot from 27 ft
10:35.0,,,29-22,,Offensive rebound by C. Capela
10:28.0,,,29-25,3,E. Gordon makes 3-pt shot from 24 ft (assist by C. Brewer)
10:08.0,Shooting foul by C. Brewer (drawn by G. Antetokounmpo),,29-25,,
10:08.0,G. Antetokounmpo misses free throw 1 of 2,,29-25,,
10:08.0,Offensive rebound by Team,,29-25,,
10:08.0,G. Antetokounmpo makes free throw 2 of 2,1,30-25,,
10:08.0,,,29-25,,T. Ariza enters the game for C. Brewer
9:54.0,,,30-27,2,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley)
9:31.0,G. Monroe misses 2-pt shot from 2 ft,,30-27,,
9:30.0,,,30-27,,Defensive rebound by P. Beverley
9:22.0,,,30-27,,Turnover by P. Beverley (bad pass; steal by M. Dellavedova)
9:16.0,Turnover by G. Antetokounmpo (lost ball; steal by P. Beverley),,30-27,,
9:01.0,,,30-27,,S. Dekker misses 2-pt shot from 3 ft
9:00.0,Defensive rebound by G. Antetokounmpo,,30-27,,
8:50.0,M. Beasley misses 3-pt shot from 24 ft,,30-27,,
8:48.0,,,30-27,,Defensive rebound by P. Beverley
8:41.0,,,30-27,,S. Dekker misses 2-pt shot at rim
8:39.0,Defensive rebound by M. Beasley,,30-27,,
8:34.0,M. Dellavedova misses 3-pt shot from 26 ft,,30-27,,
8:34.0,Offensive rebound by Team,,30-27,,
8:34.0,Official timeout,,30-27,,
8:34.0,M. Brogdon enters the game for G. Monroe,,30-27,,
8:34.0,J. Henson enters the game for M. Dellavedova,,30-27,,
8:24.0,M. Beasley misses 2-pt shot from 8 ft,,30-27,,
8:23.0,Offensive rebound by M. Beasley,,30-27,,
8:22.0,M. Beasley misses 2-pt shot from 9 ft (block by C. Capela),,30-27,,
8:22.0,Offensive rebound by Team,,30-27,,
8:08.0,Turnover by M. Beasley (lost ball; steal by P. Beverley),,30-27,,
8:02.0,,,30-29,2,P. Beverley makes 2-pt shot from 3 ft
7:38.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,32-29,,
7:25.0,,,32-32,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Ariza)
7:06.0,Turnover by M. Brogdon (bad pass; steal by T. Ariza),,32-32,,
6:53.0,,,32-34,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
6:34.0,J. Terry misses 3-pt shot from 25 ft,,32-34,,
6:33.0,,,32-34,,Defensive rebound by P. Beverley
6:23.0,,,32-34,,S. Dekker misses 2-pt shot at rim (block by G. Antetokounmpo)
6:21.0,Defensive rebound by G. Antetokounmpo,,32-34,,
6:12.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,32-34,,
6:11.0,,,32-34,,Defensive rebound by S. Dekker
6:05.0,,,32-34,,E. Gordon misses 3-pt shot from 27 ft
6:03.0,Defensive rebound by G. Antetokounmpo,,32-34,,
5:59.0,M. Beasley misses 2-pt shot from 3 ft,,32-34,,
5:58.0,Offensive rebound by M. Beasley,,32-34,,
5:58.0,M. Beasley misses 2-pt shot from 1 ft,,32-34,,
5:57.0,,,32-34,,Defensive rebound by C. Capela
5:56.0,,,32-34,,Houston full timeout
5:56.0,T. Snell enters the game for G. Antetokounmpo,,32-34,,
5:56.0,J. Parker enters the game for M. Beasley,,32-34,,
5:56.0,,,32-34,,M. Harrell enters the game for S. Dekker
5:56.0,,,32-34,,J. Harden enters the game for C. Capela
5:39.0,,,32-34,,P. Beverley misses 2-pt shot from 4 ft
5:38.0,,,32-34,,Offensive rebound by P. Beverley
5:35.0,,,32-36,2,P. Beverley makes 2-pt shot from 18 ft
5:19.0,J. Parker misses 2-pt shot from 17 ft,,32-36,,
5:18.0,Offensive rebound by Team,,32-36,,
5:18.0,,,32-36,,Loose ball foul by M. Harrell (drawn by J. Henson)
4:59.0,J. Henson misses 2-pt shot from 17 ft,,32-36,,
4:57.0,,,32-36,,Defensive rebound by P. Beverley
4:52.0,,,32-36,,T. Ariza misses 3-pt shot from 25 ft
4:50.0,,,32-36,,Offensive rebound by P. Beverley
4:42.0,,,32-36,,E. Gordon misses 3-pt shot from 26 ft
4:41.0,Defensive rebound by J. Parker,,32-36,,
4:26.0,,,32-36,,Personal foul by E. Gordon (drawn by J. Henson)
4:19.0,M. Brogdon misses 2-pt shot from 3 ft (block by P. Beverley),,32-36,,
4:17.0,Offensive rebound by M. Brogdon,,32-36,,
4:17.0,Offensive charge foul by J. Henson,,32-36,,
4:17.0,Turnover by J. Henson (offensive foul),,32-36,,
4:03.0,,,32-38,2,J. Harden makes 2-pt shot from 15 ft
3:52.0,M. Brogdon misses 2-pt shot from 11 ft,,32-38,,
3:50.0,Offensive rebound by M. Brogdon,,32-38,,
3:48.0,M. Brogdon misses 2-pt shot from 5 ft,,32-38,,
3:47.0,,,32-38,,Defensive rebound by M. Harrell
3:43.0,,,32-41,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza)
3:43.0,Milwaukee full timeout,,32-41,,
3:43.0,M. Dellavedova enters the game for J. Henson,,32-41,,
3:43.0,G. Monroe enters the game for T. Snell,,32-41,,
3:43.0,G. Antetokounmpo enters the game for J. Terry,,32-41,,
3:32.0,Turnover by G. Antetokounmpo (bad pass),,32-41,,
3:19.0,,,32-43,2,M. Harrell makes 2-pt shot from 8 ft (assist by J. Harden)
3:03.0,M. Brogdon misses 3-pt shot from 26 ft,,32-43,,
3:01.0,Offensive rebound by G. Monroe,,32-43,,
2:44.0,G. Monroe misses 2-pt shot from 4 ft (block by M. Harrell),,32-43,,
2:42.0,,,32-43,,Defensive rebound by M. Harrell
2:38.0,,,32-45,2,J. Harden makes 2-pt shot from 2 ft
2:21.0,Turnover by M. Dellavedova (lost ball; steal by P. Beverley),,32-45,,
2:12.0,,,32-45,,Turnover by M. Harrell (lost ball; steal by M. Brogdon)
2:09.0,Turnover by J. Parker (back court),,32-45,,
2:09.0,,,32-45,,S. Dekker enters the game for E. Gordon
2:01.0,,,32-47,2,J. Harden makes 2-pt shot from 3 ft
1:44.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,32-47,,
1:43.0,,,32-47,,Defensive rebound by J. Harden
1:35.0,,,32-47,,Turnover by M. Harrell (3 sec)
1:27.0,,,32-47,,Shooting block foul by M. Harrell (drawn by J. Parker)
1:27.0,J. Parker makes free throw 1 of 2,1,33-47,,
1:27.0,J. Parker makes free throw 2 of 2,1,34-47,,
1:09.0,,,34-47,,P. Beverley misses 3-pt shot from 24 ft
1:09.0,,,34-47,,Offensive rebound by Team
1:09.0,Loose ball foul by M. Dellavedova (drawn by S. Dekker),,34-47,,
1:04.0,,,34-47,,J. Harden misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by G. Antetokounmpo,,34-47,,
0:55.0,J. Parker misses 2-pt shot from 3 ft (block by P. Beverley),,34-47,,
0:55.0,Offensive rebound by J. Parker,,34-47,,
0:55.0,J. Parker makes 2-pt shot from 3 ft,2,36-47,,
0:35.0,,,36-50,3,P. Beverley makes 3-pt shot from 24 ft (assist by M. Harrell)
0:23.0,Turnover by G. Monroe (bad pass),,36-50,,
0:04.0,Violation by G. Monroe (def goaltending),,36-50,,
0:04.0,,,36-52,2,J. Harden makes 2-pt shot from 2 ft
0:00.0,Shooting foul by T. Ariza (drawn by G. Antetokounmpo),,36-52,,
0:00.0,G. Antetokounmpo makes free throw 1 of 3,1,37-52,,
0:00.0,G. Antetokounmpo makes free throw 2 of 3,1,38-52,,
0:00.0,,,38-52,,Violation by J. Harden (lane)
0:00.0,G. Antetokounmpo makes free throw 3 of 3,1,39-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,39-52,,P. Beverley misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by J. Henson,,39-52,,
11:22.0,Turnover by M. Brogdon (bad pass; steal by C. Brewer),,39-52,,
11:11.0,,,39-54,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden)
10:51.0,G. Antetokounmpo makes 2-pt shot from 16 ft,2,41-54,,
10:34.0,,,41-57,3,J. Harden makes 3-pt shot from 29 ft
10:10.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,41-57,,
10:09.0,,,41-57,,Defensive rebound by T. Ariza
9:59.0,,,41-57,,Turnover by T. Ariza (bad pass; steal by G. Antetokounmpo)
9:53.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,43-57,,
9:44.0,,,43-59,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
9:30.0,J. Parker misses 2-pt shot from 20 ft,,43-59,,
9:28.0,,,43-59,,Defensive rebound by C. Brewer
9:22.0,,,43-59,,J. Harden misses 3-pt shot from 28 ft
9:21.0,Defensive rebound by J. Parker,,43-59,,
9:12.0,Shooting foul by J. Harden (drawn by J. Parker),,43-59,,
9:12.0,J. Parker misses free throw 1 of 2,,43-59,,
9:12.0,Offensive rebound by Team,,43-59,,
9:12.0,J. Parker makes free throw 2 of 2,1,44-59,,
8:53.0,,,44-59,,J. Harden misses 2-pt shot from 3 ft
8:51.0,Defensive rebound by G. Antetokounmpo,,44-59,,
8:45.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,46-59,,
8:28.0,,,46-59,,Turnover by J. Harden (bad pass; steal by T. Snell)
8:28.0,,,46-59,,Personal foul by P. Beverley (drawn by M. Brogdon)
8:28.0,M. Teletovic enters the game for J. Parker,,46-59,,
8:15.0,M. Brogdon makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,49-59,,
8:02.0,,,49-59,,T. Ariza misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by M. Brogdon,,49-59,,
7:45.0,M. Teletovic misses 3-pt shot from 28 ft,,49-59,,
7:43.0,,,49-59,,Defensive rebound by M. Harrell
7:39.0,,,49-61,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
7:39.0,,,49-61,,Shooting foul by J. Henson (drawn by M. Harrell)
7:39.0,,,49-62,1,M. Harrell makes free throw 1 of 1
7:18.0,M. Teletovic misses 3-pt shot from 25 ft,,49-62,,
7:17.0,,,49-62,,Defensive rebound by M. Harrell
7:08.0,,,49-62,,M. Harrell misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
7:06.0,Defensive rebound by T. Snell,,49-62,,
7:02.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by T. Snell),2,51-62,,
6:52.0,,,51-62,,Turnover by P. Beverley (bad pass; steal by M. Teletovic)
6:49.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,53-62,,
6:49.0,Shooting foul by P. Beverley (drawn by G. Antetokounmpo),,53-62,,
6:49.0,G. Antetokounmpo makes free throw 1 of 1,1,54-62,,
6:23.0,,,54-62,,J. Harden misses 3-pt shot from 32 ft
6:23.0,Defensive rebound by Team,,54-62,,
6:09.0,M. Brogdon misses 3-pt shot from 24 ft,,54-62,,
6:07.0,Offensive rebound by J. Henson,,54-62,,
5:59.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by M. Teletovic),3,57-62,,
5:59.0,,,57-62,,Houston full timeout
5:59.0,,,57-62,,S. Dekker enters the game for C. Brewer
5:59.0,,,57-62,,E. Gordon enters the game for P. Beverley
5:46.0,,,57-65,3,J. Harden makes 3-pt shot from 24 ft (assist by M. Harrell)
5:27.0,M. Teletovic misses 2-pt shot from 22 ft,,57-65,,
5:25.0,,,57-65,,Defensive rebound by J. Harden
5:17.0,,,57-68,3,E. Gordon makes 3-pt shot from 26 ft
5:02.0,M. Teletovic misses 3-pt shot from 26 ft,,57-68,,
5:00.0,,,57-68,,Defensive rebound by E. Gordon
4:56.0,,,57-68,,Shooting foul by G. Antetokounmpo (drawn by J. Harden)
4:56.0,,,57-69,1,J. Harden makes free throw 1 of 2
4:56.0,,,57-70,1,J. Harden makes free throw 2 of 2
4:56.0,M. Dellavedova enters the game for M. Brogdon,,57-69,,
4:56.0,G. Monroe enters the game for J. Henson,,57-69,,
4:56.0,,,57-69,,N. Hilario enters the game for M. Harrell
4:39.0,M. Dellavedova makes 2-pt shot from 5 ft,2,59-70,,
4:27.0,,,59-70,,E. Gordon misses 3-pt shot from 27 ft
4:26.0,Defensive rebound by T. Snell,,59-70,,
4:18.0,Turnover by G. Antetokounmpo (palming),,59-70,,
4:10.0,,,59-72,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden)
3:41.0,M. Dellavedova misses 3-pt shot from 25 ft,,59-72,,
3:41.0,,,59-72,,Defensive rebound by Team
3:18.0,,,59-75,3,E. Gordon makes 3-pt shot from 23 ft (assist by N. Hilario)
2:54.0,G. Monroe misses 2-pt shot from 3 ft (block by J. Harden),,59-75,,
2:54.0,Offensive rebound by Team,,59-75,,
2:54.0,Milwaukee full timeout,,59-75,,
2:54.0,J. Parker enters the game for G. Antetokounmpo,,59-75,,
2:54.0,M. Beasley enters the game for M. Teletovic,,59-75,,
2:49.0,M. Beasley makes 2-pt shot from 18 ft,2,61-75,,
2:32.0,,,61-75,,T. Ariza misses 3-pt shot from 24 ft
2:30.0,Defensive rebound by J. Parker,,61-75,,
2:21.0,Turnover by M. Dellavedova (bad pass),,61-75,,
2:06.0,,,61-75,,S. Dekker misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by G. Monroe,,61-75,,
1:57.0,Shooting foul by N. Hilario (drawn by J. Parker),,61-75,,
1:57.0,J. Parker makes free throw 1 of 2,1,62-75,,
1:57.0,J. Parker makes free throw 2 of 2,1,63-75,,
1:45.0,,,63-77,2,J. Harden makes 2-pt shot from 2 ft
1:25.0,M. Dellavedova misses 2-pt shot from 2 ft,,63-77,,
1:24.0,,,63-77,,Defensive rebound by T. Ariza
1:11.0,,,63-77,,T. Ariza misses 3-pt shot from 25 ft
1:09.0,,,63-77,,Offensive rebound by E. Gordon
1:00.0,,,63-77,,E. Gordon misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by T. Snell,,63-77,,
0:53.0,J. Parker makes 2-pt shot at rim (assist by T. Snell),2,65-77,,
0:31.0,,,65-77,,J. Harden misses 3-pt shot from 25 ft
0:30.0,,,65-77,,Offensive rebound by S. Dekker
0:30.0,,,65-79,2,S. Dekker makes 2-pt shot at rim
0:07.0,J. Parker misses 2-pt shot from 9 ft,,65-79,,
0:06.0,,,65-79,,Defensive rebound by E. Gordon
0:04.0,,,65-79,,Technical foul by N. Hilario
0:04.0,Technical foul by G. Monroe,,65-79,,
0:02.0,,,65-79,,J. Harden misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by G. Monroe,,65-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,M. Beasley makes 3-pt shot from 24 ft (assist by M. Brogdon),3,68-79,,
11:24.0,,,68-81,2,P. Beverley makes 2-pt shot from 7 ft
11:05.0,J. Parker makes 2-pt shot from 7 ft (assist by M. Beasley),2,70-81,,
11:05.0,Shooting foul by C. Brewer (drawn by J. Parker),,70-81,,
11:05.0,J. Parker misses free throw 1 of 1,,70-81,,
11:05.0,,,70-81,,Defensive rebound by C. Capela
10:55.0,,,70-81,,E. Gordon misses 3-pt shot from 27 ft
10:54.0,,,70-81,,Offensive rebound by Team
10:54.0,Loose ball foul by G. Antetokounmpo (drawn by C. Capela),,70-81,,
10:38.0,,,70-81,,Shooting foul by G. Antetokounmpo (drawn by C. Capela)
10:38.0,,,70-81,,C. Capela misses free throw 1 of 2
10:38.0,,,70-81,,Offensive rebound by Team
10:38.0,,,70-82,1,C. Capela makes free throw 2 of 2
10:24.0,,,70-82,,Personal foul by E. Gordon (drawn by M. Brogdon)
10:17.0,J. Parker misses 2-pt shot from 3 ft (block by C. Capela),,70-82,,
10:15.0,,,70-82,,Defensive rebound by C. Brewer
10:02.0,,,70-82,,S. Dekker misses 2-pt shot from 8 ft (block by M. Beasley)
10:00.0,,,70-82,,Offensive rebound by S. Dekker
10:00.0,,,70-82,,S. Dekker misses 2-pt shot from 2 ft
9:58.0,Defensive rebound by Team,,70-82,,
9:46.0,M. Brogdon makes 2-pt shot from 7 ft,2,72-82,,
9:33.0,,,72-82,,E. Gordon misses 2-pt shot from 19 ft
9:32.0,Defensive rebound by J. Parker,,72-82,,
9:20.0,J. Terry misses 3-pt shot from 25 ft,,72-82,,
9:19.0,Offensive rebound by M. Beasley,,72-82,,
9:19.0,,,72-82,,Personal foul by C. Capela (drawn by M. Beasley)
9:16.0,Offensive foul by M. Brogdon,,72-82,,
9:16.0,Turnover by M. Brogdon (offensive foul),,72-82,,
9:02.0,,,72-82,,C. Capela misses 2-pt shot from 4 ft (block by J. Parker)
9:00.0,Defensive rebound by M. Beasley,,72-82,,
8:57.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Beasley),2,74-82,,
8:57.0,,,74-82,,Houston full timeout
8:57.0,T. Snell enters the game for J. Terry,,74-82,,
8:57.0,,,74-82,,M. Harrell enters the game for S. Dekker
8:57.0,,,74-82,,J. Harden enters the game for C. Capela
8:38.0,,,74-84,2,J. Harden makes 2-pt shot from 3 ft
8:15.0,J. Parker misses 3-pt shot from 25 ft,,74-84,,
8:14.0,,,74-84,,Defensive rebound by P. Beverley
8:07.0,Personal foul by J. Parker (drawn by C. Brewer),,74-84,,
8:02.0,,,74-84,,P. Beverley misses 2-pt shot from 3 ft
8:01.0,Defensive rebound by M. Beasley,,74-84,,
7:55.0,M. Beasley makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,76-84,,
7:35.0,,,76-84,,C. Brewer misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by J. Parker,,76-84,,
7:18.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,76-84,,
7:17.0,,,76-84,,Defensive rebound by J. Harden
7:12.0,,,76-84,,Shooting foul by J. Parker (drawn by J. Harden)
7:12.0,,,76-85,1,J. Harden makes free throw 1 of 2
7:12.0,,,76-86,1,J. Harden makes free throw 2 of 2
7:12.0,,,76-85,,T. Ariza enters the game for C. Brewer
6:56.0,T. Snell makes 3-pt shot from 24 ft (assist by M. Brogdon),3,79-86,,
6:42.0,,,79-86,,E. Gordon misses 3-pt shot from 26 ft
6:41.0,,,79-86,,Offensive rebound by M. Harrell
6:38.0,,,79-89,3,T. Ariza makes 3-pt shot from 25 ft (assist by M. Harrell)
6:24.0,M. Brogdon misses 3-pt shot from 25 ft,,79-89,,
6:22.0,,,79-89,,Defensive rebound by J. Harden
6:14.0,,,79-92,3,J. Harden makes 3-pt shot from 25 ft
6:14.0,Milwaukee full timeout,,79-92,,
5:57.0,M. Beasley misses 2-pt shot from 21 ft,,79-92,,
5:55.0,,,79-92,,Defensive rebound by E. Gordon
5:49.0,,,79-95,3,J. Harden makes 3-pt shot from 25 ft
5:37.0,,,79-95,,Personal block foul by T. Ariza (drawn by G. Antetokounmpo)
5:34.0,M. Brogdon misses 2-pt shot from 2 ft (block by M. Harrell),,79-95,,
5:32.0,,,79-95,,Defensive rebound by P. Beverley
5:27.0,,,79-98,3,E. Gordon makes 3-pt shot from 25 ft (assist by P. Beverley)
5:08.0,M. Beasley makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,82-98,,
4:50.0,,,82-98,,M. Harrell misses 2-pt shot from 2 ft
