time,Houston,pts.away,score,pts.home,Chicago
5:17.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,43-42,,
5:07.0,,,43-42,,R. Lopez misses 2-pt shot from 19 ft
5:05.0,Defensive rebound by T. Ariza,,43-42,,
4:54.0,Turnover by J. Harden (lost ball; steal by P. Zipser),,43-42,,
4:49.0,,,43-44,2,P. Zipser makes 2-pt shot at rim (assist by J. Butler)
4:40.0,L. Williams makes 2-pt shot at rim (assist by J. Harden),2,45-44,,
4:29.0,Personal foul by T. Ariza (drawn by J. Butler),,45-44,,
4:29.0,,,45-44,,M. Carter-Williams enters the game for R. Rondo
4:15.0,,,45-44,,J. Butler misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by Team,,45-44,,
4:04.0,J. Harden makes 2-pt shot from 2 ft,2,47-44,,
3:46.0,,,47-44,,D. Wade misses 2-pt shot from 2 ft
3:45.0,,,47-44,,Offensive rebound by J. Butler
3:45.0,,,47-46,2,J. Butler makes 2-pt shot from 1 ft
3:31.0,J. Harden misses 3-pt shot from 25 ft,,47-46,,
3:30.0,,,47-46,,Defensive rebound by P. Zipser
3:12.0,,,47-46,,M. Carter-Williams misses 2-pt shot from 2 ft
3:10.0,Defensive rebound by N. Hilario,,47-46,,
3:02.0,R. Anderson misses 3-pt shot from 25 ft,,47-46,,
3:01.0,,,47-46,,Defensive rebound by R. Lopez
2:58.0,,,47-48,2,D. Wade makes 2-pt shot from 4 ft (assist by J. Butler)
2:58.0,,,47-48,,Shooting foul by J. Harden (drawn by D. Wade)
2:58.0,Houston full timeout,,47-48,,
2:58.0,,,47-49,1,D. Wade makes free throw 1 of 1
2:58.0,P. Beverley enters the game for L. Williams,,47-48,,
2:44.0,T. Ariza misses 2-pt shot from 4 ft,,47-49,,
2:42.0,Offensive rebound by N. Hilario,,47-49,,
2:42.0,N. Hilario misses 2-pt shot from 2 ft,,47-49,,
2:41.0,,,47-49,,Defensive rebound by R. Lopez
2:19.0,,,47-49,,P. Zipser misses 2-pt shot from 17 ft
2:19.0,Defensive rebound by T. Ariza,,47-49,,
