time,Miami,pts.away,score,pts.home,Charlotte
7:28.0,,,10-8,,K. Walker misses 2-pt shot from 1 ft
7:28.0,Defensive rebound by Team,,10-8,,
7:06.0,R. McGruder misses 2-pt shot from 9 ft,,10-8,,
7:05.0,,,10-8,,Defensive rebound by C. Zeller
6:57.0,,,10-8,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
6:56.0,Defensive rebound by H. Whiteside,,10-8,,
6:47.0,Turnover by G. Dragic (lost ball; steal by M. Kidd-Gilchrist),,10-8,,
6:47.0,Personal foul by G. Dragic (drawn by M. Kidd-Gilchrist),,10-8,,
6:24.0,,,10-8,,K. Walker misses 2-pt shot from 1 ft
6:23.0,Defensive rebound by Team,,10-8,,
6:08.0,J. Richardson makes 3-pt shot from 25 ft (assist by R. McGruder),3,13-8,,
5:41.0,,,13-10,2,C. Zeller makes 2-pt shot from 2 ft
5:23.0,J. Johnson makes 2-pt shot from 2 ft,2,15-10,,
5:17.0,,,15-10,,Charlotte full timeout
5:17.0,T. Johnson enters the game for G. Dragic,,15-10,,
5:08.0,,,15-12,2,C. Zeller makes 2-pt shot from 7 ft (assist by N. Batum)
4:52.0,R. McGruder makes 3-pt shot from 25 ft (assist by J. Richardson),3,18-12,,
4:36.0,,,18-12,,C. Zeller misses 2-pt shot from 7 ft
4:34.0,,,18-12,,Offensive rebound by M. Williams
4:34.0,,,18-14,2,M. Williams makes 2-pt shot from 1 ft
4:20.0,Turnover by H. Whiteside (traveling),,18-14,,
4:17.0,,,18-14,,F. Kaminsky enters the game for C. Zeller
4:17.0,,,18-14,,M. Belinelli enters the game for N. Batum
4:02.0,,,18-14,,M. Belinelli misses 3-pt shot from 23 ft
4:01.0,,,18-14,,Offensive rebound by M. Williams
3:55.0,,,18-14,,Turnover by K. Walker (bad pass; steal by H. Whiteside)
3:46.0,J. Johnson makes 2-pt shot from 18 ft (assist by T. Johnson),2,20-14,,
3:24.0,,,20-14,,Shooting foul by H. Whiteside (drawn by M. Kidd-Gilchrist)
3:24.0,,,20-15,1,M. Kidd-Gilchrist makes free throw 1 of 2
3:24.0,,,20-16,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:24.0,W. Ellington enters the game for R. McGruder,,20-15,,
3:24.0,O. White enters the game for J. Johnson,,20-15,,
3:24.0,,,20-15,,M. Plumlee enters the game for M. Williams
3:13.0,Shooting foul by K. Walker (drawn by T. Johnson),,20-16,,
3:13.0,T. Johnson misses free throw 1 of 2,,20-16,,
3:13.0,Offensive rebound by Team,,20-16,,
3:13.0,T. Johnson makes free throw 2 of 2,1,21-16,,
2:58.0,,,21-16,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
2:56.0,Defensive rebound by H. Whiteside,,21-16,,
2:38.0,T. Johnson makes 3-pt shot from 26 ft (assist by O. White),3,24-16,,
2:22.0,,,24-19,3,K. Walker makes 3-pt shot from 25 ft
2:14.0,Miami full timeout,,24-19,,
2:14.0,,,24-19,,J. Lamb enters the game for M. Kidd-Gilchrist
2:14.0,,,24-19,,B. Roberts enters the game for K. Walker
2:14.0,W. Reed enters the game for H. Whiteside,,24-19,,
2:06.0,T. Johnson misses 2-pt shot at rim (block by B. Roberts),,24-19,,
2:06.0,Offensive rebound by T. Johnson,,24-19,,
2:06.0,T. Johnson misses 2-pt shot at rim,,24-19,,
2:06.0,,,24-19,,Defensive rebound by Team
1:48.0,,,24-19,,J. Lamb misses 2-pt shot from 7 ft
1:46.0,Defensive rebound by J. Richardson,,24-19,,
1:37.0,W. Ellington makes 3-pt shot from 25 ft (assist by O. White),3,27-19,,
1:18.0,,,27-21,2,F. Kaminsky makes 2-pt shot from 10 ft (assist by M. Belinelli)
1:00.0,W. Ellington misses 3-pt shot from 26 ft,,27-21,,
0:59.0,Offensive rebound by W. Reed,,27-21,,
0:56.0,,,27-21,,Personal foul by B. Roberts (drawn by J. Richardson)
0:56.0,G. Dragic enters the game for J. Richardson,,27-21,,
0:35.0,W. Reed misses 2-pt shot from 9 ft,,27-21,,
0:34.0,,,27-21,,Defensive rebound by M. Plumlee
0:18.0,,,27-23,2,B. Roberts makes 2-pt shot from 19 ft
0:03.0,W. Ellington misses 3-pt shot from 25 ft,,27-23,,
0:02.0,,,27-23,,Defensive rebound by M. Belinelli
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-25,2,B. Roberts makes 2-pt shot from 1 ft (assist by J. Lamb)
11:21.0,G. Dragic makes 3-pt shot from 24 ft (assist by W. Ellington),3,30-25,,
10:56.0,,,30-27,2,J. Lamb makes 2-pt shot from 12 ft
10:30.0,W. Reed misses 3-pt shot from 26 ft,,30-27,,
10:29.0,,,30-27,,Defensive rebound by F. Kaminsky
10:07.0,,,30-27,,Shooting foul by O. White (drawn by F. Kaminsky)
10:07.0,,,30-29,2,F. Kaminsky makes 2-pt shot from 2 ft
10:07.0,,,30-30,1,F. Kaminsky makes free throw 1 of 1
9:45.0,T. Johnson makes 3-pt shot from 24 ft (assist by W. Ellington),3,33-30,,
9:37.0,,,33-30,,Charlotte full timeout
9:30.0,,,33-30,,M. Belinelli misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by Team,,33-30,,
9:30.0,,,33-30,,Loose ball foul by M. Plumlee (drawn by W. Reed)
9:21.0,G. Dragic makes 2-pt shot at rim,2,35-30,,
9:09.0,,,35-30,,B. Roberts misses 2-pt shot from 18 ft
9:07.0,,,35-30,,Offensive rebound by B. Roberts
9:07.0,,,35-30,,Turnover by B. Roberts (bad pass)
8:53.0,T. Johnson misses 3-pt shot from 24 ft,,35-30,,
8:51.0,,,35-30,,Defensive rebound by B. Roberts
8:36.0,,,35-30,,F. Kaminsky misses 2-pt shot from 7 ft
8:35.0,Defensive rebound by W. Reed,,35-30,,
8:15.0,G. Dragic misses 3-pt shot from 25 ft,,35-30,,
8:13.0,Offensive rebound by W. Reed,,35-30,,
8:04.0,,,35-30,,Personal foul by J. Lamb (drawn by G. Dragic)
8:04.0,,,35-30,,N. Batum enters the game for M. Belinelli
8:04.0,,,35-30,,K. Walker enters the game for B. Roberts
7:50.0,W. Reed misses 2-pt shot from 15 ft,,35-30,,
7:49.0,,,35-30,,Defensive rebound by N. Batum
7:29.0,,,35-32,2,F. Kaminsky makes 2-pt shot from 5 ft
7:14.0,W. Ellington misses 3-pt shot from 25 ft,,35-32,,
7:13.0,,,35-32,,Defensive rebound by J. Lamb
6:57.0,,,35-32,,Shooting foul by W. Ellington (drawn by K. Walker)
6:57.0,,,35-33,1,K. Walker makes free throw 1 of 3
6:57.0,,,35-33,,K. Walker misses free throw 2 of 3
6:57.0,,,35-33,,Offensive rebound by Team
6:57.0,,,35-33,,K. Walker misses free throw 3 of 3
6:57.0,H. Whiteside enters the game for W. Reed,,35-32,,
6:57.0,,,35-33,,M. Williams enters the game for F. Kaminsky
6:57.0,,,35-33,,C. Zeller enters the game for M. Plumlee
6:57.0,J. Richardson enters the game for T. Johnson,,35-33,,
6:57.0,R. McGruder enters the game for W. Ellington,,35-33,,
6:57.0,J. Johnson enters the game for O. White,,35-33,,
6:56.0,Defensive rebound by J. Johnson,,35-33,,
6:49.0,,,35-33,,Personal foul by K. Walker (drawn by G. Dragic)
6:40.0,G. Dragic makes 2-pt shot from 17 ft,2,37-33,,
6:17.0,,,37-33,,N. Batum misses 2-pt shot from 11 ft
6:15.0,Defensive rebound by H. Whiteside,,37-33,,
6:03.0,G. Dragic makes 2-pt shot from 9 ft,2,39-33,,
5:49.0,,,39-33,,Shooting foul by H. Whiteside (drawn by K. Walker)
5:49.0,Official timeout,,39-33,,
5:49.0,,,39-34,1,K. Walker makes free throw 1 of 2
5:49.0,,,39-35,1,K. Walker makes free throw 2 of 2
5:49.0,,,39-33,,M. Kidd-Gilchrist enters the game for J. Lamb
5:49.0,T. Johnson enters the game for G. Dragic,,39-33,,
5:26.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson),3,42-35,,
5:06.0,,,42-35,,C. Zeller misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by J. Johnson,,42-35,,
4:59.0,J. Johnson misses 3-pt shot from 23 ft,,42-35,,
4:58.0,,,42-35,,Defensive rebound by M. Williams
4:42.0,,,42-35,,N. Batum misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by J. Richardson,,42-35,,
4:29.0,J. Richardson misses 3-pt shot from 25 ft,,42-35,,
4:28.0,,,42-35,,Defensive rebound by M. Kidd-Gilchrist
4:13.0,,,42-38,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
3:54.0,Turnover by R. McGruder (offensive goaltending),,42-38,,
3:34.0,,,42-40,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
3:27.0,Miami full timeout,,42-40,,
3:10.0,T. Johnson misses 2-pt shot from 10 ft,,42-40,,
3:10.0,,,42-40,,Defensive rebound by Team
3:10.0,Loose ball foul by H. Whiteside (drawn by C. Zeller),,42-40,,
3:10.0,W. Reed enters the game for H. Whiteside,,42-40,,
2:58.0,,,42-42,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
2:42.0,J. Richardson makes 2-pt shot from 11 ft,2,44-42,,
2:32.0,,,44-45,3,K. Walker makes 3-pt shot from 25 ft
2:17.0,,,44-45,,Personal foul by C. Zeller (drawn by J. Johnson)
2:17.0,,,44-45,,B. Roberts enters the game for K. Walker
2:17.0,G. Dragic enters the game for T. Johnson,,44-45,,
2:02.0,J. Johnson misses 2-pt shot from 11 ft (block by M. Williams),,44-45,,
2:02.0,Offensive rebound by Team,,44-45,,
2:02.0,Turnover by Team (shot clock),,44-45,,
1:48.0,,,44-45,,N. Batum misses 3-pt shot from 27 ft
1:47.0,Defensive rebound by G. Dragic,,44-45,,
1:37.0,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic),3,47-45,,
1:11.0,,,47-45,,C. Zeller misses 2-pt shot from 21 ft
1:10.0,Defensive rebound by R. McGruder,,47-45,,
1:00.0,R. McGruder misses 3-pt shot from 24 ft,,47-45,,
0:58.0,,,47-45,,Defensive rebound by M. Williams
0:45.0,,,47-47,2,N. Batum makes 2-pt shot from 13 ft
0:45.0,,,47-47,,Shooting foul by R. McGruder (drawn by N. Batum)
0:45.0,,,47-48,1,N. Batum makes free throw 1 of 1
0:26.0,G. Dragic makes 2-pt shot from 18 ft,2,49-48,,
0:07.0,,,49-48,,N. Batum misses 2-pt shot from 2 ft (block by W. Reed)
0:05.0,Defensive rebound by J. Richardson,,49-48,,
0:02.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,52-48,,
0:01.0,,,52-51,3,M. Williams makes 3-pt shot from 54 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,52-53,2,N. Batum makes 2-pt shot from 20 ft
11:26.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic),3,55-53,,
11:08.0,,,55-55,2,N. Batum makes 2-pt shot from 8 ft
10:51.0,G. Dragic makes 3-pt shot from 26 ft (assist by R. McGruder),3,58-55,,
10:35.0,,,58-55,,M. Williams misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by H. Whiteside,,58-55,,
10:25.0,J. Richardson makes 2-pt shot at rim (assist by R. McGruder),2,60-55,,
10:25.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Richardson),,60-55,,
10:25.0,J. Richardson makes free throw 1 of 1,1,61-55,,
10:11.0,,,61-57,2,N. Batum makes 2-pt shot from 14 ft (assist by K. Walker)
10:11.0,,,61-57,,Shooting foul by R. McGruder (drawn by N. Batum)
10:11.0,,,61-58,1,N. Batum makes free throw 1 of 1
9:55.0,J. Richardson misses 3-pt shot from 25 ft,,61-58,,
9:55.0,Offensive rebound by Team,,61-58,,
9:39.0,R. McGruder misses 2-pt shot from 9 ft,,61-58,,
9:37.0,,,61-58,,Defensive rebound by M. Kidd-Gilchrist
9:29.0,,,61-58,,M. Williams misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by H. Whiteside,,61-58,,
9:17.0,H. Whiteside misses 2-pt shot from 2 ft,,61-58,,
9:14.0,Offensive rebound by H. Whiteside,,61-58,,
9:14.0,,,61-58,,Personal foul by C. Zeller (drawn by H. Whiteside)
9:14.0,Technical foul by H. Whiteside,,61-58,,
9:14.0,,,61-59,1,N. Batum makes technical free throw
8:57.0,J. Richardson misses 2-pt shot from 3 ft,,61-59,,
8:55.0,Offensive rebound by H. Whiteside,,61-59,,
8:55.0,H. Whiteside misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,61-59,,
8:53.0,Offensive rebound by H. Whiteside,,61-59,,
8:53.0,H. Whiteside makes 2-pt shot at rim,2,63-59,,
8:26.0,,,63-59,,C. Zeller misses 2-pt shot from 19 ft
8:25.0,Defensive rebound by J. Johnson,,63-59,,
8:09.0,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Richardson),2,65-59,,
7:56.0,,,65-59,,K. Walker misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by H. Whiteside,,65-59,,
7:44.0,J. Richardson misses 3-pt shot from 23 ft,,65-59,,
7:42.0,,,65-59,,Defensive rebound by M. Williams
7:34.0,,,65-59,,N. Batum misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by H. Whiteside,,65-59,,
7:18.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,67-59,,
7:04.0,,,67-59,,C. Zeller misses 2-pt shot at rim (block by H. Whiteside)
7:02.0,Defensive rebound by J. Richardson,,67-59,,
6:48.0,J. Johnson makes 3-pt shot from 25 ft,3,70-59,,
6:48.0,,,70-59,,Charlotte full timeout
6:32.0,,,70-59,,C. Zeller misses 2-pt shot from 1 ft
6:31.0,Defensive rebound by H. Whiteside,,70-59,,
6:10.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson),3,73-59,,
5:55.0,,,73-59,,K. Walker misses 2-pt shot from 2 ft (block by H. Whiteside)
5:55.0,,,73-59,,Offensive rebound by Team
5:47.0,,,73-59,,C. Zeller misses 2-pt shot from 1 ft (block by H. Whiteside)
5:45.0,Defensive rebound by H. Whiteside,,73-59,,
5:29.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Richardson),,73-59,,
5:29.0,J. Richardson makes free throw 1 of 2,1,74-59,,
5:29.0,J. Richardson makes free throw 2 of 2,1,75-59,,
5:29.0,,,74-59,,J. Lamb enters the game for M. Kidd-Gilchrist
5:29.0,T. Johnson enters the game for J. Johnson,,74-59,,
5:29.0,O. White enters the game for G. Dragic,,74-59,,
5:29.0,,,74-59,,F. Kaminsky enters the game for M. Williams
5:14.0,,,75-61,2,N. Batum makes 2-pt shot from 21 ft (assist by C. Zeller)
4:55.0,O. White misses 3-pt shot from 25 ft,,75-61,,
4:55.0,Offensive rebound by Team,,75-61,,
4:54.0,,,75-61,,Loose ball foul by C. Zeller (drawn by H. Whiteside)
4:54.0,Turnover by J. Richardson (offensive foul),,75-61,,
4:54.0,Offensive foul by J. Richardson,,75-61,,
4:40.0,,,75-61,,Shooting foul by J. Richardson (drawn by N. Batum)
4:40.0,,,75-62,1,N. Batum makes free throw 1 of 2
4:40.0,,,75-63,1,N. Batum makes free throw 2 of 2
4:37.0,Miami full timeout,,75-63,,
4:17.0,O. White makes 3-pt shot from 26 ft (assist by J. Richardson),3,78-63,,
3:56.0,,,78-63,,K. Walker misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by H. Whiteside,,78-63,,
3:41.0,R. McGruder misses 2-pt shot from 9 ft,,78-63,,
3:41.0,Offensive rebound by H. Whiteside,,78-63,,
3:41.0,Shooting foul by N. Batum (drawn by H. Whiteside),,78-63,,
3:41.0,H. Whiteside makes free throw 1 of 2,1,79-63,,
3:41.0,H. Whiteside makes free throw 2 of 2,1,80-63,,
3:41.0,,,79-63,,M. Kidd-Gilchrist enters the game for N. Batum
3:23.0,,,80-65,2,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by F. Kaminsky)
3:06.0,H. Whiteside misses 2-pt shot from 7 ft (block by M. Kidd-Gilchrist),,80-65,,
3:05.0,,,80-65,,Defensive rebound by M. Kidd-Gilchrist
2:52.0,,,80-67,2,J. Lamb makes 2-pt shot from 16 ft
2:38.0,Shooting foul by K. Walker (drawn by T. Johnson),,80-67,,
2:38.0,T. Johnson makes free throw 1 of 2,1,81-67,,
2:38.0,T. Johnson makes free throw 2 of 2,1,82-67,,
2:38.0,W. Reed enters the game for H. Whiteside,,81-67,,
2:38.0,G. Dragic enters the game for J. Richardson,,81-67,,
2:38.0,,,81-67,,M. Williams enters the game for C. Zeller
2:24.0,,,82-67,,F. Kaminsky misses 2-pt shot from 10 ft
2:23.0,Defensive rebound by O. White,,82-67,,
2:09.0,T. Johnson misses 3-pt shot from 24 ft,,82-67,,
2:08.0,,,82-67,,Defensive rebound by K. Walker
2:03.0,,,82-67,,K. Walker misses 2-pt shot from 2 ft (block by W. Reed)
2:03.0,,,82-67,,Offensive rebound by Team
1:58.0,,,82-67,,K. Walker misses 3-pt shot from 23 ft
1:57.0,Defensive rebound by R. McGruder,,82-67,,
1:49.0,G. Dragic makes 2-pt shot from 16 ft,2,84-67,,
1:38.0,,,84-67,,Shooting foul by W. Reed (drawn by F. Kaminsky)
1:38.0,,,84-67,,F. Kaminsky misses free throw 1 of 2
1:38.0,,,84-67,,Offensive rebound by Team
1:38.0,,,84-68,1,F. Kaminsky makes free throw 2 of 2
1:24.0,G. Dragic misses 2-pt shot from 10 ft,,84-68,,
1:23.0,,,84-68,,Defensive rebound by M. Kidd-Gilchrist
1:21.0,,,84-68,,Turnover by M. Kidd-Gilchrist (lost ball; steal by G. Dragic)
1:06.0,R. McGruder misses 3-pt shot from 23 ft,,84-68,,
1:05.0,,,84-68,,Defensive rebound by J. Lamb
1:00.0,Shooting block foul by W. Reed (drawn by J. Lamb),,84-68,,
1:00.0,,,84-69,1,J. Lamb makes free throw 1 of 2
1:00.0,,,84-70,1,J. Lamb makes free throw 2 of 2
1:00.0,W. Ellington enters the game for R. McGruder,,84-69,,
0:35.0,G. Dragic misses 3-pt shot from 25 ft,,84-70,,
0:34.0,,,84-70,,Defensive rebound by J. Lamb
0:19.0,,,84-73,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
0:04.0,G. Dragic makes 2-pt shot from 6 ft,2,86-73,,
0:00.0,,,86-73,,J. Lamb misses 3-pt shot from 25 ft
0:00.0,,,86-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,G. Dragic makes 2-pt shot at rim (assist by W. Ellington),2,88-73,,
11:22.0,,,88-76,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
11:03.0,G. Dragic misses 2-pt shot from 6 ft,,88-76,,
11:02.0,,,88-76,,Defensive rebound by M. Williams
10:42.0,,,88-78,2,F. Kaminsky makes 2-pt shot from 11 ft
10:17.0,O. White misses 2-pt shot from 2 ft (block by N. Batum),,88-78,,
10:15.0,,,88-78,,Defensive rebound by M. Williams
10:11.0,,,88-80,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
10:11.0,Miami full timeout,,88-80,,
10:11.0,H. Whiteside enters the game for O. White,,88-80,,
10:11.0,J. Johnson enters the game for W. Reed,,88-80,,
9:52.0,Turnover by J. Johnson (bad pass; steal by N. Batum),,88-80,,
9:46.0,,,88-80,,N. Batum misses 2-pt shot at rim
9:44.0,Defensive rebound by W. Ellington,,88-80,,
9:34.0,H. Whiteside makes 2-pt shot at rim,2,90-80,,
9:24.0,,,90-80,,Turnover by N. Batum (bad pass; steal by J. Johnson)
9:10.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,93-80,,
8:59.0,,,93-80,,Shooting foul by W. Ellington (drawn by N. Batum)
8:59.0,,,93-81,1,N. Batum makes free throw 1 of 3
8:59.0,,,93-82,1,N. Batum makes free throw 2 of 3
8:59.0,,,93-83,1,N. Batum makes free throw 3 of 3
8:44.0,Shooting foul by F. Kaminsky (drawn by H. Whiteside),,93-83,,
8:44.0,H. Whiteside makes 2-pt shot from 1 ft,2,95-83,,
8:44.0,H. Whiteside makes free throw 1 of 1,1,96-83,,
8:44.0,J. Richardson enters the game for W. Ellington,,95-83,,
8:32.0,,,96-83,,F. Kaminsky misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by H. Whiteside,,96-83,,
8:07.0,G. Dragic misses 2-pt shot from 11 ft,,96-83,,
8:05.0,,,96-83,,Defensive rebound by J. Lamb
7:54.0,,,96-83,,F. Kaminsky misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by H. Whiteside,,96-83,,
7:38.0,T. Johnson misses 2-pt shot from 13 ft (block by J. Lamb),,96-83,,
7:36.0,,,96-83,,Defensive rebound by M. Williams
7:26.0,,,96-86,3,B. Roberts makes 3-pt shot from 26 ft (assist by N. Batum)
7:00.0,J. Richardson misses 2-pt shot from 20 ft,,96-86,,
6:59.0,,,96-86,,Defensive rebound by J. Lamb
6:52.0,,,96-86,,B. Roberts misses 2-pt shot from 1 ft
6:51.0,Defensive rebound by H. Whiteside,,96-86,,
6:38.0,Turnover by J. Johnson (bad pass),,96-86,,
6:38.0,,,96-86,,K. Walker enters the game for B. Roberts
6:38.0,O. White enters the game for H. Whiteside,,96-86,,
6:38.0,R. McGruder enters the game for G. Dragic,,96-86,,
6:15.0,,,96-86,,J. Lamb misses 2-pt shot from 10 ft
6:14.0,Defensive rebound by T. Johnson,,96-86,,
5:59.0,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson),3,99-86,,
5:59.0,,,99-86,,Charlotte full timeout
5:59.0,,,99-86,,C. Zeller enters the game for F. Kaminsky
5:34.0,,,99-86,,K. Walker misses 3-pt shot from 29 ft
5:32.0,Defensive rebound by J. Johnson,,99-86,,
5:08.0,R. McGruder misses 3-pt shot from 29 ft,,99-86,,
5:06.0,,,99-86,,Defensive rebound by C. Zeller
4:55.0,,,99-86,,Shooting foul by J. Richardson (drawn by N. Batum)
4:55.0,,,99-87,1,N. Batum makes free throw 1 of 2
4:55.0,,,99-88,1,N. Batum makes free throw 2 of 2
4:55.0,H. Whiteside enters the game for O. White,,99-87,,
4:37.0,J. Johnson makes 3-pt shot from 26 ft (assist by T. Johnson),3,102-88,,
4:21.0,,,102-90,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
3:59.0,J. Johnson makes 2-pt shot from 9 ft,2,104-90,,
3:49.0,,,104-90,,Turnover by K. Walker (lost ball; steal by J. Johnson)
3:30.0,T. Johnson makes 3-pt shot from 27 ft (assist by J. Richardson),3,107-90,,
3:13.0,,,107-92,2,K. Walker makes 2-pt shot from 14 ft
2:51.0,J. Richardson misses 2-pt shot at rim,,107-92,,
2:50.0,,,107-92,,Defensive rebound by K. Walker
2:41.0,,,107-94,2,K. Walker makes 2-pt shot from 2 ft
2:35.0,Miami full timeout,,107-94,,
2:35.0,Official timeout,,107-94,,
2:35.0,,,107-94,,M. Kidd-Gilchrist enters the game for J. Lamb
2:35.0,G. Dragic enters the game for T. Johnson,,107-94,,
2:20.0,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson),3,110-94,,
2:04.0,,,110-96,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
1:40.0,R. McGruder misses 2-pt shot from 3 ft (block by C. Zeller),,110-96,,
1:39.0,,,110-96,,Defensive rebound by N. Batum
1:33.0,,,110-99,3,M. Williams makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist)
1:11.0,R. McGruder misses 3-pt shot from 25 ft,,110-99,,
1:10.0,,,110-99,,Defensive rebound by M. Williams
1:04.0,,,110-99,,M. Williams misses 3-pt shot from 30 ft
1:03.0,Defensive rebound by Team,,110-99,,
1:02.0,,,110-99,,Personal foul by M. Williams (drawn by G. Dragic)
0:41.0,G. Dragic misses 3-pt shot from 27 ft,,110-99,,
0:41.0,,,110-99,,Defensive rebound by M. Williams
0:41.0,,,110-99,,Charlotte full timeout
0:41.0,,,110-99,,F. Kaminsky enters the game for M. Williams
0:38.0,,,110-99,,N. Batum misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by J. Richardson,,110-99,,
0:35.0,,,110-99,,Personal take foul by M. Kidd-Gilchrist (drawn by G. Dragic)
0:35.0,G. Dragic makes free throw 1 of 2,1,111-99,,
0:35.0,G. Dragic makes free throw 2 of 2,1,112-99,,
0:28.0,,,112-99,,K. Walker misses 3-pt shot from 30 ft
0:26.0,Defensive rebound by H. Whiteside,,112-99,,
0:04.0,Turnover by Team (shot clock),,112-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
