time,Detroit,pts.away,score,pts.home,Phoenix
2:48.0,I. Smith misses 2-pt shot from 2 ft,,24-16,,
2:46.0,,,24-16,,Defensive rebound by B. Knight
2:44.0,Personal block foul by K. Caldwell-Pope (drawn by B. Knight),,24-16,,
2:44.0,Detroit full timeout,,24-16,,
2:44.0,,,24-16,,E. Bledsoe enters the game for T. Warren
2:44.0,,,24-16,,J. Dudley enters the game for A. Len
2:44.0,,,24-16,,D. Bender enters the game for D. Booker
2:44.0,A. Baynes enters the game for T. Harris,,24-16,,
2:44.0,M. Morris enters the game for A. Drummond,,24-16,,
2:44.0,B. Udrih enters the game for I. Smith,,24-16,,
2:31.0,,,24-16,,B. Knight misses 2-pt shot from 11 ft
2:28.0,Defensive rebound by J. Leuer,,24-16,,
2:15.0,B. Udrih misses 3-pt shot from 25 ft,,24-16,,
2:14.0,Offensive rebound by Team,,24-16,,
2:06.0,J. Leuer misses 2-pt shot from 17 ft (block by J. Dudley),,24-16,,
2:06.0,,,24-16,,Defensive rebound by J. Dudley
1:54.0,,,24-16,,D. Bender misses 2-pt shot from 21 ft
1:51.0,Defensive rebound by J. Leuer,,24-16,,
1:35.0,K. Caldwell-Pope makes 2-pt shot from 15 ft,2,26-16,,
1:12.0,,,26-16,,Turnover by B. Knight (bad pass; steal by A. Baynes)
1:06.0,J. Leuer misses 3-pt shot from 26 ft,,26-16,,
1:02.0,,,26-16,,Defensive rebound by J. Dudley
1:00.0,Personal foul by M. Morris (drawn by J. Dudley),,26-16,,
1:00.0,,,26-17,1,J. Dudley makes free throw 1 of 2
1:00.0,,,26-17,,J. Dudley misses free throw 2 of 2
0:59.0,Defensive rebound by J. Leuer,,26-17,,
0:36.0,M. Morris misses 3-pt shot from 26 ft,,26-17,,
0:33.0,Offensive rebound by J. Leuer,,26-17,,
0:30.0,M. Morris makes 2-pt shot from 14 ft (assist by J. Leuer),2,28-17,,
0:09.0,Personal block foul by J. Leuer (drawn by B. Knight),,28-17,,
0:09.0,,,28-18,1,B. Knight makes free throw 1 of 2
0:09.0,,,28-19,1,B. Knight makes free throw 2 of 2
0:00.0,K. Caldwell-Pope misses 3-pt shot from 30 ft,,28-19,,
0:00.0,Offensive rebound by Team,,28-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-21,2,J. Dudley makes 2-pt shot from 17 ft (assist by B. Knight)
11:24.0,B. Udrih misses 2-pt shot from 23 ft,,28-21,,
11:20.0,,,28-21,,Defensive rebound by P. Tucker
11:15.0,,,28-23,2,B. Knight makes 2-pt shot from 3 ft
11:00.0,Turnover by S. Johnson (traveling),,28-23,,
10:54.0,,,28-23,,Turnover by D. Bender (bad pass; steal by B. Udrih)
10:50.0,Shooting foul by D. Bender (drawn by J. Leuer),,28-23,,
10:50.0,J. Leuer makes free throw 1 of 2,1,29-23,,
10:50.0,J. Leuer makes free throw 2 of 2,1,30-23,,
10:39.0,Personal foul by B. Udrih (drawn by J. Dudley),,30-23,,
10:31.0,,,30-23,,D. Bender misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by J. Leuer,,30-23,,
10:13.0,Shooting foul by D. Bender (drawn by A. Baynes),,30-23,,
10:13.0,A. Baynes misses free throw 1 of 2,,30-23,,
10:13.0,Offensive rebound by Team,,30-23,,
10:13.0,A. Baynes makes free throw 2 of 2,1,31-23,,
10:05.0,,,31-23,,Shooting foul by A. Baynes (drawn by P. Tucker)
10:05.0,,,31-24,1,P. Tucker makes free throw 1 of 2
10:05.0,,,31-25,1,P. Tucker makes free throw 2 of 2
10:05.0,A. Drummond enters the game for A. Baynes,,31-24,,
9:42.0,S. Johnson misses 2-pt shot from 17 ft,,31-25,,
9:41.0,,,31-25,,Defensive rebound by Team
9:41.0,Loose ball foul by A. Drummond (drawn by L. Barbosa),,31-25,,
9:21.0,,,31-27,2,B. Knight makes 2-pt shot from 19 ft (assist by P. Tucker)
9:04.0,M. Morris misses 2-pt shot from 18 ft,,31-27,,
9:02.0,,,31-27,,Defensive rebound by J. Dudley
8:54.0,,,31-30,3,L. Barbosa makes 3-pt shot from 24 ft (assist by B. Knight)
8:45.0,Detroit full timeout,,31-30,,
8:29.0,Shooting foul by D. Bender (drawn by A. Drummond),,31-30,,
8:29.0,A. Drummond makes free throw 1 of 2,1,32-30,,
8:29.0,A. Drummond misses free throw 2 of 2,,32-30,,
8:29.0,T. Harris enters the game for M. Morris,,32-30,,
8:29.0,,,32-30,,T. Warren enters the game for D. Bender
8:28.0,,,32-30,,Defensive rebound by J. Dudley
8:08.0,,,32-33,3,J. Dudley makes 3-pt shot from 26 ft (assist by L. Barbosa)
7:55.0,S. Johnson makes 2-pt shot from 2 ft (assist by A. Drummond),2,34-33,,
7:46.0,,,34-33,,L. Barbosa misses 2-pt shot from 20 ft
7:44.0,,,34-33,,Offensive rebound by L. Barbosa
7:41.0,,,34-35,2,L. Barbosa makes 2-pt shot from 2 ft
7:27.0,J. Leuer misses 2-pt shot from 16 ft,,34-35,,
7:26.0,,,34-35,,Defensive rebound by L. Barbosa
7:18.0,,,34-35,,Shooting foul by J. Leuer (drawn by J. Dudley)
7:18.0,,,34-36,1,J. Dudley makes free throw 1 of 2
7:18.0,,,34-37,1,J. Dudley makes free throw 2 of 2
7:18.0,M. Morris enters the game for J. Leuer,,34-36,,
7:18.0,I. Smith enters the game for B. Udrih,,34-36,,
7:07.0,Shooting foul by P. Tucker (drawn by S. Johnson),,34-37,,
7:07.0,S. Johnson makes free throw 1 of 2,1,35-37,,
7:07.0,S. Johnson makes free throw 2 of 2,1,36-37,,
6:58.0,,,36-39,2,B. Knight makes 2-pt shot from 16 ft
6:43.0,T. Harris misses 2-pt shot from 14 ft,,36-39,,
6:41.0,,,36-39,,Defensive rebound by P. Tucker
6:34.0,,,36-39,,B. Knight misses 3-pt shot from 26 ft
6:26.0,Defensive rebound by A. Drummond,,36-39,,
6:23.0,Turnover by T. Harris (bad pass; steal by P. Tucker),,36-39,,
6:11.0,,,36-39,,Turnover by B. Knight (bad pass; steal by T. Harris)
6:08.0,S. Johnson makes 2-pt shot from 3 ft (assist by T. Harris),2,38-39,,
5:49.0,,,38-39,,P. Tucker misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by A. Drummond,,38-39,,
5:41.0,I. Smith makes 2-pt shot from 2 ft (assist by A. Drummond),2,40-39,,
5:40.0,,,40-39,,Phoenix full timeout
5:40.0,,,40-39,,E. Bledsoe enters the game for P. Tucker
5:40.0,,,40-39,,A. Len enters the game for B. Knight
5:40.0,,,40-39,,D. Booker enters the game for L. Barbosa
5:40.0,K. Caldwell-Pope enters the game for S. Johnson,,40-39,,
5:28.0,,,40-39,,Turnover by E. Bledsoe (bad pass; steal by I. Smith)
5:24.0,I. Smith misses 2-pt shot from 3 ft (block by J. Dudley),,40-39,,
5:24.0,Offensive rebound by Team,,40-39,,
5:11.0,I. Smith misses 2-pt shot from 21 ft,,40-39,,
5:09.0,,,40-39,,Defensive rebound by A. Len
5:04.0,,,40-42,3,J. Dudley makes 3-pt shot from 25 ft (assist by D. Booker)
4:39.0,Shooting foul by E. Bledsoe (drawn by I. Smith),,40-42,,
4:39.0,I. Smith makes free throw 1 of 2,1,41-42,,
4:39.0,I. Smith makes free throw 2 of 2,1,42-42,,
4:32.0,,,42-42,,Turnover by E. Bledsoe (bad pass; steal by M. Morris)
4:28.0,M. Morris makes 2-pt shot at rim (assist by T. Harris),2,44-42,,
4:28.0,Shooting foul by A. Len (drawn by M. Morris),,44-42,,
4:28.0,M. Morris makes free throw 1 of 1,1,45-42,,
4:04.0,,,45-44,2,J. Dudley makes 2-pt shot from 17 ft
3:45.0,M. Morris misses 2-pt shot from 14 ft,,45-44,,
3:41.0,,,45-44,,Defensive rebound by E. Bledsoe
3:39.0,,,45-46,2,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe)
3:26.0,I. Smith misses 2-pt shot from 2 ft,,45-46,,
3:22.0,Offensive rebound by A. Drummond,,45-46,,
3:22.0,A. Drummond makes 2-pt shot from 1 ft,2,47-46,,
3:16.0,,,47-49,3,J. Dudley makes 3-pt shot from 25 ft (assist by D. Booker)
2:52.0,T. Harris misses 2-pt shot from 15 ft,,47-49,,
2:50.0,Offensive rebound by A. Drummond,,47-49,,
2:50.0,A. Drummond misses 2-pt shot from 2 ft,,47-49,,
2:48.0,,,47-49,,Defensive rebound by A. Len
2:33.0,,,47-49,,Turnover by T. Warren (lost ball)
2:33.0,Official timeout,,47-49,,
2:33.0,A. Baynes enters the game for A. Drummond,,47-49,,
2:22.0,T. Harris misses 2-pt shot from 7 ft (block by A. Len),,47-49,,
2:20.0,,,47-49,,Defensive rebound by D. Booker
2:16.0,,,47-49,,J. Dudley misses 3-pt shot from 26 ft
2:16.0,,,47-49,,Offensive rebound by Team
2:16.0,Loose ball foul by A. Baynes (drawn by A. Len),,47-49,,
2:16.0,,,47-49,,A. Len misses free throw 1 of 2
2:16.0,,,47-49,,Offensive rebound by Team
2:16.0,,,47-49,,A. Len misses free throw 2 of 2
2:14.0,Defensive rebound by K. Caldwell-Pope,,47-49,,
1:59.0,I. Smith misses 2-pt shot from 16 ft,,47-49,,
1:57.0,,,47-49,,Defensive rebound by E. Bledsoe
1:38.0,,,47-52,3,E. Bledsoe makes 3-pt shot from 26 ft
1:27.0,,,47-52,,Personal foul by T. Warren
1:27.0,M. Morris makes free throw 1 of 2,1,48-52,,
1:27.0,M. Morris makes free throw 2 of 2,1,49-52,,
1:13.0,,,49-52,,T. Warren misses 3-pt shot from 24 ft
1:12.0,Defensive rebound by K. Caldwell-Pope,,49-52,,
1:05.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,49-52,,
1:02.0,,,49-52,,Defensive rebound by A. Len
0:58.0,,,49-52,,D. Booker misses 3-pt shot from 25 ft
0:55.0,,,49-52,,Offensive rebound by E. Bledsoe
0:46.0,,,49-54,2,A. Len makes 2-pt shot at rim (assist by D. Booker)
0:35.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,49-54,,
0:33.0,,,49-54,,Defensive rebound by D. Booker
0:29.0,,,49-54,,Offensive charge foul by D. Booker
0:29.0,,,49-54,,Turnover by D. Booker (offensive foul)
0:10.0,T. Harris misses 2-pt shot from 16 ft,,49-54,,
0:10.0,Offensive rebound by Team,,49-54,,
0:10.0,,,49-54,,Loose ball foul by J. Dudley (drawn by A. Baynes)
0:10.0,A. Baynes makes free throw 1 of 2,1,50-54,,
0:10.0,A. Baynes makes free throw 2 of 2,1,51-54,,
0:04.0,,,51-54,,Turnover by D. Booker (lost ball; steal by I. Smith)
0:01.0,I. Smith misses 2-pt shot from 2 ft,,51-54,,
0:00.0,Offensive rebound by K. Caldwell-Pope,,51-54,,
0:00.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,51-54,,
0:00.0,Offensive rebound by Team,,51-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,51-54,,D. Booker misses 3-pt shot from 25 ft
11:47.0,,,51-54,,Offensive rebound by M. Chriss
11:44.0,,,51-54,,E. Bledsoe misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by A. Drummond,,51-54,,
11:24.0,A. Drummond misses 2-pt shot from 12 ft,,51-54,,
11:21.0,,,51-54,,Defensive rebound by A. Len
11:06.0,,,51-54,,D. Booker misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by A. Drummond,,51-54,,
10:52.0,Shooting foul by M. Chriss (drawn by K. Caldwell-Pope),,51-54,,
10:52.0,K. Caldwell-Pope misses free throw 1 of 2,,51-54,,
10:52.0,Offensive rebound by Team,,51-54,,
10:52.0,K. Caldwell-Pope makes free throw 2 of 2,1,52-54,,
10:34.0,,,52-54,,T. Warren misses 2-pt shot from 14 ft
10:32.0,,,52-54,,Offensive rebound by M. Chriss
10:29.0,,,52-54,,T. Warren misses 2-pt shot from 15 ft
10:27.0,Defensive rebound by T. Harris,,52-54,,
10:16.0,M. Morris misses 2-pt shot from 9 ft,,52-54,,
10:14.0,,,52-54,,Defensive rebound by T. Warren
10:04.0,,,52-54,,E. Bledsoe misses 2-pt shot from 14 ft
10:00.0,Defensive rebound by A. Drummond,,52-54,,
9:54.0,I. Smith misses 3-pt shot from 26 ft,,52-54,,
9:50.0,,,52-54,,Defensive rebound by M. Chriss
9:47.0,,,52-57,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
9:19.0,T. Harris misses 2-pt shot from 12 ft,,52-57,,
9:15.0,Offensive rebound by A. Drummond,,52-57,,
9:15.0,A. Drummond makes 2-pt shot from 2 ft,2,54-57,,
9:05.0,,,54-57,,Turnover by M. Chriss (lost ball; steal by I. Smith)
9:01.0,I. Smith misses 2-pt shot from 2 ft (block by D. Booker),,54-57,,
9:01.0,Offensive rebound by Team,,54-57,,
8:59.0,K. Caldwell-Pope misses 2-pt shot from 4 ft,,54-57,,
8:55.0,,,54-57,,Defensive rebound by M. Chriss
8:53.0,,,54-57,,T. Warren misses 2-pt shot from 4 ft (block by T. Harris)
8:53.0,,,54-57,,Offensive rebound by Team
8:48.0,,,54-57,,T. Warren misses 2-pt shot from 18 ft
8:46.0,Defensive rebound by A. Drummond,,54-57,,
8:34.0,A. Drummond makes 2-pt shot from 2 ft (assist by I. Smith),2,56-57,,
8:15.0,,,56-57,,M. Chriss misses 2-pt shot from 5 ft (block by A. Drummond)
8:15.0,,,56-57,,Offensive rebound by Team
8:08.0,,,56-57,,E. Bledsoe misses 2-pt shot from 21 ft
8:06.0,Defensive rebound by I. Smith,,56-57,,
8:00.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by I. Smith),2,58-57,,
7:44.0,,,58-59,2,D. Booker makes 2-pt shot from 15 ft (assist by E. Bledsoe)
7:30.0,Shooting foul by M. Chriss (drawn by T. Harris),,58-59,,
7:30.0,T. Harris makes free throw 1 of 2,1,59-59,,
7:30.0,T. Harris makes free throw 2 of 2,1,60-59,,
7:13.0,,,60-61,2,A. Len makes 2-pt shot from 5 ft (assist by E. Bledsoe)
6:53.0,M. Morris misses 2-pt shot from 16 ft,,60-61,,
6:49.0,,,60-61,,Defensive rebound by A. Len
6:43.0,,,60-61,,T. Warren misses 2-pt shot from 6 ft (block by T. Harris)
6:39.0,,,60-61,,Offensive rebound by T. Warren
6:36.0,,,60-63,2,A. Len makes 2-pt shot from 7 ft (assist by T. Warren)
6:24.0,T. Harris misses 3-pt shot from 25 ft,,60-63,,
6:22.0,,,60-63,,Defensive rebound by A. Len
6:15.0,,,60-65,2,D. Booker makes 2-pt shot from 5 ft
6:15.0,,,60-65,,Shooting foul by I. Smith (drawn by D. Booker)
6:15.0,,,60-66,1,D. Booker makes free throw 1 of 1
6:01.0,A. Drummond misses 2-pt shot from 8 ft,,60-66,,
5:59.0,,,60-66,,Defensive rebound by E. Bledsoe
5:55.0,,,60-66,,Turnover by E. Bledsoe (bad pass)
5:55.0,,,60-66,,Phoenix full timeout
5:55.0,J. Leuer enters the game for M. Morris,,60-66,,
5:43.0,T. Harris misses 2-pt shot from 18 ft,,60-66,,
5:41.0,,,60-66,,Defensive rebound by E. Bledsoe
5:28.0,,,60-68,2,T. Warren makes 2-pt shot from 17 ft
5:12.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,60-68,,
5:10.0,,,60-68,,Defensive rebound by E. Bledsoe
4:55.0,,,60-68,,T. Warren misses 2-pt shot from 16 ft
4:51.0,Defensive rebound by A. Drummond,,60-68,,
4:43.0,I. Smith makes 2-pt shot from 6 ft,2,62-68,,
4:23.0,,,62-68,,Turnover by E. Bledsoe (bad pass; steal by K. Caldwell-Pope)
4:20.0,I. Smith makes 2-pt shot at rim,2,64-68,,
4:02.0,,,64-68,,Turnover by D. Booker (bad pass; steal by I. Smith)
3:56.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,64-68,,
3:54.0,Offensive rebound by A. Drummond,,64-68,,
3:49.0,I. Smith misses 2-pt shot from 2 ft,,64-68,,
3:46.0,,,64-68,,Defensive rebound by A. Len
3:43.0,,,64-70,2,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe)
3:35.0,Detroit full timeout,,64-70,,
3:35.0,,,64-70,,J. Dudley enters the game for M. Chriss
3:35.0,,,64-70,,B. Knight enters the game for D. Booker
3:35.0,B. Udrih enters the game for A. Drummond,,64-70,,
3:35.0,A. Baynes enters the game for I. Smith,,64-70,,
3:23.0,J. Leuer misses 3-pt shot from 25 ft,,64-70,,
3:21.0,,,64-70,,Defensive rebound by A. Len
3:07.0,,,64-70,,E. Bledsoe misses 2-pt shot from 1 ft
3:03.0,Defensive rebound by T. Harris,,64-70,,
2:58.0,K. Caldwell-Pope makes 3-pt shot from 26 ft,3,67-70,,
2:41.0,,,67-70,,B. Knight misses 2-pt shot from 17 ft
2:38.0,Defensive rebound by A. Baynes,,67-70,,
2:26.0,Offensive foul by T. Harris,,67-70,,
2:26.0,Turnover by T. Harris (offensive foul),,67-70,,
2:26.0,,,67-70,,P. Tucker enters the game for E. Bledsoe
2:26.0,M. Morris enters the game for T. Harris,,67-70,,
2:09.0,,,67-73,3,B. Knight makes 3-pt shot from 24 ft
1:56.0,Shooting foul by T. Warren (drawn by K. Caldwell-Pope),,67-73,,
1:56.0,K. Caldwell-Pope makes free throw 1 of 2,1,68-73,,
1:56.0,K. Caldwell-Pope makes free throw 2 of 2,1,69-73,,
1:49.0,,,69-75,2,B. Knight makes 2-pt shot from 11 ft
1:49.0,,,69-75,,Shooting foul by B. Udrih (drawn by B. Knight)
1:49.0,,,69-76,1,B. Knight makes free throw 1 of 1
1:30.0,B. Udrih misses 2-pt shot from 2 ft,,69-76,,
1:28.0,,,69-76,,Defensive rebound by A. Len
1:25.0,,,69-76,,Turnover by J. Dudley (traveling)
1:11.0,M. Morris misses 2-pt shot from 19 ft,,69-76,,
1:09.0,,,69-76,,Defensive rebound by J. Dudley
1:01.0,,,69-78,2,A. Len makes 2-pt shot from 2 ft (assist by B. Knight)
0:50.0,,,69-78,,Def 3 sec tech foul by A. Len
0:50.0,B. Udrih makes technical free throw,1,70-78,,
0:38.0,Turnover by B. Udrih (lost ball; steal by A. Len),,70-78,,
0:38.0,Personal block foul by A. Baynes (drawn by A. Len),,70-78,,
0:38.0,,,70-78,,A. Len misses free throw 1 of 2
0:38.0,,,70-78,,Offensive rebound by Team
0:38.0,,,70-79,1,A. Len makes free throw 2 of 2
0:27.0,J. Leuer makes 3-pt shot from 23 ft (assist by B. Udrih),3,73-79,,
0:05.0,,,73-81,2,T. Warren makes 2-pt shot from 5 ft
0:00.0,K. Caldwell-Pope makes 3-pt shot from 26 ft,3,76-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Morris misses 3-pt shot from 23 ft,,76-81,,
11:44.0,Offensive rebound by A. Baynes,,76-81,,
11:41.0,B. Udrih misses 2-pt shot from 18 ft,,76-81,,
11:41.0,,,76-81,,Defensive rebound by Team
11:41.0,Loose ball foul by A. Baynes (drawn by J. Dudley),,76-81,,
11:27.0,,,76-81,,Turnover by B. Knight (bad pass; steal by M. Morris)
11:22.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by M. Morris),3,79-81,,
11:04.0,,,79-81,,D. Bender misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by M. Morris,,79-81,,
10:50.0,J. Leuer makes 2-pt shot from 2 ft,2,81-81,,
10:50.0,Shooting foul by D. Bender (drawn by J. Leuer),,81-81,,
10:50.0,J. Leuer makes free throw 1 of 1,1,82-81,,
10:32.0,,,82-81,,D. Bender misses 2-pt shot from 5 ft
10:28.0,Defensive rebound by B. Udrih,,82-81,,
10:22.0,B. Udrih misses 2-pt shot from 13 ft,,82-81,,
10:21.0,Offensive rebound by Team,,82-81,,
10:21.0,,,82-81,,Loose ball foul by J. Dudley (drawn by A. Baynes)
10:13.0,J. Leuer makes 3-pt shot from 25 ft (assist by B. Udrih),3,85-81,,
10:08.0,,,85-81,,Phoenix full timeout
10:08.0,,,85-81,,E. Bledsoe enters the game for B. Knight
10:08.0,,,85-81,,D. Booker enters the game for D. Bender
10:08.0,,,85-81,,A. Len enters the game for L. Barbosa
9:53.0,,,85-81,,D. Booker misses 3-pt shot from 26 ft
9:52.0,,,85-81,,Offensive rebound by Team
9:52.0,Loose ball foul by A. Baynes (drawn by A. Len),,85-81,,
9:52.0,A. Drummond enters the game for A. Baynes,,85-81,,
9:45.0,,,85-81,,J. Dudley misses 2-pt shot from 12 ft
9:44.0,,,85-81,,Offensive rebound by Team
9:44.0,Loose ball foul by A. Drummond (drawn by A. Len),,85-81,,
9:39.0,,,85-81,,E. Bledsoe misses 2-pt shot from 21 ft
9:37.0,Defensive rebound by A. Drummond,,85-81,,
9:37.0,,,85-81,,Personal foul by A. Len (drawn by A. Drummond)
9:20.0,M. Morris makes 2-pt shot from 18 ft (assist by B. Udrih),2,87-81,,
8:57.0,,,87-83,2,E. Bledsoe makes 2-pt shot from 6 ft
8:40.0,A. Drummond makes 2-pt shot from 2 ft (assist by M. Morris),2,89-83,,
8:23.0,,,89-83,,E. Bledsoe misses 2-pt shot from 2 ft
8:23.0,Defensive rebound by Team,,89-83,,
8:07.0,Turnover by B. Udrih (bad pass; steal by P. Tucker),,89-83,,
8:04.0,,,89-83,,Shooting foul by K. Caldwell-Pope (drawn by D. Booker)
8:04.0,,,89-84,1,D. Booker makes free throw 1 of 2
8:04.0,,,89-84,,D. Booker misses free throw 2 of 2
8:02.0,Defensive rebound by K. Caldwell-Pope,,89-84,,
7:47.0,,,89-84,,T. Warren enters the game for P. Tucker
