time,Sacramento,pts.away,score,pts.home,Memphis
7:21.0,,,9-5,,M. Gasol misses 2-pt shot from 1 ft
7:19.0,,,9-5,,Offensive rebound by J. Ennis
7:07.0,,,9-7,2,J. Green makes 2-pt shot from 7 ft (assist by M. Conley)
6:52.0,D. Collison misses 2-pt shot from 20 ft,,9-7,,
6:49.0,,,9-7,,Defensive rebound by M. Gasol
6:40.0,Personal foul by D. Cousins (drawn by M. Gasol),,9-7,,
6:32.0,,,9-7,,M. Conley misses 2-pt shot from 6 ft
6:31.0,,,9-7,,Offensive rebound by T. Allen
6:29.0,,,9-7,,T. Allen misses 2-pt shot from 3 ft (block by K. Koufos)
6:28.0,,,9-7,,Offensive rebound by T. Allen
6:28.0,,,9-9,2,T. Allen makes 2-pt shot from 1 ft
6:24.0,Sacramento full timeout,,9-9,,
6:13.0,Offensive foul by D. Cousins,,9-9,,
6:13.0,Turnover by D. Cousins (offensive foul),,9-9,,
5:50.0,,,9-9,,M. Gasol misses 2-pt shot from 21 ft
5:49.0,Defensive rebound by G. Temple,,9-9,,
5:26.0,D. Cousins misses 2-pt shot from 1 ft,,9-9,,
5:25.0,,,9-9,,Defensive rebound by T. Allen
5:18.0,,,9-9,,Turnover by J. Green (bad pass; steal by A. Afflalo)
5:09.0,D. Cousins misses 2-pt shot from 12 ft,,9-9,,
5:07.0,,,9-9,,Defensive rebound by M. Gasol
5:04.0,,,9-11,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
5:00.0,Sacramento full timeout,,9-11,,
5:00.0,T. Lawson enters the game for K. Koufos,,9-11,,
5:00.0,A. Tolliver enters the game for D. Collison,,9-11,,
5:00.0,,,9-11,,T. Daniels enters the game for T. Allen
4:50.0,,,9-11,,Def 3 sec tech foul by J. Ennis
4:50.0,D. Cousins makes technical free throw,1,10-11,,
4:36.0,T. Lawson misses 2-pt shot from 6 ft,,10-11,,
4:36.0,Offensive rebound by Team,,10-11,,
4:36.0,,,10-11,,Loose ball foul by M. Conley (drawn by A. Afflalo)
4:36.0,,,10-11,,Z. Randolph enters the game for J. Green
4:26.0,A. Tolliver misses 3-pt shot from 23 ft,,10-11,,
4:25.0,,,10-11,,Defensive rebound by M. Conley
4:05.0,,,10-11,,Z. Randolph misses 3-pt shot from 23 ft
4:04.0,Defensive rebound by D. Cousins,,10-11,,
3:56.0,Shooting foul by Z. Randolph (drawn by D. Cousins),,10-11,,
3:56.0,D. Cousins makes free throw 1 of 2,1,11-11,,
3:56.0,D. Cousins misses free throw 2 of 2,,11-11,,
3:56.0,,,11-11,,V. Carter enters the game for J. Ennis
3:55.0,,,11-11,,Defensive rebound by Z. Randolph
3:37.0,,,11-13,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley)
3:18.0,D. Cousins misses 2-pt shot from 20 ft,,11-13,,
3:17.0,,,11-13,,Defensive rebound by Z. Randolph
3:03.0,,,11-13,,Turnover by M. Gasol (bad pass; steal by A. Afflalo)
2:59.0,A. Afflalo makes 2-pt shot from 2 ft,2,13-13,,
2:59.0,Shooting foul by V. Carter (drawn by A. Afflalo),,13-13,,
2:59.0,A. Afflalo makes free throw 1 of 1,1,14-13,,
2:59.0,D. Collison enters the game for G. Temple,,13-13,,
2:49.0,,,14-13,,M. Conley misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by D. Collison,,14-13,,
2:35.0,D. Collison misses 3-pt shot from 26 ft,,14-13,,
2:34.0,,,14-13,,Defensive rebound by M. Conley
2:26.0,,,14-13,,M. Gasol misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by D. Cousins,,14-13,,
2:14.0,T. Lawson makes 2-pt shot from 12 ft,2,16-13,,
1:50.0,,,16-13,,Z. Randolph misses 2-pt shot from 8 ft
1:48.0,Defensive rebound by D. Cousins,,16-13,,
1:41.0,A. Tolliver misses 3-pt shot from 25 ft,,16-13,,
1:41.0,,,16-13,,Defensive rebound by V. Carter
1:26.0,,,16-15,2,M. Gasol makes 2-pt shot from 8 ft
1:15.0,T. Lawson makes 2-pt shot from 2 ft,2,18-15,,
1:06.0,,,18-15,,Memphis full timeout
1:06.0,,,18-15,,T. Allen enters the game for M. Gasol
1:06.0,,,18-15,,J. Green enters the game for M. Conley
1:06.0,M. Barnes enters the game for D. Cousins,,18-15,,
1:06.0,K. Koufos enters the game for A. Afflalo,,18-15,,
1:06.0,,,18-15,,Violation by Team (jump ball)
0:58.0,,,18-15,,T. Daniels misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by K. Koufos,,18-15,,
0:37.0,M. Barnes makes 3-pt shot from 25 ft,3,21-15,,
0:28.0,,,21-15,,Turnover by T. Daniels (lost ball; steal by T. Lawson)
0:24.0,T. Lawson makes 2-pt shot from 2 ft (assist by D. Collison),2,23-15,,
0:03.0,Personal foul by D. Collison (drawn by T. Daniels),,23-15,,
0:01.0,,,23-15,,Z. Randolph misses 2-pt shot from 18 ft
0:00.0,,,23-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,23-17,2,Z. Randolph makes 2-pt shot from 19 ft
11:22.0,M. Barnes misses 3-pt shot from 25 ft,,23-17,,
11:22.0,Offensive rebound by A. Tolliver,,23-17,,
11:17.0,M. Barnes misses 2-pt shot from 2 ft,,23-17,,
11:16.0,,,23-17,,Defensive rebound by J. Green
10:56.0,,,23-17,,Z. Randolph misses 2-pt shot from 8 ft
10:54.0,,,23-17,,Offensive rebound by J. Green
10:52.0,,,23-19,2,Z. Randolph makes 2-pt shot from 1 ft (assist by J. Green)
10:36.0,D. Collison misses 2-pt shot from 12 ft,,23-19,,
10:34.0,,,23-19,,Defensive rebound by J. Green
10:26.0,,,23-19,,T. Daniels misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by M. Barnes,,23-19,,
10:16.0,T. Lawson makes 2-pt shot from 1 ft,2,25-19,,
10:00.0,,,25-22,3,V. Carter makes 3-pt shot from 25 ft
9:39.0,A. Tolliver misses 3-pt shot from 24 ft,,25-22,,
9:39.0,,,25-22,,Defensive rebound by Z. Randolph
9:34.0,,,25-22,,Turnover by T. Allen (bad pass)
9:25.0,Shooting foul by T. Daniels (drawn by T. Lawson),,25-22,,
9:25.0,T. Lawson makes free throw 1 of 2,1,26-22,,
9:25.0,T. Lawson misses free throw 2 of 2,,26-22,,
9:24.0,,,26-22,,Defensive rebound by Z. Randolph
9:12.0,,,26-22,,Z. Randolph misses 2-pt shot from 1 ft
9:11.0,,,26-22,,Offensive rebound by T. Allen
9:11.0,,,26-24,2,T. Allen makes 2-pt shot at rim
9:02.0,Jump ball: J. Green vs. T. Lawson (T. Daniels gains possession),,,,Jump ball: J. Green vs. T. Lawson (T. Daniels gains possession)
9:02.0,Turnover by T. Lawson (lost ball),,26-24,,
8:46.0,,,26-26,2,V. Carter makes 2-pt shot from 8 ft
8:46.0,,,26-26,,Shooting foul by M. Barnes (drawn by V. Carter)
8:46.0,,,26-26,,Memphis full timeout
8:46.0,,,26-27,1,V. Carter makes free throw 1 of 1
8:46.0,,,26-26,,J. Ennis enters the game for T. Daniels
8:30.0,Turnover by A. Tolliver (traveling),,26-27,,
8:15.0,,,26-29,2,T. Allen makes 2-pt shot from 2 ft (assist by Z. Randolph)
8:06.0,M. Barnes misses 3-pt shot from 24 ft,,26-29,,
8:05.0,,,26-29,,Defensive rebound by J. Ennis
7:54.0,,,26-29,,T. Allen misses 2-pt shot from 5 ft (block by K. Koufos)
7:53.0,Defensive rebound by T. Lawson,,26-29,,
7:48.0,K. Koufos makes 2-pt shot from 2 ft (assist by M. Barnes),2,28-29,,
7:31.0,A. Afflalo enters the game for T. Lawson,,28-29,,
7:31.0,D. Cousins enters the game for A. Tolliver,,28-29,,
7:31.0,,,28-29,,M. Gasol enters the game for Z. Randolph
7:31.0,,,28-29,,M. Conley enters the game for T. Allen
7:25.0,,,28-29,,V. Carter misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by D. Collison,,28-29,,
7:03.0,M. Barnes misses 2-pt shot from 1 ft (block by J. Green),,28-29,,
7:01.0,,,28-29,,Defensive rebound by J. Green
6:46.0,,,28-29,,Turnover by J. Ennis (lost ball; steal by A. Afflalo)
6:39.0,D. Cousins makes 2-pt shot from 1 ft,2,30-29,,
6:39.0,Shooting foul by M. Gasol (drawn by D. Cousins),,30-29,,
6:39.0,D. Cousins makes free throw 1 of 1,1,31-29,,
6:25.0,,,31-29,,M. Gasol misses 2-pt shot from 9 ft
6:23.0,,,31-29,,Offensive rebound by J. Green
6:18.0,,,31-29,,Shooting foul by K. Koufos (drawn by V. Carter)
6:18.0,,,31-30,1,V. Carter makes free throw 1 of 2
6:18.0,,,31-31,1,V. Carter makes free throw 2 of 2
6:18.0,G. Temple enters the game for M. Barnes,,31-30,,
6:02.0,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison),3,34-31,,
5:42.0,,,34-31,,Turnover by M. Conley (bad pass)
5:42.0,,,34-31,,Memphis full timeout
5:42.0,Violation by Team (jump ball),,34-31,,
5:22.0,G. Temple misses 3-pt shot from 26 ft,,34-31,,
5:21.0,,,34-31,,Defensive rebound by M. Gasol
5:06.0,,,34-34,3,M. Conley makes 3-pt shot from 24 ft (assist by V. Carter)
4:52.0,Turnover by D. Cousins (bad pass; steal by M. Conley),,34-34,,
4:42.0,,,34-34,,J. Green misses 2-pt shot at rim (block by D. Cousins)
4:41.0,Defensive rebound by K. Koufos,,34-34,,
4:27.0,K. Koufos misses 2-pt shot from 9 ft,,34-34,,
4:26.0,,,34-34,,Defensive rebound by M. Conley
4:16.0,,,34-34,,Turnover by M. Gasol (bad pass)
4:16.0,A. Tolliver enters the game for K. Koufos,,34-34,,
4:02.0,Turnover by A. Tolliver (bad pass; steal by V. Carter),,34-34,,
3:37.0,,,34-37,3,V. Carter makes 3-pt shot from 26 ft (assist by J. Ennis)
3:18.0,D. Cousins makes 2-pt shot from 22 ft,2,36-37,,
3:02.0,Personal foul by G. Temple (drawn by V. Carter),,36-37,,
3:02.0,T. Lawson enters the game for D. Collison,,36-37,,
3:02.0,,,36-37,,T. Allen enters the game for J. Green
3:02.0,,,36-37,,Z. Randolph enters the game for V. Carter
2:57.0,,,36-37,,M. Conley misses 2-pt shot from 6 ft
2:55.0,Defensive rebound by A. Tolliver,,36-37,,
2:47.0,Turnover by A. Afflalo (lost ball),,36-37,,
2:47.0,Sacramento full timeout,,36-37,,
2:27.0,,,36-39,2,T. Allen makes 2-pt shot from 20 ft (assist by M. Gasol)
2:07.0,T. Lawson misses 3-pt shot from 26 ft,,36-39,,
2:07.0,,,36-39,,Defensive rebound by M. Gasol
1:54.0,,,36-41,2,M. Gasol makes 2-pt shot from 6 ft
1:54.0,,,36-41,,Shooting foul by T. Lawson (drawn by M. Gasol)
1:54.0,,,36-42,1,M. Gasol makes free throw 1 of 1
1:46.0,,,36-42,,Personal foul by J. Ennis (drawn by D. Cousins)
1:43.0,Turnover by D. Cousins (bad pass; steal by M. Gasol),,36-42,,
1:35.0,,,36-44,2,M. Conley makes 2-pt shot from 2 ft
1:17.0,G. Temple makes 3-pt shot from 24 ft (assist by D. Cousins),3,39-44,,
0:55.0,,,39-44,,M. Gasol misses 3-pt shot from 25 ft
0:54.0,,,39-44,,Offensive rebound by M. Conley
0:40.0,,,39-44,,J. Ennis misses 3-pt shot from 27 ft
0:39.0,Defensive rebound by D. Cousins,,39-44,,
0:32.0,Turnover by D. Cousins (bad pass; steal by M. Conley),,39-44,,
0:28.0,,,39-46,2,J. Ennis makes 2-pt shot from 1 ft (assist by M. Conley)
0:09.0,Shooting foul by M. Gasol (drawn by D. Cousins),,39-46,,
0:09.0,D. Cousins misses free throw 1 of 2,,39-46,,
0:09.0,Offensive rebound by Team,,39-46,,
0:09.0,D. Cousins makes free throw 2 of 2,1,40-46,,
0:09.0,,,39-46,,V. Carter enters the game for T. Allen
0:03.0,Personal foul by D. Cousins (drawn by M. Gasol),,40-46,,
0:03.0,Technical foul by D. Cousins (drawn by M. Gasol),,40-46,,
0:03.0,,,40-47,1,M. Conley makes technical free throw
0:03.0,,,40-48,1,M. Gasol makes free throw 1 of 2
0:03.0,,,40-49,1,M. Gasol makes free throw 2 of 2
0:03.0,,,40-47,,T. Allen enters the game for Z. Randolph
0:00.0,,,40-49,,Personal foul by T. Allen (drawn by T. Lawson)
0:00.0,T. Lawson misses free throw 1 of 3,,40-49,,
0:00.0,Offensive rebound by Team,,40-49,,
0:00.0,T. Lawson makes free throw 2 of 3,1,41-49,,
0:00.0,T. Lawson makes free throw 3 of 3,1,42-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
0:00.0,,,41-49,,Z. Randolph enters the game for V. Carter
11:43.0,,,42-49,,Turnover by J. Ennis (traveling)
11:30.0,D. Cousins misses 2-pt shot from 5 ft,,42-49,,
11:28.0,Offensive rebound by D. Cousins,,42-49,,
11:28.0,Shooting foul by J. Green (drawn by K. Koufos),,42-49,,
11:28.0,K. Koufos makes free throw 1 of 2,1,43-49,,
11:28.0,K. Koufos makes free throw 2 of 2,1,44-49,,
11:14.0,,,44-51,2,M. Gasol makes 2-pt shot from 18 ft
10:55.0,D. Collison misses 3-pt shot from 24 ft,,44-51,,
10:54.0,,,44-51,,Defensive rebound by J. Ennis
10:52.0,,,44-51,,Shooting foul by D. Collison (drawn by J. Ennis)
10:52.0,,,44-52,1,J. Ennis makes free throw 1 of 2
10:52.0,,,44-52,,J. Ennis misses free throw 2 of 2
10:50.0,Defensive rebound by D. Cousins,,44-52,,
10:26.0,G. Temple misses 3-pt shot from 23 ft,,44-52,,
10:26.0,,,44-52,,Defensive rebound by M. Conley
10:09.0,,,44-54,2,T. Allen makes 2-pt shot from 22 ft (assist by M. Conley)
9:51.0,K. Koufos makes 2-pt shot from 9 ft (assist by G. Temple),2,46-54,,
9:35.0,,,46-54,,T. Allen misses 3-pt shot from 26 ft
9:34.0,,,46-54,,Offensive rebound by J. Ennis
9:29.0,,,46-54,,Turnover by J. Ennis (lost ball; steal by A. Afflalo)
9:10.0,G. Temple makes 3-pt shot from 25 ft (assist by D. Collison),3,49-54,,
8:49.0,Personal foul by D. Collison (drawn by M. Gasol),,49-54,,
8:39.0,,,49-54,,J. Ennis misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by A. Afflalo,,49-54,,
8:27.0,Shooting foul by J. Green (drawn by D. Cousins),,49-54,,
8:27.0,D. Cousins makes free throw 1 of 2,1,50-54,,
8:27.0,D. Cousins makes free throw 2 of 2,1,51-54,,
8:23.0,,,51-54,,Memphis full timeout
8:13.0,,,51-54,,M. Conley misses 2-pt shot from 22 ft
8:12.0,Defensive rebound by D. Cousins,,51-54,,
7:50.0,A. Afflalo misses 3-pt shot from 26 ft,,51-54,,
7:50.0,,,51-54,,Defensive rebound by M. Conley
7:40.0,,,51-57,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Conley)
7:18.0,A. Afflalo makes 2-pt shot from 18 ft,2,53-57,,
7:07.0,,,53-57,,Shooting foul by G. Temple (drawn by T. Allen)
7:07.0,,,53-57,,T. Allen misses free throw 1 of 2
7:07.0,,,53-57,,Offensive rebound by Team
7:07.0,,,53-58,1,T. Allen makes free throw 2 of 2
6:56.0,Sacramento full timeout,,53-58,,
6:44.0,D. Collison misses 3-pt shot from 25 ft,,53-58,,
6:44.0,,,53-58,,Defensive rebound by T. Allen
6:29.0,,,53-58,,M. Gasol misses 2-pt shot from 22 ft
6:28.0,Defensive rebound by D. Cousins,,53-58,,
6:15.0,A. Afflalo misses 3-pt shot from 24 ft,,53-58,,
6:15.0,,,53-58,,Defensive rebound by M. Gasol
6:08.0,,,53-58,,Turnover by J. Green (lost ball; steal by G. Temple)
6:08.0,,,53-58,,Personal foul by M. Conley (drawn by D. Collison)
6:08.0,A. Tolliver enters the game for K. Koufos,,53-58,,
5:47.0,A. Tolliver misses 3-pt shot from 23 ft,,53-58,,
5:46.0,,,53-58,,Defensive rebound by T. Allen
5:35.0,,,53-58,,M. Conley misses 3-pt shot from 26 ft
5:32.0,,,53-58,,Offensive rebound by T. Allen
5:32.0,,,53-58,,T. Allen misses 2-pt shot from 1 ft
5:30.0,,,53-58,,Offensive rebound by J. Ennis
5:23.0,,,53-58,,Turnover by M. Conley (traveling)
5:23.0,,,53-58,,V. Carter enters the game for M. Conley
5:14.0,Shooting foul by M. Gasol (drawn by D. Cousins),,53-58,,
5:14.0,D. Cousins misses free throw 1 of 2,,53-58,,
5:14.0,Offensive rebound by Team,,53-58,,
5:14.0,D. Cousins makes free throw 2 of 2,1,54-58,,
5:04.0,Personal foul by D. Cousins (drawn by M. Gasol),,54-58,,
5:04.0,M. Barnes enters the game for A. Afflalo,,54-58,,
4:51.0,,,54-60,2,M. Gasol makes 2-pt shot from 7 ft
4:26.0,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins),2,56-60,,
4:03.0,,,56-60,,Memphis full timeout
4:03.0,T. Lawson enters the game for D. Collison,,56-60,,
4:00.0,,,56-60,,Shooting foul by G. Temple (drawn by M. Gasol)
4:00.0,,,56-61,1,M. Gasol makes free throw 1 of 2
4:00.0,,,56-62,1,M. Gasol makes free throw 2 of 2
3:46.0,M. Barnes misses 2-pt shot from 2 ft,,56-62,,
3:45.0,,,56-62,,Defensive rebound by V. Carter
3:35.0,,,56-64,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
3:17.0,T. Lawson misses 2-pt shot from 1 ft,,56-64,,
3:16.0,Offensive rebound by A. Tolliver,,56-64,,
3:15.0,A. Tolliver misses 2-pt shot from 1 ft,,56-64,,
3:14.0,Offensive rebound by A. Tolliver,,56-64,,
3:14.0,A. Tolliver misses 2-pt shot from 3 ft,,56-64,,
3:12.0,,,56-64,,Defensive rebound by J. Green
2:56.0,,,56-64,,M. Gasol misses 2-pt shot from 1 ft
2:55.0,Defensive rebound by T. Lawson,,56-64,,
2:51.0,Shooting foul by J. Ennis (drawn by T. Lawson),,56-64,,
2:51.0,T. Lawson makes free throw 1 of 2,1,57-64,,
2:51.0,T. Lawson makes free throw 2 of 2,1,58-64,,
2:51.0,,,57-64,,Z. Randolph enters the game for J. Green
2:51.0,,,57-64,,M. Conley enters the game for T. Allen
2:39.0,,,58-66,2,M. Conley makes 2-pt shot from 2 ft
2:22.0,D. Cousins misses 2-pt shot from 1 ft,,58-66,,
2:22.0,,,58-66,,Defensive rebound by M. Gasol
2:13.0,,,58-68,2,M. Conley makes 2-pt shot from 4 ft
1:56.0,G. Temple makes 2-pt shot from 2 ft,2,60-68,,
1:56.0,Shooting foul by J. Ennis (drawn by G. Temple),,60-68,,
1:56.0,G. Temple misses free throw 1 of 1,,60-68,,
1:56.0,K. Koufos enters the game for D. Cousins,,60-68,,
1:56.0,,,60-68,,A. Harrison enters the game for J. Ennis
1:55.0,,,60-68,,Defensive rebound by V. Carter
1:39.0,Personal foul by A. Tolliver (drawn by Z. Randolph),,60-68,,
1:39.0,,,60-68,,Z. Randolph misses free throw 1 of 2
1:39.0,,,60-68,,Offensive rebound by Team
1:39.0,,,60-69,1,Z. Randolph makes free throw 2 of 2
1:25.0,Turnover by K. Koufos (bad pass; steal by V. Carter),,60-69,,
1:25.0,Personal foul by K. Koufos (drawn by A. Harrison),,60-69,,
1:25.0,,,60-70,1,A. Harrison makes free throw 1 of 2
1:25.0,,,60-71,1,A. Harrison makes free throw 2 of 2
1:11.0,M. Barnes makes 2-pt shot from 23 ft (assist by T. Lawson),2,62-71,,
1:00.0,,,62-74,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley)
0:47.0,G. Temple misses 3-pt shot from 24 ft,,62-74,,
0:47.0,,,62-74,,Defensive rebound by M. Conley
0:38.0,,,62-77,3,M. Gasol makes 3-pt shot from 28 ft (assist by A. Harrison)
0:34.0,,,62-77,,Personal foul by A. Harrison (drawn by G. Temple)
0:34.0,G. Temple makes free throw 1 of 2,1,63-77,,
0:34.0,G. Temple makes free throw 2 of 2,1,64-77,,
0:27.0,,,64-77,,M. Gasol misses 3-pt shot from 32 ft
0:25.0,,,64-77,,Offensive rebound by Z. Randolph
0:24.0,,,64-79,2,Z. Randolph makes 2-pt shot at rim
0:24.0,,,64-79,,Shooting foul by M. Barnes (drawn by Z. Randolph)
0:24.0,,,64-80,1,Z. Randolph makes free throw 1 of 1
0:24.0,,,64-79,,J. Green enters the game for M. Gasol
0:04.0,T. Lawson misses 2-pt shot from 6 ft (block by J. Green),,64-80,,
0:03.0,,,64-80,,Defensive rebound by V. Carter
0:01.0,,,64-83,3,Z. Randolph makes 3-pt shot from 35 ft (assist by V. Carter)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,B. McLemore makes 2-pt shot from 1 ft (assist by A. Tolliver),2,66-83,,
11:30.0,,,66-83,,Z. Randolph misses 2-pt shot from 20 ft
11:29.0,Defensive rebound by T. Lawson,,66-83,,
11:23.0,M. Barnes misses 3-pt shot from 24 ft,,66-83,,
11:21.0,,,66-83,,Defensive rebound by Z. Randolph
11:09.0,,,66-83,,V. Carter misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by T. Lawson,,66-83,,
11:05.0,Shooting foul by J. Green (drawn by A. Tolliver),,66-83,,
11:05.0,A. Tolliver makes free throw 1 of 2,1,67-83,,
11:05.0,A. Tolliver misses free throw 2 of 2,,67-83,,
11:04.0,,,67-83,,Defensive rebound by Z. Randolph
10:41.0,,,67-83,,Turnover by J. Green (bad pass)
10:29.0,W. Cauley-Stein makes 2-pt shot from 13 ft (assist by T. Lawson),2,69-83,,
10:20.0,,,69-83,,Memphis full timeout
10:08.0,,,69-83,,M. Conley misses 2-pt shot from 2 ft
10:07.0,,,69-83,,Offensive rebound by Z. Randolph
10:07.0,,,69-83,,Shooting foul by W. Cauley-Stein (drawn by Z. Randolph)
10:07.0,,,69-84,1,Z. Randolph makes free throw 1 of 2
10:07.0,,,69-85,1,Z. Randolph makes free throw 2 of 2
9:55.0,W. Cauley-Stein misses 2-pt shot from 12 ft,,69-85,,
9:54.0,,,69-85,,Defensive rebound by J. Green
9:32.0,,,69-87,2,Z. Randolph makes 2-pt shot from 13 ft
9:17.0,,,69-87,,Personal foul by Z. Randolph (drawn by W. Cauley-Stein)
9:10.0,,,69-87,,Personal foul by J. Green (drawn by T. Lawson)
9:10.0,,,69-87,,M. Gasol enters the game for J. Green
8:59.0,B. McLemore makes 2-pt shot from 16 ft (assist by T. Lawson),2,71-87,,
8:47.0,Personal foul by W. Cauley-Stein (drawn by Z. Randolph),,71-87,,
8:34.0,,,71-89,2,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol)
8:21.0,A. Tolliver makes 2-pt shot from 18 ft (assist by T. Lawson),2,73-89,,
8:08.0,,,73-89,,Shooting foul by W. Cauley-Stein (drawn by M. Gasol)
8:08.0,,,73-90,1,M. Gasol makes free throw 1 of 2
8:08.0,,,73-91,1,M. Gasol makes free throw 2 of 2
8:08.0,,,73-90,,J. Ennis enters the game for V. Carter
7:55.0,A. Tolliver misses 3-pt shot from 26 ft,,73-91,,
7:55.0,,,73-91,,Defensive rebound by M. Gasol
7:42.0,,,73-91,,Shooting foul by B. McLemore (drawn by J. Ennis)
7:42.0,,,73-91,,J. Ennis misses free throw 1 of 2
7:42.0,,,73-91,,Offensive rebound by Team
7:42.0,,,73-91,,J. Ennis misses free throw 2 of 2
7:40.0,Defensive rebound by W. Cauley-Stein,,73-91,,
7:29.0,T. Lawson misses 2-pt shot from 5 ft,,73-91,,
7:28.0,,,73-91,,Defensive rebound by A. Harrison
7:15.0,,,73-91,,Turnover by M. Conley (bad pass; steal by A. Tolliver)
7:12.0,M. Barnes makes 2-pt shot from 1 ft (assist by T. Lawson),2,75-91,,
7:12.0,Shooting foul by J. Ennis (drawn by M. Barnes),,75-91,,
7:12.0,M. Barnes makes free throw 1 of 1,1,76-91,,
6:56.0,,,76-93,2,J. Ennis makes 2-pt shot at rim (assist by M. Gasol)
6:45.0,T. Lawson misses 3-pt shot from 27 ft,,76-93,,
6:43.0,,,76-93,,Defensive rebound by Z. Randolph
6:36.0,,,76-96,3,J. Ennis makes 3-pt shot from 23 ft (assist by M. Conley)
6:24.0,A. Tolliver makes 3-pt shot from 25 ft (assist by M. Barnes),3,79-96,,
6:00.0,,,79-99,3,M. Conley makes 3-pt shot from 25 ft
5:52.0,Sacramento full timeout,,79-99,,
5:52.0,M. Richardson enters the game for T. Lawson,,79-99,,
5:52.0,S. Labissiere enters the game for A. Tolliver,,79-99,,
5:52.0,G. Temple enters the game for M. Barnes,,79-99,,
5:52.0,,,79-99,,T. Allen enters the game for M. Gasol
5:52.0,,,79-99,,J. Green enters the game for M. Conley
5:39.0,G. Temple makes 2-pt shot from 2 ft,2,81-99,,
5:23.0,,,81-99,,Turnover by Z. Randolph (lost ball; steal by W. Cauley-Stein)
5:19.0,Turnover by B. McLemore (bad pass; steal by A. Harrison),,81-99,,
5:15.0,,,81-101,2,J. Ennis makes 2-pt shot from 1 ft (assist by Z. Randolph)
4:56.0,G. Temple makes 2-pt shot from 11 ft,2,83-101,,
4:28.0,,,83-101,,Z. Randolph misses 2-pt shot from 22 ft
