time,Phoenix,pts.away,score,pts.home,Houston
5:13.0,A. Len makes 2-pt shot from 1 ft (assist by M. Chriss),2,39-61,,
5:13.0,,,39-61,,Houston full timeout
5:13.0,,,39-61,,R. Anderson enters the game for P. Beverley
5:13.0,,,39-61,,J. Harden enters the game for C. Brewer
5:13.0,,,39-61,,T. Ennis enters the game for S. Dekker
5:02.0,,,39-61,,Turnover by J. Harden (bad pass; steal by T. Warren)
4:55.0,A. Len makes 2-pt shot from 2 ft (assist by D. Booker),2,41-61,,
4:55.0,Shooting foul by C. Capela (drawn by A. Len),,41-61,,
4:55.0,A. Len misses free throw 1 of 1,,41-61,,
4:55.0,,,41-61,,Defensive rebound by J. Harden
4:41.0,,,41-64,3,J. Harden makes 3-pt shot from 28 ft (assist by T. Ennis)
4:16.0,T. Warren misses 3-pt shot from 25 ft,,41-64,,
4:15.0,,,41-64,,Defensive rebound by T. Ariza
4:07.0,,,41-67,3,J. Harden makes 3-pt shot from 25 ft
3:51.0,B. Knight misses 3-pt shot from 26 ft,,41-67,,
3:51.0,,,41-67,,Defensive rebound by C. Capela
3:44.0,,,41-67,,J. Harden misses 3-pt shot from 31 ft
3:43.0,Defensive rebound by A. Len,,41-67,,
3:29.0,T. Warren misses 2-pt shot from 9 ft,,41-67,,
3:28.0,,,41-67,,Defensive rebound by T. Ennis
3:24.0,,,41-67,,Turnover by T. Ennis (lost ball; steal by T. Warren)
3:22.0,Shooting foul by J. Harden,,41-67,,
3:22.0,T. Warren misses free throw 1 of 2,,41-67,,
3:22.0,Offensive rebound by Team,,41-67,,
3:22.0,T. Warren makes free throw 2 of 2,1,42-67,,
3:10.0,,,42-67,,Turnover by J. Harden (bad pass; steal by D. Booker)
3:04.0,T. Warren makes 2-pt shot from 1 ft (assist by A. Len),2,44-67,,
2:49.0,,,44-67,,Shooting foul by M. Chriss (drawn by R. Anderson)
2:49.0,Phoenix full timeout,,44-67,,
2:49.0,,,44-67,,R. Anderson misses free throw 1 of 2
2:49.0,,,44-67,,Offensive rebound by Team
