time,San Antonio,pts.away,score,pts.home,LA Lakers
10:59.0,M. Ginobili makes 2-pt shot from 3 ft,2,30-18,,
10:46.0,,,30-18,,Shooting foul by L. Aldridge (drawn by T. Black)
10:46.0,,,30-19,1,T. Black makes free throw 1 of 2
10:46.0,,,30-19,,T. Black misses free throw 2 of 2
10:44.0,Defensive rebound by K. Anderson,,30-19,,
10:35.0,Turnover by L. Aldridge (bad pass; steal by B. Ingram),,30-19,,
10:26.0,,,30-19,,J. Clarkson misses 2-pt shot from 20 ft
10:26.0,Defensive rebound by Team,,30-19,,
10:10.0,Shooting foul by J. Clarkson (drawn by D. Lee),,30-19,,
10:10.0,D. Lee makes free throw 1 of 2,1,31-19,,
10:10.0,D. Lee makes free throw 2 of 2,1,32-19,,
9:59.0,,,32-21,2,T. Black makes 2-pt shot at rim (assist by L. Williams)
9:41.0,K. Anderson misses 2-pt shot from 10 ft,,32-21,,
9:40.0,,,32-21,,Defensive rebound by T. Black
9:34.0,,,32-23,2,L. Williams makes 2-pt shot at rim
9:33.0,San Antonio full timeout,,32-23,,
9:33.0,K. Leonard enters the game for K. Anderson,,32-23,,
9:24.0,Turnover by M. Ginobili (bad pass; steal by J. Clarkson),,32-23,,
9:17.0,,,32-25,2,L. Williams makes 2-pt shot from 9 ft
9:03.0,Turnover by D. Lee (bad pass; steal by J. Clarkson),,32-25,,
8:51.0,,,32-27,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson)
8:50.0,San Antonio full timeout,,32-27,,
8:50.0,T. Parker enters the game for P. Mills,,32-27,,
8:50.0,P. Gasol enters the game for D. Lee,,32-27,,
8:50.0,D. Green enters the game for M. Ginobili,,32-27,,
8:28.0,D. Green misses 2-pt shot from 18 ft,,32-27,,
8:27.0,Offensive rebound by Team,,32-27,,
8:09.0,D. Green makes 2-pt shot from 16 ft (assist by P. Gasol),2,34-27,,
7:46.0,,,34-27,,B. Ingram misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by K. Leonard,,34-27,,
7:27.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Parker),2,36-27,,
7:11.0,,,36-27,,L. Williams misses 2-pt shot from 12 ft
7:08.0,Defensive rebound by D. Green,,36-27,,
7:04.0,Shooting foul by T. Black (drawn by T. Parker),,36-27,,
7:04.0,T. Parker makes free throw 1 of 2,1,37-27,,
7:04.0,T. Parker makes free throw 2 of 2,1,38-27,,
7:04.0,,,37-27,,N. Young enters the game for J. Clarkson
6:50.0,,,38-27,,Shooting foul by P. Gasol
6:50.0,,,38-28,1,L. Williams makes free throw 1 of 2
6:50.0,,,38-29,1,L. Williams makes free throw 2 of 2
6:50.0,,,38-28,,J. Randle enters the game for T. Black
6:40.0,,,38-29,,L. Deng enters the game for B. Ingram
6:28.0,,,38-29,,Violation by L. Nance (kicked ball)
6:28.0,D. Bertans enters the game for L. Aldridge,,38-29,,
6:23.0,K. Leonard makes 2-pt shot from 20 ft (assist by T. Parker),2,40-29,,
6:09.0,,,40-29,,L. Nance misses 2-pt shot from 2 ft
6:06.0,Defensive rebound by K. Leonard,,40-29,,
6:03.0,Turnover by P. Gasol (offensive goaltending),,40-29,,
5:44.0,,,40-32,3,L. Deng makes 3-pt shot from 23 ft (assist by J. Randle)
5:23.0,P. Gasol misses 2-pt shot from 8 ft,,40-32,,
5:18.0,,,40-32,,Defensive rebound by L. Nance
5:15.0,,,40-34,2,J. Randle makes 2-pt shot from 2 ft
5:01.0,Official timeout,,40-34,,
5:01.0,,,40-34,,B. Ingram enters the game for L. Williams
5:01.0,,,40-34,,J. Clarkson enters the game for L. Nance
4:45.0,P. Gasol makes 2-pt shot from 8 ft (assist by D. Green),2,42-34,,
4:29.0,,,42-36,2,N. Young makes 2-pt shot from 17 ft (assist by J. Randle)
4:10.0,P. Gasol misses 2-pt shot from 6 ft (block by N. Young),,42-36,,
4:08.0,,,42-36,,Defensive rebound by L. Deng
4:01.0,,,42-39,3,L. Deng makes 3-pt shot from 25 ft (assist by J. Randle)
3:42.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Parker),2,44-39,,
3:18.0,,,44-39,,L. Deng misses 3-pt shot from 24 ft
3:13.0,Defensive rebound by D. Bertans,,44-39,,
3:08.0,T. Parker misses 2-pt shot from 19 ft,,44-39,,
3:03.0,,,44-39,,Defensive rebound by N. Young
2:58.0,,,44-41,2,N. Young makes 2-pt shot at rim
2:36.0,D. Bertans misses 3-pt shot from 27 ft,,44-41,,
2:34.0,Offensive rebound by K. Leonard,,44-41,,
2:32.0,K. Leonard makes 2-pt shot from 2 ft,2,46-41,,
2:32.0,Shooting foul by B. Ingram (drawn by K. Leonard),,46-41,,
2:32.0,,,46-41,,LA Lakers full timeout
2:32.0,K. Leonard makes free throw 1 of 1,1,47-41,,
2:32.0,P. Mills enters the game for P. Gasol,,46-41,,
2:32.0,L. Aldridge enters the game for D. Green,,46-41,,
2:32.0,J. Simmons enters the game for T. Parker,,46-41,,
2:12.0,,,47-41,,J. Randle misses 2-pt shot from 7 ft
2:10.0,,,47-41,,Offensive rebound by L. Deng
2:10.0,,,47-43,2,L. Deng makes 2-pt shot from 1 ft
1:59.0,Offensive foul by P. Mills,,47-43,,
1:59.0,Turnover by P. Mills (offensive foul),,47-43,,
1:47.0,,,47-43,,B. Ingram misses 2-pt shot from 5 ft
1:47.0,Defensive rebound by Team,,47-43,,
1:38.0,L. Aldridge makes 2-pt shot from 23 ft (assist by K. Leonard),2,49-43,,
1:17.0,,,49-43,,Shooting foul by D. Bertans (drawn by B. Ingram)
1:17.0,,,49-44,1,B. Ingram makes free throw 1 of 2
1:17.0,,,49-45,1,B. Ingram makes free throw 2 of 2
1:01.0,Turnover by K. Leonard (bad pass; steal by L. Deng),,49-45,,
0:58.0,,,49-48,3,N. Young makes 3-pt shot from 26 ft (assist by L. Deng)
0:50.0,K. Leonard misses 3-pt shot from 24 ft,,49-48,,
0:49.0,,,49-48,,Defensive rebound by B. Ingram
0:41.0,,,49-50,2,N. Young makes 2-pt shot from 2 ft
0:27.0,D. Bertans makes 3-pt shot from 23 ft (assist by P. Mills),3,52-50,,
0:05.0,Personal foul by D. Bertans (drawn by J. Clarkson),,52-50,,
0:05.0,,,52-51,1,J. Clarkson makes free throw 1 of 2
0:05.0,,,52-52,1,J. Clarkson makes free throw 2 of 2
0:04.0,,,52-52,,Personal take foul by B. Ingram
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-52,,T. Mozgov misses 2-pt shot from 6 ft
11:42.0,Defensive rebound by L. Aldridge,,52-52,,
11:30.0,P. Gasol misses 2-pt shot from 10 ft,,52-52,,
11:27.0,,,52-52,,Defensive rebound by T. Mozgov
11:21.0,,,52-52,,N. Young misses 2-pt shot from 15 ft
11:18.0,,,52-52,,Offensive rebound by T. Mozgov
11:10.0,,,52-54,2,J. Randle makes 2-pt shot from 6 ft
10:46.0,L. Aldridge misses 2-pt shot from 6 ft,,52-54,,
10:43.0,,,52-54,,Defensive rebound by J. Randle
10:39.0,,,52-57,3,N. Young makes 3-pt shot from 24 ft (assist by J. Randle)
10:26.0,,,52-57,,Personal foul by L. Deng (drawn by K. Leonard)
10:14.0,K. Leonard makes 3-pt shot from 25 ft (assist by D. Green),3,55-57,,
9:58.0,,,55-57,,Shooting foul by D. Green (drawn by N. Young)
9:58.0,,,55-58,1,N. Young makes free throw 1 of 2
9:58.0,,,55-59,1,N. Young makes free throw 2 of 2
9:58.0,M. Ginobili enters the game for D. Green,,55-58,,
9:39.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,57-59,,
9:29.0,,,57-61,2,J. Randle makes 2-pt shot from 19 ft (assist by J. Calderon)
9:05.0,M. Ginobili makes 3-pt shot from 23 ft (assist by L. Aldridge),3,60-61,,
8:50.0,,,60-61,,J. Randle misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by P. Gasol,,60-61,,
8:44.0,,,60-61,,Personal foul by J. Calderon (drawn by T. Parker)
8:27.0,P. Gasol makes 2-pt shot from 9 ft,2,62-61,,
8:24.0,,,62-61,,Offensive foul by J. Randle
8:24.0,,,62-61,,Turnover by J. Randle (offensive foul)
8:09.0,Shooting foul by T. Mozgov (drawn by L. Aldridge),,62-61,,
8:09.0,L. Aldridge makes free throw 1 of 2,1,63-61,,
8:09.0,L. Aldridge makes free throw 2 of 2,1,64-61,,
7:52.0,,,64-64,3,J. Calderon makes 3-pt shot from 26 ft (assist by N. Young)
7:32.0,T. Parker makes 2-pt shot from 12 ft (assist by M. Ginobili),2,66-64,,
7:22.0,,,66-64,,Turnover by T. Mozgov (traveling)
7:08.0,L. Aldridge makes 2-pt shot from 17 ft (assist by P. Gasol),2,68-64,,
6:48.0,,,68-66,2,J. Calderon makes 2-pt shot from 17 ft (assist by J. Randle)
6:37.0,Turnover by L. Aldridge (traveling),,68-66,,
6:34.0,,,68-66,,LA Lakers full timeout
6:15.0,,,68-66,,T. Mozgov misses 2-pt shot from 2 ft
6:13.0,,,68-66,,Offensive rebound by J. Calderon
6:13.0,,,68-66,,J. Calderon misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by L. Aldridge,,68-66,,
6:03.0,T. Parker makes 2-pt shot from 2 ft,2,70-66,,
5:45.0,,,70-66,,L. Deng misses 2-pt shot from 20 ft
5:43.0,Defensive rebound by K. Leonard,,70-66,,
5:29.0,T. Parker makes 2-pt shot from 9 ft,2,72-66,,
5:29.0,Shooting foul by J. Calderon (drawn by T. Parker),,72-66,,
5:29.0,T. Parker makes free throw 1 of 1,1,73-66,,
5:29.0,,,72-66,,L. Nance enters the game for T. Mozgov
5:29.0,,,72-66,,L. Williams enters the game for J. Calderon
5:29.0,D. Lee enters the game for P. Gasol,,72-66,,
5:10.0,,,73-66,,N. Young misses 2-pt shot from 16 ft
5:06.0,Defensive rebound by L. Aldridge,,73-66,,
4:59.0,T. Parker makes 2-pt shot from 22 ft,2,75-66,,
4:44.0,,,75-66,,Turnover by L. Williams (lost ball; steal by D. Lee)
4:37.0,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Leonard),3,78-66,,
4:37.0,,,78-66,,LA Lakers full timeout
4:37.0,,,78-66,,J. Clarkson enters the game for N. Young
4:37.0,P. Mills enters the game for T. Parker,,78-66,,
4:32.0,,,78-66,,Offensive foul by J. Clarkson
4:32.0,,,78-66,,Turnover by J. Clarkson (offensive foul)
4:17.0,K. Leonard makes 2-pt shot from 15 ft,2,80-66,,
3:59.0,,,80-68,2,J. Randle makes 2-pt shot from 2 ft
3:50.0,P. Mills misses 3-pt shot from 24 ft,,80-68,,
3:48.0,,,80-68,,Defensive rebound by J. Clarkson
3:40.0,,,80-68,,J. Randle misses 2-pt shot from 3 ft
3:39.0,Defensive rebound by K. Leonard,,80-68,,
3:34.0,D. Lee makes 2-pt shot from 2 ft (assist by K. Leonard),2,82-68,,
3:22.0,,,82-70,2,L. Williams makes 2-pt shot from 1 ft
3:21.0,San Antonio full timeout,,82-70,,
3:21.0,,,82-70,,T. Black enters the game for L. Deng
3:21.0,,,82-70,,B. Ingram enters the game for J. Randle
3:21.0,D. Green enters the game for M. Ginobili,,82-70,,
3:10.0,K. Leonard makes 2-pt shot from 3 ft,2,84-70,,
3:10.0,Shooting foul by T. Black (drawn by K. Leonard),,84-70,,
3:10.0,K. Leonard makes free throw 1 of 1,1,85-70,,
3:10.0,P. Gasol enters the game for L. Aldridge,,84-70,,
2:57.0,,,85-70,,J. Clarkson misses 2-pt shot from 11 ft
2:57.0,,,85-70,,Offensive rebound by T. Black
2:57.0,Personal foul by P. Gasol (drawn by T. Black),,85-70,,
2:57.0,K. Anderson enters the game for K. Leonard,,85-70,,
2:52.0,,,85-70,,Turnover by L. Williams (lost ball; steal by D. Green)
2:49.0,Turnover by P. Gasol (bad pass; steal by L. Williams),,85-70,,
2:44.0,,,85-72,2,L. Williams makes 2-pt shot from 1 ft
2:26.0,Shooting foul by T. Black (drawn by P. Gasol),,85-72,,
2:26.0,P. Gasol makes free throw 1 of 2,1,86-72,,
2:26.0,P. Gasol makes free throw 2 of 2,1,87-72,,
2:10.0,,,87-72,,B. Ingram misses 2-pt shot from 4 ft
2:09.0,Defensive rebound by D. Lee,,87-72,,
1:52.0,P. Gasol misses 2-pt shot from 6 ft,,87-72,,
1:49.0,,,87-72,,Defensive rebound by T. Black
1:43.0,,,87-72,,L. Williams misses 3-pt shot from 23 ft
1:41.0,,,87-72,,Offensive rebound by L. Nance
1:33.0,,,87-74,2,L. Williams makes 2-pt shot from 12 ft (assist by B. Ingram)
1:08.0,P. Gasol misses 2-pt shot from 9 ft,,87-74,,
1:07.0,,,87-74,,Defensive rebound by T. Black
0:59.0,,,87-76,2,J. Clarkson makes 2-pt shot from 11 ft
0:50.0,,,87-76,,Personal foul by T. Black (drawn by P. Gasol)
0:50.0,P. Gasol makes free throw 1 of 2,1,88-76,,
0:50.0,P. Gasol makes free throw 2 of 2,1,89-76,,
0:36.0,,,89-76,,B. Ingram misses 2-pt shot from 1 ft
0:32.0,,,89-76,,Offensive rebound by T. Black
0:32.0,,,89-76,,T. Black misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by D. Green,,89-76,,
0:24.0,,,89-76,,Violation by T. Black (kicked ball)
0:16.0,P. Mills makes 2-pt shot from 16 ft,2,91-76,,
0:06.0,Personal foul by P. Mills,,91-76,,
0:02.0,,,91-76,,J. Clarkson misses 2-pt shot from 1 ft (block by P. Gasol)
0:01.0,,,91-76,,Offensive rebound by T. Black
0:00.0,,,91-76,,T. Black misses 2-pt shot from 1 ft
0:00.0,,,91-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,P. Gasol makes 2-pt shot at rim (assist by D. Green),2,93-76,,
11:20.0,,,93-79,3,L. Williams makes 3-pt shot from 26 ft (assist by B. Ingram)
10:57.0,P. Mills misses 3-pt shot from 24 ft,,93-79,,
10:56.0,,,93-79,,Defensive rebound by L. Williams
10:43.0,,,93-81,2,J. Clarkson makes 2-pt shot from 3 ft
10:38.0,San Antonio full timeout,,93-81,,
10:38.0,K. Leonard enters the game for P. Gasol,,93-81,,
10:38.0,T. Parker enters the game for D. Green,,93-81,,
10:38.0,L. Aldridge enters the game for P. Mills,,93-81,,
10:38.0,M. Ginobili enters the game for K. Anderson,,93-81,,
10:29.0,K. Leonard misses 3-pt shot from 25 ft,,93-81,,
10:28.0,,,93-81,,Defensive rebound by L. Williams
10:12.0,,,93-83,2,B. Ingram makes 2-pt shot from 21 ft
9:59.0,L. Aldridge misses 2-pt shot from 18 ft,,93-83,,
9:58.0,,,93-83,,Defensive rebound by L. Williams
9:58.0,Personal foul by M. Ginobili,,93-83,,
9:44.0,,,93-83,,Shooting foul by D. Lee (drawn by L. Nance)
9:44.0,,,93-84,1,L. Nance makes free throw 1 of 2
9:44.0,,,93-85,1,L. Nance makes free throw 2 of 2
9:22.0,T. Parker makes 3-pt shot from 26 ft (assist by L. Aldridge),3,96-85,,
9:03.0,,,96-88,3,J. Clarkson makes 3-pt shot from 25 ft (assist by L. Deng)
8:33.0,L. Aldridge makes 2-pt shot from 9 ft,2,98-88,,
8:24.0,,,98-90,2,L. Williams makes 2-pt shot from 1 ft
8:05.0,M. Ginobili misses 3-pt shot from 25 ft,,98-90,,
8:04.0,,,98-90,,Defensive rebound by B. Ingram
7:54.0,,,98-90,,Turnover by J. Clarkson (lost ball; steal by K. Leonard)
7:54.0,,,98-90,,Personal take foul by L. Williams
7:54.0,D. Green enters the game for D. Lee,,98-90,,
7:40.0,Turnover by K. Leonard (traveling),,98-90,,
7:30.0,Personal foul by L. Aldridge,,98-90,,
7:22.0,,,98-90,,Shooting foul by M. Ginobili (drawn by J. Clarkson)
7:22.0,,,98-91,1,J. Clarkson makes free throw 1 of 2
7:22.0,,,98-91,,J. Clarkson misses free throw 2 of 2
7:20.0,Defensive rebound by K. Leonard,,98-91,,
7:07.0,T. Parker misses 2-pt shot from 6 ft,,98-91,,
7:06.0,,,98-91,,Defensive rebound by L. Nance
7:00.0,,,98-93,2,J. Clarkson makes 2-pt shot from 5 ft (assist by L. Nance)
6:40.0,L. Aldridge makes 2-pt shot from 3 ft (assist by T. Parker),2,100-93,,
6:25.0,,,100-93,,J. Clarkson misses 2-pt shot from 8 ft (block by L. Aldridge)
6:23.0,,,100-93,,Offensive rebound by J. Clarkson
6:21.0,,,100-93,,Turnover by L. Nance (lost ball; steal by L. Aldridge)
6:16.0,D. Green misses 3-pt shot from 26 ft,,100-93,,
6:13.0,Offensive rebound by T. Parker,,100-93,,
6:12.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Green),2,102-93,,
6:12.0,,,102-93,,LA Lakers full timeout
6:12.0,,,102-93,,J. Randle enters the game for L. Williams
6:12.0,,,102-93,,N. Young enters the game for L. Nance
5:54.0,,,102-95,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
5:37.0,L. Aldridge makes 2-pt shot from 11 ft,2,104-95,,
5:20.0,,,104-98,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle)
5:03.0,P. Mills enters the game for T. Parker,,104-98,,
5:03.0,K. Anderson enters the game for M. Ginobili,,104-98,,
4:58.0,Shooting foul by L. Deng (drawn by K. Leonard),,104-98,,
4:58.0,K. Leonard makes free throw 1 of 2,1,105-98,,
4:58.0,K. Leonard makes free throw 2 of 2,1,106-98,,
4:41.0,,,106-98,,J. Clarkson misses 2-pt shot from 1 ft (block by L. Aldridge)
4:38.0,,,106-98,,Offensive rebound by J. Randle
4:37.0,,,106-98,,Turnover by N. Young (lost ball; steal by D. Green)
4:30.0,K. Leonard makes 3-pt shot from 25 ft (assist by P. Mills),3,109-98,,
4:00.0,,,109-98,,B. Ingram misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by K. Leonard,,109-98,,
3:38.0,K. Leonard misses 2-pt shot from 20 ft,,109-98,,
3:38.0,Offensive rebound by Team,,109-98,,
3:38.0,,,109-98,,Loose ball foul by L. Deng (drawn by L. Aldridge)
3:38.0,,,109-98,,L. Williams enters the game for B. Ingram
3:32.0,K. Leonard misses 3-pt shot from 25 ft,,109-98,,
3:30.0,,,109-98,,Defensive rebound by J. Randle
3:22.0,,,109-98,,L. Williams misses 2-pt shot from 13 ft
3:22.0,Defensive rebound by Team,,109-98,,
3:01.0,P. Mills misses 3-pt shot from 25 ft,,109-98,,
2:59.0,,,109-98,,Defensive rebound by J. Randle
2:48.0,,,109-98,,L. Deng misses 3-pt shot from 26 ft
2:47.0,Defensive rebound by L. Aldridge,,109-98,,
2:23.0,L. Aldridge misses 2-pt shot from 16 ft,,109-98,,
2:20.0,,,109-98,,Defensive rebound by J. Clarkson
2:16.0,,,109-101,3,N. Young makes 3-pt shot from 25 ft (assist by L. Deng)
1:54.0,K. Anderson misses 3-pt shot from 24 ft,,109-101,,
1:52.0,,,109-101,,Defensive rebound by N. Young
1:43.0,,,109-104,3,J. Clarkson makes 3-pt shot from 23 ft (assist by N. Young)
1:39.0,San Antonio full timeout,,109-104,,
1:39.0,Official timeout,,109-104,,
1:39.0,M. Ginobili enters the game for D. Green,,109-104,,
1:39.0,P. Gasol enters the game for P. Mills,,109-104,,
1:39.0,T. Parker enters the game for K. Anderson,,109-104,,
1:29.0,T. Parker misses 2-pt shot from 2 ft,,109-104,,
1:26.0,,,109-104,,Defensive rebound by J. Randle
1:23.0,,,109-104,,Shooting foul by P. Gasol (drawn by J. Randle)
1:23.0,,,109-105,1,J. Randle makes free throw 1 of 2
1:23.0,,,109-105,,J. Randle misses free throw 2 of 2
1:21.0,Defensive rebound by P. Gasol,,109-105,,
1:07.0,L. Aldridge makes 2-pt shot from 3 ft (assist by M. Ginobili),2,111-105,,
0:54.0,,,111-105,,Shooting foul by M. Ginobili
0:54.0,,,111-106,1,L. Williams makes free throw 1 of 2
0:54.0,,,111-107,1,L. Williams makes free throw 2 of 2
0:54.0,,,111-106,,L. Nance enters the game for L. Deng
0:34.0,T. Parker makes 2-pt shot from 17 ft,2,113-107,,
0:34.0,,,113-107,,LA Lakers full timeout
0:34.0,D. Green enters the game for P. Gasol,,113-107,,
0:34.0,,,113-107,,L. Deng enters the game for L. Nance
