time,Atlanta,pts.away,score,pts.home,San Antonio
6:01.0,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap),3,13-11,,
5:46.0,,,13-14,3,K. Leonard makes 3-pt shot from 25 ft (assist by P. Mills)
5:31.0,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder),2,15-14,,
5:19.0,,,15-17,3,P. Gasol makes 3-pt shot from 25 ft (assist by P. Mills)
5:18.0,Atlanta full timeout,,15-17,,
5:18.0,,,15-17,,M. Ginobili enters the game for D. Green
5:18.0,T. Hardaway enters the game for K. Bazemore,,15-17,,
5:01.0,D. Schroder misses 2-pt shot from 20 ft (block by D. Lee),,15-17,,
4:59.0,,,15-17,,Defensive rebound by M. Ginobili
4:49.0,,,15-17,,P. Mills misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by D. Schroder,,15-17,,
4:41.0,D. Schroder misses 2-pt shot from 3 ft,,15-17,,
4:39.0,,,15-17,,Defensive rebound by D. Lee
4:26.0,,,15-17,,P. Gasol misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by T. Sefolosha,,15-17,,
4:10.0,T. Sefolosha misses 2-pt shot from 1 ft,,15-17,,
4:09.0,,,15-17,,Defensive rebound by D. Lee
3:56.0,,,15-19,2,P. Gasol makes 2-pt shot from 9 ft (assist by M. Ginobili)
3:34.0,T. Hardaway makes 2-pt shot from 1 ft,2,17-19,,
3:14.0,,,17-21,2,K. Leonard makes 2-pt shot from 8 ft
2:56.0,P. Millsap misses 2-pt shot from 9 ft,,17-21,,
2:55.0,,,17-21,,Defensive rebound by P. Gasol
2:45.0,,,17-21,,Turnover by P. Gasol (bad pass; steal by T. Hardaway)
2:38.0,D. Schroder misses 3-pt shot from 26 ft,,17-21,,
2:37.0,,,17-21,,Defensive rebound by M. Ginobili
2:28.0,,,17-21,,Turnover by K. Leonard (lost ball)
2:28.0,J. Calderon enters the game for T. Sefolosha,,17-21,,
2:28.0,E. Ilyasova enters the game for D. Howard,,17-21,,
2:28.0,T. Waller-Prince enters the game for D. Schroder,,17-21,,
2:28.0,,,17-21,,B. Forbes enters the game for P. Mills
2:06.0,Turnover by J. Calderon (bad pass),,17-21,,
2:06.0,,,17-21,,D. Bertans enters the game for D. Lee
1:56.0,Personal foul by T. Waller-Prince (drawn by K. Leonard),,17-21,,
1:49.0,,,17-23,2,K. Leonard makes 2-pt shot from 17 ft (assist by B. Forbes)
1:40.0,Offensive foul by P. Millsap,,17-23,,
1:40.0,Turnover by P. Millsap (offensive foul),,17-23,,
1:31.0,,,17-23,,Turnover by K. Leonard (bad pass; steal by E. Ilyasova)
1:31.0,,,17-23,,Personal foul by P. Gasol (drawn by E. Ilyasova)
1:18.0,,,17-23,,Personal foul by K. Leonard (drawn by P. Millsap)
1:18.0,P. Millsap makes free throw 1 of 2,1,18-23,,
1:18.0,P. Millsap misses free throw 2 of 2,,18-23,,
1:18.0,,,18-23,,Defensive rebound by P. Gasol
1:06.0,,,18-23,,P. Gasol misses 2-pt shot from 2 ft
1:05.0,Defensive rebound by T. Waller-Prince,,18-23,,
0:47.0,J. Calderon misses 3-pt shot from 25 ft,,18-23,,
0:45.0,,,18-23,,Defensive rebound by P. Gasol
0:30.0,,,18-26,3,D. Bertans makes 3-pt shot from 23 ft (assist by P. Gasol)
0:16.0,T. Hardaway misses 2-pt shot from 1 ft (block by P. Gasol),,18-26,,
0:15.0,,,18-26,,Defensive rebound by P. Gasol
0:00.0,,,18-28,2,K. Leonard makes 2-pt shot from 20 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Offensive foul by E. Ilyasova,,18-28,,
11:48.0,Turnover by E. Ilyasova (offensive foul),,18-28,,
11:38.0,,,18-28,,B. Forbes misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by E. Ilyasova,,18-28,,
11:15.0,T. Waller-Prince misses 2-pt shot from 16 ft (block by P. Gasol),,18-28,,
11:13.0,,,18-28,,Defensive rebound by D. Bertans
10:57.0,,,18-28,,D. Bertans misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by E. Ilyasova,,18-28,,
10:37.0,Turnover by E. Ilyasova (bad pass; steal by M. Ginobili),,18-28,,
10:25.0,,,18-28,,Turnover by M. Ginobili (bad pass)
10:17.0,Offensive charge foul by T. Hardaway,,18-28,,
10:17.0,Turnover by T. Hardaway (offensive foul),,18-28,,
10:00.0,Shooting block foul by M. Muscala (drawn by P. Gasol),,18-28,,
10:00.0,,,18-29,1,P. Gasol makes free throw 1 of 2
10:00.0,,,18-29,,P. Gasol misses free throw 2 of 2
10:00.0,Defensive rebound by M. Muscala,,18-29,,
9:44.0,E. Ilyasova misses 2-pt shot from 16 ft,,18-29,,
9:44.0,,,18-29,,Defensive rebound by K. Anderson
9:32.0,,,18-31,2,D. Bertans makes 2-pt shot from 14 ft (assist by M. Ginobili)
9:11.0,J. Calderon misses 3-pt shot from 23 ft,,18-31,,
9:09.0,Offensive rebound by M. Muscala,,18-31,,
9:07.0,Turnover by M. Muscala (lost ball; steal by M. Ginobili),,18-31,,
9:00.0,,,18-31,,M. Ginobili misses 2-pt shot from 2 ft
8:59.0,Defensive rebound by M. Muscala,,18-31,,
8:56.0,Official timeout,,18-31,,
8:56.0,D. Howard enters the game for M. Muscala,,18-31,,
8:56.0,D. Schroder enters the game for J. Calderon,,18-31,,
8:56.0,,,18-31,,P. Mills enters the game for M. Ginobili
8:56.0,,,18-31,,D. Green enters the game for B. Forbes
8:56.0,,,18-31,,D. Dedmon enters the game for P. Gasol
8:49.0,D. Schroder misses 2-pt shot from 7 ft,,18-31,,
8:48.0,Offensive rebound by D. Howard,,18-31,,
8:48.0,Shooting foul by K. Anderson (drawn by D. Howard),,18-31,,
8:48.0,D. Howard misses free throw 1 of 2,,18-31,,
8:48.0,Offensive rebound by Team,,18-31,,
8:48.0,D. Howard misses free throw 2 of 2,,18-31,,
8:48.0,,,18-31,,Defensive rebound by D. Dedmon
8:32.0,,,18-31,,Turnover by D. Dedmon (lost ball; steal by T. Waller-Prince)
8:23.0,Shooting foul by D. Bertans (drawn by D. Schroder),,18-31,,
8:23.0,D. Schroder makes free throw 1 of 2,1,19-31,,
8:23.0,D. Schroder makes free throw 2 of 2,1,20-31,,
8:23.0,K. Bazemore enters the game for T. Waller-Prince,,19-31,,
8:13.0,,,20-31,,Offensive foul by D. Dedmon
8:13.0,,,20-31,,Turnover by D. Dedmon (offensive foul)
7:59.0,T. Hardaway misses 2-pt shot from 11 ft,,20-31,,
7:58.0,,,20-31,,Defensive rebound by D. Dedmon
7:57.0,,,20-31,,Turnover by D. Dedmon (bad pass)
7:42.0,E. Ilyasova misses 2-pt shot from 6 ft,,20-31,,
7:42.0,Offensive rebound by E. Ilyasova,,20-31,,
7:39.0,Shooting foul by D. Bertans (drawn by D. Howard),,20-31,,
7:39.0,D. Howard misses free throw 1 of 2,,20-31,,
7:39.0,Offensive rebound by Team,,20-31,,
7:39.0,D. Howard makes free throw 2 of 2,1,21-31,,
7:39.0,,,20-31,,D. Lee enters the game for D. Bertans
7:39.0,,,20-31,,K. Leonard enters the game for K. Anderson
7:10.0,,,21-31,,Turnover by D. Lee (bad pass; steal by D. Schroder)
7:01.0,T. Hardaway misses 2-pt shot from 10 ft,,21-31,,
7:01.0,,,21-31,,Defensive rebound by Team
7:01.0,,,21-31,,San Antonio full timeout
6:50.0,,,21-31,,K. Leonard misses 2-pt shot from 8 ft
6:49.0,Defensive rebound by D. Howard,,21-31,,
6:35.0,Turnover by D. Howard (offensive goaltending),,21-31,,
6:21.0,,,21-31,,P. Mills misses 2-pt shot from 20 ft
6:20.0,Defensive rebound by E. Ilyasova,,21-31,,
6:09.0,E. Ilyasova makes 2-pt shot from 14 ft (assist by T. Hardaway),2,23-31,,
6:09.0,Shooting foul by P. Mills (drawn by E. Ilyasova),,23-31,,
6:09.0,E. Ilyasova makes free throw 1 of 1,1,24-31,,
6:09.0,T. Sefolosha enters the game for T. Hardaway,,23-31,,
6:09.0,P. Millsap enters the game for D. Howard,,23-31,,
5:51.0,,,24-34,3,P. Mills makes 3-pt shot from 24 ft (assist by D. Lee)
5:37.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by D. Schroder),2,26-34,,
5:28.0,,,26-36,2,D. Green makes 2-pt shot from 18 ft (assist by P. Mills)
5:15.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder),3,29-36,,
5:02.0,,,29-36,,Shooting foul by T. Sefolosha (drawn by K. Leonard)
5:02.0,,,29-37,1,K. Leonard makes free throw 1 of 3
5:02.0,,,29-37,,K. Leonard misses free throw 2 of 3
5:02.0,,,29-37,,Offensive rebound by Team
5:02.0,,,29-38,1,K. Leonard makes free throw 3 of 3
5:02.0,D. Howard enters the game for E. Ilyasova,,29-37,,
4:47.0,K. Bazemore misses 3-pt shot from 27 ft,,29-38,,
4:46.0,,,29-38,,Defensive rebound by D. Lee
4:34.0,,,29-38,,D. Green misses 2-pt shot from 20 ft
4:33.0,Defensive rebound by Team,,29-38,,
4:14.0,Turnover by D. Schroder (bad pass; steal by D. Green),,29-38,,
4:09.0,,,29-40,2,K. Leonard makes 2-pt shot from 2 ft (assist by D. Green)
4:09.0,,,29-40,,Shooting foul by K. Bazemore (drawn by K. Leonard)
4:09.0,,,29-41,1,K. Leonard makes free throw 1 of 1
4:09.0,Atlanta full timeout,,29-41,,
4:09.0,,,29-40,,M. Ginobili enters the game for D. Green
4:09.0,,,29-40,,P. Gasol enters the game for D. Dedmon
3:57.0,P. Millsap makes 2-pt shot from 17 ft (assist by D. Schroder),2,31-41,,
3:34.0,,,31-41,,P. Mills misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by P. Millsap,,31-41,,
3:22.0,D. Schroder makes 2-pt shot from 8 ft,2,33-41,,
3:10.0,,,33-44,3,K. Leonard makes 3-pt shot from 25 ft (assist by P. Gasol)
2:52.0,D. Schroder misses 3-pt shot from 25 ft,,33-44,,
2:50.0,,,33-44,,Defensive rebound by M. Ginobili
2:42.0,,,33-47,3,P. Gasol makes 3-pt shot from 25 ft (assist by M. Ginobili)
2:27.0,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap),2,35-47,,
2:27.0,Shooting foul by D. Lee (drawn by K. Bazemore),,35-47,,
2:27.0,K. Bazemore makes free throw 1 of 1,1,36-47,,
2:27.0,E. Ilyasova enters the game for D. Howard,,35-47,,
2:10.0,,,36-50,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Gasol)
1:52.0,T. Sefolosha misses 2-pt shot from 7 ft,,36-50,,
1:51.0,,,36-50,,Defensive rebound by K. Leonard
1:42.0,,,36-50,,Turnover by M. Ginobili (bad pass; steal by K. Bazemore)
1:36.0,D. Schroder makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,38-50,,
1:19.0,,,38-50,,K. Leonard misses 3-pt shot from 25 ft
1:17.0,,,38-50,,Offensive rebound by D. Lee
1:15.0,,,38-52,2,D. Lee makes 2-pt shot from 1 ft
0:58.0,,,38-52,,Personal block foul by K. Leonard (drawn by K. Bazemore)
0:58.0,K. Bazemore misses free throw 1 of 2,,38-52,,
0:58.0,Offensive rebound by Team,,38-52,,
0:58.0,K. Bazemore makes free throw 2 of 2,1,39-52,,
0:58.0,T. Hardaway enters the game for T. Sefolosha,,38-52,,
0:40.0,,,39-52,,M. Ginobili misses 3-pt shot from 25 ft
0:39.0,,,39-52,,Offensive rebound by D. Lee
0:39.0,,,39-54,2,D. Lee makes 2-pt shot from 1 ft
0:32.0,D. Schroder makes 2-pt shot from 2 ft,2,41-54,,
0:09.0,,,41-54,,D. Lee misses 2-pt shot from 14 ft (block by T. Hardaway)
0:08.0,,,41-54,,Offensive rebound by Team
0:08.0,,,41-54,,Turnover by Team (shot clock)
0:08.0,Atlanta full timeout,,41-54,,
0:08.0,,,41-54,,D. Green enters the game for D. Lee
0:08.0,,,41-54,,K. Anderson enters the game for P. Gasol
0:01.0,D. Schroder makes 2-pt shot from 4 ft,2,43-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Howard makes 2-pt shot from 3 ft (assist by T. Sefolosha),2,45-54,,
11:26.0,,,45-56,2,D. Lee makes 2-pt shot at rim (assist by P. Mills)
11:13.0,Shooting foul by D. Lee (drawn by D. Howard),,45-56,,
11:13.0,D. Howard misses free throw 1 of 2,,45-56,,
11:13.0,Offensive rebound by Team,,45-56,,
11:13.0,D. Howard misses free throw 2 of 2,,45-56,,
11:12.0,,,45-56,,Defensive rebound by D. Lee
10:48.0,,,45-56,,K. Leonard misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by D. Howard,,45-56,,
10:36.0,T. Sefolosha misses 3-pt shot from 23 ft,,45-56,,
10:35.0,,,45-56,,Defensive rebound by D. Green
10:29.0,,,45-56,,K. Leonard misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by D. Howard,,45-56,,
10:18.0,D. Schroder makes 2-pt shot from 12 ft,2,47-56,,
10:06.0,,,47-56,,Shooting foul by D. Schroder
10:06.0,,,47-57,1,P. Mills makes free throw 1 of 2
10:06.0,,,47-58,1,P. Mills makes free throw 2 of 2
9:58.0,Atlanta full timeout,,47-58,,
9:47.0,P. Millsap makes 2-pt shot at rim (assist by D. Howard),2,49-58,,
9:25.0,,,49-60,2,D. Lee makes 2-pt shot from 2 ft (assist by K. Leonard)
9:13.0,Shooting foul by D. Lee (drawn by P. Millsap),,49-60,,
9:13.0,P. Millsap makes free throw 1 of 2,1,50-60,,
9:13.0,P. Millsap misses free throw 2 of 2,,50-60,,
9:12.0,,,50-60,,Defensive rebound by D. Dedmon
8:56.0,,,50-63,3,D. Green makes 3-pt shot from 24 ft (assist by D. Lee)
8:34.0,P. Millsap misses 3-pt shot from 25 ft,,50-63,,
8:33.0,,,50-63,,Defensive rebound by P. Mills
8:19.0,,,50-63,,D. Green misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by D. Howard,,50-63,,
8:09.0,Shooting foul by D. Dedmon (drawn by K. Bazemore),,50-63,,
8:09.0,K. Bazemore makes free throw 1 of 2,1,51-63,,
8:09.0,K. Bazemore makes free throw 2 of 2,1,52-63,,
7:51.0,,,52-65,2,D. Lee makes 2-pt shot from 17 ft (assist by K. Leonard)
7:40.0,D. Howard misses 2-pt shot from 3 ft,,52-65,,
7:38.0,,,52-65,,Defensive rebound by D. Dedmon
7:22.0,,,52-67,2,K. Leonard makes 2-pt shot from 17 ft (assist by D. Lee)
7:09.0,,,52-67,,Personal foul by D. Lee (drawn by D. Howard)
7:08.0,,,52-67,,Personal foul by K. Leonard (drawn by T. Sefolosha)
7:08.0,T. Sefolosha makes free throw 1 of 2,1,53-67,,
7:08.0,T. Sefolosha misses free throw 2 of 2,,53-67,,
7:08.0,,,53-67,,P. Gasol enters the game for D. Lee
7:08.0,,,53-67,,M. Ginobili enters the game for D. Green
7:07.0,,,53-67,,Defensive rebound by D. Dedmon
6:51.0,,,53-67,,P. Mills misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by T. Sefolosha,,53-67,,
6:41.0,D. Howard makes 2-pt shot from 7 ft (assist by D. Schroder),2,55-67,,
6:25.0,,,55-67,,P. Mills misses 2-pt shot from 13 ft
6:24.0,Defensive rebound by D. Howard,,55-67,,
6:13.0,D. Howard misses 2-pt shot from 8 ft (block by P. Gasol),,55-67,,
6:13.0,Offensive rebound by Team,,55-67,,
6:09.0,D. Schroder makes 2-pt shot from 16 ft (assist by K. Bazemore),2,57-67,,
5:45.0,,,57-69,2,D. Dedmon makes 2-pt shot from 1 ft (assist by P. Gasol)
5:37.0,Shooting foul by D. Dedmon (drawn by P. Millsap),,57-69,,
5:37.0,P. Millsap makes free throw 1 of 2,1,58-69,,
5:37.0,P. Millsap makes free throw 2 of 2,1,59-69,,
5:37.0,,,58-69,,J. Anthony enters the game for D. Dedmon
5:37.0,T. Hardaway enters the game for K. Bazemore,,58-69,,
5:22.0,,,59-69,,K. Leonard misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by T. Hardaway,,59-69,,
5:12.0,P. Millsap makes 2-pt shot from 8 ft (assist by D. Schroder),2,61-69,,
5:12.0,,,61-69,,San Antonio full timeout
4:54.0,,,61-71,2,K. Leonard makes 2-pt shot from 9 ft (assist by P. Mills)
4:42.0,D. Schroder misses 2-pt shot from 18 ft,,61-71,,
4:41.0,,,61-71,,Defensive rebound by K. Leonard
4:32.0,,,61-71,,P. Gasol misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by D. Howard,,61-71,,
4:26.0,T. Hardaway makes 2-pt shot from 1 ft (assist by D. Schroder),2,63-71,,
4:07.0,,,63-71,,K. Leonard misses 2-pt shot from 11 ft
4:07.0,Defensive rebound by Team,,63-71,,
4:07.0,E. Ilyasova enters the game for D. Howard,,63-71,,
4:07.0,,,63-71,,D. Green enters the game for M. Ginobili
3:57.0,D. Schroder misses 2-pt shot from 14 ft,,63-71,,
3:55.0,,,63-71,,Defensive rebound by K. Leonard
3:47.0,,,63-71,,P. Mills misses 2-pt shot from 17 ft
3:46.0,,,63-71,,Offensive rebound by J. Anthony
3:43.0,,,63-71,,Turnover by J. Anthony (bad pass; steal by T. Hardaway)
3:43.0,,,63-71,,Personal foul by P. Mills
3:43.0,T. Hardaway makes free throw 1 of 2,1,64-71,,
3:43.0,T. Hardaway makes free throw 2 of 2,1,65-71,,
3:43.0,,,64-71,,D. Bertans enters the game for J. Anthony
3:25.0,,,65-71,,D. Bertans misses 3-pt shot from 25 ft
3:25.0,,,65-71,,Offensive rebound by Team
3:25.0,Loose ball foul by P. Millsap (drawn by P. Gasol),,65-71,,
3:18.0,,,65-71,,K. Leonard misses 2-pt shot from 16 ft
3:17.0,,,65-71,,Offensive rebound by P. Gasol
3:14.0,,,65-71,,P. Mills misses 3-pt shot from 25 ft
3:13.0,,,65-71,,Offensive rebound by P. Gasol
3:02.0,,,65-71,,Turnover by D. Bertans (bad pass)
2:50.0,P. Millsap makes 2-pt shot from 15 ft (assist by D. Schroder),2,67-71,,
2:38.0,,,67-74,3,D. Green makes 3-pt shot from 25 ft (assist by P. Mills)
2:17.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by P. Millsap),2,69-74,,
2:02.0,,,69-74,,Turnover by D. Green (bad pass; steal by D. Schroder)
1:53.0,T. Sefolosha makes 2-pt shot from 15 ft (assist by T. Hardaway),2,71-74,,
1:39.0,,,71-74,,P. Gasol misses 2-pt shot from 5 ft
1:38.0,,,71-74,,Offensive rebound by P. Gasol
1:38.0,,,71-76,2,P. Gasol makes 2-pt shot at rim
1:16.0,D. Schroder misses 2-pt shot from 2 ft (block by D. Bertans),,71-76,,
1:16.0,Offensive rebound by Team,,71-76,,
1:16.0,,,71-76,,B. Forbes enters the game for P. Mills
1:16.0,,,71-76,,M. Ginobili enters the game for K. Leonard
1:16.0,K. Bazemore enters the game for T. Sefolosha,,71-76,,
1:13.0,E. Ilyasova misses 3-pt shot from 24 ft,,71-76,,
1:12.0,Offensive rebound by P. Millsap,,71-76,,
1:12.0,P. Millsap misses 2-pt shot from 6 ft,,71-76,,
1:10.0,,,71-76,,Defensive rebound by D. Green
1:04.0,,,71-79,3,D. Green makes 3-pt shot from 25 ft (assist by D. Bertans)
0:50.0,D. Schroder makes 2-pt shot from 1 ft,2,73-79,,
0:32.0,,,73-79,,P. Gasol misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by E. Ilyasova,,73-79,,
0:22.0,E. Ilyasova misses 2-pt shot from 2 ft (block by P. Gasol),,73-79,,
0:21.0,,,73-79,,Defensive rebound by P. Gasol
0:00.0,,,73-81,2,B. Forbes makes 2-pt shot from 17 ft (assist by M. Ginobili)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-81,,D. Bertans misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by Team,,73-81,,
11:24.0,T. Hardaway makes 3-pt shot from 25 ft (assist by P. Millsap),3,76-81,,
11:04.0,,,76-81,,M. Ginobili misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by K. Bazemore,,76-81,,
10:48.0,P. Millsap makes 2-pt shot from 16 ft,2,78-81,,
10:33.0,,,78-84,3,D. Bertans makes 3-pt shot from 24 ft (assist by M. Ginobili)
10:18.0,P. Millsap misses 2-pt shot from 20 ft,,78-84,,
10:16.0,,,78-84,,Defensive rebound by B. Forbes
10:00.0,,,78-84,,Shooting foul by K. Bazemore (drawn by P. Gasol)
10:00.0,,,78-85,1,P. Gasol makes free throw 1 of 2
10:00.0,,,78-86,1,P. Gasol makes free throw 2 of 2
10:00.0,D. Howard enters the game for E. Ilyasova,,78-85,,
10:00.0,T. Waller-Prince enters the game for K. Bazemore,,78-85,,
10:00.0,,,78-85,,J. Simmons enters the game for D. Green
9:48.0,Offensive charge foul by P. Millsap,,78-86,,
9:48.0,Turnover by P. Millsap (offensive foul),,78-86,,
9:48.0,Violation by Team (jump ball),,78-86,,
9:48.0,,,78-86,,D. Dedmon enters the game for P. Gasol
9:37.0,,,78-86,,Turnover by M. Ginobili (bad pass; steal by J. Calderon)
9:31.0,T. Hardaway misses 3-pt shot from 25 ft,,78-86,,
9:28.0,Offensive rebound by Team,,78-86,,
9:17.0,T. Hardaway makes 3-pt shot from 26 ft (assist by J. Calderon),3,81-86,,
9:16.0,,,81-86,,San Antonio full timeout
9:16.0,,,81-86,,P. Mills enters the game for B. Forbes
9:16.0,E. Ilyasova enters the game for P. Millsap,,81-86,,
8:55.0,,,81-86,,J. Simmons misses 2-pt shot from 15 ft
8:54.0,,,81-86,,Offensive rebound by M. Ginobili
8:41.0,,,81-86,,J. Simmons misses 2-pt shot from 1 ft (block by E. Ilyasova)
8:41.0,Defensive rebound by Team,,81-86,,
8:28.0,T. Hardaway misses 2-pt shot from 17 ft,,81-86,,
8:27.0,Offensive rebound by D. Howard,,81-86,,
8:27.0,Shooting foul by J. Simmons (drawn by D. Howard),,81-86,,
8:27.0,D. Howard makes free throw 1 of 2,1,82-86,,
8:27.0,D. Howard makes free throw 2 of 2,1,83-86,,
8:27.0,,,82-86,,K. Leonard enters the game for J. Simmons
8:27.0,,,82-86,,B. Forbes enters the game for P. Mills
8:14.0,,,83-86,,K. Leonard misses 3-pt shot from 23 ft
8:12.0,Defensive rebound by T. Hardaway,,83-86,,
8:08.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by T. Hardaway),2,85-86,,
8:01.0,,,85-86,,Turnover by K. Leonard (lost ball; steal by J. Calderon)
7:55.0,Offensive charge foul by T. Waller-Prince,,85-86,,
7:55.0,Turnover by T. Waller-Prince (offensive foul),,85-86,,
7:45.0,Personal foul by E. Ilyasova (drawn by M. Ginobili),,85-86,,
7:45.0,,,85-86,,D. Lee enters the game for D. Bertans
7:35.0,,,85-89,3,B. Forbes makes 3-pt shot from 25 ft (assist by K. Leonard)
7:19.0,T. Hardaway makes 2-pt shot at rim (assist by E. Ilyasova),2,87-89,,
7:09.0,,,87-89,,Turnover by M. Ginobili (bad pass; steal by E. Ilyasova)
7:05.0,Turnover by E. Ilyasova (bad pass),,87-89,,
7:05.0,D. Schroder enters the game for J. Calderon,,87-89,,
7:05.0,,,87-89,,P. Mills enters the game for B. Forbes
6:54.0,,,87-91,2,D. Dedmon makes 2-pt shot at rim (assist by M. Ginobili)
6:39.0,,,87-91,,Personal foul by D. Dedmon (drawn by D. Howard)
6:39.0,P. Millsap enters the game for E. Ilyasova,,87-91,,
6:39.0,K. Bazemore enters the game for T. Waller-Prince,,87-91,,
6:39.0,,,87-91,,D. Green enters the game for M. Ginobili
6:25.0,Turnover by D. Schroder (traveling),,87-91,,
6:14.0,,,87-91,,K. Leonard misses 2-pt shot from 3 ft
6:12.0,Defensive rebound by D. Howard,,87-91,,
6:12.0,,,87-91,,Personal foul by K. Leonard (drawn by P. Millsap)
6:12.0,T. Sefolosha enters the game for T. Hardaway,,87-91,,
6:01.0,P. Millsap misses 2-pt shot from 13 ft,,87-91,,
5:59.0,,,87-91,,Defensive rebound by D. Dedmon
5:46.0,,,87-91,,K. Leonard misses 2-pt shot from 13 ft
5:45.0,Defensive rebound by D. Howard,,87-91,,
