time,Washington,pts.away,score,pts.home,Chicago
5:38.0,B. Beal misses 2-pt shot from 16 ft,,13-15,,
5:37.0,,,13-15,,Defensive rebound by R. Rondo
5:32.0,,,13-17,2,T. Gibson makes 2-pt shot from 1 ft (assist by R. Rondo)
5:10.0,O. Porter makes 3-pt shot from 25 ft (assist by M. Gortat),3,16-17,,
4:56.0,,,16-19,2,J. Butler makes 2-pt shot from 12 ft
4:29.0,M. Morris misses 2-pt shot from 7 ft (block by D. Wade),,16-19,,
4:29.0,Offensive rebound by Team,,16-19,,
4:29.0,,,16-19,,Chicago full timeout
4:29.0,,,16-19,,D. McDermott enters the game for D. Wade
4:29.0,,,16-19,,N. Mirotic enters the game for T. Gibson
4:29.0,K. Oubre enters the game for M. Morris,,16-19,,
4:23.0,K. Oubre misses 2-pt shot from 20 ft,,16-19,,
4:21.0,,,16-19,,Defensive rebound by J. Butler
4:06.0,,,16-19,,N. Mirotic misses 2-pt shot from 10 ft
4:05.0,,,16-19,,Offensive rebound by N. Mirotic
3:59.0,,,16-21,2,D. McDermott makes 2-pt shot from 2 ft (assist by R. Rondo)
3:40.0,O. Porter misses 3-pt shot from 24 ft,,16-21,,
3:39.0,,,16-21,,Defensive rebound by D. McDermott
3:27.0,,,16-21,,D. McDermott misses 2-pt shot from 2 ft
3:26.0,,,16-21,,Offensive rebound by N. Mirotic
3:10.0,,,16-24,3,N. Mirotic makes 3-pt shot from 23 ft (assist by R. Lopez)
2:56.0,Shooting foul by J. Butler (drawn by B. Beal),,16-24,,
2:56.0,Washington full timeout,,16-24,,
2:56.0,B. Beal misses free throw 1 of 2,,16-24,,
2:56.0,Offensive rebound by Team,,16-24,,
2:56.0,B. Beal misses free throw 2 of 2,,16-24,,
2:56.0,M. Thornton enters the game for O. Porter,,16-24,,
2:54.0,,,16-24,,Defensive rebound by N. Mirotic
2:37.0,,,16-26,2,J. Butler makes 2-pt shot at rim
2:37.0,,,16-26,,Shooting foul by K. Oubre (drawn by J. Butler)
2:37.0,,,16-27,1,J. Butler makes free throw 1 of 1
2:37.0,J. Smith enters the game for M. Gortat,,16-26,,
2:37.0,,,16-26,,C. Felicio enters the game for R. Lopez
2:30.0,J. Wall makes 2-pt shot from 2 ft,2,18-27,,
2:06.0,,,18-27,,J. Butler misses 2-pt shot from 18 ft
2:05.0,,,18-27,,Offensive rebound by J. Butler
2:01.0,,,18-29,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Butler)
1:44.0,B. Beal misses 2-pt shot from 2 ft (block by N. Mirotic),,18-29,,
1:42.0,,,18-29,,Defensive rebound by C. Felicio
1:28.0,,,18-29,,Turnover by R. Rondo (lost ball)
1:13.0,M. Thornton misses 3-pt shot from 24 ft,,18-29,,
1:12.0,,,18-29,,Defensive rebound by R. Rondo
1:07.0,,,18-29,,N. Mirotic misses 2-pt shot from 2 ft
1:05.0,,,18-29,,Offensive rebound by C. Felicio
1:05.0,,,18-31,2,C. Felicio makes 2-pt shot at rim
0:58.0,J. Wall makes 2-pt shot from 18 ft,2,20-31,,
0:55.0,,,20-31,,Turnover by R. Rondo (bad pass)
0:55.0,,,20-31,,J. Grant enters the game for R. Rondo
0:55.0,T. Burke enters the game for J. Wall,,20-31,,
0:35.0,M. Thornton makes 2-pt shot from 22 ft,2,22-31,,
0:29.0,,,22-31,,Turnover by J. Butler (bad pass; steal by B. Beal)
0:07.0,K. Oubre misses 3-pt shot from 26 ft,,22-31,,
0:06.0,,,22-31,,Defensive rebound by J. Butler
0:03.0,,,22-33,2,J. Butler makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,22-35,2,C. Felicio makes 2-pt shot at rim (assist by D. Wade)
11:25.0,M. Thornton makes 2-pt shot from 1 ft (assist by J. Smith),2,24-35,,
11:02.0,,,24-35,,J. Grant misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by K. Oubre,,24-35,,
10:54.0,T. Burke makes 2-pt shot from 2 ft,2,26-35,,
10:36.0,,,26-35,,D. Wade misses 2-pt shot from 19 ft
10:34.0,Defensive rebound by J. Smith,,26-35,,
10:27.0,J. Smith makes 2-pt shot from 20 ft (assist by M. Thornton),2,28-35,,
10:27.0,Shooting foul by D. Wade (drawn by J. Smith),,28-35,,
10:27.0,J. Smith misses free throw 1 of 1,,28-35,,
10:26.0,,,28-35,,Defensive rebound by C. Felicio
10:10.0,,,28-37,2,C. Felicio makes 2-pt shot from 1 ft (assist by D. McDermott)
9:50.0,,,28-37,,Personal foul by J. Grant (drawn by M. Morris)
9:41.0,Turnover by K. Oubre (lost ball; steal by C. Felicio),,28-37,,
9:36.0,,,28-37,,Shooting foul by K. Oubre (drawn by D. Wade)
9:36.0,,,28-38,1,D. Wade makes free throw 1 of 2
9:36.0,,,28-38,,D. Wade misses free throw 2 of 2
9:35.0,Defensive rebound by M. Morris,,28-38,,
9:24.0,M. Morris misses 2-pt shot from 19 ft,,28-38,,
9:22.0,Offensive rebound by K. Oubre,,28-38,,
9:13.0,J. Smith misses 2-pt shot from 20 ft,,28-38,,
9:13.0,,,28-38,,Defensive rebound by N. Mirotic
9:13.0,Personal foul by M. Morris (drawn by N. Mirotic),,28-38,,
8:58.0,,,28-38,,D. McDermott misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by K. Oubre,,28-38,,
8:53.0,Washington full timeout,,28-38,,
8:53.0,S. Mac enters the game for K. Oubre,,28-38,,
8:47.0,M. Thornton misses 3-pt shot from 24 ft,,28-38,,
8:47.0,Offensive rebound by Team,,28-38,,
8:47.0,,,28-38,,Loose ball foul by N. Mirotic (drawn by M. Thornton)
8:37.0,J. Smith misses 2-pt shot from 2 ft,,28-38,,
8:35.0,Offensive rebound by M. Thornton,,28-38,,
8:35.0,M. Thornton misses 2-pt shot from 2 ft,,28-38,,
8:34.0,Offensive rebound by M. Morris,,28-38,,
8:33.0,M. Morris misses 2-pt shot from 2 ft,,28-38,,
8:32.0,Offensive rebound by J. Smith,,28-38,,
8:32.0,M. Morris misses 2-pt shot from 1 ft,,28-38,,
8:32.0,Offensive rebound by M. Morris,,28-38,,
8:32.0,Shooting foul by J. Grant (drawn by J. Smith),,28-38,,
8:32.0,J. Smith makes free throw 1 of 2,1,29-38,,
8:32.0,J. Smith makes free throw 2 of 2,1,30-38,,
8:20.0,,,30-40,2,D. Wade makes 2-pt shot from 13 ft
7:58.0,T. Burke misses 2-pt shot from 20 ft,,30-40,,
7:58.0,,,30-40,,Defensive rebound by N. Mirotic
7:58.0,Personal foul by M. Morris (drawn by N. Mirotic),,30-40,,
7:58.0,J. Wall enters the game for T. Burke,,30-40,,
7:48.0,,,30-42,2,D. Wade makes 2-pt shot from 6 ft
7:48.0,,,30-42,,Shooting foul by J. Smith (drawn by D. Wade)
7:48.0,,,30-43,1,D. Wade makes free throw 1 of 1
7:31.0,J. Smith makes 2-pt shot from 22 ft (assist by S. Mac),2,32-43,,
7:19.0,,,32-43,,D. Wade misses 2-pt shot from 2 ft (block by S. Mac)
7:19.0,,,32-43,,Offensive rebound by Team
7:19.0,,,32-43,,T. Gibson enters the game for N. Mirotic
7:19.0,B. Beal enters the game for M. Thornton,,32-43,,
7:19.0,M. Gortat enters the game for J. Smith,,32-43,,
7:19.0,,,32-43,,R. Lopez enters the game for C. Felicio
7:19.0,,,32-43,,J. Butler enters the game for D. McDermott
7:17.0,,,32-43,,Turnover by J. Butler (bad pass)
7:05.0,J. Wall makes 2-pt shot from 2 ft,2,34-43,,
6:44.0,,,34-43,,R. Lopez misses 2-pt shot from 5 ft
6:44.0,Defensive rebound by M. Morris,,34-43,,
6:41.0,Shooting foul by D. Wade (drawn by J. Wall),,34-43,,
6:41.0,J. Wall makes free throw 1 of 2,1,35-43,,
6:41.0,J. Wall makes free throw 2 of 2,1,36-43,,
6:41.0,,,35-43,,R. Rondo enters the game for J. Grant
6:41.0,,,35-43,,D. McDermott enters the game for D. Wade
6:26.0,,,36-43,,D. McDermott misses 2-pt shot from 2 ft
6:25.0,Defensive rebound by J. Wall,,36-43,,
6:18.0,B. Beal misses 3-pt shot from 26 ft,,36-43,,
6:18.0,,,36-43,,Defensive rebound by J. Butler
6:12.0,,,36-43,,D. McDermott misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by M. Gortat,,36-43,,
6:02.0,S. Mac makes 2-pt shot from 16 ft (assist by B. Beal),2,38-43,,
6:01.0,,,38-43,,Chicago full timeout
5:38.0,,,38-43,,R. Rondo misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by M. Morris,,38-43,,
5:32.0,Turnover by J. Wall (bad pass),,38-43,,
5:13.0,Personal foul by B. Beal (drawn by T. Gibson),,38-43,,
5:13.0,,,38-43,,T. Gibson misses free throw 1 of 2
5:13.0,,,38-43,,Offensive rebound by Team
5:13.0,,,38-44,1,T. Gibson makes free throw 2 of 2
4:57.0,M. Morris misses 2-pt shot from 2 ft,,38-44,,
4:55.0,,,38-44,,Defensive rebound by R. Lopez
4:46.0,,,38-44,,Turnover by R. Lopez (lost ball; steal by J. Wall)
4:41.0,S. Mac makes 2-pt shot from 1 ft (assist by J. Wall),2,40-44,,
4:29.0,,,40-44,,J. Butler misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by M. Gortat,,40-44,,
4:22.0,J. Wall misses 2-pt shot from 22 ft,,40-44,,
4:21.0,,,40-44,,Defensive rebound by T. Gibson
4:04.0,,,40-46,2,T. Gibson makes 2-pt shot from 4 ft (assist by J. Butler)
3:50.0,M. Morris makes 2-pt shot from 6 ft,2,42-46,,
3:29.0,,,42-46,,Turnover by R. Lopez (lost ball; steal by J. Wall)
3:25.0,Shooting foul by J. Butler (drawn by B. Beal),,42-46,,
3:25.0,B. Beal makes free throw 1 of 2,1,43-46,,
3:25.0,B. Beal makes free throw 2 of 2,1,44-46,,
3:25.0,O. Porter enters the game for S. Mac,,43-46,,
3:25.0,,,43-46,,D. Wade enters the game for D. McDermott
3:06.0,,,44-48,2,D. Wade makes 2-pt shot from 8 ft (assist by J. Butler)
2:53.0,Turnover by B. Beal (bad pass; steal by D. Wade),,44-48,,
2:47.0,,,44-50,2,D. Wade makes 2-pt shot from 5 ft (assist by T. Gibson)
2:47.0,,,44-50,,Shooting foul by J. Wall (drawn by D. Wade)
2:47.0,Technical foul by J. Wall (drawn by D. Wade),,44-50,,
2:47.0,,,44-50,,Chicago full timeout
2:47.0,,,44-51,1,J. Butler makes technical free throw
2:47.0,,,44-52,1,D. Wade makes free throw 1 of 1
2:33.0,M. Gortat makes 2-pt shot from 8 ft (assist by B. Beal),2,46-52,,
2:09.0,,,46-52,,D. Wade misses 2-pt shot from 15 ft
2:08.0,Defensive rebound by M. Morris,,46-52,,
2:03.0,J. Wall makes 2-pt shot from 1 ft (assist by M. Morris),2,48-52,,
1:54.0,,,48-52,,D. Wade misses 2-pt shot from 19 ft
1:52.0,Defensive rebound by M. Gortat,,48-52,,
1:48.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,51-52,,
1:26.0,,,51-52,,J. Butler misses 2-pt shot from 6 ft
1:26.0,Defensive rebound by O. Porter,,51-52,,
1:22.0,J. Wall makes 2-pt shot at rim (assist by O. Porter),2,53-52,,
1:21.0,,,53-52,,Chicago full timeout
1:05.0,,,53-52,,Shooting foul by M. Morris (drawn by D. Wade)
1:05.0,,,53-53,1,D. Wade makes free throw 1 of 2
1:05.0,,,53-54,1,D. Wade makes free throw 2 of 2
1:05.0,,,53-53,,N. Mirotic enters the game for T. Gibson
1:05.0,S. Mac enters the game for M. Morris,,53-53,,
0:53.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,55-54,,
0:31.0,,,55-56,2,J. Butler makes 2-pt shot from 20 ft (assist by R. Rondo)
0:08.0,O. Porter misses 3-pt shot from 23 ft,,55-56,,
0:06.0,,,55-56,,Defensive rebound by D. Wade
0:00.0,,,55-56,,J. Butler misses 2-pt shot from 3 ft
0:00.0,,,55-56,,Offensive rebound by J. Butler
0:00.0,,,55-56,,J. Butler misses 2-pt shot from 3 ft
0:00.0,,,55-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,55-58,2,R. Lopez makes 2-pt shot from 7 ft (assist by R. Rondo)
11:32.0,B. Beal misses 3-pt shot from 26 ft,,55-58,,
11:31.0,,,55-58,,Defensive rebound by R. Rondo
11:20.0,,,55-58,,T. Gibson misses 2-pt shot from 7 ft
11:19.0,,,55-58,,Offensive rebound by J. Butler
11:08.0,,,55-60,2,R. Lopez makes 2-pt shot from 5 ft (assist by R. Rondo)
10:53.0,M. Gortat makes 2-pt shot from 12 ft (assist by J. Wall),2,57-60,,
10:31.0,,,57-60,,R. Rondo misses 2-pt shot from 14 ft
10:30.0,Defensive rebound by J. Wall,,57-60,,
10:11.0,M. Morris makes 2-pt shot from 13 ft,2,59-60,,
9:52.0,,,59-60,,R. Rondo misses 2-pt shot from 2 ft
9:50.0,Defensive rebound by M. Morris,,59-60,,
9:44.0,B. Beal misses 3-pt shot from 24 ft,,59-60,,
9:43.0,,,59-60,,Defensive rebound by J. Butler
9:35.0,Shooting block foul by S. Mac (drawn by J. Butler),,59-60,,
9:35.0,,,59-60,,J. Butler misses free throw 1 of 2
9:35.0,,,59-60,,Offensive rebound by Team
9:35.0,,,59-61,1,J. Butler makes free throw 2 of 2
9:09.0,J. Wall misses 3-pt shot from 25 ft,,59-61,,
9:08.0,Offensive rebound by M. Gortat,,59-61,,
9:08.0,,,59-61,,Violation by D. Wade (def goaltending)
9:08.0,M. Gortat makes 2-pt shot from 4 ft,2,61-61,,
8:52.0,,,61-61,,D. Wade misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by J. Wall,,61-61,,
8:43.0,M. Morris misses 2-pt shot from 12 ft,,61-61,,
8:42.0,,,61-61,,Defensive rebound by R. Lopez
8:38.0,,,61-63,2,T. Gibson makes 2-pt shot from 5 ft (assist by R. Rondo)
8:38.0,Shooting block foul by B. Beal (drawn by T. Gibson),,61-63,,
8:38.0,,,61-63,,T. Gibson misses free throw 1 of 1
8:37.0,Defensive rebound by S. Mac,,61-63,,
8:24.0,Shooting foul by R. Rondo (drawn by J. Wall),,61-63,,
8:24.0,J. Wall makes free throw 1 of 2,1,62-63,,
8:24.0,J. Wall makes free throw 2 of 2,1,63-63,,
7:56.0,,,63-63,,J. Butler misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by J. Wall,,63-63,,
7:51.0,J. Wall misses 2-pt shot from 2 ft,,63-63,,
7:51.0,,,63-63,,Defensive rebound by Team
7:27.0,,,63-63,,D. Wade misses 2-pt shot from 20 ft
7:26.0,Defensive rebound by M. Gortat,,63-63,,
7:15.0,S. Mac misses 2-pt shot from 2 ft (block by T. Gibson),,63-63,,
7:13.0,,,63-63,,Defensive rebound by T. Gibson
7:00.0,,,63-63,,R. Rondo misses 2-pt shot from 1 ft
6:59.0,,,63-63,,Offensive rebound by T. Gibson
6:50.0,,,63-63,,R. Rondo misses 2-pt shot from 18 ft
6:48.0,,,63-63,,Offensive rebound by Team
6:39.0,,,63-63,,D. Wade misses 2-pt shot from 2 ft
6:38.0,,,63-63,,Offensive rebound by T. Gibson
6:34.0,,,63-63,,T. Gibson misses 2-pt shot from 5 ft
6:33.0,Defensive rebound by M. Morris,,63-63,,
6:29.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,65-63,,
6:29.0,,,65-63,,Chicago full timeout
6:29.0,,,65-63,,D. McDermott enters the game for D. Wade
6:14.0,Def 3 sec tech foul by M. Morris,,65-63,,
6:14.0,,,65-64,1,J. Butler makes technical free throw
6:07.0,,,65-64,,Offensive foul by J. Butler
6:07.0,,,65-64,,Turnover by J. Butler (offensive foul)
5:53.0,Turnover by B. Beal (traveling),,65-64,,
5:39.0,Personal foul by J. Wall (drawn by J. Butler),,65-64,,
5:25.0,,,65-64,,Turnover by Team (shot clock)
5:09.0,J. Wall makes 2-pt shot from 18 ft,2,67-64,,
4:44.0,,,67-66,2,T. Gibson makes 2-pt shot from 10 ft (assist by R. Rondo)
4:26.0,B. Beal makes 2-pt shot from 2 ft,2,69-66,,
4:09.0,,,69-66,,J. Butler misses 2-pt shot from 11 ft
4:08.0,Defensive rebound by M. Morris,,69-66,,
3:59.0,,,69-66,,Def 3 sec tech foul by R. Lopez
3:59.0,J. Wall misses technical free throw,,69-66,,
3:59.0,Offensive rebound by Team,,69-66,,
3:59.0,,,69-66,,N. Mirotic enters the game for T. Gibson
3:51.0,B. Beal misses 2-pt shot from 15 ft,,69-66,,
3:50.0,,,69-66,,Defensive rebound by R. Rondo
3:43.0,,,69-66,,R. Rondo misses 2-pt shot from 21 ft
3:42.0,Defensive rebound by M. Morris,,69-66,,
3:39.0,J. Wall makes 2-pt shot from 3 ft (assist by M. Morris),2,71-66,,
3:26.0,,,71-69,3,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo)
3:16.0,Offensive foul by M. Gortat,,71-69,,
3:16.0,Turnover by M. Gortat (offensive foul),,71-69,,
2:57.0,,,71-69,,J. Butler misses 2-pt shot from 20 ft
2:56.0,,,71-69,,Offensive rebound by R. Rondo
2:53.0,,,71-69,,D. McDermott misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by M. Gortat,,71-69,,
2:47.0,B. Beal makes 2-pt shot from 11 ft (assist by M. Gortat),2,73-69,,
2:25.0,,,73-72,3,D. McDermott makes 3-pt shot from 25 ft (assist by R. Rondo)
2:25.0,Washington full timeout,,73-72,,
2:25.0,K. Oubre enters the game for M. Morris,,73-72,,
2:25.0,T. Burke enters the game for J. Wall,,73-72,,
2:16.0,Turnover by M. Gortat (offensive foul),,73-72,,
2:16.0,Offensive foul by M. Gortat,,73-72,,
2:16.0,,,73-72,,J. Grant enters the game for R. Rondo
1:50.0,,,73-72,,N. Mirotic misses 2-pt shot from 14 ft
1:49.0,,,73-72,,Offensive rebound by J. Grant
1:47.0,,,73-75,3,D. McDermott makes 3-pt shot from 26 ft (assist by J. Grant)
1:25.0,K. Oubre makes 2-pt shot from 21 ft,2,75-75,,
1:07.0,,,75-75,,N. Mirotic misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by M. Gortat,,75-75,,
0:56.0,Shooting foul by R. Lopez (drawn by S. Mac),,75-75,,
0:56.0,S. Mac makes free throw 1 of 2,1,76-75,,
0:56.0,S. Mac makes free throw 2 of 2,1,77-75,,
0:56.0,M. Thornton enters the game for B. Beal,,76-75,,
0:33.0,,,77-77,2,J. Butler makes 2-pt shot from 16 ft
0:11.0,M. Thornton misses 3-pt shot from 26 ft,,77-77,,
0:10.0,,,77-77,,Defensive rebound by N. Mirotic
0:00.0,,,77-77,,J. Butler misses 3-pt shot from 25 ft
0:00.0,,,77-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,M. Thornton makes 2-pt shot from 18 ft,2,79-77,,
11:18.0,Personal foul by T. Burke (drawn by J. Grant),,79-77,,
11:05.0,,,79-77,,D. Wade misses 2-pt shot from 8 ft
11:03.0,Defensive rebound by J. Smith,,79-77,,
10:57.0,Turnover by T. Burke (bad pass; steal by J. Grant),,79-77,,
10:57.0,Personal foul by K. Oubre (drawn by J. Grant),,79-77,,
10:40.0,,,79-77,,D. McDermott misses 2-pt shot from 6 ft (block by J. Smith)
10:38.0,,,79-77,,Offensive rebound by D. McDermott
10:35.0,,,79-79,2,J. Grant makes 2-pt shot from 1 ft (assist by D. Wade)
10:07.0,M. Thornton makes 2-pt shot from 20 ft,2,81-79,,
9:52.0,,,81-81,2,J. Grant makes 2-pt shot from 2 ft
9:52.0,,,81-81,,Shooting foul by T. Burke (drawn by J. Grant)
9:52.0,,,81-82,1,J. Grant makes free throw 1 of 1
9:40.0,Shooting foul by T. Gibson (drawn by K. Oubre),,81-82,,
9:40.0,K. Oubre makes free throw 1 of 2,1,82-82,,
9:40.0,K. Oubre makes free throw 2 of 2,1,83-82,,
9:20.0,,,83-85,3,N. Mirotic makes 3-pt shot from 28 ft (assist by J. Grant)
8:57.0,T. Burke makes 2-pt shot from 2 ft,2,85-85,,
8:33.0,,,85-85,,D. Wade misses 2-pt shot from 1 ft
8:32.0,,,85-85,,Offensive rebound by J. Grant
8:32.0,,,85-85,,Turnover by J. Grant (bad pass)
8:32.0,Washington full timeout,,85-85,,
8:13.0,M. Morris makes 2-pt shot from 15 ft (assist by T. Burke),2,87-85,,
7:58.0,,,87-85,,N. Mirotic misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by K. Oubre,,87-85,,
7:48.0,T. Burke misses 2-pt shot from 19 ft,,87-85,,
7:47.0,,,87-85,,Defensive rebound by D. McDermott
7:38.0,,,87-85,,D. Wade misses 2-pt shot from 6 ft
7:37.0,Defensive rebound by T. Burke,,87-85,,
7:32.0,T. Burke makes 2-pt shot from 4 ft,2,89-85,,
7:32.0,Shooting foul by J. Grant (drawn by T. Burke),,89-85,,
7:32.0,T. Burke misses free throw 1 of 1,,89-85,,
7:32.0,,,89-85,,J. Butler enters the game for D. McDermott
7:32.0,,,89-85,,R. Rondo enters the game for J. Grant
7:30.0,,,89-85,,Defensive rebound by T. Gibson
7:17.0,,,89-85,,Turnover by R. Rondo (bad pass; steal by M. Thornton)
7:16.0,M. Thornton makes 2-pt shot from 1 ft,2,91-85,,
7:16.0,,,91-85,,Chicago full timeout
7:16.0,J. Wall enters the game for J. Smith,,91-85,,
7:16.0,M. Gortat enters the game for T. Burke,,91-85,,
7:01.0,,,91-87,2,D. Wade makes 2-pt shot from 14 ft
6:39.0,J. Wall misses 3-pt shot from 25 ft,,91-87,,
6:38.0,,,91-87,,Defensive rebound by J. Butler
6:25.0,Personal foul by K. Oubre (drawn by T. Gibson),,91-87,,
6:25.0,B. Beal enters the game for M. Thornton,,91-87,,
6:25.0,,,91-87,,D. McDermott enters the game for D. Wade
6:15.0,,,91-87,,T. Gibson misses 2-pt shot from 5 ft (block by M. Gortat)
6:13.0,,,91-87,,Offensive rebound by T. Gibson
6:12.0,,,91-87,,T. Gibson misses 2-pt shot from 5 ft
6:10.0,Defensive rebound by M. Gortat,,91-87,,
6:01.0,B. Beal misses 3-pt shot from 26 ft,,91-87,,
6:00.0,,,91-87,,Defensive rebound by Team
5:54.0,,,91-87,,N. Mirotic misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by K. Oubre,,91-87,,
5:38.0,M. Morris makes 2-pt shot from 1 ft,2,93-87,,
5:20.0,,,93-87,,Offensive foul by T. Gibson
5:20.0,,,93-87,,Turnover by T. Gibson (offensive foul)
5:20.0,,,93-87,,R. Lopez enters the game for N. Mirotic
5:11.0,,,93-87,,Personal foul by R. Rondo (drawn by B. Beal)
5:02.0,J. Wall misses 2-pt shot from 7 ft,,93-87,,
5:02.0,,,93-87,,Defensive rebound by Team
4:57.0,,,93-87,,R. Rondo misses 2-pt shot from 7 ft
4:56.0,Defensive rebound by J. Wall,,93-87,,
4:53.0,Shooting foul by J. Butler (drawn by B. Beal),,93-87,,
4:53.0,B. Beal makes free throw 1 of 2,1,94-87,,
4:53.0,B. Beal makes free throw 2 of 2,1,95-87,,
4:53.0,,,94-87,,D. Wade enters the game for D. McDermott
4:39.0,,,95-87,,Shooting foul by K. Oubre (drawn by J. Butler)
4:39.0,,,95-88,1,J. Butler makes free throw 1 of 2
4:39.0,,,95-89,1,J. Butler makes free throw 2 of 2
4:19.0,K. Oubre misses 3-pt shot from 22 ft,,95-89,,
4:18.0,,,95-89,,Defensive rebound by T. Gibson
4:15.0,,,95-89,,Turnover by T. Gibson (bad pass; steal by K. Oubre)
4:14.0,Turnover by K. Oubre (bad pass),,95-89,,
4:04.0,,,95-89,,D. Wade misses 2-pt shot from 3 ft
4:03.0,,,95-89,,Offensive rebound by J. Butler
4:03.0,,,95-89,,J. Butler misses 2-pt shot from 1 ft
4:02.0,Defensive rebound by M. Morris,,95-89,,
3:59.0,J. Wall makes 2-pt shot from 2 ft (assist by B. Beal),2,97-89,,
3:38.0,,,97-91,2,T. Gibson makes 2-pt shot from 7 ft (assist by J. Butler)
3:13.0,M. Morris misses 2-pt shot from 8 ft,,97-91,,
3:12.0,,,97-91,,Defensive rebound by D. Wade
2:54.0,,,97-93,2,D. Wade makes 2-pt shot from 7 ft
2:54.0,Washington full timeout,,97-93,,
2:38.0,B. Beal makes 2-pt shot from 17 ft,2,99-93,,
2:22.0,,,99-93,,J. Butler misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by J. Wall,,99-93,,
