time,Oklahoma City,pts.away,score,pts.home,Boston
7:36.0,Turnover by S. Adams (lost ball; steal by A. Johnson),,6-11,,
7:36.0,Jump ball: S. Adams vs. A. Johnson,,,,Jump ball: S. Adams vs. A. Johnson
7:20.0,,,6-11,,A. Bradley misses 2-pt shot from 1 ft
7:19.0,,,6-11,,Offensive rebound by A. Johnson
7:19.0,,,6-13,2,A. Johnson makes 2-pt shot from 1 ft
7:07.0,Turnover by R. Westbrook (bad pass; steal by I. Thomas),,6-13,,
7:03.0,,,6-13,,I. Thomas misses 2-pt shot from 1 ft
7:02.0,,,6-13,,Offensive rebound by A. Bradley
7:02.0,,,6-15,2,A. Bradley makes 2-pt shot at rim
7:02.0,Oklahoma City full timeout,,6-15,,
7:01.0,Turnover by E. Kanter (bad pass),,6-15,,
6:57.0,,,6-17,2,A. Johnson makes 2-pt shot from 6 ft (assist by I. Thomas)
6:47.0,,,6-17,,Personal foul by A. Bradley (drawn by R. Westbrook)
6:37.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,8-17,,
6:19.0,,,8-17,,J. Crowder misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by A. Roberson,,8-17,,
6:17.0,Turnover by A. Roberson (bad pass; steal by J. Crowder),,8-17,,
6:14.0,,,8-17,,J. Crowder misses 2-pt shot at rim
6:13.0,Defensive rebound by R. Westbrook,,8-17,,
6:08.0,A. Morrow misses 3-pt shot from 23 ft,,8-17,,
6:07.0,,,8-17,,Defensive rebound by A. Bradley
6:02.0,,,8-17,,Shooting foul by A. Roberson (drawn by A. Bradley)
6:02.0,,,8-17,,A. Bradley misses free throw 1 of 2
6:02.0,,,8-17,,Offensive rebound by Team
6:02.0,,,8-17,,A. Bradley misses free throw 2 of 2
6:02.0,Defensive rebound by S. Adams,,8-17,,
6:02.0,S. Christon enters the game for A. Roberson,,8-17,,
5:53.0,Shooting foul by A. Bradley (drawn by R. Westbrook),,8-17,,
5:53.0,R. Westbrook makes free throw 1 of 2,1,9-17,,
5:53.0,R. Westbrook makes free throw 2 of 2,1,10-17,,
5:53.0,,,9-17,,M. Smart enters the game for A. Bradley
5:41.0,,,10-19,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Johnson)
5:29.0,Turnover by R. Westbrook (lost ball; steal by M. Smart),,10-19,,
5:25.0,,,10-21,2,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart)
5:05.0,R. Westbrook misses 3-pt shot from 26 ft,,10-21,,
5:03.0,Offensive rebound by S. Adams,,10-21,,
5:03.0,S. Adams makes 2-pt shot from 1 ft,2,12-21,,
4:47.0,,,12-21,,A. Johnson misses 3-pt shot from 23 ft
4:47.0,,,12-21,,Offensive rebound by Team
4:47.0,Loose ball foul by R. Westbrook (drawn by A. Horford),,12-21,,
4:47.0,J. Grant enters the game for A. Morrow,,12-21,,
4:47.0,,,12-21,,K. Olynyk enters the game for A. Johnson
4:40.0,,,12-21,,A. Horford misses 2-pt shot from 22 ft
4:39.0,Defensive rebound by S. Adams,,12-21,,
4:32.0,R. Westbrook misses 2-pt shot from 21 ft,,12-21,,
4:31.0,Offensive rebound by E. Kanter,,12-21,,
4:30.0,E. Kanter misses 2-pt shot from 3 ft,,12-21,,
4:29.0,Offensive rebound by E. Kanter,,12-21,,
4:29.0,Shooting foul by K. Olynyk (drawn by E. Kanter),,12-21,,
4:29.0,E. Kanter misses free throw 1 of 2,,12-21,,
4:29.0,Offensive rebound by Team,,12-21,,
4:29.0,E. Kanter makes free throw 2 of 2,1,13-21,,
4:13.0,,,13-21,,A. Horford misses 2-pt shot from 2 ft
4:12.0,,,13-21,,Offensive rebound by A. Horford
4:11.0,,,13-21,,Shooting foul by E. Kanter (drawn by A. Horford)
4:11.0,,,13-22,1,A. Horford makes free throw 1 of 2
4:11.0,,,13-23,1,A. Horford makes free throw 2 of 2
4:00.0,Shooting foul by J. Crowder (drawn by E. Kanter),,13-23,,
4:00.0,E. Kanter makes free throw 1 of 2,1,14-23,,
4:00.0,E. Kanter makes free throw 2 of 2,1,15-23,,
3:51.0,Personal foul by S. Christon (drawn by I. Thomas),,15-23,,
3:51.0,,,15-23,,I. Thomas misses free throw 1 of 2
3:51.0,,,15-23,,Offensive rebound by Team
3:51.0,,,15-24,1,I. Thomas makes free throw 2 of 2
3:38.0,E. Kanter makes 2-pt shot from 16 ft (assist by R. Westbrook),2,17-24,,
3:26.0,,,17-24,,K. Olynyk misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by S. Christon,,17-24,,
3:12.0,R. Westbrook misses 2-pt shot from 9 ft,,17-24,,
3:11.0,Offensive rebound by E. Kanter,,17-24,,
3:05.0,E. Kanter makes 2-pt shot from 7 ft,2,19-24,,
2:58.0,,,19-24,,Boston full timeout
2:58.0,,,19-24,,T. Zeller enters the game for A. Horford
2:58.0,,,19-24,,J. Brown enters the game for I. Thomas
2:58.0,J. Lauvergne enters the game for S. Adams,,19-24,,
2:58.0,A. Roberson enters the game for R. Westbrook,,19-24,,
2:48.0,,,19-24,,J. Crowder misses 3-pt shot from 27 ft
2:46.0,Defensive rebound by Team,,19-24,,
2:30.0,S. Christon makes 2-pt shot from 2 ft (assist by E. Kanter),2,21-24,,
2:07.0,,,21-26,2,M. Smart makes 2-pt shot from 4 ft
1:46.0,Shooting foul by T. Zeller (drawn by J. Lauvergne),,21-26,,
1:46.0,J. Lauvergne makes free throw 1 of 2,1,22-26,,
1:46.0,J. Lauvergne makes free throw 2 of 2,1,23-26,,
1:46.0,,,22-26,,A. Bradley enters the game for J. Crowder
1:32.0,,,23-26,,M. Smart misses 2-pt shot from 8 ft
1:31.0,Defensive rebound by J. Lauvergne,,23-26,,
1:10.0,E. Kanter makes 2-pt shot at rim,2,25-26,,
0:54.0,,,25-26,,A. Bradley misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by J. Lauvergne,,25-26,,
0:30.0,S. Christon misses 3-pt shot from 25 ft,,25-26,,
0:29.0,Offensive rebound by E. Kanter,,25-26,,
0:25.0,E. Kanter misses 2-pt shot from 3 ft,,25-26,,
0:25.0,,,25-26,,Defensive rebound by M. Smart
0:05.0,,,25-26,,M. Smart misses 2-pt shot from 6 ft (block by A. Roberson)
0:05.0,,,25-26,,Offensive rebound by Team
0:02.0,,,25-28,2,T. Zeller makes 2-pt shot from 7 ft (assist by J. Brown)
0:00.0,S. Christon misses 3-pt shot from 54 ft,,25-28,,
0:00.0,Offensive rebound by Team,,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,25-28,,M. Smart misses 2-pt shot from 12 ft
11:36.0,,,25-28,,Offensive rebound by Team
11:36.0,,,25-28,,Turnover by Team (shot clock)
11:14.0,J. Lauvergne misses 2-pt shot from 19 ft,,25-28,,
11:13.0,,,25-28,,Defensive rebound by Team
11:13.0,Loose ball foul by E. Kanter (drawn by T. Zeller),,25-28,,
10:54.0,,,25-28,,T. Zeller misses 2-pt shot from 6 ft
10:54.0,Defensive rebound by J. Grant,,25-28,,
10:44.0,J. Grant misses 2-pt shot from 13 ft,,25-28,,
10:43.0,,,25-28,,Defensive rebound by J. Brown
10:29.0,,,25-28,,J. Brown misses 2-pt shot from 2 ft (block by A. Roberson)
10:28.0,,,25-28,,Offensive rebound by M. Smart
10:26.0,,,25-28,,A. Bradley misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by E. Kanter,,25-28,,
10:09.0,E. Kanter makes 2-pt shot from 19 ft (assist by A. Roberson),2,27-28,,
9:50.0,,,27-30,2,J. Jerebko makes 2-pt shot at rim (assist by M. Smart)
9:30.0,Shooting foul by M. Smart (drawn by J. Lauvergne),,27-30,,
9:30.0,J. Lauvergne makes free throw 1 of 2,1,28-30,,
9:30.0,J. Lauvergne misses free throw 2 of 2,,28-30,,
9:30.0,,,28-30,,Defensive rebound by J. Jerebko
9:30.0,D. Sabonis enters the game for E. Kanter,,28-30,,
9:30.0,,,28-30,,T. Rozier enters the game for M. Smart
9:16.0,,,28-30,,Turnover by A. Bradley (bad pass)
9:16.0,A. Abrines enters the game for J. Lauvergne,,28-30,,
8:59.0,A. Roberson misses 3-pt shot from 25 ft,,28-30,,
8:58.0,,,28-30,,Defensive rebound by T. Rozier
8:38.0,,,28-30,,Shooting foul by A. Abrines (drawn by J. Brown)
8:38.0,,,28-32,2,J. Brown makes 2-pt shot from 1 ft (assist by A. Bradley)
8:38.0,Official timeout,,28-32,,
8:38.0,,,28-33,1,J. Brown makes free throw 1 of 1
8:38.0,R. Westbrook enters the game for A. Roberson,,28-32,,
8:17.0,R. Westbrook makes 2-pt shot from 1 ft,2,30-33,,
8:05.0,,,30-33,,A. Bradley misses 2-pt shot from 21 ft
8:04.0,,,30-33,,Offensive rebound by J. Brown
8:03.0,,,30-33,,J. Brown misses 2-pt shot from 1 ft
8:02.0,,,30-33,,Offensive rebound by J. Brown
8:01.0,,,30-33,,J. Brown misses 2-pt shot from 1 ft (block by J. Grant)
8:01.0,,,30-33,,Offensive rebound by Team
8:01.0,Inbound foul by S. Christon,,30-33,,
8:01.0,,,30-34,1,A. Bradley makes free throw 1 of 1
8:01.0,,,30-33,,A. Johnson enters the game for T. Zeller
7:58.0,,,30-34,,A. Johnson misses 2-pt shot from 1 ft
7:58.0,,,30-34,,Offensive rebound by A. Johnson
7:55.0,,,30-37,3,T. Rozier makes 3-pt shot from 25 ft (assist by A. Johnson)
7:53.0,Oklahoma City full timeout,,30-37,,
7:41.0,R. Westbrook makes 2-pt shot from 1 ft,2,32-37,,
7:26.0,,,32-39,2,A. Bradley makes 2-pt shot from 1 ft (assist by T. Rozier)
7:08.0,D. Sabonis makes 2-pt shot from 4 ft (assist by R. Westbrook),2,34-39,,
6:53.0,,,34-41,2,J. Brown makes 2-pt shot from 8 ft (assist by T. Rozier)
6:40.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,37-41,,
6:23.0,,,37-41,,Turnover by J. Jerebko (lost ball; steal by J. Grant)
6:21.0,,,37-41,,Personal foul by J. Brown (drawn by R. Westbrook)
6:21.0,A. Roberson enters the game for S. Christon,,37-41,,
6:21.0,S. Adams enters the game for J. Grant,,37-41,,
6:21.0,,,37-41,,I. Thomas enters the game for J. Brown
6:21.0,,,37-41,,A. Horford enters the game for J. Jerebko
6:08.0,R. Westbrook misses 2-pt shot from 8 ft,,37-41,,
6:08.0,,,37-41,,Defensive rebound by Team
5:51.0,,,37-41,,T. Rozier misses 2-pt shot from 6 ft
5:50.0,Defensive rebound by R. Westbrook,,37-41,,
5:41.0,D. Sabonis makes 3-pt shot from 25 ft (assist by R. Westbrook),3,40-41,,
5:27.0,,,40-44,3,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas)
5:00.0,A. Roberson misses 2-pt shot from 5 ft (block by A. Horford),,40-44,,
4:59.0,,,40-44,,Defensive rebound by A. Johnson
4:53.0,,,40-47,3,I. Thomas makes 3-pt shot from 27 ft (assist by A. Johnson)
4:37.0,R. Westbrook misses 2-pt shot from 1 ft,,40-47,,
4:36.0,Offensive rebound by A. Abrines,,40-47,,
4:35.0,A. Abrines misses 2-pt shot from 1 ft,,40-47,,
4:33.0,Offensive rebound by A. Abrines,,40-47,,
4:30.0,R. Westbrook makes 3-pt shot from 24 ft (assist by A. Abrines),3,43-47,,
4:18.0,,,43-47,,Turnover by I. Thomas (bad pass; steal by D. Sabonis)
4:13.0,,,43-47,,Personal foul by A. Johnson (drawn by D. Sabonis)
4:13.0,,,43-47,,M. Smart enters the game for T. Rozier
4:13.0,,,43-47,,J. Crowder enters the game for A. Bradley
4:05.0,R. Westbrook misses 3-pt shot from 26 ft,,43-47,,
4:04.0,,,43-47,,Defensive rebound by A. Horford
3:51.0,,,43-50,3,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas)
3:30.0,D. Sabonis makes 3-pt shot from 25 ft (assist by A. Roberson),3,46-50,,
3:17.0,,,46-50,,A. Horford misses 2-pt shot from 8 ft
3:16.0,Defensive rebound by S. Adams,,46-50,,
3:07.0,R. Westbrook misses 2-pt shot from 2 ft,,46-50,,
3:06.0,,,46-50,,Defensive rebound by Team
3:06.0,K. Singler enters the game for A. Abrines,,46-50,,
2:50.0,,,46-50,,A. Horford misses 2-pt shot from 8 ft
2:49.0,Defensive rebound by S. Adams,,46-50,,
2:41.0,D. Sabonis makes 3-pt shot from 25 ft (assist by R. Westbrook),3,49-50,,
2:34.0,,,49-50,,Boston full timeout
2:24.0,,,49-50,,Shooting foul by K. Singler (drawn by A. Johnson)
2:24.0,,,49-50,,A. Johnson misses free throw 1 of 2
2:24.0,,,49-50,,Offensive rebound by Team
2:24.0,,,49-51,1,A. Johnson makes free throw 2 of 2
2:02.0,Turnover by D. Sabonis (lost ball),,49-51,,
1:52.0,,,49-51,,Turnover by I. Thomas (kicked ball)
1:39.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,51-51,,
1:27.0,,,51-51,,Turnover by M. Smart (step out of bounds)
1:27.0,,,51-51,,A. Bradley enters the game for M. Smart
1:15.0,K. Singler misses 3-pt shot from 23 ft,,51-51,,
1:12.0,,,51-51,,Defensive rebound by A. Bradley
1:02.0,,,51-54,3,A. Horford makes 3-pt shot from 26 ft (assist by I. Thomas)
0:44.0,R. Westbrook makes 3-pt shot from 27 ft (assist by D. Sabonis),3,54-54,,
0:34.0,,,54-54,,I. Thomas misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by S. Adams,,54-54,,
0:29.0,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams),2,56-54,,
0:06.0,,,56-54,,Turnover by I. Thomas (bad pass; steal by S. Adams)
0:02.0,Shooting foul by A. Johnson (drawn by R. Westbrook),,56-54,,
0:02.0,R. Westbrook makes free throw 1 of 2,1,57-54,,
0:02.0,R. Westbrook makes free throw 2 of 2,1,58-54,,
0:02.0,,,57-54,,M. Smart enters the game for I. Thomas
0:02.0,,,57-54,,T. Zeller enters the game for A. Johnson
0:00.0,,,58-54,,M. Smart misses 2-pt shot from 22 ft
0:00.0,,,58-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-57,3,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas)
11:31.0,A. Morrow misses 3-pt shot from 25 ft,,58-57,,
11:30.0,,,58-57,,Defensive rebound by A. Horford
11:17.0,,,58-57,,Shooting foul by A. Roberson (drawn by A. Johnson)
11:17.0,,,58-58,1,A. Johnson makes free throw 1 of 2
11:17.0,,,58-59,1,A. Johnson makes free throw 2 of 2
10:55.0,,,58-59,,Personal foul by J. Crowder (drawn by D. Sabonis)
10:41.0,R. Westbrook makes 2-pt shot from 9 ft,2,60-59,,
10:24.0,,,60-59,,J. Crowder misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by R. Westbrook,,60-59,,
10:12.0,S. Adams misses 2-pt shot from 2 ft,,60-59,,
10:12.0,Offensive rebound by S. Adams,,60-59,,
10:06.0,A. Roberson makes 2-pt shot from 1 ft (assist by S. Adams),2,62-59,,
9:47.0,,,62-61,2,A. Bradley makes 2-pt shot from 20 ft (assist by A. Johnson)
9:32.0,A. Morrow makes 2-pt shot from 18 ft (assist by R. Westbrook),2,64-61,,
9:06.0,,,64-61,,Flagrant foul type 1 by A. Horford (drawn by R. Westbrook)
9:06.0,,,64-61,,Turnover by A. Horford (offensive foul)
9:06.0,R. Westbrook makes flagrant free throw 1 of 2,1,65-61,,
9:06.0,R. Westbrook makes flagrant free throw 2 of 2,1,66-61,,
8:48.0,D. Sabonis misses 3-pt shot from 25 ft,,66-61,,
8:47.0,,,66-61,,Defensive rebound by I. Thomas
8:33.0,,,66-61,,A. Johnson misses 2-pt shot from 7 ft
8:33.0,Defensive rebound by R. Westbrook,,66-61,,
8:21.0,R. Westbrook misses 2-pt shot from 17 ft,,66-61,,
8:21.0,Offensive rebound by Team,,66-61,,
8:21.0,,,66-61,,Loose ball foul by J. Crowder (drawn by A. Roberson)
8:21.0,,,66-61,,K. Olynyk enters the game for A. Johnson
8:08.0,S. Adams makes 2-pt shot from 8 ft,2,68-61,,
7:51.0,,,68-63,2,J. Crowder makes 2-pt shot from 6 ft
7:51.0,,,68-63,,Shooting foul by A. Roberson (drawn by J. Crowder)
7:51.0,,,68-64,1,J. Crowder makes free throw 1 of 1
7:31.0,D. Sabonis makes 3-pt shot from 25 ft (assist by S. Adams),3,71-64,,
7:17.0,,,71-66,2,I. Thomas makes 2-pt shot from 20 ft (assist by A. Horford)
7:04.0,D. Sabonis misses 3-pt shot from 26 ft,,71-66,,
7:03.0,,,71-66,,Defensive rebound by J. Crowder
6:59.0,,,71-66,,Shooting foul by A. Morrow (drawn by I. Thomas)
6:59.0,,,71-67,1,I. Thomas makes free throw 1 of 2
6:59.0,,,71-68,1,I. Thomas makes free throw 2 of 2
6:59.0,E. Kanter enters the game for D. Sabonis,,71-67,,
6:59.0,J. Grant enters the game for A. Morrow,,71-67,,
6:37.0,Turnover by A. Roberson (lost ball; steal by A. Horford),,71-68,,
6:32.0,,,71-70,2,A. Horford makes 2-pt shot at rim
6:15.0,Turnover by R. Westbrook (bad pass; steal by A. Horford),,71-70,,
6:06.0,,,71-70,,A. Bradley misses 3-pt shot from 23 ft
6:05.0,,,71-70,,Offensive rebound by J. Crowder
5:59.0,,,71-70,,A. Horford misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by R. Westbrook,,71-70,,
5:59.0,Oklahoma City full timeout,,71-70,,
5:39.0,R. Westbrook makes 3-pt shot from 23 ft (assist by E. Kanter),3,74-70,,
5:20.0,,,74-70,,Turnover by A. Horford (lost ball)
5:16.0,,,74-70,,Personal foul by A. Bradley (drawn by R. Westbrook)
5:08.0,Turnover by R. Westbrook (bad pass; steal by J. Crowder),,74-70,,
4:55.0,,,74-70,,I. Thomas misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by S. Adams,,74-70,,
4:43.0,E. Kanter misses 2-pt shot from 2 ft,,74-70,,
4:42.0,,,74-70,,Defensive rebound by A. Horford
4:38.0,,,74-72,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford)
4:20.0,J. Grant misses 3-pt shot from 23 ft,,74-72,,
4:18.0,Offensive rebound by S. Adams,,74-72,,
4:12.0,Shooting foul by K. Olynyk (drawn by J. Grant),,74-72,,
4:12.0,J. Grant makes free throw 1 of 2,1,75-72,,
4:12.0,J. Grant makes free throw 2 of 2,1,76-72,,
4:12.0,J. Lauvergne enters the game for S. Adams,,75-72,,
4:12.0,,,75-72,,M. Smart enters the game for I. Thomas
3:55.0,,,76-72,,M. Smart misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by A. Roberson,,76-72,,
3:43.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,78-72,,
3:34.0,,,78-72,,M. Smart misses 2-pt shot from 1 ft
3:33.0,Defensive rebound by R. Westbrook,,78-72,,
3:15.0,E. Kanter misses 2-pt shot from 15 ft,,78-72,,
3:14.0,,,78-72,,Defensive rebound by K. Olynyk
3:04.0,,,78-72,,Offensive charge foul by M. Smart
3:04.0,,,78-72,,Turnover by M. Smart (offensive foul)
2:52.0,R. Westbrook makes 2-pt shot from 13 ft,2,80-72,,
2:52.0,,,80-72,,Boston full timeout
2:52.0,,,80-72,,T. Rozier enters the game for J. Crowder
2:52.0,,,80-72,,A. Johnson enters the game for A. Horford
2:52.0,S. Christon enters the game for R. Westbrook,,80-72,,
2:39.0,,,80-72,,A. Bradley misses 2-pt shot from 21 ft
2:38.0,Defensive rebound by A. Roberson,,80-72,,
2:17.0,E. Kanter makes 2-pt shot from 7 ft,2,82-72,,
2:04.0,,,82-72,,Offensive charge foul by M. Smart
2:04.0,,,82-72,,Turnover by M. Smart (offensive foul)
1:51.0,J. Lauvergne misses 3-pt shot from 25 ft,,82-72,,
1:49.0,,,82-72,,Defensive rebound by T. Rozier
1:45.0,Shooting block foul by J. Lauvergne (drawn by A. Bradley),,82-72,,
1:45.0,,,82-73,1,A. Bradley makes free throw 1 of 2
1:45.0,,,82-74,1,A. Bradley makes free throw 2 of 2
1:28.0,A. Roberson makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,84-74,,
1:14.0,,,84-76,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Olynyk)
1:14.0,,,84-76,,Shooting foul by E. Kanter (drawn by A. Johnson)
1:14.0,,,84-77,1,A. Johnson makes free throw 1 of 1
0:56.0,E. Kanter makes 2-pt shot from 2 ft (assist by J. Lauvergne),2,86-77,,
0:46.0,,,86-79,2,A. Johnson makes 2-pt shot from 2 ft (assist by M. Smart)
0:26.0,S. Christon makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,88-79,,
0:03.0,,,88-79,,M. Smart misses 2-pt shot from 8 ft
0:02.0,Defensive rebound by E. Kanter,,88-79,,
0:00.0,J. Grant misses 3-pt shot from 26 ft,,88-79,,
0:00.0,Offensive rebound by Team,,88-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Offensive charge foul by J. Grant,,88-79,,
11:49.0,Turnover by J. Grant (offensive foul),,88-79,,
11:33.0,,,88-79,,I. Thomas misses 2-pt shot from 2 ft (block by J. Grant)
11:33.0,,,88-79,,Offensive rebound by Team
11:25.0,,,88-79,,A. Johnson misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by J. Lauvergne,,88-79,,
11:16.0,J. Lauvergne misses 2-pt shot from 1 ft,,88-79,,
11:15.0,,,88-79,,Defensive rebound by A. Johnson
10:56.0,,,88-81,2,I. Thomas makes 2-pt shot from 9 ft
10:40.0,E. Kanter makes 2-pt shot from 18 ft (assist by K. Singler),2,90-81,,
10:20.0,,,90-83,2,I. Thomas makes 2-pt shot from 1 ft
10:06.0,Shooting foul by J. Brown (drawn by E. Kanter),,90-83,,
10:06.0,E. Kanter misses free throw 1 of 2,,90-83,,
10:06.0,Offensive rebound by Team,,90-83,,
10:06.0,E. Kanter makes free throw 2 of 2,1,91-83,,
9:55.0,,,91-86,3,I. Thomas makes 3-pt shot from 25 ft
9:37.0,Turnover by J. Lauvergne (bad pass),,91-86,,
9:27.0,,,91-86,,Shooting foul by S. Christon (drawn by I. Thomas)
9:27.0,,,91-87,1,I. Thomas makes free throw 1 of 3
9:27.0,,,91-88,1,I. Thomas makes free throw 2 of 3
9:27.0,,,91-89,1,I. Thomas makes free throw 3 of 3
9:10.0,S. Christon misses 3-pt shot from 25 ft,,91-89,,
9:08.0,,,91-89,,Defensive rebound by J. Jerebko
9:02.0,,,91-89,,I. Thomas misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by J. Lauvergne,,91-89,,
9:01.0,Oklahoma City full timeout,,91-89,,
9:01.0,D. Sabonis enters the game for J. Lauvergne,,91-89,,
8:36.0,K. Singler makes 3-pt shot from 26 ft (assist by J. Grant),3,94-89,,
8:17.0,,,94-91,2,I. Thomas makes 2-pt shot from 1 ft
8:02.0,,,94-91,,Personal foul by A. Johnson (drawn by E. Kanter)
8:02.0,R. Westbrook enters the game for S. Christon,,94-91,,
8:02.0,,,94-91,,A. Horford enters the game for A. Johnson
8:02.0,,,94-91,,J. Crowder enters the game for J. Brown
7:51.0,R. Westbrook makes 2-pt shot from 16 ft,2,96-91,,
7:35.0,,,96-93,2,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas)
7:22.0,R. Westbrook misses 2-pt shot from 18 ft,,96-93,,
7:21.0,,,96-93,,Defensive rebound by J. Jerebko
7:17.0,,,96-95,2,I. Thomas makes 2-pt shot from 6 ft
7:17.0,,,96-95,,Shooting foul by K. Singler (drawn by I. Thomas)
7:17.0,,,96-96,1,I. Thomas makes free throw 1 of 1
7:17.0,A. Roberson enters the game for K. Singler,,96-95,,
7:01.0,E. Kanter misses 2-pt shot from 2 ft (block by M. Smart),,96-96,,
7:00.0,,,96-96,,Defensive rebound by J. Jerebko
6:48.0,,,96-96,,A. Horford misses 2-pt shot from 8 ft
6:47.0,Defensive rebound by A. Roberson,,96-96,,
6:41.0,Shooting foul by I. Thomas (drawn by A. Roberson),,96-96,,
6:41.0,A. Roberson misses free throw 1 of 2,,96-96,,
6:41.0,Offensive rebound by Team,,96-96,,
6:41.0,A. Roberson makes free throw 2 of 2,1,97-96,,
6:41.0,,,96-96,,A. Bradley enters the game for I. Thomas
6:30.0,,,97-98,2,A. Bradley makes 2-pt shot from 17 ft (assist by A. Horford)
6:30.0,,,97-98,,Shooting foul by A. Roberson (drawn by A. Bradley)
6:30.0,,,97-98,,A. Bradley misses free throw 1 of 1
6:30.0,Defensive rebound by R. Westbrook,,97-98,,
6:30.0,S. Adams enters the game for D. Sabonis,,97-98,,
6:10.0,Offensive charge foul by J. Grant,,97-98,,
6:10.0,Turnover by J. Grant (offensive foul),,97-98,,
5:58.0,,,97-98,,A. Horford misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by R. Westbrook,,97-98,,
5:49.0,Shooting foul by M. Smart (drawn by R. Westbrook),,97-98,,
5:49.0,Official timeout,,97-98,,
5:49.0,R. Westbrook makes free throw 1 of 2,1,98-98,,
5:49.0,R. Westbrook makes free throw 2 of 2,1,99-98,,
5:49.0,,,97-98,,I. Thomas enters the game for M. Smart
