time,Boston,pts.away,score,pts.home,Denver
4:40.0,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas),3,14-18,,
4:15.0,,,14-20,2,N. Jokic makes 2-pt shot from 3 ft (assist by J. Nelson)
3:53.0,A. Horford makes 2-pt shot from 15 ft,2,16-20,,
3:38.0,,,16-20,,J. Nelson misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by A. Johnson,,16-20,,
3:34.0,Turnover by A. Johnson (lost ball; steal by G. Harris),,16-20,,
3:27.0,,,16-22,2,D. Gallinari makes 2-pt shot from 16 ft (assist by J. Nelson)
3:09.0,A. Johnson misses 2-pt shot from 4 ft (block by W. Chandler),,16-22,,
3:07.0,Offensive rebound by A. Johnson,,16-22,,
3:07.0,A. Johnson makes 2-pt shot from 3 ft,2,18-22,,
2:53.0,,,18-24,2,D. Gallinari makes 2-pt shot from 10 ft (assist by J. Nelson)
2:53.0,Boston full timeout,,18-24,,
2:53.0,,,18-24,,Denver full timeout
2:53.0,M. Smart enters the game for A. Johnson,,18-24,,
2:53.0,K. Olynyk enters the game for A. Bradley,,18-24,,
2:53.0,J. Brown enters the game for A. Horford,,18-24,,
2:53.0,J. Jerebko enters the game for J. Crowder,,18-24,,
2:53.0,,,18-24,,M. Plumlee enters the game for D. Gallinari
2:53.0,,,18-24,,W. Barton enters the game for N. Jokic
2:37.0,J. Jerebko misses 3-pt shot from 23 ft,,18-24,,
2:36.0,,,18-24,,Defensive rebound by W. Chandler
2:24.0,,,18-26,2,W. Chandler makes 2-pt shot from 4 ft
2:18.0,J. Jerebko misses 2-pt shot from 3 ft (block by M. Plumlee),,18-26,,
2:17.0,Offensive rebound by J. Brown,,18-26,,
2:13.0,J. Brown makes 2-pt shot from 1 ft,2,20-26,,
1:57.0,,,20-29,3,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson)
1:40.0,M. Smart makes 3-pt shot from 25 ft (assist by K. Olynyk),3,23-29,,
1:31.0,,,23-31,2,W. Barton makes 2-pt shot from 2 ft (assist by M. Plumlee)
1:17.0,I. Thomas makes 2-pt shot from 2 ft,2,25-31,,
1:08.0,,,25-33,2,J. Nelson makes 2-pt shot from 1 ft
1:08.0,,,25-33,,Shooting foul by I. Thomas (drawn by J. Nelson)
1:08.0,,,25-33,,J. Nelson misses free throw 1 of 1
1:08.0,T. Rozier enters the game for I. Thomas,,25-33,,
1:08.0,,,25-33,,J. Hernangomez enters the game for G. Harris
1:06.0,Defensive rebound by T. Rozier,,25-33,,
0:48.0,M. Smart misses 2-pt shot from 19 ft,,25-33,,
0:47.0,,,25-33,,Defensive rebound by W. Chandler
0:42.0,,,25-33,,Shooting foul by J. Brown (drawn by W. Chandler)
0:42.0,,,25-34,1,W. Chandler makes free throw 1 of 2
0:42.0,,,25-35,1,W. Chandler makes free throw 2 of 2
0:42.0,,,25-34,,J. Murray enters the game for J. Nelson
0:22.0,T. Rozier misses 3-pt shot from 26 ft,,25-35,,
0:20.0,,,25-35,,Defensive rebound by W. Chandler
0:01.0,,,25-35,,J. Murray misses 3-pt shot from 34 ft
0:00.0,,,25-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-38,3,J. Murray makes 3-pt shot from 27 ft (assist by M. Plumlee)
11:28.0,Turnover by K. Olynyk (bad pass),,25-38,,
11:12.0,,,25-38,,Turnover by J. Murray (bad pass; steal by T. Rozier)
11:09.0,M. Smart misses 2-pt shot from 4 ft,,25-38,,
11:08.0,Offensive rebound by M. Smart,,25-38,,
11:07.0,Shooting foul by D. Arthur (drawn by M. Smart),,25-38,,
11:07.0,M. Smart makes free throw 1 of 2,1,26-38,,
11:07.0,M. Smart makes free throw 2 of 2,1,27-38,,
10:52.0,,,27-38,,J. Murray misses 2-pt shot from 20 ft
10:50.0,Defensive rebound by K. Olynyk,,27-38,,
10:37.0,T. Rozier misses 2-pt shot from 11 ft,,27-38,,
10:36.0,,,27-38,,Defensive rebound by M. Plumlee
10:31.0,,,27-41,3,J. Hernangomez makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:13.0,K. Olynyk misses 2-pt shot from 18 ft,,27-41,,
10:11.0,Offensive rebound by T. Rozier,,27-41,,
10:06.0,J. Brown makes 2-pt shot from 2 ft,2,29-41,,
9:54.0,,,29-41,,D. Arthur misses 2-pt shot from 21 ft
9:54.0,Defensive rebound by Team,,29-41,,
9:54.0,,,29-41,,Loose ball foul by M. Plumlee (drawn by K. Olynyk)
9:53.0,A. Horford enters the game for J. Jerebko,,29-41,,
9:34.0,M. Smart makes 2-pt shot from 2 ft (assist by A. Horford),2,31-41,,
9:15.0,,,31-41,,J. Murray misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by K. Olynyk,,31-41,,
9:05.0,M. Smart misses 3-pt shot from 26 ft,,31-41,,
9:03.0,,,31-41,,Defensive rebound by D. Arthur
8:43.0,,,31-43,2,M. Plumlee makes 2-pt shot from 6 ft
8:34.0,K. Olynyk misses 3-pt shot from 25 ft,,31-43,,
8:33.0,,,31-43,,Defensive rebound by D. Arthur
8:23.0,,,31-43,,W. Barton misses 2-pt shot from 17 ft
8:21.0,,,31-43,,Offensive rebound by D. Arthur
8:17.0,,,31-43,,W. Barton misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by M. Smart,,31-43,,
8:05.0,J. Brown misses 3-pt shot from 24 ft,,31-43,,
8:04.0,,,31-43,,Defensive rebound by W. Barton
7:54.0,,,31-46,3,D. Arthur makes 3-pt shot from 25 ft (assist by W. Barton)
7:54.0,Boston full timeout,,31-46,,
7:54.0,J. Crowder enters the game for K. Olynyk,,31-46,,
7:32.0,M. Smart misses 2-pt shot from 2 ft,,31-46,,
7:32.0,,,31-46,,Defensive rebound by J. Murray
7:28.0,Personal foul by J. Brown,,31-46,,
7:28.0,,,31-47,1,J. Hernangomez makes free throw 1 of 2
7:28.0,,,31-48,1,J. Hernangomez makes free throw 2 of 2
7:28.0,I. Thomas enters the game for T. Rozier,,31-47,,
7:28.0,A. Bradley enters the game for J. Brown,,31-47,,
7:10.0,A. Horford misses 2-pt shot from 3 ft,,31-48,,
7:08.0,Offensive rebound by M. Smart,,31-48,,
7:05.0,M. Smart misses 2-pt shot from 3 ft,,31-48,,
7:03.0,Offensive rebound by M. Smart,,31-48,,
7:03.0,M. Smart makes 2-pt shot from 2 ft,2,33-48,,
6:47.0,,,33-48,,D. Arthur misses 3-pt shot from 25 ft
6:45.0,,,33-48,,Offensive rebound by M. Plumlee
6:37.0,,,33-50,2,J. Murray makes 2-pt shot from 1 ft (assist by W. Barton)
6:20.0,,,33-50,,Personal foul by J. Hernangomez
6:20.0,,,33-50,,D. Gallinari enters the game for J. Hernangomez
6:12.0,I. Thomas misses 2-pt shot from 3 ft (block by W. Barton),,33-50,,
6:09.0,,,33-50,,Defensive rebound by D. Gallinari
6:03.0,,,33-52,2,J. Murray makes 2-pt shot from 2 ft (assist by D. Arthur)
5:52.0,A. Bradley makes 3-pt shot from 22 ft (assist by I. Thomas),3,36-52,,
5:37.0,Personal foul by I. Thomas (drawn by W. Barton),,36-52,,
5:37.0,Official timeout,,36-52,,
5:37.0,G. Green enters the game for M. Smart,,36-52,,
5:37.0,,,36-52,,N. Jokic enters the game for M. Plumlee
5:24.0,,,36-52,,D. Arthur misses 2-pt shot from 20 ft
5:23.0,Defensive rebound by G. Green,,36-52,,
5:05.0,Turnover by G. Green (traveling),,36-52,,
5:05.0,,,36-52,,W. Chandler enters the game for D. Arthur
5:05.0,,,36-52,,G. Harris enters the game for W. Barton
4:47.0,,,36-54,2,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic)
4:32.0,J. Crowder misses 2-pt shot from 2 ft,,36-54,,
4:32.0,,,36-54,,Defensive rebound by J. Murray
4:26.0,,,36-56,2,J. Murray makes 2-pt shot from 2 ft
4:12.0,A. Horford makes 2-pt shot from 20 ft (assist by I. Thomas),2,38-56,,
3:57.0,,,38-58,2,J. Murray makes 2-pt shot from 2 ft
3:42.0,Turnover by A. Horford (lost ball; steal by N. Jokic),,38-58,,
3:36.0,,,38-58,,J. Murray misses 3-pt shot from 26 ft
3:35.0,Defensive rebound by Team,,38-58,,
3:35.0,,,38-58,,J. Nelson enters the game for J. Murray
3:25.0,I. Thomas makes 2-pt shot from 2 ft,2,40-58,,
3:25.0,Shooting foul by W. Chandler (drawn by A. Horford),,40-58,,
3:25.0,I. Thomas makes free throw 1 of 1,1,41-58,,
3:25.0,A. Johnson enters the game for A. Horford,,40-58,,
3:07.0,Personal foul by A. Johnson (drawn by N. Jokic),,41-58,,
2:57.0,,,41-58,,W. Chandler misses 2-pt shot from 5 ft
2:56.0,Defensive rebound by A. Bradley,,41-58,,
2:47.0,A. Bradley makes 3-pt shot from 26 ft,3,44-58,,
2:38.0,,,44-60,2,N. Jokic makes 2-pt shot from 2 ft
2:38.0,,,44-60,,Shooting foul by A. Bradley (drawn by N. Jokic)
2:38.0,,,44-60,,Denver full timeout
2:38.0,,,44-60,,N. Jokic misses free throw 1 of 1
2:37.0,Defensive rebound by J. Crowder,,44-60,,
2:19.0,Turnover by A. Bradley (bad pass; steal by J. Nelson),,44-60,,
2:09.0,,,44-62,2,J. Nelson makes 2-pt shot from 2 ft (assist by N. Jokic)
1:50.0,J. Crowder makes 3-pt shot from 23 ft (assist by A. Bradley),3,47-62,,
1:39.0,,,47-62,,D. Gallinari misses 3-pt shot from 24 ft
1:36.0,,,47-62,,Offensive rebound by N. Jokic
1:31.0,,,47-62,,Turnover by N. Jokic (bad pass; steal by J. Crowder)
1:25.0,G. Green makes 3-pt shot from 25 ft (assist by J. Crowder),3,50-62,,
1:02.0,,,50-62,,G. Harris misses 2-pt shot from 3 ft
1:02.0,,,50-62,,Offensive rebound by N. Jokic
1:00.0,,,50-62,,Turnover by N. Jokic (bad pass; steal by A. Bradley)
0:55.0,I. Thomas misses 3-pt shot from 25 ft,,50-62,,
0:54.0,,,50-62,,Defensive rebound by W. Chandler
0:44.0,,,50-62,,N. Jokic misses 3-pt shot from 24 ft
0:43.0,,,50-62,,Offensive rebound by D. Gallinari
0:39.0,,,50-62,,D. Gallinari misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by G. Green,,50-62,,
0:38.0,,,50-62,,Shooting block foul by J. Nelson (drawn by J. Crowder)
0:38.0,J. Crowder makes free throw 1 of 2,1,51-62,,
0:38.0,J. Crowder makes free throw 2 of 2,1,52-62,,
0:38.0,M. Smart enters the game for I. Thomas,,51-62,,
0:38.0,A. Horford enters the game for A. Johnson,,51-62,,
0:27.0,,,52-65,3,N. Jokic makes 3-pt shot from 27 ft (assist by D. Gallinari)
0:12.0,,,52-65,,Personal foul by G. Harris (drawn by M. Smart)
0:12.0,M. Smart makes free throw 1 of 2,1,53-65,,
0:12.0,M. Smart makes free throw 2 of 2,1,54-65,,
0:02.0,,,54-65,,Turnover by J. Nelson (bad pass; steal by J. Crowder)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,54-65,,W. Chandler misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by M. Smart,,54-65,,
11:21.0,A. Bradley misses 3-pt shot from 25 ft,,54-65,,
11:20.0,,,54-65,,Defensive rebound by W. Chandler
11:11.0,,,54-68,3,D. Gallinari makes 3-pt shot from 25 ft (assist by N. Jokic)
10:53.0,I. Thomas makes 2-pt shot from 17 ft (assist by A. Horford),2,56-68,,
10:42.0,,,56-68,,Turnover by D. Gallinari (lost ball)
10:25.0,Shooting foul by N. Jokic (drawn by I. Thomas),,56-68,,
10:25.0,I. Thomas makes free throw 1 of 2,1,57-68,,
10:25.0,I. Thomas makes free throw 2 of 2,1,58-68,,
10:11.0,,,58-70,2,G. Harris makes 2-pt shot from 21 ft
9:55.0,A. Bradley misses 3-pt shot from 24 ft,,58-70,,
9:54.0,,,58-70,,Defensive rebound by N. Jokic
9:45.0,,,58-70,,G. Harris misses 2-pt shot from 1 ft
9:44.0,Defensive rebound by M. Smart,,58-70,,
9:38.0,M. Smart misses 2-pt shot from 3 ft (block by N. Jokic),,58-70,,
9:37.0,Offensive rebound by A. Horford,,58-70,,
9:28.0,I. Thomas misses 3-pt shot from 25 ft,,58-70,,
9:27.0,,,58-70,,Defensive rebound by D. Gallinari
9:14.0,,,58-70,,D. Gallinari misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by Team,,58-70,,
9:01.0,,,58-70,,Violation by N. Jokic (kicked ball)
8:54.0,A. Bradley misses 2-pt shot from 20 ft,,58-70,,
8:53.0,,,58-70,,Defensive rebound by N. Jokic
8:46.0,,,58-72,2,N. Jokic makes 2-pt shot from 5 ft
8:46.0,,,58-72,,Technical foul by W. Chandler
8:46.0,Technical foul by M. Smart,,58-72,,
8:40.0,,,58-72,,Technical foul by Team
8:40.0,I. Thomas makes technical free throw,1,59-72,,
8:28.0,I. Thomas makes 2-pt shot from 15 ft,2,61-72,,
8:28.0,,,61-72,,Denver full timeout
8:26.0,,,61-72,,Turnover by N. Jokic (lost ball; steal by A. Horford)
8:21.0,Turnover by A. Bradley (lost ball),,61-72,,
7:55.0,,,61-72,,W. Chandler misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by A. Horford,,61-72,,
7:42.0,I. Thomas makes 3-pt shot from 26 ft,3,64-72,,
7:25.0,,,64-72,,J. Nelson misses 2-pt shot from 23 ft
7:25.0,,,64-72,,Offensive rebound by N. Jokic
7:25.0,,,64-74,2,N. Jokic makes 2-pt shot at rim
7:25.0,,,64-74,,Shooting foul by A. Horford (drawn by N. Jokic)
7:25.0,,,64-75,1,N. Jokic makes free throw 1 of 1
7:13.0,Turnover by I. Thomas (bad pass; steal by D. Gallinari),,64-75,,
7:00.0,,,64-75,,W. Chandler misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by A. Horford,,64-75,,
6:42.0,A. Bradley makes 3-pt shot from 26 ft (assist by M. Smart),3,67-75,,
6:29.0,,,67-77,2,J. Nelson makes 2-pt shot from 1 ft (assist by N. Jokic)
6:14.0,A. Horford makes 2-pt shot from 16 ft (assist by A. Bradley),2,69-77,,
6:03.0,,,69-79,2,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic)
5:45.0,Offensive foul by A. Horford,,69-79,,
5:45.0,Turnover by A. Horford (offensive foul),,69-79,,
5:45.0,K. Olynyk enters the game for A. Horford,,69-79,,
5:45.0,J. Brown enters the game for A. Bradley,,69-79,,
5:39.0,Personal foul by K. Olynyk (drawn by N. Jokic),,69-79,,
5:25.0,,,69-82,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson)
5:06.0,I. Thomas makes 2-pt shot from 12 ft,2,71-82,,
5:01.0,Violation by M. Smart (kicked ball),,71-82,,
4:57.0,,,71-82,,Shooting foul by K. Olynyk (drawn by N. Jokic)
4:57.0,,,71-83,1,N. Jokic makes free throw 1 of 2
4:57.0,,,71-84,1,N. Jokic makes free throw 2 of 2
4:40.0,J. Crowder misses 3-pt shot from 24 ft,,71-84,,
4:38.0,,,71-84,,Defensive rebound by N. Jokic
4:35.0,,,71-84,,Turnover by N. Jokic (bad pass)
4:35.0,,,71-84,,M. Plumlee enters the game for N. Jokic
4:18.0,I. Thomas misses 3-pt shot from 23 ft,,71-84,,
4:18.0,,,71-84,,Defensive rebound by J. Nelson
4:06.0,,,71-86,2,D. Gallinari makes 2-pt shot from 4 ft
3:56.0,,,71-86,,Personal foul by G. Harris (drawn by J. Crowder)
3:56.0,G. Green enters the game for M. Smart,,71-86,,
3:48.0,J. Brown makes 3-pt shot from 24 ft (assist by K. Olynyk),3,74-86,,
3:32.0,Personal foul by I. Thomas (drawn by D. Gallinari),,74-86,,
3:32.0,,,74-86,,W. Barton enters the game for D. Gallinari
3:28.0,,,74-86,,G. Harris misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by J. Brown,,74-86,,
3:20.0,G. Green misses 3-pt shot from 26 ft,,74-86,,
3:18.0,,,74-86,,Defensive rebound by J. Nelson
3:13.0,,,74-86,,G. Harris misses 3-pt shot from 25 ft
3:11.0,,,74-86,,Offensive rebound by M. Plumlee
3:10.0,,,74-88,2,M. Plumlee makes 2-pt shot at rim
3:00.0,I. Thomas misses 2-pt shot from 1 ft,,74-88,,
2:59.0,,,74-88,,Defensive rebound by J. Nelson
2:42.0,,,74-88,,J. Nelson misses 2-pt shot from 13 ft
2:41.0,Defensive rebound by J. Crowder,,74-88,,
2:29.0,J. Brown makes 3-pt shot from 25 ft (assist by I. Thomas),3,77-88,,
2:10.0,Personal foul by I. Thomas (drawn by W. Chandler),,77-88,,
2:10.0,Boston full timeout,,77-88,,
2:10.0,,,77-88,,W. Chandler misses free throw 1 of 2
2:10.0,,,77-88,,Offensive rebound by Team
2:10.0,,,77-89,1,W. Chandler makes free throw 2 of 2
2:10.0,M. Smart enters the game for I. Thomas,,77-88,,
2:10.0,A. Horford enters the game for K. Olynyk,,77-88,,
1:58.0,Turnover by A. Horford (bad pass),,77-89,,
1:39.0,,,77-89,,J. Nelson misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by G. Green,,77-89,,
1:26.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Crowder),2,79-89,,
1:13.0,,,79-92,3,W. Chandler makes 3-pt shot from 27 ft (assist by M. Plumlee)
0:54.0,J. Brown misses 3-pt shot from 24 ft,,79-92,,
0:53.0,,,79-92,,Defensive rebound by W. Chandler
0:45.0,,,79-92,,Turnover by W. Chandler (bad pass)
0:45.0,J. Jerebko enters the game for J. Crowder,,79-92,,
0:45.0,,,79-92,,J. Hernangomez enters the game for J. Nelson
0:45.0,,,79-92,,J. Murray enters the game for G. Harris
0:38.0,M. Smart misses 2-pt shot from 5 ft,,79-92,,
0:37.0,,,79-92,,Defensive rebound by J. Murray
0:31.0,,,79-92,,Turnover by J. Murray (bad pass; steal by G. Green)
0:27.0,Shooting foul by J. Hernangomez (drawn by G. Green),,79-92,,
0:27.0,G. Green makes free throw 1 of 2,1,80-92,,
0:27.0,G. Green misses free throw 2 of 2,,80-92,,
0:25.0,,,80-92,,Defensive rebound by J. Hernangomez
0:06.0,,,80-92,,W. Barton misses 2-pt shot from 1 ft
0:06.0,,,80-92,,Offensive rebound by M. Plumlee
0:05.0,,,80-94,2,M. Plumlee makes 2-pt shot at rim
0:00.0,M. Smart misses 2-pt shot from 13 ft,,80-94,,
0:00.0,Offensive rebound by Team,,80-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Shooting foul by M. Plumlee (drawn by G. Green),,80-94,,
11:48.0,G. Green makes free throw 1 of 2,1,81-94,,
11:48.0,G. Green makes free throw 2 of 2,1,82-94,,
11:32.0,,,82-96,2,W. Barton makes 2-pt shot from 1 ft
11:17.0,G. Green misses 2-pt shot from 10 ft,,82-96,,
11:16.0,,,82-96,,Defensive rebound by W. Barton
11:08.0,Personal foul by M. Smart (drawn by M. Plumlee),,82-96,,
11:03.0,Personal foul by J. Brown (drawn by M. Plumlee),,82-96,,
10:50.0,,,82-96,,W. Barton misses 3-pt shot from 27 ft
10:49.0,Defensive rebound by J. Jerebko,,82-96,,
10:25.0,M. Smart misses 2-pt shot from 3 ft,,82-96,,
10:25.0,,,82-96,,Defensive rebound by J. Hernangomez
10:20.0,,,82-96,,Turnover by J. Hernangomez (lost ball; steal by M. Smart)
10:15.0,M. Smart makes 2-pt shot from 2 ft,2,84-96,,
10:05.0,,,84-96,,Turnover by M. Plumlee (bad pass; steal by G. Green)
9:54.0,J. Brown makes 2-pt shot from 3 ft,2,86-96,,
9:54.0,Shooting foul by W. Barton (drawn by J. Brown),,86-96,,
9:54.0,,,86-96,,Denver full timeout
9:54.0,J. Brown makes free throw 1 of 1,1,87-96,,
9:40.0,,,87-99,3,W. Barton makes 3-pt shot from 25 ft
9:23.0,,,87-99,,Personal foul by D. Gallinari (drawn by M. Smart)
9:11.0,Turnover by M. Smart (3 sec),,87-99,,
8:57.0,,,87-102,3,D. Gallinari makes 3-pt shot from 26 ft (assist by W. Barton)
8:40.0,A. Horford makes 2-pt shot from 3 ft (assist by M. Smart),2,89-102,,
8:21.0,Personal foul by J. Brown (drawn by M. Plumlee),,89-102,,
8:21.0,I. Thomas enters the game for M. Smart,,89-102,,
8:21.0,A. Bradley enters the game for G. Green,,89-102,,
8:21.0,,,89-102,,G. Harris enters the game for J. Hernangomez
8:15.0,,,89-102,,Turnover by W. Barton (bad pass; steal by A. Bradley)
8:08.0,I. Thomas misses 3-pt shot from 25 ft,,89-102,,
8:08.0,,,89-102,,Defensive rebound by W. Barton
7:53.0,,,89-104,2,M. Plumlee makes 2-pt shot from 5 ft
7:30.0,A. Horford makes 3-pt shot from 26 ft (assist by J. Brown),3,92-104,,
7:07.0,,,92-106,2,G. Harris makes 2-pt shot from 2 ft (assist by W. Barton)
6:43.0,A. Bradley misses 3-pt shot from 25 ft,,92-106,,
6:40.0,,,92-106,,Defensive rebound by M. Plumlee
6:40.0,,,92-106,,Denver full timeout
6:40.0,J. Crowder enters the game for A. Horford,,92-106,,
6:40.0,A. Johnson enters the game for J. Brown,,92-106,,
6:40.0,,,92-106,,W. Chandler enters the game for D. Gallinari
6:25.0,,,92-106,,W. Chandler misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by I. Thomas,,92-106,,
6:15.0,Shooting foul by G. Harris (drawn by A. Johnson),,92-106,,
6:15.0,A. Johnson makes free throw 1 of 2,1,93-106,,
6:15.0,A. Johnson misses free throw 2 of 2,,93-106,,
6:15.0,,,92-106,,N. Jokic enters the game for M. Plumlee
6:13.0,,,93-106,,Defensive rebound by G. Harris
6:13.0,Loose ball foul by A. Bradley (drawn by G. Harris),,93-106,,
6:07.0,,,93-106,,Offensive foul by N. Jokic
6:07.0,,,93-106,,Turnover by N. Jokic (offensive foul)
6:07.0,,,93-106,,J. Nelson enters the game for J. Murray
5:55.0,A. Bradley misses 2-pt shot from 22 ft,,93-106,,
5:54.0,,,93-106,,Defensive rebound by J. Nelson
5:32.0,,,93-106,,N. Jokic misses 2-pt shot from 6 ft
5:32.0,,,93-106,,Offensive rebound by Team
5:32.0,Official timeout,,93-106,,
5:16.0,Personal foul by A. Bradley (drawn by G. Harris),,93-106,,
5:16.0,,,93-107,1,G. Harris makes free throw 1 of 2
5:16.0,,,93-108,1,G. Harris makes free throw 2 of 2
5:09.0,,,93-108,,Personal foul by N. Jokic (drawn by I. Thomas)
5:09.0,I. Thomas makes free throw 1 of 2,1,94-108,,
5:09.0,I. Thomas makes free throw 2 of 2,1,95-108,,
5:09.0,,,94-108,,D. Gallinari enters the game for W. Barton
5:09.0,M. Smart enters the game for J. Jerebko,,94-108,,
5:09.0,A. Horford enters the game for A. Johnson,,94-108,,
4:59.0,,,95-108,,Turnover by N. Jokic (bad pass)
4:49.0,A. Horford misses 3-pt shot from 26 ft,,95-108,,
4:47.0,,,95-108,,Defensive rebound by W. Chandler
4:31.0,,,95-108,,Turnover by D. Gallinari (bad pass; steal by A. Bradley)
4:24.0,M. Smart misses 2-pt shot from 2 ft,,95-108,,
4:23.0,Offensive rebound by M. Smart,,95-108,,
4:17.0,A. Bradley misses 3-pt shot from 24 ft,,95-108,,
4:16.0,,,95-108,,Defensive rebound by W. Chandler
