time,Indiana,pts.away,score,pts.home,Washington
4:10.0,Defensive rebound by M. Turner,,17-20,,
3:59.0,K. Seraphin makes 2-pt shot from 6 ft (assist by J. Teague),2,19-20,,
3:45.0,,,19-20,,J. Wall misses 2-pt shot from 1 ft (block by M. Turner)
3:45.0,,,19-20,,Offensive rebound by O. Porter
3:45.0,,,19-22,2,O. Porter makes 2-pt shot from 2 ft
3:45.0,,,19-22,,Shooting foul by M. Ellis (drawn by O. Porter)
3:45.0,,,19-23,1,O. Porter makes free throw 1 of 1
3:45.0,,,19-22,,T. Burke enters the game for B. Beal
3:28.0,J. Teague makes 2-pt shot from 15 ft (assist by M. Ellis),2,21-23,,
3:10.0,,,21-23,,J. Wall misses 3-pt shot from 28 ft
3:08.0,Defensive rebound by M. Ellis,,21-23,,
2:59.0,P. George misses 2-pt shot from 2 ft,,21-23,,
2:57.0,,,21-23,,Defensive rebound by M. Gortat
2:49.0,,,21-26,3,T. Burke makes 3-pt shot from 26 ft (assist by J. Wall)
2:32.0,Turnover by K. Seraphin (lost ball; steal by O. Porter),,21-26,,
2:26.0,,,21-28,2,J. Wall makes 2-pt shot at rim (assist by T. Burke)
2:07.0,Shooting foul by O. Porter (drawn by P. George),,21-28,,
2:07.0,,,21-28,,Washington full timeout
2:07.0,P. George misses free throw 1 of 3,,21-28,,
2:07.0,Offensive rebound by Team,,21-28,,
2:07.0,P. George makes free throw 2 of 3,1,22-28,,
2:07.0,P. George makes free throw 3 of 3,1,23-28,,
2:07.0,,,21-28,,I. Mahinmi enters the game for O. Porter
2:07.0,,,21-28,,K. Oubre enters the game for M. Gortat
2:07.0,A. Jefferson enters the game for M. Turner,,21-28,,
2:07.0,R. Stuckey enters the game for J. Teague,,21-28,,
1:56.0,,,23-28,,Shooting foul by A. Jefferson (drawn by J. Wall)
1:56.0,,,23-29,1,J. Wall makes free throw 1 of 2
1:56.0,,,23-29,,J. Wall misses free throw 2 of 2
1:56.0,G. Robinson enters the game for P. George,,23-29,,
1:55.0,Defensive rebound by G. Robinson,,23-29,,
1:34.0,R. Stuckey misses 2-pt shot from 18 ft,,23-29,,
1:33.0,,,23-29,,Defensive rebound by I. Mahinmi
1:21.0,,,23-29,,Turnover by J. Wall (bad pass)
1:21.0,,,23-29,,T. Satoransky enters the game for J. Wall
1:06.0,A. Jefferson misses 2-pt shot from 1 ft,,23-29,,
1:05.0,,,23-29,,Defensive rebound by I. Mahinmi
0:59.0,,,23-29,,T. Burke misses 2-pt shot from 13 ft
0:58.0,,,23-29,,Offensive rebound by T. Satoransky
0:54.0,,,23-29,,T. Burke misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by Team,,23-29,,
0:37.0,A. Jefferson makes 2-pt shot at rim (assist by M. Ellis),2,25-29,,
0:31.0,,,25-31,2,J. Smith makes 2-pt shot from 18 ft (assist by T. Burke)
0:17.0,M. Ellis makes 2-pt shot from 10 ft (assist by A. Jefferson),2,27-31,,
0:02.0,,,27-33,2,T. Burke makes 2-pt shot from 15 ft
0:01.0,M. Ellis misses 3-pt shot from 51 ft,,27-33,,
0:00.0,Offensive rebound by Team,,27-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Seraphin misses 2-pt shot from 2 ft,,27-33,,
11:43.0,Offensive rebound by K. Seraphin,,27-33,,
11:35.0,R. Stuckey makes 2-pt shot from 17 ft (assist by K. Seraphin),2,29-33,,
11:12.0,,,29-33,,Shooting foul by R. Stuckey (drawn by K. Oubre)
11:12.0,,,29-34,1,K. Oubre makes free throw 1 of 2
11:12.0,,,29-34,,K. Oubre misses free throw 2 of 2
11:10.0,Defensive rebound by K. Seraphin,,29-34,,
10:59.0,K. Seraphin makes 2-pt shot from 8 ft (assist by R. Stuckey),2,31-34,,
10:39.0,,,31-34,,J. Smith misses 2-pt shot from 9 ft (block by G. Robinson)
10:39.0,Defensive rebound by Team,,31-34,,
10:27.0,K. Seraphin makes 2-pt shot from 20 ft (assist by M. Ellis),2,33-34,,
10:03.0,,,33-34,,T. Satoransky misses 2-pt shot from 15 ft
10:02.0,Defensive rebound by A. Jefferson,,33-34,,
9:43.0,G. Robinson misses 3-pt shot from 25 ft,,33-34,,
9:41.0,,,33-34,,Defensive rebound by K. Oubre
9:29.0,,,33-36,2,J. Smith makes 2-pt shot from 17 ft (assist by T. Burke)
9:11.0,A. Jefferson misses 2-pt shot from 4 ft,,33-36,,
9:10.0,Offensive rebound by K. Seraphin,,33-36,,
9:09.0,K. Seraphin makes 2-pt shot from 1 ft,2,35-36,,
8:49.0,,,35-38,2,T. Satoransky makes 2-pt shot from 7 ft (assist by T. Burke)
8:28.0,A. Jefferson makes 2-pt shot from 17 ft (assist by M. Ellis),2,37-38,,
8:15.0,,,37-38,,T. Burke misses 2-pt shot from 20 ft
8:14.0,Defensive rebound by G. Robinson,,37-38,,
8:03.0,R. Stuckey makes 2-pt shot from 21 ft,2,39-38,,
8:01.0,,,39-38,,Washington full timeout
8:01.0,,,39-38,,J. Wall enters the game for J. Smith
8:01.0,,,39-38,,M. Gortat enters the game for T. Burke
8:01.0,,,39-38,,M. Morris enters the game for I. Mahinmi
8:01.0,,,39-38,,B. Beal enters the game for T. Satoransky
7:44.0,,,39-38,,M. Gortat misses 2-pt shot from 7 ft
7:43.0,Defensive rebound by K. Seraphin,,39-38,,
7:36.0,R. Stuckey makes 2-pt shot from 1 ft,2,41-38,,
7:27.0,,,41-38,,M. Gortat misses 2-pt shot at rim (block by K. Seraphin)
7:26.0,Defensive rebound by A. Jefferson,,41-38,,
7:21.0,M. Ellis makes 2-pt shot from 19 ft,2,43-38,,
7:01.0,,,43-38,,Turnover by B. Beal (bad pass)
7:01.0,P. George enters the game for G. Robinson,,43-38,,
7:01.0,,,43-38,,O. Porter enters the game for K. Oubre
6:48.0,P. George makes 2-pt shot from 1 ft (assist by M. Ellis),2,45-38,,
6:34.0,,,45-38,,Turnover by J. Wall (lost ball)
6:15.0,A. Jefferson makes 2-pt shot from 8 ft,2,47-38,,
6:14.0,,,47-38,,Washington full timeout
6:02.0,,,47-40,2,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal)
6:02.0,,,47-40,,Shooting foul by K. Seraphin (drawn by M. Morris)
6:02.0,,,47-40,,M. Morris misses free throw 1 of 1
6:01.0,Defensive rebound by A. Jefferson,,47-40,,
5:41.0,R. Stuckey misses 2-pt shot from 20 ft,,47-40,,
5:40.0,,,47-40,,Defensive rebound by J. Wall
5:36.0,,,47-40,,J. Wall misses 2-pt shot from 2 ft (block by P. George)
5:36.0,,,47-40,,Offensive rebound by Team
5:36.0,Official timeout,,47-40,,
5:36.0,J. Teague enters the game for R. Stuckey,,47-40,,
5:33.0,Personal foul by P. George (drawn by M. Morris),,47-40,,
5:28.0,,,47-40,,B. Beal misses 2-pt shot from 2 ft
5:27.0,,,47-40,,Offensive rebound by M. Morris
5:26.0,,,47-42,2,M. Morris makes 2-pt shot from 1 ft
5:10.0,Shooting foul by M. Morris (drawn by P. George),,47-42,,
5:10.0,P. George makes free throw 1 of 2,1,48-42,,
5:10.0,P. George makes free throw 2 of 2,1,49-42,,
5:10.0,M. Turner enters the game for K. Seraphin,,48-42,,
5:10.0,L. Allen enters the game for A. Jefferson,,48-42,,
5:00.0,,,49-45,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
4:37.0,P. George misses 3-pt shot from 26 ft,,49-45,,
4:36.0,,,49-45,,Defensive rebound by O. Porter
4:25.0,,,49-45,,O. Porter misses 2-pt shot from 7 ft
4:24.0,,,49-45,,Offensive rebound by M. Gortat
4:23.0,,,49-45,,M. Gortat misses 2-pt shot from 2 ft
4:22.0,Defensive rebound by Team,,49-45,,
4:22.0,C. Miles enters the game for M. Ellis,,49-45,,
4:07.0,L. Allen makes 2-pt shot from 1 ft (assist by J. Teague),2,51-45,,
3:57.0,,,51-45,,B. Beal misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by J. Teague,,51-45,,
3:40.0,Turnover by L. Allen (bad pass; steal by J. Wall),,51-45,,
3:37.0,,,51-47,2,J. Wall makes 2-pt shot from 1 ft (assist by M. Morris)
3:37.0,,,51-47,,Shooting foul by J. Teague (drawn by J. Wall)
3:37.0,,,51-48,1,J. Wall makes free throw 1 of 1
3:25.0,P. George makes 2-pt shot from 20 ft (assist by J. Teague),2,53-48,,
3:12.0,,,53-51,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
2:50.0,J. Teague misses 2-pt shot from 2 ft,,53-51,,
2:49.0,,,53-51,,Defensive rebound by M. Morris
2:43.0,,,53-51,,J. Wall misses 2-pt shot at rim
2:42.0,Defensive rebound by Team,,53-51,,
2:39.0,Indiana full timeout,,53-51,,
2:33.0,P. George misses 3-pt shot from 27 ft,,53-51,,
2:32.0,,,53-51,,Defensive rebound by M. Gortat
2:19.0,,,53-51,,O. Porter misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by P. George,,53-51,,
2:07.0,J. Teague makes 2-pt shot from 19 ft (assist by M. Turner),2,55-51,,
1:53.0,,,55-53,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
1:39.0,M. Turner misses 2-pt shot from 19 ft,,55-53,,
1:38.0,Offensive rebound by Team,,55-53,,
1:38.0,R. Stuckey enters the game for J. Teague,,55-53,,
1:38.0,,,55-53,,K. Oubre enters the game for O. Porter
1:28.0,L. Allen makes 2-pt shot from 18 ft (assist by R. Stuckey),2,57-53,,
1:02.0,,,57-55,2,J. Wall makes 2-pt shot from 19 ft
0:53.0,Offensive foul by M. Turner,,57-55,,
0:53.0,Turnover by M. Turner (offensive foul),,57-55,,
0:53.0,A. Jefferson enters the game for M. Turner,,57-55,,
0:42.0,,,57-55,,Turnover by J. Wall (bad pass; steal by C. Miles)
0:38.0,P. George makes 2-pt shot from 1 ft (assist by R. Stuckey),2,59-55,,
0:30.0,,,59-57,2,B. Beal makes 2-pt shot from 20 ft
0:13.0,Turnover by C. Miles (bad pass; steal by B. Beal),,59-57,,
0:10.0,,,59-59,2,M. Morris makes 2-pt shot from 2 ft (assist by B. Beal)
0:03.0,,,59-59,,Personal foul by J. Wall (drawn by P. George)
0:03.0,,,59-59,,T. Burke enters the game for J. Wall
0:03.0,Indiana full timeout,,59-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Turner misses 2-pt shot from 19 ft,,59-59,,
11:45.0,,,59-59,,Defensive rebound by M. Gortat
11:23.0,,,59-59,,Turnover by M. Gortat (bad pass; steal by C. Miles)
11:14.0,P. George misses 2-pt shot from 14 ft,,59-59,,
11:14.0,Offensive rebound by M. Turner,,59-59,,
11:11.0,M. Turner makes 2-pt shot from 1 ft,2,61-59,,
10:59.0,,,61-61,2,J. Wall makes 2-pt shot from 18 ft
10:43.0,J. Teague misses 2-pt shot from 5 ft,,61-61,,
10:42.0,,,61-61,,Defensive rebound by M. Gortat
10:33.0,,,61-61,,J. Wall misses 3-pt shot from 26 ft
10:31.0,,,61-61,,Offensive rebound by M. Gortat
10:28.0,,,61-64,3,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall)
10:08.0,C. Miles misses 3-pt shot from 27 ft,,61-64,,
10:08.0,,,61-64,,Defensive rebound by M. Gortat
9:59.0,,,61-64,,B. Beal misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by C. Miles,,61-64,,
9:44.0,P. George misses 2-pt shot from 18 ft,,61-64,,
9:43.0,,,61-64,,Defensive rebound by M. Morris
9:36.0,,,61-66,2,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal)
9:36.0,,,61-66,,Shooting foul by C. Miles (drawn by M. Morris)
9:36.0,,,61-67,1,M. Morris makes free throw 1 of 1
9:17.0,Turnover by M. Turner (bad pass; steal by J. Wall),,61-67,,
9:14.0,,,61-67,,Offensive charge foul by J. Wall
9:14.0,,,61-67,,Turnover by J. Wall (offensive foul)
9:06.0,,,61-67,,Personal foul by O. Porter (drawn by C. Miles)
9:02.0,P. George makes 2-pt shot from 17 ft (assist by J. Teague),2,63-67,,
8:47.0,,,63-67,,M. Morris misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by J. Teague,,63-67,,
8:33.0,L. Allen makes 2-pt shot from 7 ft (assist by J. Teague),2,65-67,,
8:11.0,,,65-67,,O. Porter misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by M. Turner,,65-67,,
7:59.0,Shooting foul by B. Beal (drawn by P. George),,65-67,,
7:59.0,P. George makes free throw 1 of 2,1,66-67,,
7:59.0,P. George misses free throw 2 of 2,,66-67,,
7:58.0,,,66-67,,Defensive rebound by M. Gortat
7:47.0,,,66-67,,Shooting foul by L. Allen (drawn by J. Wall)
7:47.0,,,66-68,1,J. Wall makes free throw 1 of 2
7:47.0,,,66-68,,J. Wall misses free throw 2 of 2
7:46.0,Defensive rebound by M. Turner,,66-68,,
7:32.0,,,66-68,,Personal foul by O. Porter (drawn by L. Allen)
7:32.0,,,66-68,,K. Oubre enters the game for O. Porter
7:16.0,J. Teague misses 3-pt shot from 29 ft,,66-68,,
7:15.0,,,66-68,,Defensive rebound by B. Beal
7:13.0,Personal block foul by C. Miles (drawn by J. Wall),,66-68,,
6:53.0,,,66-70,2,M. Morris makes 2-pt shot from 15 ft
6:47.0,Shooting foul by K. Oubre (drawn by M. Turner),,66-70,,
6:47.0,M. Turner makes free throw 1 of 2,1,67-70,,
6:47.0,M. Turner makes free throw 2 of 2,1,68-70,,
6:23.0,,,68-70,,K. Oubre misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by L. Allen,,68-70,,
6:12.0,J. Teague makes 2-pt shot from 1 ft,2,70-70,,
5:50.0,,,70-70,,M. Morris misses 3-pt shot from 27 ft
5:49.0,Defensive rebound by M. Turner,,70-70,,
5:39.0,L. Allen makes 2-pt shot from 4 ft (assist by P. George),2,72-70,,
5:39.0,,,72-70,,Washington full timeout
5:24.0,,,72-73,3,M. Morris makes 3-pt shot from 23 ft (assist by J. Wall)
5:08.0,P. George misses 2-pt shot from 16 ft,,72-73,,
5:07.0,,,72-73,,Defensive rebound by M. Morris
4:58.0,,,72-75,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:35.0,M. Turner misses 2-pt shot from 19 ft,,72-75,,
4:34.0,,,72-75,,Defensive rebound by J. Wall
4:20.0,,,72-77,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:01.0,P. George makes 2-pt shot from 1 ft,2,74-77,,
3:39.0,,,74-80,3,J. Wall makes 3-pt shot from 25 ft (assist by M. Morris)
3:23.0,J. Teague misses 2-pt shot from 9 ft,,74-80,,
3:22.0,Offensive rebound by Team,,74-80,,
3:19.0,K. Seraphin enters the game for L. Allen,,74-80,,
3:19.0,,,74-80,,J. Smith enters the game for M. Morris
3:07.0,J. Teague misses 2-pt shot from 7 ft,,74-80,,
3:05.0,,,74-80,,Defensive rebound by K. Oubre
3:02.0,,,74-80,,J. Wall misses 2-pt shot from 1 ft (block by K. Seraphin)
3:02.0,,,74-80,,Offensive rebound by Team
3:02.0,M. Ellis enters the game for C. Miles,,74-80,,
2:53.0,,,74-80,,B. Beal misses 3-pt shot from 26 ft
2:52.0,,,74-80,,Offensive rebound by J. Smith
2:46.0,,,74-80,,J. Wall misses 3-pt shot from 27 ft
2:45.0,,,74-80,,Offensive rebound by B. Beal
2:39.0,,,74-80,,Shooting foul by J. Teague (drawn by B. Beal)
2:39.0,Indiana full timeout,,74-80,,
2:39.0,,,74-81,1,B. Beal makes free throw 1 of 2
2:39.0,,,74-82,1,B. Beal makes free throw 2 of 2
2:39.0,,,74-80,,I. Mahinmi enters the game for M. Gortat
2:24.0,J. Teague misses 2-pt shot from 6 ft,,74-82,,
2:23.0,,,74-82,,Defensive rebound by I. Mahinmi
2:16.0,,,74-82,,Turnover by J. Wall (bad pass)
2:16.0,A. Jefferson enters the game for M. Turner,,74-82,,
2:04.0,,,74-82,,T. Burke enters the game for J. Wall
2:04.0,R. Stuckey enters the game for J. Teague,,74-82,,
1:58.0,P. George makes 3-pt shot from 27 ft (assist by R. Stuckey),3,77-82,,
1:42.0,,,77-82,,B. Beal misses 2-pt shot from 21 ft
1:41.0,Defensive rebound by A. Jefferson,,77-82,,
1:26.0,P. George makes 2-pt shot from 19 ft (assist by R. Stuckey),2,79-82,,
1:11.0,,,79-82,,T. Satoransky enters the game for B. Beal
1:11.0,G. Robinson enters the game for P. George,,79-82,,
0:59.0,,,79-82,,I. Mahinmi misses 2-pt shot from 3 ft
0:59.0,Defensive rebound by R. Stuckey,,79-82,,
0:52.0,R. Stuckey misses 2-pt shot from 1 ft,,79-82,,
0:51.0,Offensive rebound by Team,,79-82,,
0:44.0,R. Stuckey makes 2-pt shot from 12 ft,2,81-82,,
0:27.0,,,81-84,2,J. Smith makes 2-pt shot at rim (assist by T. Burke)
0:07.0,Turnover by R. Stuckey (lost ball; steal by T. Satoransky),,81-84,,
0:03.0,,,81-86,2,T. Burke makes 2-pt shot from 1 ft (assist by T. Satoransky)
0:01.0,R. Stuckey misses 3-pt shot from 57 ft (block by T. Satoransky),,81-86,,
0:00.0,,,81-86,,Defensive rebound by K. Oubre
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,81-86,,J. Smith misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by A. Jefferson,,81-86,,
11:24.0,K. Seraphin makes 2-pt shot from 13 ft (assist by M. Ellis),2,83-86,,
11:06.0,,,83-86,,T. Burke misses 2-pt shot from 14 ft
11:04.0,Defensive rebound by K. Seraphin,,83-86,,
10:51.0,Turnover by A. Jefferson (bad pass; steal by T. Burke),,83-86,,
10:47.0,,,83-86,,Shooting foul by K. Seraphin (drawn by T. Satoransky)
10:47.0,,,83-87,1,T. Satoransky makes free throw 1 of 2
10:47.0,,,83-88,1,T. Satoransky makes free throw 2 of 2
10:31.0,K. Seraphin misses 2-pt shot from 20 ft,,83-88,,
10:29.0,,,83-88,,Defensive rebound by K. Oubre
10:19.0,,,83-88,,I. Mahinmi misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by A. Jefferson,,83-88,,
9:57.0,Shooting foul by I. Mahinmi (drawn by R. Stuckey),,83-88,,
9:57.0,R. Stuckey makes free throw 1 of 2,1,84-88,,
9:57.0,R. Stuckey makes free throw 2 of 2,1,85-88,,
9:43.0,,,85-88,,K. Oubre misses 3-pt shot from 27 ft
9:42.0,Defensive rebound by G. Robinson,,85-88,,
9:27.0,K. Seraphin makes 2-pt shot from 12 ft (assist by M. Ellis),2,87-88,,
9:27.0,,,87-88,,Washington full timeout
9:27.0,,,87-88,,O. Porter enters the game for T. Satoransky
9:03.0,,,87-88,,T. Burke misses 2-pt shot from 13 ft
9:03.0,Defensive rebound by Team,,87-88,,
8:48.0,M. Ellis makes 2-pt shot from 7 ft,2,89-88,,
8:25.0,,,89-88,,T. Burke misses 2-pt shot from 6 ft
8:24.0,Defensive rebound by A. Jefferson,,89-88,,
8:15.0,R. Stuckey misses 2-pt shot from 4 ft (block by J. Smith),,89-88,,
8:13.0,Offensive rebound by A. Jefferson,,89-88,,
8:09.0,R. Stuckey misses 3-pt shot from 24 ft,,89-88,,
8:07.0,,,89-88,,Defensive rebound by O. Porter
8:04.0,,,89-88,,Turnover by O. Porter (offensive foul)
8:04.0,,,89-88,,Offensive charge foul by O. Porter
8:04.0,,,89-88,,J. Wall enters the game for T. Burke
8:04.0,,,89-88,,B. Beal enters the game for K. Oubre
7:47.0,A. Jefferson misses 2-pt shot from 2 ft (block by I. Mahinmi),,89-88,,
7:46.0,,,89-88,,Defensive rebound by J. Smith
7:42.0,,,89-88,,Shooting foul by M. Ellis (drawn by J. Wall)
7:42.0,,,89-89,1,J. Wall makes free throw 1 of 2
7:42.0,,,89-90,1,J. Wall makes free throw 2 of 2
7:42.0,P. George enters the game for G. Robinson,,89-89,,
7:42.0,,,89-89,,M. Gortat enters the game for J. Smith
7:42.0,,,89-89,,M. Morris enters the game for I. Mahinmi
7:42.0,,,89-89,,T. Satoransky enters the game for O. Porter
7:33.0,Turnover by R. Stuckey (traveling),,89-90,,
7:18.0,,,89-92,2,B. Beal makes 2-pt shot from 18 ft (assist by M. Gortat)
6:58.0,M. Ellis misses 2-pt shot from 15 ft,,89-92,,
6:57.0,,,89-92,,Defensive rebound by B. Beal
6:49.0,,,89-92,,Shooting foul by R. Stuckey (drawn by J. Wall)
6:49.0,,,89-92,,J. Wall misses free throw 1 of 2
6:49.0,,,89-92,,Offensive rebound by Team
6:49.0,,,89-93,1,J. Wall makes free throw 2 of 2
6:49.0,J. Teague enters the game for R. Stuckey,,89-92,,
6:49.0,M. Turner enters the game for A. Jefferson,,89-92,,
6:33.0,P. George misses 2-pt shot from 12 ft,,89-93,,
6:32.0,,,89-93,,Defensive rebound by M. Morris
6:18.0,,,89-93,,M. Morris misses 3-pt shot from 25 ft
6:17.0,,,89-93,,Offensive rebound by M. Gortat
6:10.0,,,89-93,,J. Wall misses 2-pt shot from 19 ft
6:09.0,Defensive rebound by P. George,,89-93,,
5:59.0,P. George makes 3-pt shot from 28 ft,3,92-93,,
5:35.0,,,92-93,,Shooting foul by M. Turner (drawn by B. Beal)
5:35.0,Official timeout,,92-93,,
5:35.0,,,92-94,1,B. Beal makes free throw 1 of 2
5:35.0,,,92-95,1,B. Beal makes free throw 2 of 2
5:35.0,L. Allen enters the game for K. Seraphin,,92-93,,
5:15.0,P. George makes 2-pt shot from 18 ft,2,94-95,,
4:53.0,,,94-95,,M. Morris misses 2-pt shot from 8 ft
4:52.0,,,94-95,,Offensive rebound by M. Gortat
4:51.0,,,94-97,2,M. Gortat makes 2-pt shot from 1 ft
4:36.0,P. George misses 3-pt shot from 26 ft,,94-97,,
4:34.0,Offensive rebound by L. Allen,,94-97,,
4:32.0,L. Allen misses 2-pt shot from 1 ft,,94-97,,
4:31.0,Offensive rebound by L. Allen,,94-97,,
4:30.0,L. Allen makes 2-pt shot from 1 ft,2,96-97,,
4:07.0,,,96-97,,B. Beal misses 3-pt shot from 27 ft
4:05.0,,,96-97,,Offensive rebound by M. Gortat
4:02.0,,,96-100,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Morris)
3:35.0,M. Ellis misses 3-pt shot from 26 ft,,96-100,,
3:34.0,Offensive rebound by L. Allen,,96-100,,
3:24.0,,,96-100,,Personal foul by J. Wall (drawn by M. Turner)
3:24.0,Indiana full timeout,,96-100,,
3:24.0,,,96-100,,O. Porter enters the game for T. Satoransky
3:24.0,K. Seraphin enters the game for L. Allen,,96-100,,
3:11.0,P. George misses 2-pt shot from 4 ft (block by M. Gortat),,96-100,,
3:11.0,Offensive rebound by K. Seraphin,,96-100,,
3:11.0,K. Seraphin makes 2-pt shot from 1 ft,2,98-100,,
2:55.0,,,98-100,,Shooting foul by K. Seraphin (drawn by J. Wall)
2:55.0,,,98-100,,J. Wall misses free throw 1 of 2
2:55.0,,,98-100,,Offensive rebound by Team
2:55.0,,,98-101,1,J. Wall makes free throw 2 of 2
2:38.0,M. Turner misses 3-pt shot from 26 ft,,98-101,,
2:37.0,,,98-101,,Defensive rebound by J. Wall
2:26.0,,,98-101,,M. Morris misses 2-pt shot from 5 ft
2:25.0,,,98-101,,Offensive rebound by M. Gortat
