time,Boston,pts.away,score,pts.home,Oklahoma City
2:24.0,J. Crowder misses 2-pt shot from 7 ft,,38-35,,
2:24.0,,,38-35,,Defensive rebound by S. Adams
2:12.0,,,38-35,,R. Westbrook misses 2-pt shot from 5 ft
2:12.0,,,38-35,,Offensive rebound by E. Kanter
2:11.0,,,38-37,2,E. Kanter makes 2-pt shot from 1 ft
2:04.0,,,38-37,,Technical foul by R. Westbrook
2:04.0,A. Bradley misses technical free throw,,38-37,,
2:04.0,Offensive rebound by Team,,38-37,,
1:48.0,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart),2,40-37,,
1:27.0,,,40-37,,A. Morrow misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by J. Crowder,,40-37,,
1:15.0,A. Horford misses 3-pt shot from 25 ft,,40-37,,
1:15.0,Offensive rebound by A. Horford,,40-37,,
1:01.0,A. Bradley misses 3-pt shot from 25 ft,,40-37,,
1:01.0,Offensive rebound by K. Olynyk,,40-37,,
0:58.0,A. Bradley makes 3-pt shot from 23 ft (assist by A. Horford),3,43-37,,
0:46.0,,,43-37,,Turnover by R. Westbrook (bad pass; steal by K. Olynyk)
0:33.0,Turnover by A. Bradley (lost ball; steal by A. Roberson),,43-37,,
0:28.0,,,43-39,2,R. Westbrook makes 2-pt shot from 2 ft
0:03.0,K. Olynyk misses 3-pt shot from 24 ft,,43-39,,
0:02.0,,,43-39,,Defensive rebound by S. Adams
0:00.0,,,43-39,,A. Roberson misses 3-pt shot from 33 ft
0:00.0,,,43-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,A. Horford misses 2-pt shot from 5 ft (block by D. Sabonis),,43-39,,
11:38.0,,,43-39,,Defensive rebound by D. Sabonis
11:21.0,,,43-41,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
10:59.0,A. Johnson misses 2-pt shot from 5 ft,,43-41,,
10:59.0,,,43-41,,Defensive rebound by R. Westbrook
10:34.0,,,43-41,,Turnover by Team (shot clock)
10:19.0,A. Horford makes 3-pt shot from 24 ft (assist by J. Crowder),3,46-41,,
10:00.0,,,46-43,2,S. Adams makes 2-pt shot from 4 ft
9:46.0,M. Smart makes 2-pt shot from 20 ft,2,48-43,,
9:27.0,,,48-45,2,S. Adams makes 2-pt shot from 5 ft
9:11.0,A. Johnson makes 2-pt shot from 3 ft (assist by M. Smart),2,50-45,,
8:52.0,,,50-45,,R. Westbrook misses 3-pt shot from 26 ft
8:52.0,,,50-45,,Offensive rebound by A. Roberson
8:47.0,,,50-45,,A. Roberson misses 2-pt shot from 2 ft
8:45.0,Defensive rebound by A. Horford,,50-45,,
8:28.0,A. Horford makes 3-pt shot from 24 ft (assist by A. Bradley),3,53-45,,
8:15.0,Personal foul by J. Crowder (drawn by A. Morrow),,53-45,,
8:08.0,Def 3 sec tech foul by A. Johnson,,53-45,,
8:08.0,,,53-45,,R. Westbrook misses technical free throw
8:08.0,,,53-45,,Offensive rebound by Team
7:58.0,,,53-45,,R. Westbrook misses 3-pt shot from 23 ft
7:57.0,Defensive rebound by A. Bradley,,53-45,,
7:48.0,,,53-45,,Personal foul by R. Westbrook (drawn by A. Horford)
7:38.0,A. Bradley misses 2-pt shot from 4 ft (block by A. Roberson),,53-45,,
7:37.0,,,53-45,,Defensive rebound by S. Adams
7:33.0,,,53-45,,Shooting foul by A. Horford (drawn by R. Westbrook)
7:33.0,,,53-46,1,R. Westbrook makes free throw 1 of 2
7:33.0,,,53-46,,R. Westbrook misses free throw 2 of 2
7:33.0,,,53-46,,E. Kanter enters the game for D. Sabonis
7:32.0,Defensive rebound by A. Horford,,53-46,,
7:14.0,A. Bradley makes 3-pt shot from 25 ft (assist by A. Horford),3,56-46,,
7:12.0,,,56-46,,Oklahoma City full timeout
7:04.0,,,56-48,2,R. Westbrook makes 2-pt shot from 1 ft
6:47.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford),2,58-48,,
6:34.0,,,58-48,,R. Westbrook misses 2-pt shot at rim (block by J. Crowder)
6:33.0,Defensive rebound by A. Bradley,,58-48,,
6:30.0,,,58-48,,Technical foul by Team
6:30.0,J. Crowder makes technical free throw,1,59-48,,
6:22.0,Turnover by J. Crowder (lost ball; steal by A. Morrow),,59-48,,
6:17.0,,,59-50,2,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook)
5:54.0,J. Crowder makes 3-pt shot from 22 ft (assist by M. Smart),3,62-50,,
5:36.0,,,62-50,,R. Westbrook misses 2-pt shot from 2 ft
5:35.0,,,62-50,,Offensive rebound by S. Adams
5:34.0,,,62-52,2,S. Adams makes 2-pt shot from 2 ft
5:15.0,A. Bradley makes 2-pt shot from 1 ft (assist by A. Horford),2,64-52,,
4:49.0,,,64-52,,R. Westbrook misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by A. Horford,,64-52,,
4:26.0,A. Horford misses 3-pt shot from 24 ft,,64-52,,
4:26.0,,,64-52,,Defensive rebound by R. Westbrook
4:20.0,,,64-52,,Offensive foul by R. Westbrook
4:20.0,,,64-52,,Turnover by R. Westbrook (offensive foul)
4:20.0,T. Rozier enters the game for M. Smart,,64-52,,
4:06.0,A. Johnson misses 2-pt shot from 4 ft (block by E. Kanter),,64-52,,
4:05.0,Offensive rebound by A. Johnson,,64-52,,
4:04.0,A. Johnson misses 2-pt shot from 4 ft,,64-52,,
4:03.0,,,64-52,,Defensive rebound by S. Adams
3:57.0,,,64-52,,E. Kanter misses 2-pt shot from 2 ft (block by A. Johnson)
3:56.0,Defensive rebound by A. Johnson,,64-52,,
3:51.0,T. Rozier misses 2-pt shot from 1 ft,,64-52,,
3:50.0,,,64-52,,Defensive rebound by E. Kanter
3:47.0,,,64-52,,Shooting foul by A. Johnson (drawn by S. Adams)
3:47.0,,,64-52,,S. Adams misses free throw 1 of 2
3:47.0,,,64-52,,Offensive rebound by Team
3:47.0,,,64-53,1,S. Adams makes free throw 2 of 2
3:47.0,,,64-52,,K. Singler enters the game for A. Morrow
3:47.0,K. Olynyk enters the game for A. Johnson,,64-52,,
3:34.0,A. Horford makes 2-pt shot from 5 ft,2,66-53,,
3:23.0,,,66-56,3,R. Westbrook makes 3-pt shot from 25 ft (assist by E. Kanter)
3:02.0,A. Bradley misses 3-pt shot from 22 ft,,66-56,,
3:01.0,,,66-56,,Defensive rebound by A. Roberson
2:46.0,,,66-58,2,R. Westbrook makes 2-pt shot from 3 ft
2:46.0,,,66-58,,Shooting foul by J. Crowder (drawn by R. Westbrook)
2:46.0,Boston full timeout,,66-58,,
2:46.0,,,66-59,1,R. Westbrook makes free throw 1 of 1
2:46.0,,,66-58,,J. Lauvergne enters the game for S. Adams
2:46.0,J. Jerebko enters the game for A. Horford,,66-58,,
2:29.0,J. Crowder misses 3-pt shot from 22 ft,,66-59,,
2:27.0,,,66-59,,Defensive rebound by J. Lauvergne
2:25.0,Personal block foul by J. Crowder (drawn by R. Westbrook),,66-59,,
2:25.0,,,66-59,,R. Westbrook misses free throw 1 of 2
2:25.0,,,66-59,,Offensive rebound by Team
2:25.0,,,66-60,1,R. Westbrook makes free throw 2 of 2
2:25.0,J. Brown enters the game for J. Crowder,,66-59,,
2:10.0,T. Rozier misses 3-pt shot from 24 ft,,66-60,,
2:10.0,,,66-60,,Defensive rebound by A. Roberson
2:03.0,,,66-60,,Turnover by R. Westbrook (bad pass; steal by J. Brown)
1:57.0,,,66-60,,S. Christon enters the game for R. Westbrook
1:57.0,,,66-60,,A. Abrines enters the game for A. Roberson
1:49.0,A. Bradley makes 2-pt shot from 1 ft,2,68-60,,
1:27.0,,,68-60,,Shooting foul by J. Brown (drawn by S. Christon)
1:27.0,,,68-60,,S. Christon misses free throw 1 of 2
1:27.0,,,68-60,,Offensive rebound by Team
1:27.0,,,68-61,1,S. Christon makes free throw 2 of 2
1:14.0,K. Olynyk makes 3-pt shot from 25 ft (assist by A. Bradley),3,71-61,,
1:00.0,,,71-63,2,K. Singler makes 2-pt shot at rim (assist by E. Kanter)
0:41.0,T. Rozier misses 2-pt shot from 14 ft,,71-63,,
0:40.0,,,71-63,,Defensive rebound by E. Kanter
0:33.0,Personal foul by J. Jerebko (drawn by E. Kanter),,71-63,,
0:33.0,,,71-64,1,E. Kanter makes free throw 1 of 2
0:33.0,,,71-65,1,E. Kanter makes free throw 2 of 2
0:13.0,Offensive foul by K. Olynyk,,71-65,,
0:13.0,Turnover by K. Olynyk (offensive foul),,71-65,,
0:13.0,A. Johnson enters the game for K. Olynyk,,71-65,,
0:13.0,M. Smart enters the game for J. Brown,,71-65,,
0:03.0,,,71-67,2,S. Christon makes 2-pt shot from 2 ft
0:00.0,T. Rozier misses 3-pt shot from 41 ft,,71-67,,
0:00.0,Offensive rebound by Team,,71-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-70,3,S. Christon makes 3-pt shot from 23 ft (assist by J. Lauvergne)
11:25.0,Turnover by M. Smart (bad pass; steal by S. Christon),,71-70,,
11:20.0,,,71-70,,Shooting foul by J. Brown (drawn by S. Christon)
11:20.0,,,71-70,,S. Christon misses free throw 1 of 2
11:20.0,,,71-70,,Offensive rebound by Team
11:20.0,,,71-71,1,S. Christon makes free throw 2 of 2
11:05.0,J. Brown makes 2-pt shot from 1 ft,2,73-71,,
10:41.0,,,73-73,2,E. Kanter makes 2-pt shot from 2 ft
10:29.0,Shooting foul by A. Abrines (drawn by K. Olynyk),,73-73,,
10:29.0,K. Olynyk makes free throw 1 of 2,1,74-73,,
10:29.0,K. Olynyk makes free throw 2 of 2,1,75-73,,
10:29.0,A. Johnson enters the game for J. Jerebko,,74-73,,
10:08.0,,,75-73,,J. Lauvergne misses 2-pt shot from 3 ft
10:07.0,Defensive rebound by K. Olynyk,,75-73,,
9:55.0,J. Brown makes 2-pt shot from 5 ft,2,77-73,,
9:55.0,Shooting foul by A. Abrines (drawn by J. Brown),,77-73,,
9:55.0,J. Brown makes free throw 1 of 1,1,78-73,,
9:40.0,,,78-73,,K. Singler misses 2-pt shot from 6 ft
9:40.0,Defensive rebound by T. Rozier,,78-73,,
9:35.0,K. Olynyk makes 2-pt shot at rim (assist by M. Smart),2,80-73,,
9:35.0,,,80-73,,Oklahoma City full timeout
9:25.0,Violation by T. Rozier (kicked ball),,80-73,,
9:11.0,,,80-75,2,S. Christon makes 2-pt shot from 7 ft
8:45.0,K. Olynyk misses 2-pt shot from 3 ft (block by E. Kanter),,80-75,,
8:45.0,Offensive rebound by K. Olynyk,,80-75,,
8:45.0,Shooting foul by E. Kanter (drawn by K. Olynyk),,80-75,,
8:45.0,K. Olynyk makes free throw 1 of 2,1,81-75,,
8:45.0,K. Olynyk misses free throw 2 of 2,,81-75,,
8:45.0,,,81-75,,Defensive rebound by J. Lauvergne
8:45.0,,,81-75,,R. Westbrook enters the game for A. Abrines
8:45.0,,,81-75,,A. Roberson enters the game for K. Singler
8:45.0,,,81-75,,S. Adams enters the game for E. Kanter
8:25.0,,,81-75,,A. Roberson misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by M. Smart,,81-75,,
8:20.0,Turnover by M. Smart (bad pass; steal by S. Adams),,81-75,,
8:14.0,,,81-75,,R. Westbrook misses 2-pt shot from 1 ft
8:13.0,Defensive rebound by A. Johnson,,81-75,,
8:06.0,J. Brown makes 2-pt shot from 2 ft (assist by M. Smart),2,83-75,,
7:55.0,,,83-75,,Shooting foul by K. Olynyk (drawn by R. Westbrook)
7:55.0,,,83-76,1,R. Westbrook makes free throw 1 of 2
7:55.0,,,83-76,,R. Westbrook misses free throw 2 of 2
7:55.0,Defensive rebound by K. Olynyk,,83-76,,
7:29.0,K. Olynyk misses 3-pt shot from 26 ft,,83-76,,
7:29.0,,,83-76,,Defensive rebound by A. Roberson
7:18.0,,,83-78,2,R. Westbrook makes 2-pt shot from 11 ft
7:17.0,Boston full timeout,,83-78,,
7:17.0,A. Horford enters the game for K. Olynyk,,83-78,,
6:59.0,J. Brown makes 3-pt shot from 23 ft (assist by A. Johnson),3,86-78,,
6:37.0,,,86-78,,J. Lauvergne misses 3-pt shot from 24 ft
6:37.0,,,86-78,,Offensive rebound by S. Adams
6:35.0,,,86-80,2,S. Adams makes 2-pt shot from 1 ft
6:11.0,A. Horford misses 3-pt shot from 25 ft,,86-80,,
6:10.0,Offensive rebound by J. Brown,,86-80,,
6:07.0,T. Rozier makes 2-pt shot from 12 ft (assist by A. Horford),2,88-80,,
5:48.0,Personal foul by M. Smart (drawn by R. Westbrook),,88-80,,
5:48.0,,,88-80,,A. Morrow enters the game for A. Roberson
5:48.0,A. Bradley enters the game for M. Smart,,88-80,,
5:40.0,,,88-80,,Shooting foul by A. Bradley (drawn by R. Westbrook)
5:40.0,,,88-81,1,R. Westbrook makes free throw 1 of 2
5:40.0,,,88-82,1,R. Westbrook makes free throw 2 of 2
5:26.0,A. Bradley misses 2-pt shot from 19 ft,,88-82,,
5:25.0,,,88-82,,Defensive rebound by R. Westbrook
5:15.0,,,88-84,2,J. Lauvergne makes 2-pt shot at rim (assist by R. Westbrook)
4:51.0,A. Johnson makes 2-pt shot from 1 ft (assist by T. Rozier),2,90-84,,
4:27.0,,,90-86,2,J. Lauvergne makes 2-pt shot from 2 ft
4:07.0,T. Rozier misses 2-pt shot from 10 ft,,90-86,,
4:04.0,Offensive rebound by A. Johnson,,90-86,,
4:00.0,Turnover by A. Johnson (lost ball; steal by J. Lauvergne),,90-86,,
3:57.0,,,90-86,,R. Westbrook misses 2-pt shot from 7 ft
3:56.0,,,90-86,,Offensive rebound by S. Adams
3:56.0,,,90-86,,S. Adams misses 2-pt shot from 2 ft
3:55.0,,,90-86,,Offensive rebound by R. Westbrook
3:48.0,,,90-86,,Shooting foul by A. Johnson (drawn by S. Adams)
3:48.0,,,90-86,,S. Adams misses free throw 1 of 2
3:48.0,,,90-86,,Offensive rebound by Team
3:48.0,,,90-86,,S. Adams misses free throw 2 of 2
3:48.0,Defensive rebound by K. Olynyk,,90-86,,
3:48.0,K. Olynyk enters the game for A. Johnson,,90-86,,
3:48.0,J. Crowder enters the game for T. Rozier,,90-86,,
3:48.0,M. Smart enters the game for J. Brown,,90-86,,
3:48.0,,,90-86,,D. Sabonis enters the game for J. Lauvergne
3:31.0,Turnover by A. Bradley (bad pass; steal by S. Christon),,90-86,,
3:20.0,,,90-88,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
3:20.0,,,90-88,,Shooting foul by J. Crowder (drawn by S. Adams)
