time,Charlotte,pts.away,score,pts.home,Milwaukee
5:51.0,,,8-15,,M. Dellavedova enters the game for M. Brogdon
5:39.0,Turnover by C. Zeller (lost ball; steal by G. Monroe),,8-15,,
5:33.0,,,8-15,,Turnover by K. Middleton (bad pass; steal by N. Batum)
5:30.0,Turnover by N. Batum (bad pass; steal by T. Snell),,8-15,,
5:25.0,,,8-15,,Turnover by T. Snell (bad pass; steal by N. Batum)
5:21.0,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum),3,11-15,,
4:54.0,,,11-17,2,M. Dellavedova makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
4:38.0,N. Batum misses 2-pt shot from 18 ft,,11-17,,
4:37.0,Offensive rebound by M. Kidd-Gilchrist,,11-17,,
4:25.0,B. Roberts makes 2-pt shot from 15 ft,2,13-17,,
4:12.0,,,13-17,,T. Snell misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by C. Zeller,,13-17,,
4:05.0,Turnover by B. Roberts (lost ball),,13-17,,
4:05.0,F. Kaminsky enters the game for M. Williams,,13-17,,
4:05.0,M. Plumlee enters the game for C. Zeller,,13-17,,
4:05.0,B. Weber enters the game for B. Roberts,,13-17,,
3:51.0,,,13-17,,G. Monroe misses 2-pt shot from 3 ft
3:49.0,Defensive rebound by F. Kaminsky,,13-17,,
3:27.0,B. Weber makes 2-pt shot from 9 ft,2,15-17,,
3:06.0,,,15-17,,M. Dellavedova misses 3-pt shot from 23 ft
3:05.0,Defensive rebound by M. Plumlee,,15-17,,
3:03.0,,,15-17,,Personal foul by M. Dellavedova (drawn by B. Weber)
2:53.0,M. Kidd-Gilchrist makes 2-pt shot from 8 ft (assist by B. Weber),2,17-17,,
2:53.0,,,17-17,,Milwaukee full timeout
2:53.0,,,17-17,,M. Beasley enters the game for K. Middleton
2:53.0,J. Lamb enters the game for N. Batum,,17-17,,
2:37.0,Jump ball: G. Antetokounmpo vs. M. Kidd-Gilchrist (T. Snell gains possession),,,,Jump ball: G. Antetokounmpo vs. M. Kidd-Gilchrist (T. Snell gains possession)
2:27.0,,,17-17,,M. Beasley misses 2-pt shot from 12 ft
2:26.0,Defensive rebound by M. Kidd-Gilchrist,,17-17,,
2:12.0,F. Kaminsky misses 2-pt shot from 17 ft,,17-17,,
2:11.0,Offensive rebound by Team,,17-17,,
2:07.0,J. Lamb makes 2-pt shot from 12 ft (assist by M. Kidd-Gilchrist),2,19-17,,
1:56.0,,,19-17,,M. Dellavedova misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by F. Kaminsky,,19-17,,
1:46.0,,,19-17,,Personal foul by G. Monroe (drawn by J. Lamb)
1:33.0,M. Plumlee makes 2-pt shot at rim (assist by B. Weber),2,21-17,,
1:16.0,,,21-17,,M. Beasley misses 2-pt shot from 15 ft
1:15.0,Defensive rebound by M. Kidd-Gilchrist,,21-17,,
1:05.0,F. Kaminsky misses 3-pt shot from 27 ft,,21-17,,
1:04.0,,,21-17,,Defensive rebound by M. Beasley
0:56.0,,,21-17,,G. Monroe misses 2-pt shot from 1 ft
0:54.0,,,21-17,,Offensive rebound by G. Monroe
0:51.0,,,21-17,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Monroe)
0:51.0,,,21-17,,G. Monroe misses free throw 1 of 2
0:51.0,,,21-17,,Offensive rebound by Team
0:51.0,,,21-18,1,G. Monroe makes free throw 2 of 2
0:51.0,,,21-17,,J. Terry enters the game for T. Snell
0:38.0,J. Lamb makes 2-pt shot at rim,2,23-18,,
0:23.0,,,23-18,,G. Monroe misses 2-pt shot from 1 ft (block by F. Kaminsky)
0:20.0,Defensive rebound by B. Weber,,23-18,,
0:06.0,,,23-18,,Personal block foul by M. Beasley (drawn by B. Weber)
0:06.0,B. Weber makes free throw 1 of 2,1,24-18,,
0:06.0,B. Weber misses free throw 2 of 2,,24-18,,
0:05.0,Offensive rebound by B. Weber,,24-18,,
0:00.0,B. Weber misses 2-pt shot from 18 ft,,24-18,,
0:00.0,,,24-18,,Defensive rebound by G. Monroe
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,24-18,,Personal foul by M. Teletovic (drawn by M. Plumlee)
11:43.0,J. Lamb misses 3-pt shot from 26 ft,,24-18,,
11:42.0,,,24-18,,Defensive rebound by M. Teletovic
11:26.0,,,24-18,,M. Beasley misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by J. Lamb,,24-18,,
11:16.0,T. Graham makes 3-pt shot from 28 ft (assist by F. Kaminsky),3,27-18,,
11:00.0,,,27-18,,Turnover by M. Teletovic (bad pass; steal by M. Plumlee)
10:42.0,F. Kaminsky misses 3-pt shot from 30 ft,,27-18,,
10:40.0,Offensive rebound by M. Plumlee,,27-18,,
10:25.0,T. Graham misses 2-pt shot from 17 ft,,27-18,,
10:23.0,Offensive rebound by J. Lamb,,27-18,,
10:23.0,J. Lamb misses 2-pt shot from 2 ft,,27-18,,
10:21.0,Offensive rebound by J. Lamb,,27-18,,
10:21.0,J. Lamb makes 2-pt shot from 1 ft,2,29-18,,
10:03.0,,,29-20,2,G. Monroe makes 2-pt shot from 3 ft
9:39.0,F. Kaminsky misses 2-pt shot from 17 ft,,29-20,,
9:38.0,Offensive rebound by M. Plumlee,,29-20,,
9:20.0,J. Lamb misses 2-pt shot from 5 ft,,29-20,,
9:19.0,,,29-20,,Defensive rebound by G. Monroe
9:13.0,,,29-20,,M. Beasley misses 2-pt shot from 8 ft
9:10.0,,,29-20,,Offensive rebound by M. Beasley
9:10.0,,,29-20,,M. Beasley misses 2-pt shot from 1 ft
9:09.0,,,29-20,,Offensive rebound by G. Monroe
9:09.0,,,29-22,2,G. Monroe makes 2-pt shot at rim
8:49.0,T. Graham makes 2-pt shot from 1 ft,2,31-22,,
8:49.0,Shooting foul by G. Monroe (drawn by T. Graham),,31-22,,
8:49.0,Official timeout,,31-22,,
8:49.0,T. Graham makes free throw 1 of 1,1,32-22,,
8:49.0,,,31-22,,J. Henson enters the game for G. Monroe
8:49.0,,,31-22,,K. Middleton enters the game for M. Beasley
8:33.0,,,32-22,,M. Teletovic misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by B. Weber,,32-22,,
8:10.0,M. Plumlee misses 2-pt shot from 6 ft,,32-22,,
8:09.0,,,32-22,,Defensive rebound by J. Henson
7:59.0,,,32-25,3,J. Terry makes 3-pt shot from 26 ft (assist by K. Middleton)
7:43.0,Shooting foul by J. Henson (drawn by T. Graham),,32-25,,
7:43.0,T. Graham misses free throw 1 of 2,,32-25,,
7:43.0,Offensive rebound by Team,,32-25,,
7:43.0,T. Graham makes free throw 2 of 2,1,33-25,,
7:35.0,Personal foul by B. Weber (drawn by M. Dellavedova),,33-25,,
7:30.0,,,33-25,,Turnover by J. Henson (bad pass; steal by T. Graham)
7:19.0,J. Lamb makes 2-pt shot at rim (assist by F. Kaminsky),2,35-25,,
7:03.0,,,35-25,,Turnover by K. Middleton (bad pass; steal by J. Lamb)
6:55.0,F. Kaminsky misses 2-pt shot from 2 ft,,35-25,,
6:55.0,,,35-25,,Defensive rebound by Team
6:55.0,Loose ball foul by M. Plumlee (drawn by J. Henson),,35-25,,
6:55.0,,,35-25,,G. Antetokounmpo enters the game for M. Dellavedova
6:55.0,,,35-25,,M. Brogdon enters the game for M. Teletovic
6:55.0,M. Williams enters the game for F. Kaminsky,,35-25,,
6:30.0,,,35-28,3,J. Terry makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
6:10.0,Turnover by J. Lamb (bad pass; steal by J. Terry),,35-28,,
5:53.0,,,35-31,3,K. Middleton makes 3-pt shot from 26 ft (assist by M. Brogdon)
5:46.0,Charlotte full timeout,,35-31,,
5:46.0,C. Zeller enters the game for M. Plumlee,,35-31,,
5:46.0,N. Batum enters the game for B. Weber,,35-31,,
5:46.0,B. Roberts enters the game for J. Lamb,,35-31,,
5:38.0,B. Roberts makes 3-pt shot from 29 ft (assist by N. Batum),3,38-31,,
5:16.0,,,38-31,,K. Middleton misses 2-pt shot from 10 ft
5:15.0,Defensive rebound by M. Williams,,38-31,,
4:56.0,C. Zeller misses 2-pt shot from 18 ft,,38-31,,
4:55.0,,,38-31,,Defensive rebound by K. Middleton
4:46.0,,,38-33,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:22.0,M. Williams misses 3-pt shot from 25 ft,,38-33,,
4:21.0,,,38-33,,Defensive rebound by G. Antetokounmpo
4:18.0,,,38-33,,Turnover by G. Antetokounmpo (lost ball; steal by T. Graham)
4:07.0,B. Roberts misses 2-pt shot from 11 ft (block by J. Henson),,38-33,,
4:04.0,,,38-33,,Defensive rebound by J. Terry
3:53.0,,,38-36,3,J. Terry makes 3-pt shot from 24 ft (assist by K. Middleton)
3:33.0,N. Batum makes 2-pt shot from 23 ft (assist by C. Zeller),2,40-36,,
3:18.0,Personal foul by C. Zeller (drawn by J. Henson),,40-36,,
3:18.0,M. Kidd-Gilchrist enters the game for T. Graham,,40-36,,
3:18.0,,,40-36,,T. Snell enters the game for J. Terry
3:11.0,,,40-36,,K. Middleton misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by N. Batum,,40-36,,
2:48.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,42-36,,
2:37.0,,,42-38,2,G. Antetokounmpo makes 2-pt shot from 19 ft
2:17.0,B. Roberts misses 2-pt shot from 14 ft,,42-38,,
2:16.0,,,42-38,,Defensive rebound by M. Brogdon
2:05.0,,,42-40,2,G. Antetokounmpo makes 2-pt shot from 16 ft
1:49.0,Shooting foul by J. Henson (drawn by N. Batum),,42-40,,
1:49.0,,,42-40,,Milwaukee full timeout
1:49.0,N. Batum misses free throw 1 of 2,,42-40,,
1:49.0,Offensive rebound by Team,,42-40,,
1:49.0,N. Batum misses free throw 2 of 2,,42-40,,
1:48.0,,,42-40,,Defensive rebound by G. Antetokounmpo
1:29.0,,,42-40,,J. Henson misses 2-pt shot from 5 ft
1:28.0,Defensive rebound by C. Zeller,,42-40,,
1:19.0,N. Batum makes 2-pt shot from 16 ft,2,44-40,,
1:04.0,,,44-40,,G. Antetokounmpo misses 2-pt shot from 5 ft
1:03.0,Defensive rebound by M. Kidd-Gilchrist,,44-40,,
0:58.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,46-40,,
0:44.0,Def 3 sec tech foul by C. Zeller,,46-40,,
0:44.0,,,46-41,1,K. Middleton makes technical free throw
0:31.0,,,46-43,2,K. Middleton makes 2-pt shot from 8 ft (assist by G. Antetokounmpo)
0:18.0,Turnover by N. Batum (traveling),,46-43,,
0:00.0,,,46-43,,K. Middleton misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by B. Roberts,,46-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Turnover by B. Roberts (bad pass; steal by T. Snell),,46-43,,
11:33.0,,,46-45,2,T. Snell makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
11:13.0,C. Zeller makes 2-pt shot from 5 ft (assist by N. Batum),2,48-45,,
10:50.0,,,48-47,2,M. Brogdon makes 2-pt shot from 1 ft
10:27.0,N. Batum misses 2-pt shot from 10 ft,,48-47,,
10:25.0,,,48-47,,Defensive rebound by T. Maker
10:05.0,,,48-50,3,K. Middleton makes 3-pt shot from 24 ft (assist by M. Brogdon)
9:39.0,M. Kidd-Gilchrist makes 2-pt shot from 11 ft,2,50-50,,
9:22.0,,,50-50,,Turnover by M. Brogdon (lost ball; steal by N. Batum)
9:17.0,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum),2,52-50,,
8:54.0,,,52-50,,K. Middleton misses 2-pt shot from 16 ft
8:53.0,Defensive rebound by N. Batum,,52-50,,
8:40.0,M. Williams misses 2-pt shot from 15 ft,,52-50,,
8:38.0,,,52-50,,Defensive rebound by M. Brogdon
8:31.0,,,52-50,,M. Brogdon misses 2-pt shot from 2 ft (block by M. Williams)
8:31.0,,,52-50,,Offensive rebound by Team
8:20.0,,,52-50,,T. Maker misses 2-pt shot from 6 ft
8:19.0,,,52-50,,Offensive rebound by T. Maker
8:12.0,,,52-53,3,T. Snell makes 3-pt shot from 24 ft (assist by K. Middleton)
7:47.0,B. Roberts misses 3-pt shot from 26 ft,,52-53,,
7:46.0,,,52-53,,Defensive rebound by G. Antetokounmpo
7:31.0,,,52-53,,M. Brogdon misses 3-pt shot from 29 ft
7:30.0,Defensive rebound by C. Zeller,,52-53,,
7:09.0,B. Roberts misses 2-pt shot from 16 ft,,52-53,,
7:08.0,,,52-53,,Defensive rebound by T. Maker
6:53.0,,,52-53,,T. Snell misses 2-pt shot from 4 ft
6:52.0,Defensive rebound by C. Zeller,,52-53,,
6:44.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams),2,54-53,,
6:30.0,,,54-53,,T. Snell misses 2-pt shot from 18 ft
6:29.0,,,54-53,,Offensive rebound by M. Brogdon
6:28.0,Loose ball foul by C. Zeller (drawn by M. Brogdon),,54-53,,
6:20.0,,,54-53,,Turnover by M. Brogdon (lost ball)
6:04.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft,,54-53,,
6:02.0,Offensive rebound by Team,,54-53,,
5:52.0,N. Batum misses 2-pt shot from 18 ft,,54-53,,
5:50.0,,,54-53,,Defensive rebound by G. Antetokounmpo
5:34.0,,,54-53,,Turnover by G. Antetokounmpo (bad pass)
5:34.0,,,54-53,,Milwaukee full timeout
5:34.0,F. Kaminsky enters the game for M. Williams,,54-53,,
5:34.0,,,54-53,,G. Monroe enters the game for G. Antetokounmpo
5:34.0,,,54-53,,M. Teletovic enters the game for T. Maker
5:15.0,N. Batum makes 3-pt shot from 27 ft (assist by M. Kidd-Gilchrist),3,57-53,,
4:52.0,,,57-53,,G. Monroe misses 2-pt shot from 10 ft
4:50.0,Defensive rebound by N. Batum,,57-53,,
4:43.0,F. Kaminsky misses 3-pt shot from 28 ft,,57-53,,
4:41.0,,,57-53,,Defensive rebound by G. Monroe
4:19.0,,,57-55,2,T. Snell makes 2-pt shot at rim (assist by M. Brogdon)
3:57.0,N. Batum misses 2-pt shot from 16 ft,,57-55,,
3:55.0,,,57-55,,Defensive rebound by K. Middleton
3:46.0,,,57-55,,G. Monroe misses 2-pt shot at rim (block by N. Batum)
3:43.0,Defensive rebound by N. Batum,,57-55,,
3:41.0,F. Kaminsky makes 2-pt shot at rim (assist by N. Batum),2,59-55,,
3:41.0,Shooting foul by K. Middleton (drawn by F. Kaminsky),,59-55,,
3:41.0,F. Kaminsky makes free throw 1 of 1,1,60-55,,
3:41.0,M. Plumlee enters the game for C. Zeller,,59-55,,
3:41.0,B. Weber enters the game for B. Roberts,,59-55,,
3:41.0,,,59-55,,M. Dellavedova enters the game for M. Brogdon
3:24.0,,,60-58,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Monroe)
3:05.0,N. Batum makes 2-pt shot from 12 ft,2,62-58,,
2:44.0,,,62-58,,M. Teletovic misses 3-pt shot from 27 ft
2:44.0,,,62-58,,Offensive rebound by Team
2:44.0,Loose ball foul by M. Plumlee (drawn by G. Monroe),,62-58,,
2:44.0,Charlotte full timeout,,62-58,,
2:44.0,J. Lamb enters the game for N. Batum,,62-58,,
2:36.0,,,62-58,,M. Dellavedova misses 2-pt shot from 19 ft
2:35.0,Defensive rebound by J. Lamb,,62-58,,
2:22.0,M. Plumlee makes 2-pt shot at rim (assist by F. Kaminsky),2,64-58,,
2:01.0,,,64-61,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Monroe)
1:36.0,B. Weber misses 3-pt shot from 29 ft,,64-61,,
1:35.0,,,64-61,,Defensive rebound by G. Monroe
1:26.0,,,64-61,,M. Teletovic misses 3-pt shot from 25 ft
1:25.0,,,64-61,,Offensive rebound by K. Middleton
1:14.0,,,64-61,,M. Teletovic misses 2-pt shot from 3 ft
1:13.0,Defensive rebound by M. Plumlee,,64-61,,
0:52.0,J. Lamb misses 3-pt shot from 27 ft,,64-61,,
0:51.0,,,64-61,,Defensive rebound by G. Monroe
0:35.0,,,64-61,,Turnover by K. Middleton (bad pass)
0:35.0,T. Graham enters the game for M. Kidd-Gilchrist,,64-61,,
0:18.0,J. Lamb makes 2-pt shot from 13 ft,2,66-61,,
0:00.0,,,66-61,,G. Monroe misses 2-pt shot from 15 ft
0:00.0,,,66-61,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,66-64,3,M. Beasley makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
11:30.0,J. Lamb makes 2-pt shot at rim (assist by F. Kaminsky),2,68-64,,
11:08.0,,,68-64,,Shooting foul by M. Plumlee (drawn by G. Monroe)
11:08.0,,,68-66,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
11:08.0,,,68-66,,G. Monroe misses free throw 1 of 1
11:06.0,Defensive rebound by M. Plumlee,,68-66,,
10:48.0,F. Kaminsky misses 2-pt shot from 8 ft (block by M. Beasley),,68-66,,
10:46.0,,,68-66,,Defensive rebound by G. Monroe
10:34.0,,,68-68,2,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
10:34.0,Charlotte full timeout,,68-68,,
10:08.0,T. Graham makes 3-pt shot from 27 ft (assist by F. Kaminsky),3,71-68,,
9:41.0,,,71-71,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Monroe)
9:16.0,F. Kaminsky misses 3-pt shot from 28 ft,,71-71,,
9:15.0,,,71-71,,Defensive rebound by Team
9:00.0,,,71-71,,M. Beasley misses 2-pt shot from 14 ft
8:58.0,Defensive rebound by M. Plumlee,,71-71,,
8:48.0,,,71-71,,Personal foul by J. Terry (drawn by B. Weber)
8:37.0,,,71-71,,Personal take foul by M. Dellavedova (drawn by M. Plumlee)
8:29.0,F. Kaminsky misses 2-pt shot from 1 ft,,71-71,,
8:27.0,,,71-71,,Defensive rebound by J. Terry
8:22.0,,,71-73,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Terry)
8:22.0,,,71-73,,Shooting foul by F. Kaminsky (drawn by G. Monroe)
8:22.0,,,71-74,1,G. Monroe makes free throw 1 of 1
8:08.0,,,71-74,,Personal take foul by M. Dellavedova (drawn by M. Plumlee)
8:06.0,T. Graham makes 2-pt shot from 1 ft (assist by J. Lamb),2,73-74,,
7:41.0,,,73-74,,Turnover by G. Antetokounmpo (3 sec)
7:25.0,J. Lamb misses 2-pt shot from 6 ft,,73-74,,
7:24.0,,,73-74,,Defensive rebound by J. Terry
7:22.0,,,73-74,,Turnover by J. Terry (lost ball; steal by B. Weber)
7:14.0,B. Weber misses 2-pt shot from 6 ft,,73-74,,
7:13.0,,,73-74,,Defensive rebound by M. Beasley
7:11.0,Personal foul by M. Plumlee (drawn by M. Beasley),,73-74,,
6:57.0,,,73-76,2,G. Monroe makes 2-pt shot from 16 ft (assist by M. Dellavedova)
6:38.0,F. Kaminsky misses 2-pt shot from 16 ft,,73-76,,
6:37.0,Offensive rebound by M. Plumlee,,73-76,,
6:36.0,,,73-76,,K. Middleton enters the game for M. Beasley
6:30.0,F. Kaminsky misses 3-pt shot from 27 ft,,73-76,,
6:29.0,,,73-76,,Defensive rebound by M. Dellavedova
6:09.0,,,73-78,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
5:55.0,Charlotte full timeout,,73-78,,
5:55.0,Official timeout,,73-78,,
5:37.0,J. Lamb misses 2-pt shot from 20 ft (block by J. Terry),,73-78,,
5:35.0,,,73-78,,Defensive rebound by J. Terry
5:32.0,,,73-78,,G. Antetokounmpo misses 2-pt shot from 2 ft
5:31.0,Defensive rebound by F. Kaminsky,,73-78,,
5:23.0,Turnover by B. Weber (bad pass),,73-78,,
5:23.0,C. Zeller enters the game for F. Kaminsky,,73-78,,
5:23.0,M. Williams enters the game for M. Plumlee,,73-78,,
5:23.0,B. Roberts enters the game for B. Weber,,73-78,,
5:23.0,N. Batum enters the game for T. Graham,,73-78,,
5:05.0,,,73-81,3,J. Terry makes 3-pt shot from 26 ft (assist by M. Dellavedova)
4:47.0,,,73-81,,M. Brogdon enters the game for M. Dellavedova
4:47.0,M. Kidd-Gilchrist enters the game for J. Lamb,,73-81,,
4:36.0,M. Kidd-Gilchrist misses 2-pt shot from 15 ft,,73-81,,
4:34.0,,,73-81,,Defensive rebound by J. Terry
4:22.0,,,73-81,,G. Antetokounmpo misses 2-pt shot from 18 ft
4:21.0,Defensive rebound by N. Batum,,73-81,,
4:17.0,Shooting foul by J. Terry (drawn by M. Kidd-Gilchrist),,73-81,,
4:17.0,M. Kidd-Gilchrist misses free throw 1 of 2,,73-81,,
4:17.0,Offensive rebound by Team,,73-81,,
4:17.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,74-81,,
3:51.0,,,74-81,,G. Antetokounmpo misses 2-pt shot from 15 ft
3:49.0,Defensive rebound by M. Williams,,74-81,,
3:36.0,C. Zeller misses 2-pt shot at rim,,74-81,,
3:34.0,,,74-81,,Defensive rebound by G. Antetokounmpo
3:25.0,,,74-81,,Turnover by M. Brogdon (bad pass; steal by M. Kidd-Gilchrist)
3:21.0,C. Zeller misses 2-pt shot at rim,,74-81,,
3:19.0,,,74-81,,Defensive rebound by G. Monroe
2:56.0,,,74-84,3,J. Terry makes 3-pt shot from 27 ft
2:41.0,N. Batum misses 3-pt shot from 26 ft,,74-84,,
2:40.0,,,74-84,,Defensive rebound by G. Antetokounmpo
2:18.0,,,74-84,,J. Terry misses 3-pt shot from 27 ft
2:18.0,Defensive rebound by Team,,74-84,,
2:18.0,,,74-84,,Milwaukee full timeout
2:04.0,C. Zeller misses 2-pt shot from 7 ft,,74-84,,
2:03.0,,,74-84,,Defensive rebound by K. Middleton
1:48.0,,,74-86,2,G. Monroe makes 2-pt shot from 4 ft (assist by K. Middleton)
1:38.0,B. Roberts misses 2-pt shot from 7 ft,,74-86,,
1:36.0,,,74-86,,Defensive rebound by M. Brogdon
1:22.0,,,74-86,,J. Terry misses 3-pt shot from 27 ft
1:21.0,Defensive rebound by M. Williams,,74-86,,
1:08.0,N. Batum misses 2-pt shot from 18 ft,,74-86,,
1:06.0,,,74-86,,Defensive rebound by G. Antetokounmpo
0:54.0,,,74-89,3,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
0:54.0,Charlotte full timeout,,74-89,,
0:54.0,,,74-89,,T. Maker enters the game for K. Middleton
0:54.0,,,74-89,,R. Vaughn enters the game for G. Antetokounmpo
0:54.0,,,74-89,,M. Teletovic enters the game for M. Brogdon
0:54.0,,,74-89,,G. Payton enters the game for G. Monroe
0:54.0,,,74-89,,M. Beasley enters the game for J. Terry
0:51.0,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum),2,76-89,,
0:51.0,Shooting foul by M. Beasley (drawn by C. Zeller),,76-89,,
0:51.0,C. Zeller makes free throw 1 of 1,1,77-89,,
0:29.0,,,77-89,,M. Teletovic misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by C. Zeller,,77-89,,
0:24.0,B. Roberts makes 2-pt shot from 1 ft (assist by N. Batum),2,79-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
