time,Dallas,pts.away,score,pts.home,Philadelphia
4:11.0,W. Matthews makes free throw 2 of 2,1,38-40,,
3:57.0,,,38-43,3,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by R. Holmes)
3:37.0,N. Noel makes 2-pt shot at rim (assist by W. Matthews),2,40-43,,
3:20.0,,,40-43,,Shooting foul by N. Noel (drawn by R. Holmes)
3:20.0,,,40-43,,R. Holmes misses free throw 1 of 2
3:20.0,,,40-43,,Offensive rebound by Team
3:20.0,,,40-44,1,R. Holmes makes free throw 2 of 2
3:20.0,,,40-43,,D. Saric enters the game for N. Stauskas
3:20.0,D. Nowitzki enters the game for N. Noel,,40-43,,
3:20.0,Y. Ferrell enters the game for J. Barea,,40-43,,
3:20.0,D. Harris enters the game for S. Curry,,40-43,,
3:05.0,Y. Ferrell misses 2-pt shot from 8 ft,,40-44,,
3:04.0,,,40-44,,Defensive rebound by R. Covington
2:57.0,,,40-44,,R. Holmes misses 2-pt shot from 18 ft
2:56.0,Defensive rebound by Y. Ferrell,,40-44,,
2:48.0,D. Nowitzki misses 2-pt shot from 21 ft,,40-44,,
2:46.0,,,40-44,,Defensive rebound by R. Holmes
2:37.0,,,40-44,,Shooting foul by W. Matthews (drawn by R. Covington)
2:37.0,Dallas full timeout,,40-44,,
2:37.0,,,40-45,1,R. Covington makes free throw 1 of 2
2:37.0,,,40-46,1,R. Covington makes free throw 2 of 2
2:37.0,,,40-45,,J. Okafor enters the game for R. Holmes
2:37.0,,,40-45,,J. Anderson enters the game for T. Luwawu-Cabarrot
2:23.0,H. Barnes misses 2-pt shot from 1 ft,,40-46,,
2:21.0,,,40-46,,Defensive rebound by D. Saric
2:12.0,,,40-46,,Turnover by J. Anderson (back court)
2:03.0,H. Barnes misses 2-pt shot from 16 ft,,40-46,,
2:02.0,,,40-46,,Defensive rebound by J. Anderson
1:54.0,,,40-46,,T. McConnell misses 2-pt shot from 4 ft (block by Y. Ferrell)
1:52.0,Defensive rebound by Y. Ferrell,,40-46,,
1:43.0,D. Harris misses 3-pt shot from 23 ft,,40-46,,
1:42.0,,,40-46,,Defensive rebound by J. Anderson
1:28.0,,,40-49,3,J. Anderson makes 3-pt shot from 24 ft (assist by D. Saric)
1:03.0,H. Barnes misses 2-pt shot from 2 ft (block by R. Covington),,40-49,,
1:02.0,,,40-49,,Defensive rebound by R. Covington
0:52.0,,,40-49,,Offensive charge foul by J. Anderson
0:52.0,,,40-49,,Turnover by J. Anderson (offensive foul)
0:52.0,J. Barea enters the game for Y. Ferrell,,40-49,,
0:47.0,Turnover by W. Matthews (lost ball),,40-49,,
0:47.0,,,40-49,,Philadelphia full timeout
0:47.0,N. Noel enters the game for D. Nowitzki,,40-49,,
0:33.0,,,40-49,,Turnover by T. McConnell (bad pass; steal by N. Noel)
0:17.0,N. Noel misses 2-pt shot from 4 ft,,40-49,,
0:15.0,,,40-49,,Defensive rebound by R. Covington
0:05.0,Jump ball: J. Barea vs. T. McConnell (J. Okafor gains possession),,,,Jump ball: J. Barea vs. T. McConnell (J. Okafor gains possession)
0:01.0,,,40-51,2,J. Okafor makes 2-pt shot from 4 ft (assist by T. McConnell)
0:00.0,W. Matthews misses 3-pt shot from 60 ft,,40-51,,
0:00.0,Offensive rebound by Team,,40-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,W. Matthews misses 3-pt shot from 24 ft,,40-51,,
11:39.0,,,40-51,,Defensive rebound by R. Covington
11:33.0,,,40-54,3,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric)
11:18.0,D. Nowitzki misses 2-pt shot from 17 ft,,40-54,,
11:17.0,,,40-54,,Defensive rebound by T. McConnell
11:06.0,,,40-54,,Shooting foul by H. Barnes (drawn by D. Saric)
11:06.0,,,40-55,1,D. Saric makes free throw 1 of 2
11:06.0,,,40-56,1,D. Saric makes free throw 2 of 2
10:41.0,Y. Ferrell misses 2-pt shot from 3 ft,,40-56,,
10:40.0,,,40-56,,Defensive rebound by D. Saric
10:22.0,,,40-56,,D. Saric misses 2-pt shot from 9 ft
10:20.0,Defensive rebound by S. Curry,,40-56,,
10:04.0,Turnover by W. Matthews (lost ball; steal by R. Holmes),,40-56,,
9:59.0,,,40-56,,Shooting foul by D. Nowitzki (drawn by T. Luwawu-Cabarrot)
9:59.0,,,40-57,1,T. Luwawu-Cabarrot makes free throw 1 of 2
9:59.0,,,40-58,1,T. Luwawu-Cabarrot makes free throw 2 of 2
9:40.0,Shooting foul by T. Luwawu-Cabarrot (drawn by S. Curry),,40-58,,
9:40.0,S. Curry makes free throw 1 of 2,1,41-58,,
9:40.0,S. Curry makes free throw 2 of 2,1,42-58,,
9:36.0,,,42-58,,Turnover by T. Luwawu-Cabarrot (traveling)
9:21.0,S. Curry misses 3-pt shot from 24 ft,,42-58,,
9:19.0,,,42-58,,Defensive rebound by R. Covington
9:04.0,,,42-60,2,D. Saric makes 2-pt shot from 17 ft
8:51.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by Y. Ferrell),2,44-60,,
8:40.0,,,44-60,,R. Holmes misses 3-pt shot from 26 ft
8:38.0,Defensive rebound by Y. Ferrell,,44-60,,
8:33.0,Turnover by Y. Ferrell (bad pass; steal by T. McConnell),,44-60,,
8:30.0,,,44-62,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
8:30.0,Dallas full timeout,,44-62,,
8:30.0,D. Harris enters the game for S. Curry,,44-62,,
8:30.0,J. Barea enters the game for Y. Ferrell,,44-62,,
8:20.0,Turnover by J. Barea (back court),,44-62,,
8:12.0,,,44-62,,Turnover by R. Holmes (lost ball; steal by D. Harris)
8:03.0,D. Harris misses 2-pt shot from 1 ft,,44-62,,
8:01.0,,,44-62,,Defensive rebound by R. Holmes
7:52.0,,,44-62,,R. Covington misses 2-pt shot from 8 ft
7:51.0,Defensive rebound by H. Barnes,,44-62,,
7:44.0,Shooting foul by R. Covington (drawn by D. Harris),,44-62,,
7:44.0,D. Harris misses free throw 1 of 2,,44-62,,
7:44.0,Offensive rebound by Team,,44-62,,
7:44.0,D. Harris makes free throw 2 of 2,1,45-62,,
7:27.0,,,45-64,2,D. Saric makes 2-pt shot from 1 ft (assist by R. Covington)
7:11.0,W. Matthews misses 3-pt shot from 24 ft,,45-64,,
7:09.0,,,45-64,,Defensive rebound by R. Holmes
7:02.0,,,45-67,3,R. Covington makes 3-pt shot from 28 ft (assist by D. Saric)
6:48.0,J. Barea misses 2-pt shot from 7 ft (block by D. Saric),,45-67,,
6:46.0,,,45-67,,Defensive rebound by T. Luwawu-Cabarrot
6:44.0,Personal foul by D. Harris,,45-67,,
6:44.0,,,45-67,,J. Anderson enters the game for D. Saric
6:44.0,N. Noel enters the game for D. Nowitzki,,45-67,,
6:32.0,,,45-67,,R. Holmes misses 2-pt shot from 15 ft
6:30.0,,,45-67,,Offensive rebound by T. Luwawu-Cabarrot
6:29.0,Shooting block foul by N. Noel (drawn by J. Anderson),,45-67,,
6:29.0,,,45-68,1,J. Anderson makes free throw 1 of 2
6:29.0,,,45-69,1,J. Anderson makes free throw 2 of 2
6:22.0,D. Harris misses 2-pt shot from 1 ft,,45-69,,
6:21.0,,,45-69,,Defensive rebound by T. Luwawu-Cabarrot
6:15.0,,,45-71,2,R. Holmes makes 2-pt shot from 4 ft
6:15.0,Technical foul by D. Harris,,45-71,,
6:15.0,,,45-72,1,R. Covington makes technical free throw
5:59.0,W. Matthews misses 2-pt shot from 7 ft,,45-72,,
5:57.0,Offensive rebound by N. Noel,,45-72,,
5:57.0,N. Noel misses 2-pt shot from 1 ft,,45-72,,
5:55.0,,,45-72,,Defensive rebound by R. Covington
5:45.0,,,45-75,3,R. Covington makes 3-pt shot from 25 ft (assist by T. Luwawu-Cabarrot)
5:43.0,Dallas full timeout,,45-75,,
5:43.0,,,45-75,,N. Stauskas enters the game for T. Luwawu-Cabarrot
5:43.0,D. Powell enters the game for W. Matthews,,45-75,,
5:43.0,N. Brussino enters the game for H. Barnes,,45-75,,
5:33.0,Turnover by J. Barea (lost ball),,45-75,,
5:33.0,,,45-75,,J. Okafor enters the game for R. Holmes
5:08.0,,,45-75,,N. Stauskas misses 3-pt shot from 25 ft
5:06.0,,,45-75,,Offensive rebound by J. Anderson
5:06.0,,,45-77,2,J. Anderson makes 2-pt shot at rim
4:57.0,,,45-77,,Personal foul by J. Anderson (drawn by N. Brussino)
4:48.0,J. Barea misses 3-pt shot from 27 ft,,45-77,,
4:46.0,,,45-77,,Defensive rebound by N. Stauskas
4:40.0,,,45-77,,R. Covington misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by D. Harris,,45-77,,
4:29.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Harris),3,48-77,,
4:13.0,,,48-77,,J. Okafor misses 2-pt shot from 11 ft
4:10.0,Defensive rebound by N. Brussino,,48-77,,
3:57.0,,,48-77,,Personal foul by J. Anderson
3:57.0,,,48-77,,S. Rodriguez enters the game for T. McConnell
3:57.0,,,48-77,,D. Saric enters the game for R. Covington
3:57.0,Y. Ferrell enters the game for D. Harris,,48-77,,
3:57.0,M. Harris enters the game for J. Barea,,48-77,,
3:49.0,Y. Ferrell makes 2-pt shot from 3 ft,2,50-77,,
3:25.0,,,50-77,,D. Saric misses 2-pt shot from 13 ft
3:23.0,Defensive rebound by M. Harris,,50-77,,
3:16.0,M. Harris makes 2-pt shot from 9 ft,2,52-77,,
3:16.0,,,52-77,,Philadelphia full timeout
2:51.0,,,52-77,,N. Stauskas misses 2-pt shot from 12 ft
2:50.0,,,52-77,,Offensive rebound by N. Stauskas
2:40.0,,,52-77,,N. Stauskas misses 3-pt shot from 26 ft
2:39.0,Defensive rebound by M. Harris,,52-77,,
2:30.0,M. Harris misses 2-pt shot from 3 ft,,52-77,,
2:29.0,Offensive rebound by N. Noel,,52-77,,
2:29.0,Shooting foul by S. Rodriguez (drawn by N. Noel),,52-77,,
2:29.0,N. Noel makes free throw 1 of 2,1,53-77,,
2:29.0,N. Noel misses free throw 2 of 2,,53-77,,
2:27.0,,,53-77,,Defensive rebound by D. Saric
2:10.0,,,53-77,,J. Okafor misses 2-pt shot from 3 ft
2:08.0,,,53-77,,Offensive rebound by D. Saric
2:08.0,,,53-79,2,D. Saric makes 2-pt shot from 1 ft
1:57.0,Turnover by D. Powell (bad pass; steal by N. Stauskas),,53-79,,
1:53.0,,,53-81,2,J. Anderson makes 2-pt shot at rim (assist by N. Stauskas)
1:39.0,D. Powell makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,56-81,,
1:13.0,,,56-81,,Turnover by J. Okafor (traveling)
1:00.0,D. Powell misses 2-pt shot from 6 ft,,56-81,,
0:58.0,,,56-81,,Defensive rebound by N. Stauskas
0:38.0,,,56-83,2,S. Rodriguez makes 2-pt shot from 3 ft (assist by D. Saric)
0:38.0,,,56-83,,Shooting foul by N. Brussino (drawn by S. Rodriguez)
0:38.0,,,56-83,,S. Rodriguez misses free throw 1 of 1
0:36.0,Defensive rebound by N. Noel,,56-83,,
0:27.0,D. Powell misses 2-pt shot from 4 ft (block by J. Okafor),,56-83,,
0:27.0,,,56-83,,Defensive rebound by Team
0:27.0,Loose ball foul by D. Powell (drawn by D. Saric),,56-83,,
0:27.0,,,56-84,1,D. Saric makes free throw 1 of 2
0:27.0,,,56-85,1,D. Saric makes free throw 2 of 2
0:27.0,S. Mejri enters the game for N. Noel,,56-84,,
0:13.0,D. Powell misses 3-pt shot from 25 ft,,56-85,,
0:12.0,,,56-85,,Defensive rebound by J. Anderson
0:02.0,,,56-87,2,J. Okafor makes 2-pt shot from 2 ft (assist by S. Rodriguez)
0:00.0,N. Brussino misses 3-pt shot from 58 ft,,56-87,,
0:00.0,Offensive rebound by Team,,56-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,56-89,2,J. Okafor makes 2-pt shot from 1 ft (assist by S. Rodriguez)
11:22.0,N. Brussino misses 3-pt shot from 26 ft,,56-89,,
11:19.0,,,56-89,,Defensive rebound by S. Rodriguez
11:18.0,Personal block foul by N. Brussino (drawn by S. Rodriguez),,56-89,,
11:02.0,,,56-92,3,S. Rodriguez makes 3-pt shot from 28 ft (assist by N. Stauskas)
10:43.0,M. Harris misses 2-pt shot from 16 ft,,56-92,,
10:41.0,Offensive rebound by Team,,56-92,,
10:31.0,D. Powell misses 2-pt shot from 17 ft,,56-92,,
10:30.0,,,56-92,,Defensive rebound by J. Okafor
10:05.0,,,56-92,,N. Stauskas misses 3-pt shot from 28 ft
10:04.0,Defensive rebound by S. Mejri,,56-92,,
9:54.0,Turnover by M. Harris (bad pass; steal by N. Stauskas),,56-92,,
9:50.0,Violation by S. Mejri (def goaltending),,56-92,,
9:50.0,,,56-94,2,J. Anderson makes 2-pt shot from 2 ft (assist by S. Rodriguez)
9:31.0,D. Finney-Smith misses 2-pt shot from 19 ft,,56-94,,
9:30.0,,,56-94,,Defensive rebound by J. Anderson
9:18.0,,,56-97,3,N. Stauskas makes 3-pt shot from 26 ft (assist by J. Anderson)
9:13.0,Dallas full timeout,,56-97,,
9:13.0,,,56-97,,Technical foul by J. Anderson
9:13.0,N. Brussino makes technical free throw,1,57-97,,
9:13.0,,,57-97,,S. Long enters the game for J. Anderson
9:13.0,,,57-97,,T. Luwawu-Cabarrot enters the game for D. Saric
9:01.0,M. Harris makes 2-pt shot from 1 ft (assist by D. Powell),2,59-97,,
8:49.0,,,59-97,,Turnover by S. Long (lost ball; steal by D. Finney-Smith)
8:46.0,D. Powell makes 2-pt shot at rim (assist by D. Finney-Smith),2,61-97,,
8:27.0,,,61-99,2,J. Okafor makes 2-pt shot from 10 ft
8:12.0,,,61-99,,Personal foul by T. Luwawu-Cabarrot (drawn by N. Brussino)
7:59.0,D. Powell makes 2-pt shot from 14 ft (assist by N. Brussino),2,63-99,,
7:48.0,Personal foul by D. Powell (drawn by S. Long),,63-99,,
7:30.0,,,63-99,,J. Okafor misses 2-pt shot from 20 ft
7:29.0,Defensive rebound by N. Brussino,,63-99,,
7:21.0,N. Brussino misses 2-pt shot from 15 ft,,63-99,,
7:20.0,,,63-99,,Defensive rebound by J. Okafor
7:19.0,,,63-99,,Turnover by J. Okafor (lost ball; steal by D. Finney-Smith)
7:08.0,,,63-99,,Personal foul by J. Okafor (drawn by D. Finney-Smith)
7:03.0,M. Harris misses 2-pt shot from 18 ft,,63-99,,
7:02.0,Offensive rebound by Team,,63-99,,
6:54.0,D. Finney-Smith misses 3-pt shot from 25 ft,,63-99,,
6:51.0,,,63-99,,Defensive rebound by S. Long
6:35.0,,,63-99,,Offensive foul by J. Okafor
6:35.0,,,63-99,,Turnover by J. Okafor (offensive foul)
6:35.0,,,63-99,,J. Anderson enters the game for J. Okafor
6:15.0,D. Powell misses 3-pt shot from 25 ft,,63-99,,
6:14.0,Offensive rebound by Team,,63-99,,
6:14.0,,,63-99,,Loose ball foul by J. Anderson (drawn by D. Powell)
6:01.0,Shooting foul by T. Luwawu-Cabarrot (drawn by S. Mejri),,63-99,,
6:01.0,S. Mejri misses free throw 1 of 2,,63-99,,
6:01.0,Offensive rebound by Team,,63-99,,
6:01.0,S. Mejri misses free throw 2 of 2,,63-99,,
6:00.0,,,63-99,,Defensive rebound by S. Rodriguez
5:43.0,,,63-99,,N. Stauskas misses 3-pt shot from 26 ft
5:42.0,Defensive rebound by M. Harris,,63-99,,
5:33.0,S. Mejri misses 2-pt shot from 2 ft,,63-99,,
5:30.0,,,63-99,,Defensive rebound by S. Long
5:27.0,,,63-101,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by S. Long)
5:07.0,S. Mejri makes 2-pt shot from 1 ft,2,65-101,,
5:06.0,,,65-101,,Philadelphia full timeout
4:46.0,,,65-103,2,S. Rodriguez makes 2-pt shot from 3 ft (assist by J. Anderson)
