time,LA Clippers,pts.away,score,pts.home,Phoenix
8:37.0,D. Jordan makes 2-pt shot at rim,2,8-10,,
8:29.0,,,8-12,2,D. Booker makes 2-pt shot from 1 ft (assist by T. Ulis)
8:29.0,,,8-12,,Shooting foul by J. Redick (drawn by D. Booker)
8:29.0,,,8-13,1,D. Booker makes free throw 1 of 1
8:17.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,11-13,,
7:54.0,,,11-15,2,D. Booker makes 2-pt shot from 19 ft
7:40.0,J. Redick misses 3-pt shot from 25 ft,,11-15,,
7:40.0,Offensive rebound by C. Paul,,11-15,,
7:27.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,11-15,,
7:27.0,Offensive rebound by D. Jordan,,11-15,,
7:22.0,C. Paul makes 3-pt shot from 25 ft (assist by D. Jordan),3,14-15,,
7:14.0,,,14-15,,T. Ulis misses 2-pt shot from 3 ft (block by D. Jordan)
7:14.0,,,14-15,,Offensive rebound by Team
7:05.0,,,14-15,,T. Warren misses 2-pt shot from 18 ft
7:03.0,Defensive rebound by D. Jordan,,14-15,,
7:00.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,16-15,,
7:00.0,,,16-15,,Phoenix full timeout
6:51.0,,,16-15,,Turnover by A. Len (lost ball; steal by C. Paul)
6:45.0,Turnover by B. Griffin (bad pass),,16-15,,
6:34.0,,,16-15,,M. Chriss misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by D. Jordan,,16-15,,
6:23.0,C. Paul makes 2-pt shot from 20 ft,2,18-15,,
6:11.0,,,18-17,2,D. Booker makes 2-pt shot from 19 ft
5:54.0,J. Redick misses 2-pt shot from 19 ft,,18-17,,
5:54.0,,,18-17,,Defensive rebound by T. Ulis
5:43.0,,,18-17,,Turnover by T. Ulis (bad pass; steal by L. Mbah a Moute)
5:42.0,,,18-17,,Personal foul by A. Len (drawn by L. Mbah a Moute)
5:42.0,,,18-17,,A. Williams enters the game for A. Len
5:20.0,Shooting foul by A. Williams,,18-17,,
5:20.0,J. Redick makes free throw 1 of 2,1,19-17,,
5:20.0,J. Redick misses free throw 2 of 2,,19-17,,
5:20.0,,,19-17,,Defensive rebound by A. Williams
5:08.0,,,19-20,3,M. Chriss makes 3-pt shot from 26 ft (assist by D. Booker)
4:59.0,C. Paul misses 2-pt shot from 14 ft,,19-20,,
4:58.0,,,19-20,,Defensive rebound by T. Warren
4:53.0,,,19-20,,Turnover by T. Warren (dbl dribble)
4:42.0,B. Griffin misses 2-pt shot from 7 ft,,19-20,,
4:40.0,,,19-20,,Defensive rebound by A. Williams
4:35.0,,,19-22,2,M. Chriss makes 2-pt shot from 2 ft (assist by T. Ulis)
4:18.0,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul),2,21-22,,
4:09.0,,,21-24,2,D. Booker makes 2-pt shot at rim
4:02.0,LA Clippers full timeout,,21-24,,
4:02.0,P. Pierce enters the game for L. Mbah a Moute,,21-24,,
4:02.0,J. Crawford enters the game for B. Griffin,,21-24,,
4:02.0,R. Felton enters the game for J. Redick,,21-24,,
3:52.0,D. Jordan misses 2-pt shot at rim,,21-24,,
3:51.0,,,21-24,,Defensive rebound by T. Warren
3:37.0,,,21-24,,T. Ulis misses 2-pt shot from 19 ft
3:37.0,Defensive rebound by R. Felton,,21-24,,
3:26.0,P. Pierce misses 2-pt shot from 20 ft,,21-24,,
3:24.0,,,21-24,,Defensive rebound by T. Warren
3:18.0,,,21-24,,D. Booker misses 2-pt shot from 1 ft
3:16.0,Defensive rebound by P. Pierce,,21-24,,
3:05.0,J. Crawford misses 2-pt shot from 16 ft (block by T. Warren),,21-24,,
3:05.0,Offensive rebound by Team,,21-24,,
3:05.0,M. Speights enters the game for D. Jordan,,21-24,,
3:05.0,A. Anderson enters the game for C. Paul,,21-24,,
3:01.0,M. Speights makes 2-pt shot from 22 ft (assist by R. Felton),2,23-24,,
2:48.0,,,23-26,2,A. Williams makes 2-pt shot from 5 ft (assist by M. Chriss)
2:24.0,M. Speights makes 3-pt shot from 23 ft (assist by R. Felton),3,26-26,,
2:10.0,,,26-28,2,T. Ulis makes 2-pt shot from 9 ft
1:48.0,R. Felton makes 2-pt shot from 2 ft,2,28-28,,
1:32.0,,,28-30,2,D. Booker makes 2-pt shot at rim (assist by M. Chriss)
1:17.0,P. Pierce makes 3-pt shot from 25 ft (assist by R. Felton),3,31-30,,
0:59.0,,,31-33,3,M. Chriss makes 3-pt shot from 24 ft (assist by D. Booker)
0:37.0,,,31-33,,J. Dudley enters the game for M. Chriss
0:37.0,,,31-33,,R. Price enters the game for T. Ulis
0:37.0,Jump ball: M. Speights vs. A. Williams (A. Anderson gains possession),,,,Jump ball: M. Speights vs. A. Williams (A. Anderson gains possession)
0:35.0,A. Anderson misses 3-pt shot from 27 ft,,31-33,,
0:35.0,Offensive rebound by Team,,31-33,,
0:35.0,Turnover by Team (shot clock),,31-33,,
0:14.0,,,31-33,,D. Booker misses 3-pt shot from 24 ft
0:13.0,,,31-33,,Offensive rebound by A. Williams
0:10.0,,,31-33,,A. Williams misses 2-pt shot from 2 ft
0:10.0,,,31-33,,Offensive rebound by T. Warren
0:10.0,,,31-35,2,T. Warren makes 2-pt shot from 1 ft
0:01.0,Turnover by P. Pierce (bad pass),,31-35,,
0:00.0,,,31-35,,R. Price misses 3-pt shot from 37 ft (block by M. Speights)
0:00.0,,,31-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,31-37,2,T. Warren makes 2-pt shot from 12 ft
11:27.0,J. Crawford makes 2-pt shot from 18 ft,2,33-37,,
11:01.0,,,33-37,,R. Price misses 3-pt shot from 31 ft
10:59.0,,,33-37,,Offensive rebound by J. Dudley
10:58.0,,,33-37,,Shooting foul by P. Pierce (drawn by D. Jones)
10:58.0,,,33-38,1,D. Jones makes free throw 1 of 2
10:58.0,,,33-39,1,D. Jones makes free throw 2 of 2
10:58.0,B. Griffin enters the game for P. Pierce,,33-38,,
10:58.0,J. Redick enters the game for A. Anderson,,33-38,,
10:44.0,Shooting foul by T. Warren (drawn by J. Crawford),,33-39,,
10:44.0,J. Crawford makes free throw 1 of 3,1,34-39,,
10:44.0,J. Crawford makes free throw 2 of 3,1,35-39,,
10:44.0,J. Crawford misses free throw 3 of 3,,35-39,,
10:43.0,,,35-39,,Defensive rebound by J. Dudley
10:25.0,,,35-39,,R. Price misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by M. Speights,,35-39,,
10:22.0,Turnover by M. Speights (bad pass; steal by D. Jones),,35-39,,
10:19.0,,,35-41,2,D. Jones makes 2-pt shot at rim
10:08.0,B. Griffin misses 2-pt shot at rim,,35-41,,
10:08.0,,,35-41,,Defensive rebound by A. Williams
10:01.0,,,35-41,,J. Dudley misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by M. Speights,,35-41,,
9:46.0,R. Felton makes 3-pt shot from 25 ft (assist by M. Speights),3,38-41,,
9:29.0,,,38-41,,T. Warren misses 2-pt shot from 20 ft
9:29.0,Defensive rebound by R. Felton,,38-41,,
9:08.0,B. Griffin makes 2-pt shot from 22 ft,2,40-41,,
9:04.0,,,40-41,,Phoenix full timeout
9:04.0,,,40-41,,T. Ulis enters the game for T. Warren
8:56.0,,,40-41,,A. Williams misses 2-pt shot from 6 ft
8:55.0,,,40-41,,Offensive rebound by D. Jones
8:55.0,,,40-43,2,D. Jones makes 2-pt shot from 1 ft
8:35.0,B. Griffin makes 2-pt shot from 19 ft,2,42-43,,
8:22.0,,,42-43,,R. Price misses 3-pt shot from 24 ft
8:22.0,Defensive rebound by M. Speights,,42-43,,
8:12.0,Offensive charge foul by B. Griffin,,42-43,,
8:12.0,Turnover by B. Griffin (offensive foul),,42-43,,
8:12.0,D. Jordan enters the game for M. Speights,,42-43,,
8:12.0,,,42-43,,M. Chriss enters the game for A. Williams
8:12.0,,,42-43,,D. Booker enters the game for R. Price
8:04.0,,,42-43,,M. Chriss misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by D. Jordan,,42-43,,
7:57.0,Shooting foul by D. Jones (drawn by J. Crawford),,42-43,,
7:57.0,J. Crawford makes 2-pt shot from 18 ft,2,44-43,,
7:57.0,J. Crawford makes free throw 1 of 1,1,45-43,,
7:39.0,,,45-43,,Turnover by M. Chriss (traveling)
7:26.0,R. Felton misses 2-pt shot from 19 ft,,45-43,,
7:25.0,,,45-43,,Defensive rebound by D. Booker
7:21.0,,,45-43,,Turnover by D. Booker (bad pass)
7:10.0,C. Paul enters the game for R. Felton,,45-43,,
7:02.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,47-43,,
6:46.0,,,47-43,,J. Dudley misses 3-pt shot from 24 ft
6:46.0,,,47-43,,Offensive rebound by D. Jones
6:40.0,,,47-45,2,J. Dudley makes 2-pt shot at rim (assist by D. Booker)
6:18.0,J. Crawford misses 2-pt shot from 19 ft,,47-45,,
6:17.0,,,47-45,,Defensive rebound by M. Chriss
6:04.0,,,47-48,3,J. Dudley makes 3-pt shot from 24 ft (assist by T. Ulis)
5:39.0,B. Griffin misses 2-pt shot from 18 ft,,47-48,,
5:39.0,,,47-48,,Defensive rebound by J. Dudley
5:35.0,,,47-48,,Shooting foul by J. Redick (drawn by D. Booker)
5:35.0,Official timeout,,47-48,,
5:35.0,,,47-49,1,D. Booker makes free throw 1 of 2
5:35.0,,,47-49,,D. Booker misses free throw 2 of 2
5:35.0,L. Mbah a Moute enters the game for J. Crawford,,47-48,,
5:34.0,Defensive rebound by B. Griffin,,47-49,,
5:25.0,,,47-49,,Personal block foul by J. Dudley (drawn by C. Paul)
5:14.0,J. Redick misses 2-pt shot from 23 ft,,47-49,,
5:13.0,Offensive rebound by D. Jordan,,47-49,,
5:13.0,D. Jordan misses 2-pt shot from 3 ft,,47-49,,
5:13.0,Offensive rebound by D. Jordan,,47-49,,
5:11.0,D. Jordan misses 2-pt shot at rim,,47-49,,
5:08.0,,,47-49,,Defensive rebound by D. Jones
5:03.0,,,47-51,2,J. Dudley makes 2-pt shot from 1 ft
4:48.0,B. Griffin makes 2-pt shot from 1 ft,2,49-51,,
4:34.0,,,49-53,2,D. Booker makes 2-pt shot at rim (assist by T. Ulis)
4:16.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,51-53,,
3:57.0,,,51-53,,D. Booker misses 2-pt shot from 20 ft
3:56.0,Defensive rebound by C. Paul,,51-53,,
3:54.0,,,51-53,,Personal foul by J. Dudley (drawn by B. Griffin)
3:54.0,,,51-53,,T. Warren enters the game for D. Jones
3:39.0,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin),3,54-53,,
3:33.0,,,54-55,2,D. Booker makes 2-pt shot from 5 ft (assist by T. Ulis)
3:33.0,,,54-55,,Shooting foul by J. Redick (drawn by D. Booker)
3:33.0,,,54-55,,D. Booker misses free throw 1 of 1
3:33.0,J. Crawford enters the game for J. Redick,,54-55,,
3:32.0,Defensive rebound by B. Griffin,,54-55,,
3:19.0,B. Griffin makes 3-pt shot from 25 ft (assist by C. Paul),3,57-55,,
3:09.0,,,57-55,,Technical foul by Team
3:09.0,C. Paul makes technical free throw,1,58-55,,
3:09.0,,,58-55,,Violation by Team (jump ball)
2:58.0,,,58-55,,J. Dudley misses 2-pt shot from 4 ft
2:56.0,Defensive rebound by D. Jordan,,58-55,,
2:46.0,C. Paul makes 2-pt shot from 18 ft,2,60-55,,
2:45.0,,,60-55,,Phoenix full timeout
2:45.0,LA Clippers full timeout,,60-55,,
2:22.0,,,60-55,,T. Ulis misses 3-pt shot from 27 ft
2:22.0,Defensive rebound by D. Jordan,,60-55,,
2:14.0,C. Paul misses 3-pt shot from 25 ft,,60-55,,
2:14.0,Offensive rebound by Team,,60-55,,
2:11.0,,,60-55,,A. Len enters the game for J. Dudley
2:01.0,Shooting foul by M. Chriss (drawn by D. Jordan),,60-55,,
2:01.0,D. Jordan misses free throw 1 of 2,,60-55,,
2:01.0,Offensive rebound by Team,,60-55,,
2:01.0,D. Jordan misses free throw 2 of 2,,60-55,,
2:01.0,,,60-55,,Defensive rebound by Team
1:50.0,,,60-55,,T. Warren misses 2-pt shot from 12 ft
1:49.0,,,60-55,,Offensive rebound by M. Chriss
1:45.0,,,60-55,,T. Ulis misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by B. Griffin,,60-55,,
1:42.0,Turnover by B. Griffin (lost ball; steal by T. Warren),,60-55,,
1:41.0,,,60-55,,Turnover by T. Warren (step out of bounds)
1:21.0,B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul),3,63-55,,
1:08.0,Personal foul by B. Griffin (drawn by D. Booker),,63-55,,
1:02.0,Personal foul by C. Paul (drawn by A. Len),,63-55,,
1:02.0,,,63-55,,A. Len misses free throw 1 of 2
1:02.0,,,63-55,,Offensive rebound by Team
1:02.0,,,63-56,1,A. Len makes free throw 2 of 2
1:02.0,P. Pierce enters the game for B. Griffin,,63-55,,
0:46.0,Shooting foul by T. Ulis (drawn by C. Paul),,63-56,,
0:46.0,C. Paul makes free throw 1 of 2,1,64-56,,
0:46.0,C. Paul misses free throw 2 of 2,,64-56,,
0:46.0,,,64-56,,Defensive rebound by A. Len
0:31.0,,,64-59,3,D. Booker makes 3-pt shot from 26 ft
0:09.0,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by P. Pierce),3,67-59,,
0:05.0,,,67-59,,Offensive charge foul by D. Booker
0:05.0,,,67-59,,Turnover by D. Booker (offensive foul)
0:05.0,LA Clippers full timeout,,67-59,,
0:05.0,R. Felton enters the game for L. Mbah a Moute,,67-59,,
0:00.0,C. Paul misses 3-pt shot from 25 ft,,67-59,,
0:00.0,Offensive rebound by Team,,67-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,67-61,2,D. Booker makes 2-pt shot from 14 ft
11:21.0,C. Paul makes 2-pt shot from 20 ft,2,69-61,,
10:56.0,,,69-63,2,M. Chriss makes 2-pt shot at rim
10:39.0,,,69-63,,Violation by M. Chriss (kicked ball)
10:29.0,J. Redick misses 3-pt shot from 25 ft,,69-63,,
10:29.0,,,69-63,,Defensive rebound by M. Chriss
10:18.0,,,69-63,,T. Ulis misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by L. Mbah a Moute,,69-63,,
10:00.0,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul),3,72-63,,
9:41.0,,,72-63,,D. Booker misses 2-pt shot from 17 ft
9:39.0,Defensive rebound by D. Jordan,,72-63,,
9:31.0,Shooting foul by T. Warren (drawn by L. Mbah a Moute),,72-63,,
9:31.0,L. Mbah a Moute misses free throw 1 of 2,,72-63,,
9:31.0,Offensive rebound by Team,,72-63,,
9:31.0,L. Mbah a Moute makes free throw 2 of 2,1,73-63,,
9:12.0,,,73-63,,Shooting foul by C. Paul (drawn by A. Len)
9:12.0,,,73-63,,A. Len misses free throw 1 of 2
9:12.0,,,73-63,,Offensive rebound by Team
9:12.0,,,73-64,1,A. Len makes free throw 2 of 2
8:59.0,B. Griffin makes 2-pt shot from 21 ft,2,75-64,,
8:44.0,,,75-64,,T. Warren misses 2-pt shot from 13 ft
8:44.0,Defensive rebound by D. Jordan,,75-64,,
8:32.0,C. Paul misses 2-pt shot from 14 ft,,75-64,,
8:32.0,,,75-64,,Defensive rebound by A. Len
8:22.0,,,75-66,2,T. Ulis makes 2-pt shot from 18 ft
7:55.0,C. Paul misses 2-pt shot from 13 ft,,75-66,,
7:55.0,,,75-66,,Defensive rebound by Team
7:47.0,,,75-69,3,D. Booker makes 3-pt shot from 25 ft
7:20.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,75-69,,
7:18.0,Offensive rebound by D. Jordan,,75-69,,
7:18.0,D. Jordan makes 2-pt shot from 1 ft,2,77-69,,
7:08.0,,,77-69,,D. Booker misses 3-pt shot from 25 ft
7:08.0,,,77-69,,Offensive rebound by Team
7:08.0,Loose ball foul by J. Redick,,77-69,,
7:08.0,J. Crawford enters the game for J. Redick,,77-69,,
7:00.0,,,77-71,2,T. Warren makes 2-pt shot from 12 ft (assist by T. Ulis)
6:44.0,L. Mbah a Moute makes 2-pt shot from 21 ft (assist by B. Griffin),2,79-71,,
6:33.0,,,79-71,,T. Warren misses 2-pt shot from 9 ft
6:33.0,Defensive rebound by B. Griffin,,79-71,,
6:29.0,,,79-71,,Shooting block foul by T. Ulis (drawn by C. Paul)
6:29.0,C. Paul makes free throw 1 of 2,1,80-71,,
6:29.0,C. Paul makes free throw 2 of 2,1,81-71,,
6:20.0,,,81-71,,D. Booker misses 2-pt shot from 2 ft (block by D. Jordan)
6:19.0,Defensive rebound by D. Jordan,,81-71,,
6:16.0,Turnover by D. Jordan (bad pass; steal by M. Chriss),,81-71,,
6:13.0,,,81-71,,D. Booker misses 3-pt shot from 24 ft
6:10.0,,,81-71,,Offensive rebound by Team
6:10.0,Loose ball foul by D. Jordan (drawn by A. Len),,81-71,,
6:05.0,,,81-73,2,A. Len makes 2-pt shot from 18 ft (assist by D. Booker)
5:42.0,Shooting foul by D. Booker (drawn by J. Crawford),,81-73,,
5:42.0,,,81-73,,Phoenix full timeout
5:42.0,J. Crawford misses free throw 1 of 2,,81-73,,
5:42.0,Offensive rebound by Team,,81-73,,
5:42.0,J. Crawford makes free throw 2 of 2,1,82-73,,
5:20.0,,,82-75,2,T. Ulis makes 2-pt shot from 1 ft
5:11.0,Turnover by C. Paul (dbl dribble),,82-75,,
4:57.0,,,82-75,,Turnover by M. Chriss (lost ball)
4:44.0,C. Paul makes 2-pt shot from 17 ft,2,84-75,,
4:33.0,,,84-75,,T. Warren misses 2-pt shot from 18 ft
4:33.0,Defensive rebound by B. Griffin,,84-75,,
4:20.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by D. Jordan),3,87-75,,
4:20.0,,,87-75,,Phoenix full timeout
4:10.0,,,87-77,2,T. Ulis makes 2-pt shot from 20 ft
3:57.0,C. Paul makes 2-pt shot from 10 ft,2,89-77,,
3:47.0,,,89-77,,M. Chriss misses 2-pt shot from 8 ft
3:43.0,,,89-77,,Offensive rebound by T. Warren
3:43.0,,,89-77,,T. Warren misses 2-pt shot at rim
3:39.0,,,89-77,,Offensive rebound by A. Len
3:39.0,,,89-79,2,A. Len makes 2-pt shot from 1 ft
3:27.0,C. Paul misses 3-pt shot from 25 ft,,89-79,,
3:26.0,,,89-79,,Defensive rebound by T. Ulis
3:15.0,,,89-81,2,T. Ulis makes 2-pt shot from 21 ft
2:49.0,J. Crawford makes 2-pt shot from 15 ft,2,91-81,,
2:36.0,,,91-83,2,A. Len makes 2-pt shot from 2 ft (assist by D. Booker)
2:25.0,Shooting foul by A. Len (drawn by J. Crawford),,91-83,,
2:25.0,LA Clippers full timeout,,91-83,,
2:25.0,J. Crawford makes free throw 1 of 2,1,92-83,,
2:25.0,J. Crawford makes free throw 2 of 2,1,93-83,,
2:25.0,,,91-83,,J. Dudley enters the game for M. Chriss
2:25.0,,,91-83,,A. Williams enters the game for A. Len
2:25.0,R. Felton enters the game for D. Jordan,,91-83,,
2:25.0,M. Speights enters the game for C. Paul,,91-83,,
2:12.0,,,93-85,2,A. Williams makes 2-pt shot from 6 ft (assist by T. Ulis)
1:45.0,R. Felton misses 3-pt shot from 25 ft,,93-85,,
1:45.0,,,93-85,,Defensive rebound by A. Williams
1:39.0,,,93-87,2,T. Warren makes 2-pt shot from 20 ft (assist by D. Booker)
1:14.0,B. Griffin misses 2-pt shot from 19 ft,,93-87,,
1:13.0,,,93-87,,Defensive rebound by T. Warren
1:02.0,,,93-87,,Turnover by T. Ulis (bad pass)
0:51.0,J. Crawford misses 3-pt shot from 26 ft,,93-87,,
0:51.0,,,93-87,,Defensive rebound by J. Dudley
0:41.0,Personal foul by R. Felton (drawn by A. Williams),,93-87,,
0:28.0,,,93-90,3,D. Booker makes 3-pt shot from 28 ft (assist by T. Ulis)
0:09.0,J. Crawford misses 2-pt shot from 19 ft,,93-90,,
0:07.0,,,93-90,,Defensive rebound by T. Ulis
0:01.0,,,93-90,,A. Williams misses 2-pt shot from 16 ft
0:00.0,,,93-90,,Offensive rebound by T. Warren
0:00.0,,,93-92,2,T. Warren makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Offensive foul by M. Speights,,93-92,,
11:45.0,Turnover by M. Speights (offensive foul),,93-92,,
11:38.0,,,93-92,,Shooting foul by R. Felton (drawn by A. Williams)
11:38.0,,,93-92,,A. Williams misses free throw 1 of 2
11:38.0,,,93-92,,Offensive rebound by Team
11:38.0,,,93-92,,A. Williams misses free throw 2 of 2
11:37.0,Defensive rebound by P. Pierce,,93-92,,
11:23.0,R. Felton makes 2-pt shot from 12 ft,2,95-92,,
11:08.0,,,95-92,,Turnover by J. Dudley (bad pass)
10:49.0,J. Crawford makes 2-pt shot from 19 ft,2,97-92,,
10:38.0,,,97-92,,J. Dudley misses 3-pt shot from 26 ft
10:37.0,,,97-92,,Offensive rebound by R. Price
10:32.0,,,97-95,3,D. Booker makes 3-pt shot from 25 ft
10:18.0,Turnover by R. Felton (lost ball; steal by R. Price),,97-95,,
10:12.0,,,97-95,,D. Jones misses 2-pt shot from 2 ft
10:11.0,,,97-95,,Offensive rebound by D. Jones
10:11.0,,,97-97,2,D. Jones makes 2-pt shot from 1 ft
10:05.0,,,97-97,,Personal foul by R. Price (drawn by R. Felton)
9:43.0,J. Crawford makes 3-pt shot from 25 ft (assist by P. Pierce),3,100-97,,
9:37.0,Personal block foul by M. Speights (drawn by D. Booker),,100-97,,
9:37.0,C. Paul enters the game for J. Redick,,100-97,,
9:23.0,,,100-97,,D. Booker misses 2-pt shot from 17 ft
9:22.0,,,100-97,,Offensive rebound by A. Williams
9:20.0,,,100-97,,A. Williams misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by M. Speights,,100-97,,
9:17.0,,,100-97,,Personal foul by D. Booker (drawn by P. Pierce)
9:05.0,J. Crawford makes 2-pt shot from 6 ft,2,102-97,,
9:04.0,,,102-97,,Phoenix full timeout
8:50.0,,,102-97,,Shooting foul by M. Speights (drawn by A. Williams)
8:50.0,,,102-98,1,A. Williams makes free throw 1 of 2
8:50.0,,,102-99,1,A. Williams makes free throw 2 of 2
8:24.0,R. Felton misses 3-pt shot from 28 ft,,102-99,,
8:24.0,,,102-99,,Defensive rebound by J. Dudley
8:18.0,,,102-99,,Shooting foul by R. Felton (drawn by D. Booker)
8:18.0,,,102-100,1,D. Booker makes free throw 1 of 2
8:18.0,,,102-100,,D. Booker misses free throw 2 of 2
8:18.0,D. Jordan enters the game for M. Speights,,102-100,,
8:18.0,B. Griffin enters the game for P. Pierce,,102-100,,
8:18.0,L. Mbah a Moute enters the game for J. Crawford,,102-100,,
8:13.0,Defensive rebound by B. Griffin,,102-100,,
8:00.0,R. Felton misses 2-pt shot from 20 ft,,102-100,,
7:59.0,,,102-100,,Defensive rebound by J. Dudley
7:51.0,,,102-102,2,D. Booker makes 2-pt shot from 1 ft
7:35.0,Shooting foul by J. Dudley (drawn by B. Griffin),,102-102,,
7:35.0,B. Griffin makes 2-pt shot from 8 ft,2,104-102,,
7:35.0,B. Griffin makes free throw 1 of 1,1,105-102,,
7:35.0,J. Redick enters the game for R. Felton,,104-102,,
7:11.0,,,105-102,,Turnover by D. Booker (lost ball; steal by B. Griffin)
7:11.0,,,105-102,,Personal foul by D. Booker (drawn by L. Mbah a Moute)
7:11.0,,,105-102,,T. Ulis enters the game for D. Jones
7:11.0,,,105-102,,T. Warren enters the game for D. Booker
7:01.0,C. Paul makes 2-pt shot from 10 ft,2,107-102,,
6:47.0,,,107-102,,R. Price misses 3-pt shot from 23 ft
6:47.0,Defensive rebound by D. Jordan,,107-102,,
6:45.0,,,107-102,,Personal foul by R. Price (drawn by C. Paul)
6:45.0,C. Paul makes free throw 1 of 2,1,108-102,,
6:45.0,C. Paul makes free throw 2 of 2,1,109-102,,
6:45.0,,,108-102,,D. Jones enters the game for R. Price
6:22.0,,,109-104,2,T. Ulis makes 2-pt shot from 10 ft
6:08.0,C. Paul makes 2-pt shot from 13 ft,2,111-104,,
5:58.0,,,111-104,,T. Ulis misses 2-pt shot from 18 ft
5:58.0,Defensive rebound by D. Jordan,,111-104,,
5:34.0,B. Griffin misses 2-pt shot from 19 ft,,111-104,,
5:33.0,,,111-104,,Defensive rebound by J. Dudley
5:14.0,,,111-104,,T. Warren misses 2-pt shot from 14 ft
5:14.0,Defensive rebound by C. Paul,,111-104,,
5:05.0,J. Redick misses 3-pt shot from 25 ft,,111-104,,
5:05.0,,,111-104,,Defensive rebound by A. Williams
5:02.0,,,111-104,,Shooting foul by D. Jordan
5:02.0,Official timeout,,111-104,,
5:02.0,,,111-105,1,T. Warren makes free throw 1 of 2
5:02.0,,,111-106,1,T. Warren makes free throw 2 of 2
5:02.0,,,111-104,,M. Chriss enters the game for A. Williams
5:02.0,,,111-104,,D. Booker enters the game for D. Jones
4:45.0,Shooting foul by D. Booker,,111-106,,
4:45.0,J. Redick makes free throw 1 of 2,1,112-106,,
4:45.0,J. Redick makes free throw 2 of 2,1,113-106,,
4:45.0,,,111-106,,D. Jones enters the game for D. Booker
4:34.0,,,113-108,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
4:25.0,,,113-108,,Personal foul by J. Dudley (drawn by B. Griffin)
