time,Portland,pts.away,score,pts.home,Washington
11:47.0,,,21-37,,Defensive rebound by T. Satoransky
11:35.0,,,21-39,2,T. Satoransky makes 2-pt shot at rim (assist by M. Morris)
11:35.0,,,21-39,,Shooting foul by A. Crabbe (drawn by T. Satoransky)
11:35.0,,,21-40,1,T. Satoransky makes free throw 1 of 1
11:18.0,M. Harkless misses 2-pt shot from 1 ft,,21-40,,
11:17.0,,,21-40,,Defensive rebound by T. Satoransky
10:56.0,,,21-42,2,K. Oubre makes 2-pt shot from 5 ft (assist by T. Burke)
10:44.0,A. Crabbe misses 2-pt shot from 17 ft,,21-42,,
10:43.0,,,21-42,,Defensive rebound by T. Satoransky
10:34.0,,,21-44,2,M. Morris makes 2-pt shot at rim (assist by T. Satoransky)
10:30.0,Portland full timeout,,21-44,,
10:30.0,M. Leonard enters the game for M. Harkless,,21-44,,
10:30.0,D. Lillard enters the game for A. Crabbe,,21-44,,
10:30.0,A. Aminu enters the game for E. Davis,,21-44,,
10:11.0,A. Aminu makes 2-pt shot from 9 ft (assist by D. Lillard),2,23-44,,
9:51.0,,,23-44,,J. Smith misses 2-pt shot from 17 ft
9:50.0,Defensive rebound by E. Turner,,23-44,,
9:30.0,A. Aminu misses 3-pt shot from 27 ft,,23-44,,
9:29.0,,,23-44,,Defensive rebound by K. Oubre
9:20.0,,,23-44,,Shooting foul by E. Turner (drawn by M. Morris)
9:20.0,,,23-45,1,M. Morris makes free throw 1 of 2
9:20.0,,,23-46,1,M. Morris makes free throw 2 of 2
9:03.0,C. McCollum misses 2-pt shot from 16 ft,,23-46,,
9:02.0,,,23-46,,Defensive rebound by T. Satoransky
8:55.0,,,23-49,3,T. Satoransky makes 3-pt shot from 27 ft (assist by T. Burke)
8:35.0,A. Aminu misses 2-pt shot from 11 ft,,23-49,,
8:34.0,Offensive rebound by Team,,23-49,,
8:28.0,A. Aminu makes 2-pt shot from 19 ft,2,25-49,,
8:11.0,,,25-51,2,T. Burke makes 2-pt shot from 13 ft (assist by M. Morris)
7:55.0,D. Lillard misses 2-pt shot from 1 ft (block by M. Morris),,25-51,,
7:54.0,,,25-51,,Defensive rebound by M. Morris
7:49.0,,,25-51,,T. Burke misses 3-pt shot from 28 ft
7:47.0,Defensive rebound by C. McCollum,,25-51,,
7:42.0,E. Turner misses 2-pt shot from 5 ft,,25-51,,
7:40.0,,,25-51,,Defensive rebound by T. Satoransky
7:37.0,,,25-51,,Turnover by K. Oubre (traveling)
7:20.0,,,25-51,,Personal foul by J. Smith
7:20.0,,,25-51,,J. Wall enters the game for T. Burke
7:20.0,,,25-51,,B. Beal enters the game for T. Satoransky
7:20.0,,,25-51,,M. Gortat enters the game for J. Smith
7:13.0,D. Lillard misses 3-pt shot from 28 ft,,25-51,,
7:13.0,,,25-51,,Defensive rebound by M. Gortat
6:58.0,,,25-51,,Shooting foul by C. McCollum (drawn by B. Beal)
6:58.0,,,25-52,1,B. Beal makes free throw 1 of 2
6:58.0,A. Crabbe enters the game for E. Turner,,25-52,,
6:58.0,,,25-53,1,B. Beal makes free throw 2 of 2
6:46.0,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum),2,27-53,,
6:34.0,,,27-53,,Shooting foul by C. McCollum (drawn by B. Beal)
6:34.0,,,27-54,1,B. Beal makes free throw 1 of 2
6:34.0,J. Layman enters the game for C. McCollum,,27-54,,
6:34.0,,,27-55,1,B. Beal makes free throw 2 of 2
6:26.0,Shooting foul by M. Morris (drawn by D. Lillard),,27-55,,
6:26.0,D. Lillard makes 2-pt shot from 3 ft,2,29-55,,
6:26.0,D. Lillard makes free throw 1 of 1,1,30-55,,
6:10.0,,,30-55,,M. Morris misses 3-pt shot from 22 ft
6:08.0,Defensive rebound by J. Layman,,30-55,,
5:57.0,A. Crabbe misses 3-pt shot from 30 ft,,30-55,,
5:56.0,Offensive rebound by A. Aminu,,30-55,,
5:42.0,A. Aminu misses 2-pt shot from 1 ft,,30-55,,
5:41.0,,,30-55,,Defensive rebound by M. Morris
5:35.0,,,30-57,2,J. Wall makes 2-pt shot at rim
5:34.0,Portland full timeout,,30-57,,
5:34.0,Official timeout,,30-57,,
5:20.0,J. Layman misses 3-pt shot from 26 ft,,30-57,,
5:19.0,,,30-57,,Defensive rebound by Team
5:12.0,,,30-57,,Turnover by J. Wall (bad pass)
5:12.0,M. Plumlee enters the game for M. Leonard,,30-57,,
5:00.0,D. Lillard makes 3-pt shot from 31 ft,3,33-57,,
4:43.0,,,33-59,2,B. Beal makes 2-pt shot from 2 ft
4:25.0,D. Lillard misses 3-pt shot from 27 ft,,33-59,,
4:24.0,,,33-59,,Defensive rebound by M. Morris
4:16.0,,,33-59,,M. Gortat misses 2-pt shot from 1 ft (block by M. Plumlee)
4:14.0,Defensive rebound by A. Aminu,,33-59,,
4:04.0,A. Crabbe makes 3-pt shot from 27 ft (assist by D. Lillard),3,36-59,,
3:51.0,,,36-61,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
3:34.0,M. Plumlee makes 2-pt shot from 7 ft (assist by A. Crabbe),2,38-61,,
3:34.0,Shooting foul by M. Morris (drawn by M. Plumlee),,38-61,,
3:34.0,,,38-61,,O. Porter enters the game for K. Oubre
3:34.0,N. Vonleh enters the game for A. Aminu,,38-61,,
3:34.0,M. Plumlee makes free throw 1 of 1,1,39-61,,
3:21.0,,,39-61,,J. Wall misses 3-pt shot from 28 ft
3:20.0,Defensive rebound by D. Lillard,,39-61,,
3:09.0,M. Plumlee misses 2-pt shot from 2 ft,,39-61,,
3:09.0,Offensive rebound by N. Vonleh,,39-61,,
3:06.0,Shooting foul by M. Gortat (drawn by N. Vonleh),,39-61,,
3:06.0,N. Vonleh makes free throw 1 of 2,1,40-61,,
3:06.0,,,40-61,,Washington full timeout
3:06.0,N. Vonleh misses free throw 2 of 2,,40-61,,
3:05.0,,,40-61,,Defensive rebound by M. Morris
2:51.0,,,40-61,,M. Gortat misses 2-pt shot from 7 ft
2:49.0,Defensive rebound by J. Layman,,40-61,,
2:38.0,J. Layman makes 2-pt shot from 2 ft (assist by M. Plumlee),2,42-61,,
2:31.0,,,42-64,3,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal)
2:12.0,A. Crabbe misses 3-pt shot from 26 ft,,42-64,,
2:11.0,,,42-64,,Defensive rebound by J. Wall
2:05.0,,,42-64,,J. Wall misses 2-pt shot at rim
2:03.0,Defensive rebound by M. Plumlee,,42-64,,
2:01.0,Turnover by M. Plumlee (lost ball; steal by B. Beal),,42-64,,
2:01.0,,,42-64,,Shooting foul by J. Layman (drawn by B. Beal)
2:01.0,,,42-65,1,B. Beal makes free throw 1 of 2
2:01.0,,,42-66,1,B. Beal makes free throw 2 of 2
1:45.0,Turnover by J. Layman (lost ball; steal by J. Wall),,42-66,,
1:41.0,,,42-68,2,J. Wall makes 2-pt shot at rim (assist by B. Beal)
1:23.0,D. Lillard misses 2-pt shot from 2 ft (block by M. Gortat),,42-68,,
1:22.0,,,42-68,,Defensive rebound by M. Morris
1:18.0,,,42-70,2,B. Beal makes 2-pt shot from 2 ft (assist by M. Morris)
1:02.0,Shooting foul by B. Beal (drawn by A. Crabbe),,42-70,,
1:02.0,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Lillard),2,44-70,,
1:02.0,A. Crabbe misses free throw 1 of 1,,44-70,,
1:01.0,Offensive rebound by N. Vonleh,,44-70,,
0:55.0,M. Plumlee makes 2-pt shot from 4 ft,2,46-70,,
0:45.0,,,46-70,,O. Porter misses 2-pt shot from 20 ft
0:44.0,,,46-70,,Offensive rebound by B. Beal
0:41.0,,,46-70,,B. Beal misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by A. Crabbe,,46-70,,
0:36.0,Shooting foul by M. Gortat (drawn by D. Lillard),,46-70,,
0:36.0,D. Lillard makes free throw 1 of 2,1,47-70,,
0:36.0,,,47-70,,J. Smith enters the game for M. Gortat
0:36.0,D. Lillard makes free throw 2 of 2,1,48-70,,
0:31.0,,,48-70,,Shooting foul by M. Plumlee (drawn by J. Wall)
0:31.0,,,48-71,1,J. Wall makes free throw 1 of 2
0:31.0,M. Leonard enters the game for M. Plumlee,,48-71,,
0:31.0,,,48-72,1,J. Wall makes free throw 2 of 2
0:18.0,,,48-72,,Personal block foul by J. Smith
0:18.0,D. Lillard makes free throw 1 of 2,1,49-72,,
0:18.0,A. Aminu enters the game for M. Leonard,,49-72,,
0:18.0,,,49-72,,Washington full timeout
0:18.0,D. Lillard makes free throw 2 of 2,1,50-72,,
0:02.0,,,50-75,3,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,M. Harkless misses 3-pt shot from 26 ft,,50-75,,
11:36.0,,,50-75,,Defensive rebound by M. Morris
11:16.0,,,50-75,,Turnover by O. Porter (bad pass; steal by C. McCollum)
11:09.0,C. McCollum misses 2-pt shot from 4 ft,,50-75,,
11:08.0,,,50-75,,Defensive rebound by M. Gortat
11:00.0,,,50-75,,Turnover by J. Wall (bad pass; steal by M. Plumlee)
10:46.0,D. Lillard misses 2-pt shot from 17 ft,,50-75,,
10:45.0,,,50-75,,Defensive rebound by M. Gortat
10:37.0,,,50-75,,Shooting foul by D. Lillard (drawn by M. Morris)
10:37.0,,,50-76,1,M. Morris makes free throw 1 of 2
10:37.0,,,50-77,1,M. Morris makes free throw 2 of 2
10:14.0,A. Aminu misses 2-pt shot from 11 ft,,50-77,,
10:13.0,Offensive rebound by C. McCollum,,50-77,,
10:09.0,D. Lillard makes 3-pt shot from 31 ft (assist by C. McCollum),3,53-77,,
9:49.0,,,53-77,,M. Gortat misses 2-pt shot from 3 ft (block by C. McCollum)
9:47.0,Defensive rebound by M. Plumlee,,53-77,,
9:42.0,M. Harkless misses 2-pt shot from 3 ft,,53-77,,
9:40.0,Offensive rebound by A. Aminu,,53-77,,
9:39.0,A. Aminu makes 2-pt shot from 2 ft,2,55-77,,
9:17.0,,,55-77,,J. Wall misses 2-pt shot from 19 ft
9:16.0,Defensive rebound by A. Aminu,,55-77,,
9:07.0,M. Plumlee misses 2-pt shot from 3 ft (block by M. Morris),,55-77,,
9:06.0,,,55-77,,Defensive rebound by O. Porter
9:06.0,Personal foul by M. Harkless,,55-77,,
9:06.0,,,55-77,,Technical foul by M. Gortat
9:06.0,D. Lillard makes technical free throw,1,56-77,,
8:57.0,Violation by M. Plumlee (def goaltending),,56-77,,
8:57.0,,,56-79,2,J. Wall makes 2-pt shot from 1 ft
8:45.0,C. McCollum makes 2-pt shot from 10 ft,2,58-79,,
8:29.0,,,58-79,,B. Beal misses 2-pt shot from 18 ft
8:28.0,Defensive rebound by D. Lillard,,58-79,,
8:12.0,C. McCollum makes 2-pt shot from 17 ft (assist by A. Aminu),2,60-79,,
7:56.0,,,60-82,3,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal)
7:49.0,Shooting foul by B. Beal (drawn by C. McCollum),,60-82,,
7:49.0,C. McCollum misses free throw 1 of 2,,60-82,,
7:49.0,Offensive rebound by Team,,60-82,,
7:49.0,C. McCollum makes free throw 2 of 2,1,61-82,,
7:34.0,,,61-84,2,M. Gortat makes 2-pt shot from 10 ft
7:13.0,C. McCollum makes 2-pt shot from 14 ft,2,63-84,,
6:56.0,,,63-86,2,M. Morris makes 2-pt shot from 10 ft
6:41.0,Turnover by M. Plumlee (bad pass; steal by M. Morris),,63-86,,
6:36.0,,,63-88,2,J. Wall makes 2-pt shot at rim (assist by M. Morris)
6:10.0,C. McCollum misses 3-pt shot from 30 ft,,63-88,,
6:09.0,,,63-88,,Defensive rebound by B. Beal
5:56.0,,,63-91,3,J. Wall makes 3-pt shot from 29 ft
5:55.0,Portland full timeout,,63-91,,
5:36.0,Shooting foul by M. Morris (drawn by M. Plumlee),,63-91,,
5:36.0,M. Plumlee makes free throw 1 of 2,1,64-91,,
5:36.0,M. Plumlee makes free throw 2 of 2,1,65-91,,
5:16.0,,,65-93,2,M. Morris makes 2-pt shot from 2 ft (assist by B. Beal)
5:11.0,Turnover by D. Lillard (bad pass),,65-93,,
4:53.0,,,65-93,,M. Morris misses 2-pt shot from 17 ft
4:52.0,,,65-93,,Offensive rebound by M. Gortat
4:50.0,,,65-93,,Turnover by M. Gortat (bad pass; steal by M. Harkless)
4:44.0,D. Lillard misses 3-pt shot from 31 ft,,65-93,,
4:43.0,,,65-93,,Defensive rebound by J. Wall
4:24.0,,,65-95,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:06.0,A. Crabbe enters the game for A. Aminu,,65-95,,
4:06.0,M. Leonard enters the game for M. Harkless,,65-95,,
4:06.0,E. Turner enters the game for M. Plumlee,,65-95,,
4:06.0,S. Napier enters the game for C. McCollum,,65-95,,
4:06.0,N. Vonleh enters the game for D. Lillard,,65-95,,
4:06.0,,,65-95,,T. Burke enters the game for J. Wall
4:02.0,M. Leonard misses 3-pt shot from 27 ft,,65-95,,
4:02.0,,,65-95,,Defensive rebound by O. Porter
3:53.0,,,65-95,,B. Beal misses 2-pt shot from 18 ft
3:52.0,Defensive rebound by S. Napier,,65-95,,
3:39.0,Turnover by S. Napier (lost ball),,65-95,,
3:22.0,,,65-95,,T. Burke misses 2-pt shot from 20 ft
3:22.0,Defensive rebound by M. Leonard,,65-95,,
3:06.0,E. Turner makes 2-pt shot from 16 ft,2,67-95,,
2:50.0,,,67-97,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
2:37.0,S. Napier makes 2-pt shot from 15 ft,2,69-97,,
2:28.0,,,69-97,,Turnover by B. Beal (lost ball)
2:28.0,,,69-97,,Washington full timeout
2:28.0,,,69-97,,K. Oubre enters the game for M. Morris
2:27.0,,,69-97,,T. Satoransky enters the game for B. Beal
2:08.0,M. Leonard makes 2-pt shot from 1 ft,2,71-97,,
1:51.0,,,71-99,2,T. Burke makes 2-pt shot from 18 ft
1:31.0,M. Leonard misses 2-pt shot from 16 ft,,71-99,,
1:30.0,,,71-99,,Defensive rebound by O. Porter
1:23.0,,,71-99,,T. Burke misses 2-pt shot from 16 ft
1:21.0,,,71-99,,Offensive rebound by T. Satoransky
1:13.0,,,71-99,,Turnover by T. Satoransky (lost ball; steal by S. Napier)
1:10.0,S. Napier makes 2-pt shot from 2 ft (assist by N. Vonleh),2,73-99,,
0:47.0,,,73-99,,K. Oubre misses 3-pt shot from 23 ft
0:46.0,,,73-99,,Offensive rebound by M. Gortat
0:45.0,,,73-99,,M. Gortat misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by N. Vonleh,,73-99,,
0:31.0,N. Vonleh makes 2-pt shot from 17 ft (assist by A. Crabbe),2,75-99,,
0:20.0,Personal foul by A. Crabbe,,75-99,,
0:08.0,,,75-99,,T. Burke misses 2-pt shot from 17 ft
0:08.0,,,75-99,,Offensive rebound by T. Satoransky
0:08.0,,,75-101,2,T. Satoransky makes 2-pt shot from 2 ft
0:01.0,N. Vonleh makes 2-pt shot at rim (assist by S. Napier),2,77-101,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Personal foul by N. Vonleh,,77-101,,
11:37.0,,,77-101,,T. Satoransky misses 3-pt shot from 26 ft
11:36.0,Defensive rebound by N. Vonleh,,77-101,,
11:25.0,E. Turner makes 2-pt shot from 16 ft,2,79-101,,
10:57.0,,,79-101,,J. Smith misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by N. Vonleh,,79-101,,
10:46.0,E. Turner makes 3-pt shot from 25 ft (assist by M. Leonard),3,82-101,,
10:25.0,,,82-101,,O. Porter misses 3-pt shot from 26 ft
10:24.0,,,82-101,,Offensive rebound by K. Oubre
10:17.0,,,82-103,2,O. Porter makes 2-pt shot from 19 ft
10:00.0,N. Vonleh misses 2-pt shot from 18 ft,,82-103,,
9:59.0,,,82-103,,Defensive rebound by O. Porter
9:43.0,,,82-103,,Turnover by T. Satoransky (bad pass)
9:34.0,,,82-103,,Personal foul by J. Smith
9:25.0,M. Leonard makes 2-pt shot at rim (assist by E. Turner),2,84-103,,
9:25.0,,,84-103,,Washington full timeout
9:25.0,,,84-103,,M. Morris enters the game for O. Porter
9:11.0,,,84-103,,Turnover by T. Burke (lost ball; steal by S. Napier)
9:07.0,S. Napier misses 2-pt shot from 3 ft,,84-103,,
9:06.0,,,84-103,,Defensive rebound by J. Smith
8:49.0,,,84-103,,Turnover by K. Oubre (step out of bounds)
8:27.0,E. Turner makes 2-pt shot from 13 ft,2,86-103,,
8:04.0,,,86-105,2,J. Smith makes 2-pt shot from 7 ft (assist by K. Oubre)
7:51.0,S. Napier misses 3-pt shot from 27 ft,,86-105,,
7:50.0,,,86-105,,Defensive rebound by T. Satoransky
7:40.0,,,86-105,,J. Smith misses 2-pt shot from 18 ft
7:39.0,Defensive rebound by M. Leonard,,86-105,,
7:28.0,Shooting foul by J. Smith (drawn by N. Vonleh),,86-105,,
7:28.0,N. Vonleh makes free throw 1 of 2,1,87-105,,
7:28.0,,,87-105,,J. Wall enters the game for T. Burke
7:28.0,,,87-105,,B. Beal enters the game for T. Satoransky
7:28.0,N. Vonleh misses free throw 2 of 2,,87-105,,
7:27.0,,,87-105,,Defensive rebound by M. Morris
7:09.0,,,87-107,2,M. Morris makes 2-pt shot from 18 ft
6:49.0,E. Turner makes 3-pt shot from 26 ft (assist by A. Crabbe),3,90-107,,
6:29.0,,,90-107,,Shooting foul by M. Leonard (drawn by B. Beal)
6:29.0,,,90-108,1,B. Beal makes free throw 1 of 2
6:29.0,,,90-109,1,B. Beal makes free throw 2 of 2
6:11.0,S. Napier misses 3-pt shot from 25 ft,,90-109,,
6:10.0,Offensive rebound by M. Leonard,,90-109,,
6:08.0,M. Leonard makes 2-pt shot from 2 ft,2,92-109,,
6:08.0,Violation by Team (jump ball),,92-109,,
6:00.0,Personal foul by A. Crabbe,,92-109,,
5:51.0,,,92-109,,M. Morris misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by E. Turner,,92-109,,
5:50.0,,,92-109,,Personal foul by K. Oubre
5:49.0,Official timeout,,92-109,,
5:35.0,A. Crabbe misses 2-pt shot from 21 ft,,92-109,,
5:33.0,Offensive rebound by A. Crabbe,,92-109,,
5:25.0,,,92-109,,Personal foul by K. Oubre
5:15.0,E. Turner misses 2-pt shot from 1 ft,,92-109,,
5:14.0,,,92-109,,Defensive rebound by M. Morris
4:56.0,,,92-112,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
4:43.0,Turnover by E. Turner (lost ball; steal by B. Beal),,92-112,,
4:39.0,,,92-114,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
4:39.0,Portland full timeout,,92-114,,
4:39.0,,,92-114,,T. Satoransky enters the game for M. Morris
4:39.0,,,92-114,,S. Mac enters the game for B. Beal
4:39.0,,,92-114,,T. Burke enters the game for J. Wall
4:39.0,J. Layman enters the game for A. Crabbe,,92-114,,
4:39.0,P. Connaughton enters the game for E. Turner,,92-114,,
4:26.0,N. Vonleh makes 2-pt shot at rim,2,94-114,,
4:09.0,,,94-114,,K. Oubre misses 2-pt shot from 19 ft
4:07.0,,,94-114,,Offensive rebound by J. Smith
4:05.0,,,94-116,2,K. Oubre makes 2-pt shot from 1 ft (assist by J. Smith)
4:05.0,,,94-116,,Shooting foul by P. Connaughton (drawn by K. Oubre)
4:05.0,,,94-117,1,K. Oubre makes free throw 1 of 1
