time,Brooklyn,pts.away,score,pts.home,Boston
8:20.0,Personal foul by R. Hollis-Jefferson (drawn by A. Horford),,7-7,,
8:13.0,,,7-9,2,A. Johnson makes 2-pt shot at rim (assist by A. Horford)
7:49.0,R. Hollis-Jefferson misses 2-pt shot from 18 ft,,7-9,,
7:48.0,,,7-9,,Defensive rebound by J. Crowder
7:40.0,,,7-11,2,A. Horford makes 2-pt shot from 10 ft (assist by J. Crowder)
7:27.0,B. Lopez misses 3-pt shot from 25 ft,,7-11,,
7:26.0,,,7-11,,Defensive rebound by A. Bradley
7:16.0,,,7-11,,Turnover by I. Thomas (step out of bounds)
6:57.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,7-11,,
6:56.0,,,7-11,,Defensive rebound by A. Johnson
6:46.0,,,7-13,2,I. Thomas makes 2-pt shot from 1 ft
6:46.0,Brooklyn full timeout,,7-13,,
6:33.0,,,7-13,,Personal foul by A. Bradley (drawn by J. Lin)
6:25.0,J. Lin makes 2-pt shot from 14 ft,2,9-13,,
5:59.0,,,9-13,,A. Horford misses 2-pt shot from 17 ft
5:58.0,Defensive rebound by C. LeVert,,9-13,,
5:43.0,J. Lin misses 3-pt shot from 25 ft,,9-13,,
5:42.0,,,9-13,,Defensive rebound by A. Horford
5:31.0,,,9-13,,A. Horford misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by C. LeVert,,9-13,,
5:24.0,Turnover by C. LeVert (bad pass; steal by A. Horford),,9-13,,
5:18.0,,,9-13,,A. Bradley misses 3-pt shot from 26 ft
5:17.0,,,9-13,,Offensive rebound by A. Horford
5:09.0,,,9-13,,J. Crowder misses 2-pt shot from 18 ft
5:08.0,,,9-13,,Offensive rebound by A. Bradley
5:08.0,,,9-15,2,A. Bradley makes 2-pt shot from 2 ft
4:55.0,C. LeVert misses 3-pt shot from 26 ft,,9-15,,
4:54.0,,,9-15,,Defensive rebound by J. Crowder
4:45.0,,,9-15,,Turnover by I. Thomas (bad pass)
4:45.0,S. Dinwiddie enters the game for R. Foye,,9-15,,
4:45.0,I. Whitehead enters the game for C. LeVert,,9-15,,
4:45.0,,,9-15,,M. Smart enters the game for J. Crowder
4:45.0,,,9-15,,K. Olynyk enters the game for A. Johnson
4:37.0,Turnover by J. Lin (bad pass),,9-15,,
4:22.0,,,9-18,3,A. Bradley makes 3-pt shot from 25 ft (assist by K. Olynyk)
4:10.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,9-18,,
4:08.0,Offensive rebound by J. Lin,,9-18,,
3:58.0,Shooting foul by K. Olynyk (drawn by J. Lin),,9-18,,
3:58.0,J. Lin makes free throw 1 of 2,1,10-18,,
3:58.0,J. Lin makes free throw 2 of 2,1,11-18,,
3:58.0,,,10-18,,J. Brown enters the game for A. Bradley
3:58.0,J. Hamilton enters the game for R. Hollis-Jefferson,,10-18,,
3:46.0,,,11-18,,I. Thomas misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by J. Hamilton,,11-18,,
3:29.0,J. Lin misses 2-pt shot from 8 ft,,11-18,,
3:28.0,,,11-18,,Defensive rebound by K. Olynyk
3:20.0,,,11-18,,Turnover by J. Brown (bad pass; steal by I. Whitehead)
3:17.0,S. Dinwiddie misses 2-pt shot from 2 ft,,11-18,,
3:16.0,Offensive rebound by Team,,11-18,,
3:16.0,A. Goodwin enters the game for B. Lopez,,11-18,,
3:16.0,A. Nicholson enters the game for J. Lin,,11-18,,
3:16.0,,,11-18,,J. Jerebko enters the game for A. Horford
3:13.0,A. Nicholson misses 3-pt shot from 26 ft,,11-18,,
3:12.0,,,11-18,,Defensive rebound by J. Jerebko
3:01.0,,,11-18,,Shooting foul by A. Nicholson (drawn by K. Olynyk)
3:01.0,,,11-19,1,K. Olynyk makes free throw 1 of 2
3:01.0,,,11-20,1,K. Olynyk makes free throw 2 of 2
3:01.0,,,11-19,,T. Rozier enters the game for I. Thomas
2:43.0,Turnover by A. Goodwin (traveling),,11-20,,
2:43.0,,,11-20,,Boston full timeout
2:30.0,,,11-20,,K. Olynyk misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by S. Dinwiddie,,11-20,,
2:23.0,Turnover by A. Nicholson (lost ball),,11-20,,
2:08.0,,,11-20,,M. Smart misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by A. Goodwin,,11-20,,
1:59.0,A. Goodwin misses 2-pt shot from 2 ft,,11-20,,
1:58.0,,,11-20,,Defensive rebound by J. Jerebko
1:51.0,,,11-23,3,M. Smart makes 3-pt shot from 25 ft (assist by K. Olynyk)
1:50.0,Brooklyn full timeout,,11-23,,
1:33.0,,,11-23,,Violation by T. Rozier (kicked ball)
1:27.0,Shooting foul by M. Smart (drawn by S. Dinwiddie),,11-23,,
1:27.0,S. Dinwiddie makes free throw 1 of 2,1,12-23,,
1:27.0,S. Dinwiddie makes free throw 2 of 2,1,13-23,,
1:17.0,,,13-23,,J. Jerebko misses 2-pt shot from 3 ft
1:16.0,,,13-23,,Offensive rebound by J. Jerebko
1:16.0,,,13-23,,J. Jerebko misses 2-pt shot from 2 ft
1:14.0,,,13-23,,Offensive rebound by T. Rozier
1:07.0,,,13-25,2,K. Olynyk makes 2-pt shot from 10 ft (assist by J. Jerebko)
0:50.0,J. Hamilton misses 2-pt shot from 15 ft,,13-25,,
0:49.0,,,13-25,,Defensive rebound by T. Rozier
0:41.0,,,13-25,,J. Brown misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by S. Dinwiddie,,13-25,,
0:32.0,A. Nicholson misses 3-pt shot from 25 ft,,13-25,,
0:31.0,,,13-25,,Defensive rebound by J. Jerebko
0:16.0,K. McDaniels enters the game for S. Dinwiddie,,13-25,,
0:14.0,,,13-28,3,J. Jerebko makes 3-pt shot from 24 ft (assist by J. Brown)
0:01.0,K. McDaniels misses 3-pt shot from 24 ft,,13-28,,
0:00.0,Offensive rebound by J. Hamilton,,13-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,13-28,,T. Rozier misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by K. McDaniels,,13-28,,
11:32.0,Turnover by K. McDaniels (bad pass; steal by T. Rozier),,13-28,,
11:26.0,,,13-30,2,T. Rozier makes 2-pt shot at rim
11:15.0,,,13-30,,Personal foul by J. Jerebko (drawn by A. Goodwin)
10:58.0,A. Goodwin makes 3-pt shot from 26 ft (assist by I. Whitehead),3,16-30,,
10:41.0,,,16-30,,J. Brown misses 2-pt shot from 2 ft
10:40.0,Defensive rebound by A. Nicholson,,16-30,,
10:30.0,A. Goodwin misses 2-pt shot from 18 ft,,16-30,,
10:29.0,,,16-30,,Defensive rebound by K. Olynyk
10:21.0,,,16-33,3,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart)
10:06.0,Shooting foul by J. Jerebko,,16-33,,
10:06.0,K. McDaniels makes free throw 1 of 2,1,17-33,,
10:06.0,K. McDaniels misses free throw 2 of 2,,17-33,,
10:06.0,,,17-33,,Defensive rebound by K. Olynyk
10:06.0,,,17-33,,J. Crowder enters the game for J. Jerebko
9:48.0,,,17-35,2,K. Olynyk makes 2-pt shot from 18 ft (assist by T. Rozier)
9:34.0,J. Hamilton makes 2-pt shot from 1 ft (assist by I. Whitehead),2,19-35,,
9:15.0,,,19-35,,M. Smart misses 3-pt shot from 25 ft
9:14.0,,,19-35,,Offensive rebound by Team
9:14.0,Loose ball foul by A. Nicholson (drawn by K. Olynyk),,19-35,,
9:14.0,R. Hollis-Jefferson enters the game for A. Nicholson,,19-35,,
9:09.0,,,19-35,,T. Rozier misses 2-pt shot from 14 ft
9:08.0,Defensive rebound by K. McDaniels,,19-35,,
8:56.0,J. Hamilton misses 3-pt shot from 24 ft,,19-35,,
8:55.0,,,19-35,,Defensive rebound by T. Rozier
8:41.0,,,19-35,,J. Brown misses 2-pt shot from 15 ft
8:40.0,Defensive rebound by R. Hollis-Jefferson,,19-35,,
8:35.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Brown),,19-35,,
8:33.0,,,19-35,,Turnover by K. Olynyk (bad pass; steal by R. Hollis-Jefferson)
8:32.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,21-35,,
8:31.0,,,21-35,,Boston full timeout
8:31.0,,,21-35,,A. Bradley enters the game for J. Brown
8:31.0,,,21-35,,A. Johnson enters the game for T. Rozier
8:20.0,,,21-37,2,M. Smart makes 2-pt shot from 1 ft (assist by K. Olynyk)
8:20.0,,,21-37,,Shooting foul by J. Hamilton (drawn by M. Smart)
8:20.0,,,21-38,1,M. Smart makes free throw 1 of 1
8:20.0,B. Lopez enters the game for J. Hamilton,,21-37,,
8:09.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,21-38,,
8:08.0,,,21-38,,Defensive rebound by M. Smart
8:06.0,,,21-38,,Turnover by M. Smart (lost ball; steal by R. Hollis-Jefferson)
7:54.0,B. Lopez makes 2-pt shot from 1 ft,2,23-38,,
7:54.0,Shooting foul by A. Johnson (drawn by B. Lopez),,23-38,,
7:54.0,B. Lopez makes free throw 1 of 1,1,24-38,,
7:54.0,,,23-38,,I. Thomas enters the game for M. Smart
7:39.0,,,24-38,,A. Johnson misses 2-pt shot from 21 ft
7:38.0,Defensive rebound by K. McDaniels,,24-38,,
7:24.0,Turnover by A. Goodwin (lost ball; steal by A. Johnson),,24-38,,
7:20.0,,,24-38,,Turnover by I. Thomas (bad pass)
7:20.0,J. Lin enters the game for A. Goodwin,,24-38,,
7:09.0,K. McDaniels misses 2-pt shot from 3 ft,,24-38,,
7:08.0,,,24-38,,Defensive rebound by K. Olynyk
6:57.0,,,24-38,,K. Olynyk misses 2-pt shot from 9 ft
6:56.0,Defensive rebound by Team,,24-38,,
6:56.0,,,24-38,,Loose ball foul by A. Johnson (drawn by R. Hollis-Jefferson)
6:56.0,,,24-38,,A. Horford enters the game for K. Olynyk
6:46.0,K. McDaniels misses 2-pt shot from 19 ft,,24-38,,
6:45.0,,,24-38,,Defensive rebound by A. Johnson
6:35.0,,,24-38,,I. Thomas misses 2-pt shot from 2 ft (block by K. McDaniels)
6:34.0,Defensive rebound by R. Hollis-Jefferson,,24-38,,
6:27.0,R. Hollis-Jefferson misses 2-pt shot from 14 ft,,24-38,,
6:26.0,Offensive rebound by K. McDaniels,,24-38,,
6:25.0,Turnover by K. McDaniels (bad pass; steal by J. Crowder),,24-38,,
6:22.0,,,24-40,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Crowder)
6:21.0,Brooklyn full timeout,,24-40,,
6:21.0,C. LeVert enters the game for I. Whitehead,,24-40,,
6:21.0,S. Dinwiddie enters the game for K. McDaniels,,24-40,,
6:03.0,B. Lopez makes 2-pt shot from 7 ft (assist by R. Hollis-Jefferson),2,26-40,,
5:50.0,Personal foul by J. Lin (drawn by I. Thomas),,26-40,,
5:37.0,,,26-40,,Shooting foul by R. Hollis-Jefferson (drawn by I. Thomas)
5:37.0,,,26-41,1,I. Thomas makes free throw 1 of 2
5:37.0,,,26-42,1,I. Thomas makes free throw 2 of 2
5:37.0,,,26-41,,M. Smart enters the game for A. Johnson
5:23.0,R. Hollis-Jefferson misses 2-pt shot from 16 ft,,26-42,,
5:22.0,,,26-42,,Defensive rebound by J. Crowder
5:14.0,,,26-42,,I. Thomas misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by R. Hollis-Jefferson,,26-42,,
4:58.0,C. LeVert misses 2-pt shot from 2 ft,,26-42,,
4:57.0,,,26-42,,Defensive rebound by A. Horford
4:47.0,,,26-45,3,M. Smart makes 3-pt shot from 24 ft (assist by J. Crowder)
4:31.0,B. Lopez misses 2-pt shot from 6 ft,,26-45,,
4:30.0,Offensive rebound by Team,,26-45,,
4:22.0,C. LeVert makes 3-pt shot from 25 ft (assist by J. Lin),3,29-45,,
4:07.0,,,29-45,,I. Thomas misses 2-pt shot from 2 ft
4:06.0,,,29-45,,Offensive rebound by I. Thomas
4:06.0,,,29-47,2,I. Thomas makes 2-pt shot from 2 ft
3:50.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by C. LeVert),2,31-47,,
3:40.0,,,31-47,,I. Thomas misses 3-pt shot from 26 ft
3:39.0,,,31-47,,Offensive rebound by A. Bradley
3:39.0,,,31-49,2,A. Bradley makes 2-pt shot at rim
3:21.0,B. Lopez makes 2-pt shot from 9 ft,2,33-49,,
3:07.0,,,33-51,2,A. Horford makes 2-pt shot at rim (assist by A. Bradley)
2:54.0,C. LeVert misses 3-pt shot from 26 ft,,33-51,,
2:53.0,,,33-51,,Defensive rebound by A. Horford
2:47.0,,,33-53,2,J. Crowder makes 2-pt shot from 22 ft (assist by A. Horford)
2:47.0,Brooklyn full timeout,,33-53,,
2:23.0,C. LeVert misses 2-pt shot from 1 ft,,33-53,,
2:22.0,,,33-53,,Defensive rebound by M. Smart
2:00.0,,,33-53,,J. Crowder misses 3-pt shot from 26 ft
1:59.0,Defensive rebound by J. Lin,,33-53,,
1:56.0,I. Whitehead enters the game for S. Dinwiddie,,33-53,,
1:52.0,Shooting foul by A. Horford (drawn by R. Hollis-Jefferson),,33-53,,
1:52.0,R. Hollis-Jefferson makes free throw 1 of 2,1,34-53,,
1:52.0,R. Hollis-Jefferson makes free throw 2 of 2,1,35-53,,
1:30.0,,,35-56,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Crowder)
1:23.0,,,35-56,,Personal foul by I. Thomas (drawn by J. Lin)
1:23.0,J. Lin makes free throw 1 of 2,1,36-56,,
1:23.0,J. Lin makes free throw 2 of 2,1,37-56,,
1:11.0,,,37-58,2,I. Thomas makes 2-pt shot from 18 ft
1:09.0,Turnover by R. Hollis-Jefferson (bad pass),,37-58,,
1:00.0,,,37-58,,I. Thomas misses 2-pt shot from 15 ft
0:59.0,Defensive rebound by J. Lin,,37-58,,
0:53.0,J. Lin makes 3-pt shot from 26 ft,3,40-58,,
0:40.0,,,40-58,,M. Smart misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by J. Lin,,40-58,,
0:29.0,J. Lin misses 3-pt shot from 28 ft,,40-58,,
0:29.0,,,40-58,,Defensive rebound by A. Horford
0:14.0,,,40-58,,M. Smart misses 2-pt shot from 1 ft (block by C. LeVert)
0:13.0,Defensive rebound by I. Whitehead,,40-58,,
0:12.0,I. Whitehead misses 2-pt shot from 3 ft (block by J. Crowder),,40-58,,
0:11.0,,,40-58,,Defensive rebound by Team
0:02.0,,,40-58,,I. Thomas misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by Team,,40-58,,
0:00.0,J. Lin misses 3-pt shot from 55 ft,,40-58,,
0:00.0,Offensive rebound by Team,,40-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,40-60,2,A. Bradley makes 2-pt shot from 20 ft (assist by A. Johnson)
11:39.0,Shooting foul by I. Thomas (drawn by B. Lopez),,40-60,,
11:39.0,B. Lopez makes free throw 1 of 2,1,41-60,,
11:39.0,B. Lopez makes free throw 2 of 2,1,42-60,,
11:24.0,,,42-63,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
11:24.0,,,42-63,,Shooting foul by C. LeVert (drawn by A. Bradley)
11:24.0,,,42-64,1,A. Bradley makes free throw 1 of 1
11:13.0,R. Foye misses 3-pt shot from 25 ft,,42-64,,
11:11.0,,,42-64,,Defensive rebound by A. Johnson
10:56.0,,,42-64,,Turnover by A. Johnson (lost ball; steal by R. Foye)
10:51.0,C. LeVert misses 2-pt shot at rim (block by J. Crowder),,42-64,,
10:50.0,,,42-64,,Defensive rebound by A. Bradley
10:46.0,,,42-67,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Bradley)
10:36.0,B. Lopez misses 3-pt shot from 26 ft,,42-67,,
10:35.0,,,42-67,,Defensive rebound by J. Crowder
10:25.0,,,42-69,2,I. Thomas makes 2-pt shot from 17 ft (assist by J. Crowder)
10:11.0,C. LeVert misses 3-pt shot from 23 ft,,42-69,,
10:10.0,,,42-69,,Defensive rebound by I. Thomas
10:05.0,Loose ball foul by C. LeVert (drawn by A. Johnson),,42-69,,
9:59.0,,,42-69,,A. Johnson misses 2-pt shot from 8 ft
9:58.0,Defensive rebound by R. Hollis-Jefferson,,42-69,,
9:53.0,,,42-69,,Shooting block foul by A. Johnson (drawn by R. Hollis-Jefferson)
9:53.0,R. Hollis-Jefferson makes free throw 1 of 2,1,43-69,,
9:53.0,R. Hollis-Jefferson makes free throw 2 of 2,1,44-69,,
9:30.0,,,44-69,,A. Horford misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by R. Hollis-Jefferson,,44-69,,
9:18.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,44-69,,
9:17.0,Offensive rebound by B. Lopez,,44-69,,
9:17.0,B. Lopez makes 2-pt shot from 2 ft,2,46-69,,
9:04.0,Personal foul by J. Lin (drawn by I. Thomas),,46-69,,
8:55.0,,,46-69,,A. Johnson misses 2-pt shot from 4 ft (block by R. Hollis-Jefferson)
8:54.0,Defensive rebound by B. Lopez,,46-69,,
8:43.0,R. Foye misses 3-pt shot from 26 ft,,46-69,,
8:43.0,Offensive rebound by B. Lopez,,46-69,,
8:38.0,B. Lopez makes 2-pt shot from 2 ft,2,48-69,,
8:25.0,,,48-72,3,I. Thomas makes 3-pt shot from 25 ft
8:09.0,J. Lin misses 2-pt shot from 14 ft,,48-72,,
8:08.0,,,48-72,,Defensive rebound by I. Thomas
7:58.0,,,48-74,2,A. Horford makes 2-pt shot from 2 ft (assist by I. Thomas)
7:49.0,B. Lopez makes 2-pt shot from 10 ft (assist by J. Lin),2,50-74,,
7:35.0,,,50-74,,A. Johnson misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by R. Hollis-Jefferson,,50-74,,
7:29.0,B. Lopez makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,53-74,,
7:29.0,,,53-74,,Boston full timeout
7:29.0,,,53-74,,T. Zeller enters the game for A. Johnson
7:16.0,,,53-74,,Turnover by A. Horford (step out of bounds)
7:08.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by A. Horford),,53-74,,
7:06.0,Offensive rebound by B. Lopez,,53-74,,
7:01.0,Shooting foul by I. Thomas (drawn by R. Foye),,53-74,,
7:01.0,R. Foye makes free throw 1 of 2,1,54-74,,
7:01.0,R. Foye makes free throw 2 of 2,1,55-74,,
7:01.0,,,54-74,,M. Smart enters the game for J. Crowder
6:49.0,,,55-74,,A. Bradley misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by R. Hollis-Jefferson,,55-74,,
6:40.0,Shooting foul by A. Horford (drawn by J. Lin),,55-74,,
6:40.0,J. Lin makes free throw 1 of 2,1,56-74,,
6:40.0,J. Lin makes free throw 2 of 2,1,57-74,,
6:23.0,,,57-74,,A. Horford misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson)
6:22.0,Defensive rebound by J. Lin,,57-74,,
6:21.0,,,57-74,,Personal foul by M. Smart (drawn by J. Lin)
6:21.0,J. Lin misses free throw 1 of 2,,57-74,,
6:21.0,Offensive rebound by Team,,57-74,,
6:21.0,J. Lin makes free throw 2 of 2,1,58-74,,
6:08.0,,,58-74,,T. Zeller misses 2-pt shot from 3 ft
6:07.0,Defensive rebound by R. Foye,,58-74,,
6:05.0,Shooting foul by A. Bradley (drawn by C. LeVert),,58-74,,
6:05.0,C. LeVert makes free throw 1 of 2,1,59-74,,
6:05.0,C. LeVert makes free throw 2 of 2,1,60-74,,
5:43.0,,,60-77,3,A. Bradley makes 3-pt shot from 25 ft (assist by M. Smart)
5:21.0,Offensive foul by B. Lopez,,60-77,,
5:21.0,Turnover by B. Lopez (offensive foul),,60-77,,
5:05.0,,,60-77,,Shooting foul by R. Foye (drawn by M. Smart)
5:05.0,,,60-78,1,M. Smart makes free throw 1 of 2
5:05.0,,,60-79,1,M. Smart makes free throw 2 of 2
5:05.0,,,60-78,,T. Rozier enters the game for I. Thomas
4:44.0,R. Hollis-Jefferson misses 3-pt shot from 26 ft,,60-79,,
4:43.0,Offensive rebound by R. Hollis-Jefferson,,60-79,,
4:40.0,C. LeVert makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,63-79,,
4:18.0,,,63-81,2,A. Horford makes 2-pt shot from 8 ft
4:13.0,Shooting foul by T. Rozier (drawn by J. Lin),,63-81,,
4:13.0,J. Lin makes free throw 1 of 3,1,64-81,,
4:13.0,J. Lin makes free throw 2 of 3,1,65-81,,
4:13.0,J. Lin makes free throw 3 of 3,1,66-81,,
3:54.0,,,66-81,,A. Bradley misses 2-pt shot from 21 ft
3:53.0,Defensive rebound by J. Lin,,66-81,,
3:42.0,Shooting foul by T. Rozier (drawn by R. Hollis-Jefferson),,66-81,,
3:42.0,R. Hollis-Jefferson makes free throw 1 of 2,1,67-81,,
3:42.0,R. Hollis-Jefferson makes free throw 2 of 2,1,68-81,,
3:42.0,S. Dinwiddie enters the game for R. Foye,,67-81,,
3:42.0,I. Whitehead enters the game for C. LeVert,,67-81,,
3:29.0,,,68-83,2,T. Zeller makes 2-pt shot from 19 ft (assist by T. Rozier)
3:21.0,I. Whitehead misses 2-pt shot from 3 ft (block by M. Smart),,68-83,,
3:19.0,,,68-83,,Defensive rebound by Team
3:12.0,,,68-83,,A. Horford misses 2-pt shot from 8 ft (block by B. Lopez)
3:11.0,Defensive rebound by B. Lopez,,68-83,,
3:06.0,B. Lopez misses 3-pt shot from 29 ft,,68-83,,
3:05.0,,,68-83,,Defensive rebound by T. Rozier
2:47.0,,,68-83,,A. Horford misses 2-pt shot from 7 ft (block by J. Lin)
2:46.0,Defensive rebound by B. Lopez,,68-83,,
2:41.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Lin),2,70-83,,
2:19.0,,,70-83,,A. Horford misses 2-pt shot from 8 ft
2:18.0,Defensive rebound by S. Dinwiddie,,70-83,,
2:08.0,J. Lin makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,73-83,,
1:48.0,Personal foul by S. Dinwiddie (drawn by T. Zeller),,73-83,,
1:48.0,Brooklyn full timeout,,73-83,,
1:48.0,,,73-84,1,T. Zeller makes free throw 1 of 2
1:48.0,,,73-85,1,T. Zeller makes free throw 2 of 2
1:48.0,,,73-83,,J. Jerebko enters the game for A. Horford
1:48.0,,,73-83,,J. Crowder enters the game for A. Bradley
1:48.0,,,73-83,,J. Brown enters the game for T. Rozier
1:48.0,J. Hamilton enters the game for R. Hollis-Jefferson,,73-83,,
1:32.0,B. Lopez misses 2-pt shot from 9 ft,,73-85,,
1:31.0,,,73-85,,Defensive rebound by J. Crowder
1:14.0,,,73-88,3,J. Brown makes 3-pt shot from 25 ft (assist by M. Smart)
0:59.0,J. Lin makes 2-pt shot from 2 ft (assist by B. Lopez),2,75-88,,
0:39.0,,,75-88,,J. Brown misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by J. Lin,,75-88,,
0:22.0,J. Hamilton makes 2-pt shot from 1 ft (assist by I. Whitehead),2,77-88,,
0:03.0,Personal foul by J. Lin (drawn by M. Smart),,77-88,,
0:03.0,,,77-89,1,M. Smart makes free throw 1 of 2
0:03.0,,,77-90,1,M. Smart makes free throw 2 of 2
0:00.0,I. Whitehead misses 3-pt shot from 39 ft,,77-90,,
0:00.0,Offensive rebound by Team,,77-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,I. Whitehead makes 2-pt shot from 1 ft,2,79-90,,
11:29.0,,,79-93,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Jerebko)
11:15.0,J. Hamilton makes 2-pt shot from 5 ft,2,81-93,,
11:00.0,Shooting block foul by J. Hamilton (drawn by J. Jerebko),,81-93,,
11:00.0,,,81-94,1,J. Jerebko makes free throw 1 of 2
11:00.0,,,81-94,,J. Jerebko misses free throw 2 of 2
11:00.0,Defensive rebound by A. Goodwin,,81-94,,
10:44.0,I. Whitehead misses 2-pt shot from 9 ft,,81-94,,
10:43.0,,,81-94,,Defensive rebound by J. Jerebko
10:37.0,,,81-94,,Turnover by J. Crowder (lost ball; steal by J. Hamilton)
10:31.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,81-94,,
10:30.0,,,81-94,,Defensive rebound by K. Olynyk
10:14.0,,,81-94,,K. Olynyk misses 2-pt shot from 6 ft (block by J. Hamilton)
10:13.0,,,81-94,,Offensive rebound by K. Olynyk
10:06.0,,,81-97,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Jerebko)
9:51.0,I. Whitehead makes 2-pt shot from 1 ft,2,83-97,,
9:37.0,,,83-97,,K. Olynyk misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by R. Hollis-Jefferson,,83-97,,
9:20.0,J. Hamilton makes 3-pt shot from 23 ft (assist by I. Whitehead),3,86-97,,
9:04.0,,,86-97,,Turnover by J. Crowder (lost ball)
9:04.0,S. Dinwiddie enters the game for K. McDaniels,,86-97,,
8:46.0,Shooting foul by K. Olynyk (drawn by R. Hollis-Jefferson),,86-97,,
8:46.0,Official timeout,,86-97,,
8:46.0,R. Hollis-Jefferson makes free throw 1 of 2,1,87-97,,
8:46.0,R. Hollis-Jefferson makes free throw 2 of 2,1,88-97,,
8:29.0,,,88-97,,K. Olynyk misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by R. Hollis-Jefferson,,88-97,,
8:21.0,J. Hamilton makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,90-97,,
8:03.0,,,90-99,2,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart)
7:46.0,I. Whitehead misses 3-pt shot from 27 ft,,90-99,,
