time,Charlotte,pts.away,score,pts.home,Milwaukee
8:15.0,R. Hibbert makes 2-pt shot at rim (assist by K. Walker),2,13-4,,
8:00.0,,,13-4,,G. Antetokounmpo misses 2-pt shot from 15 ft
7:58.0,Defensive rebound by M. Williams,,13-4,,
7:50.0,M. Williams misses 3-pt shot from 27 ft,,13-4,,
7:49.0,,,13-4,,Defensive rebound by M. Dellavedova
7:42.0,,,13-7,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by M. Plumlee)
7:19.0,M. Kidd-Gilchrist misses 3-pt shot from 23 ft,,13-7,,
7:18.0,Offensive rebound by Team,,13-7,,
7:18.0,,,13-7,,G. Monroe enters the game for M. Plumlee
7:12.0,M. Williams makes 2-pt shot from 20 ft (assist by K. Walker),2,15-7,,
6:59.0,,,15-7,,G. Antetokounmpo misses 2-pt shot from 3 ft
6:57.0,Defensive rebound by M. Williams,,15-7,,
6:51.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,15-7,,
6:50.0,,,15-7,,Defensive rebound by G. Monroe
6:47.0,,,15-9,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
6:33.0,,,15-9,,Personal foul by M. Teletovic (drawn by M. Williams)
6:33.0,,,15-9,,M. Beasley enters the game for M. Teletovic
6:22.0,M. Williams misses 2-pt shot from 1 ft (block by M. Beasley),,15-9,,
6:20.0,,,15-9,,Defensive rebound by G. Antetokounmpo
6:13.0,,,15-11,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
5:56.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams),3,18-11,,
5:42.0,,,18-11,,M. Dellavedova misses 2-pt shot from 14 ft
5:40.0,Defensive rebound by M. Kidd-Gilchrist,,18-11,,
5:30.0,,,18-11,,Personal foul by J. Parker (drawn by K. Walker)
5:30.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,18-11,,
5:30.0,C. Zeller enters the game for R. Hibbert,,18-11,,
5:30.0,,,18-11,,M. Brogdon enters the game for M. Dellavedova
5:17.0,M. Belinelli misses 3-pt shot from 27 ft,,18-11,,
5:16.0,,,18-11,,Defensive rebound by G. Monroe
5:05.0,,,18-11,,M. Beasley misses 2-pt shot from 21 ft
5:04.0,Defensive rebound by C. Zeller,,18-11,,
4:57.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,20-11,,
4:57.0,Shooting foul by J. Parker (drawn by C. Zeller),,20-11,,
4:57.0,C. Zeller makes free throw 1 of 1,1,21-11,,
4:57.0,,,20-11,,J. Terry enters the game for J. Parker
4:42.0,,,21-11,,Shooting foul by C. Zeller (drawn by G. Monroe)
4:42.0,,,21-11,,G. Monroe misses free throw 1 of 2
4:42.0,,,21-11,,Offensive rebound by Team
4:42.0,,,21-12,1,G. Monroe makes free throw 2 of 2
4:29.0,M. Williams makes 3-pt shot from 27 ft (assist by K. Walker),3,24-12,,
4:17.0,Personal foul by M. Williams (drawn by G. Monroe),,24-12,,
4:17.0,S. Hawes enters the game for M. Williams,,24-12,,
4:09.0,,,24-12,,Shooting foul by S. Hawes (drawn by G. Monroe)
4:09.0,,,24-13,1,G. Monroe makes free throw 1 of 2
4:09.0,,,24-14,1,G. Monroe makes free throw 2 of 2
3:45.0,C. Zeller makes 2-pt shot from 6 ft (assist by N. Batum),2,26-14,,
3:31.0,,,26-14,,G. Monroe misses 2-pt shot from 4 ft
3:30.0,Defensive rebound by S. Hawes,,26-14,,
3:22.0,S. Hawes makes 2-pt shot at rim (assist by N. Batum),2,28-14,,
2:59.0,,,28-16,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
2:44.0,C. Zeller misses 2-pt shot at rim (block by G. Monroe),,28-16,,
2:41.0,,,28-16,,Defensive rebound by J. Terry
2:38.0,,,28-16,,M. Beasley misses 2-pt shot from 1 ft
2:36.0,,,28-16,,Offensive rebound by G. Monroe
2:34.0,,,28-16,,G. Monroe misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by N. Batum,,28-16,,
2:16.0,S. Hawes misses 2-pt shot from 15 ft,,28-16,,
2:15.0,,,28-16,,Defensive rebound by M. Brogdon
2:11.0,,,28-18,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon)
2:00.0,Charlotte full timeout,,28-18,,
2:00.0,M. Kidd-Gilchrist enters the game for N. Batum,,28-18,,
2:00.0,R. Sessions enters the game for K. Walker,,28-18,,
1:50.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,30-18,,
1:28.0,,,30-18,,G. Monroe misses 2-pt shot from 3 ft
1:27.0,,,30-18,,Offensive rebound by G. Monroe
1:22.0,,,30-20,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Monroe)
0:58.0,S. Hawes misses 3-pt shot from 28 ft,,30-20,,
0:56.0,,,30-20,,Defensive rebound by G. Monroe
0:40.0,,,30-22,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:16.0,C. Zeller makes 2-pt shot at rim (assist by S. Hawes),2,32-22,,
0:03.0,,,32-24,2,M. Brogdon makes 2-pt shot from 15 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,R. Sessions makes 2-pt shot from 1 ft (assist by S. Hawes),2,34-24,,
11:22.0,,,34-24,,M. Brogdon misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by M. Kidd-Gilchrist,,34-24,,
11:04.0,C. Zeller makes 2-pt shot from 1 ft (assist by S. Hawes),2,36-24,,
11:04.0,Shooting foul by J. Henson (drawn by C. Zeller),,36-24,,
11:04.0,C. Zeller makes free throw 1 of 1,1,37-24,,
11:04.0,J. Lamb enters the game for M. Kidd-Gilchrist,,36-24,,
10:52.0,,,37-24,,J. Terry misses 3-pt shot from 24 ft
10:51.0,,,37-24,,Offensive rebound by M. Beasley
10:46.0,Personal foul by J. Lamb (drawn by M. Brogdon),,37-24,,
10:40.0,,,37-24,,M. Teletovic misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by M. Belinelli,,37-24,,
10:31.0,Shooting foul by M. Beasley (drawn by C. Zeller),,37-24,,
10:31.0,C. Zeller makes free throw 1 of 2,1,38-24,,
10:31.0,C. Zeller misses free throw 2 of 2,,38-24,,
10:28.0,,,38-24,,Defensive rebound by J. Henson
10:16.0,,,38-24,,M. Teletovic misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by S. Hawes,,38-24,,
10:14.0,Offensive foul by C. Zeller,,38-24,,
10:14.0,Turnover by C. Zeller (offensive foul),,38-24,,
10:06.0,Personal foul by R. Sessions (drawn by M. Brogdon),,38-24,,
9:59.0,,,38-26,2,J. Henson makes 2-pt shot at rim (assist by M. Teletovic)
9:45.0,J. Lamb misses 2-pt shot from 12 ft,,38-26,,
9:44.0,,,38-26,,Defensive rebound by M. Teletovic
9:38.0,,,38-26,,M. Teletovic misses 2-pt shot from 1 ft (block by C. Zeller)
9:38.0,,,38-26,,Offensive rebound by Team
9:34.0,,,38-28,2,M. Beasley makes 2-pt shot from 20 ft (assist by J. Terry)
9:20.0,R. Sessions misses 2-pt shot from 5 ft,,38-28,,
9:18.0,,,38-28,,Defensive rebound by M. Brogdon
9:12.0,,,38-30,2,M. Teletovic makes 2-pt shot at rim (assist by M. Brogdon)
8:51.0,,,38-30,,Personal foul by J. Terry (drawn by C. Zeller)
8:51.0,Official timeout,,38-30,,
8:51.0,M. Williams enters the game for C. Zeller,,38-30,,
8:42.0,S. Hawes makes 2-pt shot from 5 ft (assist by J. Lamb),2,40-30,,
8:25.0,,,40-30,,M. Beasley misses 2-pt shot from 17 ft
8:23.0,Defensive rebound by M. Belinelli,,40-30,,
8:19.0,,,40-30,,Personal foul by J. Terry (drawn by M. Belinelli)
8:19.0,,,40-30,,J. Parker enters the game for M. Beasley
8:19.0,,,40-30,,M. Dellavedova enters the game for J. Terry
8:05.0,J. Lamb misses 2-pt shot from 19 ft,,40-30,,
8:04.0,,,40-30,,Defensive rebound by J. Parker
7:51.0,,,40-30,,J. Henson misses 2-pt shot at rim (block by S. Hawes)
7:48.0,Defensive rebound by J. Lamb,,40-30,,
7:42.0,J. Lamb misses 2-pt shot from 2 ft,,40-30,,
7:40.0,,,40-30,,Defensive rebound by M. Teletovic
7:36.0,,,40-30,,M. Brogdon misses 2-pt shot from 1 ft (block by M. Williams)
7:36.0,,,40-30,,Offensive rebound by Team
7:23.0,,,40-30,,Turnover by M. Dellavedova (bad pass)
7:23.0,R. Hibbert enters the game for S. Hawes,,40-30,,
7:16.0,Offensive foul by R. Hibbert,,40-30,,
7:16.0,Turnover by R. Hibbert (offensive foul),,40-30,,
7:16.0,K. Walker enters the game for R. Sessions,,40-30,,
7:04.0,,,40-30,,M. Teletovic misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by M. Williams,,40-30,,
6:52.0,M. Belinelli misses 2-pt shot from 5 ft,,40-30,,
6:51.0,,,40-30,,Defensive rebound by Team
6:39.0,,,40-30,,M. Brogdon misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by M. Williams,,40-30,,
6:21.0,M. Williams misses 2-pt shot from 7 ft,,40-30,,
6:20.0,Offensive rebound by M. Williams,,40-30,,
6:15.0,Shooting foul by M. Brogdon (drawn by K. Walker),,40-30,,
6:15.0,K. Walker misses free throw 1 of 2,,40-30,,
6:15.0,Offensive rebound by Team,,40-30,,
6:15.0,K. Walker misses free throw 2 of 2,,40-30,,
6:15.0,,,40-30,,G. Antetokounmpo enters the game for M. Brogdon
6:15.0,N. Batum enters the game for M. Belinelli,,40-30,,
6:14.0,,,40-30,,Defensive rebound by J. Henson
5:53.0,,,40-30,,G. Antetokounmpo misses 2-pt shot from 2 ft
5:51.0,,,40-30,,Offensive rebound by J. Henson
5:49.0,,,40-32,2,J. Henson makes 2-pt shot from 3 ft
5:34.0,Turnover by R. Hibbert (3 sec),,40-32,,
5:34.0,,,40-32,,Milwaukee full timeout
5:11.0,,,40-32,,J. Henson misses 2-pt shot from 12 ft
5:10.0,,,40-32,,Offensive rebound by J. Parker
5:09.0,,,40-34,2,J. Parker makes 2-pt shot from 1 ft
4:53.0,M. Williams makes 3-pt shot from 27 ft (assist by N. Batum),3,43-34,,
4:38.0,,,43-34,,Turnover by J. Parker (traveling)
4:38.0,M. Kidd-Gilchrist enters the game for J. Lamb,,43-34,,
4:25.0,N. Batum makes 3-pt shot from 27 ft (assist by K. Walker),3,46-34,,
4:11.0,,,46-36,2,G. Antetokounmpo makes 2-pt shot from 22 ft
4:02.0,Turnover by K. Walker (bad pass; steal by G. Antetokounmpo),,46-36,,
3:59.0,,,46-36,,Shooting foul by K. Walker (drawn by G. Antetokounmpo)
3:59.0,,,46-37,1,G. Antetokounmpo makes free throw 1 of 2
3:59.0,,,46-37,,G. Antetokounmpo misses free throw 2 of 2
3:59.0,,,46-37,,G. Monroe enters the game for J. Henson
3:58.0,Defensive rebound by M. Kidd-Gilchrist,,46-37,,
3:46.0,K. Walker misses 2-pt shot from 3 ft,,46-37,,
3:45.0,Offensive rebound by R. Hibbert,,46-37,,
3:34.0,N. Batum misses 3-pt shot from 24 ft,,46-37,,
3:31.0,,,46-37,,Defensive rebound by M. Teletovic
3:24.0,,,46-37,,M. Teletovic misses 3-pt shot from 30 ft
3:23.0,Defensive rebound by M. Kidd-Gilchrist,,46-37,,
3:07.0,N. Batum misses 2-pt shot from 1 ft,,46-37,,
3:05.0,,,46-37,,Defensive rebound by G. Antetokounmpo
2:58.0,,,46-37,,M. Dellavedova misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by M. Williams,,46-37,,
2:53.0,,,46-37,,Violation by M. Dellavedova (kicked ball)
2:53.0,Charlotte full timeout,,46-37,,
2:53.0,,,46-37,,R. Vaughn enters the game for J. Parker
2:53.0,M. Belinelli enters the game for M. Williams,,46-37,,
2:45.0,M. Belinelli misses 3-pt shot from 26 ft,,46-37,,
2:43.0,,,46-37,,Defensive rebound by M. Dellavedova
2:35.0,,,46-39,2,M. Teletovic makes 2-pt shot at rim (assist by M. Dellavedova)
2:20.0,K. Walker makes 3-pt shot from 28 ft,3,49-39,,
1:58.0,,,49-39,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by R. Hibbert)
1:57.0,Jump ball: G. Antetokounmpo vs. R. Hibbert (K. Walker gains possession),,,,Jump ball: G. Antetokounmpo vs. R. Hibbert (K. Walker gains possession)
1:57.0,Defensive rebound by Team,,49-39,,
1:48.0,K. Walker misses 2-pt shot from 11 ft,,49-39,,
1:47.0,,,49-39,,Defensive rebound by G. Monroe
1:40.0,,,49-39,,M. Teletovic misses 2-pt shot from 3 ft (block by M. Kidd-Gilchrist)
1:38.0,Defensive rebound by N. Batum,,49-39,,
1:19.0,R. Hibbert misses 2-pt shot from 2 ft (block by G. Monroe),,49-39,,
1:18.0,Offensive rebound by M. Kidd-Gilchrist,,49-39,,
1:18.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,51-39,,
1:18.0,Shooting foul by G. Antetokounmpo (drawn by M. Kidd-Gilchrist),,51-39,,
1:18.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,52-39,,
1:06.0,Personal foul by R. Hibbert (drawn by G. Monroe),,52-39,,
0:59.0,,,52-39,,M. Teletovic misses 2-pt shot from 13 ft
0:57.0,Defensive rebound by M. Kidd-Gilchrist,,52-39,,
0:46.0,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by K. Walker),2,54-39,,
0:34.0,,,54-41,2,R. Vaughn makes 2-pt shot from 18 ft (assist by M. Dellavedova)
0:26.0,,,54-41,,Personal foul by M. Dellavedova (drawn by K. Walker)
0:26.0,K. Walker makes free throw 1 of 2,1,55-41,,
0:26.0,K. Walker makes free throw 2 of 2,1,56-41,,
0:26.0,S. Hawes enters the game for R. Hibbert,,54-41,,
0:07.0,,,56-41,,G. Antetokounmpo misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by M. Kidd-Gilchrist,,56-41,,
0:00.0,K. Walker misses 3-pt shot from 26 ft,,56-41,,
0:00.0,Offensive rebound by Team,,56-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Turnover by N. Batum (bad pass; steal by M. Plumlee),,56-41,,
11:34.0,,,56-41,,J. Parker misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by M. Williams,,56-41,,
11:18.0,K. Walker makes 3-pt shot from 27 ft,3,59-41,,
11:02.0,,,59-43,2,M. Dellavedova makes 2-pt shot from 23 ft (assist by G. Antetokounmpo)
10:49.0,,,59-43,,Personal foul by G. Antetokounmpo (drawn by K. Walker)
10:35.0,M. Williams misses 2-pt shot from 21 ft (block by G. Antetokounmpo),,59-43,,
10:32.0,Offensive rebound by M. Williams,,59-43,,
10:30.0,M. Williams misses 2-pt shot from 13 ft,,59-43,,
10:29.0,,,59-43,,Defensive rebound by R. Vaughn
10:19.0,,,59-45,2,G. Antetokounmpo makes 2-pt shot at rim
10:05.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum),2,61-45,,
10:05.0,Shooting foul by G. Antetokounmpo (drawn by M. Kidd-Gilchrist),,61-45,,
10:05.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,62-45,,
9:41.0,,,62-45,,M. Plumlee misses 2-pt shot from 3 ft
9:40.0,Defensive rebound by M. Kidd-Gilchrist,,62-45,,
9:25.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,62-45,,
9:23.0,,,62-45,,Defensive rebound by M. Plumlee
9:12.0,,,62-45,,G. Antetokounmpo misses 2-pt shot from 5 ft
9:11.0,,,62-45,,Offensive rebound by G. Antetokounmpo
9:07.0,,,62-45,,R. Vaughn misses 2-pt shot from 12 ft
9:06.0,Defensive rebound by N. Batum,,62-45,,
8:58.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by R. Hibbert),2,64-45,,
8:58.0,,,64-45,,Milwaukee full timeout
8:45.0,,,64-45,,J. Parker misses 2-pt shot from 7 ft
8:44.0,Defensive rebound by K. Walker,,64-45,,
8:25.0,,,64-45,,G. Monroe enters the game for M. Plumlee
8:20.0,K. Walker misses 3-pt shot from 28 ft,,64-45,,
8:18.0,,,64-45,,Defensive rebound by M. Dellavedova
8:11.0,,,64-47,2,M. Dellavedova makes 2-pt shot from 22 ft
7:53.0,Shooting foul by R. Vaughn (drawn by N. Batum),,64-47,,
7:53.0,N. Batum makes free throw 1 of 2,1,65-47,,
7:53.0,N. Batum misses free throw 2 of 2,,65-47,,
7:51.0,,,65-47,,Defensive rebound by G. Monroe
7:44.0,Personal foul by R. Hibbert (drawn by M. Dellavedova),,65-47,,
7:36.0,,,65-47,,Turnover by M. Dellavedova (bad pass; steal by N. Batum)
7:28.0,R. Hibbert makes 2-pt shot at rim (assist by N. Batum),2,67-47,,
7:16.0,,,67-47,,R. Vaughn misses 3-pt shot from 27 ft
7:15.0,Defensive rebound by M. Williams,,67-47,,
7:07.0,Shooting foul by R. Vaughn (drawn by R. Hibbert),,67-47,,
7:07.0,R. Hibbert makes free throw 1 of 2,1,68-47,,
7:07.0,R. Hibbert makes free throw 2 of 2,1,69-47,,
7:07.0,,,68-47,,M. Teletovic enters the game for R. Vaughn
6:50.0,,,69-47,,G. Monroe misses 2-pt shot from 1 ft (block by R. Hibbert)
6:48.0,Defensive rebound by K. Walker,,69-47,,
6:32.0,N. Batum misses 3-pt shot from 28 ft,,69-47,,
6:30.0,Offensive rebound by M. Kidd-Gilchrist,,69-47,,
6:29.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,71-47,,
6:15.0,Personal foul by N. Batum (drawn by G. Monroe),,71-47,,
6:07.0,,,71-49,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Parker)
6:07.0,,,71-49,,Shooting foul by M. Williams (drawn by G. Monroe)
6:07.0,,,71-50,1,G. Monroe makes free throw 1 of 1
5:55.0,Offensive foul by M. Williams,,71-50,,
5:55.0,Turnover by M. Williams (offensive foul),,71-50,,
5:55.0,S. Hawes enters the game for M. Williams,,71-50,,
5:41.0,,,71-52,2,G. Antetokounmpo makes 2-pt shot at rim
5:41.0,,,71-52,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo)
5:41.0,,,71-52,,G. Antetokounmpo misses free throw 1 of 1
5:38.0,Defensive rebound by M. Kidd-Gilchrist,,71-52,,
5:19.0,N. Batum misses 3-pt shot from 26 ft,,71-52,,
5:18.0,Offensive rebound by R. Hibbert,,71-52,,
5:17.0,R. Hibbert makes 2-pt shot at rim,2,73-52,,
4:52.0,,,73-54,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Monroe)
4:33.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,73-54,,
4:32.0,Turnover by S. Hawes (bad pass),,73-54,,
4:32.0,Jump ball: G. Antetokounmpo vs. R. Hibbert,,,,Jump ball: G. Antetokounmpo vs. R. Hibbert
4:31.0,C. Zeller enters the game for R. Hibbert,,73-54,,
4:18.0,,,73-57,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by J. Parker)
4:01.0,M. Belinelli makes 2-pt shot from 19 ft,2,75-57,,
3:46.0,,,75-57,,G. Monroe misses 2-pt shot from 15 ft
3:45.0,Defensive rebound by N. Batum,,75-57,,
3:33.0,Turnover by S. Hawes (bad pass; steal by G. Monroe),,75-57,,
3:29.0,,,75-59,2,M. Teletovic makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:56.0,N. Batum misses 3-pt shot from 28 ft,,75-59,,
2:54.0,,,75-59,,Defensive rebound by G. Antetokounmpo
2:47.0,,,75-59,,J. Parker misses 2-pt shot at rim (block by C. Zeller)
2:44.0,Defensive rebound by C. Zeller,,75-59,,
2:38.0,N. Batum makes 2-pt shot from 1 ft (assist by M. Belinelli),2,77-59,,
2:26.0,,,77-59,,Shooting foul by C. Zeller (drawn by J. Parker)
2:26.0,Charlotte full timeout,,77-59,,
2:26.0,,,77-60,1,J. Parker makes free throw 1 of 2
2:26.0,,,77-61,1,J. Parker makes free throw 2 of 2
2:26.0,R. Sessions enters the game for K. Walker,,77-59,,
2:26.0,M. Kidd-Gilchrist enters the game for S. Hawes,,77-59,,
2:26.0,,,77-59,,M. Brogdon enters the game for M. Teletovic
2:26.0,,,77-59,,M. Beasley enters the game for G. Antetokounmpo
2:13.0,,,77-61,,Personal foul by M. Dellavedova (drawn by C. Zeller)
2:13.0,C. Zeller makes free throw 1 of 2,1,78-61,,
2:13.0,C. Zeller makes free throw 2 of 2,1,79-61,,
1:58.0,Shooting block foul by C. Zeller (drawn by M. Beasley),,79-61,,
1:58.0,,,79-61,,M. Beasley misses free throw 1 of 2
1:58.0,,,79-61,,Offensive rebound by Team
1:58.0,,,79-61,,M. Beasley misses free throw 2 of 2
1:58.0,,,79-61,,J. Terry enters the game for M. Dellavedova
1:57.0,Defensive rebound by N. Batum,,79-61,,
1:43.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,79-61,,
1:41.0,Offensive rebound by C. Zeller,,79-61,,
1:40.0,C. Zeller makes 2-pt shot at rim,2,81-61,,
1:21.0,,,81-63,2,G. Monroe makes 2-pt shot from 19 ft (assist by J. Parker)
0:55.0,M. Belinelli makes 2-pt shot from 15 ft (assist by C. Zeller),2,83-63,,
0:47.0,,,83-63,,M. Brogdon misses 2-pt shot from 8 ft
0:46.0,,,83-63,,Offensive rebound by J. Parker
0:46.0,,,83-63,,J. Parker misses 2-pt shot at rim
0:43.0,Defensive rebound by M. Belinelli,,83-63,,
0:24.0,N. Batum misses 3-pt shot from 27 ft,,83-63,,
0:23.0,,,83-63,,Defensive rebound by J. Parker
0:01.0,,,83-66,3,J. Parker makes 3-pt shot from 28 ft (assist by M. Brogdon)
0:00.0,M. Kidd-Gilchrist misses 3-pt shot from 71 ft,,83-66,,
0:00.0,Offensive rebound by Team,,83-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,83-66,,J. Terry misses 2-pt shot from 1 ft
11:48.0,Defensive rebound by M. Kidd-Gilchrist,,83-66,,
11:37.0,M. Belinelli misses 2-pt shot from 17 ft,,83-66,,
11:36.0,,,83-66,,Defensive rebound by G. Antetokounmpo
11:22.0,,,83-68,2,G. Monroe makes 2-pt shot from 1 ft
11:07.0,R. Sessions makes 2-pt shot from 1 ft,2,85-68,,
10:55.0,,,85-68,,Shooting foul by C. Zeller (drawn by M. Brogdon)
10:55.0,,,85-69,1,M. Brogdon makes free throw 1 of 2
10:55.0,,,85-70,1,M. Brogdon makes free throw 2 of 2
10:55.0,R. Hibbert enters the game for C. Zeller,,85-69,,
10:36.0,M. Belinelli makes 2-pt shot from 7 ft (assist by J. Lamb),2,87-70,,
10:36.0,Shooting foul by J. Terry (drawn by M. Belinelli),,87-70,,
10:36.0,M. Belinelli makes free throw 1 of 1,1,88-70,,
10:14.0,,,88-72,2,G. Antetokounmpo makes 2-pt shot from 2 ft
9:57.0,J. Lamb misses 2-pt shot from 1 ft,,88-72,,
9:56.0,,,88-72,,Defensive rebound by J. Terry
9:55.0,,,88-74,2,J. Terry makes 2-pt shot from 1 ft
9:55.0,,,88-74,,Shooting foul by M. Belinelli (drawn by J. Terry)
9:55.0,,,88-75,1,J. Terry makes free throw 1 of 1
9:35.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,88-75,,
9:34.0,,,88-75,,Defensive rebound by M. Brogdon
9:27.0,,,88-75,,M. Brogdon misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by R. Hibbert,,88-75,,
9:18.0,R. Sessions misses 2-pt shot from 17 ft,,88-75,,
9:16.0,,,88-75,,Defensive rebound by M. Beasley
9:10.0,,,88-75,,G. Monroe misses 2-pt shot from 1 ft
9:08.0,,,88-75,,Offensive rebound by G. Monroe
9:08.0,,,88-75,,G. Monroe misses 2-pt shot from 1 ft
9:07.0,Jump ball: G. Antetokounmpo vs. M. Kidd-Gilchrist,,,,Jump ball: G. Antetokounmpo vs. M. Kidd-Gilchrist
9:07.0,,,88-75,,Offensive rebound by Team
9:01.0,,,88-77,2,G. Antetokounmpo makes 2-pt shot from 1 ft
9:00.0,Charlotte full timeout,,88-77,,
9:00.0,M. Williams enters the game for J. Lamb,,88-77,,
8:41.0,,,88-77,,Personal foul by M. Brogdon (drawn by M. Williams)
8:35.0,Turnover by R. Sessions (bad pass; steal by M. Beasley),,88-77,,
8:33.0,,,88-79,2,M. Brogdon makes 2-pt shot at rim (assist by M. Beasley)
8:14.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by R. Hibbert),2,90-79,,
8:14.0,Shooting foul by G. Antetokounmpo (drawn by M. Kidd-Gilchrist),,90-79,,
8:14.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,91-79,,
8:14.0,K. Walker enters the game for R. Sessions,,90-79,,
8:01.0,,,91-79,,Turnover by G. Monroe (lost ball; steal by K. Walker)
7:55.0,M. Belinelli misses 2-pt shot from 16 ft,,91-79,,
7:53.0,,,91-79,,Defensive rebound by M. Brogdon
7:42.0,,,91-79,,M. Beasley misses 2-pt shot from 17 ft
7:41.0,Defensive rebound by R. Hibbert,,91-79,,
7:26.0,M. Williams misses 2-pt shot from 18 ft,,91-79,,
7:25.0,,,91-79,,Defensive rebound by G. Antetokounmpo
