time,Detroit,pts.away,score,pts.home,New Orleans
11:21.0,,,18-31,,E. Moore misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by A. Baynes,,18-31,,
11:10.0,J. Leuer makes 2-pt shot from 2 ft,2,20-31,,
10:51.0,,,20-31,,Turnover by D. Motiejunas (lost ball; steal by J. Leuer)
10:44.0,T. Harris makes 2-pt shot from 16 ft,2,22-31,,
10:31.0,,,22-31,,E. Moore misses 2-pt shot from 6 ft
10:29.0,Defensive rebound by A. Baynes,,22-31,,
10:12.0,A. Baynes misses 2-pt shot from 2 ft,,22-31,,
10:11.0,,,22-31,,Defensive rebound by H. Thompson
10:04.0,,,22-31,,Turnover by T. Frazier (lost ball; steal by I. Smith)
9:59.0,T. Harris makes 3-pt shot from 26 ft,3,25-31,,
9:50.0,,,25-31,,New Orleans full timeout
9:50.0,,,25-31,,J. Jack enters the game for T. Frazier
9:42.0,,,25-33,2,H. Thompson makes 2-pt shot from 5 ft
9:26.0,T. Harris makes 2-pt shot from 18 ft,2,27-33,,
9:10.0,,,27-33,,D. Motiejunas misses 2-pt shot from 6 ft (block by J. Leuer)
9:09.0,,,27-33,,Offensive rebound by D. Motiejunas
9:02.0,,,27-33,,Shooting foul by J. Leuer (drawn by H. Thompson)
9:02.0,,,27-34,1,H. Thompson makes free throw 1 of 3
9:02.0,,,27-35,1,H. Thompson makes free throw 2 of 3
9:02.0,,,27-36,1,H. Thompson makes free throw 3 of 3
9:02.0,R. Jackson enters the game for I. Smith,,27-35,,
8:50.0,J. Leuer misses 3-pt shot from 26 ft,,27-36,,
8:48.0,,,27-36,,Defensive rebound by D. Motiejunas
8:39.0,,,27-36,,H. Thompson misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by A. Baynes,,27-36,,
8:31.0,S. Johnson makes 2-pt shot from 15 ft,2,29-36,,
8:16.0,,,29-36,,Turnover by J. Jack (bad pass; steal by R. Jackson)
8:10.0,R. Jackson makes 2-pt shot from 2 ft,2,31-36,,
7:57.0,,,31-36,,D. Motiejunas misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by T. Harris,,31-36,,
7:42.0,J. Leuer misses 2-pt shot from 16 ft,,31-36,,
7:41.0,,,31-36,,Defensive rebound by D. Motiejunas
7:34.0,,,31-39,3,E. Moore makes 3-pt shot from 26 ft (assist by J. Jack)
7:16.0,R. Jackson misses 2-pt shot from 15 ft,,31-39,,
7:15.0,Offensive rebound by J. Leuer,,31-39,,
7:11.0,J. Leuer misses 2-pt shot from 6 ft,,31-39,,
7:11.0,,,31-39,,Defensive rebound by D. Motiejunas
7:02.0,,,31-39,,H. Thompson misses 2-pt shot from 2 ft (block by A. Baynes)
7:02.0,,,31-39,,Offensive rebound by Team
7:02.0,,,31-39,,J. Holiday enters the game for E. Moore
7:02.0,,,31-39,,A. Davis enters the game for D. Motiejunas
6:59.0,,,31-39,,J. Holiday misses 2-pt shot from 15 ft
6:58.0,Defensive rebound by J. Leuer,,31-39,,
6:46.0,S. Johnson misses 3-pt shot from 29 ft,,31-39,,
6:43.0,Offensive rebound by S. Johnson,,31-39,,
6:36.0,J. Leuer makes 2-pt shot from 8 ft (assist by T. Harris),2,33-39,,
6:16.0,,,33-39,,Shooting foul by A. Baynes (drawn by A. Davis)
6:16.0,,,33-40,1,A. Davis makes free throw 1 of 2
6:16.0,,,33-41,1,A. Davis makes free throw 2 of 2
6:16.0,K. Caldwell-Pope enters the game for T. Harris,,33-40,,
6:16.0,A. Drummond enters the game for A. Baynes,,33-40,,
5:59.0,S. Johnson misses 3-pt shot from 24 ft,,33-41,,
5:59.0,,,33-41,,Defensive rebound by A. Davis
5:52.0,,,33-43,2,J. Holiday makes 2-pt shot from 1 ft
5:40.0,J. Leuer misses 2-pt shot from 2 ft,,33-43,,
5:38.0,,,33-43,,Defensive rebound by H. Thompson
5:22.0,,,33-43,,D. Cunningham misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by J. Leuer,,33-43,,
5:04.0,J. Leuer makes 2-pt shot from 11 ft,2,35-43,,
4:48.0,,,35-43,,J. Holiday misses 3-pt shot from 25 ft
4:45.0,,,35-43,,Offensive rebound by D. Cunningham
4:42.0,,,35-45,2,A. Davis makes 2-pt shot from 8 ft
4:27.0,R. Jackson makes 2-pt shot from 2 ft,2,37-45,,
4:10.0,,,37-45,,A. Davis misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by S. Johnson,,37-45,,
4:04.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,37-45,,
4:01.0,Offensive rebound by A. Drummond,,37-45,,
3:59.0,A. Drummond makes 2-pt shot from 3 ft,2,39-45,,
3:50.0,Personal foul by K. Caldwell-Pope (drawn by J. Holiday),,39-45,,
3:50.0,Official timeout,,39-45,,
3:50.0,,,39-45,,S. Hill enters the game for D. Cunningham
3:50.0,,,39-45,,A. Ajinca enters the game for J. Jack
3:34.0,,,39-45,,Turnover by J. Holiday (bad pass; steal by J. Leuer)
3:28.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by S. Johnson),3,42-45,,
3:11.0,,,42-47,2,A. Davis makes 2-pt shot from 12 ft (assist by J. Holiday)
2:55.0,R. Jackson misses 2-pt shot from 15 ft,,42-47,,
2:54.0,Offensive rebound by A. Drummond,,42-47,,
2:54.0,A. Drummond makes 2-pt shot from 2 ft,2,44-47,,
2:54.0,Shooting foul by A. Ajinca (drawn by A. Drummond),,44-47,,
2:54.0,Detroit full timeout,,44-47,,
2:54.0,A. Drummond misses free throw 1 of 1,,44-47,,
2:52.0,,,44-47,,Defensive rebound by A. Ajinca
2:39.0,,,44-47,,J. Holiday misses 2-pt shot from 16 ft
2:39.0,Defensive rebound by A. Drummond,,44-47,,
2:23.0,J. Leuer makes 2-pt shot from 3 ft,2,46-47,,
2:02.0,,,46-49,2,A. Davis makes 2-pt shot from 17 ft
1:30.0,S. Johnson misses 2-pt shot from 7 ft,,46-49,,
1:28.0,Offensive rebound by A. Drummond,,46-49,,
1:23.0,A. Drummond misses 2-pt shot from 7 ft (block by A. Ajinca),,46-49,,
1:21.0,Offensive rebound by J. Leuer,,46-49,,
1:21.0,J. Leuer makes 2-pt shot from 2 ft,2,48-49,,
0:58.0,,,48-51,2,A. Ajinca makes 2-pt shot at rim (assist by J. Holiday)
0:50.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,48-51,,
0:47.0,,,48-51,,Defensive rebound by A. Davis
0:37.0,,,48-51,,J. Holiday misses 2-pt shot from 16 ft
0:35.0,Defensive rebound by Team,,48-51,,
0:35.0,,,48-51,,D. Cunningham enters the game for A. Ajinca
0:35.0,T. Harris enters the game for J. Leuer,,48-51,,
0:27.0,R. Jackson misses 2-pt shot from 2 ft,,48-51,,
0:25.0,Offensive rebound by A. Drummond,,48-51,,
0:25.0,A. Drummond makes 2-pt shot from 2 ft,2,50-51,,
0:05.0,,,50-51,,H. Thompson misses 3-pt shot from 27 ft
0:03.0,,,50-51,,Offensive rebound by S. Hill
0:02.0,,,50-51,,Shooting foul by T. Harris (drawn by S. Hill)
0:02.0,,,50-52,1,S. Hill makes free throw 1 of 2
0:02.0,,,50-53,1,S. Hill makes free throw 2 of 2
0:02.0,,,50-52,,D. Motiejunas enters the game for A. Davis
0:00.0,R. Jackson misses 3-pt shot from 43 ft,,50-53,,
0:00.0,Offensive rebound by Team,,50-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,M. Morris makes 2-pt shot from 17 ft,2,52-53,,
11:33.0,,,52-55,2,A. Davis makes 2-pt shot from 7 ft (assist by S. Hill)
11:17.0,M. Morris misses 3-pt shot from 29 ft,,52-55,,
11:16.0,,,52-55,,Defensive rebound by H. Thompson
11:05.0,,,52-57,2,J. Holiday makes 2-pt shot from 12 ft
10:40.0,A. Drummond misses 2-pt shot from 7 ft,,52-57,,
10:39.0,Offensive rebound by M. Morris,,52-57,,
10:39.0,M. Morris misses 2-pt shot from 3 ft,,52-57,,
10:39.0,,,52-57,,Defensive rebound by A. Davis
10:39.0,Loose ball foul by M. Morris (drawn by A. Davis),,52-57,,
10:20.0,,,52-60,3,J. Holiday makes 3-pt shot from 26 ft
9:59.0,A. Drummond misses 2-pt shot from 10 ft,,52-60,,
9:58.0,Offensive rebound by M. Morris,,52-60,,
9:54.0,M. Morris makes 2-pt shot from 17 ft,2,54-60,,
9:38.0,,,54-63,3,D. Cunningham makes 3-pt shot from 25 ft (assist by J. Holiday)
9:38.0,Detroit full timeout,,54-63,,
9:26.0,M. Morris misses 2-pt shot from 3 ft,,54-63,,
9:25.0,Offensive rebound by A. Drummond,,54-63,,
9:23.0,A. Drummond misses 2-pt shot from 2 ft,,54-63,,
9:22.0,Offensive rebound by A. Drummond,,54-63,,
9:22.0,Shooting foul by H. Thompson (drawn by A. Drummond),,54-63,,
9:22.0,A. Drummond makes 2-pt shot from 2 ft,2,56-63,,
9:22.0,A. Drummond misses free throw 1 of 1,,56-63,,
9:19.0,,,56-63,,Defensive rebound by D. Cunningham
9:09.0,,,56-65,2,J. Holiday makes 2-pt shot from 1 ft (assist by S. Hill)
8:49.0,A. Drummond misses 2-pt shot from 4 ft,,56-65,,
8:48.0,,,56-65,,Defensive rebound by J. Holiday
8:39.0,,,56-67,2,A. Davis makes 2-pt shot from 2 ft (assist by H. Thompson)
8:23.0,R. Jackson misses 2-pt shot from 15 ft,,56-67,,
8:23.0,,,56-67,,Defensive rebound by J. Holiday
8:13.0,,,56-67,,Offensive charge foul by A. Davis
8:13.0,,,56-67,,Turnover by A. Davis (offensive foul)
7:58.0,J. Leuer misses 3-pt shot from 27 ft,,56-67,,
7:57.0,,,56-67,,Defensive rebound by A. Davis
7:40.0,,,56-67,,Turnover by J. Holiday (bad pass; steal by J. Leuer)
7:20.0,Shooting foul by D. Cunningham (drawn by M. Morris),,56-67,,
7:20.0,M. Morris misses free throw 1 of 2,,56-67,,
7:20.0,Offensive rebound by Team,,56-67,,
7:20.0,M. Morris misses free throw 2 of 2,,56-67,,
7:18.0,Offensive rebound by M. Morris,,56-67,,
7:12.0,K. Caldwell-Pope misses 2-pt shot from 8 ft,,56-67,,
7:11.0,Offensive rebound by J. Leuer,,56-67,,
7:03.0,J. Leuer makes 2-pt shot from 2 ft (assist by M. Morris),2,58-67,,
6:43.0,,,58-69,2,J. Holiday makes 2-pt shot from 3 ft
6:27.0,R. Jackson makes 2-pt shot from 4 ft,2,60-69,,
6:06.0,,,60-71,2,J. Holiday makes 2-pt shot from 3 ft (assist by A. Davis)
5:49.0,J. Leuer misses 2-pt shot from 8 ft,,60-71,,
5:49.0,Offensive rebound by Team,,60-71,,
5:49.0,,,60-71,,Loose ball foul by H. Thompson (drawn by A. Drummond)
5:48.0,,,60-71,,A. Ajinca enters the game for D. Cunningham
5:20.0,R. Jackson misses 2-pt shot from 16 ft,,60-71,,
5:19.0,Offensive rebound by A. Drummond,,60-71,,
5:17.0,R. Jackson misses 3-pt shot from 26 ft,,60-71,,
5:16.0,,,60-71,,Defensive rebound by S. Hill
5:06.0,,,60-71,,Turnover by J. Holiday (bad pass; steal by K. Caldwell-Pope)
4:51.0,Turnover by M. Morris (lost ball; steal by J. Holiday),,60-71,,
4:31.0,,,60-71,,S. Hill misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by R. Jackson,,60-71,,
4:21.0,R. Jackson misses 2-pt shot from 3 ft (block by A. Davis),,60-71,,
4:18.0,,,60-71,,Defensive rebound by J. Holiday
4:13.0,,,60-73,2,S. Hill makes 2-pt shot at rim (assist by J. Holiday)
3:57.0,J. Leuer misses 2-pt shot from 13 ft,,60-73,,
3:56.0,Offensive rebound by A. Drummond,,60-73,,
3:56.0,Shooting foul by A. Ajinca (drawn by A. Drummond),,60-73,,
3:56.0,A. Drummond makes free throw 1 of 2,1,61-73,,
3:56.0,A. Drummond misses free throw 2 of 2,,61-73,,
3:56.0,I. Smith enters the game for R. Jackson,,60-73,,
3:56.0,,,61-73,,T. Frazier enters the game for J. Holiday
3:56.0,,,61-73,,E. Moore enters the game for H. Thompson
3:56.0,T. Harris enters the game for M. Morris,,61-73,,
3:52.0,,,61-73,,Defensive rebound by A. Davis
3:47.0,Personal foul by A. Drummond (drawn by E. Moore),,61-73,,
3:30.0,,,61-73,,A. Davis misses 3-pt shot from 26 ft
3:29.0,Defensive rebound by K. Caldwell-Pope,,61-73,,
3:21.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,61-73,,
3:19.0,Offensive rebound by J. Leuer,,61-73,,
3:14.0,A. Drummond makes 2-pt shot at rim (assist by J. Leuer),2,63-73,,
3:06.0,,,63-73,,A. Davis misses 2-pt shot from 2 ft
3:05.0,Defensive rebound by I. Smith,,63-73,,
2:56.0,T. Harris makes 2-pt shot at rim,2,65-73,,
2:46.0,,,65-73,,A. Davis misses 2-pt shot from 7 ft
2:46.0,,,65-73,,Offensive rebound by Team
2:46.0,,,65-73,,New Orleans full timeout
2:35.0,,,65-73,,A. Ajinca misses 2-pt shot from 10 ft
2:34.0,Defensive rebound by A. Drummond,,65-73,,
2:25.0,Turnover by J. Leuer (lost ball; steal by S. Hill),,65-73,,
2:19.0,,,65-73,,Turnover by T. Frazier (bad pass; steal by I. Smith)
2:11.0,J. Leuer misses 2-pt shot from 3 ft,,65-73,,
2:10.0,Offensive rebound by K. Caldwell-Pope,,65-73,,
2:06.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,65-73,,
2:05.0,,,65-73,,Defensive rebound by E. Moore
1:59.0,,,65-73,,Turnover by A. Davis (lost ball)
1:45.0,Shooting foul by E. Moore (drawn by T. Harris),,65-73,,
1:45.0,T. Harris makes free throw 1 of 2,1,66-73,,
1:45.0,T. Harris makes free throw 2 of 2,1,67-73,,
1:25.0,,,67-73,,T. Frazier misses 2-pt shot from 7 ft (block by A. Drummond)
1:24.0,Defensive rebound by A. Drummond,,67-73,,
1:24.0,Turnover by A. Drummond (lost ball; steal by T. Frazier),,67-73,,
1:24.0,Loose ball foul by A. Drummond (drawn by T. Frazier),,67-73,,
1:24.0,Flagrant foul type 1 by A. Drummond (drawn by T. Frazier),,67-73,,
1:24.0,,,67-73,,T. Frazier misses flagrant free throw 1 of 2
1:24.0,,,67-73,,Offensive rebound by Team
1:24.0,,,67-74,1,T. Frazier makes flagrant free throw 2 of 2
1:24.0,A. Baynes enters the game for A. Drummond,,67-74,,
1:24.0,,,67-74,,D. Cunningham enters the game for A. Davis
1:12.0,,,67-74,,E. Moore misses 2-pt shot from 9 ft
1:11.0,,,67-74,,Offensive rebound by A. Ajinca
1:00.0,,,67-74,,D. Cunningham misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by A. Baynes,,67-74,,
0:53.0,Turnover by J. Leuer (lost ball; steal by D. Cunningham),,67-74,,
0:48.0,,,67-74,,E. Moore misses 2-pt shot from 2 ft
0:48.0,,,67-74,,Offensive rebound by T. Frazier
0:45.0,,,67-76,2,T. Frazier makes 2-pt shot from 1 ft
0:29.0,,,67-76,,Personal foul by E. Moore (drawn by T. Harris)
0:29.0,T. Harris misses free throw 1 of 2,,67-76,,
0:29.0,Offensive rebound by Team,,67-76,,
0:29.0,T. Harris misses free throw 2 of 2,,67-76,,
0:29.0,M. Morris enters the game for J. Leuer,,67-76,,
0:29.0,,,67-76,,H. Thompson enters the game for S. Hill
0:27.0,,,67-76,,Defensive rebound by A. Ajinca
0:05.0,,,67-78,2,T. Frazier makes 2-pt shot from 3 ft
0:00.0,M. Morris makes 3-pt shot from 27 ft,3,70-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,70-78,,H. Thompson misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by T. Harris,,70-78,,
11:28.0,A. Baynes makes 2-pt shot from 20 ft (assist by I. Smith),2,72-78,,
11:08.0,,,72-78,,D. Cunningham misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by A. Baynes,,72-78,,
10:56.0,A. Baynes misses 2-pt shot from 20 ft,,72-78,,
10:55.0,,,72-78,,Defensive rebound by D. Cunningham
10:40.0,,,72-80,2,E. Moore makes 2-pt shot from 13 ft
10:21.0,T. Harris makes 2-pt shot from 10 ft,2,74-80,,
10:06.0,,,74-83,3,D. Cunningham makes 3-pt shot from 24 ft (assist by H. Thompson)
9:44.0,I. Smith misses 3-pt shot from 27 ft,,74-83,,
9:42.0,Offensive rebound by M. Morris,,74-83,,
9:42.0,M. Morris misses 2-pt shot from 3 ft,,74-83,,
9:42.0,Offensive rebound by A. Baynes,,74-83,,
9:42.0,,,74-83,,Personal foul by A. Ajinca (drawn by A. Baynes)
9:42.0,,,74-83,,A. Davis enters the game for A. Ajinca
9:34.0,I. Smith misses 2-pt shot from 18 ft,,74-83,,
9:33.0,,,74-83,,Defensive rebound by H. Thompson
9:13.0,,,74-83,,E. Moore misses 2-pt shot from 21 ft
9:11.0,Defensive rebound by T. Harris,,74-83,,
8:57.0,S. Johnson misses 2-pt shot from 12 ft,,74-83,,
8:52.0,,,74-83,,Defensive rebound by A. Davis
8:47.0,,,74-83,,Turnover by T. Frazier (bad pass; steal by T. Harris)
8:30.0,S. Johnson misses 3-pt shot from 26 ft,,74-83,,
8:29.0,Offensive rebound by S. Johnson,,74-83,,
8:28.0,Turnover by S. Johnson (step out of bounds),,74-83,,
8:28.0,Official timeout,,74-83,,
8:28.0,,,74-83,,J. Holiday enters the game for T. Frazier
8:08.0,,,74-83,,A. Davis misses 2-pt shot from 7 ft
8:07.0,Defensive rebound by T. Harris,,74-83,,
7:50.0,I. Smith makes 2-pt shot from 17 ft,2,76-83,,
7:34.0,,,76-85,2,J. Holiday makes 2-pt shot from 16 ft
7:14.0,I. Smith makes 2-pt shot from 16 ft (assist by T. Harris),2,78-85,,
6:59.0,,,78-88,3,J. Holiday makes 3-pt shot from 26 ft
6:40.0,M. Morris makes 2-pt shot from 18 ft (assist by I. Smith),2,80-88,,
6:22.0,,,80-90,2,D. Cunningham makes 2-pt shot from 4 ft (assist by E. Moore)
6:04.0,M. Morris misses 2-pt shot from 15 ft,,80-90,,
6:02.0,,,80-90,,Defensive rebound by A. Davis
5:50.0,,,80-93,3,D. Cunningham makes 3-pt shot from 24 ft (assist by A. Davis)
5:49.0,Detroit full timeout,,80-93,,
5:49.0,J. Leuer enters the game for I. Smith,,80-93,,
5:49.0,R. Jackson enters the game for S. Johnson,,80-93,,
5:49.0,K. Caldwell-Pope enters the game for A. Baynes,,80-93,,
5:35.0,M. Morris makes 2-pt shot from 5 ft,2,82-93,,
5:14.0,,,82-96,3,E. Moore makes 3-pt shot from 24 ft (assist by A. Davis)
4:49.0,M. Morris misses 3-pt shot from 27 ft,,82-96,,
4:47.0,,,82-96,,Defensive rebound by A. Davis
4:32.0,,,82-96,,J. Holiday misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by T. Harris,,82-96,,
4:23.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,82-96,,
4:21.0,,,82-96,,Defensive rebound by A. Davis
4:10.0,,,82-96,,Turnover by J. Holiday (lost ball)
3:49.0,T. Harris misses 2-pt shot from 2 ft,,82-96,,
3:46.0,,,82-96,,Defensive rebound by H. Thompson
3:42.0,,,82-98,2,E. Moore makes 2-pt shot from 3 ft
3:42.0,,,82-98,,Shooting foul by R. Jackson (drawn by E. Moore)
