time,Orlando,pts.away,score,pts.home,Toronto
6:20.0,S. Ibaka misses 2-pt shot from 20 ft,,16-18,,
6:20.0,,,16-18,,Defensive rebound by K. Lowry
6:13.0,,,16-18,,D. Carroll misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by Team,,16-18,,
6:05.0,,,16-18,,Personal foul by J. Valanciunas (drawn by N. Vucevic)
5:57.0,N. Vucevic misses 2-pt shot from 15 ft,,16-18,,
5:56.0,,,16-18,,Defensive rebound by D. DeRozan
5:30.0,,,16-18,,Turnover by Team (shot clock)
5:12.0,A. Gordon misses 3-pt shot from 25 ft,,16-18,,
5:12.0,,,16-18,,Defensive rebound by P. Patterson
5:02.0,,,16-18,,D. DeRozan misses 2-pt shot from 11 ft
5:02.0,,,16-18,,Offensive rebound by D. DeRozan
4:58.0,,,16-18,,Shooting foul by A. Gordon (drawn by P. Patterson)
4:58.0,,,16-19,1,P. Patterson makes free throw 1 of 2
4:58.0,,,16-20,1,P. Patterson makes free throw 2 of 2
4:58.0,,,16-19,,C. Joseph enters the game for K. Lowry
4:58.0,J. Green enters the game for A. Gordon,,16-19,,
4:41.0,E. Payton misses 3-pt shot from 26 ft,,16-20,,
4:40.0,,,16-20,,Defensive rebound by D. Carroll
4:24.0,,,16-23,3,C. Joseph makes 3-pt shot from 23 ft (assist by J. Valanciunas)
4:06.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,19-23,,
3:49.0,,,19-23,,Turnover by J. Valanciunas (3 sec)
3:49.0,D. Augustin enters the game for C. Watson,,19-23,,
3:49.0,,,19-23,,P. Siakam enters the game for P. Patterson
3:41.0,E. Payton makes 2-pt shot from 2 ft,2,21-23,,
3:28.0,,,21-23,,D. Carroll misses 3-pt shot from 23 ft
3:27.0,Defensive rebound by N. Vucevic,,21-23,,
3:21.0,Turnover by D. Augustin (bad pass; steal by D. Carroll),,21-23,,
3:16.0,,,21-23,,Turnover by D. Carroll (traveling)
3:16.0,D. Rudez enters the game for S. Ibaka,,21-23,,
2:56.0,J. Green makes 2-pt shot from 19 ft,2,23-23,,
2:50.0,,,23-23,,Toronto full timeout
2:50.0,,,23-23,,T. Ross enters the game for D. Carroll
2:50.0,,,23-23,,L. Nogueira enters the game for J. Valanciunas
2:35.0,,,23-26,3,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan)
2:19.0,D. Augustin makes 2-pt shot from 2 ft,2,25-26,,
1:56.0,,,25-28,2,P. Siakam makes 2-pt shot from 2 ft (assist by D. DeRozan)
1:38.0,N. Vucevic misses 2-pt shot from 3 ft (block by P. Siakam),,25-28,,
1:37.0,,,25-28,,Defensive rebound by D. DeRozan
1:26.0,,,25-30,2,D. DeRozan makes 2-pt shot from 20 ft
1:25.0,Orlando full timeout,,25-30,,
1:25.0,,,25-30,,K. Lowry enters the game for D. DeRozan
1:25.0,B. Biyombo enters the game for N. Vucevic,,25-30,,
1:08.0,B. Biyombo misses 2-pt shot from 3 ft (block by L. Nogueira),,25-30,,
1:07.0,,,25-30,,Defensive rebound by K. Lowry
1:00.0,,,25-30,,T. Ross misses 3-pt shot from 24 ft
1:00.0,,,25-30,,Offensive rebound by K. Lowry
0:59.0,,,25-30,,Shooting foul by B. Biyombo (drawn by K. Lowry)
0:59.0,,,25-31,1,K. Lowry makes free throw 1 of 2
0:59.0,,,25-32,1,K. Lowry makes free throw 2 of 2
0:51.0,Turnover by J. Green (lost ball; steal by L. Nogueira),,25-32,,
0:45.0,,,25-32,,C. Joseph misses 2-pt shot from 3 ft
0:45.0,,,25-32,,Offensive rebound by L. Nogueira
0:44.0,,,25-34,2,L. Nogueira makes 2-pt shot at rim
0:23.0,J. Green makes 2-pt shot from 21 ft,2,27-34,,
0:00.0,,,27-36,2,L. Nogueira makes 2-pt shot from 2 ft (assist by K. Lowry)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Turnover by B. Biyombo (traveling),,27-36,,
11:27.0,,,27-36,,Turnover by K. Lowry (bad pass)
11:09.0,D. Augustin makes 2-pt shot from 6 ft,2,29-36,,
10:50.0,,,29-38,2,T. Ross makes 2-pt shot from 7 ft
10:31.0,D. Rudez makes 3-pt shot from 25 ft (assist by J. Green),3,32-38,,
10:19.0,,,32-38,,K. Lowry misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by D. Rudez,,32-38,,
10:14.0,,,32-38,,Personal foul by L. Nogueira (drawn by B. Biyombo)
10:00.0,D. Augustin makes 2-pt shot from 20 ft,2,34-38,,
9:42.0,,,34-41,3,K. Lowry makes 3-pt shot from 25 ft (assist by T. Ross)
9:29.0,Shooting foul by P. Patterson (drawn by J. Green),,34-41,,
9:29.0,J. Green misses free throw 1 of 2,,34-41,,
9:29.0,Offensive rebound by Team,,34-41,,
9:29.0,J. Green makes free throw 2 of 2,1,35-41,,
9:12.0,,,35-41,,C. Joseph misses 2-pt shot from 9 ft
9:11.0,Defensive rebound by B. Biyombo,,35-41,,
9:00.0,D. Rudez misses 2-pt shot from 18 ft,,35-41,,
8:59.0,,,35-41,,Defensive rebound by L. Nogueira
8:47.0,,,35-43,2,K. Lowry makes 2-pt shot from 1 ft
8:26.0,C. Watson makes 2-pt shot from 2 ft (assist by D. Rudez),2,37-43,,
8:14.0,,,37-43,,Turnover by K. Lowry (bad pass; steal by J. Green)
8:06.0,Turnover by C. Watson (bad pass; steal by T. Ross),,37-43,,
8:02.0,,,37-43,,Turnover by T. Ross (lost ball; steal by J. Green)
7:57.0,Shooting foul by L. Nogueira (drawn by D. Augustin),,37-43,,
7:57.0,Official timeout,,37-43,,
7:57.0,D. Augustin makes free throw 1 of 2,1,38-43,,
7:57.0,D. Augustin makes free throw 2 of 2,1,39-43,,
7:57.0,S. Ibaka enters the game for D. Rudez,,37-43,,
7:32.0,,,39-43,,C. Joseph misses 3-pt shot from 24 ft
7:30.0,,,39-43,,Offensive rebound by C. Joseph
7:21.0,,,39-46,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
7:10.0,,,39-46,,Personal foul by L. Nogueira (drawn by D. Augustin)
7:10.0,,,39-46,,N. Powell enters the game for C. Joseph
7:10.0,,,39-46,,J. Valanciunas enters the game for L. Nogueira
7:10.0,,,39-46,,P. Siakam enters the game for P. Patterson
7:02.0,D. Augustin misses 2-pt shot from 17 ft,,39-46,,
7:01.0,,,39-46,,Defensive rebound by J. Valanciunas
6:52.0,,,39-48,2,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry)
6:38.0,C. Watson misses 2-pt shot from 18 ft,,39-48,,
6:38.0,,,39-48,,Defensive rebound by J. Valanciunas
6:34.0,Loose ball foul by J. Green (drawn by P. Siakam),,39-48,,
6:34.0,,,39-48,,D. DeRozan enters the game for T. Ross
6:34.0,A. Gordon enters the game for J. Green,,39-48,,
6:20.0,,,39-48,,P. Siakam misses 2-pt shot from 3 ft
6:20.0,,,39-48,,Offensive rebound by J. Valanciunas
6:20.0,,,39-48,,Shooting foul by C. Watson (drawn by J. Valanciunas)
6:20.0,,,39-49,1,J. Valanciunas makes free throw 1 of 2
6:20.0,,,39-49,,J. Valanciunas misses free throw 2 of 2
6:20.0,Defensive rebound by B. Biyombo,,39-49,,
6:11.0,,,39-49,,Personal foul by P. Siakam (drawn by B. Biyombo)
6:11.0,B. Biyombo misses free throw 1 of 2,,39-49,,
6:11.0,Offensive rebound by Team,,39-49,,
6:11.0,B. Biyombo misses free throw 2 of 2,,39-49,,
6:11.0,,,39-49,,Defensive rebound by N. Powell
5:45.0,,,39-49,,Turnover by Team (shot clock)
5:45.0,,,39-49,,Toronto full timeout
5:45.0,E. Payton enters the game for D. Augustin,,39-49,,
5:45.0,N. Vucevic enters the game for B. Biyombo,,39-49,,
5:25.0,C. Watson misses 3-pt shot from 24 ft,,39-49,,
5:24.0,Offensive rebound by N. Vucevic,,39-49,,
5:05.0,S. Ibaka makes 2-pt shot from 11 ft,2,41-49,,
4:46.0,,,41-49,,J. Valanciunas misses 2-pt shot from 12 ft
4:45.0,Defensive rebound by S. Ibaka,,41-49,,
4:34.0,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic),2,43-49,,
4:09.0,,,43-49,,K. Lowry misses 2-pt shot from 2 ft
4:09.0,Defensive rebound by S. Ibaka,,43-49,,
4:03.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,45-49,,
3:57.0,,,45-49,,Toronto full timeout
3:57.0,,,45-49,,D. Carroll enters the game for K. Lowry
3:57.0,,,45-49,,C. Joseph enters the game for N. Powell
3:41.0,,,45-49,,D. DeRozan misses 2-pt shot from 2 ft
3:40.0,Defensive rebound by N. Vucevic,,45-49,,
3:20.0,A. Gordon makes 3-pt shot from 23 ft (assist by N. Vucevic),3,48-49,,
3:05.0,,,48-49,,D. DeRozan misses 2-pt shot from 21 ft
3:04.0,Defensive rebound by E. Payton,,48-49,,
2:55.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,51-49,,
2:33.0,Personal foul by C. Watson (drawn by J. Valanciunas),,51-49,,
2:33.0,Orlando full timeout,,51-49,,
2:33.0,D. Augustin enters the game for C. Watson,,51-49,,
2:22.0,,,51-49,,Turnover by D. DeRozan (lost ball; steal by D. Augustin)
2:16.0,D. Augustin makes 2-pt shot from 2 ft,2,53-49,,
1:50.0,,,53-49,,C. Joseph misses 2-pt shot from 9 ft
1:49.0,Defensive rebound by N. Vucevic,,53-49,,
1:44.0,,,53-49,,Personal foul by D. DeRozan (drawn by S. Ibaka)
1:44.0,S. Ibaka makes free throw 1 of 2,1,54-49,,
1:44.0,S. Ibaka makes free throw 2 of 2,1,55-49,,
1:33.0,,,55-49,,D. Carroll misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by A. Gordon,,55-49,,
1:22.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,58-49,,
1:02.0,,,58-49,,Turnover by D. Carroll (lost ball; steal by N. Vucevic)
0:43.0,S. Ibaka misses 2-pt shot from 15 ft,,58-49,,
0:43.0,,,58-49,,Defensive rebound by J. Valanciunas
0:34.0,,,58-49,,Shooting foul by S. Ibaka (drawn by D. DeRozan)
0:34.0,,,58-50,1,D. DeRozan makes free throw 1 of 2
0:34.0,,,58-51,1,D. DeRozan makes free throw 2 of 2
0:34.0,J. Green enters the game for A. Gordon,,58-50,,
0:30.0,,,58-51,,Personal foul by J. Valanciunas (drawn by E. Payton)
0:30.0,E. Payton makes free throw 1 of 2,1,59-51,,
0:30.0,E. Payton makes free throw 2 of 2,1,60-51,,
0:30.0,,,59-51,,T. Ross enters the game for P. Siakam
0:15.0,,,60-51,,C. Joseph misses 2-pt shot from 2 ft
0:15.0,Defensive rebound by S. Ibaka,,60-51,,
0:00.0,E. Payton misses 3-pt shot from 26 ft,,60-51,,
0:00.0,Offensive rebound by Team,,60-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,S. Ibaka makes 2-pt shot from 15 ft (assist by N. Vucevic),2,62-51,,
11:32.0,Personal foul by A. Gordon (drawn by K. Lowry),,62-51,,
11:21.0,,,62-53,2,D. DeRozan makes 2-pt shot from 19 ft
11:06.0,E. Payton misses 2-pt shot from 3 ft,,62-53,,
11:05.0,,,62-53,,Defensive rebound by P. Patterson
10:55.0,,,62-53,,Shooting foul by N. Vucevic (drawn by D. Carroll)
10:55.0,,,62-53,,D. Carroll misses free throw 1 of 2
10:55.0,,,62-53,,Offensive rebound by Team
10:55.0,,,62-54,1,D. Carroll makes free throw 2 of 2
10:31.0,E. Payton misses 2-pt shot from 4 ft,,62-54,,
10:30.0,,,62-54,,Defensive rebound by K. Lowry
10:23.0,,,62-54,,K. Lowry misses 2-pt shot from 18 ft
10:22.0,Defensive rebound by N. Vucevic,,62-54,,
10:17.0,S. Ibaka makes 2-pt shot at rim (assist by E. Payton),2,64-54,,
9:51.0,,,64-54,,D. DeRozan misses 2-pt shot from 17 ft
9:51.0,Defensive rebound by S. Ibaka,,64-54,,
9:44.0,C. Watson misses 2-pt shot from 2 ft,,64-54,,
9:43.0,Offensive rebound by A. Gordon,,64-54,,
9:41.0,A. Gordon misses 2-pt shot from 2 ft,,64-54,,
9:41.0,,,64-54,,Defensive rebound by D. DeRozan
9:34.0,,,64-54,,D. Carroll misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by Team,,64-54,,
9:24.0,,,64-54,,Def 3 sec tech foul by D. DeRozan
9:24.0,C. Watson makes technical free throw,1,65-54,,
9:22.0,,,65-54,,Personal block foul by D. DeRozan
9:19.0,A. Gordon misses 2-pt shot from 17 ft,,65-54,,
9:18.0,,,65-54,,Defensive rebound by D. Carroll
9:08.0,,,65-54,,Shooting foul by E. Payton (drawn by J. Valanciunas)
9:08.0,,,65-55,1,J. Valanciunas makes free throw 1 of 2
9:08.0,,,65-56,1,J. Valanciunas makes free throw 2 of 2
8:58.0,E. Payton misses 2-pt shot from 3 ft (block by P. Patterson),,65-56,,
8:56.0,,,65-56,,Defensive rebound by J. Valanciunas
8:43.0,Personal foul by E. Payton (drawn by D. DeRozan),,65-56,,
8:38.0,,,65-56,,K. Lowry misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by N. Vucevic,,65-56,,
8:27.0,S. Ibaka makes 2-pt shot from 18 ft,2,67-56,,
8:11.0,,,67-58,2,D. DeRozan makes 2-pt shot from 16 ft
7:53.0,N. Vucevic misses 2-pt shot from 17 ft,,67-58,,
7:53.0,,,67-58,,Defensive rebound by P. Patterson
7:45.0,,,67-60,2,D. Carroll makes 2-pt shot from 2 ft (assist by K. Lowry)
7:39.0,Turnover by S. Ibaka (offensive goaltending),,67-60,,
7:39.0,,,67-60,,L. Nogueira enters the game for D. Carroll
7:39.0,,,67-60,,T. Ross enters the game for J. Valanciunas
7:28.0,,,67-60,,Turnover by K. Lowry (traveling)
7:22.0,,,67-60,,Personal foul by L. Nogueira (drawn by N. Vucevic)
7:08.0,A. Gordon makes 2-pt shot from 6 ft (assist by N. Vucevic),2,69-60,,
6:52.0,,,69-60,,K. Lowry misses 2-pt shot from 3 ft (block by N. Vucevic)
6:50.0,Defensive rebound by C. Watson,,69-60,,
6:39.0,C. Watson makes 2-pt shot from 18 ft (assist by S. Ibaka),2,71-60,,
6:39.0,,,71-60,,Toronto full timeout
6:30.0,,,71-63,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
6:13.0,E. Payton misses 3-pt shot from 22 ft,,71-63,,
6:13.0,,,71-63,,Defensive rebound by D. DeRozan
6:03.0,,,71-63,,D. DeRozan misses 2-pt shot from 6 ft
6:02.0,,,71-63,,Offensive rebound by Team
5:57.0,,,71-63,,Turnover by P. Patterson (bad pass; steal by E. Payton)
5:41.0,N. Vucevic makes 2-pt shot from 3 ft (assist by A. Gordon),2,73-63,,
5:20.0,,,73-66,3,T. Ross makes 3-pt shot from 22 ft (assist by D. DeRozan)
5:11.0,C. Watson makes 2-pt shot from 3 ft (assist by N. Vucevic),2,75-66,,
5:11.0,Shooting foul by K. Lowry (drawn by C. Watson),,75-66,,
5:11.0,C. Watson makes free throw 1 of 1,1,76-66,,
5:04.0,,,76-68,2,D. DeRozan makes 2-pt shot from 15 ft
4:51.0,,,76-68,,Personal foul by T. Ross (drawn by S. Ibaka)
4:45.0,Turnover by E. Payton (lost ball; steal by K. Lowry),,76-68,,
4:39.0,,,76-71,3,K. Lowry makes 3-pt shot from 23 ft (assist by D. DeRozan)
4:38.0,Orlando full timeout,,76-71,,
4:38.0,,,76-71,,N. Powell enters the game for P. Patterson
4:26.0,N. Vucevic misses 2-pt shot from 9 ft,,76-71,,
4:26.0,,,76-71,,Defensive rebound by D. DeRozan
4:15.0,,,76-71,,Shooting foul by A. Gordon (drawn by D. DeRozan)
4:15.0,,,76-72,1,D. DeRozan makes free throw 1 of 2
4:15.0,,,76-73,1,D. DeRozan makes free throw 2 of 2
4:15.0,J. Green enters the game for C. Watson,,76-72,,
4:15.0,D. Augustin enters the game for A. Gordon,,76-72,,
4:04.0,N. Vucevic misses 2-pt shot from 21 ft,,76-73,,
4:04.0,,,76-73,,Defensive rebound by K. Lowry
3:43.0,,,76-73,,N. Powell misses 3-pt shot from 23 ft
3:42.0,Defensive rebound by Team,,76-73,,
3:42.0,,,76-73,,Loose ball foul by L. Nogueira (drawn by N. Vucevic)
3:42.0,N. Vucevic makes free throw 1 of 2,1,77-73,,
3:42.0,N. Vucevic makes free throw 2 of 2,1,78-73,,
3:42.0,,,77-73,,J. Sullinger enters the game for L. Nogueira
3:29.0,,,78-73,,Shooting foul by E. Payton (drawn by K. Lowry)
3:29.0,,,78-74,1,K. Lowry makes free throw 1 of 2
3:29.0,,,78-75,1,K. Lowry makes free throw 2 of 2
3:18.0,Turnover by E. Payton (bad pass; steal by T. Ross),,78-75,,
3:15.0,,,78-75,,T. Ross misses 2-pt shot from 2 ft (block by E. Payton)
3:15.0,,,78-75,,Offensive rebound by Team
3:05.0,,,78-75,,D. DeRozan misses 2-pt shot from 14 ft
3:04.0,Defensive rebound by S. Ibaka,,78-75,,
2:51.0,E. Payton makes 2-pt shot from 2 ft,2,80-75,,
2:31.0,,,80-75,,D. DeRozan misses 2-pt shot from 16 ft (block by N. Vucevic)
2:30.0,Defensive rebound by S. Ibaka,,80-75,,
2:13.0,Turnover by S. Ibaka (lost ball; steal by N. Powell),,80-75,,
2:07.0,,,80-75,,K. Lowry misses 2-pt shot from 2 ft (block by S. Ibaka)
2:07.0,,,80-75,,Offensive rebound by Team
2:07.0,C. Watson enters the game for S. Ibaka,,80-75,,
2:07.0,,,80-75,,C. Joseph enters the game for K. Lowry
1:53.0,,,80-75,,N. Powell misses 2-pt shot from 3 ft (block by N. Vucevic)
1:52.0,Defensive rebound by N. Vucevic,,80-75,,
1:43.0,E. Payton misses 2-pt shot from 2 ft,,80-75,,
1:42.0,,,80-75,,Defensive rebound by D. DeRozan
1:35.0,,,80-77,2,D. DeRozan makes 2-pt shot from 8 ft
1:35.0,,,80-77,,Shooting foul by E. Payton (drawn by D. DeRozan)
1:35.0,,,80-78,1,D. DeRozan makes free throw 1 of 1
1:19.0,Turnover by N. Vucevic (bad pass; steal by C. Joseph),,80-78,,
1:06.0,,,80-78,,D. DeRozan misses 2-pt shot from 15 ft
1:05.0,Defensive rebound by N. Vucevic,,80-78,,
0:52.0,Turnover by N. Vucevic (3 sec),,80-78,,
0:52.0,B. Biyombo enters the game for N. Vucevic,,80-78,,
0:29.0,,,80-78,,D. DeRozan misses 3-pt shot from 27 ft
0:28.0,,,80-78,,Offensive rebound by J. Sullinger
0:06.0,,,80-78,,D. DeRozan misses 2-pt shot from 2 ft
0:06.0,Defensive rebound by J. Green,,80-78,,
0:00.0,C. Watson makes 2-pt shot from 21 ft (assist by J. Green),2,82-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,82-78,,Technical foul by D. DeRozan
12:00.0,C. Watson makes technical free throw,1,83-78,,
11:45.0,,,83-78,,T. Ross misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by B. Biyombo,,83-78,,
11:29.0,D. Augustin makes 3-pt shot from 25 ft (assist by B. Biyombo),3,86-78,,
11:05.0,,,86-81,3,K. Lowry makes 3-pt shot from 25 ft
10:38.0,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin),2,88-81,,
10:30.0,Personal foul by C. Watson (drawn by K. Lowry),,88-81,,
10:23.0,,,88-81,,J. Sullinger misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by D. Augustin,,88-81,,
10:13.0,D. Augustin makes 3-pt shot from 24 ft,3,91-81,,
9:55.0,,,91-81,,T. Ross misses 3-pt shot from 23 ft
9:53.0,,,91-81,,Offensive rebound by Team
9:48.0,Personal foul by J. Green (drawn by T. Ross),,91-81,,
9:48.0,,,91-81,,F. VanVleet enters the game for C. Joseph
9:31.0,,,91-83,2,N. Powell makes 2-pt shot from 17 ft
9:10.0,,,91-83,,Personal foul by F. VanVleet (drawn by B. Biyombo)
9:02.0,D. Augustin misses 3-pt shot from 24 ft,,91-83,,
9:01.0,,,91-83,,Defensive rebound by N. Powell
8:55.0,,,91-83,,Shooting foul by B. Biyombo (drawn by N. Powell)
8:55.0,Official timeout,,91-83,,
8:55.0,,,91-84,1,N. Powell makes free throw 1 of 2
8:55.0,,,91-85,1,N. Powell makes free throw 2 of 2
8:55.0,,,91-83,,P. Patterson enters the game for J. Sullinger
8:41.0,J. Green makes 2-pt shot from 6 ft,2,93-85,,
8:23.0,,,93-85,,Turnover by N. Powell (lost ball)
7:58.0,A. Gordon misses 3-pt shot from 25 ft,,93-85,,
7:58.0,Offensive rebound by Team,,93-85,,
7:58.0,,,93-85,,Loose ball foul by T. Ross (drawn by B. Biyombo)
7:37.0,J. Green makes 3-pt shot from 23 ft (assist by D. Augustin),3,96-85,,
7:15.0,,,96-85,,K. Lowry misses 2-pt shot from 2 ft
7:15.0,Defensive rebound by B. Biyombo,,96-85,,
7:06.0,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin),2,98-85,,
7:06.0,,,98-85,,Toronto full timeout
7:06.0,,,98-85,,D. DeRozan enters the game for N. Powell
7:06.0,,,98-85,,J. Valanciunas enters the game for F. VanVleet
6:53.0,,,98-85,,K. Lowry misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by B. Biyombo,,98-85,,
6:44.0,Shooting foul by T. Ross (drawn by D. Augustin),,98-85,,
6:44.0,D. Augustin misses free throw 1 of 3,,98-85,,
6:44.0,Offensive rebound by Team,,98-85,,
6:44.0,D. Augustin makes free throw 2 of 3,1,99-85,,
6:44.0,D. Augustin makes free throw 3 of 3,1,100-85,,
6:44.0,S. Ibaka enters the game for A. Gordon,,99-85,,
6:26.0,,,100-85,,Shooting foul by C. Watson (drawn by K. Lowry)
6:26.0,,,100-85,,K. Lowry misses free throw 1 of 2
6:26.0,,,100-85,,Offensive rebound by Team
6:26.0,,,100-86,1,K. Lowry makes free throw 2 of 2
6:17.0,Turnover by B. Biyombo (offensive foul),,100-86,,
6:17.0,Offensive foul by B. Biyombo,,100-86,,
5:58.0,,,100-86,,D. DeRozan misses 2-pt shot from 19 ft
5:58.0,,,100-86,,Offensive rebound by P. Patterson
5:53.0,,,100-89,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
5:51.0,Orlando full timeout,,100-89,,
5:51.0,N. Vucevic enters the game for C. Watson,,100-89,,
5:51.0,E. Payton enters the game for B. Biyombo,,100-89,,
5:38.0,D. Augustin makes 3-pt shot from 25 ft (assist by E. Payton),3,103-89,,
5:19.0,,,103-91,2,P. Patterson makes 2-pt shot from 2 ft
5:19.0,,,103-91,,Shooting foul by N. Vucevic (drawn by P. Patterson)
5:19.0,,,103-91,,P. Patterson misses free throw 1 of 1
5:18.0,Defensive rebound by J. Green,,103-91,,
5:05.0,N. Vucevic misses 2-pt shot from 7 ft,,103-91,,
5:04.0,,,103-91,,Defensive rebound by P. Patterson
4:58.0,Shooting block foul by N. Vucevic (drawn by D. DeRozan),,103-91,,
4:58.0,,,103-92,1,D. DeRozan makes free throw 1 of 2
4:58.0,,,103-93,1,D. DeRozan makes free throw 2 of 2
4:37.0,Shooting foul by T. Ross (drawn by E. Payton),,103-93,,
4:37.0,E. Payton makes free throw 1 of 2,1,104-93,,
4:37.0,E. Payton misses free throw 2 of 2,,104-93,,
4:36.0,,,104-93,,Defensive rebound by J. Valanciunas
4:22.0,,,104-93,,D. DeRozan misses 2-pt shot from 19 ft
4:22.0,Defensive rebound by E. Payton,,104-93,,
4:03.0,Shooting foul by D. DeRozan (drawn by J. Green),,104-93,,
4:03.0,J. Green misses free throw 1 of 2,,104-93,,
4:03.0,Offensive rebound by Team,,104-93,,
4:03.0,J. Green makes free throw 2 of 2,1,105-93,,
3:57.0,Personal foul by D. Augustin (drawn by K. Lowry),,105-93,,
3:57.0,,,105-93,,K. Lowry misses free throw 1 of 2
3:57.0,,,105-93,,Offensive rebound by Team
3:57.0,,,105-94,1,K. Lowry makes free throw 2 of 2
3:35.0,J. Green misses 2-pt shot from 19 ft,,105-94,,
3:35.0,,,105-94,,Defensive rebound by J. Valanciunas
3:30.0,,,105-94,,Shooting foul by D. Augustin (drawn by K. Lowry)
3:30.0,,,105-95,1,K. Lowry makes free throw 1 of 2
3:30.0,,,105-96,1,K. Lowry makes free throw 2 of 2
3:10.0,S. Ibaka misses 3-pt shot from 24 ft,,105-96,,
3:09.0,Offensive rebound by J. Green,,105-96,,
2:51.0,D. Augustin misses 3-pt shot from 24 ft,,105-96,,
