time,Utah,pts.away,score,pts.home,New York
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,20-32,2,M. Kuzminskas makes 2-pt shot from 2 ft (assist by L. Thomas)
11:26.0,Turnover by S. Mack (bad pass),,20-32,,
11:07.0,,,20-32,,K. O'Quinn misses 2-pt shot from 16 ft
11:06.0,Defensive rebound by Team,,20-32,,
10:49.0,D. Favors makes 2-pt shot from 13 ft (assist by S. Mack),2,22-32,,
10:38.0,,,22-32,,Turnover by B. Jennings (bad pass; steal by J. Johnson)
10:29.0,J. Johnson misses 2-pt shot from 4 ft (block by J. Holiday),,22-32,,
10:28.0,Offensive rebound by J. Johnson,,22-32,,
10:23.0,Turnover by S. Mack (bad pass),,22-32,,
10:10.0,,,22-32,,L. Thomas misses 2-pt shot from 5 ft
10:09.0,Defensive rebound by T. Lyles,,22-32,,
9:57.0,S. Mack misses 2-pt shot from 16 ft,,22-32,,
9:56.0,,,22-32,,Defensive rebound by B. Jennings
9:50.0,,,22-32,,Shooting foul by D. Favors (drawn by K. O'Quinn)
9:50.0,,,22-33,1,K. O'Quinn makes free throw 1 of 2
9:50.0,,,22-34,1,K. O'Quinn makes free throw 2 of 2
9:50.0,R. Gobert enters the game for D. Favors,,22-33,,
9:41.0,,,22-34,,Def 3 sec tech foul by K. O'Quinn
9:41.0,R. Hood misses technical free throw,,22-34,,
9:41.0,Offensive rebound by Team,,22-34,,
9:29.0,T. Lyles makes 3-pt shot from 24 ft (assist by R. Hood),3,25-34,,
9:17.0,,,25-34,,L. Thomas misses 2-pt shot from 2 ft (block by R. Gobert)
9:16.0,,,25-34,,Offensive rebound by Team
9:16.0,Loose ball foul by J. Johnson (drawn by K. O'Quinn),,25-34,,
9:08.0,,,25-37,3,B. Jennings makes 3-pt shot from 25 ft
8:49.0,R. Gobert makes 2-pt shot at rim (assist by T. Lyles),2,27-37,,
8:40.0,,,27-39,2,K. O'Quinn makes 2-pt shot at rim (assist by B. Jennings)
8:24.0,,,27-39,,Personal foul by B. Jennings (drawn by R. Hood)
8:24.0,Official timeout,,27-39,,
8:24.0,D. Exum enters the game for S. Mack,,27-39,,
8:19.0,T. Lyles misses 3-pt shot from 26 ft,,27-39,,
8:18.0,Offensive rebound by Team,,27-39,,
8:18.0,,,27-39,,Loose ball foul by L. Thomas (drawn by R. Gobert)
8:09.0,R. Hood makes 2-pt shot from 6 ft,2,29-39,,
7:42.0,,,29-42,3,M. Kuzminskas makes 3-pt shot from 23 ft (assist by J. Holiday)
7:26.0,Shooting foul by M. Kuzminskas (drawn by J. Johnson),,29-42,,
7:26.0,J. Johnson makes free throw 1 of 2,1,30-42,,
7:26.0,J. Johnson makes free throw 2 of 2,1,31-42,,
7:26.0,,,30-42,,K. Porzingis enters the game for M. Kuzminskas
7:26.0,G. Hayward enters the game for T. Lyles,,30-42,,
7:26.0,G. Hill enters the game for D. Exum,,30-42,,
7:02.0,,,31-42,,K. Porzingis misses 3-pt shot from 26 ft
7:01.0,Defensive rebound by R. Hood,,31-42,,
6:46.0,J. Johnson misses 3-pt shot from 27 ft,,31-42,,
6:45.0,,,31-42,,Defensive rebound by J. Holiday
6:24.0,,,31-42,,K. Porzingis misses 2-pt shot from 6 ft
6:23.0,Defensive rebound by G. Hill,,31-42,,
6:16.0,Shooting foul by K. O'Quinn (drawn by R. Hood),,31-42,,
6:16.0,R. Hood makes free throw 1 of 2,1,32-42,,
6:16.0,R. Hood makes free throw 2 of 2,1,33-42,,
6:16.0,,,32-42,,C. Anthony enters the game for L. Thomas
6:16.0,,,32-42,,C. Lee enters the game for K. O'Quinn
5:55.0,Personal foul by R. Gobert (drawn by K. Porzingis),,33-42,,
5:55.0,,,33-42,,New York full timeout
5:55.0,J. Ingles enters the game for J. Johnson,,33-42,,
5:42.0,,,33-42,,C. Anthony misses 2-pt shot from 1 ft
5:41.0,Defensive rebound by G. Hayward,,33-42,,
5:32.0,Turnover by G. Hayward (bad pass; steal by C. Lee),,33-42,,
5:17.0,,,33-44,2,B. Jennings makes 2-pt shot from 19 ft
5:08.0,,,33-44,,Personal foul by K. Porzingis (drawn by R. Gobert)
5:08.0,R. Gobert makes free throw 1 of 2,1,34-44,,
5:08.0,R. Gobert misses free throw 2 of 2,,34-44,,
5:08.0,,,34-44,,J. Noah enters the game for K. Porzingis
5:07.0,,,34-44,,Defensive rebound by J. Noah
4:49.0,,,34-44,,B. Jennings misses 3-pt shot from 27 ft
4:48.0,Defensive rebound by Team,,34-44,,
4:48.0,,,34-44,,Loose ball foul by J. Noah (drawn by R. Gobert)
4:48.0,R. Gobert makes free throw 1 of 2,1,35-44,,
4:48.0,R. Gobert makes free throw 2 of 2,1,36-44,,
4:48.0,,,35-44,,D. Rose enters the game for B. Jennings
4:48.0,,,35-44,,L. Thomas enters the game for J. Holiday
4:33.0,,,36-44,,Shooting foul by R. Hood (drawn by C. Lee)
4:33.0,,,36-45,1,C. Lee makes free throw 1 of 2
4:33.0,,,36-46,1,C. Lee makes free throw 2 of 2
4:18.0,G. Hayward misses 3-pt shot from 26 ft,,36-46,,
4:17.0,,,36-46,,Defensive rebound by D. Rose
4:07.0,,,36-46,,D. Rose misses 2-pt shot from 5 ft
4:06.0,,,36-46,,Offensive rebound by J. Noah
4:06.0,,,36-48,2,J. Noah makes 2-pt shot from 2 ft
3:53.0,R. Hood misses 2-pt shot from 11 ft,,36-48,,
3:52.0,Offensive rebound by G. Hayward,,36-48,,
3:51.0,,,36-48,,Personal foul by L. Thomas (drawn by G. Hayward)
3:51.0,G. Hayward makes free throw 1 of 2,1,37-48,,
3:51.0,G. Hayward makes free throw 2 of 2,1,38-48,,
3:25.0,,,38-50,2,C. Anthony makes 2-pt shot from 2 ft
3:01.0,G. Hayward makes 3-pt shot from 26 ft (assist by G. Hill),3,41-50,,
2:48.0,,,41-52,2,D. Rose makes 2-pt shot from 16 ft
2:23.0,J. Ingles misses 3-pt shot from 25 ft,,41-52,,
2:22.0,,,41-52,,Defensive rebound by C. Anthony
2:13.0,Personal foul by R. Hood (drawn by C. Anthony),,41-52,,
2:13.0,Utah full timeout,,41-52,,
2:13.0,,,41-52,,C. Anthony misses free throw 1 of 2
2:13.0,,,41-52,,Offensive rebound by Team
2:13.0,,,41-52,,C. Anthony misses free throw 2 of 2
2:13.0,J. Johnson enters the game for J. Ingles,,41-52,,
2:12.0,Defensive rebound by R. Gobert,,41-52,,
1:59.0,,,41-52,,Personal foul by J. Noah (drawn by G. Hill)
1:59.0,G. Hill makes free throw 1 of 2,1,42-52,,
1:59.0,G. Hill misses free throw 2 of 2,,42-52,,
1:59.0,,,42-52,,K. O'Quinn enters the game for J. Noah
1:58.0,,,42-52,,Defensive rebound by C. Anthony
1:44.0,,,42-52,,K. O'Quinn misses 2-pt shot from 20 ft
1:43.0,Defensive rebound by G. Hayward,,42-52,,
1:24.0,G. Hill misses 2-pt shot from 11 ft,,42-52,,
1:23.0,,,42-52,,Defensive rebound by L. Thomas
1:10.0,,,42-52,,Turnover by D. Rose (lost ball)
1:05.0,Shooting foul by L. Thomas (drawn by G. Hayward),,42-52,,
1:05.0,G. Hayward makes free throw 1 of 2,1,43-52,,
1:05.0,G. Hayward makes free throw 2 of 2,1,44-52,,
0:49.0,,,44-54,2,C. Anthony makes 2-pt shot from 16 ft
0:36.0,G. Hayward makes 3-pt shot from 26 ft,3,47-54,,
0:31.0,,,47-54,,C. Anthony misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by R. Gobert,,47-54,,
0:10.0,R. Gobert makes 2-pt shot at rim (assist by J. Johnson),2,49-54,,
0:04.0,,,49-54,,C. Lee misses 2-pt shot from 14 ft
0:03.0,,,49-54,,Offensive rebound by K. O'Quinn
0:03.0,,,49-54,,K. O'Quinn misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by J. Johnson,,49-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Personal foul by R. Gobert (drawn by J. Noah),,49-54,,
11:41.0,,,49-54,,C. Lee misses 2-pt shot from 14 ft
11:40.0,,,49-54,,Offensive rebound by D. Rose
11:36.0,,,49-54,,C. Anthony misses 3-pt shot from 26 ft
11:35.0,,,49-54,,Offensive rebound by D. Rose
11:22.0,,,49-56,2,C. Anthony makes 2-pt shot from 14 ft
11:00.0,Shooting foul by C. Anthony (drawn by G. Hayward),,49-56,,
11:00.0,G. Hayward makes free throw 1 of 2,1,50-56,,
11:00.0,G. Hayward makes free throw 2 of 2,1,51-56,,
10:43.0,,,51-56,,Turnover by C. Lee (bad pass; steal by R. Gobert)
10:24.0,G. Hill makes 2-pt shot from 10 ft,2,53-56,,
10:08.0,,,53-56,,D. Rose misses 2-pt shot from 10 ft
10:07.0,,,53-56,,Offensive rebound by J. Noah
10:07.0,,,53-58,2,J. Noah makes 2-pt shot from 2 ft
9:49.0,D. Favors makes 2-pt shot from 18 ft (assist by R. Hood),2,55-58,,
9:34.0,,,55-60,2,D. Rose makes 2-pt shot from 1 ft
9:14.0,G. Hayward misses 2-pt shot from 2 ft,,55-60,,
9:13.0,Offensive rebound by R. Gobert,,55-60,,
9:13.0,R. Gobert makes 2-pt shot at rim,2,57-60,,
8:56.0,,,57-60,,Turnover by C. Anthony (bad pass)
8:39.0,G. Hayward misses 2-pt shot from 12 ft,,57-60,,
8:38.0,,,57-60,,Defensive rebound by K. Porzingis
8:15.0,,,57-60,,C. Anthony misses 3-pt shot from 26 ft
8:14.0,Defensive rebound by R. Gobert,,57-60,,
7:59.0,Shooting foul by C. Anthony (drawn by G. Hayward),,57-60,,
7:59.0,G. Hayward makes free throw 1 of 3,1,58-60,,
7:59.0,G. Hayward makes free throw 2 of 3,1,59-60,,
7:59.0,G. Hayward makes free throw 3 of 3,1,60-60,,
7:44.0,Personal foul by D. Favors (drawn by K. Porzingis),,60-60,,
7:32.0,,,60-60,,D. Rose misses 2-pt shot from 18 ft
7:31.0,Defensive rebound by R. Hood,,60-60,,
7:25.0,R. Gobert makes 2-pt shot at rim (assist by G. Hill),2,62-60,,
7:12.0,,,62-63,3,C. Lee makes 3-pt shot from 25 ft
6:52.0,G. Hayward misses 3-pt shot from 25 ft,,62-63,,
6:51.0,,,62-63,,Defensive rebound by J. Noah
6:45.0,,,62-65,2,D. Rose makes 2-pt shot from 1 ft
6:23.0,G. Hill makes 2-pt shot from 8 ft,2,64-65,,
6:09.0,,,64-67,2,K. Porzingis makes 2-pt shot from 13 ft (assist by D. Rose)
5:55.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hill),2,66-67,,
5:48.0,Personal foul by D. Favors (drawn by K. Porzingis),,66-67,,
5:48.0,,,66-67,,New York full timeout
5:48.0,T. Lyles enters the game for D. Favors,,66-67,,
5:41.0,Personal foul by G. Hill (drawn by C. Anthony),,66-67,,
5:33.0,,,66-67,,J. Noah misses 2-pt shot from 2 ft (block by T. Lyles)
5:32.0,Defensive rebound by R. Gobert,,66-67,,
5:14.0,Turnover by G. Hayward (bad pass; steal by C. Lee),,66-67,,
5:06.0,,,66-67,,C. Anthony misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by R. Hood,,66-67,,
4:49.0,G. Hill makes 2-pt shot from 6 ft,2,68-67,,
4:37.0,Violation by T. Lyles (kicked ball),,68-67,,
4:28.0,,,68-67,,C. Anthony misses 2-pt shot from 1 ft
4:27.0,,,68-67,,Offensive rebound by C. Anthony
4:27.0,,,68-69,2,C. Anthony makes 2-pt shot from 2 ft
4:10.0,G. Hayward misses 3-pt shot from 28 ft,,68-69,,
4:09.0,,,68-69,,Defensive rebound by J. Noah
3:56.0,,,68-71,2,K. Porzingis makes 2-pt shot from 18 ft
3:55.0,Utah full timeout,,68-71,,
3:55.0,D. Exum enters the game for R. Hood,,68-71,,
3:39.0,G. Hill makes 2-pt shot from 1 ft,2,70-71,,
3:23.0,,,70-71,,Shooting foul by G. Hayward (drawn by C. Anthony)
3:23.0,,,70-72,1,C. Anthony makes free throw 1 of 2
3:23.0,,,70-73,1,C. Anthony makes free throw 2 of 2
3:23.0,,,70-72,,J. Holiday enters the game for C. Lee
3:23.0,,,70-72,,L. Thomas enters the game for J. Noah
3:10.0,G. Hayward misses 3-pt shot from 25 ft,,70-73,,
3:09.0,,,70-73,,Defensive rebound by C. Anthony
2:47.0,,,70-73,,Turnover by D. Rose (lost ball; steal by G. Hill)
2:46.0,,,70-73,,Personal foul by D. Rose (drawn by G. Hill)
2:46.0,S. Mack enters the game for G. Hill,,70-73,,
2:46.0,D. Favors enters the game for R. Gobert,,70-73,,
2:29.0,T. Lyles makes 2-pt shot from 13 ft (assist by D. Exum),2,72-73,,
2:13.0,,,72-75,2,K. Porzingis makes 2-pt shot from 3 ft (assist by D. Rose)
1:55.0,D. Favors makes 2-pt shot from 2 ft (assist by D. Exum),2,74-75,,
1:28.0,,,74-78,3,L. Thomas makes 3-pt shot from 24 ft (assist by C. Anthony)
1:19.0,G. Hayward makes 2-pt shot from 2 ft,2,76-78,,
1:19.0,Shooting foul by L. Thomas (drawn by G. Hayward),,76-78,,
1:19.0,G. Hayward makes free throw 1 of 1,1,77-78,,
1:19.0,,,76-78,,B. Jennings enters the game for D. Rose
1:06.0,,,77-80,2,C. Anthony makes 2-pt shot from 20 ft
0:52.0,D. Favors misses 2-pt shot from 3 ft (block by K. Porzingis),,77-80,,
0:51.0,Offensive rebound by D. Favors,,77-80,,
0:49.0,,,77-80,,Personal foul by C. Anthony (drawn by D. Favors)
0:49.0,D. Favors makes free throw 1 of 2,1,78-80,,
0:49.0,D. Favors misses free throw 2 of 2,,78-80,,
0:49.0,,,78-80,,M. Kuzminskas enters the game for C. Anthony
0:48.0,,,78-80,,Defensive rebound by K. Porzingis
0:27.0,,,78-80,,K. Porzingis misses 2-pt shot from 11 ft
0:26.0,Defensive rebound by D. Favors,,78-80,,
0:05.0,T. Lyles misses 3-pt shot from 26 ft,,78-80,,
0:04.0,Offensive rebound by D. Favors,,78-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,R. Hood makes 2-pt shot from 3 ft,2,80-80,,
11:13.0,,,80-80,,L. Thomas misses 2-pt shot from 19 ft
11:12.0,Defensive rebound by S. Mack,,80-80,,
11:00.0,R. Hood makes 2-pt shot from 14 ft,2,82-80,,
10:46.0,,,82-80,,M. Kuzminskas misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by D. Favors,,82-80,,
10:27.0,J. Johnson makes 3-pt shot from 26 ft (assist by S. Mack),3,85-80,,
10:19.0,,,85-80,,New York full timeout
10:19.0,,,85-80,,K. Porzingis enters the game for K. O'Quinn
10:19.0,,,85-80,,C. Lee enters the game for J. Holiday
10:19.0,,,85-80,,D. Rose enters the game for M. Kuzminskas
10:06.0,,,85-80,,C. Lee misses 2-pt shot from 12 ft
10:05.0,Defensive rebound by S. Mack,,85-80,,
9:52.0,S. Mack makes 2-pt shot from 1 ft,2,87-80,,
9:41.0,,,87-80,,Shooting foul by D. Favors (drawn by D. Rose)
9:41.0,,,87-81,1,D. Rose makes free throw 1 of 2
9:41.0,,,87-82,1,D. Rose makes free throw 2 of 2
9:28.0,R. Hood misses 2-pt shot from 18 ft,,87-82,,
9:27.0,,,87-82,,Defensive rebound by K. Porzingis
9:15.0,,,87-82,,D. Rose misses 2-pt shot from 3 ft
9:14.0,Defensive rebound by S. Mack,,87-82,,
9:13.0,,,87-82,,Personal foul by K. Porzingis (drawn by S. Mack)
8:51.0,Turnover by S. Mack (lost ball; steal by B. Jennings),,87-82,,
8:44.0,,,87-82,,B. Jennings misses 2-pt shot from 1 ft
8:43.0,Defensive rebound by R. Hood,,87-82,,
8:29.0,J. Johnson makes 3-pt shot from 26 ft (assist by R. Hood),3,90-82,,
8:13.0,,,90-84,2,D. Rose makes 2-pt shot from 1 ft
7:52.0,S. Mack misses 2-pt shot from 6 ft,,90-84,,
7:51.0,Offensive rebound by D. Favors,,90-84,,
7:49.0,Turnover by D. Favors (lost ball; steal by D. Rose),,90-84,,
7:42.0,,,90-87,3,C. Lee makes 3-pt shot from 25 ft (assist by D. Rose)
7:33.0,Utah full timeout,,90-87,,
7:33.0,G. Hayward enters the game for D. Favors,,90-87,,
7:33.0,R. Gobert enters the game for T. Lyles,,90-87,,
7:33.0,G. Hill enters the game for S. Mack,,90-87,,
7:25.0,R. Hood makes 3-pt shot from 26 ft,3,93-87,,
7:05.0,,,93-87,,Turnover by D. Rose (bad pass)
6:48.0,,,93-87,,Personal foul by D. Rose (drawn by G. Hill)
6:48.0,,,93-87,,C. Anthony enters the game for B. Jennings
6:48.0,,,93-87,,J. Noah enters the game for L. Thomas
6:41.0,,,93-87,,Personal foul by C. Lee (drawn by R. Gobert)
6:35.0,R. Hood misses 2-pt shot from 19 ft,,93-87,,
6:34.0,,,93-87,,Defensive rebound by C. Lee
6:18.0,,,93-87,,Turnover by J. Noah (bad pass; steal by J. Johnson)
6:06.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hill),3,96-87,,
5:54.0,,,96-89,2,D. Rose makes 2-pt shot from 2 ft
5:54.0,,,96-89,,Shooting foul by R. Gobert (drawn by D. Rose)
5:54.0,,,96-90,1,D. Rose makes free throw 1 of 1
5:54.0,,,96-89,,L. Thomas enters the game for J. Noah
5:40.0,G. Hill makes 2-pt shot from 16 ft (assist by R. Gobert),2,98-90,,
5:29.0,,,98-90,,C. Anthony misses 3-pt shot from 27 ft
5:28.0,Defensive rebound by R. Hood,,98-90,,
5:05.0,R. Hood misses 3-pt shot from 25 ft,,98-90,,
5:04.0,Offensive rebound by Team,,98-90,,
5:04.0,Turnover by Team (shot clock),,98-90,,
4:46.0,,,98-92,2,K. Porzingis makes 2-pt shot from 7 ft (assist by C. Anthony)
4:29.0,G. Hill makes 2-pt shot from 4 ft,2,100-92,,
4:19.0,,,100-94,2,D. Rose makes 2-pt shot from 2 ft
4:19.0,,,100-94,,Shooting foul by R. Gobert (drawn by D. Rose)
4:19.0,,,100-95,1,D. Rose makes free throw 1 of 1
4:03.0,G. Hayward makes 2-pt shot from 17 ft (assist by G. Hill),2,102-95,,
3:50.0,,,102-95,,Turnover by D. Rose (bad pass; steal by G. Hill)
3:47.0,Turnover by J. Johnson (bad pass; steal by C. Lee),,102-95,,
3:39.0,,,102-95,,K. Porzingis misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by G. Hayward,,102-95,,
3:18.0,Turnover by G. Hayward (lost ball; steal by L. Thomas),,102-95,,
3:14.0,,,102-95,,Turnover by C. Lee (lost ball; steal by R. Hood)
3:10.0,G. Hayward makes 2-pt shot at rim (assist by J. Johnson),2,104-95,,
3:09.0,,,104-95,,New York full timeout
3:00.0,,,104-97,2,C. Anthony makes 2-pt shot from 1 ft (assist by K. Porzingis)
2:36.0,R. Gobert makes 2-pt shot at rim (assist by G. Hill),2,106-97,,
2:20.0,,,106-97,,K. Porzingis misses 2-pt shot from 5 ft
2:19.0,Defensive rebound by G. Hayward,,106-97,,
2:01.0,G. Hayward misses 2-pt shot from 14 ft,,106-97,,
2:00.0,,,106-97,,Defensive rebound by K. Porzingis
1:49.0,,,106-97,,K. Porzingis misses 2-pt shot from 1 ft (block by R. Gobert)
1:48.0,,,106-97,,Offensive rebound by C. Lee
1:44.0,,,106-97,,C. Lee misses 2-pt shot from 18 ft
1:43.0,Defensive rebound by G. Hill,,106-97,,
1:42.0,,,106-97,,Personal foul by C. Lee (drawn by G. Hill)
1:21.0,G. Hill misses 3-pt shot from 26 ft,,106-97,,
1:20.0,,,106-97,,Defensive rebound by C. Anthony
1:15.0,Personal foul by R. Gobert (drawn by C. Anthony),,106-97,,
1:15.0,D. Favors enters the game for R. Gobert,,106-97,,
1:14.0,Personal foul by D. Favors (drawn by K. Porzingis),,106-97,,
1:14.0,,,106-98,1,K. Porzingis makes free throw 1 of 2
1:14.0,,,106-99,1,K. Porzingis makes free throw 2 of 2
0:53.0,J. Johnson misses 3-pt shot from 25 ft,,106-99,,
0:52.0,,,106-99,,Defensive rebound by K. Porzingis
0:46.0,Personal foul by J. Johnson (drawn by C. Anthony),,106-99,,
0:46.0,,,106-100,1,C. Anthony makes free throw 1 of 2
0:46.0,,,106-101,1,C. Anthony makes free throw 2 of 2
0:39.0,Utah full timeout,,106-101,,
0:39.0,Utah full timeout,,106-101,,
