time,Utah,pts.away,score,pts.home,Brooklyn
5:59.0,,,13-14,2,B. Lopez makes 2-pt shot from 6 ft
5:43.0,G. Hayward makes 2-pt shot from 19 ft,2,15-14,,
5:31.0,,,15-16,2,B. Lopez makes 2-pt shot from 5 ft
5:15.0,J. Ingles makes 3-pt shot from 24 ft (assist by S. Mack),3,18-16,,
5:06.0,,,18-18,2,T. Booker makes 2-pt shot at rim
4:51.0,G. Hayward misses 3-pt shot from 24 ft,,18-18,,
4:50.0,,,18-18,,Defensive rebound by T. Booker
4:39.0,,,18-18,,I. Whitehead misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by R. Gobert,,18-18,,
4:34.0,Turnover by J. Ingles (step out of bounds),,18-18,,
4:34.0,R. Neto enters the game for S. Mack,,18-18,,
4:34.0,,,18-18,,J. Hamilton enters the game for B. Lopez
4:34.0,,,18-18,,J. Harris enters the game for B. Bogdanovic
4:34.0,,,18-18,,C. LeVert enters the game for S. Kilpatrick
4:22.0,,,18-18,,C. LeVert misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Ingles,,18-18,,
4:10.0,G. Hayward misses 2-pt shot from 12 ft,,18-18,,
4:08.0,,,18-18,,Defensive rebound by T. Booker
4:03.0,,,18-18,,T. Booker misses 2-pt shot from 2 ft (block by R. Gobert)
4:01.0,Defensive rebound by B. Diaw,,18-18,,
3:52.0,B. Diaw makes 2-pt shot from 2 ft (assist by R. Gobert),2,20-18,,
3:52.0,,,20-18,,Brooklyn full timeout
3:52.0,,,20-18,,R. Hollis-Jefferson enters the game for T. Booker
3:52.0,,,20-18,,S. Dinwiddie enters the game for I. Whitehead
3:35.0,,,20-18,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
3:34.0,Defensive rebound by J. Ingles,,20-18,,
3:20.0,B. Diaw makes 2-pt shot from 19 ft (assist by G. Hayward),2,22-18,,
3:02.0,,,22-18,,J. Harris misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by R. Gobert,,22-18,,
2:41.0,Turnover by R. Neto (bad pass; steal by S. Dinwiddie),,22-18,,
2:28.0,,,22-20,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
2:00.0,J. Ingles misses 2-pt shot from 18 ft,,22-20,,
1:59.0,,,22-20,,Defensive rebound by J. Hamilton
1:46.0,,,22-22,2,S. Dinwiddie makes 2-pt shot from 19 ft
1:26.0,R. Gobert misses 2-pt shot from 6 ft,,22-22,,
1:25.0,Offensive rebound by Team,,22-22,,
1:25.0,D. Favors enters the game for G. Hayward,,22-22,,
1:25.0,J. Johnson enters the game for R. Neto,,22-22,,
1:25.0,A. Burks enters the game for R. Gobert,,22-22,,
1:22.0,Turnover by A. Burks (traveling),,22-22,,
1:09.0,,,22-22,,J. Hamilton misses 2-pt shot from 15 ft
1:08.0,Defensive rebound by J. Ingles,,22-22,,
0:59.0,,,22-22,,Personal foul by J. Hamilton (drawn by D. Favors)
0:47.0,J. Johnson misses 2-pt shot from 12 ft,,22-22,,
0:47.0,,,22-22,,Defensive rebound by Team
0:36.0,,,22-25,3,J. Hamilton makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
0:16.0,J. Ingles misses 3-pt shot from 23 ft,,22-25,,
0:14.0,Offensive rebound by B. Diaw,,22-25,,
0:13.0,B. Diaw makes 2-pt shot from 1 ft,2,24-25,,
0:04.0,,,24-25,,Shooting foul by D. Favors (drawn by S. Dinwiddie)
0:04.0,,,24-25,,S. Dinwiddie misses free throw 1 of 2
0:04.0,,,24-25,,Offensive rebound by Team
0:04.0,,,24-26,1,S. Dinwiddie makes free throw 2 of 2
0:04.0,,,24-25,,T. Booker enters the game for J. Hamilton
0:01.0,A. Burks misses 3-pt shot from 27 ft,,24-26,,
0:00.0,Offensive rebound by Team,,24-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Johnson makes 2-pt shot from 7 ft,2,26-26,,
11:31.0,,,26-28,2,S. Dinwiddie makes 2-pt shot from 5 ft (assist by J. Harris)
11:05.0,D. Favors misses 2-pt shot from 1 ft,,26-28,,
11:05.0,,,26-28,,Defensive rebound by J. Hamilton
10:55.0,,,26-30,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
10:40.0,J. Johnson makes 2-pt shot from 11 ft,2,28-30,,
10:27.0,,,28-30,,S. Dinwiddie misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by J. Ingles,,28-30,,
10:18.0,S. Mack enters the game for J. Ingles,,28-30,,
10:18.0,R. Hood enters the game for A. Burks,,28-30,,
10:18.0,T. Lyles enters the game for B. Diaw,,28-30,,
10:10.0,T. Lyles misses 2-pt shot from 16 ft,,28-30,,
10:09.0,,,28-30,,Defensive rebound by J. Hamilton
9:57.0,,,28-30,,Shooting foul by D. Favors (drawn by R. Hollis-Jefferson)
9:57.0,,,28-31,1,R. Hollis-Jefferson makes free throw 1 of 2
9:57.0,,,28-32,1,R. Hollis-Jefferson makes free throw 2 of 2
9:44.0,R. Hood misses 2-pt shot from 7 ft,,28-32,,
9:42.0,Offensive rebound by D. Favors,,28-32,,
9:41.0,D. Favors makes 2-pt shot at rim,2,30-32,,
9:28.0,,,30-35,3,J. Harris makes 3-pt shot from 25 ft (assist by R. Foye)
9:08.0,D. Favors misses 2-pt shot from 9 ft,,30-35,,
9:07.0,,,30-35,,Defensive rebound by R. Hollis-Jefferson
8:59.0,,,30-37,2,J. Hamilton makes 2-pt shot from 16 ft (assist by R. Hollis-Jefferson)
8:35.0,S. Mack misses 2-pt shot from 8 ft,,30-37,,
8:34.0,,,30-37,,Defensive rebound by J. Hamilton
8:24.0,,,30-37,,Turnover by S. Dinwiddie (bad pass)
8:24.0,Official timeout,,30-37,,
8:24.0,R. Gobert enters the game for D. Favors,,30-37,,
8:24.0,,,30-37,,B. Bogdanovic enters the game for J. Harris
8:24.0,,,30-37,,B. Lopez enters the game for J. Hamilton
8:24.0,,,30-37,,S. Kilpatrick enters the game for S. Dinwiddie
8:12.0,Turnover by R. Gobert (bad pass; steal by R. Foye),,30-37,,
7:59.0,,,30-37,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
7:58.0,Defensive rebound by T. Lyles,,30-37,,
7:50.0,,,30-37,,Personal foul by S. Kilpatrick (drawn by R. Hood)
7:50.0,R. Hood makes free throw 1 of 2,1,31-37,,
7:50.0,R. Hood makes free throw 2 of 2,1,32-37,,
7:41.0,,,32-37,,Shooting foul by T. Lyles (drawn by R. Hollis-Jefferson)
7:41.0,,,32-38,1,R. Hollis-Jefferson makes free throw 1 of 2
7:41.0,,,32-39,1,R. Hollis-Jefferson makes free throw 2 of 2
7:16.0,S. Mack misses 3-pt shot from 25 ft,,32-39,,
7:15.0,,,32-39,,Defensive rebound by B. Lopez
7:07.0,,,32-39,,Turnover by R. Hollis-Jefferson (bad pass; steal by S. Mack)
7:04.0,S. Mack makes 2-pt shot from 2 ft,2,34-39,,
6:45.0,G. Hayward enters the game for J. Johnson,,34-39,,
6:42.0,,,34-39,,Turnover by R. Foye (bad pass; steal by G. Hayward)
6:30.0,R. Hood misses 2-pt shot from 8 ft,,34-39,,
6:29.0,Offensive rebound by R. Gobert,,34-39,,
6:27.0,R. Gobert makes 2-pt shot from 2 ft,2,36-39,,
6:27.0,,,36-39,,Brooklyn full timeout
6:27.0,,,36-39,,T. Booker enters the game for R. Hollis-Jefferson
6:11.0,,,36-39,,B. Lopez misses 2-pt shot from 3 ft (block by R. Gobert)
6:09.0,,,36-39,,Offensive rebound by Team
6:06.0,,,36-39,,Turnover by S. Kilpatrick (bad pass; steal by G. Hayward)
6:04.0,Shooting foul by T. Booker (drawn by G. Hayward),,36-39,,
6:04.0,G. Hayward makes free throw 1 of 2,1,37-39,,
6:04.0,G. Hayward makes free throw 2 of 2,1,38-39,,
5:53.0,,,38-41,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Booker)
5:36.0,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward),2,40-41,,
5:12.0,,,40-41,,Turnover by S. Kilpatrick (lost ball; steal by S. Mack)
5:06.0,R. Hood misses 2-pt shot from 3 ft,,40-41,,
5:05.0,Offensive rebound by R. Hood,,40-41,,
5:04.0,R. Hood misses 2-pt shot from 1 ft,,40-41,,
5:03.0,Offensive rebound by R. Gobert,,40-41,,
5:00.0,Turnover by R. Gobert (lost ball; steal by R. Foye),,40-41,,
4:57.0,,,40-44,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by R. Foye)
4:38.0,S. Mack misses 2-pt shot from 2 ft,,40-44,,
4:37.0,Offensive rebound by R. Gobert,,40-44,,
4:30.0,R. Gobert misses 2-pt shot from 1 ft,,40-44,,
4:28.0,Offensive rebound by R. Gobert,,40-44,,
4:27.0,R. Gobert makes 2-pt shot at rim,2,42-44,,
4:18.0,,,42-44,,S. Kilpatrick misses 2-pt shot from 18 ft
4:17.0,Defensive rebound by G. Hayward,,42-44,,
4:11.0,G. Hayward misses 2-pt shot from 2 ft (block by B. Lopez),,42-44,,
4:09.0,Offensive rebound by Team,,42-44,,
4:09.0,,,42-44,,C. LeVert enters the game for R. Foye
4:09.0,,,42-44,,I. Whitehead enters the game for B. Bogdanovic
4:01.0,R. Hood makes 3-pt shot from 27 ft,3,45-44,,
3:43.0,,,45-44,,I. Whitehead misses 2-pt shot from 8 ft
3:42.0,,,45-44,,Offensive rebound by T. Booker
3:34.0,,,45-46,2,T. Booker makes 2-pt shot from 2 ft
3:31.0,,,45-46,,Violation by Team (jump ball)
3:17.0,T. Lyles misses 3-pt shot from 23 ft,,45-46,,
3:16.0,,,45-46,,Defensive rebound by I. Whitehead
3:13.0,,,45-46,,Turnover by I. Whitehead (bad pass)
3:13.0,,,45-46,,J. Harris enters the game for S. Kilpatrick
3:13.0,Utah full timeout,,45-46,,
2:49.0,R. Hood misses 2-pt shot from 12 ft,,45-46,,
2:48.0,,,45-46,,Defensive rebound by T. Booker
2:39.0,,,45-48,2,I. Whitehead makes 2-pt shot from 3 ft
2:19.0,G. Hayward makes 2-pt shot from 18 ft,2,47-48,,
2:14.0,,,47-48,,Shooting foul by R. Hood (drawn by I. Whitehead)
2:14.0,,,47-49,1,I. Whitehead makes free throw 1 of 2
2:14.0,,,47-50,1,I. Whitehead makes free throw 2 of 2
2:06.0,,,47-50,,Personal foul by C. LeVert (drawn by G. Hayward)
1:53.0,G. Hayward misses 2-pt shot from 20 ft,,47-50,,
1:52.0,Offensive rebound by Team,,47-50,,
1:52.0,,,47-50,,Loose ball foul by I. Whitehead (drawn by R. Gobert)
1:52.0,J. Ingles enters the game for R. Hood,,47-50,,
1:41.0,G. Hayward misses 2-pt shot from 18 ft,,47-50,,
1:39.0,,,47-50,,Defensive rebound by I. Whitehead
1:28.0,,,47-50,,B. Lopez misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by G. Hayward,,47-50,,
1:08.0,S. Mack makes 3-pt shot from 25 ft,3,50-50,,
0:53.0,,,50-52,2,I. Whitehead makes 2-pt shot from 19 ft
0:35.0,S. Mack misses 3-pt shot from 25 ft,,50-52,,
0:34.0,,,50-52,,Defensive rebound by B. Lopez
0:25.0,,,50-52,,T. Booker misses 3-pt shot from 25 ft
0:24.0,,,50-52,,Offensive rebound by J. Harris
0:23.0,,,50-52,,Turnover by J. Harris (step out of bounds)
0:23.0,,,50-52,,R. Hollis-Jefferson enters the game for B. Lopez
0:03.0,G. Hayward misses 2-pt shot from 10 ft,,50-52,,
0:01.0,,,50-52,,Defensive rebound by T. Booker
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,50-52,,Def 3 sec tech foul by B. Lopez
11:49.0,G. Hayward makes technical free throw,1,51-52,,
11:38.0,Turnover by S. Mack (bad pass; steal by B. Lopez),,51-52,,
11:22.0,,,51-52,,B. Lopez misses 3-pt shot from 24 ft
11:21.0,,,51-52,,Offensive rebound by I. Whitehead
11:13.0,Personal foul by R. Hood (drawn by S. Kilpatrick),,51-52,,
11:10.0,Personal foul by B. Diaw (drawn by B. Lopez),,51-52,,
11:07.0,,,51-52,,Offensive foul by B. Lopez
11:07.0,,,51-52,,Turnover by B. Lopez (offensive foul)
10:43.0,B. Diaw misses 2-pt shot from 21 ft,,51-52,,
10:42.0,,,51-52,,Defensive rebound by T. Booker
10:27.0,,,51-52,,I. Whitehead misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by R. Hood,,51-52,,
10:06.0,B. Diaw misses 2-pt shot from 2 ft (block by T. Booker),,51-52,,
10:04.0,,,51-52,,Defensive rebound by I. Whitehead
9:51.0,,,51-52,,T. Booker misses 2-pt shot from 6 ft
9:50.0,Defensive rebound by G. Hayward,,51-52,,
9:39.0,B. Diaw misses 3-pt shot from 25 ft,,51-52,,
9:38.0,,,51-52,,Defensive rebound by B. Lopez
9:32.0,,,51-52,,I. Whitehead misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by G. Hayward,,51-52,,
9:23.0,G. Hayward misses 2-pt shot from 2 ft,,51-52,,
9:21.0,Offensive rebound by R. Gobert,,51-52,,
9:20.0,R. Gobert misses 2-pt shot from 2 ft,,51-52,,
9:19.0,,,51-52,,Defensive rebound by B. Bogdanovic
9:14.0,,,51-52,,Shooting foul by R. Hood (drawn by T. Booker)
9:14.0,,,51-53,1,T. Booker makes free throw 1 of 2
9:14.0,,,51-54,1,T. Booker makes free throw 2 of 2
8:59.0,,,51-54,,Personal foul by T. Booker (drawn by G. Hayward)
8:50.0,Turnover by B. Diaw (bad pass; steal by B. Lopez),,51-54,,
8:47.0,,,51-54,,Turnover by T. Booker (lost ball; steal by R. Gobert)
8:43.0,R. Hood misses 3-pt shot from 25 ft,,51-54,,
8:42.0,Offensive rebound by Team,,51-54,,
8:36.0,Offensive charge foul by G. Hayward,,51-54,,
8:36.0,Turnover by G. Hayward (offensive foul),,51-54,,
8:23.0,Personal foul by S. Mack (drawn by B. Bogdanovic),,51-54,,
8:17.0,,,51-56,2,B. Bogdanovic makes 2-pt shot from 3 ft
7:49.0,B. Diaw misses 2-pt shot from 19 ft,,51-56,,
7:48.0,,,51-56,,Defensive rebound by T. Booker
7:37.0,,,51-56,,B. Bogdanovic misses 2-pt shot from 1 ft (block by R. Gobert)
7:35.0,Defensive rebound by R. Hood,,51-56,,
7:30.0,,,51-56,,Personal foul by S. Kilpatrick (drawn by R. Hood)
7:30.0,,,51-56,,J. Hamilton enters the game for B. Lopez
7:30.0,T. Lyles enters the game for B. Diaw,,51-56,,
7:19.0,T. Lyles misses 2-pt shot from 12 ft,,51-56,,
7:17.0,,,51-56,,Defensive rebound by T. Booker
7:08.0,,,51-58,2,T. Booker makes 2-pt shot from 4 ft (assist by B. Bogdanovic)
6:43.0,S. Mack makes 2-pt shot from 3 ft (assist by R. Hood),2,53-58,,
6:35.0,,,53-60,2,I. Whitehead makes 2-pt shot from 2 ft
6:13.0,T. Lyles misses 3-pt shot from 24 ft,,53-60,,
6:12.0,,,53-60,,Defensive rebound by I. Whitehead
5:57.0,,,53-60,,T. Booker misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by T. Lyles,,53-60,,
5:32.0,R. Hood misses 2-pt shot from 12 ft,,53-60,,
5:30.0,,,53-60,,Defensive rebound by T. Booker
5:20.0,,,53-62,2,T. Booker makes 2-pt shot from 6 ft
5:19.0,Utah full timeout,,53-62,,
5:19.0,,,53-62,,C. LeVert enters the game for B. Bogdanovic
5:19.0,,,53-62,,J. Harris enters the game for S. Kilpatrick
5:19.0,J. Ingles enters the game for R. Hood,,53-62,,
5:19.0,J. Johnson enters the game for T. Lyles,,53-62,,
5:01.0,G. Hayward makes 2-pt shot from 20 ft,2,55-62,,
4:41.0,,,55-62,,T. Booker misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by S. Mack,,55-62,,
4:31.0,Shooting foul by I. Whitehead (drawn by R. Gobert),,55-62,,
4:31.0,R. Gobert makes free throw 1 of 2,1,56-62,,
4:31.0,R. Gobert makes free throw 2 of 2,1,57-62,,
4:31.0,,,56-62,,R. Hollis-Jefferson enters the game for T. Booker
4:19.0,,,57-62,,J. Hamilton misses 3-pt shot from 24 ft
4:18.0,,,57-62,,Offensive rebound by J. Hamilton
4:05.0,,,57-62,,I. Whitehead misses 2-pt shot from 2 ft
4:04.0,Defensive rebound by Team,,57-62,,
3:44.0,R. Gobert misses 2-pt shot from 2 ft (block by I. Whitehead),,57-62,,
3:43.0,Offensive rebound by R. Gobert,,57-62,,
3:37.0,J. Johnson misses 3-pt shot from 28 ft,,57-62,,
3:36.0,,,57-62,,Defensive rebound by I. Whitehead
3:23.0,,,57-62,,C. LeVert misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by R. Gobert,,57-62,,
3:06.0,J. Ingles misses 3-pt shot from 24 ft,,57-62,,
3:05.0,,,57-62,,Defensive rebound by J. Hamilton
2:55.0,,,57-65,3,I. Whitehead makes 3-pt shot from 26 ft
2:37.0,S. Mack makes 2-pt shot from 2 ft,2,59-65,,
2:24.0,,,59-65,,Offensive charge foul by J. Harris
2:24.0,,,59-65,,Turnover by J. Harris (offensive foul)
2:24.0,,,59-65,,Brooklyn full timeout
2:24.0,,,59-65,,B. Lopez enters the game for J. Hamilton
2:24.0,,,59-65,,S. Dinwiddie enters the game for I. Whitehead
2:24.0,R. Neto enters the game for S. Mack,,59-65,,
2:10.0,G. Hayward misses 2-pt shot from 16 ft,,59-65,,
2:09.0,Offensive rebound by Team,,59-65,,
2:09.0,,,59-65,,Loose ball foul by B. Lopez (drawn by R. Gobert)
2:03.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert),3,62-65,,
1:47.0,,,62-65,,Turnover by B. Lopez (lost ball; steal by J. Ingles)
1:43.0,Shooting foul by B. Lopez (drawn by R. Gobert),,62-65,,
1:43.0,R. Gobert makes free throw 1 of 2,1,63-65,,
1:43.0,R. Gobert misses free throw 2 of 2,,63-65,,
1:41.0,,,63-65,,Defensive rebound by B. Lopez
1:25.0,,,63-65,,B. Lopez misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by J. Johnson,,63-65,,
1:17.0,Shooting foul by C. LeVert (drawn by G. Hayward),,63-65,,
1:17.0,G. Hayward makes free throw 1 of 2,1,64-65,,
1:17.0,G. Hayward makes free throw 2 of 2,1,65-65,,
1:17.0,D. Favors enters the game for R. Gobert,,64-65,,
1:10.0,,,65-65,,Shooting foul by D. Favors (drawn by R. Hollis-Jefferson)
1:10.0,,,65-67,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
1:10.0,,,65-67,,R. Hollis-Jefferson misses free throw 1 of 1
1:09.0,Defensive rebound by Team,,65-67,,
0:59.0,,,65-67,,Personal foul by J. Harris (drawn by G. Hayward)
0:59.0,G. Hayward makes free throw 1 of 2,1,66-67,,
0:59.0,G. Hayward makes free throw 2 of 2,1,67-67,,
0:50.0,,,67-67,,J. Harris misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by Team,,67-67,,
0:38.0,G. Hayward makes 3-pt shot from 26 ft,3,70-67,,
0:27.0,,,70-69,2,J. Harris makes 2-pt shot from 2 ft
0:07.0,J. Ingles misses 3-pt shot from 23 ft,,70-69,,
0:05.0,,,70-69,,Defensive rebound by S. Dinwiddie
0:03.0,Personal foul by J. Ingles (drawn by R. Hollis-Jefferson),,70-69,,
0:03.0,,,70-70,1,R. Hollis-Jefferson makes free throw 1 of 2
0:03.0,,,70-70,,R. Hollis-Jefferson misses free throw 2 of 2
0:02.0,Defensive rebound by D. Favors,,70-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,70-70,,S. Dinwiddie misses 2-pt shot from 2 ft
11:50.0,Defensive rebound by R. Neto,,70-70,,
11:36.0,J. Ingles makes 2-pt shot from 3 ft,2,72-70,,
11:18.0,,,72-70,,Turnover by J. Hamilton (bad pass; steal by R. Neto)
11:12.0,R. Neto makes 2-pt shot from 5 ft,2,74-70,,
10:49.0,,,74-70,,S. Dinwiddie misses 3-pt shot from 25 ft
10:48.0,,,74-70,,Offensive rebound by Team
10:48.0,Loose ball foul by R. Neto (drawn by J. Hamilton),,74-70,,
10:44.0,,,74-72,2,J. Harris makes 2-pt shot at rim (assist by S. Dinwiddie)
10:24.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,76-72,,
10:10.0,,,76-74,2,S. Dinwiddie makes 2-pt shot from 1 ft
10:10.0,,,76-74,,Shooting foul by J. Johnson (drawn by S. Dinwiddie)
10:10.0,,,76-74,,S. Dinwiddie misses free throw 1 of 1
10:09.0,Defensive rebound by D. Favors,,76-74,,
9:56.0,R. Hood makes 2-pt shot from 9 ft,2,78-74,,
9:40.0,,,78-74,,R. Foye misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by J. Johnson,,78-74,,
9:23.0,R. Hood misses 2-pt shot from 6 ft,,78-74,,
9:22.0,,,78-74,,Defensive rebound by R. Foye
9:07.0,,,78-74,,Turnover by J. Hamilton (lost ball; steal by R. Neto)
8:58.0,R. Hood misses 2-pt shot from 2 ft (block by J. Hamilton),,78-74,,
8:57.0,Offensive rebound by Team,,78-74,,
8:57.0,Official timeout,,78-74,,
8:57.0,,,78-74,,B. Lopez enters the game for J. Hamilton
8:57.0,,,78-74,,S. Kilpatrick enters the game for S. Dinwiddie
8:57.0,,,78-74,,I. Whitehead enters the game for R. Foye
8:45.0,J. Johnson misses 3-pt shot from 26 ft,,78-74,,
8:44.0,,,78-74,,Defensive rebound by Team
8:26.0,,,78-76,2,B. Lopez makes 2-pt shot from 8 ft
8:17.0,D. Favors makes 2-pt shot at rim (assist by R. Neto),2,80-76,,
7:56.0,,,80-76,,Shooting foul by R. Hood (drawn by S. Kilpatrick)
7:56.0,,,80-77,1,S. Kilpatrick makes free throw 1 of 2
7:56.0,,,80-78,1,S. Kilpatrick makes free throw 2 of 2
7:56.0,R. Gobert enters the game for J. Johnson,,80-77,,
7:43.0,R. Hood makes 2-pt shot from 17 ft,2,82-78,,
7:26.0,,,82-78,,B. Lopez misses 2-pt shot from 2 ft
7:25.0,Defensive rebound by R. Gobert,,82-78,,
7:13.0,R. Hood makes 2-pt shot from 14 ft,2,84-78,,
7:09.0,Personal foul by R. Gobert (drawn by B. Lopez),,84-78,,
7:02.0,,,84-78,,S. Kilpatrick misses 2-pt shot from 9 ft
7:00.0,Defensive rebound by J. Ingles,,84-78,,
6:51.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles),2,86-78,,
6:51.0,Shooting foul by B. Lopez (drawn by R. Gobert),,86-78,,
6:51.0,,,86-78,,Brooklyn full timeout
6:51.0,R. Gobert makes free throw 1 of 1,1,87-78,,
6:51.0,,,86-78,,B. Bogdanovic enters the game for J. Harris
6:27.0,,,87-78,,I. Whitehead misses 2-pt shot from 6 ft
6:26.0,Defensive rebound by J. Ingles,,87-78,,
6:11.0,R. Hood makes 2-pt shot from 2 ft,2,89-78,,
5:56.0,,,89-78,,S. Kilpatrick misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by J. Ingles,,89-78,,
5:44.0,R. Hood misses 3-pt shot from 25 ft,,89-78,,
5:43.0,,,89-78,,Defensive rebound by B. Bogdanovic
5:35.0,,,89-80,2,B. Bogdanovic makes 2-pt shot from 17 ft
5:20.0,R. Hood misses 2-pt shot from 5 ft,,89-80,,
5:19.0,,,89-80,,Defensive rebound by S. Kilpatrick
5:13.0,,,89-82,2,S. Kilpatrick makes 2-pt shot from 3 ft
5:13.0,,,89-82,,Shooting foul by R. Neto (drawn by S. Kilpatrick)
5:13.0,,,89-83,1,S. Kilpatrick makes free throw 1 of 1
5:13.0,G. Hayward enters the game for D. Favors,,89-82,,
4:56.0,Turnover by G. Hayward (bad pass),,89-83,,
4:43.0,,,89-83,,B. Bogdanovic misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by R. Gobert,,89-83,,
4:37.0,Utah full timeout,,89-83,,
4:37.0,J. Johnson enters the game for R. Hood,,89-83,,
4:37.0,S. Mack enters the game for R. Neto,,89-83,,
4:28.0,G. Hayward makes 2-pt shot from 3 ft,2,91-83,,
4:09.0,,,91-83,,B. Lopez misses 2-pt shot from 7 ft
4:08.0,Defensive rebound by J. Johnson,,91-83,,
