time,Houston,pts.away,score,pts.home,Toronto
3:04.0,E. Gordon makes free throw 1 of 1,1,23-22,,
3:04.0,,,22-22,,L. Nogueira enters the game for J. Valanciunas
2:54.0,Def 3 sec tech foul by J. Harden,,23-22,,
2:54.0,Houston full timeout,,23-22,,
2:54.0,,,23-23,1,D. DeRozan makes technical free throw
2:43.0,,,23-25,2,D. DeRozan makes 2-pt shot from 9 ft
2:26.0,Turnover by J. Harden (bad pass; steal by L. Nogueira),,23-25,,
2:14.0,,,23-28,3,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph)
2:00.0,J. Harden misses 2-pt shot from 2 ft,,23-28,,
2:00.0,,,23-28,,Defensive rebound by P. Patterson
1:53.0,,,23-30,2,C. Joseph makes 2-pt shot from 3 ft (assist by D. DeRozan)
1:50.0,Offensive foul by J. Harden,,23-30,,
1:50.0,Turnover by J. Harden (offensive foul),,23-30,,
1:50.0,C. Brewer enters the game for T. Ariza,,23-30,,
1:30.0,,,23-33,3,P. Patterson makes 3-pt shot from 23 ft (assist by D. DeRozan)
1:11.0,C. Brewer misses 2-pt shot from 3 ft,,23-33,,
1:11.0,,,23-33,,Defensive rebound by P. Patterson
1:05.0,,,23-35,2,D. DeRozan makes 2-pt shot from 3 ft
1:05.0,Houston full timeout,,23-35,,
0:57.0,Shooting foul by P. Patterson (drawn by M. Harrell),,23-35,,
0:57.0,M. Harrell makes free throw 1 of 2,1,24-35,,
0:57.0,M. Harrell misses free throw 2 of 2,,24-35,,
0:56.0,,,24-35,,Defensive rebound by L. Nogueira
0:37.0,,,24-35,,D. DeRozan misses 2-pt shot from 18 ft
0:36.0,,,24-35,,Offensive rebound by P. Patterson
0:33.0,,,24-35,,P. Patterson misses 2-pt shot from 2 ft
0:32.0,,,24-35,,Offensive rebound by P. Patterson
0:30.0,,,24-35,,P. Patterson misses 2-pt shot from 1 ft
0:30.0,,,24-35,,Offensive rebound by L. Nogueira
0:30.0,,,24-37,2,L. Nogueira makes 2-pt shot from 1 ft
0:14.0,E. Gordon misses 3-pt shot from 24 ft,,24-37,,
0:13.0,Offensive rebound by S. Dekker,,24-37,,
0:10.0,E. Gordon makes 3-pt shot from 26 ft (assist by C. Brewer),3,27-37,,
0:00.0,,,27-37,,C. Joseph misses 2-pt shot from 24 ft (block by C. Brewer)
0:00.0,Defensive rebound by C. Brewer,,27-37,,
0:00.0,C. Brewer misses 3-pt shot from 64 ft,,27-37,,
0:00.0,Offensive rebound by Team,,27-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,S. Dekker misses 2-pt shot from 4 ft,,27-37,,
11:39.0,Offensive rebound by M. Harrell,,27-37,,
11:36.0,M. Harrell makes 2-pt shot at rim,2,29-37,,
11:16.0,,,29-40,3,K. Lowry makes 3-pt shot from 24 ft
11:09.0,E. Gordon misses 3-pt shot from 26 ft,,29-40,,
11:08.0,,,29-40,,Defensive rebound by L. Nogueira
10:50.0,,,29-40,,T. Ross misses 2-pt shot from 2 ft
10:49.0,Defensive rebound by S. Dekker,,29-40,,
10:39.0,E. Gordon misses 3-pt shot from 25 ft,,29-40,,
10:38.0,Offensive rebound by S. Dekker,,29-40,,
10:30.0,Turnover by M. Harrell (lost ball),,29-40,,
10:18.0,,,29-40,,Turnover by C. Joseph (traveling)
10:03.0,M. Harrell makes 2-pt shot from 9 ft (assist by P. Beverley),2,31-40,,
9:56.0,,,31-42,2,L. Nogueira makes 2-pt shot at rim (assist by C. Joseph)
9:38.0,M. Harrell makes 2-pt shot from 1 ft (assist by P. Beverley),2,33-42,,
9:18.0,Personal foul by M. Harrell (drawn by C. Joseph),,33-42,,
9:18.0,R. Anderson enters the game for M. Harrell,,33-42,,
9:18.0,,,33-42,,N. Powell enters the game for C. Joseph
9:08.0,,,33-44,2,T. Ross makes 2-pt shot from 22 ft (assist by K. Lowry)
9:03.0,Shooting foul by K. Lowry (drawn by P. Beverley),,33-44,,
9:03.0,P. Beverley makes free throw 1 of 2,1,34-44,,
9:03.0,P. Beverley makes free throw 2 of 2,1,35-44,,
9:03.0,,,34-44,,P. Patterson enters the game for L. Nogueira
8:46.0,,,35-46,2,T. Ross makes 2-pt shot from 11 ft (assist by P. Patterson)
8:36.0,P. Beverley misses 2-pt shot from 3 ft,,35-46,,
8:36.0,,,35-46,,Defensive rebound by D. Carroll
8:34.0,,,35-46,,Turnover by D. Carroll (bad pass; steal by C. Brewer)
8:27.0,C. Brewer makes 2-pt shot at rim,2,37-46,,
8:21.0,,,37-46,,D. Carroll misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by E. Gordon,,37-46,,
8:14.0,C. Brewer misses 3-pt shot from 24 ft,,37-46,,
8:13.0,,,37-46,,Defensive rebound by T. Ross
7:58.0,,,37-46,,Shooting foul by S. Dekker (drawn by K. Lowry)
7:58.0,Official timeout,,37-46,,
7:58.0,,,37-47,1,K. Lowry makes free throw 1 of 2
7:58.0,,,37-48,1,K. Lowry makes free throw 2 of 2
7:45.0,P. Beverley misses 3-pt shot from 24 ft,,37-48,,
7:44.0,,,37-48,,Defensive rebound by D. Carroll
7:35.0,,,37-48,,Turnover by N. Powell (lost ball; steal by S. Dekker)
7:29.0,E. Gordon makes 2-pt shot from 2 ft (assist by P. Beverley),2,39-48,,
7:22.0,,,39-48,,Shooting foul by P. Beverley (drawn by D. Carroll)
7:22.0,,,39-49,1,D. Carroll makes free throw 1 of 2
7:22.0,,,39-50,1,D. Carroll makes free throw 2 of 2
7:22.0,T. Ariza enters the game for S. Dekker,,39-49,,
7:09.0,E. Gordon misses 3-pt shot from 25 ft,,39-50,,
7:08.0,,,39-50,,Defensive rebound by T. Ross
7:00.0,,,39-50,,T. Ross misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by T. Ariza,,39-50,,
6:44.0,Shooting foul by P. Patterson (drawn by R. Anderson),,39-50,,
6:44.0,R. Anderson makes free throw 1 of 2,1,40-50,,
6:44.0,R. Anderson makes free throw 2 of 2,1,41-50,,
6:32.0,,,41-50,,Toronto full timeout
6:32.0,,,41-50,,D. DeRozan enters the game for T. Ross
6:32.0,J. Harden enters the game for E. Gordon,,41-50,,
6:32.0,N. Hilario enters the game for C. Brewer,,41-50,,
6:25.0,,,41-52,2,D. Carroll makes 2-pt shot from 8 ft (assist by D. DeRozan)
6:12.0,Offensive foul by P. Beverley,,41-52,,
6:12.0,Turnover by P. Beverley (offensive foul),,41-52,,
6:12.0,,,41-52,,J. Valanciunas enters the game for P. Patterson
5:46.0,,,41-52,,D. Carroll misses 2-pt shot from 16 ft
5:46.0,Defensive rebound by Team,,41-52,,
5:31.0,Turnover by J. Harden (lost ball; steal by K. Lowry),,41-52,,
5:27.0,,,41-52,,Turnover by K. Lowry (bad pass)
5:10.0,T. Ariza misses 3-pt shot from 24 ft,,41-52,,
5:08.0,,,41-52,,Defensive rebound by D. Carroll
5:00.0,,,41-52,,C. Joseph enters the game for N. Powell
4:55.0,Personal foul by P. Beverley (drawn by K. Lowry),,41-52,,
4:44.0,,,41-52,,Turnover by D. DeRozan (bad pass; steal by J. Harden)
4:36.0,P. Beverley makes 2-pt shot from 2 ft (assist by J. Harden),2,43-52,,
4:26.0,,,43-52,,D. Carroll misses 3-pt shot from 23 ft
4:26.0,Defensive rebound by T. Ariza,,43-52,,
4:11.0,N. Hilario misses 2-pt shot from 2 ft,,43-52,,
4:09.0,,,43-52,,Defensive rebound by K. Lowry
3:58.0,,,43-52,,Shooting foul by N. Hilario (drawn by K. Lowry)
3:58.0,,,43-53,1,K. Lowry makes free throw 1 of 2
3:58.0,,,43-54,1,K. Lowry makes free throw 2 of 2
3:58.0,,,43-53,,T. Ross enters the game for D. Carroll
3:41.0,J. Harden makes 2-pt shot from 11 ft,2,45-54,,
3:30.0,,,45-54,,Shooting foul by N. Hilario (drawn by D. DeRozan)
3:30.0,,,45-55,1,D. DeRozan makes free throw 1 of 2
3:30.0,,,45-56,1,D. DeRozan makes free throw 2 of 2
3:30.0,E. Gordon enters the game for P. Beverley,,45-55,,
3:30.0,M. Harrell enters the game for N. Hilario,,45-55,,
3:20.0,J. Harden makes 2-pt shot from 6 ft,2,47-56,,
3:10.0,,,47-56,,Shooting foul by E. Gordon (drawn by K. Lowry)
3:10.0,,,47-57,1,K. Lowry makes free throw 1 of 2
3:10.0,,,47-57,,K. Lowry misses free throw 2 of 2
3:09.0,Defensive rebound by J. Harden,,47-57,,
3:01.0,Shooting foul by C. Joseph (drawn by J. Harden),,47-57,,
3:01.0,J. Harden makes free throw 1 of 2,1,48-57,,
3:01.0,J. Harden makes free throw 2 of 2,1,49-57,,
2:39.0,,,49-57,,Shooting foul by E. Gordon (drawn by C. Joseph)
2:39.0,Houston full timeout,,49-57,,
2:39.0,,,49-58,1,C. Joseph makes free throw 1 of 2
2:39.0,,,49-59,1,C. Joseph makes free throw 2 of 2
2:28.0,Turnover by J. Harden (bad pass),,49-59,,
2:09.0,,,49-61,2,J. Valanciunas makes 2-pt shot from 3 ft
1:57.0,E. Gordon misses 3-pt shot from 24 ft,,49-61,,
1:56.0,Offensive rebound by M. Harrell,,49-61,,
1:52.0,M. Harrell makes 2-pt shot from 1 ft,2,51-61,,
1:47.0,,,51-61,,Offensive charge foul by D. DeRozan
1:47.0,,,51-61,,Turnover by D. DeRozan (offensive foul)
1:34.0,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden),2,53-61,,
1:34.0,Shooting foul by J. Valanciunas (drawn by M. Harrell),,53-61,,
1:34.0,M. Harrell makes free throw 1 of 1,1,54-61,,
1:20.0,,,54-61,,C. Joseph misses 2-pt shot from 8 ft
1:20.0,Defensive rebound by M. Harrell,,54-61,,
1:09.0,J. Harden makes 2-pt shot from 2 ft,2,56-61,,
1:00.0,,,56-61,,Toronto full timeout
1:00.0,,,56-61,,N. Powell enters the game for K. Lowry
0:43.0,,,56-61,,N. Powell misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by Team,,56-61,,
0:40.0,,,56-61,,Loose ball foul by C. Joseph (drawn by E. Gordon)
0:40.0,E. Gordon makes free throw 1 of 2,1,57-61,,
0:40.0,E. Gordon makes free throw 2 of 2,1,58-61,,
0:26.0,,,58-61,,T. Ross misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by J. Harden,,58-61,,
0:08.0,Turnover by J. Harden (bad pass; steal by T. Ross),,58-61,,
0:04.0,,,58-63,2,D. DeRozan makes 2-pt shot from 1 ft (assist by T. Ross)
0:00.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,61-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,64-63,,
11:26.0,,,64-63,,D. DeRozan misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by N. Hilario,,64-63,,
11:13.0,J. Harden misses 3-pt shot from 25 ft,,64-63,,
11:12.0,,,64-63,,Defensive rebound by J. Valanciunas
10:58.0,,,64-65,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
10:49.0,N. Hilario makes 2-pt shot from 3 ft (assist by P. Beverley),2,66-65,,
10:49.0,Shooting foul by D. DeRozan (drawn by N. Hilario),,66-65,,
10:49.0,N. Hilario misses free throw 1 of 1,,66-65,,
10:48.0,,,66-65,,Defensive rebound by D. DeRozan
10:30.0,,,66-65,,Shooting foul by N. Hilario (drawn by N. Powell)
10:30.0,,,66-66,1,N. Powell makes free throw 1 of 2
10:30.0,,,66-67,1,N. Powell makes free throw 2 of 2
10:30.0,M. Harrell enters the game for N. Hilario,,66-66,,
10:13.0,R. Anderson misses 2-pt shot from 17 ft,,66-67,,
10:13.0,,,66-67,,Defensive rebound by D. DeRozan
10:01.0,,,66-67,,Shooting foul by M. Harrell (drawn by D. Carroll)
10:01.0,,,66-68,1,D. Carroll makes free throw 1 of 2
10:01.0,,,66-69,1,D. Carroll makes free throw 2 of 2
9:46.0,J. Harden misses 2-pt shot from 15 ft,,66-69,,
9:45.0,,,66-69,,Defensive rebound by D. Carroll
9:38.0,,,66-72,3,D. Carroll makes 3-pt shot from 25 ft
9:22.0,Shooting foul by J. Valanciunas (drawn by J. Harden),,66-72,,
9:22.0,J. Harden makes free throw 1 of 2,1,67-72,,
9:22.0,J. Harden makes free throw 2 of 2,1,68-72,,
9:04.0,,,68-74,2,N. Powell makes 2-pt shot from 2 ft
8:41.0,J. Harden misses 3-pt shot from 25 ft,,68-74,,
8:40.0,Offensive rebound by R. Anderson,,68-74,,
8:36.0,R. Anderson misses 2-pt shot at rim,,68-74,,
8:36.0,,,68-74,,Defensive rebound by D. Carroll
8:24.0,,,68-74,,Turnover by J. Valanciunas (3 sec)
8:09.0,J. Harden misses 2-pt shot from 8 ft (block by J. Valanciunas),,68-74,,
8:08.0,Offensive rebound by J. Harden,,68-74,,
8:05.0,T. Ariza misses 3-pt shot from 24 ft,,68-74,,
8:05.0,,,68-74,,Defensive rebound by K. Lowry
7:56.0,,,68-77,3,D. Carroll makes 3-pt shot from 24 ft (assist by N. Powell)
7:34.0,J. Harden misses 2-pt shot from 10 ft,,68-77,,
7:33.0,Offensive rebound by J. Harden,,68-77,,
7:31.0,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden),2,70-77,,
7:31.0,Shooting foul by J. Valanciunas (drawn by M. Harrell),,70-77,,
7:31.0,M. Harrell misses free throw 1 of 1,,70-77,,
7:29.0,,,70-77,,Defensive rebound by J. Valanciunas
7:23.0,,,70-77,,K. Lowry misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by T. Ariza,,70-77,,
7:12.0,Turnover by T. Ariza (traveling),,70-77,,
6:55.0,,,70-80,3,N. Powell makes 3-pt shot from 23 ft (assist by D. DeRozan)
6:28.0,J. Harden misses 3-pt shot from 23 ft,,70-80,,
6:27.0,,,70-80,,Defensive rebound by J. Valanciunas
6:13.0,,,70-83,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
6:13.0,Houston full timeout,,70-83,,
6:13.0,E. Gordon enters the game for P. Beverley,,70-83,,
6:01.0,J. Harden makes 3-pt shot from 24 ft,3,73-83,,
5:41.0,,,73-85,2,D. DeRozan makes 2-pt shot from 3 ft
5:41.0,,,73-85,,Shooting foul by T. Ariza (drawn by D. DeRozan)
5:41.0,,,73-86,1,D. DeRozan makes free throw 1 of 1
5:31.0,J. Harden makes 3-pt shot from 25 ft,3,76-86,,
5:15.0,,,76-86,,D. DeRozan misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by J. Harden,,76-86,,
5:10.0,M. Harrell makes 2-pt shot from 2 ft (assist by T. Ariza),2,78-86,,
5:10.0,Shooting foul by K. Lowry (drawn by M. Harrell),,78-86,,
5:10.0,M. Harrell makes free throw 1 of 1,1,79-86,,
4:51.0,,,79-86,,N. Powell misses 3-pt shot from 24 ft
4:51.0,,,79-86,,Offensive rebound by Team
4:51.0,Loose ball foul by J. Harden (drawn by J. Valanciunas),,79-86,,
4:37.0,,,79-88,2,K. Lowry makes 2-pt shot from 7 ft
4:19.0,R. Anderson misses 3-pt shot from 25 ft,,79-88,,
4:18.0,,,79-88,,Defensive rebound by N. Powell
4:13.0,,,79-88,,Turnover by D. DeRozan (traveling)
4:13.0,,,79-88,,L. Nogueira enters the game for J. Valanciunas
4:13.0,,,79-88,,T. Ross enters the game for N. Powell
4:07.0,J. Harden makes 2-pt shot from 2 ft,2,81-88,,
4:07.0,Shooting foul by L. Nogueira (drawn by J. Harden),,81-88,,
4:07.0,J. Harden makes free throw 1 of 1,1,82-88,,
4:07.0,S. Dekker enters the game for R. Anderson,,81-88,,
3:42.0,,,82-88,,D. DeRozan misses 2-pt shot from 22 ft (block by J. Harden)
3:41.0,Defensive rebound by J. Harden,,82-88,,
3:39.0,Shooting foul by L. Nogueira (drawn by S. Dekker),,82-88,,
3:39.0,S. Dekker misses free throw 1 of 2,,82-88,,
3:39.0,Offensive rebound by Team,,82-88,,
3:39.0,S. Dekker misses free throw 2 of 2,,82-88,,
3:38.0,,,82-88,,Defensive rebound by D. Carroll
3:26.0,,,82-91,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
3:14.0,,,82-91,,Violation by K. Lowry (kicked ball)
3:14.0,,,82-91,,C. Joseph enters the game for K. Lowry
3:00.0,J. Harden misses 2-pt shot from 2 ft,,82-91,,
3:00.0,,,82-91,,Defensive rebound by L. Nogueira
2:51.0,,,82-93,2,T. Ross makes 2-pt shot from 5 ft
2:35.0,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden),2,84-93,,
2:16.0,,,84-93,,T. Ross misses 2-pt shot from 21 ft
2:16.0,Defensive rebound by T. Ariza,,84-93,,
2:08.0,E. Gordon misses 3-pt shot from 25 ft,,84-93,,
2:08.0,Offensive rebound by M. Harrell,,84-93,,
2:04.0,E. Gordon misses 3-pt shot from 25 ft (block by L. Nogueira),,84-93,,
2:02.0,,,84-93,,Defensive rebound by D. DeRozan
1:54.0,,,84-93,,T. Ross misses 2-pt shot at rim (block by E. Gordon)
1:52.0,Defensive rebound by T. Ariza,,84-93,,
1:41.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,87-93,,
1:41.0,,,87-93,,Toronto full timeout
1:41.0,C. Brewer enters the game for S. Dekker,,87-93,,
1:41.0,,,87-93,,P. Patterson enters the game for D. Carroll
1:23.0,,,87-95,2,T. Ross makes 2-pt shot from 19 ft
1:05.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,90-95,,
0:47.0,,,90-97,2,C. Joseph makes 2-pt shot from 7 ft
0:27.0,M. Harrell makes 2-pt shot from 9 ft (assist by J. Harden),2,92-97,,
0:04.0,,,92-97,,Shooting foul by J. Harden (drawn by D. DeRozan)
0:04.0,,,92-98,1,D. DeRozan makes free throw 1 of 2
0:04.0,,,92-99,1,D. DeRozan makes free throw 2 of 2
0:00.0,J. Harden makes 3-pt shot from 25 ft,3,95-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,95-99,,Turnover by T. Ross (lost ball; steal by C. Brewer)
11:35.0,E. Gordon makes 2-pt shot from 3 ft (assist by C. Brewer),2,97-99,,
11:21.0,,,97-99,,K. Lowry misses 2-pt shot from 2 ft (block by M. Harrell)
11:20.0,Defensive rebound by P. Beverley,,97-99,,
11:14.0,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley),3,100-99,,
11:14.0,,,100-99,,Toronto full timeout
10:56.0,,,100-99,,T. Ross misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by E. Gordon,,100-99,,
10:48.0,T. Ariza makes 3-pt shot from 25 ft (assist by E. Gordon),3,103-99,,
10:21.0,,,103-99,,K. Lowry misses 3-pt shot from 26 ft
10:21.0,,,103-99,,Offensive rebound by Team
10:21.0,Loose ball foul by C. Brewer (drawn by P. Patterson),,103-99,,
10:20.0,,,103-99,,Turnover by Team (back court)
10:04.0,M. Harrell makes 2-pt shot from 3 ft (assist by E. Gordon),2,105-99,,
10:04.0,Shooting foul by P. Patterson (drawn by M. Harrell),,105-99,,
10:04.0,M. Harrell makes free throw 1 of 1,1,106-99,,
9:49.0,,,106-99,,Turnover by K. Lowry (lost ball; steal by C. Brewer)
9:43.0,M. Harrell makes 2-pt shot from 6 ft (assist by P. Beverley),2,108-99,,
9:42.0,,,108-99,,Toronto full timeout
9:42.0,,,108-99,,N. Powell enters the game for L. Nogueira
9:29.0,,,108-99,,N. Powell misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by M. Harrell,,108-99,,
9:21.0,E. Gordon makes 2-pt shot from 3 ft (assist by P. Beverley),2,110-99,,
9:02.0,,,110-99,,C. Joseph misses 2-pt shot from 18 ft
9:01.0,Defensive rebound by C. Brewer,,110-99,,
8:53.0,Turnover by C. Brewer (lost ball; steal by K. Lowry),,110-99,,
8:50.0,,,110-99,,Shooting foul by P. Beverley (drawn by K. Lowry)
8:50.0,,,110-99,,K. Lowry misses free throw 1 of 2
8:50.0,,,110-99,,Offensive rebound by Team
8:50.0,,,110-100,1,K. Lowry makes free throw 2 of 2
8:50.0,,,110-99,,D. DeRozan enters the game for C. Joseph
8:37.0,M. Harrell makes 2-pt shot from 2 ft (assist by E. Gordon),2,112-100,,
8:21.0,,,112-102,2,D. DeRozan makes 2-pt shot from 7 ft
8:01.0,M. Harrell misses 2-pt shot from 5 ft,,112-102,,
8:00.0,,,112-102,,Defensive rebound by P. Patterson
7:47.0,Def 3 sec tech foul by T. Ariza,,112-102,,
7:47.0,,,112-103,1,D. DeRozan makes technical free throw
7:44.0,,,112-105,2,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry)
7:28.0,T. Ariza misses 3-pt shot from 25 ft,,112-105,,
7:27.0,,,112-105,,Defensive rebound by D. DeRozan
7:19.0,,,112-107,2,D. DeRozan makes 2-pt shot from 9 ft
7:19.0,Houston full timeout,,112-107,,
7:19.0,,,112-107,,D. Carroll enters the game for N. Powell
7:19.0,R. Anderson enters the game for M. Harrell,,112-107,,
7:19.0,J. Harden enters the game for C. Brewer,,112-107,,
6:57.0,E. Gordon makes 2-pt shot from 3 ft,2,114-107,,
6:36.0,,,114-107,,T. Ross misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by R. Anderson,,114-107,,
6:24.0,Turnover by J. Harden (bad pass),,114-107,,
6:12.0,,,114-109,2,D. DeRozan makes 2-pt shot from 3 ft
5:54.0,E. Gordon makes 2-pt shot from 2 ft,2,116-109,,
5:54.0,,,116-109,,Shooting block foul by P. Patterson (drawn by E. Gordon)
5:54.0,E. Gordon makes free throw 1 of 1,1,117-109,,
5:39.0,,,117-111,2,D. DeRozan makes 2-pt shot from 2 ft
5:13.0,J. Harden makes 2-pt shot from 1 ft,2,119-111,,
5:01.0,,,119-111,,D. DeRozan misses 2-pt shot from 17 ft
5:00.0,Defensive rebound by R. Anderson,,119-111,,
4:53.0,,,119-111,,Violation by D. DeRozan (def goaltending)
