time,San Antonio,pts.away,score,pts.home,Charlotte
5:34.0,,,13-14,2,R. Hibbert makes 2-pt shot from 12 ft (assist by N. Batum)
5:15.0,D. Lee enters the game for P. Gasol,,13-14,,
5:10.0,M. Ginobili misses 2-pt shot from 6 ft,,13-14,,
5:09.0,,,13-14,,Defensive rebound by N. Batum
5:02.0,,,13-16,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
4:36.0,K. Leonard makes 3-pt shot from 25 ft (assist by M. Ginobili),3,16-16,,
4:18.0,,,16-19,3,N. Batum makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist)
3:55.0,Shooting foul by K. Walker,,16-19,,
3:55.0,P. Mills makes free throw 1 of 3,1,17-19,,
3:55.0,P. Mills makes free throw 2 of 3,1,18-19,,
3:55.0,P. Mills makes free throw 3 of 3,1,19-19,,
3:55.0,,,18-19,,F. Kaminsky enters the game for M. Williams
3:55.0,,,18-19,,S. Hawes enters the game for R. Hibbert
3:55.0,,,18-19,,M. Belinelli enters the game for N. Batum
3:55.0,J. Simmons enters the game for K. Leonard,,18-19,,
3:43.0,,,19-19,,S. Hawes misses 2-pt shot from 5 ft
3:39.0,Defensive rebound by D. Lee,,19-19,,
3:32.0,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills),2,21-19,,
3:21.0,Personal foul by P. Mills,,21-19,,
3:14.0,,,21-22,3,K. Walker makes 3-pt shot from 27 ft
3:00.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Lee),2,23-22,,
2:44.0,,,23-24,2,S. Hawes makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist)
2:32.0,Turnover by D. Lee (bad pass),,23-24,,
2:32.0,San Antonio full timeout,,23-24,,
2:32.0,D. Bertans enters the game for L. Aldridge,,23-24,,
2:21.0,Personal foul by P. Mills,,23-24,,
2:09.0,,,23-24,,S. Hawes misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by J. Simmons,,23-24,,
1:59.0,D. Lee misses 2-pt shot from 5 ft,,23-24,,
1:58.0,,,23-24,,Defensive rebound by F. Kaminsky
1:48.0,,,23-24,,F. Kaminsky misses 2-pt shot from 10 ft
1:48.0,,,23-24,,Offensive rebound by Team
1:48.0,,,23-24,,R. Sessions enters the game for K. Walker
1:43.0,,,23-26,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Sessions)
1:25.0,D. Lee misses 2-pt shot from 18 ft,,23-26,,
1:24.0,,,23-26,,Defensive rebound by F. Kaminsky
1:12.0,,,23-28,2,F. Kaminsky makes 2-pt shot from 6 ft
1:02.0,Shooting foul by M. Kidd-Gilchrist (drawn by M. Ginobili),,23-28,,
1:02.0,M. Ginobili makes free throw 1 of 2,1,24-28,,
1:02.0,M. Ginobili makes free throw 2 of 2,1,25-28,,
1:02.0,,,24-28,,J. Lamb enters the game for M. Kidd-Gilchrist
0:52.0,,,25-28,,S. Hawes misses 2-pt shot from 2 ft (block by D. Lee)
0:49.0,Defensive rebound by M. Ginobili,,25-28,,
0:43.0,Shooting foul by S. Hawes (drawn by D. Lee),,25-28,,
0:43.0,D. Lee makes free throw 1 of 2,1,26-28,,
0:43.0,D. Lee makes free throw 2 of 2,1,27-28,,
0:33.0,,,27-28,,M. Belinelli misses 2-pt shot from 6 ft
0:30.0,Defensive rebound by J. Simmons,,27-28,,
0:12.0,D. Bertans makes 3-pt shot from 23 ft (assist by D. Lee),3,30-28,,
0:05.0,Personal foul by D. Lee (drawn by R. Sessions),,30-28,,
0:01.0,,,30-28,,M. Belinelli misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by M. Ginobili,,30-28,,
0:00.0,M. Ginobili misses 3-pt shot from 84 ft,,30-28,,
0:00.0,Offensive rebound by Team,,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,30-30,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by S. Hawes)
11:28.0,D. Bertans makes 3-pt shot from 25 ft (assist by M. Ginobili),3,33-30,,
11:13.0,,,33-32,2,R. Sessions makes 2-pt shot from 2 ft
11:06.0,Turnover by D. Bertans (bad pass),,33-32,,
11:06.0,K. Leonard enters the game for M. Ginobili,,33-32,,
10:56.0,,,33-35,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by R. Sessions)
10:41.0,P. Gasol misses 3-pt shot from 24 ft,,33-35,,
10:39.0,,,33-35,,Defensive rebound by M. Belinelli
10:27.0,,,33-37,2,M. Belinelli makes 2-pt shot from 2 ft (assist by S. Hawes)
10:18.0,Turnover by D. Bertans (bad pass),,33-37,,
10:05.0,,,33-37,,F. Kaminsky misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by K. Leonard,,33-37,,
9:54.0,K. Leonard makes 3-pt shot from 27 ft,3,36-37,,
9:35.0,,,36-37,,F. Kaminsky misses 2-pt shot from 1 ft
9:35.0,,,36-37,,Offensive rebound by Team
9:23.0,,,36-37,,M. Belinelli misses 2-pt shot from 20 ft
9:23.0,Defensive rebound by Team,,36-37,,
9:02.0,T. Parker makes 2-pt shot from 21 ft (assist by P. Gasol),2,38-37,,
8:46.0,,,38-39,2,M. Belinelli makes 2-pt shot from 3 ft (assist by S. Hawes)
8:46.0,San Antonio full timeout,,38-39,,
8:46.0,D. Green enters the game for J. Simmons,,38-39,,
8:46.0,L. Aldridge enters the game for D. Bertans,,38-39,,
8:33.0,D. Green misses 3-pt shot from 26 ft,,38-39,,
8:32.0,,,38-39,,Defensive rebound by F. Kaminsky
8:19.0,,,38-41,2,S. Hawes makes 2-pt shot from 1 ft (assist by N. Batum)
8:06.0,,,38-41,,Personal foul by M. Belinelli (drawn by T. Parker)
7:54.0,K. Leonard misses 3-pt shot from 25 ft,,38-41,,
7:53.0,,,38-41,,Defensive rebound by S. Hawes
7:48.0,,,38-43,2,N. Batum makes 2-pt shot from 22 ft (assist by R. Sessions)
7:24.0,T. Parker misses 2-pt shot from 3 ft,,38-43,,
7:23.0,Offensive rebound by L. Aldridge,,38-43,,
7:23.0,Shooting foul by M. Belinelli (drawn by L. Aldridge),,38-43,,
7:23.0,L. Aldridge makes free throw 1 of 2,1,39-43,,
7:23.0,L. Aldridge makes free throw 2 of 2,1,40-43,,
7:23.0,,,39-43,,J. Lamb enters the game for M. Belinelli
7:15.0,,,40-43,,Turnover by N. Batum (bad pass; steal by P. Gasol)
7:05.0,K. Leonard misses 2-pt shot from 17 ft,,40-43,,
7:03.0,,,40-43,,Defensive rebound by J. Lamb
6:56.0,,,40-43,,Turnover by J. Lamb (bad pass)
6:38.0,T. Parker misses 3-pt shot from 23 ft,,40-43,,
6:37.0,,,40-43,,Defensive rebound by J. Lamb
6:31.0,,,40-43,,Turnover by J. Lamb (bad pass)
6:31.0,,,40-43,,M. Williams enters the game for S. Hawes
6:10.0,K. Leonard makes 2-pt shot from 9 ft,2,42-43,,
5:56.0,,,42-46,3,R. Sessions makes 3-pt shot from 26 ft
5:40.0,K. Leonard makes 2-pt shot from 9 ft,2,44-46,,
5:15.0,,,44-48,2,F. Kaminsky makes 2-pt shot from 9 ft (assist by N. Batum)
4:58.0,T. Parker misses 2-pt shot from 4 ft,,44-48,,
4:56.0,Offensive rebound by L. Aldridge,,44-48,,
4:56.0,L. Aldridge makes 2-pt shot from 1 ft,2,46-48,,
4:41.0,,,46-48,,Turnover by N. Batum (lost ball; steal by K. Leonard)
4:36.0,D. Green misses 2-pt shot from 2 ft,,46-48,,
4:35.0,Offensive rebound by L. Aldridge,,46-48,,
4:35.0,L. Aldridge makes 2-pt shot at rim,2,48-48,,
4:35.0,,,48-48,,Charlotte full timeout
4:35.0,,,48-48,,K. Walker enters the game for R. Sessions
4:35.0,,,48-48,,M. Kidd-Gilchrist enters the game for J. Lamb
4:35.0,D. Lee enters the game for P. Gasol,,48-48,,
4:35.0,P. Mills enters the game for T. Parker,,48-48,,
4:21.0,,,48-50,2,K. Walker makes 2-pt shot from 4 ft (assist by F. Kaminsky)
4:21.0,,,48-50,,Shooting foul by L. Aldridge (drawn by K. Walker)
4:21.0,,,48-51,1,K. Walker makes free throw 1 of 1
4:03.0,L. Aldridge misses 2-pt shot from 19 ft,,48-51,,
4:00.0,Offensive rebound by P. Mills,,48-51,,
3:46.0,L. Aldridge misses 2-pt shot from 9 ft,,48-51,,
3:46.0,Offensive rebound by Team,,48-51,,
3:43.0,D. Lee makes 2-pt shot from 1 ft (assist by P. Mills),2,50-51,,
3:27.0,,,50-51,,Turnover by M. Williams (bad pass; steal by P. Mills)
3:21.0,L. Aldridge misses 3-pt shot from 28 ft,,50-51,,
3:18.0,,,50-51,,Defensive rebound by K. Walker
3:15.0,,,50-51,,Shooting foul by K. Leonard (drawn by K. Walker)
3:15.0,,,50-52,1,K. Walker makes free throw 1 of 2
3:15.0,,,50-53,1,K. Walker makes free throw 2 of 2
2:59.0,K. Leonard makes 2-pt shot from 1 ft,2,52-53,,
2:44.0,,,52-53,,F. Kaminsky misses 2-pt shot from 8 ft
2:40.0,Defensive rebound by P. Mills,,52-53,,
2:30.0,D. Green makes 2-pt shot from 19 ft (assist by D. Lee),2,54-53,,
2:16.0,,,54-53,,K. Walker misses 2-pt shot from 20 ft
2:14.0,,,54-53,,Offensive rebound by F. Kaminsky
2:13.0,,,54-53,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by L. Aldridge)
2:13.0,,,54-53,,Offensive rebound by Team
2:13.0,Official timeout,,54-53,,
2:13.0,Jump ball: L. Aldridge vs. M. Kidd-Gilchrist,,,,Jump ball: L. Aldridge vs. M. Kidd-Gilchrist
2:12.0,,,54-53,,J. Lamb enters the game for M. Kidd-Gilchrist
2:06.0,,,54-55,2,M. Williams makes 2-pt shot from 21 ft (assist by F. Kaminsky)
1:48.0,D. Green makes 3-pt shot from 26 ft (assist by K. Leonard),3,57-55,,
1:32.0,,,57-57,2,N. Batum makes 2-pt shot at rim (assist by F. Kaminsky)
1:32.0,,,57-57,,Shooting foul by D. Lee (drawn by N. Batum)
1:32.0,,,57-58,1,N. Batum makes free throw 1 of 1
1:17.0,K. Leonard makes 2-pt shot from 16 ft,2,59-58,,
1:05.0,,,59-58,,N. Batum misses 3-pt shot from 28 ft
1:03.0,Defensive rebound by L. Aldridge,,59-58,,
0:54.0,L. Aldridge misses 2-pt shot from 18 ft,,59-58,,
0:52.0,,,59-58,,Defensive rebound by J. Lamb
0:45.0,,,59-58,,J. Lamb misses 2-pt shot from 2 ft (block by D. Lee)
0:44.0,,,59-58,,Offensive rebound by N. Batum
0:39.0,,,59-60,2,J. Lamb makes 2-pt shot from 13 ft (assist by N. Batum)
0:17.0,L. Aldridge misses 3-pt shot from 24 ft,,59-60,,
0:16.0,,,59-60,,Defensive rebound by K. Walker
0:01.0,,,59-60,,K. Walker misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by D. Green,,59-60,,
0:00.0,D. Green misses 3-pt shot from 66 ft,,59-60,,
0:00.0,Offensive rebound by Team,,59-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,59-60,,R. Hibbert misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by P. Gasol,,59-60,,
11:32.0,D. Green makes 3-pt shot from 26 ft (assist by L. Aldridge),3,62-60,,
11:16.0,,,62-60,,R. Hibbert misses 2-pt shot from 2 ft (block by P. Gasol)
11:14.0,,,62-60,,Offensive rebound by K. Walker
11:09.0,,,62-63,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
10:59.0,Turnover by D. Green (bad pass; steal by M. Williams),,62-63,,
10:51.0,,,62-63,,Turnover by N. Batum (bad pass; steal by P. Gasol)
10:34.0,K. Leonard makes 2-pt shot from 11 ft,2,64-63,,
10:12.0,,,64-63,,K. Walker misses 2-pt shot from 7 ft
10:10.0,Defensive rebound by P. Gasol,,64-63,,
10:05.0,K. Leonard misses 3-pt shot from 26 ft,,64-63,,
10:04.0,,,64-63,,Defensive rebound by R. Hibbert
9:54.0,,,64-63,,Shooting foul by D. Green (drawn by R. Hibbert)
9:54.0,,,64-64,1,R. Hibbert makes free throw 1 of 2
9:54.0,,,64-65,1,R. Hibbert makes free throw 2 of 2
9:30.0,K. Leonard makes 2-pt shot from 20 ft,2,66-65,,
9:10.0,,,66-65,,M. Kidd-Gilchrist misses 2-pt shot from 8 ft
9:09.0,Defensive rebound by Team,,66-65,,
8:47.0,L. Aldridge misses 2-pt shot from 13 ft,,66-65,,
8:45.0,,,66-65,,Defensive rebound by N. Batum
8:38.0,,,66-65,,M. Kidd-Gilchrist misses 2-pt shot from 13 ft
8:36.0,,,66-65,,Offensive rebound by M. Williams
8:30.0,,,66-67,2,R. Hibbert makes 2-pt shot from 18 ft (assist by K. Walker)
8:18.0,K. Leonard misses 3-pt shot from 27 ft,,66-67,,
8:17.0,,,66-67,,Defensive rebound by N. Batum
8:12.0,,,66-67,,Turnover by N. Batum (bad pass; steal by L. Aldridge)
8:05.0,P. Gasol makes 2-pt shot from 5 ft (assist by T. Parker),2,68-67,,
7:43.0,,,68-69,2,R. Hibbert makes 2-pt shot from 15 ft (assist by K. Walker)
7:26.0,,,68-69,,Personal foul by R. Hibbert (drawn by P. Gasol)
7:19.0,P. Gasol misses 2-pt shot from 21 ft,,68-69,,
7:18.0,,,68-69,,Defensive rebound by K. Walker
7:10.0,,,68-69,,R. Hibbert misses 2-pt shot from 1 ft (block by K. Leonard)
7:06.0,Defensive rebound by P. Gasol,,68-69,,
6:48.0,L. Aldridge misses 2-pt shot from 13 ft,,68-69,,
6:46.0,,,68-69,,Defensive rebound by K. Walker
6:43.0,Personal foul by K. Leonard (drawn by K. Walker),,68-69,,
6:40.0,,,68-69,,Offensive foul by R. Hibbert
6:40.0,,,68-69,,Turnover by R. Hibbert (offensive foul)
6:40.0,San Antonio full timeout,,68-69,,
6:23.0,K. Leonard makes 2-pt shot from 13 ft,2,70-69,,
6:23.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Leonard),,70-69,,
6:23.0,K. Leonard misses free throw 1 of 1,,70-69,,
6:22.0,,,70-69,,Defensive rebound by M. Williams
6:09.0,,,70-69,,N. Batum misses 2-pt shot from 16 ft
6:08.0,Defensive rebound by T. Parker,,70-69,,
5:49.0,T. Parker misses 3-pt shot from 25 ft,,70-69,,
5:48.0,Offensive rebound by K. Leonard,,70-69,,
5:37.0,L. Aldridge makes 2-pt shot from 14 ft,2,72-69,,
5:25.0,,,72-69,,M. Williams misses 3-pt shot from 28 ft
5:24.0,Defensive rebound by P. Gasol,,72-69,,
5:16.0,,,72-69,,Personal foul by M. Williams (drawn by L. Aldridge)
5:16.0,M. Ginobili enters the game for D. Green,,72-69,,
5:16.0,P. Mills enters the game for T. Parker,,72-69,,
5:10.0,M. Ginobili misses 2-pt shot from 20 ft,,72-69,,
5:09.0,,,72-69,,Defensive rebound by M. Kidd-Gilchrist
4:59.0,,,72-71,2,M. Kidd-Gilchrist makes 2-pt shot from 3 ft
4:43.0,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Leonard),3,75-71,,
4:25.0,,,75-73,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
4:25.0,,,75-73,,Shooting foul by P. Mills (drawn by M. Kidd-Gilchrist)
4:25.0,,,75-73,,M. Kidd-Gilchrist misses free throw 1 of 1
4:25.0,,,75-73,,M. Belinelli enters the game for M. Williams
4:25.0,D. Lee enters the game for P. Gasol,,75-73,,
4:25.0,,,75-73,,F. Kaminsky enters the game for N. Batum
4:24.0,Defensive rebound by D. Lee,,75-73,,
4:07.0,Turnover by L. Aldridge (traveling),,75-73,,
3:56.0,,,75-73,,K. Walker misses 2-pt shot from 15 ft
3:53.0,Defensive rebound by L. Aldridge,,75-73,,
3:48.0,M. Ginobili misses 3-pt shot from 24 ft,,75-73,,
3:46.0,Offensive rebound by K. Leonard,,75-73,,
3:46.0,K. Leonard makes 2-pt shot at rim,2,77-73,,
3:32.0,,,77-73,,F. Kaminsky misses 3-pt shot from 26 ft
3:30.0,,,77-73,,Offensive rebound by R. Hibbert
3:26.0,,,77-76,3,M. Belinelli makes 3-pt shot from 26 ft (assist by R. Hibbert)
3:07.0,K. Leonard makes 2-pt shot from 22 ft,2,79-76,,
2:55.0,Personal foul by M. Ginobili (drawn by M. Belinelli),,79-76,,
2:55.0,,,79-76,,Charlotte full timeout
2:55.0,,,79-76,,R. Sessions enters the game for R. Hibbert
2:55.0,,,79-76,,S. Hawes enters the game for K. Walker
2:55.0,J. Simmons enters the game for K. Leonard,,79-76,,
2:44.0,,,79-76,,Turnover by F. Kaminsky (bad pass; steal by M. Ginobili)
2:37.0,P. Mills makes 3-pt shot from 25 ft (assist by J. Simmons),3,82-76,,
2:29.0,Personal foul by D. Lee (drawn by F. Kaminsky),,82-76,,
2:29.0,,,82-76,,F. Kaminsky misses free throw 1 of 2
2:29.0,,,82-76,,Offensive rebound by Team
2:29.0,,,82-76,,F. Kaminsky misses free throw 2 of 2
2:27.0,Defensive rebound by L. Aldridge,,82-76,,
2:16.0,L. Aldridge makes 2-pt shot from 7 ft (assist by D. Lee),2,84-76,,
1:56.0,,,84-76,,R. Sessions misses 2-pt shot from 13 ft
1:55.0,,,84-76,,Offensive rebound by F. Kaminsky
1:55.0,,,84-78,2,F. Kaminsky makes 2-pt shot from 2 ft
1:36.0,L. Aldridge misses 2-pt shot from 11 ft,,84-78,,
1:32.0,,,84-78,,Defensive rebound by M. Belinelli
1:24.0,,,84-78,,Shooting foul by M. Ginobili (drawn by F. Kaminsky)
1:24.0,,,84-79,1,F. Kaminsky makes free throw 1 of 2
1:24.0,,,84-80,1,F. Kaminsky makes free throw 2 of 2
1:24.0,D. Bertans enters the game for L. Aldridge,,84-79,,
1:14.0,,,84-80,,Personal foul by M. Belinelli
1:03.0,Turnover by P. Mills (lost ball; steal by S. Hawes),,84-80,,
0:59.0,,,84-82,2,R. Sessions makes 2-pt shot from 2 ft (assist by M. Belinelli)
0:44.0,M. Ginobili misses 2-pt shot from 3 ft,,84-82,,
0:42.0,,,84-82,,Defensive rebound by M. Kidd-Gilchrist
0:34.0,,,84-82,,M. Belinelli misses 3-pt shot from 28 ft
0:32.0,,,84-82,,Offensive rebound by F. Kaminsky
0:29.0,,,84-84,2,M. Belinelli makes 2-pt shot from 2 ft (assist by F. Kaminsky)
0:03.0,Turnover by Team (shot clock),,84-84,,
0:01.0,,,84-84,,M. Belinelli misses 3-pt shot from 28 ft
0:00.0,Defensive rebound by M. Ginobili,,84-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Turnover by D. Lee (bad pass; steal by R. Sessions),,84-84,,
11:33.0,,,84-84,,Shooting foul by D. Lee (drawn by S. Hawes)
11:33.0,,,84-84,,S. Hawes misses free throw 1 of 2
11:33.0,,,84-84,,Offensive rebound by Team
11:33.0,,,84-85,1,S. Hawes makes free throw 2 of 2
11:21.0,P. Mills misses 3-pt shot from 25 ft,,84-85,,
11:19.0,,,84-85,,Defensive rebound by M. Belinelli
11:04.0,,,84-85,,F. Kaminsky misses 2-pt shot from 8 ft
11:03.0,,,84-85,,Offensive rebound by S. Hawes
11:02.0,Personal foul by M. Ginobili (drawn by S. Hawes),,84-85,,
11:02.0,,,84-86,1,S. Hawes makes free throw 1 of 2
11:02.0,,,84-87,1,S. Hawes makes free throw 2 of 2
11:02.0,P. Gasol enters the game for D. Lee,,84-86,,
10:45.0,P. Gasol misses 2-pt shot from 17 ft,,84-87,,
10:44.0,,,84-87,,Defensive rebound by N. Batum
10:30.0,,,84-87,,N. Batum misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by P. Gasol,,84-87,,
10:19.0,D. Bertans makes 3-pt shot from 24 ft (assist by P. Mills),3,87-87,,
10:04.0,Personal foul by J. Simmons (drawn by S. Hawes),,87-87,,
10:02.0,Personal foul by J. Simmons (drawn by S. Hawes),,87-87,,
9:54.0,,,87-87,,S. Hawes misses 2-pt shot at rim (block by D. Bertans)
9:54.0,,,87-87,,Offensive rebound by Team
9:41.0,,,87-89,2,S. Hawes makes 2-pt shot from 11 ft
9:31.0,P. Gasol makes 2-pt shot from 2 ft (assist by P. Mills),2,89-89,,
9:13.0,,,89-89,,Turnover by F. Kaminsky (lost ball)
8:52.0,P. Mills misses 3-pt shot from 24 ft,,89-89,,
8:51.0,,,89-89,,Defensive rebound by F. Kaminsky
8:47.0,,,89-89,,Turnover by F. Kaminsky (bad pass; steal by M. Ginobili)
8:41.0,D. Bertans makes 2-pt shot at rim (assist by J. Simmons),2,91-89,,
8:25.0,,,91-91,2,S. Hawes makes 2-pt shot from 6 ft (assist by R. Sessions)
8:20.0,San Antonio full timeout,,91-91,,
8:20.0,L. Aldridge enters the game for M. Ginobili,,91-91,,
8:20.0,T. Parker enters the game for P. Mills,,91-91,,
8:20.0,D. Green enters the game for J. Simmons,,91-91,,
8:20.0,K. Leonard enters the game for D. Bertans,,91-91,,
8:08.0,P. Gasol misses 2-pt shot from 7 ft (block by S. Hawes),,91-91,,
8:07.0,,,91-91,,Defensive rebound by S. Hawes
7:49.0,,,91-91,,M. Belinelli misses 3-pt shot from 27 ft
7:47.0,Defensive rebound by Team,,91-91,,
7:47.0,,,91-91,,K. Walker enters the game for R. Sessions
7:25.0,L. Aldridge makes 2-pt shot from 2 ft,2,93-91,,
7:09.0,,,93-91,,F. Kaminsky misses 2-pt shot from 2 ft (block by L. Aldridge)
7:09.0,,,93-91,,Offensive rebound by Team
7:02.0,,,93-91,,S. Hawes misses 2-pt shot from 21 ft
7:01.0,,,93-91,,Offensive rebound by M. Belinelli
7:01.0,,,93-91,,Shooting foul by T. Parker (drawn by M. Belinelli)
7:01.0,,,93-92,1,M. Belinelli makes free throw 1 of 2
7:01.0,,,93-92,,M. Belinelli misses free throw 2 of 2
6:59.0,Defensive rebound by L. Aldridge,,93-92,,
6:43.0,P. Gasol makes 2-pt shot from 16 ft (assist by K. Leonard),2,95-92,,
6:26.0,,,95-92,,S. Hawes misses 2-pt shot from 1 ft
6:26.0,Defensive rebound by Team,,95-92,,
6:26.0,,,95-92,,M. Williams enters the game for F. Kaminsky
6:07.0,K. Leonard makes 2-pt shot from 18 ft (assist by P. Gasol),2,97-92,,
5:44.0,,,97-94,2,K. Walker makes 2-pt shot from 3 ft
5:32.0,Official timeout,,97-94,,
5:32.0,D. Lee enters the game for P. Gasol,,97-94,,
5:21.0,T. Parker misses 2-pt shot from 13 ft,,97-94,,
5:20.0,,,97-94,,Defensive rebound by M. Williams
5:03.0,,,97-94,,M. Williams misses 2-pt shot from 6 ft
5:02.0,Defensive rebound by D. Green,,97-94,,
4:56.0,D. Lee makes 2-pt shot from 1 ft (assist by D. Green),2,99-94,,
4:46.0,,,99-96,2,K. Walker makes 2-pt shot from 3 ft
4:30.0,Turnover by D. Lee (bad pass),,99-96,,
4:30.0,,,99-96,,F. Kaminsky enters the game for M. Belinelli
4:30.0,,,99-96,,M. Kidd-Gilchrist enters the game for S. Hawes
4:19.0,,,99-99,3,K. Walker makes 3-pt shot from 26 ft
3:53.0,L. Aldridge makes 2-pt shot from 5 ft (assist by D. Green),2,101-99,,
3:33.0,,,101-102,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
3:14.0,T. Parker misses 3-pt shot from 24 ft,,101-102,,
3:12.0,,,101-102,,Defensive rebound by F. Kaminsky
2:58.0,,,101-102,,K. Walker misses 2-pt shot at rim
2:57.0,Defensive rebound by D. Lee,,101-102,,
2:53.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. Aldridge),,101-102,,
2:53.0,,,101-102,,Charlotte full timeout
2:53.0,L. Aldridge makes free throw 1 of 2,1,102-102,,
2:53.0,L. Aldridge makes free throw 2 of 2,1,103-102,,
2:53.0,P. Gasol enters the game for D. Lee,,101-102,,
2:40.0,,,103-102,,Turnover by K. Walker (lost ball; steal by T. Parker)
2:22.0,D. Green makes 3-pt shot from 26 ft (assist by T. Parker),3,106-102,,
2:15.0,,,106-102,,Charlotte full timeout
2:11.0,,,106-102,,Turnover by K. Walker (lost ball)
