time,Cleveland,pts.away,score,pts.home,Minnesota
3:36.0,K. Irving misses 3-pt shot from 25 ft,,19-17,,
3:35.0,,,19-17,,Defensive rebound by A. Wiggins
3:19.0,,,19-19,2,K. Towns makes 2-pt shot from 8 ft
3:10.0,T. Thompson makes 2-pt shot from 2 ft (assist by K. Irving),2,21-19,,
3:10.0,Shooting foul by G. Dieng (drawn by T. Thompson),,21-19,,
3:10.0,T. Thompson misses free throw 1 of 1,,21-19,,
3:10.0,,,21-19,,Defensive rebound by G. Dieng
3:10.0,D. Williams enters the game for I. Shumpert,,21-19,,
3:10.0,K. Korver enters the game for L. James,,21-19,,
3:04.0,,,21-19,,Shooting foul by D. Williams (drawn by A. Wiggins)
3:04.0,,,21-20,1,A. Wiggins makes free throw 1 of 2
3:04.0,,,21-21,1,A. Wiggins makes free throw 2 of 2
3:04.0,,,21-20,,N. Bjelica enters the game for G. Dieng
2:53.0,K. Irving misses 2-pt shot from 5 ft (block by K. Towns),,21-21,,
2:51.0,,,21-21,,Defensive rebound by R. Rubio
2:43.0,,,21-24,3,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio)
2:27.0,D. Williams makes 2-pt shot from 3 ft (assist by K. Korver),2,23-24,,
2:15.0,,,23-24,,A. Wiggins misses 2-pt shot from 15 ft
2:14.0,Defensive rebound by K. Korver,,23-24,,
2:08.0,Turnover by T. Thompson (lost ball; steal by N. Bjelica),,23-24,,
2:04.0,,,23-26,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
1:38.0,D. Williams misses 3-pt shot from 25 ft,,23-26,,
1:37.0,,,23-26,,Defensive rebound by K. Towns
1:28.0,,,23-26,,Turnover by R. Rubio (bad pass; steal by K. Korver)
1:22.0,Shooting foul by K. Towns (drawn by D. Williams),,23-26,,
1:22.0,D. Williams misses free throw 1 of 2,,23-26,,
1:22.0,Offensive rebound by Team,,23-26,,
1:22.0,D. Williams makes free throw 2 of 2,1,24-26,,
1:22.0,C. Frye enters the game for T. Thompson,,23-26,,
1:22.0,,,23-26,,S. Muhammad enters the game for A. Wiggins
1:22.0,,,23-26,,C. Aldrich enters the game for K. Towns
1:22.0,,,23-26,,L. Stephenson enters the game for B. Rush
1:10.0,,,24-28,2,S. Muhammad makes 2-pt shot from 7 ft (assist by R. Rubio)
1:00.0,K. Irving makes 2-pt shot from 15 ft,2,26-28,,
0:47.0,,,26-28,,C. Aldrich misses 2-pt shot at rim
0:46.0,,,26-28,,Offensive rebound by R. Rubio
0:45.0,,,26-28,,Turnover by R. Rubio (lost ball)
0:30.0,K. Korver misses 3-pt shot from 24 ft,,26-28,,
0:29.0,,,26-28,,Defensive rebound by N. Bjelica
0:07.0,,,26-30,2,L. Stephenson makes 2-pt shot from 22 ft (assist by R. Rubio)
0:01.0,K. Irving misses 2-pt shot from 17 ft,,26-30,,
0:00.0,Offensive rebound by Team,,26-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,C. Frye misses 3-pt shot from 25 ft,,26-30,,
11:49.0,,,26-30,,Defensive rebound by S. Muhammad
11:37.0,,,26-30,,S. Muhammad misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by C. Frye,,26-30,,
11:23.0,L. James makes 2-pt shot from 1 ft (assist by C. Frye),2,28-30,,
11:23.0,Shooting foul by C. Aldrich (drawn by L. James),,28-30,,
11:23.0,L. James misses free throw 1 of 1,,28-30,,
11:23.0,,,28-30,,Defensive rebound by N. Bjelica
11:09.0,,,28-32,2,L. Stephenson makes 2-pt shot from 18 ft
10:54.0,C. Frye makes 2-pt shot from 20 ft,2,30-32,,
10:32.0,,,30-35,3,N. Bjelica makes 3-pt shot from 27 ft (assist by S. Muhammad)
10:13.0,R. Jefferson makes 2-pt shot at rim (assist by L. James),2,32-35,,
10:02.0,,,32-35,,Turnover by K. Dunn (bad pass)
10:02.0,,,32-35,,Minnesota full timeout
10:02.0,,,32-35,,A. Wiggins enters the game for L. Stephenson
9:48.0,K. Korver makes 3-pt shot from 24 ft (assist by L. James),3,35-35,,
9:26.0,,,35-35,,Offensive foul by C. Aldrich
9:26.0,,,35-35,,Turnover by C. Aldrich (offensive foul)
9:15.0,Shooting foul by C. Aldrich (drawn by R. Jefferson),,35-35,,
9:15.0,R. Jefferson makes free throw 1 of 2,1,36-35,,
9:15.0,R. Jefferson misses free throw 2 of 2,,36-35,,
9:15.0,,,36-35,,Defensive rebound by N. Bjelica
9:08.0,,,36-37,2,A. Wiggins makes 2-pt shot from 14 ft (assist by K. Dunn)
8:47.0,Shooting foul by N. Bjelica (drawn by C. Frye),,36-37,,
8:47.0,Cleveland full timeout,,36-37,,
8:47.0,C. Frye makes free throw 1 of 3,1,37-37,,
8:47.0,C. Frye makes free throw 2 of 3,1,38-37,,
8:47.0,C. Frye makes free throw 3 of 3,1,39-37,,
8:47.0,,,36-37,,G. Dieng enters the game for C. Aldrich
8:30.0,,,39-37,,S. Muhammad misses 2-pt shot from 3 ft
8:29.0,Defensive rebound by L. James,,39-37,,
8:23.0,D. Williams makes 2-pt shot at rim (assist by L. James),2,41-37,,
8:23.0,Shooting foul by A. Wiggins (drawn by D. Williams),,41-37,,
8:23.0,D. Williams makes free throw 1 of 1,1,42-37,,
8:07.0,,,42-37,,A. Wiggins misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by K. Korver,,42-37,,
7:59.0,C. Frye misses 3-pt shot from 25 ft,,42-37,,
7:57.0,,,42-37,,Defensive rebound by N. Bjelica
7:50.0,,,42-37,,K. Dunn misses 2-pt shot from 8 ft
7:49.0,Defensive rebound by C. Frye,,42-37,,
7:44.0,,,42-37,,K. Towns enters the game for N. Bjelica
7:44.0,T. Thompson enters the game for C. Frye,,42-37,,
7:25.0,L. James misses 2-pt shot from 16 ft,,42-37,,
7:24.0,,,42-37,,Defensive rebound by K. Dunn
7:02.0,,,42-37,,G. Dieng misses 2-pt shot from 6 ft
7:01.0,Defensive rebound by D. Williams,,42-37,,
6:57.0,Turnover by L. James (lost ball),,42-37,,
6:40.0,,,42-40,3,G. Dieng makes 3-pt shot from 23 ft (assist by K. Dunn)
6:22.0,L. James makes 2-pt shot from 2 ft,2,44-40,,
6:22.0,Shooting foul by G. Dieng (drawn by L. James),,44-40,,
6:22.0,L. James makes free throw 1 of 1,1,45-40,,
6:22.0,K. Irving enters the game for R. Jefferson,,44-40,,
6:22.0,,,44-40,,R. Rubio enters the game for K. Dunn
6:12.0,,,45-40,,Shooting foul by K. Korver (drawn by S. Muhammad)
6:12.0,,,45-42,2,S. Muhammad makes 2-pt shot from 2 ft (assist by R. Rubio)
6:12.0,,,45-42,,S. Muhammad misses free throw 1 of 1
6:12.0,Defensive rebound by D. Williams,,45-42,,
5:59.0,K. Irving makes 2-pt shot from 16 ft,2,47-42,,
5:47.0,,,47-44,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
5:27.0,D. Williams misses 2-pt shot from 1 ft,,47-44,,
5:26.0,Offensive rebound by T. Thompson,,47-44,,
5:26.0,T. Thompson makes 2-pt shot at rim,2,49-44,,
5:04.0,,,49-44,,Shooting foul by T. Thompson (drawn by S. Muhammad)
5:04.0,,,49-44,,Minnesota full timeout
5:04.0,,,49-45,1,S. Muhammad makes free throw 1 of 2
5:04.0,,,49-45,,S. Muhammad misses free throw 2 of 2
5:04.0,Defensive rebound by L. James,,49-45,,
5:04.0,I. Shumpert enters the game for D. Williams,,49-44,,
5:04.0,C. Frye enters the game for K. Korver,,49-44,,
4:46.0,C. Frye misses 3-pt shot from 25 ft,,49-45,,
4:45.0,Offensive rebound by C. Frye,,49-45,,
4:39.0,Turnover by I. Shumpert (bad pass; steal by S. Muhammad),,49-45,,
4:36.0,,,49-45,,Shooting foul by C. Frye (drawn by S. Muhammad)
4:36.0,,,49-46,1,S. Muhammad makes free throw 1 of 2
4:36.0,,,49-47,1,S. Muhammad makes free throw 2 of 2
4:22.0,K. Irving makes 2-pt shot from 8 ft (assist by L. James),2,51-47,,
4:08.0,,,51-47,,A. Wiggins misses 2-pt shot from 18 ft
4:06.0,Defensive rebound by L. James,,51-47,,
4:00.0,K. Irving makes 3-pt shot from 27 ft (assist by L. James),3,54-47,,
3:42.0,,,54-47,,K. Towns misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by T. Thompson,,54-47,,
3:37.0,L. James makes 2-pt shot from 2 ft (assist by T. Thompson),2,56-47,,
3:17.0,,,56-49,2,G. Dieng makes 2-pt shot at rim (assist by K. Towns)
3:17.0,,,56-49,,Shooting foul by I. Shumpert (drawn by G. Dieng)
3:17.0,,,56-50,1,G. Dieng makes free throw 1 of 1
3:17.0,,,56-49,,B. Rush enters the game for S. Muhammad
3:02.0,Shooting foul by R. Rubio (drawn by T. Thompson),,56-50,,
3:02.0,T. Thompson makes free throw 1 of 2,1,57-50,,
3:02.0,T. Thompson makes free throw 2 of 2,1,58-50,,
2:50.0,,,58-52,2,A. Wiggins makes 2-pt shot from 1 ft
2:39.0,K. Irving misses 3-pt shot from 25 ft,,58-52,,
2:37.0,Offensive rebound by T. Thompson,,58-52,,
2:34.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,60-52,,
2:16.0,,,60-55,3,B. Rush makes 3-pt shot from 22 ft (assist by R. Rubio)
2:03.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,62-55,,
1:40.0,,,62-57,2,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins)
1:21.0,K. Irving misses 2-pt shot from 20 ft,,62-57,,
1:21.0,,,62-57,,Defensive rebound by G. Dieng
1:04.0,,,62-60,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns)
0:44.0,L. James makes 2-pt shot at rim,2,64-60,,
0:38.0,Personal foul by K. Irving (drawn by R. Rubio),,64-60,,
0:38.0,Cleveland full timeout,,64-60,,
0:38.0,,,64-61,1,R. Rubio makes free throw 1 of 2
0:38.0,,,64-61,,R. Rubio misses free throw 2 of 2
0:38.0,Defensive rebound by D. Williams,,64-61,,
0:38.0,D. Williams enters the game for I. Shumpert,,64-60,,
0:38.0,K. Korver enters the game for K. Irving,,64-60,,
0:31.0,L. James makes 2-pt shot from 1 ft,2,66-61,,
0:11.0,,,66-61,,A. Wiggins misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by T. Thompson,,66-61,,
0:02.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,69-61,,
0:01.0,,,69-61,,G. Dieng misses 3-pt shot from 61 ft
0:00.0,,,69-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,L. James makes 3-pt shot from 25 ft,3,72-61,,
11:21.0,,,72-63,2,A. Wiggins makes 2-pt shot from 5 ft
10:58.0,K. Irving makes 2-pt shot from 11 ft (assist by L. James),2,74-63,,
10:34.0,,,74-65,2,G. Dieng makes 2-pt shot from 18 ft (assist by A. Wiggins)
10:14.0,C. Frye misses 3-pt shot from 24 ft,,74-65,,
10:13.0,,,74-65,,Defensive rebound by G. Dieng
10:02.0,,,74-65,,B. Rush misses 2-pt shot from 1 ft (block by C. Frye)
10:01.0,,,74-65,,Offensive rebound by K. Towns
10:00.0,,,74-67,2,K. Towns makes 2-pt shot from 1 ft
9:36.0,C. Frye misses 2-pt shot from 20 ft,,74-67,,
9:35.0,,,74-67,,Defensive rebound by B. Rush
9:28.0,,,74-67,,Shooting foul by K. Irving (drawn by A. Wiggins)
9:28.0,,,74-68,1,A. Wiggins makes free throw 1 of 2
9:28.0,,,74-69,1,A. Wiggins makes free throw 2 of 2
9:16.0,,,74-69,,Violation by R. Rubio (kicked ball)
9:16.0,Cleveland full timeout,,74-69,,
9:08.0,K. Irving misses 3-pt shot from 24 ft,,74-69,,
9:07.0,Offensive rebound by Team,,74-69,,
9:07.0,,,74-69,,Loose ball foul by G. Dieng (drawn by T. Thompson)
8:50.0,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James),3,77-69,,
8:24.0,,,77-69,,K. Towns misses 2-pt shot from 18 ft
8:22.0,Defensive rebound by L. James,,77-69,,
8:15.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,80-69,,
8:13.0,,,80-69,,Minnesota full timeout
8:01.0,,,80-69,,B. Rush misses 2-pt shot from 20 ft
7:59.0,Defensive rebound by K. Irving,,80-69,,
7:53.0,C. Frye misses 3-pt shot from 23 ft,,80-69,,
7:52.0,Offensive rebound by L. James,,80-69,,
7:51.0,L. James makes 2-pt shot from 1 ft,2,82-69,,
7:23.0,,,82-69,,G. Dieng misses 2-pt shot from 9 ft
7:22.0,Defensive rebound by L. James,,82-69,,
7:16.0,I. Shumpert misses 3-pt shot from 24 ft,,82-69,,
7:15.0,,,82-69,,Defensive rebound by R. Rubio
7:10.0,,,82-71,2,R. Rubio makes 2-pt shot from 1 ft
6:54.0,Shooting foul by R. Rubio (drawn by K. Irving),,82-71,,
6:54.0,K. Irving makes free throw 1 of 2,1,83-71,,
6:54.0,K. Irving makes free throw 2 of 2,1,84-71,,
6:42.0,,,84-73,2,K. Towns makes 2-pt shot from 9 ft (assist by R. Rubio)
6:23.0,K. Irving makes 3-pt shot from 26 ft (assist by L. James),3,87-73,,
6:05.0,,,87-76,3,K. Towns makes 3-pt shot from 25 ft (assist by R. Rubio)
5:52.0,C. Frye misses 3-pt shot from 25 ft,,87-76,,
5:49.0,Offensive rebound by Team,,87-76,,
5:45.0,K. Irving misses 3-pt shot from 25 ft,,87-76,,
5:45.0,,,87-76,,Defensive rebound by K. Towns
5:31.0,,,87-78,2,A. Wiggins makes 2-pt shot from 19 ft
5:15.0,,,87-78,,Def 3 sec tech foul by G. Dieng
5:15.0,K. Irving makes technical free throw,1,88-78,,
5:15.0,J. Jones enters the game for C. Frye,,88-78,,
5:01.0,I. Shumpert misses 3-pt shot from 22 ft,,88-78,,
5:00.0,Offensive rebound by T. Thompson,,88-78,,
4:56.0,I. Shumpert misses 3-pt shot from 23 ft,,88-78,,
4:55.0,,,88-78,,Defensive rebound by R. Rubio
4:39.0,,,88-81,3,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio)
4:23.0,K. Irving misses 3-pt shot from 26 ft,,88-81,,
4:21.0,,,88-81,,Defensive rebound by A. Wiggins
4:21.0,Personal foul by K. Irving (drawn by A. Wiggins),,88-81,,
4:21.0,K. Korver enters the game for K. Irving,,88-81,,
4:07.0,,,88-81,,Shooting foul by T. Thompson (drawn by K. Towns)
4:07.0,,,88-82,1,K. Towns makes free throw 1 of 2
4:07.0,,,88-83,1,K. Towns makes free throw 2 of 2
3:50.0,I. Shumpert misses 3-pt shot from 23 ft,,88-83,,
3:49.0,,,88-83,,Defensive rebound by G. Dieng
3:36.0,,,88-83,,K. Towns misses 3-pt shot from 23 ft
3:35.0,Defensive rebound by Team,,88-83,,
3:21.0,,,88-83,,Shooting block foul by G. Dieng (drawn by L. James)
3:21.0,L. James misses free throw 1 of 2,,88-83,,
3:21.0,Offensive rebound by Team,,88-83,,
3:21.0,L. James makes free throw 2 of 2,1,89-83,,
3:08.0,,,89-85,2,A. Wiggins makes 2-pt shot from 4 ft (assist by R. Rubio)
3:08.0,,,89-85,,Shooting foul by J. Jones (drawn by A. Wiggins)
3:08.0,,,89-85,,A. Wiggins misses free throw 1 of 1
3:08.0,Defensive rebound by K. Korver,,89-85,,
2:47.0,J. Jones misses 3-pt shot from 24 ft,,89-85,,
2:46.0,Offensive rebound by T. Thompson,,89-85,,
2:44.0,T. Thompson makes 2-pt shot from 1 ft,2,91-85,,
2:24.0,,,91-85,,R. Rubio misses 2-pt shot from 3 ft
2:23.0,Defensive rebound by Team,,91-85,,
2:03.0,K. Korver misses 3-pt shot from 25 ft (block by B. Rush),,91-85,,
2:02.0,,,91-85,,Defensive rebound by R. Rubio
1:59.0,,,91-85,,Offensive charge foul by K. Towns
1:59.0,,,91-85,,Turnover by K. Towns (offensive foul)
1:59.0,,,91-85,,N. Bjelica enters the game for K. Towns
1:49.0,Turnover by L. James (bad pass; steal by A. Wiggins),,91-85,,
1:46.0,,,91-87,2,A. Wiggins makes 2-pt shot from 4 ft
1:46.0,Shooting block foul by L. James (drawn by A. Wiggins),,91-87,,
1:46.0,,,91-88,1,A. Wiggins makes free throw 1 of 1
1:46.0,C. Frye enters the game for T. Thompson,,91-87,,
1:34.0,K. Korver misses 3-pt shot from 25 ft,,91-88,,
1:33.0,,,91-88,,Defensive rebound by R. Rubio
1:19.0,,,91-88,,A. Wiggins misses 2-pt shot from 21 ft
1:17.0,Defensive rebound by K. Korver,,91-88,,
1:04.0,L. James misses 2-pt shot from 1 ft,,91-88,,
1:02.0,,,91-88,,Defensive rebound by G. Dieng
0:54.0,,,91-88,,Turnover by R. Rubio (bad pass)
0:36.0,C. Frye makes 2-pt shot from 23 ft (assist by L. James),2,93-88,,
0:12.0,,,93-91,3,A. Wiggins makes 3-pt shot from 26 ft
0:04.0,Turnover by L. James (bad pass; steal by R. Rubio),,93-91,,
0:00.0,,,93-93,2,A. Wiggins makes 2-pt shot from 22 ft (assist by R. Rubio)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Personal foul by K. Korver (drawn by N. Bjelica),,93-93,,
11:34.0,,,93-93,,A. Wiggins misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by R. Jefferson,,93-93,,
11:29.0,D. Williams makes 2-pt shot at rim (assist by R. Jefferson),2,95-93,,
11:02.0,,,95-93,,S. Muhammad misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by C. Frye,,95-93,,
10:38.0,C. Frye makes 2-pt shot from 23 ft (assist by R. Jefferson),2,97-93,,
10:37.0,,,97-93,,Minnesota full timeout
10:37.0,,,97-93,,K. Dunn enters the game for R. Rubio
10:37.0,,,97-93,,B. Rush enters the game for A. Wiggins
10:23.0,,,97-93,,B. Rush misses 3-pt shot from 23 ft
10:21.0,,,97-93,,Offensive rebound by N. Bjelica
10:21.0,,,97-93,,N. Bjelica misses 2-pt shot at rim
10:20.0,,,97-93,,Offensive rebound by N. Bjelica
10:20.0,,,97-93,,N. Bjelica misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by R. Jefferson,,97-93,,
10:07.0,Shooting foul by N. Bjelica (drawn by D. Williams),,97-93,,
10:07.0,D. Williams misses free throw 1 of 2,,97-93,,
10:07.0,Offensive rebound by Team,,97-93,,
10:07.0,D. Williams makes free throw 2 of 2,1,98-93,,
10:07.0,,,97-93,,K. Towns enters the game for G. Dieng
9:56.0,,,98-93,,K. Towns misses 2-pt shot from 20 ft
9:55.0,Defensive rebound by D. Williams,,98-93,,
9:45.0,C. Frye misses 3-pt shot from 25 ft,,98-93,,
9:44.0,,,98-93,,Defensive rebound by B. Rush
9:36.0,,,98-95,2,K. Towns makes 2-pt shot from 1 ft (assist by K. Dunn)
9:28.0,K. Irving makes 2-pt shot from 15 ft,2,100-95,,
9:09.0,,,100-97,2,K. Dunn makes 2-pt shot from 19 ft
8:46.0,K. Irving misses 2-pt shot from 14 ft,,100-97,,
8:45.0,,,100-97,,Defensive rebound by B. Rush
8:38.0,,,100-97,,Turnover by N. Bjelica (bad pass)
8:29.0,,,100-97,,Personal foul by K. Dunn (drawn by K. Irving)
8:18.0,K. Irving misses 2-pt shot from 18 ft,,100-97,,
8:17.0,,,100-97,,Defensive rebound by K. Towns
8:03.0,,,100-97,,K. Towns misses 2-pt shot from 2 ft (block by K. Korver)
8:02.0,,,100-97,,Offensive rebound by Team
7:56.0,,,100-97,,K. Dunn misses 2-pt shot from 2 ft (block by K. Irving)
7:54.0,,,100-97,,Offensive rebound by Team
7:54.0,,,100-97,,Turnover by Team (shot clock)
7:45.0,K. Korver makes 3-pt shot from 25 ft (assist by K. Irving),3,103-97,,
7:20.0,,,103-99,2,N. Bjelica makes 2-pt shot from 5 ft (assist by K. Towns)
7:04.0,,,103-99,,A. Wiggins enters the game for S. Muhammad
7:04.0,,,103-99,,R. Rubio enters the game for K. Dunn
6:56.0,K. Irving makes 2-pt shot from 14 ft,2,105-99,,
6:40.0,,,105-101,2,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio)
6:40.0,,,105-101,,Shooting foul by D. Williams (drawn by K. Towns)
6:40.0,,,105-102,1,K. Towns makes free throw 1 of 1
6:40.0,T. Thompson enters the game for C. Frye,,105-101,,
6:40.0,L. James enters the game for R. Jefferson,,105-101,,
6:18.0,K. Irving misses 3-pt shot from 25 ft,,105-102,,
6:17.0,,,105-102,,Defensive rebound by Team
6:17.0,,,105-102,,G. Dieng enters the game for N. Bjelica
6:03.0,,,105-102,,K. Towns misses 2-pt shot from 2 ft
6:02.0,,,105-102,,Offensive rebound by G. Dieng
5:55.0,,,105-104,2,A. Wiggins makes 2-pt shot from 3 ft
5:33.0,Turnover by K. Korver (bad pass; steal by B. Rush),,105-104,,
5:28.0,,,105-104,,K. Towns misses 2-pt shot at rim
5:27.0,Defensive rebound by L. James,,105-104,,
5:22.0,D. Williams makes 2-pt shot at rim (assist by L. James),2,107-104,,
4:56.0,,,107-104,,A. Wiggins misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by D. Williams,,107-104,,
4:50.0,K. Irving misses 2-pt shot from 2 ft,,107-104,,
4:48.0,,,107-104,,Defensive rebound by G. Dieng
4:33.0,,,107-104,,Minnesota full timeout
4:33.0,Jump ball: L. James vs. K. Towns (G. Dieng gains possession),,,,Jump ball: L. James vs. K. Towns (G. Dieng gains possession)
4:25.0,,,107-104,,A. Wiggins misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by L. James,,107-104,,
4:03.0,K. Irving makes 2-pt shot from 2 ft,2,109-104,,
3:52.0,Personal foul by D. Williams (drawn by A. Wiggins),,109-104,,
3:46.0,,,109-106,2,A. Wiggins makes 2-pt shot from 19 ft (assist by R. Rubio)
3:15.0,K. Irving misses 3-pt shot from 23 ft,,109-106,,
3:14.0,,,109-106,,Defensive rebound by K. Towns
3:00.0,,,109-106,,B. Rush misses 3-pt shot from 23 ft
2:59.0,Defensive rebound by Team,,109-106,,
2:59.0,,,109-106,,Loose ball foul by K. Towns (drawn by L. James)
2:59.0,Cleveland full timeout,,109-106,,
2:49.0,Offensive charge foul by L. James,,109-106,,
2:49.0,Turnover by L. James (offensive foul),,109-106,,
2:27.0,,,109-106,,R. Rubio misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by T. Thompson,,109-106,,
2:06.0,L. James makes 3-pt shot from 25 ft,3,112-106,,
1:47.0,,,112-106,,A. Wiggins misses 2-pt shot from 21 ft
1:46.0,,,112-106,,Offensive rebound by K. Towns
1:42.0,,,112-106,,Turnover by K. Towns (bad pass; steal by D. Williams)
1:39.0,D. Williams makes 2-pt shot from 1 ft,2,114-106,,
1:39.0,,,114-106,,Minnesota full timeout
1:32.0,,,114-106,,Turnover by R. Rubio (bad pass; steal by K. Irving)
1:29.0,,,114-106,,Personal foul by R. Rubio (drawn by L. James)
1:11.0,K. Irving misses 2-pt shot from 21 ft,,114-106,,
1:10.0,,,114-106,,Defensive rebound by G. Dieng
0:51.0,,,114-106,,K. Towns misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by K. Korver,,114-106,,
