time,Washington,pts.away,score,pts.home,Brooklyn
11:14.0,Shooting foul by T. Booker (drawn by J. Smith),,33-22,,
11:14.0,J. Smith misses free throw 1 of 2,,33-22,,
11:14.0,Offensive rebound by Team,,33-22,,
11:14.0,J. Smith misses free throw 2 of 2,,33-22,,
11:13.0,,,33-22,,Defensive rebound by T. Booker
10:59.0,,,33-22,,Turnover by S. Kilpatrick (bad pass; steal by I. Mahinmi)
10:46.0,Turnover by T. Burke (bad pass),,33-22,,
10:33.0,,,33-22,,J. Hamilton misses 3-pt shot from 24 ft
10:32.0,,,33-22,,Offensive rebound by T. Booker
10:30.0,,,33-25,3,J. Harris makes 3-pt shot from 25 ft (assist by T. Booker)
10:14.0,T. Burke misses 2-pt shot from 20 ft,,33-25,,
10:12.0,,,33-25,,Defensive rebound by J. Harris
10:08.0,,,33-25,,Shooting foul by I. Mahinmi (drawn by S. Kilpatrick)
10:08.0,,,33-26,1,S. Kilpatrick makes free throw 1 of 2
10:08.0,,,33-27,1,S. Kilpatrick makes free throw 2 of 2
10:08.0,M. Gortat enters the game for I. Mahinmi,,33-26,,
9:58.0,T. Burke misses 2-pt shot from 17 ft,,33-27,,
9:56.0,,,33-27,,Defensive rebound by S. Kilpatrick
9:52.0,,,33-27,,Turnover by S. Kilpatrick (lost ball; steal by J. Smith)
9:51.0,,,33-27,,Personal foul by S. Kilpatrick (drawn by J. Smith)
9:38.0,T. Satoransky makes 2-pt shot from 11 ft,2,35-27,,
9:27.0,,,35-27,,I. Whitehead misses 2-pt shot from 3 ft
9:26.0,Defensive rebound by M. Gortat,,35-27,,
9:17.0,T. Burke makes 2-pt shot from 3 ft,2,37-27,,
9:17.0,,,37-27,,Brooklyn full timeout
9:03.0,,,37-30,3,J. Harris makes 3-pt shot from 25 ft (assist by J. Hamilton)
8:40.0,M. Gortat makes 2-pt shot from 9 ft (assist by T. Burke),2,39-30,,
8:23.0,Personal foul by T. Burke (drawn by S. Kilpatrick),,39-30,,
8:23.0,,,39-30,,B. Lopez enters the game for J. Hamilton
8:09.0,,,39-30,,T. Booker misses 2-pt shot from 6 ft
8:08.0,Defensive rebound by T. Satoransky,,39-30,,
8:03.0,J. Smith makes 2-pt shot from 20 ft (assist by T. Satoransky),2,41-30,,
7:43.0,,,41-30,,J. Harris misses 2-pt shot from 1 ft
7:41.0,,,41-30,,Offensive rebound by T. Booker
7:32.0,,,41-30,,I. Whitehead misses 2-pt shot from 7 ft
7:30.0,Defensive rebound by K. Oubre,,41-30,,
7:28.0,,,41-30,,Personal foul by B. Lopez (drawn by M. Gortat)
7:28.0,,,41-30,,B. Bogdanovic enters the game for J. Harris
7:28.0,,,41-30,,C. LeVert enters the game for S. Kilpatrick
7:28.0,B. Beal enters the game for T. Satoransky,,41-30,,
7:28.0,,,41-30,,R. Hollis-Jefferson enters the game for T. Booker
7:20.0,M. Gortat makes 2-pt shot from 10 ft (assist by T. Burke),2,43-30,,
7:06.0,,,43-30,,Turnover by B. Bogdanovic (lost ball; steal by K. Oubre)
7:06.0,Shooting foul by I. Whitehead (drawn by K. Oubre),,43-30,,
7:06.0,K. Oubre misses free throw 1 of 2,,43-30,,
7:06.0,Offensive rebound by Team,,43-30,,
7:06.0,K. Oubre misses free throw 2 of 2,,43-30,,
7:06.0,O. Porter enters the game for J. Smith,,43-30,,
7:05.0,,,43-30,,Defensive rebound by B. Lopez
6:53.0,,,43-32,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Lopez)
6:41.0,,,43-32,,S. Dinwiddie enters the game for I. Whitehead
6:35.0,B. Beal makes 2-pt shot from 15 ft (assist by M. Gortat),2,45-32,,
6:18.0,,,45-34,2,C. LeVert makes 2-pt shot from 2 ft (assist by B. Lopez)
6:05.0,B. Beal misses 3-pt shot from 24 ft,,45-34,,
6:04.0,,,45-34,,Defensive rebound by B. Bogdanovic
5:55.0,,,45-36,2,B. Lopez makes 2-pt shot from 13 ft (assist by B. Bogdanovic)
5:47.0,Washington full timeout,,45-36,,
5:47.0,J. Wall enters the game for T. Burke,,45-36,,
5:39.0,K. Oubre misses 2-pt shot from 3 ft (block by B. Lopez),,45-36,,
5:37.0,Offensive rebound by K. Oubre,,45-36,,
5:35.0,Turnover by K. Oubre (bad pass; steal by B. Bogdanovic),,45-36,,
5:33.0,,,45-36,,B. Bogdanovic misses 2-pt shot from 1 ft (block by J. Wall)
5:32.0,,,45-36,,Offensive rebound by S. Dinwiddie
5:31.0,,,45-38,2,S. Dinwiddie makes 2-pt shot from 2 ft
5:06.0,Turnover by B. Beal (bad pass; steal by R. Hollis-Jefferson),,45-38,,
5:01.0,,,45-41,3,C. LeVert makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
4:44.0,J. Wall makes 2-pt shot from 19 ft,2,47-41,,
4:39.0,,,47-41,,Turnover by S. Dinwiddie (bad pass)
4:27.0,J. Wall makes 2-pt shot from 17 ft,2,49-41,,
4:12.0,Violation by K. Oubre (kicked ball),,49-41,,
3:59.0,,,49-41,,Turnover by C. LeVert (lost ball; steal by B. Beal)
3:40.0,O. Porter misses 3-pt shot from 24 ft,,49-41,,
3:39.0,,,49-41,,Defensive rebound by C. LeVert
3:33.0,,,49-41,,Shooting foul by K. Oubre (drawn by B. Bogdanovic)
3:33.0,,,49-42,1,B. Bogdanovic makes free throw 1 of 2
3:33.0,,,49-43,1,B. Bogdanovic makes free throw 2 of 2
3:16.0,,,49-43,,Personal foul by S. Dinwiddie (drawn by M. Gortat)
3:16.0,M. Gortat makes free throw 1 of 2,1,50-43,,
3:16.0,M. Gortat makes free throw 2 of 2,1,51-43,,
3:10.0,Personal foul by O. Porter (drawn by R. Hollis-Jefferson),,51-43,,
3:04.0,,,51-43,,B. Bogdanovic misses 3-pt shot from 27 ft
3:03.0,Defensive rebound by B. Beal,,51-43,,
2:47.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,54-43,,
2:28.0,,,54-43,,B. Lopez misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by Team,,54-43,,
2:27.0,,,54-43,,Loose ball foul by B. Bogdanovic (drawn by O. Porter)
2:27.0,Official timeout,,54-43,,
2:27.0,O. Porter misses free throw 1 of 2,,54-43,,
2:27.0,Offensive rebound by Team,,54-43,,
2:27.0,O. Porter makes free throw 2 of 2,1,55-43,,
2:27.0,T. Satoransky enters the game for K. Oubre,,54-43,,
2:14.0,,,55-43,,R. Hollis-Jefferson misses 2-pt shot from 5 ft (block by M. Gortat)
2:12.0,Defensive rebound by J. Wall,,55-43,,
2:09.0,J. Wall misses 2-pt shot from 18 ft,,55-43,,
2:07.0,,,55-43,,Defensive rebound by S. Dinwiddie
1:55.0,,,55-43,,Shooting foul by T. Satoransky (drawn by B. Lopez)
1:55.0,,,55-44,1,B. Lopez makes free throw 1 of 2
1:55.0,,,55-45,1,B. Lopez makes free throw 2 of 2
1:36.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,57-45,,
1:14.0,,,57-47,2,B. Lopez makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
1:00.0,B. Beal misses 2-pt shot from 16 ft,,57-47,,
0:59.0,,,57-47,,Defensive rebound by C. LeVert
0:53.0,,,57-47,,C. LeVert misses 2-pt shot from 6 ft
0:51.0,Defensive rebound by T. Satoransky,,57-47,,
0:46.0,B. Beal makes 2-pt shot from 2 ft (assist by T. Satoransky),2,59-47,,
0:35.0,,,59-47,,S. Kilpatrick enters the game for C. LeVert
0:35.0,,,59-47,,Brooklyn full timeout
0:35.0,J. Smith enters the game for O. Porter,,59-47,,
0:28.0,,,59-49,2,B. Lopez makes 2-pt shot from 10 ft
0:06.0,M. Gortat misses 2-pt shot from 14 ft,,59-49,,
0:04.0,,,59-49,,Defensive rebound by S. Kilpatrick
0:00.0,,,59-49,,S. Kilpatrick misses 3-pt shot from 48 ft (block by T. Satoransky)
0:00.0,,,59-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,M. Gortat misses 2-pt shot from 18 ft,,59-49,,
11:39.0,,,59-49,,Defensive rebound by R. Foye
11:22.0,,,59-49,,Turnover by S. Dinwiddie (step out of bounds)
11:05.0,O. Porter misses 3-pt shot from 25 ft,,59-49,,
11:05.0,,,59-49,,Defensive rebound by R. Foye
10:54.0,,,59-49,,Shooting foul by J. Wall (drawn by R. Hollis-Jefferson)
10:54.0,,,59-50,1,R. Hollis-Jefferson makes free throw 1 of 2
10:54.0,,,59-50,,R. Hollis-Jefferson misses free throw 2 of 2
10:53.0,Defensive rebound by M. Gortat,,59-50,,
10:41.0,O. Porter makes 2-pt shot from 15 ft,2,61-50,,
10:33.0,,,61-50,,S. Dinwiddie misses 2-pt shot from 7 ft
10:32.0,Defensive rebound by M. Gortat,,61-50,,
10:20.0,K. Oubre misses 3-pt shot from 26 ft,,61-50,,
10:19.0,,,61-50,,Defensive rebound by B. Bogdanovic
10:12.0,,,61-52,2,B. Lopez makes 2-pt shot from 15 ft
9:50.0,B. Beal misses 2-pt shot from 15 ft,,61-52,,
9:49.0,,,61-52,,Defensive rebound by R. Foye
9:41.0,Personal foul by B. Beal (drawn by R. Hollis-Jefferson),,61-52,,
9:41.0,,,61-52,,C. LeVert enters the game for S. Dinwiddie
9:34.0,,,61-54,2,B. Bogdanovic makes 2-pt shot from 17 ft (assist by B. Lopez)
9:21.0,J. Wall misses 2-pt shot from 15 ft,,61-54,,
9:20.0,,,61-54,,Defensive rebound by R. Hollis-Jefferson
9:12.0,,,61-56,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
9:09.0,Washington full timeout,,61-56,,
9:02.0,Shooting foul by B. Bogdanovic (drawn by J. Wall),,61-56,,
9:02.0,J. Wall makes free throw 1 of 2,1,62-56,,
9:02.0,J. Wall makes free throw 2 of 2,1,63-56,,
8:53.0,,,63-58,2,B. Lopez makes 2-pt shot from 1 ft
8:53.0,,,63-58,,Shooting foul by M. Gortat (drawn by B. Lopez)
8:53.0,,,63-59,1,B. Lopez makes free throw 1 of 1
8:36.0,Shooting foul by B. Lopez (drawn by B. Beal),,63-59,,
8:36.0,B. Beal makes free throw 1 of 2,1,64-59,,
8:36.0,B. Beal makes free throw 2 of 2,1,65-59,,
8:26.0,,,65-59,,Shooting foul by O. Porter (drawn by C. LeVert)
8:26.0,,,65-60,1,C. LeVert makes free throw 1 of 2
8:26.0,,,65-60,,C. LeVert misses free throw 2 of 2
8:24.0,Defensive rebound by B. Beal,,65-60,,
8:13.0,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal),3,68-60,,
7:54.0,,,68-60,,Offensive charge foul by R. Hollis-Jefferson
7:54.0,,,68-60,,Turnover by R. Hollis-Jefferson (offensive foul)
7:39.0,Turnover by B. Beal (bad pass; steal by B. Bogdanovic),,68-60,,
7:35.0,,,68-60,,B. Bogdanovic misses 2-pt shot from 2 ft
7:34.0,Defensive rebound by J. Wall,,68-60,,
7:18.0,K. Oubre misses 3-pt shot from 24 ft,,68-60,,
7:17.0,,,68-60,,Defensive rebound by R. Foye
6:57.0,,,68-62,2,R. Foye makes 2-pt shot from 1 ft (assist by B. Lopez)
6:37.0,K. Oubre misses 2-pt shot from 10 ft (block by B. Lopez),,68-62,,
6:36.0,,,68-62,,Defensive rebound by C. LeVert
6:24.0,,,68-62,,B. Lopez misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by O. Porter,,68-62,,
6:09.0,J. Wall makes 2-pt shot from 13 ft,2,70-62,,
5:49.0,,,70-62,,B. Lopez misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by J. Wall,,70-62,,
5:30.0,J. Wall misses 3-pt shot from 25 ft,,70-62,,
5:29.0,,,70-62,,Defensive rebound by R. Hollis-Jefferson
5:11.0,,,70-62,,S. Kilpatrick enters the game for R. Foye
5:11.0,,,70-62,,J. Harris enters the game for B. Bogdanovic
5:11.0,,,70-62,,T. Booker enters the game for R. Hollis-Jefferson
5:09.0,,,70-64,2,J. Harris makes 2-pt shot from 2 ft (assist by S. Kilpatrick)
4:49.0,B. Beal makes 2-pt shot from 3 ft,2,72-64,,
4:29.0,,,72-64,,J. Hamilton enters the game for B. Lopez
4:29.0,J. Smith enters the game for K. Oubre,,72-64,,
4:25.0,,,72-64,,C. LeVert misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by M. Gortat,,72-64,,
4:20.0,J. Wall misses 2-pt shot from 2 ft,,72-64,,
4:19.0,Offensive rebound by M. Gortat,,72-64,,
4:18.0,M. Gortat misses 2-pt shot from 1 ft,,72-64,,
4:17.0,Offensive rebound by Team,,72-64,,
4:14.0,B. Beal makes 2-pt shot from 2 ft (assist by O. Porter),2,74-64,,
4:05.0,Personal foul by O. Porter (drawn by S. Kilpatrick),,74-64,,
4:05.0,,,74-64,,S. Kilpatrick misses free throw 1 of 2
4:05.0,,,74-64,,Offensive rebound by Team
4:05.0,,,74-64,,S. Kilpatrick misses free throw 2 of 2
4:05.0,T. Satoransky enters the game for O. Porter,,74-64,,
4:05.0,I. Mahinmi enters the game for M. Gortat,,74-64,,
4:04.0,,,74-64,,Offensive rebound by C. LeVert
3:43.0,,,74-67,3,S. Kilpatrick makes 3-pt shot from 24 ft
3:25.0,I. Mahinmi misses 2-pt shot from 17 ft,,74-67,,
3:24.0,Offensive rebound by J. Smith,,74-67,,
3:12.0,Offensive charge foul by B. Beal,,74-67,,
3:12.0,Turnover by B. Beal (offensive foul),,74-67,,
3:00.0,,,74-67,,J. Harris misses 3-pt shot from 25 ft
2:59.0,,,74-67,,Offensive rebound by T. Booker
2:51.0,,,74-67,,Turnover by S. Kilpatrick (traveling)
2:51.0,,,74-67,,Brooklyn full timeout
2:51.0,,,74-67,,I. Whitehead enters the game for C. LeVert
2:51.0,T. Burke enters the game for B. Beal,,74-67,,
2:36.0,T. Satoransky misses 2-pt shot at rim,,74-67,,
2:35.0,,,74-67,,Defensive rebound by T. Booker
2:13.0,,,74-67,,I. Whitehead misses 3-pt shot from 25 ft
2:12.0,,,74-67,,Offensive rebound by Team
2:12.0,Loose ball foul by J. Smith (drawn by T. Booker),,74-67,,
2:12.0,,,74-68,1,T. Booker makes free throw 1 of 2
2:12.0,,,74-69,1,T. Booker makes free throw 2 of 2
1:59.0,J. Smith misses 2-pt shot from 16 ft (block by T. Booker),,74-69,,
1:58.0,,,74-69,,Defensive rebound by J. Hamilton
1:52.0,,,74-69,,Turnover by I. Whitehead (lost ball; steal by T. Satoransky)
1:50.0,T. Burke misses 3-pt shot from 25 ft,,74-69,,
1:48.0,,,74-69,,Defensive rebound by T. Booker
1:38.0,,,74-72,3,J. Hamilton makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
1:10.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Wall),3,77-72,,
0:57.0,,,77-72,,T. Booker misses 2-pt shot from 3 ft
0:55.0,Defensive rebound by I. Mahinmi,,77-72,,
0:52.0,J. Wall makes 2-pt shot from 2 ft,2,79-72,,
0:31.0,,,79-72,,J. Hamilton misses 3-pt shot from 24 ft
0:29.0,,,79-72,,Offensive rebound by T. Booker
0:07.0,,,79-72,,J. Hamilton misses 2-pt shot from 10 ft
0:06.0,Defensive rebound by I. Mahinmi,,79-72,,
0:00.0,J. Wall misses 2-pt shot from 9 ft,,79-72,,
0:00.0,Offensive rebound by Team,,79-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,79-72,,T. Booker misses 2-pt shot from 9 ft
11:41.0,Defensive rebound by J. Smith,,79-72,,
11:29.0,,,79-72,,Personal foul by T. Booker (drawn by J. Wall)
11:17.0,T. Burke makes 3-pt shot from 26 ft,3,82-72,,
11:02.0,,,82-72,,Turnover by I. Whitehead (discontinued dribble)
10:48.0,T. Burke makes 2-pt shot from 16 ft,2,84-72,,
10:31.0,,,84-74,2,S. Kilpatrick makes 2-pt shot from 20 ft
10:09.0,J. Wall misses 3-pt shot from 24 ft,,84-74,,
10:07.0,Offensive rebound by I. Mahinmi,,84-74,,
10:01.0,J. Smith misses 2-pt shot at rim,,84-74,,
10:00.0,,,84-74,,Defensive rebound by S. Kilpatrick
9:56.0,,,84-74,,S. Kilpatrick misses 2-pt shot from 2 ft
9:54.0,,,84-74,,Offensive rebound by J. Hamilton
9:52.0,,,84-77,3,I. Whitehead makes 3-pt shot from 25 ft (assist by J. Hamilton)
9:22.0,I. Mahinmi misses 2-pt shot from 3 ft,,84-77,,
9:20.0,,,84-77,,Defensive rebound by I. Whitehead
9:09.0,,,84-80,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by T. Booker)
9:08.0,Washington full timeout,,84-80,,
9:08.0,M. Gortat enters the game for I. Mahinmi,,84-80,,
9:08.0,B. Beal enters the game for T. Burke,,84-80,,
9:08.0,O. Porter enters the game for T. Satoransky,,84-80,,
8:48.0,J. Smith misses 3-pt shot from 24 ft,,84-80,,
8:47.0,,,84-80,,Defensive rebound by J. Harris
8:38.0,,,84-80,,Turnover by J. Hamilton (bad pass; steal by M. Gortat)
8:25.0,Shooting foul by J. Hamilton (drawn by M. Gortat),,84-80,,
8:25.0,M. Gortat makes free throw 1 of 2,1,85-80,,
8:25.0,M. Gortat makes free throw 2 of 2,1,86-80,,
8:25.0,,,85-80,,B. Lopez enters the game for J. Hamilton
8:25.0,T. Burke enters the game for J. Wall,,85-80,,
8:07.0,,,86-80,,Brooklyn full timeout
8:01.0,,,86-80,,Turnover by Team (shot clock)
7:45.0,B. Beal misses 2-pt shot from 1 ft,,86-80,,
7:44.0,,,86-80,,Defensive rebound by I. Whitehead
7:38.0,,,86-82,2,T. Booker makes 2-pt shot from 1 ft (assist by I. Whitehead)
7:34.0,Turnover by M. Gortat (bad pass),,86-82,,
7:34.0,Technical foul by Team,,86-82,,
7:34.0,,,86-83,1,B. Bogdanovic makes technical free throw
7:34.0,,,86-82,,B. Bogdanovic enters the game for S. Kilpatrick
7:34.0,J. Wall enters the game for T. Burke,,86-82,,
7:28.0,,,86-85,2,T. Booker makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
7:27.0,Washington full timeout,,86-85,,
7:27.0,,,86-85,,C. LeVert enters the game for J. Harris
7:19.0,,,86-85,,Personal foul by T. Booker (drawn by J. Smith)
7:16.0,J. Smith makes 2-pt shot from 3 ft (assist by J. Wall),2,88-85,,
7:16.0,Shooting foul by B. Lopez (drawn by J. Smith),,88-85,,
7:16.0,J. Smith makes free throw 1 of 1,1,89-85,,
7:01.0,Shooting block foul by B. Beal (drawn by I. Whitehead),,89-85,,
7:01.0,,,89-86,1,I. Whitehead makes free throw 1 of 2
7:01.0,,,89-87,1,I. Whitehead makes free throw 2 of 2
6:46.0,Turnover by B. Beal (lost ball; steal by C. LeVert),,89-87,,
6:35.0,,,89-87,,T. Booker misses 2-pt shot from 3 ft (block by J. Wall)
6:34.0,,,89-87,,Offensive rebound by Team
6:24.0,,,89-87,,B. Lopez misses 2-pt shot from 5 ft
6:23.0,,,89-87,,Offensive rebound by B. Lopez
6:22.0,,,89-89,2,B. Lopez makes 2-pt shot from 2 ft
6:09.0,Shooting foul by I. Whitehead (drawn by J. Wall),,89-89,,
6:09.0,J. Wall makes free throw 1 of 2,1,90-89,,
6:09.0,J. Wall makes free throw 2 of 2,1,91-89,,
5:57.0,,,91-91,2,T. Booker makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
5:43.0,Turnover by J. Wall (bad pass; steal by C. LeVert),,91-91,,
