time,Golden State,pts.away,score,pts.home,Denver
1:47.0,S. Curry makes free throw 1 of 3,1,31-19,,
1:47.0,S. Curry makes free throw 2 of 3,1,32-19,,
1:47.0,S. Curry makes free throw 3 of 3,1,33-19,,
1:47.0,D. West enters the game for D. Green,,32-19,,
1:25.0,,,33-19,,K. Faried misses 2-pt shot from 6 ft
1:23.0,Defensive rebound by P. McCaw,,33-19,,
1:17.0,D. West misses 2-pt shot from 3 ft (block by J. Murray),,33-19,,
1:16.0,,,33-19,,Defensive rebound by J. Hernangomez
1:16.0,,,33-19,,J. Murray misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by K. Durant,,33-19,,
1:16.0,K. Durant misses 2-pt shot from 21 ft,,33-19,,
1:03.0,,,33-19,,Defensive rebound by J. Nurkic
0:55.0,,,33-19,,Turnover by J. Murray (lost ball; steal by D. West)
0:37.0,S. Curry makes 3-pt shot from 25 ft (assist by P. McCaw),3,36-19,,
0:19.0,,,36-19,,K. Faried misses 2-pt shot from 4 ft (block by K. Durant)
0:18.0,,,36-19,,Offensive rebound by K. Faried
0:16.0,,,36-19,,Turnover by J. Hernangomez (lost ball; steal by A. Iguodala)
0:13.0,A. Iguodala makes 2-pt shot from 3 ft,2,38-19,,
0:00.0,,,38-19,,Turnover by J. Nelson (bad pass; steal by D. West)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,38-19,,J. Nelson misses 3-pt shot from 27 ft
11:36.0,,,38-19,,Offensive rebound by Team
11:36.0,,,38-19,,Turnover by Team (shot clock)
11:18.0,Turnover by K. Thompson (bad pass; steal by J. Nurkic),,38-19,,
11:05.0,,,38-21,2,J. Nurkic makes 2-pt shot at rim (assist by J. Nelson)
10:46.0,D. West makes 2-pt shot from 7 ft (assist by K. Durant),2,40-21,,
10:36.0,,,40-21,,Shooting foul by D. West (drawn by J. Nurkic)
10:36.0,,,40-22,1,J. Nurkic makes free throw 1 of 2
10:36.0,,,40-22,,J. Nurkic misses free throw 2 of 2
10:31.0,Defensive rebound by K. Durant,,40-22,,
10:15.0,K. Durant makes 2-pt shot from 17 ft,2,42-22,,
10:03.0,,,42-22,,J. Hernangomez misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by A. Iguodala,,42-22,,
9:54.0,A. Iguodala misses 2-pt shot from 17 ft,,42-22,,
9:52.0,,,42-22,,Defensive rebound by J. Nurkic
9:40.0,,,42-22,,Shooting foul by S. Livingston (drawn by J. Murray)
9:40.0,,,42-23,1,J. Murray makes free throw 1 of 2
9:40.0,,,42-24,1,J. Murray makes free throw 2 of 2
9:40.0,I. Clark enters the game for A. Iguodala,,42-23,,
9:31.0,Offensive foul by S. Livingston,,42-24,,
9:31.0,Turnover by S. Livingston (offensive foul),,42-24,,
9:15.0,,,42-24,,Turnover by J. Nurkic (back court)
8:56.0,K. Durant misses 2-pt shot from 5 ft,,42-24,,
8:54.0,,,42-24,,Defensive rebound by K. Faried
8:40.0,,,42-24,,K. Faried misses 2-pt shot from 3 ft
8:38.0,Defensive rebound by K. Thompson,,42-24,,
8:23.0,D. West makes 2-pt shot from 19 ft (assist by I. Clark),2,44-24,,
8:10.0,,,44-27,3,J. Murray makes 3-pt shot from 24 ft (assist by J. Nelson)
8:04.0,Offensive foul by D. West,,44-27,,
8:04.0,Turnover by D. West (offensive foul),,44-27,,
8:04.0,Official timeout,,44-27,,
8:04.0,,,44-27,,E. Mudiay enters the game for K. Faried
8:04.0,,,44-27,,D. Gallinari enters the game for J. Nelson
7:53.0,,,44-29,2,J. Nurkic makes 2-pt shot at rim (assist by E. Mudiay)
7:39.0,Shooting foul by J. Hernangomez (drawn by D. West),,44-29,,
7:39.0,D. West makes free throw 1 of 2,1,45-29,,
7:39.0,D. West misses free throw 2 of 2,,45-29,,
7:39.0,Z. Pachulia enters the game for K. Durant,,45-29,,
7:38.0,,,45-29,,Defensive rebound by J. Hernangomez
7:31.0,,,45-29,,E. Mudiay misses 2-pt shot from 2 ft
7:30.0,,,45-29,,Offensive rebound by E. Mudiay
7:30.0,Personal foul by I. Clark (drawn by E. Mudiay),,45-29,,
7:23.0,,,45-29,,D. Gallinari misses 3-pt shot from 24 ft
7:23.0,Defensive rebound by Team,,45-29,,
7:19.0,,,45-29,,Personal foul by J. Nurkic (drawn by Z. Pachulia)
7:11.0,,,45-29,,Def 3 sec tech foul by J. Hernangomez
7:11.0,K. Thompson makes technical free throw,1,46-29,,
7:11.0,D. Green enters the game for D. West,,45-29,,
7:01.0,K. Thompson misses 3-pt shot from 26 ft,,46-29,,
7:00.0,,,46-29,,Defensive rebound by E. Mudiay
6:48.0,,,46-29,,Turnover by J. Nurkic (traveling)
6:48.0,,,46-29,,G. Harris enters the game for J. Murray
6:42.0,,,46-29,,Personal foul by J. Nurkic (drawn by Z. Pachulia)
6:42.0,,,46-29,,N. Jokic enters the game for J. Nurkic
6:27.0,S. Livingston makes 2-pt shot from 6 ft,2,48-29,,
6:10.0,,,48-32,3,J. Hernangomez makes 3-pt shot from 24 ft (assist by G. Harris)
5:56.0,,,48-32,,Personal foul by N. Jokic (drawn by Z. Pachulia)
5:56.0,,,48-32,,Denver full timeout
5:56.0,S. Curry enters the game for K. Thompson,,48-32,,
5:45.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by I. Clark),2,50-32,,
5:30.0,,,50-32,,N. Jokic misses 2-pt shot from 17 ft
5:29.0,Defensive rebound by D. Green,,50-32,,
5:25.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,52-32,,
5:25.0,,,52-32,,Denver full timeout
5:09.0,,,52-32,,D. Gallinari misses 2-pt shot from 22 ft
5:08.0,Defensive rebound by D. Green,,52-32,,
4:49.0,S. Curry misses 3-pt shot from 25 ft,,52-32,,
4:47.0,,,52-32,,Defensive rebound by J. Hernangomez
4:37.0,,,52-34,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
4:20.0,S. Livingston misses 2-pt shot from 10 ft,,52-34,,
4:19.0,,,52-34,,Defensive rebound by E. Mudiay
4:13.0,,,52-36,2,E. Mudiay makes 2-pt shot from 2 ft
4:12.0,Golden State full timeout,,52-36,,
4:09.0,K. Durant enters the game for Z. Pachulia,,52-36,,
4:09.0,A. Iguodala enters the game for I. Clark,,52-36,,
4:03.0,,,52-36,,K. Faried enters the game for J. Hernangomez
3:53.0,S. Curry makes 2-pt shot from 2 ft,2,54-36,,
3:44.0,,,54-38,2,D. Gallinari makes 2-pt shot from 4 ft
3:44.0,,,54-38,,Shooting foul by S. Curry (drawn by D. Gallinari)
3:44.0,,,54-39,1,D. Gallinari makes free throw 1 of 1
3:26.0,Turnover by D. Green (bad pass; steal by K. Faried),,54-39,,
3:26.0,Violation by K. Durant (kicked ball),,54-39,,
3:22.0,,,54-42,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
2:58.0,A. Iguodala misses 3-pt shot from 26 ft,,54-42,,
2:57.0,,,54-42,,Defensive rebound by G. Harris
2:45.0,,,54-42,,E. Mudiay misses 3-pt shot from 24 ft
2:44.0,,,54-42,,Offensive rebound by Team
2:44.0,K. Thompson enters the game for S. Livingston,,54-42,,
2:31.0,,,54-42,,Turnover by G. Harris (bad pass; steal by S. Curry)
2:29.0,Shooting foul by K. Faried (drawn by K. Durant),,54-42,,
2:29.0,K. Durant makes free throw 1 of 2,1,55-42,,
2:29.0,K. Durant makes free throw 2 of 2,1,56-42,,
2:29.0,,,55-42,,J. Hernangomez enters the game for N. Jokic
2:10.0,,,56-42,,D. Gallinari misses 3-pt shot from 25 ft
2:04.0,,,56-42,,Offensive rebound by J. Hernangomez
2:04.0,,,56-44,2,J. Hernangomez makes 2-pt shot from 2 ft
1:53.0,K. Durant makes 2-pt shot from 9 ft (assist by S. Curry),2,58-44,,
1:44.0,,,58-44,,E. Mudiay misses 2-pt shot from 6 ft
1:44.0,Defensive rebound by K. Thompson,,58-44,,
1:38.0,S. Curry misses 3-pt shot from 24 ft,,58-44,,
1:33.0,Offensive rebound by K. Durant,,58-44,,
1:33.0,K. Durant makes 2-pt shot from 1 ft,2,60-44,,
1:22.0,,,60-46,2,G. Harris makes 2-pt shot from 13 ft
1:01.0,,,60-46,,Personal block foul by D. Gallinari (drawn by S. Curry)
1:01.0,S. Curry makes free throw 1 of 2,1,61-46,,
1:01.0,S. Curry makes free throw 2 of 2,1,62-46,,
1:01.0,,,61-46,,J. Murray enters the game for G. Harris
0:49.0,,,62-46,,E. Mudiay misses 2-pt shot from 3 ft
0:48.0,,,62-46,,Offensive rebound by Team
0:40.0,,,62-46,,Shooting foul by K. Thompson (drawn by D. Gallinari)
0:40.0,,,62-47,1,D. Gallinari makes free throw 1 of 2
0:40.0,,,62-48,1,D. Gallinari makes free throw 2 of 2
0:33.0,K. Thompson makes 2-pt shot from 3 ft (assist by A. Iguodala),2,64-48,,
0:33.0,Shooting foul by J. Murray (drawn by K. Thompson),,64-48,,
0:33.0,K. Thompson makes free throw 1 of 1,1,65-48,,
0:23.0,,,65-51,3,D. Gallinari makes 3-pt shot from 26 ft (assist by E. Mudiay)
0:07.0,K. Durant misses 3-pt shot from 24 ft,,65-51,,
0:06.0,,,65-51,,Defensive rebound by J. Murray
0:00.0,,,65-51,,J. Murray misses 3-pt shot from 24 ft
0:00.0,,,65-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,65-51,,Turnover by D. Gallinari (bad pass; steal by Z. Pachulia)
11:18.0,D. Green makes 3-pt shot from 25 ft (assist by K. Durant),3,68-51,,
11:03.0,Shooting block foul by D. Green (drawn by G. Harris),,68-51,,
11:03.0,,,68-51,,G. Harris misses free throw 1 of 2
11:03.0,,,68-51,,Offensive rebound by Team
11:03.0,,,68-51,,G. Harris misses free throw 2 of 2
11:01.0,,,68-51,,Offensive rebound by N. Jokic
10:49.0,,,68-51,,Turnover by D. Gallinari (bad pass; steal by Z. Pachulia)
10:37.0,S. Curry misses 2-pt shot from 21 ft,,68-51,,
10:34.0,Offensive rebound by Z. Pachulia,,68-51,,
10:24.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,70-51,,
10:24.0,,,70-51,,Denver full timeout
10:24.0,,,70-51,,K. Faried enters the game for J. Nurkic
10:11.0,,,70-51,,E. Mudiay misses 2-pt shot from 11 ft (block by K. Durant)
10:09.0,Defensive rebound by S. Curry,,70-51,,
10:03.0,K. Durant misses 3-pt shot from 25 ft,,70-51,,
10:02.0,Offensive rebound by Z. Pachulia,,70-51,,
9:46.0,Turnover by Z. Pachulia (traveling),,70-51,,
9:30.0,,,70-54,3,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris)
9:10.0,K. Thompson misses 2-pt shot from 16 ft,,70-54,,
9:08.0,,,70-54,,Defensive rebound by E. Mudiay
9:03.0,,,70-54,,E. Mudiay misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by D. Green,,70-54,,
8:53.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,73-54,,
8:38.0,,,73-56,2,N. Jokic makes 2-pt shot from 7 ft (assist by E. Mudiay)
8:17.0,K. Thompson makes 2-pt shot from 18 ft,2,75-56,,
8:06.0,,,75-56,,G. Harris misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by K. Durant,,75-56,,
7:55.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,77-56,,
7:42.0,,,77-56,,D. Gallinari misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by K. Durant,,77-56,,
7:36.0,S. Curry makes 3-pt shot from 25 ft,3,80-56,,
7:36.0,Shooting foul by N. Jokic (drawn by S. Curry),,80-56,,
7:36.0,S. Curry makes free throw 1 of 1,1,81-56,,
7:21.0,,,81-56,,E. Mudiay misses 2-pt shot from 7 ft
7:19.0,Defensive rebound by D. Green,,81-56,,
7:02.0,S. Curry misses 3-pt shot from 24 ft,,81-56,,
7:01.0,,,81-56,,Defensive rebound by N. Jokic
6:47.0,,,81-58,2,G. Harris makes 2-pt shot from 4 ft (assist by D. Gallinari)
6:32.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson),3,84-58,,
6:13.0,,,84-60,2,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari)
6:02.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green),3,87-60,,
6:02.0,,,87-60,,Denver full timeout
6:02.0,J. McGee enters the game for K. Durant,,87-60,,
6:02.0,A. Iguodala enters the game for Z. Pachulia,,87-60,,
6:02.0,,,87-60,,J. Hernangomez enters the game for N. Jokic
6:02.0,,,87-60,,J. Murray enters the game for G. Harris
5:42.0,,,87-60,,K. Faried misses 2-pt shot from 3 ft (block by J. McGee)
5:40.0,,,87-60,,Offensive rebound by J. Murray
5:36.0,,,87-60,,J. Murray misses 3-pt shot from 25 ft
5:36.0,,,87-60,,Offensive rebound by K. Faried
5:31.0,,,87-60,,K. Faried misses 2-pt shot from 2 ft
5:30.0,,,87-60,,Offensive rebound by J. Hernangomez
5:27.0,,,87-60,,J. Hernangomez misses 2-pt shot from 1 ft
5:26.0,Defensive rebound by D. Green,,87-60,,
5:22.0,J. McGee misses 2-pt shot from 1 ft,,87-60,,
5:22.0,,,87-60,,Defensive rebound by D. Gallinari
5:16.0,,,87-63,3,J. Hernangomez makes 3-pt shot from 24 ft (assist by J. Murray)
5:02.0,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson),2,89-63,,
4:49.0,,,89-66,3,E. Mudiay makes 3-pt shot from 26 ft (assist by J. Murray)
4:30.0,K. Thompson misses 2-pt shot from 18 ft,,89-66,,
4:30.0,,,89-66,,Defensive rebound by J. Hernangomez
4:21.0,,,89-66,,D. Gallinari misses 2-pt shot from 21 ft
4:20.0,Defensive rebound by J. McGee,,89-66,,
4:12.0,S. Curry makes 3-pt shot from 29 ft,3,92-66,,
3:56.0,,,92-66,,J. Murray misses 2-pt shot from 5 ft
3:55.0,Defensive rebound by A. Iguodala,,92-66,,
3:48.0,K. Thompson misses 2-pt shot from 1 ft,,92-66,,
3:47.0,Offensive rebound by S. Curry,,92-66,,
3:38.0,,,92-66,,J. Nelson enters the game for D. Gallinari
3:38.0,P. McCaw enters the game for K. Thompson,,92-66,,
3:25.0,S. Curry makes 3-pt shot from 28 ft,3,95-66,,
3:11.0,,,95-66,,E. Mudiay misses 3-pt shot from 26 ft
3:10.0,Defensive rebound by S. Curry,,95-66,,
3:03.0,S. Curry misses 3-pt shot from 34 ft,,95-66,,
3:02.0,,,95-66,,Defensive rebound by J. Nelson
2:47.0,,,95-66,,Turnover by E. Mudiay (step out of bounds)
2:47.0,,,95-66,,M. Beasley enters the game for E. Mudiay
2:47.0,Golden State full timeout,,95-66,,
2:27.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,97-66,,
2:13.0,,,97-66,,J. Hernangomez misses 2-pt shot from 1 ft (block by J. McGee)
2:12.0,Defensive rebound by D. Green,,97-66,,
2:05.0,P. McCaw misses 3-pt shot from 25 ft,,97-66,,
2:04.0,,,97-66,,Defensive rebound by K. Faried
1:50.0,,,97-66,,J. Hernangomez misses 2-pt shot from 2 ft
1:50.0,Defensive rebound by D. Green,,97-66,,
1:40.0,Turnover by S. Curry (lost ball; steal by K. Faried),,97-66,,
1:34.0,,,97-69,3,M. Beasley makes 3-pt shot from 24 ft (assist by J. Nelson)
1:09.0,A. Iguodala misses 2-pt shot from 17 ft,,97-69,,
1:08.0,,,97-69,,Defensive rebound by K. Faried
0:59.0,,,97-69,,J. Nelson misses 2-pt shot from 20 ft
0:58.0,Defensive rebound by S. Curry,,97-69,,
0:45.0,D. Green misses 2-pt shot from 3 ft,,97-69,,
0:43.0,,,97-69,,Defensive rebound by J. Hernangomez
0:38.0,,,97-72,3,M. Beasley makes 3-pt shot from 23 ft (assist by J. Murray)
0:38.0,Golden State full timeout,,97-72,,
0:38.0,K. Durant enters the game for D. Green,,97-72,,
0:25.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,99-72,,
0:16.0,,,99-75,3,J. Murray makes 3-pt shot from 25 ft (assist by J. Nelson)
0:04.0,,,99-75,,Personal take foul by J. Nelson (drawn by S. Curry)
0:02.0,S. Curry misses 3-pt shot from 29 ft,,99-75,,
0:00.0,Offensive rebound by Team,,99-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,K. Durant misses 2-pt shot from 16 ft,,99-75,,
11:41.0,,,99-75,,Defensive rebound by Team
11:41.0,Loose ball foul by A. Iguodala (drawn by M. Beasley),,99-75,,
11:21.0,,,99-75,,J. Nelson misses 2-pt shot from 21 ft
11:19.0,,,99-75,,Offensive rebound by J. Murray
11:14.0,,,99-77,2,M. Beasley makes 2-pt shot from 2 ft (assist by J. Murray)
10:54.0,K. Thompson misses 2-pt shot from 16 ft,,99-77,,
10:53.0,,,99-77,,Defensive rebound by J. Hernangomez
10:45.0,,,99-77,,M. Beasley misses 2-pt shot from 2 ft
10:45.0,Defensive rebound by K. Durant,,99-77,,
10:39.0,K. Durant misses 3-pt shot from 25 ft,,99-77,,
10:37.0,,,99-77,,Defensive rebound by J. Nelson
10:24.0,,,99-79,2,M. Beasley makes 2-pt shot from 22 ft
9:57.0,S. Livingston makes 2-pt shot from 9 ft (assist by A. Iguodala),2,101-79,,
9:33.0,,,101-79,,J. Murray misses 3-pt shot from 26 ft
9:32.0,,,101-79,,Offensive rebound by Team
9:32.0,Loose ball foul by S. Livingston,,101-79,,
9:19.0,,,101-79,,M. Beasley misses 3-pt shot from 27 ft
9:17.0,,,101-79,,Offensive rebound by J. Nelson
9:15.0,,,101-79,,Turnover by J. Nelson (bad pass; steal by K. Durant)
9:14.0,,,101-79,,Personal take foul by J. Hernangomez
9:14.0,Golden State full timeout,,101-79,,
9:14.0,,,101-79,,M. Miller enters the game for J. Nelson
9:05.0,Offensive foul by D. West,,101-79,,
9:05.0,Turnover by D. West (offensive foul),,101-79,,
8:52.0,,,101-79,,J. Murray misses 2-pt shot from 1 ft
8:51.0,,,101-79,,Offensive rebound by K. Faried
8:50.0,,,101-81,2,K. Faried makes 2-pt shot at rim
8:39.0,,,101-81,,Personal foul by M. Miller (drawn by S. Livingston)
8:36.0,,,101-81,,Violation by K. Faried (def goaltending)
8:36.0,K. Thompson makes 2-pt shot from 2 ft,2,103-81,,
8:20.0,,,103-81,,J. Hernangomez misses 3-pt shot from 23 ft
8:19.0,Defensive rebound by S. Livingston,,103-81,,
8:04.0,K. Durant misses 2-pt shot from 2 ft (block by J. Hernangomez),,103-81,,
8:03.0,,,103-81,,Defensive rebound by M. Miller
7:58.0,,,103-81,,Shooting foul by K. Durant
7:58.0,,,103-81,,J. Hernangomez misses free throw 1 of 2
7:58.0,,,103-81,,Offensive rebound by Team
7:58.0,,,103-82,1,J. Hernangomez makes free throw 2 of 2
7:43.0,K. Durant makes 2-pt shot from 12 ft (assist by A. Iguodala),2,105-82,,
7:29.0,,,105-82,,Turnover by J. Murray (bad pass; steal by A. Iguodala)
7:23.0,K. Thompson makes 3-pt shot from 27 ft (assist by A. Iguodala),3,108-82,,
7:22.0,,,108-82,,Denver full timeout
7:22.0,P. McCaw enters the game for A. Iguodala,,108-82,,
7:08.0,,,108-84,2,M. Beasley makes 2-pt shot from 1 ft (assist by M. Miller)
6:51.0,K. Durant makes 2-pt shot at rim (assist by D. West),2,110-84,,
6:28.0,,,110-84,,Turnover by K. Faried (bad pass; steal by P. McCaw)
6:22.0,P. McCaw makes 2-pt shot from 2 ft,2,112-84,,
6:09.0,,,112-84,,J. Murray misses 2-pt shot from 12 ft
6:08.0,,,112-84,,Offensive rebound by K. Faried
6:03.0,,,112-86,2,J. Hernangomez makes 2-pt shot from 1 ft (assist by M. Beasley)
5:53.0,Turnover by K. Durant (offensive foul),,112-86,,
5:53.0,Offensive charge foul by K. Durant,,112-86,,
5:51.0,I. Clark enters the game for K. Durant,,112-86,,
5:51.0,K. Looney enters the game for K. Thompson,,112-86,,
5:44.0,,,112-86,,J. Stokes enters the game for K. Faried
5:44.0,Personal foul by I. Clark (drawn by J. Murray),,112-86,,
5:33.0,,,112-88,2,J. Stokes makes 2-pt shot from 2 ft (assist by J. Murray)
5:17.0,,,112-88,,Personal foul by J. Murray (drawn by I. Clark)
5:17.0,A. Varejao enters the game for D. West,,112-88,,
5:01.0,I. Clark misses 2-pt shot from 5 ft,,112-88,,
4:59.0,Offensive rebound by K. Looney,,112-88,,
4:59.0,Shooting foul by J. Stokes (drawn by P. McCaw),,112-88,,
4:59.0,P. McCaw makes free throw 1 of 2,1,113-88,,
4:59.0,P. McCaw makes free throw 2 of 2,1,114-88,,
4:48.0,,,114-90,2,J. Murray makes 2-pt shot at rim
