time,Milwaukee,pts.away,score,pts.home,Denver
5:14.0,,,17-14,,Offensive rebound by N. Jokic
5:10.0,,,17-16,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
4:49.0,G. Monroe misses 2-pt shot from 13 ft,,17-16,,
4:48.0,,,17-16,,Defensive rebound by W. Chandler
4:42.0,,,17-16,,W. Barton misses 3-pt shot from 26 ft
4:42.0,,,17-16,,Offensive rebound by N. Jokic
4:38.0,,,17-16,,N. Jokic misses 2-pt shot from 2 ft
4:37.0,Defensive rebound by J. Parker,,17-16,,
4:35.0,Turnover by J. Parker (lost ball; steal by G. Harris),,17-16,,
4:25.0,,,17-19,3,W. Barton makes 3-pt shot from 23 ft (assist by N. Jokic)
4:12.0,J. Parker misses 3-pt shot from 23 ft,,17-19,,
4:11.0,,,17-19,,Defensive rebound by W. Barton
4:05.0,,,17-19,,W. Barton misses 2-pt shot from 1 ft
4:02.0,,,17-19,,Offensive rebound by N. Jokic
4:02.0,,,17-21,2,N. Jokic makes 2-pt shot from 1 ft
3:51.0,G. Monroe makes 2-pt shot at rim (assist by M. Dellavedova),2,19-21,,
3:50.0,Violation by Team (jump ball),,19-21,,
3:28.0,,,19-21,,J. Nelson misses 3-pt shot from 23 ft
3:27.0,,,19-21,,Offensive rebound by W. Chandler
3:21.0,,,19-21,,W. Chandler misses 2-pt shot from 4 ft
3:19.0,Defensive rebound by J. Parker,,19-21,,
3:11.0,G. Monroe misses 2-pt shot from 6 ft,,19-21,,
3:10.0,Offensive rebound by M. Teletovic,,19-21,,
3:01.0,J. Terry makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,22-21,,
2:56.0,,,22-21,,Turnover by N. Jokic (lost ball; steal by J. Parker)
2:56.0,,,22-21,,Personal foul by J. Nelson (drawn by J. Parker)
2:56.0,Milwaukee full timeout,,22-21,,
2:56.0,,,22-21,,E. Mudiay enters the game for N. Jokic
2:56.0,,,22-21,,J. Murray enters the game for G. Harris
2:56.0,,,22-21,,D. Arthur enters the game for J. Nelson
2:56.0,M. Brogdon enters the game for J. Parker,,22-21,,
2:56.0,G. Antetokounmpo enters the game for M. Dellavedova,,22-21,,
2:43.0,J. Terry makes 3-pt shot from 25 ft (assist by M. Brogdon),3,25-21,,
2:27.0,,,25-23,2,W. Chandler makes 2-pt shot from 2 ft (assist by E. Mudiay)
2:12.0,G. Monroe makes 2-pt shot from 2 ft,2,27-23,,
2:07.0,,,27-23,,Shooting foul by J. Terry (drawn by W. Barton)
2:07.0,,,27-23,,W. Barton misses free throw 1 of 2
2:07.0,,,27-23,,Offensive rebound by Team
2:07.0,,,27-23,,W. Barton misses free throw 2 of 2
2:05.0,Defensive rebound by G. Antetokounmpo,,27-23,,
1:52.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Terry),2,29-23,,
1:37.0,,,29-25,2,J. Murray makes 2-pt shot from 9 ft (assist by D. Arthur)
1:20.0,M. Teletovic misses 3-pt shot from 26 ft,,29-25,,
1:19.0,,,29-25,,Defensive rebound by J. Murray
1:13.0,,,29-25,,Turnover by J. Murray (lost ball; steal by M. Brogdon)
1:07.0,M. Teletovic misses 3-pt shot from 24 ft,,29-25,,
1:05.0,,,29-25,,Defensive rebound by W. Chandler
0:54.0,,,29-27,2,J. Murray makes 2-pt shot from 2 ft (assist by W. Chandler)
0:34.0,Turnover by M. Brogdon (bad pass; steal by W. Chandler),,29-27,,
0:27.0,,,29-27,,Turnover by W. Barton (lost ball; steal by M. Brogdon)
0:23.0,G. Monroe misses 2-pt shot from 2 ft (block by W. Chandler),,29-27,,
0:23.0,Offensive rebound by Team,,29-27,,
0:23.0,,,29-27,,J. Hernangomez enters the game for W. Chandler
0:18.0,M. Brogdon makes 2-pt shot at rim,2,31-27,,
0:18.0,Technical foul by Team,,31-27,,
0:18.0,,,31-28,1,J. Murray makes technical free throw
0:01.0,,,31-31,3,J. Murray makes 3-pt shot from 24 ft (assist by W. Barton)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-31,,D. Arthur misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by Team,,31-31,,
11:25.0,M. Brogdon misses 2-pt shot from 9 ft,,31-31,,
11:25.0,,,31-31,,Defensive rebound by J. Hernangomez
11:08.0,,,31-31,,E. Mudiay misses 2-pt shot from 16 ft
11:08.0,Defensive rebound by M. Teletovic,,31-31,,
11:02.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Teletovic),2,33-31,,
10:45.0,,,33-31,,Turnover by D. Arthur (bad pass; steal by G. Antetokounmpo)
10:44.0,Turnover by M. Teletovic (bad pass),,33-31,,
10:31.0,,,33-31,,Shooting foul by M. Brogdon (drawn by J. Murray)
10:31.0,,,33-32,1,J. Murray makes free throw 1 of 2
10:31.0,,,33-33,1,J. Murray makes free throw 2 of 2
10:17.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Barton),,33-33,,
10:14.0,Jump ball: G. Antetokounmpo vs. W. Barton,,,,Jump ball: G. Antetokounmpo vs. W. Barton
10:14.0,,,33-33,,Turnover by W. Barton (lost ball; steal by G. Antetokounmpo)
10:05.0,G. Antetokounmpo makes 2-pt shot at rim,2,35-33,,
9:59.0,,,35-33,,D. Arthur misses 2-pt shot from 2 ft (block by M. Teletovic)
9:59.0,,,35-33,,Offensive rebound by Team
9:56.0,,,35-33,,E. Mudiay misses 2-pt shot from 2 ft (block by M. Brogdon)
9:53.0,Defensive rebound by G. Antetokounmpo,,35-33,,
9:49.0,Turnover by M. Teletovic (bad pass),,35-33,,
9:49.0,,,35-33,,Turnover by J. Murray (bad pass)
9:30.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,37-33,,
9:30.0,,,37-33,,Denver full timeout
9:30.0,T. Snell enters the game for M. Teletovic,,37-33,,
9:30.0,,,37-33,,W. Chandler enters the game for J. Hernangomez
9:13.0,,,37-35,2,D. Arthur makes 2-pt shot from 20 ft (assist by W. Barton)
8:54.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Barton),,37-35,,
8:49.0,,,37-37,2,J. Murray makes 2-pt shot from 1 ft (assist by W. Barton)
8:25.0,M. Brogdon misses 2-pt shot from 16 ft,,37-37,,
8:24.0,,,37-37,,Defensive rebound by J. Murray
8:13.0,,,37-40,3,D. Arthur makes 3-pt shot from 26 ft (assist by J. Murray)
7:52.0,M. Brogdon makes 2-pt shot from 2 ft,2,39-40,,
7:52.0,Shooting foul by D. Arthur (drawn by M. Brogdon),,39-40,,
7:52.0,M. Brogdon makes free throw 1 of 1,1,40-40,,
7:52.0,M. Dellavedova enters the game for J. Terry,,39-40,,
7:52.0,J. Henson enters the game for G. Monroe,,39-40,,
7:32.0,,,40-42,2,W. Barton makes 2-pt shot from 2 ft
7:22.0,Turnover by M. Dellavedova (bad pass),,40-42,,
7:09.0,,,40-44,2,W. Barton makes 2-pt shot from 2 ft (assist by W. Chandler)
6:48.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,40-44,,
6:47.0,,,40-44,,Defensive rebound by W. Barton
6:42.0,,,40-44,,Turnover by W. Barton (lost ball; steal by J. Henson)
6:38.0,Shooting foul by D. Arthur (drawn by G. Antetokounmpo),,40-44,,
6:38.0,G. Antetokounmpo makes free throw 1 of 2,1,41-44,,
6:38.0,G. Antetokounmpo makes free throw 2 of 2,1,42-44,,
6:38.0,J. Parker enters the game for M. Brogdon,,41-44,,
6:38.0,,,41-44,,N. Jokic enters the game for D. Arthur
6:38.0,,,41-44,,K. Faried enters the game for W. Barton
6:19.0,,,42-44,,N. Jokic misses 2-pt shot from 5 ft (block by G. Antetokounmpo)
6:18.0,Defensive rebound by J. Henson,,42-44,,
6:06.0,M. Dellavedova makes 2-pt shot from 5 ft,2,44-44,,
5:51.0,,,44-46,2,N. Jokic makes 2-pt shot from 19 ft (assist by E. Mudiay)
5:44.0,Turnover by M. Dellavedova (bad pass; steal by N. Jokic),,44-46,,
5:40.0,,,44-48,2,J. Murray makes 2-pt shot at rim (assist by N. Jokic)
5:40.0,Milwaukee full timeout,,44-48,,
5:40.0,M. Brogdon enters the game for T. Snell,,44-48,,
5:40.0,,,44-48,,G. Harris enters the game for E. Mudiay
5:40.0,,,44-48,,J. Nelson enters the game for J. Murray
5:27.0,J. Parker misses 2-pt shot from 9 ft,,44-48,,
5:27.0,,,44-48,,Defensive rebound by K. Faried
5:16.0,,,44-48,,Shooting foul by J. Henson (drawn by N. Jokic)
5:16.0,,,44-49,1,N. Jokic makes free throw 1 of 2
5:16.0,,,44-50,1,N. Jokic makes free throw 2 of 2
4:55.0,J. Henson misses 2-pt shot from 3 ft,,44-50,,
4:54.0,,,44-50,,Defensive rebound by K. Faried
4:33.0,,,44-52,2,W. Chandler makes 2-pt shot from 10 ft (assist by K. Faried)
4:13.0,J. Henson makes 2-pt shot from 5 ft (assist by G. Antetokounmpo),2,46-52,,
3:55.0,,,46-55,3,N. Jokic makes 3-pt shot from 24 ft (assist by J. Nelson)
3:38.0,M. Dellavedova misses 3-pt shot from 26 ft,,46-55,,
3:38.0,,,46-55,,Defensive rebound by G. Harris
3:32.0,,,46-55,,J. Nelson misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by J. Parker,,46-55,,
3:16.0,J. Parker misses 2-pt shot from 14 ft,,46-55,,
3:16.0,,,46-55,,Defensive rebound by J. Nelson
2:58.0,,,46-57,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
2:57.0,Milwaukee full timeout,,46-57,,
2:57.0,Official timeout,,46-57,,
2:57.0,M. Beasley enters the game for G. Antetokounmpo,,46-57,,
2:45.0,M. Dellavedova misses 2-pt shot from 9 ft,,46-57,,
2:44.0,Offensive rebound by M. Dellavedova,,46-57,,
2:41.0,M. Beasley misses 2-pt shot from 9 ft,,46-57,,
2:40.0,Offensive rebound by M. Dellavedova,,46-57,,
2:36.0,J. Henson misses 2-pt shot from 19 ft,,46-57,,
2:36.0,,,46-57,,Defensive rebound by G. Harris
2:30.0,,,46-57,,Shooting foul by J. Henson (drawn by W. Chandler)
2:30.0,,,46-58,1,W. Chandler makes free throw 1 of 2
2:30.0,,,46-59,1,W. Chandler makes free throw 2 of 2
2:30.0,G. Monroe enters the game for J. Henson,,46-58,,
2:17.0,J. Parker makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,48-59,,
2:06.0,,,48-59,,G. Harris misses 2-pt shot from 17 ft
2:06.0,,,48-59,,Offensive rebound by N. Jokic
2:04.0,,,48-59,,Shooting foul by M. Beasley (drawn by W. Chandler)
2:04.0,,,48-60,1,W. Chandler makes free throw 1 of 2
2:04.0,,,48-61,1,W. Chandler makes free throw 2 of 2
1:47.0,Shooting foul by W. Chandler (drawn by M. Beasley),,48-61,,
1:47.0,M. Beasley makes free throw 1 of 2,1,49-61,,
1:47.0,M. Beasley misses free throw 2 of 2,,49-61,,
1:47.0,,,49-61,,W. Barton enters the game for W. Chandler
1:44.0,,,49-61,,Defensive rebound by N. Jokic
1:31.0,,,49-64,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
1:18.0,M. Brogdon makes 2-pt shot from 5 ft,2,51-64,,
1:01.0,,,51-64,,N. Jokic misses 3-pt shot from 26 ft
1:00.0,,,51-64,,Offensive rebound by K. Faried
0:59.0,,,51-64,,Shooting foul by G. Monroe (drawn by K. Faried)
0:59.0,,,51-65,1,K. Faried makes free throw 1 of 2
0:59.0,,,51-66,1,K. Faried makes free throw 2 of 2
0:45.0,J. Parker misses 2-pt shot from 13 ft,,51-66,,
0:44.0,Offensive rebound by G. Monroe,,51-66,,
0:43.0,,,51-66,,Personal foul by G. Harris (drawn by G. Monroe)
0:43.0,G. Monroe misses free throw 1 of 2,,51-66,,
0:43.0,Offensive rebound by Team,,51-66,,
0:43.0,G. Monroe misses free throw 2 of 2,,51-66,,
0:41.0,,,51-66,,Defensive rebound by N. Jokic
0:34.0,Violation by M. Dellavedova (kicked ball),,51-66,,
0:25.0,,,51-66,,G. Harris misses 3-pt shot from 24 ft
0:24.0,,,51-66,,Offensive rebound by N. Jokic
0:22.0,,,51-68,2,N. Jokic makes 2-pt shot from 5 ft
0:07.0,,,51-68,,Personal foul by G. Harris (drawn by G. Monroe)
0:07.0,G. Monroe makes free throw 1 of 2,1,52-68,,
0:07.0,G. Monroe makes free throw 2 of 2,1,53-68,,
0:01.0,,,53-70,2,K. Faried makes 2-pt shot from 14 ft (assist by N. Jokic)
0:00.0,J. Parker misses 3-pt shot from 57 ft,,53-70,,
0:00.0,Offensive rebound by Team,,53-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,53-73,3,G. Harris makes 3-pt shot from 26 ft (assist by J. Nelson)
11:29.0,T. Snell misses 2-pt shot from 3 ft,,53-73,,
11:26.0,,,53-73,,Defensive rebound by N. Jokic
11:14.0,,,53-75,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
10:53.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,55-75,,
10:38.0,Personal foul by T. Snell (drawn by G. Harris),,55-75,,
10:29.0,,,55-77,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
10:22.0,,,55-77,,Def 3 sec tech foul by N. Jokic
10:22.0,T. Snell makes technical free throw,1,56-77,,
10:22.0,M. Beasley enters the game for G. Antetokounmpo,,56-77,,
10:12.0,J. Parker makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,59-77,,
9:56.0,,,59-77,,N. Jokic misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by J. Parker,,59-77,,
9:49.0,T. Maker makes 3-pt shot from 24 ft (assist by J. Parker),3,62-77,,
9:29.0,,,62-77,,N. Jokic misses 2-pt shot from 2 ft (block by T. Maker)
9:28.0,,,62-77,,Offensive rebound by Team
9:24.0,,,62-77,,Turnover by J. Nelson (bad pass; steal by M. Dellavedova)
9:21.0,Shooting foul by G. Harris (drawn by T. Snell),,62-77,,
9:21.0,T. Snell misses free throw 1 of 2,,62-77,,
9:21.0,Offensive rebound by Team,,62-77,,
9:21.0,T. Snell makes free throw 2 of 2,1,63-77,,
9:03.0,,,63-79,2,K. Faried makes 2-pt shot at rim (assist by N. Jokic)
9:03.0,,,63-79,,Shooting foul by T. Maker (drawn by K. Faried)
9:03.0,,,63-80,1,K. Faried makes free throw 1 of 1
8:49.0,Turnover by T. Maker (kicked ball),,63-80,,
8:30.0,,,63-82,2,W. Chandler makes 2-pt shot from 1 ft
8:30.0,,,63-82,,Shooting foul by M. Beasley (drawn by W. Chandler)
8:30.0,,,63-83,1,W. Chandler makes free throw 1 of 1
8:21.0,J. Parker misses 2-pt shot from 2 ft (block by K. Faried),,63-83,,
8:20.0,Offensive rebound by Team,,63-83,,
8:11.0,T. Maker makes 3-pt shot from 24 ft (assist by J. Parker),3,66-83,,
8:02.0,,,66-85,2,K. Faried makes 2-pt shot from 2 ft
8:02.0,,,66-85,,Shooting foul by T. Maker (drawn by K. Faried)
8:02.0,,,66-86,1,K. Faried makes free throw 1 of 1
7:47.0,J. Parker makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,68-86,,
7:38.0,Personal block foul by T. Maker (drawn by J. Nelson),,68-86,,
7:38.0,,,68-87,1,J. Nelson makes free throw 1 of 2
7:38.0,,,68-87,,J. Nelson misses free throw 2 of 2
7:38.0,J. Henson enters the game for T. Maker,,68-87,,
7:38.0,,,68-87,,W. Barton enters the game for W. Chandler
7:36.0,Defensive rebound by M. Beasley,,68-87,,
7:33.0,Shooting foul by K. Faried (drawn by J. Parker),,68-87,,
7:33.0,J. Parker makes free throw 1 of 2,1,69-87,,
7:33.0,J. Parker makes free throw 2 of 2,1,70-87,,
7:10.0,,,70-87,,N. Jokic misses 2-pt shot from 2 ft (block by J. Henson)
7:09.0,Defensive rebound by J. Henson,,70-87,,
7:00.0,T. Snell makes 2-pt shot from 18 ft,2,72-87,,
7:00.0,,,72-87,,Denver full timeout
6:43.0,,,72-87,,G. Harris misses 2-pt shot from 17 ft
6:43.0,Defensive rebound by M. Dellavedova,,72-87,,
6:33.0,M. Beasley makes 2-pt shot from 4 ft (assist by M. Dellavedova),2,74-87,,
6:21.0,,,74-87,,W. Barton misses 3-pt shot from 25 ft
6:20.0,,,74-87,,Offensive rebound by K. Faried
6:19.0,Loose ball foul by T. Snell (drawn by K. Faried),,74-87,,
6:19.0,,,74-87,,K. Faried misses free throw 1 of 2
6:19.0,,,74-87,,Offensive rebound by Team
6:19.0,,,74-87,,K. Faried misses free throw 2 of 2
6:15.0,Jump ball: M. Beasley vs. K. Faried (J. Henson gains possession),,,,Jump ball: M. Beasley vs. K. Faried (J. Henson gains possession)
6:15.0,Defensive rebound by Team,,74-87,,
6:03.0,Shooting foul by G. Harris (drawn by M. Beasley),,74-87,,
6:03.0,M. Beasley misses free throw 1 of 2,,74-87,,
6:03.0,Offensive rebound by Team,,74-87,,
6:03.0,M. Beasley makes free throw 2 of 2,1,75-87,,
6:03.0,,,74-87,,J. Murray enters the game for G. Harris
5:38.0,,,75-87,,W. Barton misses 2-pt shot from 2 ft (block by J. Parker)
5:36.0,Defensive rebound by J. Henson,,75-87,,
5:28.0,J. Parker makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,78-87,,
5:28.0,,,78-87,,Denver full timeout
5:28.0,,,78-87,,W. Chandler enters the game for K. Faried
5:11.0,,,78-87,,W. Barton misses 2-pt shot from 16 ft
5:10.0,Defensive rebound by M. Dellavedova,,78-87,,
5:04.0,M. Beasley makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,80-87,,
4:46.0,,,80-87,,J. Murray misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by J. Parker,,80-87,,
4:33.0,Turnover by M. Beasley (lost ball),,80-87,,
4:18.0,Def 3 sec tech foul by J. Parker,,80-87,,
4:18.0,,,80-88,1,J. Murray makes technical free throw
4:18.0,G. Antetokounmpo enters the game for M. Beasley,,80-88,,
4:09.0,,,80-88,,Shooting foul by M. Dellavedova (drawn by W. Chandler)
4:09.0,,,80-88,,W. Chandler misses free throw 1 of 2
4:09.0,,,80-88,,Offensive rebound by Team
4:09.0,,,80-89,1,W. Chandler makes free throw 2 of 2
4:09.0,M. Brogdon enters the game for M. Dellavedova,,80-88,,
3:54.0,J. Henson makes 2-pt shot at rim (assist by J. Parker),2,82-89,,
3:37.0,,,82-92,3,N. Jokic makes 3-pt shot from 25 ft (assist by W. Chandler)
3:22.0,Shooting foul by W. Chandler (drawn by J. Parker),,82-92,,
3:22.0,J. Parker makes 2-pt shot from 3 ft,2,84-92,,
3:22.0,J. Parker makes free throw 1 of 1,1,85-92,,
3:22.0,,,84-92,,E. Mudiay enters the game for J. Nelson
3:22.0,J. Terry enters the game for T. Snell,,84-92,,
2:57.0,,,85-92,,Turnover by Team (shot clock)
2:41.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,85-92,,
2:41.0,,,85-92,,Defensive rebound by W. Chandler
2:34.0,,,85-92,,Shooting foul by J. Henson (drawn by W. Barton)
2:34.0,,,85-93,1,W. Barton makes free throw 1 of 2
2:34.0,,,85-94,1,W. Barton makes free throw 2 of 2
2:34.0,,,85-93,,D. Arthur enters the game for N. Jokic
2:16.0,J. Henson misses 2-pt shot from 3 ft,,85-94,,
2:16.0,,,85-94,,Defensive rebound by D. Arthur
1:57.0,,,85-94,,J. Murray misses 2-pt shot from 1 ft
1:56.0,Defensive rebound by J. Parker,,85-94,,
1:38.0,Turnover by J. Terry (bad pass; steal by W. Chandler),,85-94,,
1:34.0,,,85-94,,Shooting foul by G. Antetokounmpo (drawn by J. Murray)
1:34.0,,,85-95,1,J. Murray makes free throw 1 of 2
1:34.0,,,85-96,1,J. Murray makes free throw 2 of 2
1:26.0,G. Antetokounmpo makes 2-pt shot at rim,2,87-96,,
1:19.0,,,87-96,,J. Murray misses 2-pt shot from 2 ft (block by J. Terry)
1:16.0,,,87-96,,Offensive rebound by J. Murray
1:10.0,,,87-96,,W. Barton misses 3-pt shot from 26 ft
1:09.0,,,87-96,,Offensive rebound by D. Arthur
0:53.0,,,87-98,2,E. Mudiay makes 2-pt shot from 3 ft (assist by D. Arthur)
0:44.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,89-98,,
0:33.0,,,89-98,,W. Chandler misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by G. Antetokounmpo,,89-98,,
0:18.0,Turnover by G. Antetokounmpo (lost ball),,89-98,,
0:02.0,,,89-98,,W. Chandler misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by J. Parker,,89-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Technical foul by Team,,89-98,,
12:00.0,,,89-99,1,J. Murray makes technical free throw
11:39.0,J. Henson makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,91-99,,
11:25.0,,,91-99,,W. Chandler misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by M. Brogdon,,91-99,,
11:01.0,J. Henson makes 2-pt shot from 3 ft (assist by M. Brogdon),2,93-99,,
10:34.0,,,93-99,,E. Mudiay misses 2-pt shot from 12 ft (block by J. Terry)
10:33.0,,,93-99,,Offensive rebound by E. Mudiay
10:27.0,,,93-102,3,D. Arthur makes 3-pt shot from 24 ft (assist by E. Mudiay)
10:16.0,J. Terry misses 3-pt shot from 23 ft,,93-102,,
10:16.0,,,93-102,,Defensive rebound by D. Arthur
10:04.0,,,93-102,,D. Arthur misses 2-pt shot from 19 ft
10:03.0,Defensive rebound by G. Antetokounmpo,,93-102,,
9:57.0,M. Brogdon misses 3-pt shot from 23 ft,,93-102,,
9:55.0,,,93-102,,Defensive rebound by E. Mudiay
9:48.0,Personal take foul by J. Henson (drawn by E. Mudiay),,93-102,,
9:39.0,,,93-102,,J. Murray misses 2-pt shot from 14 ft
9:39.0,,,93-102,,Offensive rebound by W. Chandler
9:36.0,,,93-102,,W. Chandler misses 2-pt shot from 3 ft
9:33.0,Defensive rebound by M. Beasley,,93-102,,
9:25.0,Turnover by M. Brogdon (bad pass),,93-102,,
9:17.0,,,93-102,,D. Arthur misses 2-pt shot from 3 ft (block by M. Beasley)
9:16.0,Defensive rebound by Team,,93-102,,
9:07.0,Shooting foul by W. Chandler (drawn by J. Henson),,93-102,,
9:07.0,J. Henson makes free throw 1 of 2,1,94-102,,
9:07.0,J. Henson makes free throw 2 of 2,1,95-102,,
8:52.0,,,95-102,,E. Mudiay misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by G. Antetokounmpo,,95-102,,
8:46.0,M. Beasley misses 2-pt shot from 2 ft,,95-102,,
8:46.0,Offensive rebound by M. Beasley,,95-102,,
8:45.0,M. Beasley misses 2-pt shot from 2 ft,,95-102,,
8:44.0,Offensive rebound by Team,,95-102,,
8:44.0,Official timeout,,95-102,,
8:35.0,M. Beasley makes 2-pt shot from 12 ft,2,97-102,,
8:18.0,,,97-104,2,D. Arthur makes 2-pt shot from 19 ft (assist by W. Barton)
8:01.0,M. Brogdon misses 3-pt shot from 26 ft,,97-104,,
8:00.0,,,97-104,,Defensive rebound by E. Mudiay
7:48.0,,,97-104,,W. Barton misses 2-pt shot from 2 ft (block by J. Henson)
7:46.0,Defensive rebound by J. Terry,,97-104,,
7:44.0,Shooting foul by W. Chandler (drawn by G. Antetokounmpo),,97-104,,
7:44.0,G. Antetokounmpo makes free throw 1 of 2,1,98-104,,
7:44.0,G. Antetokounmpo makes free throw 2 of 2,1,99-104,,
7:28.0,,,99-104,,Turnover by J. Murray (traveling)
7:28.0,,,99-104,,N. Jokic enters the game for W. Barton
7:17.0,M. Beasley misses 3-pt shot from 23 ft,,99-104,,
7:16.0,,,99-104,,Defensive rebound by W. Chandler
