time,New York,pts.away,score,pts.home,New Orleans
6:47.0,,,9-9,,A. Davis misses 2-pt shot from 10 ft
6:46.0,Defensive rebound by K. Porzingis,,9-9,,
6:31.0,K. Porzingis misses 2-pt shot from 12 ft,,9-9,,
6:30.0,,,9-9,,Defensive rebound by A. Davis
6:20.0,,,9-9,,A. Davis misses 2-pt shot from 14 ft
6:20.0,Defensive rebound by K. Porzingis,,9-9,,
6:10.0,D. Rose misses 2-pt shot from 18 ft,,9-9,,
6:10.0,,,9-9,,Defensive rebound by A. Davis
6:05.0,,,9-11,2,A. Davis makes 2-pt shot from 2 ft
6:05.0,,,9-11,,Shooting foul by C. Anthony (drawn by A. Davis)
6:05.0,,,9-12,1,A. Davis makes free throw 1 of 1
5:45.0,D. Rose makes 2-pt shot from 1 ft (assist by J. Noah),2,11-12,,
5:31.0,,,11-14,2,A. Davis makes 2-pt shot from 4 ft (assist by J. Holiday)
5:26.0,New York full timeout,,11-14,,
5:26.0,J. Holiday enters the game for S. Vujacic,,11-14,,
5:19.0,C. Anthony makes 2-pt shot from 18 ft,2,13-14,,
5:03.0,,,13-16,2,J. Holiday makes 2-pt shot from 3 ft
4:52.0,Turnover by J. Noah (traveling),,13-16,,
4:42.0,,,13-19,3,B. Hield makes 3-pt shot from 25 ft (assist by A. Davis)
4:21.0,C. Anthony makes 2-pt shot from 12 ft,2,15-19,,
4:07.0,,,15-21,2,J. Holiday makes 2-pt shot from 15 ft
3:56.0,Shooting foul by S. Hill (drawn by C. Anthony),,15-21,,
3:56.0,C. Anthony makes free throw 1 of 2,1,16-21,,
3:56.0,C. Anthony makes free throw 2 of 2,1,17-21,,
3:56.0,L. Thomas enters the game for K. Porzingis,,16-21,,
3:34.0,,,17-21,,D. Cunningham misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by C. Anthony,,17-21,,
3:27.0,Shooting foul by S. Hill (drawn by C. Anthony),,17-21,,
3:27.0,C. Anthony makes free throw 1 of 2,1,18-21,,
3:27.0,C. Anthony makes free throw 2 of 2,1,19-21,,
3:27.0,,,18-21,,T. Jones enters the game for S. Hill
3:16.0,,,19-24,3,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday)
3:01.0,J. Noah misses 2-pt shot from 2 ft (block by D. Cunningham),,19-24,,
3:01.0,,,19-24,,Defensive rebound by Team
3:01.0,,,19-24,,L. Galloway enters the game for B. Hield
2:49.0,,,19-24,,L. Galloway misses 2-pt shot from 4 ft
2:48.0,Defensive rebound by J. Holiday,,19-24,,
2:38.0,C. Anthony misses 3-pt shot from 25 ft,,19-24,,
2:38.0,,,19-24,,Defensive rebound by T. Jones
2:21.0,,,19-26,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
2:06.0,J. Holiday misses 3-pt shot from 26 ft,,19-26,,
2:05.0,Offensive rebound by J. Noah,,19-26,,
1:52.0,L. Thomas misses 3-pt shot from 24 ft,,19-26,,
1:51.0,Offensive rebound by J. Holiday,,19-26,,
1:39.0,L. Thomas misses 2-pt shot from 5 ft,,19-26,,
1:38.0,,,19-26,,Defensive rebound by J. Holiday
1:30.0,,,19-26,,J. Holiday misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by J. Noah,,19-26,,
1:14.0,D. Rose misses 2-pt shot from 12 ft,,19-26,,
1:13.0,,,19-26,,Defensive rebound by A. Davis
1:05.0,,,19-29,3,L. Galloway makes 3-pt shot from 26 ft
0:44.0,D. Rose makes 2-pt shot from 2 ft,2,21-29,,
0:34.0,,,21-29,,Shooting foul by J. Noah (drawn by A. Davis)
0:34.0,,,21-29,,New Orleans full timeout
0:34.0,,,21-30,1,A. Davis makes free throw 1 of 2
0:34.0,,,21-31,1,A. Davis makes free throw 2 of 2
0:34.0,B. Jennings enters the game for J. Noah,,21-29,,
0:34.0,K. Porzingis enters the game for D. Rose,,21-29,,
0:34.0,,,21-29,,T. Evans enters the game for J. Holiday
0:16.0,K. Porzingis misses 2-pt shot from 5 ft,,21-31,,
0:15.0,,,21-31,,Defensive rebound by T. Jones
0:00.0,,,21-31,,T. Evans misses 2-pt shot from 22 ft
0:00.0,Defensive rebound by C. Anthony,,21-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-31,,T. Jones misses 2-pt shot from 17 ft (block by J. Holiday)
11:44.0,Defensive rebound by K. Porzingis,,21-31,,
11:29.0,K. Porzingis makes 2-pt shot from 17 ft (assist by B. Jennings),2,23-31,,
11:08.0,,,23-33,2,E. Moore makes 2-pt shot from 16 ft
10:51.0,K. O'Quinn misses 2-pt shot from 3 ft (block by T. Jones),,23-33,,
10:47.0,Offensive rebound by K. Porzingis,,23-33,,
10:47.0,K. Porzingis makes 2-pt shot at rim,2,25-33,,
10:42.0,,,25-35,2,T. Evans makes 2-pt shot from 2 ft
10:24.0,B. Jennings misses 3-pt shot from 25 ft,,25-35,,
10:23.0,,,25-35,,Defensive rebound by T. Jones
10:09.0,,,25-35,,Turnover by T. Evans (traveling)
9:55.0,K. Porzingis makes 2-pt shot from 14 ft (assist by B. Jennings),2,27-35,,
9:48.0,Personal foul by J. Holiday (drawn by E. Moore),,27-35,,
9:40.0,,,27-35,,L. Galloway misses 3-pt shot from 27 ft
9:38.0,Defensive rebound by K. O'Quinn,,27-35,,
9:28.0,J. Holiday misses 3-pt shot from 25 ft,,27-35,,
9:25.0,Offensive rebound by K. O'Quinn,,27-35,,
9:25.0,K. O'Quinn makes 2-pt shot from 3 ft,2,29-35,,
9:20.0,,,29-35,,New Orleans full timeout
9:07.0,,,29-38,3,T. Evans makes 3-pt shot from 25 ft (assist by L. Galloway)
8:41.0,L. Thomas makes 3-pt shot from 24 ft (assist by J. Holiday),3,32-38,,
8:25.0,,,32-38,,S. Hill misses 3-pt shot from 27 ft
8:24.0,Defensive rebound by J. Holiday,,32-38,,
8:15.0,K. Porzingis misses 2-pt shot from 9 ft,,32-38,,
8:15.0,,,32-38,,Defensive rebound by T. Jones
8:05.0,,,32-38,,E. Moore misses 2-pt shot from 7 ft
8:03.0,Defensive rebound by J. Holiday,,32-38,,
7:57.0,B. Jennings misses 2-pt shot from 18 ft,,32-38,,
7:57.0,Offensive rebound by Team,,32-38,,
7:57.0,,,32-38,,Personal foul by L. Galloway (drawn by K. O'Quinn)
7:50.0,J. Holiday misses 3-pt shot from 25 ft,,32-38,,
7:50.0,,,32-38,,Defensive rebound by T. Evans
7:39.0,,,32-40,2,T. Evans makes 2-pt shot from 1 ft
7:16.0,L. Thomas makes 2-pt shot from 3 ft,2,34-40,,
7:08.0,,,34-43,3,T. Evans makes 3-pt shot from 25 ft
6:53.0,K. O'Quinn misses 2-pt shot from 20 ft,,34-43,,
6:52.0,,,34-43,,Defensive rebound by T. Evans
6:45.0,,,34-46,3,E. Moore makes 3-pt shot from 24 ft (assist by T. Evans)
6:45.0,New York full timeout,,34-46,,
6:45.0,D. Rose enters the game for J. Holiday,,34-46,,
6:45.0,C. Anthony enters the game for L. Thomas,,34-46,,
6:45.0,S. Vujacic enters the game for K. O'Quinn,,34-46,,
6:36.0,,,34-46,,D. Cunningham enters the game for S. Hill
6:26.0,S. Vujacic makes 3-pt shot from 26 ft (assist by C. Anthony),3,37-46,,
6:12.0,,,37-46,,L. Galloway misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by C. Anthony,,37-46,,
5:49.0,C. Anthony makes 3-pt shot from 25 ft (assist by K. Porzingis),3,40-46,,
5:39.0,Personal foul by S. Vujacic (drawn by T. Evans),,40-46,,
5:39.0,,,40-46,,A. Davis enters the game for T. Jones
5:39.0,,,40-46,,J. Holiday enters the game for L. Galloway
5:26.0,,,40-46,,J. Holiday misses 2-pt shot from 8 ft
5:26.0,Defensive rebound by D. Rose,,40-46,,
5:17.0,D. Rose misses 2-pt shot from 1 ft,,40-46,,
5:17.0,,,40-46,,Defensive rebound by J. Holiday
5:11.0,,,40-46,,T. Evans misses 2-pt shot from 2 ft (block by S. Vujacic)
5:11.0,,,40-46,,Offensive rebound by Team
5:11.0,J. Noah enters the game for K. Porzingis,,40-46,,
5:08.0,,,40-48,2,A. Davis makes 2-pt shot from 19 ft (assist by T. Evans)
4:58.0,,,40-48,,Personal foul by D. Cunningham (drawn by C. Anthony)
4:58.0,,,40-48,,B. Hield enters the game for T. Evans
4:48.0,B. Jennings makes 2-pt shot from 17 ft (assist by S. Vujacic),2,42-48,,
4:30.0,,,42-48,,B. Hield misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by C. Anthony,,42-48,,
4:18.0,C. Anthony misses 2-pt shot from 17 ft,,42-48,,
4:17.0,,,42-48,,Defensive rebound by A. Davis
4:11.0,,,42-48,,Turnover by A. Davis (bad pass)
3:55.0,Offensive foul by J. Noah,,42-48,,
3:55.0,Turnover by J. Noah (offensive foul),,42-48,,
3:55.0,K. Porzingis enters the game for J. Noah,,42-48,,
3:38.0,Personal block foul by S. Vujacic (drawn by B. Hield),,42-48,,
3:31.0,Personal foul by D. Rose (drawn by A. Davis),,42-48,,
3:20.0,,,42-48,,A. Davis misses 2-pt shot from 4 ft
3:20.0,Defensive rebound by K. Porzingis,,42-48,,
3:05.0,C. Anthony makes 2-pt shot from 15 ft (assist by S. Vujacic),2,44-48,,
2:54.0,,,44-48,,J. Holiday misses 2-pt shot from 3 ft (block by K. Porzingis)
2:53.0,Defensive rebound by D. Rose,,44-48,,
2:45.0,D. Rose misses 2-pt shot from 3 ft (block by J. Holiday),,44-48,,
2:45.0,Offensive rebound by Team,,44-48,,
2:45.0,Official timeout,,44-48,,
2:39.0,C. Anthony misses 2-pt shot from 16 ft,,44-48,,
2:38.0,,,44-48,,Defensive rebound by B. Hield
2:22.0,,,44-48,,E. Moore misses 2-pt shot from 4 ft
2:22.0,Defensive rebound by K. Porzingis,,44-48,,
2:22.0,Jump ball: E. Moore vs. K. Porzingis (S. Vujacic gains possession),,,,Jump ball: E. Moore vs. K. Porzingis (S. Vujacic gains possession)
2:07.0,D. Rose makes 2-pt shot at rim,2,46-48,,
2:01.0,,,46-48,,Turnover by A. Davis (lost ball; steal by K. Porzingis)
1:59.0,Shooting foul by A. Davis (drawn by K. Porzingis),,46-48,,
1:59.0,K. Porzingis makes free throw 1 of 2,1,47-48,,
1:59.0,K. Porzingis makes free throw 2 of 2,1,48-48,,
1:44.0,,,48-48,,E. Moore misses 2-pt shot from 6 ft
1:44.0,Defensive rebound by C. Anthony,,48-48,,
1:38.0,B. Jennings makes 3-pt shot from 25 ft (assist by C. Anthony),3,51-48,,
1:32.0,,,51-48,,New Orleans full timeout
1:23.0,,,51-50,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
1:02.0,Turnover by D. Rose (bad pass),,51-50,,
0:51.0,,,51-52,2,J. Holiday makes 2-pt shot at rim
0:28.0,K. Porzingis misses 2-pt shot from 12 ft,,51-52,,
0:28.0,,,51-52,,Defensive rebound by A. Davis
0:08.0,,,51-55,3,E. Moore makes 3-pt shot from 29 ft (assist by J. Holiday)
0:04.0,B. Jennings misses 2-pt shot from 3 ft,,51-55,,
0:03.0,,,51-55,,Defensive rebound by E. Moore
0:00.0,,,51-55,,E. Moore misses 3-pt shot from 26 ft
0:00.0,,,51-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,51-55,,Turnover by A. Davis (bad pass; steal by K. Porzingis)
11:28.0,C. Anthony makes 2-pt shot from 19 ft (assist by K. Porzingis),2,53-55,,
11:07.0,,,53-57,2,B. Hield makes 2-pt shot from 13 ft
10:44.0,D. Rose misses 3-pt shot from 26 ft,,53-57,,
10:43.0,,,53-57,,Defensive rebound by A. Davis
10:33.0,,,53-57,,B. Hield misses 3-pt shot from 26 ft
10:32.0,Defensive rebound by C. Anthony,,53-57,,
10:20.0,C. Anthony misses 2-pt shot from 20 ft,,53-57,,
10:18.0,,,53-57,,Defensive rebound by D. Cunningham
10:07.0,,,53-57,,A. Davis misses 2-pt shot from 18 ft
10:07.0,Defensive rebound by K. Porzingis,,53-57,,
9:51.0,K. Porzingis misses 2-pt shot from 14 ft,,53-57,,
9:50.0,,,53-57,,Defensive rebound by J. Holiday
9:46.0,,,53-57,,Shooting foul by K. Porzingis (drawn by B. Hield)
9:46.0,,,53-58,1,B. Hield makes free throw 1 of 2
9:46.0,,,53-59,1,B. Hield makes free throw 2 of 2
9:29.0,D. Rose misses 2-pt shot from 9 ft (block by J. Holiday),,53-59,,
9:27.0,,,53-59,,Defensive rebound by A. Davis
9:16.0,,,53-59,,B. Hield misses 2-pt shot from 20 ft
9:16.0,Defensive rebound by Team,,53-59,,
8:56.0,D. Rose misses 2-pt shot from 6 ft,,53-59,,
8:54.0,Offensive rebound by J. Noah,,53-59,,
8:54.0,J. Noah misses 2-pt shot from 1 ft,,53-59,,
8:51.0,Offensive rebound by J. Noah,,53-59,,
8:49.0,Turnover by J. Noah (bad pass; steal by D. Cunningham),,53-59,,
8:43.0,,,53-59,,A. Davis misses 2-pt shot from 2 ft (block by J. Noah)
8:43.0,,,53-59,,Offensive rebound by Team
8:43.0,W. Hernangomez enters the game for J. Noah,,53-59,,
8:37.0,,,53-59,,B. Hield misses 2-pt shot from 1 ft (block by K. Porzingis)
8:36.0,Defensive rebound by S. Vujacic,,53-59,,
8:30.0,Turnover by D. Rose (step out of bounds),,53-59,,
8:18.0,,,53-61,2,S. Hill makes 2-pt shot from 3 ft (assist by J. Holiday)
7:59.0,K. Porzingis misses 2-pt shot from 13 ft,,53-61,,
7:59.0,,,53-61,,Defensive rebound by A. Davis
7:53.0,,,53-63,2,J. Holiday makes 2-pt shot from 2 ft
7:53.0,New York full timeout,,53-63,,
7:34.0,Turnover by C. Anthony (back court),,53-63,,
7:20.0,,,53-63,,A. Davis misses 2-pt shot from 3 ft
7:20.0,Defensive rebound by C. Anthony,,53-63,,
6:57.0,C. Anthony misses 2-pt shot from 16 ft,,53-63,,
6:57.0,Offensive rebound by Team,,53-63,,
6:57.0,B. Jennings enters the game for S. Vujacic,,53-63,,
6:51.0,K. Porzingis misses 2-pt shot from 17 ft,,53-63,,
6:50.0,,,53-63,,Defensive rebound by A. Davis
6:40.0,,,53-63,,Turnover by J. Holiday (bad pass)
6:28.0,C. Anthony misses 3-pt shot from 25 ft,,53-63,,
6:27.0,,,53-63,,Defensive rebound by D. Cunningham
6:19.0,,,53-65,2,S. Hill makes 2-pt shot from 2 ft (assist by J. Holiday)
5:52.0,C. Anthony misses 2-pt shot from 17 ft,,53-65,,
5:51.0,,,53-65,,Defensive rebound by B. Hield
5:38.0,,,53-68,3,S. Hill makes 3-pt shot from 28 ft (assist by J. Holiday)
5:18.0,D. Rose makes 2-pt shot from 1 ft,2,55-68,,
5:18.0,Shooting foul by A. Davis (drawn by D. Rose),,55-68,,
5:18.0,D. Rose makes free throw 1 of 1,1,56-68,,
5:18.0,J. Holiday enters the game for K. Porzingis,,55-68,,
5:08.0,,,56-70,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
4:59.0,Turnover by W. Hernangomez (lost ball; steal by A. Davis),,56-70,,
4:51.0,,,56-70,,D. Cunningham misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by Team,,56-70,,
4:51.0,,,56-70,,E. Moore enters the game for D. Cunningham
4:38.0,Shooting foul by E. Moore (drawn by C. Anthony),,56-70,,
4:38.0,C. Anthony makes free throw 1 of 2,1,57-70,,
4:38.0,C. Anthony makes free throw 2 of 2,1,58-70,,
4:26.0,,,58-70,,Turnover by E. Moore (bad pass)
4:17.0,Shooting foul by S. Hill (drawn by C. Anthony),,58-70,,
4:17.0,C. Anthony makes free throw 1 of 2,1,59-70,,
4:17.0,C. Anthony makes free throw 2 of 2,1,60-70,,
4:00.0,,,60-70,,Shooting foul by J. Holiday (drawn by B. Hield)
4:00.0,,,60-71,1,B. Hield makes free throw 1 of 2
4:00.0,,,60-72,1,B. Hield makes free throw 2 of 2
3:46.0,J. Holiday makes 2-pt shot from 14 ft (assist by B. Jennings),2,62-72,,
3:37.0,,,62-74,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore)
3:37.0,,,62-74,,Shooting foul by W. Hernangomez (drawn by A. Davis)
3:37.0,,,62-74,,A. Davis misses free throw 1 of 1
3:35.0,Defensive rebound by W. Hernangomez,,62-74,,
3:13.0,C. Anthony misses 2-pt shot from 2 ft,,62-74,,
3:12.0,Offensive rebound by W. Hernangomez,,62-74,,
3:12.0,W. Hernangomez makes 2-pt shot from 2 ft,2,64-74,,
3:05.0,,,64-74,,Turnover by E. Moore (bad pass; steal by D. Rose)
2:57.0,C. Anthony misses 3-pt shot from 26 ft,,64-74,,
2:55.0,,,64-74,,Defensive rebound by A. Davis
2:44.0,,,64-76,2,E. Moore makes 2-pt shot from 3 ft (assist by B. Hield)
2:28.0,D. Rose misses 2-pt shot from 20 ft,,64-76,,
2:28.0,,,64-76,,Defensive rebound by E. Moore
2:15.0,,,64-76,,Turnover by A. Davis (bad pass; steal by D. Rose)
2:09.0,Turnover by D. Rose (bad pass),,64-76,,
2:09.0,,,64-76,,New Orleans full timeout
2:09.0,K. Porzingis enters the game for W. Hernangomez,,64-76,,
2:09.0,,,64-76,,T. Evans enters the game for B. Hield
2:09.0,,,64-76,,L. Galloway enters the game for J. Holiday
1:51.0,,,64-76,,T. Evans misses 3-pt shot from 27 ft
1:50.0,Defensive rebound by K. Porzingis,,64-76,,
1:28.0,C. Anthony makes 2-pt shot from 4 ft,2,66-76,,
1:11.0,,,66-76,,A. Davis misses 2-pt shot from 9 ft
1:11.0,Defensive rebound by J. Holiday,,66-76,,
1:00.0,J. Holiday misses 3-pt shot from 25 ft,,66-76,,
1:00.0,,,66-76,,Defensive rebound by E. Moore
0:58.0,Personal foul by B. Jennings (drawn by E. Moore),,66-76,,
0:58.0,,,66-76,,Violation by Team (jump ball)
0:58.0,,,66-76,,T. Jones enters the game for A. Davis
0:52.0,,,66-76,,S. Hill misses 3-pt shot from 26 ft
0:52.0,Defensive rebound by B. Jennings,,66-76,,
0:45.0,B. Jennings misses 2-pt shot from 2 ft,,66-76,,
0:42.0,Offensive rebound by K. Porzingis,,66-76,,
0:33.0,C. Anthony misses 2-pt shot from 2 ft,,66-76,,
0:32.0,Offensive rebound by K. Porzingis,,66-76,,
0:29.0,J. Holiday makes 3-pt shot from 24 ft (assist by K. Porzingis),3,69-76,,
0:07.0,,,69-79,3,S. Hill makes 3-pt shot from 25 ft (assist by T. Evans)
0:02.0,Turnover by C. Anthony (lost ball),,69-79,,
0:00.0,,,69-79,,T. Evans misses 3-pt shot from 27 ft
0:00.0,,,69-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,K. Porzingis misses 2-pt shot from 12 ft,,69-79,,
11:43.0,,,69-79,,Defensive rebound by T. Evans
11:28.0,,,69-79,,L. Galloway misses 3-pt shot from 26 ft
11:28.0,Defensive rebound by S. Vujacic,,69-79,,
11:14.0,C. Anthony makes 2-pt shot from 12 ft,2,71-79,,
10:57.0,,,71-79,,Turnover by L. Galloway (lost ball; steal by S. Vujacic)
10:51.0,B. Jennings misses 2-pt shot from 2 ft,,71-79,,
10:48.0,,,71-79,,Defensive rebound by L. Galloway
10:44.0,,,71-81,2,T. Evans makes 2-pt shot from 3 ft
10:22.0,K. Porzingis misses 2-pt shot from 14 ft,,71-81,,
10:22.0,,,71-81,,Defensive rebound by T. Evans
10:16.0,,,71-81,,Turnover by T. Jones (bad pass)
10:04.0,Turnover by B. Jennings (lost ball),,71-81,,
9:55.0,,,71-81,,Shooting foul by C. Anthony (drawn by T. Evans)
9:55.0,,,71-82,1,T. Evans makes free throw 1 of 2
9:55.0,,,71-83,1,T. Evans makes free throw 2 of 2
9:33.0,C. Anthony misses 2-pt shot from 2 ft,,71-83,,
9:32.0,Offensive rebound by C. Anthony,,71-83,,
9:32.0,C. Anthony makes 2-pt shot from 2 ft,2,73-83,,
9:15.0,,,73-83,,T. Jones misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by B. Jennings,,73-83,,
9:09.0,K. Porzingis makes 2-pt shot at rim (assist by J. Holiday),2,75-83,,
8:58.0,,,75-83,,Shooting foul by K. Porzingis (drawn by T. Evans)
8:58.0,Official timeout,,75-83,,
8:58.0,,,75-83,,Technical foul by T. Jones
8:58.0,Technical foul by S. Vujacic,,75-83,,
8:58.0,,,75-84,1,T. Evans makes free throw 1 of 2
8:58.0,,,75-85,1,T. Evans makes free throw 2 of 2
8:39.0,C. Anthony misses 2-pt shot from 14 ft,,75-85,,
8:38.0,,,75-85,,Defensive rebound by Team
8:21.0,,,75-87,2,T. Jones makes 2-pt shot from 2 ft (assist by T. Evans)
8:21.0,,,75-87,,Shooting foul by K. Porzingis (drawn by T. Jones)
8:21.0,,,75-88,1,T. Jones makes free throw 1 of 1
8:21.0,L. Thomas enters the game for C. Anthony,,75-87,,
8:07.0,D. Rose enters the game for S. Vujacic,,75-88,,
8:07.0,,,75-88,,J. Holiday enters the game for T. Evans
7:55.0,D. Rose misses 2-pt shot from 1 ft,,75-88,,
7:54.0,,,75-88,,Defensive rebound by D. Cunningham
7:44.0,,,75-91,3,L. Galloway makes 3-pt shot from 26 ft (assist by T. Jones)
7:24.0,K. Porzingis makes 2-pt shot from 13 ft (assist by J. Holiday),2,77-91,,
7:16.0,,,77-91,,E. Moore misses 2-pt shot from 23 ft
7:13.0,Defensive rebound by J. Holiday,,77-91,,
7:08.0,D. Rose makes 2-pt shot from 2 ft,2,79-91,,
6:56.0,,,79-93,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Holiday)
6:44.0,Shooting foul by J. Holiday (drawn by K. Porzingis),,79-93,,
6:44.0,K. Porzingis makes free throw 1 of 2,1,80-93,,
6:44.0,K. Porzingis makes free throw 2 of 2,1,81-93,,
6:22.0,,,81-95,2,E. Moore makes 2-pt shot from 16 ft
6:10.0,L. Thomas misses 2-pt shot from 22 ft,,81-95,,
6:08.0,,,81-95,,Defensive rebound by L. Galloway
6:00.0,,,81-95,,T. Jones misses 2-pt shot from 3 ft
5:58.0,Defensive rebound by B. Jennings,,81-95,,
5:47.0,D. Rose misses 2-pt shot from 20 ft,,81-95,,
5:47.0,,,81-95,,Defensive rebound by J. Holiday
5:47.0,Loose ball foul by K. Porzingis (drawn by J. Holiday),,81-95,,
5:47.0,,,81-95,,New Orleans full timeout
5:47.0,,,81-95,,A. Davis enters the game for D. Cunningham
5:46.0,C. Anthony enters the game for K. Porzingis,,81-95,,
5:25.0,,,81-95,,T. Jones misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by J. Holiday,,81-95,,
5:06.0,J. Holiday misses 3-pt shot from 27 ft,,81-95,,
5:05.0,,,81-95,,Defensive rebound by A. Davis
4:53.0,,,81-95,,Shooting foul by C. Anthony (drawn by J. Holiday)
4:53.0,,,81-96,1,J. Holiday makes free throw 1 of 2
4:53.0,,,81-97,1,J. Holiday makes free throw 2 of 2
4:53.0,,,81-96,,S. Hill enters the game for E. Moore
4:42.0,B. Jennings misses 3-pt shot from 25 ft,,81-97,,
4:42.0,,,81-97,,Defensive rebound by Team
4:42.0,,,81-97,,T. Evans enters the game for T. Jones
4:26.0,,,81-97,,Offensive foul by A. Davis
4:26.0,,,81-97,,Turnover by A. Davis (offensive foul)
4:14.0,D. Rose makes 2-pt shot from 2 ft,2,83-97,,
4:01.0,,,83-97,,L. Galloway misses 3-pt shot from 23 ft
4:01.0,Defensive rebound by L. Thomas,,83-97,,
3:48.0,J. Holiday makes 3-pt shot from 23 ft (assist by D. Rose),3,86-97,,
3:34.0,Personal foul by D. Rose (drawn by A. Davis),,86-97,,
3:34.0,,,86-98,1,A. Davis makes free throw 1 of 2
3:34.0,,,86-99,1,A. Davis makes free throw 2 of 2
3:22.0,Shooting foul by S. Hill (drawn by C. Anthony),,86-99,,
3:22.0,C. Anthony misses free throw 1 of 2,,86-99,,
3:22.0,Offensive rebound by Team,,86-99,,
3:22.0,C. Anthony makes free throw 2 of 2,1,87-99,,
3:22.0,K. Porzingis enters the game for B. Jennings,,86-99,,
3:02.0,,,87-99,,L. Galloway misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by C. Anthony,,87-99,,
2:51.0,D. Rose misses 2-pt shot from 18 ft,,87-99,,
2:50.0,,,87-99,,Defensive rebound by A. Davis
2:40.0,,,87-99,,Turnover by S. Hill (bad pass; steal by C. Anthony)
2:37.0,Shooting foul by S. Hill (drawn by K. Porzingis),,87-99,,
2:37.0,K. Porzingis makes 2-pt shot at rim (assist by J. Holiday),2,89-99,,
2:37.0,New York full timeout,,89-99,,
2:37.0,K. Porzingis makes free throw 1 of 1,1,90-99,,
2:37.0,,,89-99,,D. Cunningham enters the game for L. Galloway
2:37.0,,,89-99,,E. Moore enters the game for S. Hill
2:16.0,,,90-99,,A. Davis misses 2-pt shot from 2 ft
