time,Oklahoma City,pts.away,score,pts.home,Phoenix
2:53.0,Shooting foul by M. Chriss (drawn by E. Kanter),,23-12,,
2:53.0,Oklahoma City full timeout,,23-12,,
2:53.0,E. Kanter makes free throw 1 of 1,1,24-12,,
2:53.0,,,23-12,,J. Dudley enters the game for M. Chriss
2:53.0,,,23-12,,T. Ulis enters the game for E. Bledsoe
2:53.0,N. Cole enters the game for R. Westbrook,,23-12,,
2:39.0,,,24-12,,Turnover by D. Booker (bad pass)
2:25.0,Turnover by T. Gibson (bad pass; steal by T. Ulis),,24-12,,
2:22.0,,,24-12,,Shooting foul by N. Cole (drawn by T. Ulis)
2:22.0,,,24-13,1,T. Ulis makes free throw 1 of 2
2:22.0,,,24-14,1,T. Ulis makes free throw 2 of 2
2:06.0,N. Cole misses 3-pt shot from 24 ft,,24-14,,
2:04.0,Offensive rebound by A. Roberson,,24-14,,
2:02.0,Jump ball: A. Roberson vs. A. Williams (D. Booker gains possession),,,,Jump ball: A. Roberson vs. A. Williams (D. Booker gains possession)
2:02.0,Turnover by A. Roberson (lost ball; steal by A. Williams),,24-14,,
1:39.0,,,24-16,2,A. Williams makes 2-pt shot from 2 ft (assist by J. Dudley)
1:26.0,Shooting foul by T. Warren (drawn by T. Gibson),,24-16,,
1:26.0,T. Gibson misses free throw 1 of 2,,24-16,,
1:26.0,Offensive rebound by Team,,24-16,,
1:26.0,T. Gibson makes free throw 2 of 2,1,25-16,,
1:13.0,,,25-18,2,T. Ulis makes 2-pt shot from 2 ft
1:07.0,N. Cole makes 2-pt shot from 2 ft,2,27-18,,
0:56.0,Personal foul by N. Cole (drawn by D. Booker),,27-18,,
0:56.0,,,27-19,1,D. Booker makes free throw 1 of 2
0:56.0,,,27-20,1,D. Booker makes free throw 2 of 2
0:34.0,T. Gibson misses 2-pt shot from 5 ft (block by A. Williams),,27-20,,
0:32.0,,,27-20,,Defensive rebound by T. Ulis
0:28.0,,,27-23,3,D. Booker makes 3-pt shot from 25 ft (assist by J. Dudley)
0:14.0,A. Roberson misses 3-pt shot from 26 ft,,27-23,,
0:11.0,,,27-23,,Defensive rebound by J. Dudley
0:05.0,,,27-23,,D. Booker misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by A. Roberson,,27-23,,
0:03.0,,,27-23,,Personal foul by A. Williams (drawn by A. Roberson)
0:03.0,A. Roberson misses free throw 1 of 2,,27-23,,
0:03.0,Offensive rebound by Team,,27-23,,
0:03.0,A. Roberson makes free throw 2 of 2,1,28-23,,
0:01.0,,,28-23,,D. Booker misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by Team,,28-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by N. Cole (drawn by T. Ulis),,28-23,,
11:33.0,,,28-23,,A. Williams misses 2-pt shot from 6 ft
11:30.0,Defensive rebound by E. Kanter,,28-23,,
11:25.0,Turnover by T. Gibson (offensive foul),,28-23,,
11:25.0,Offensive foul by T. Gibson,,28-23,,
11:05.0,,,28-25,2,J. Dudley makes 2-pt shot from 22 ft (assist by D. Jones)
10:48.0,J. Grant misses 2-pt shot from 7 ft (block by A. Williams),,28-25,,
10:47.0,Offensive rebound by J. Grant,,28-25,,
10:47.0,Jump ball: J. Dudley vs. J. Grant (E. Kanter gains possession),,,,Jump ball: J. Dudley vs. J. Grant (E. Kanter gains possession)
10:40.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Grant),2,30-25,,
10:21.0,,,30-27,2,T. Ulis makes 2-pt shot from 13 ft
10:04.0,N. Cole misses 2-pt shot from 9 ft (block by J. Dudley),,30-27,,
10:03.0,,,30-27,,Defensive rebound by Team
10:03.0,A. Abrines enters the game for T. Gibson,,30-27,,
9:55.0,,,30-27,,Offensive foul by A. Williams
9:55.0,,,30-27,,Turnover by A. Williams (offensive foul)
9:34.0,E. Kanter makes 2-pt shot from 5 ft (assist by J. Grant),2,32-27,,
9:21.0,,,32-29,2,A. Williams makes 2-pt shot from 2 ft (assist by T. Ulis)
9:12.0,N. Cole misses 2-pt shot from 2 ft,,32-29,,
9:09.0,,,32-29,,Defensive rebound by T. Ulis
9:02.0,,,32-29,,T. Ulis misses 2-pt shot from 20 ft
9:00.0,,,32-29,,Offensive rebound by A. Williams
8:58.0,,,32-29,,A. Williams misses 2-pt shot from 1 ft
8:56.0,,,32-29,,Offensive rebound by A. Williams
8:56.0,,,32-29,,A. Williams misses 2-pt shot from 2 ft
8:54.0,Defensive rebound by N. Cole,,32-29,,
8:48.0,J. Grant misses 2-pt shot from 18 ft,,32-29,,
8:45.0,,,32-29,,Defensive rebound by A. Williams
8:31.0,,,32-31,2,L. Barbosa makes 2-pt shot from 22 ft
8:25.0,Oklahoma City full timeout,,32-31,,
8:25.0,R. Westbrook enters the game for N. Cole,,32-31,,
8:23.0,,,32-31,,Personal foul by D. Jones (drawn by R. Westbrook)
8:13.0,J. Grant misses 3-pt shot from 26 ft,,32-31,,
8:11.0,,,32-31,,Defensive rebound by J. Dudley
7:51.0,,,32-33,2,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis)
7:40.0,R. Westbrook makes 2-pt shot from 2 ft,2,34-33,,
7:26.0,,,34-33,,L. Barbosa misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by R. Westbrook,,34-33,,
7:16.0,J. Grant misses 3-pt shot from 25 ft,,34-33,,
7:15.0,Offensive rebound by E. Kanter,,34-33,,
7:14.0,Shooting foul by A. Williams (drawn by E. Kanter),,34-33,,
7:14.0,E. Kanter makes free throw 1 of 2,1,35-33,,
7:14.0,E. Kanter makes free throw 2 of 2,1,36-33,,
7:14.0,,,35-33,,M. Chriss enters the game for A. Williams
6:57.0,,,36-35,2,M. Chriss makes 2-pt shot from 5 ft (assist by J. Dudley)
6:43.0,Offensive foul by R. Westbrook,,36-35,,
6:43.0,Turnover by R. Westbrook (offensive foul),,36-35,,
6:34.0,,,36-35,,Offensive charge foul by T. Ulis
6:34.0,,,36-35,,Turnover by T. Ulis (offensive foul)
6:34.0,,,36-35,,Technical foul by D. Jones
6:34.0,Technical foul by R. Westbrook,,36-35,,
6:14.0,D. McDermott misses 3-pt shot from 26 ft,,36-35,,
6:12.0,,,36-35,,Defensive rebound by T. Ulis
6:08.0,,,36-37,2,M. Chriss makes 2-pt shot from 2 ft (assist by T. Ulis)
6:07.0,Oklahoma City full timeout,,36-37,,
5:59.0,E. Kanter misses 2-pt shot from 16 ft,,36-37,,
5:57.0,,,36-37,,Defensive rebound by L. Barbosa
5:41.0,,,36-39,2,T. Ulis makes 2-pt shot from 2 ft
5:33.0,Offensive foul by J. Grant,,36-39,,
5:33.0,Turnover by J. Grant (offensive foul),,36-39,,
5:33.0,Official timeout,,36-39,,
5:33.0,Technical foul by Team,,36-39,,
5:33.0,,,36-40,1,L. Barbosa makes technical free throw
5:33.0,T. Gibson enters the game for E. Kanter,,36-39,,
5:33.0,S. Adams enters the game for J. Grant,,36-39,,
5:25.0,,,36-40,,L. Barbosa misses 2-pt shot from 4 ft
5:22.0,,,36-40,,Offensive rebound by D. Jones
5:22.0,,,36-42,2,D. Jones makes 2-pt shot at rim
5:10.0,R. Westbrook misses 2-pt shot from 6 ft (block by M. Chriss),,36-42,,
5:09.0,Offensive rebound by Team,,36-42,,
5:04.0,R. Westbrook misses 3-pt shot from 26 ft,,36-42,,
5:03.0,Offensive rebound by T. Gibson,,36-42,,
5:03.0,,,36-42,,Personal foul by T. Ulis (drawn by T. Gibson)
4:56.0,,,36-42,,Personal foul by J. Dudley (drawn by R. Westbrook)
4:45.0,T. Gibson makes 2-pt shot at rim (assist by S. Adams),2,38-42,,
4:33.0,,,38-44,2,T. Ulis makes 2-pt shot from 2 ft
4:24.0,,,38-44,,Personal foul by D. Jones (drawn by R. Westbrook)
4:24.0,R. Westbrook makes free throw 1 of 2,1,39-44,,
4:24.0,R. Westbrook makes free throw 2 of 2,1,40-44,,
4:24.0,A. Roberson enters the game for D. McDermott,,39-44,,
4:24.0,,,39-44,,D. Booker enters the game for L. Barbosa
4:11.0,,,40-44,,Turnover by T. Ulis (bad pass; steal by A. Abrines)
4:07.0,Turnover by A. Roberson (bad pass; steal by M. Chriss),,40-44,,
4:05.0,,,40-46,2,D. Jones makes 2-pt shot from 1 ft (assist by J. Dudley)
3:55.0,Shooting foul by D. Jones (drawn by R. Westbrook),,40-46,,
3:55.0,R. Westbrook makes free throw 1 of 3,1,41-46,,
3:55.0,R. Westbrook makes free throw 2 of 3,1,42-46,,
3:55.0,R. Westbrook makes free throw 3 of 3,1,43-46,,
3:55.0,,,42-46,,E. Bledsoe enters the game for D. Jones
3:43.0,,,43-48,2,D. Booker makes 2-pt shot from 18 ft (assist by T. Ulis)
3:29.0,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,46-48,,
3:08.0,,,46-50,2,J. Dudley makes 2-pt shot from 17 ft
3:02.0,Offensive foul by S. Adams,,46-50,,
3:02.0,Turnover by S. Adams (offensive foul),,46-50,,
2:38.0,,,46-50,,D. Booker misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by T. Gibson,,46-50,,
2:26.0,Turnover by T. Gibson (lost ball; steal by T. Ulis),,46-50,,
2:24.0,,,46-50,,Phoenix full timeout
2:24.0,,,46-50,,T. Warren enters the game for J. Dudley
2:24.0,Jump ball: T. Gibson vs. T. Ulis (R. Westbrook gains possession),,,,Jump ball: T. Gibson vs. T. Ulis (R. Westbrook gains possession)
2:24.0,,,46-50,,Turnover by T. Ulis (lost ball; steal by T. Gibson)
2:17.0,Shooting foul by E. Bledsoe (drawn by S. Adams),,46-50,,
2:17.0,S. Adams misses free throw 1 of 2,,46-50,,
2:17.0,Offensive rebound by Team,,46-50,,
2:17.0,S. Adams makes free throw 2 of 2,1,47-50,,
1:59.0,,,47-52,2,T. Ulis makes 2-pt shot from 18 ft
1:43.0,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook),3,50-52,,
1:33.0,Personal foul by A. Abrines (drawn by E. Bledsoe),,50-52,,
1:33.0,,,50-52,,A. Len enters the game for T. Ulis
1:33.0,E. Kanter enters the game for T. Gibson,,50-52,,
1:20.0,,,50-54,2,A. Len makes 2-pt shot from 15 ft (assist by T. Warren)
1:13.0,Turnover by R. Westbrook (lost ball; steal by M. Chriss),,50-54,,
1:09.0,,,50-56,2,T. Warren makes 2-pt shot from 2 ft (assist by M. Chriss)
0:56.0,A. Abrines misses 3-pt shot from 26 ft,,50-56,,
0:49.0,,,50-56,,Defensive rebound by D. Booker
0:37.0,,,50-58,2,E. Bledsoe makes 2-pt shot from 1 ft
0:31.0,R. Westbrook makes 2-pt shot from 2 ft,2,52-58,,
0:08.0,,,52-58,,M. Chriss misses 2-pt shot at rim
0:07.0,Defensive rebound by R. Westbrook,,52-58,,
0:02.0,R. Westbrook makes 3-pt shot from 25 ft,3,55-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Violation by D. Sabonis (kicked ball),,55-58,,
11:37.0,,,55-60,2,T. Warren makes 2-pt shot from 13 ft (assist by E. Bledsoe)
11:25.0,A. Abrines misses 3-pt shot from 24 ft,,55-60,,
11:23.0,,,55-60,,Defensive rebound by M. Chriss
11:11.0,,,55-60,,A. Len misses 2-pt shot from 17 ft
11:08.0,,,55-60,,Offensive rebound by T. Warren
11:06.0,,,55-63,3,M. Chriss makes 3-pt shot from 24 ft (assist by T. Warren)
10:52.0,,,55-63,,Personal foul by M. Chriss (drawn by A. Abrines)
10:38.0,R. Westbrook misses 3-pt shot from 30 ft,,55-63,,
10:36.0,,,55-63,,Defensive rebound by Team
10:30.0,Personal block foul by A. Abrines,,55-63,,
10:30.0,D. McDermott enters the game for A. Abrines,,55-63,,
10:25.0,,,55-65,2,T. Warren makes 2-pt shot from 18 ft (assist by E. Bledsoe)
10:05.0,,,55-65,,Personal foul by A. Len (drawn by A. Roberson)
9:59.0,D. McDermott misses 2-pt shot from 14 ft,,55-65,,
9:58.0,Offensive rebound by D. Sabonis,,55-65,,
9:58.0,Shooting foul by A. Len (drawn by D. Sabonis),,55-65,,
9:58.0,D. Sabonis makes free throw 1 of 2,1,56-65,,
9:58.0,D. Sabonis misses free throw 2 of 2,,56-65,,
9:57.0,,,56-65,,Defensive rebound by M. Chriss
9:41.0,,,56-65,,Shooting foul by D. McDermott (drawn by A. Len)
9:41.0,,,56-66,1,A. Len makes free throw 1 of 2
9:41.0,,,56-67,1,A. Len makes free throw 2 of 2
9:31.0,R. Westbrook misses 2-pt shot from 17 ft,,56-67,,
9:30.0,,,56-67,,Defensive rebound by D. Booker
9:20.0,Personal foul by A. Roberson (drawn by D. Booker),,56-67,,
9:16.0,,,56-67,,T. Warren misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by S. Adams,,56-67,,
9:08.0,D. Sabonis makes 3-pt shot from 24 ft (assist by R. Westbrook),3,59-67,,
8:48.0,,,59-67,,Turnover by D. Booker (bad pass; steal by R. Westbrook)
8:43.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,61-67,,
8:19.0,,,61-67,,M. Chriss misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by R. Westbrook,,61-67,,
8:11.0,Shooting foul by D. Booker (drawn by S. Adams),,61-67,,
8:11.0,S. Adams makes free throw 1 of 2,1,62-67,,
8:11.0,S. Adams misses free throw 2 of 2,,62-67,,
8:10.0,,,62-67,,Defensive rebound by T. Warren
7:51.0,,,62-67,,E. Bledsoe misses 2-pt shot from 20 ft
7:49.0,Defensive rebound by S. Adams,,62-67,,
7:45.0,R. Westbrook misses 3-pt shot from 25 ft,,62-67,,
7:41.0,,,62-67,,Defensive rebound by T. Warren
7:31.0,,,62-69,2,D. Booker makes 2-pt shot from 1 ft
7:14.0,D. McDermott misses 3-pt shot from 25 ft,,62-69,,
7:14.0,Offensive rebound by S. Adams,,62-69,,
7:14.0,,,62-69,,Personal foul by A. Len (drawn by S. Adams)
7:14.0,S. Adams misses free throw 1 of 2,,62-69,,
7:14.0,Offensive rebound by Team,,62-69,,
7:14.0,S. Adams makes free throw 2 of 2,1,63-69,,
7:14.0,,,62-69,,A. Williams enters the game for A. Len
6:51.0,,,63-71,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by D. Booker)
6:36.0,Turnover by R. Westbrook (bad pass; steal by E. Bledsoe),,63-71,,
6:30.0,,,63-73,2,D. Booker makes 2-pt shot from 23 ft (assist by E. Bledsoe)
6:30.0,Oklahoma City full timeout,,63-73,,
6:30.0,E. Kanter enters the game for S. Adams,,63-73,,
6:13.0,Turnover by E. Kanter (bad pass; steal by E. Bledsoe),,63-73,,
6:04.0,S. Adams enters the game for D. Sabonis,,63-73,,
5:58.0,,,63-75,2,E. Bledsoe makes 2-pt shot from 10 ft
5:41.0,A. Roberson misses 3-pt shot from 25 ft,,63-75,,
5:38.0,,,63-75,,Defensive rebound by E. Bledsoe
5:38.0,Personal foul by S. Adams (drawn by E. Bledsoe),,63-75,,
5:33.0,,,63-75,,Shooting foul by R. Westbrook (drawn by E. Bledsoe)
5:33.0,,,63-76,1,E. Bledsoe makes free throw 1 of 3
5:33.0,,,63-77,1,E. Bledsoe makes free throw 2 of 3
5:33.0,,,63-77,,E. Bledsoe misses free throw 3 of 3
5:33.0,A. Abrines enters the game for A. Roberson,,63-77,,
5:32.0,Defensive rebound by R. Westbrook,,63-77,,
5:24.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,65-77,,
5:08.0,,,65-77,,Turnover by D. Booker (bad pass)
4:58.0,A. Abrines makes 2-pt shot from 6 ft,2,67-77,,
4:40.0,,,67-77,,D. Booker misses 2-pt shot from 14 ft
4:37.0,Defensive rebound by S. Adams,,67-77,,
4:30.0,D. McDermott misses 3-pt shot from 25 ft,,67-77,,
4:28.0,Offensive rebound by S. Adams,,67-77,,
4:28.0,S. Adams makes 2-pt shot at rim,2,69-77,,
4:28.0,,,69-77,,Phoenix full timeout
4:15.0,,,69-77,,M. Chriss misses 3-pt shot from 23 ft
4:13.0,,,69-77,,Offensive rebound by A. Williams
4:10.0,,,69-79,2,T. Warren makes 2-pt shot from 17 ft (assist by A. Williams)
3:57.0,,,69-79,,Personal foul by T. Warren
3:57.0,D. McDermott makes free throw 1 of 2,1,70-79,,
3:57.0,D. McDermott makes free throw 2 of 2,1,71-79,,
3:37.0,,,71-79,,M. Chriss misses 2-pt shot from 14 ft (block by S. Adams)
3:34.0,Defensive rebound by E. Kanter,,71-79,,
3:29.0,R. Westbrook makes 3-pt shot from 26 ft,3,74-79,,
3:13.0,,,74-79,,E. Bledsoe misses 2-pt shot from 15 ft
3:10.0,Defensive rebound by A. Abrines,,74-79,,
2:58.0,S. Adams misses 2-pt shot from 8 ft,,74-79,,
2:55.0,,,74-79,,Defensive rebound by D. Booker
2:45.0,,,74-79,,A. Williams misses 2-pt shot from 9 ft
2:42.0,Defensive rebound by R. Westbrook,,74-79,,
2:29.0,R. Westbrook makes 2-pt shot from 1 ft,2,76-79,,
2:14.0,Personal block foul by A. Abrines (drawn by D. Booker),,76-79,,
2:14.0,,,76-80,1,D. Booker makes free throw 1 of 2
2:14.0,,,76-81,1,D. Booker makes free throw 2 of 2
2:14.0,,,76-80,,J. Dudley enters the game for M. Chriss
2:14.0,,,76-80,,T. Ulis enters the game for E. Bledsoe
2:01.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Williams),,76-81,,
2:00.0,Offensive rebound by E. Kanter,,76-81,,
1:54.0,E. Kanter misses 2-pt shot at rim,,76-81,,
1:53.0,,,76-81,,Defensive rebound by J. Dudley
1:40.0,,,76-81,,Turnover by T. Ulis (bad pass)
1:40.0,E. Kanter misses 3-pt shot from 24 ft,,76-81,,
1:39.0,,,76-81,,Defensive rebound by D. Booker
1:33.0,,,76-83,2,T. Warren makes 2-pt shot from 10 ft (assist by D. Booker)
1:33.0,,,76-83,,Shooting foul by S. Adams
1:33.0,,,76-83,,T. Warren misses free throw 1 of 1
1:32.0,Defensive rebound by S. Adams,,76-83,,
1:19.0,R. Westbrook misses 3-pt shot from 24 ft,,76-83,,
1:17.0,,,76-83,,Defensive rebound by T. Warren
1:11.0,,,76-83,,T. Ulis misses 2-pt shot from 17 ft
1:08.0,Defensive rebound by S. Adams,,76-83,,
0:59.0,A. Abrines misses 3-pt shot from 25 ft,,76-83,,
0:58.0,,,76-83,,Defensive rebound by T. Warren
0:58.0,Loose ball foul by S. Adams,,76-83,,
0:58.0,,,76-83,,T. Warren misses free throw 1 of 2
0:58.0,,,76-83,,Offensive rebound by Team
0:58.0,,,76-84,1,T. Warren makes free throw 2 of 2
0:37.0,D. McDermott misses 3-pt shot from 24 ft,,76-84,,
0:33.0,Offensive rebound by S. Adams,,76-84,,
0:26.0,R. Westbrook makes 3-pt shot from 25 ft,3,79-84,,
0:05.0,,,79-87,3,J. Dudley makes 3-pt shot from 25 ft (assist by D. Booker)
0:00.0,A. Abrines misses 3-pt shot from 40 ft,,79-87,,
0:00.0,Offensive rebound by Team,,79-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,Offensive foul by N. Cole,,79-87,,
11:52.0,Turnover by N. Cole (offensive foul),,79-87,,
11:32.0,,,79-89,2,L. Barbosa makes 2-pt shot from 1 ft
11:19.0,N. Cole misses 2-pt shot from 6 ft,,79-89,,
11:17.0,,,79-89,,Defensive rebound by T. Ulis
11:10.0,,,79-89,,A. Williams misses 2-pt shot from 4 ft
11:09.0,Defensive rebound by T. Gibson,,79-89,,
11:09.0,Oklahoma City full timeout,,79-89,,
11:09.0,E. Kanter enters the game for S. Adams,,79-89,,
10:52.0,D. McDermott makes 2-pt shot from 2 ft (assist by E. Kanter),2,81-89,,
10:41.0,,,81-91,2,L. Barbosa makes 2-pt shot from 1 ft (assist by T. Ulis)
10:23.0,D. McDermott makes 2-pt shot from 1 ft,2,83-91,,
10:16.0,,,83-93,2,A. Williams makes 2-pt shot from 1 ft (assist by L. Barbosa)
10:00.0,Turnover by N. Cole (bad pass; steal by T. Ulis),,83-93,,
9:37.0,,,83-95,2,T. Ulis makes 2-pt shot from 9 ft
9:13.0,E. Kanter misses 2-pt shot from 3 ft,,83-95,,
9:13.0,Offensive rebound by Team,,83-95,,
9:13.0,,,83-95,,Loose ball foul by J. Dudley (drawn by T. Gibson)
9:05.0,N. Cole misses 2-pt shot from 20 ft,,83-95,,
9:03.0,,,83-95,,Defensive rebound by A. Williams
8:49.0,,,83-97,2,D. Jones makes 2-pt shot at rim (assist by T. Ulis)
8:33.0,R. Westbrook enters the game for T. Gibson,,83-97,,
8:33.0,A. Roberson enters the game for N. Cole,,83-97,,
8:33.0,Jump ball: J. Dudley vs. E. Kanter (R. Westbrook gains possession),,,,Jump ball: J. Dudley vs. E. Kanter (R. Westbrook gains possession)
8:24.0,Shooting foul by J. Dudley (drawn by R. Westbrook),,83-97,,
8:24.0,R. Westbrook makes free throw 1 of 2,1,84-97,,
8:24.0,R. Westbrook makes free throw 2 of 2,1,85-97,,
8:24.0,S. Adams enters the game for E. Kanter,,84-97,,
8:08.0,,,85-99,2,A. Williams makes 2-pt shot from 7 ft (assist by T. Ulis)
7:59.0,,,85-99,,Shooting block foul by J. Dudley (drawn by R. Westbrook)
7:59.0,R. Westbrook makes free throw 1 of 2,1,86-99,,
7:59.0,R. Westbrook makes free throw 2 of 2,1,87-99,,
7:40.0,,,87-99,,J. Dudley misses 3-pt shot from 26 ft
7:38.0,Defensive rebound by R. Westbrook,,87-99,,
7:26.0,R. Westbrook misses 3-pt shot from 25 ft,,87-99,,
7:23.0,,,87-99,,Defensive rebound by A. Williams
7:09.0,,,87-99,,L. Barbosa misses 3-pt shot from 26 ft
7:07.0,Defensive rebound by S. Adams,,87-99,,
