time,Boston,pts.away,score,pts.home,LA Clippers
4:28.0,Defensive rebound by M. Smart,,15-14,,
4:20.0,K. Olynyk misses 3-pt shot from 25 ft,,15-14,,
4:19.0,,,15-14,,Defensive rebound by B. Griffin
4:05.0,,,15-16,2,C. Paul makes 2-pt shot from 17 ft
3:56.0,I. Thomas makes 2-pt shot from 2 ft,2,17-16,,
3:36.0,,,17-18,2,C. Paul makes 2-pt shot from 11 ft (assist by B. Griffin)
3:20.0,J. Crowder misses 3-pt shot from 26 ft,,17-18,,
3:18.0,,,17-18,,Defensive rebound by C. Paul
3:07.0,,,17-18,,Shooting foul by K. Olynyk (drawn by B. Griffin)
3:07.0,,,17-18,,B. Griffin misses free throw 1 of 2
3:07.0,,,17-18,,Offensive rebound by Team
3:07.0,,,17-19,1,B. Griffin makes free throw 2 of 2
3:07.0,,,17-18,,M. Speights enters the game for D. Jordan
3:07.0,,,17-18,,J. Crawford enters the game for L. Mbah a Moute
2:56.0,I. Thomas makes 3-pt shot from 26 ft (assist by K. Olynyk),3,20-19,,
2:35.0,,,20-19,,C. Paul misses 2-pt shot from 12 ft
2:32.0,Defensive rebound by J. Crowder,,20-19,,
2:22.0,M. Smart makes 3-pt shot from 27 ft (assist by J. Crowder),3,23-19,,
2:03.0,,,23-19,,M. Speights misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by J. Crowder,,23-19,,
1:47.0,A. Johnson misses 2-pt shot from 3 ft,,23-19,,
1:43.0,,,23-19,,Defensive rebound by B. Griffin
1:23.0,,,23-19,,C. Paul misses 2-pt shot from 18 ft
1:22.0,Defensive rebound by J. Crowder,,23-19,,
1:13.0,J. Crowder misses 3-pt shot from 24 ft,,23-19,,
1:12.0,,,23-19,,Defensive rebound by C. Paul
0:52.0,,,23-19,,B. Griffin misses 2-pt shot from 5 ft (block by A. Johnson)
0:50.0,Defensive rebound by A. Johnson,,23-19,,
0:45.0,I. Thomas misses 3-pt shot from 25 ft,,23-19,,
0:43.0,Offensive rebound by K. Olynyk,,23-19,,
0:43.0,Boston full timeout,,23-19,,
0:43.0,,,23-19,,R. Felton enters the game for C. Paul
0:43.0,J. Young enters the game for J. Crowder,,23-19,,
0:43.0,J. Brown enters the game for A. Johnson,,23-19,,
0:43.0,T. Rozier enters the game for I. Thomas,,23-19,,
0:31.0,M. Smart makes 2-pt shot from 17 ft,2,25-19,,
0:09.0,,,25-22,3,M. Speights makes 3-pt shot from 26 ft (assist by A. Rivers)
0:03.0,K. Olynyk misses 2-pt shot from 9 ft (block by R. Felton),,25-22,,
0:02.0,,,25-22,,Defensive rebound by M. Speights
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,J. Young misses 3-pt shot from 26 ft,,25-22,,
11:42.0,,,25-22,,Defensive rebound by W. Johnson
11:25.0,Personal foul by J. Brown (drawn by W. Johnson),,25-22,,
11:17.0,,,25-22,,J. Crawford misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by T. Rozier,,25-22,,
11:03.0,M. Smart misses 3-pt shot from 25 ft,,25-22,,
11:00.0,Offensive rebound by K. Olynyk,,25-22,,
10:59.0,K. Olynyk makes 2-pt shot from 3 ft,2,27-22,,
10:47.0,,,27-22,,A. Rivers misses 2-pt shot from 4 ft
10:43.0,Defensive rebound by J. Young,,27-22,,
10:36.0,T. Rozier misses 2-pt shot from 8 ft,,27-22,,
10:35.0,,,27-22,,Defensive rebound by M. Speights
10:27.0,,,27-24,2,R. Felton makes 2-pt shot from 3 ft
10:14.0,Turnover by T. Rozier (lost ball; steal by R. Felton),,27-24,,
10:09.0,,,27-26,2,A. Rivers makes 2-pt shot from 1 ft (assist by R. Felton)
9:44.0,Shooting foul by M. Speights (drawn by M. Smart),,27-26,,
9:44.0,M. Smart makes free throw 1 of 3,1,28-26,,
9:44.0,M. Smart makes free throw 2 of 3,1,29-26,,
9:44.0,M. Smart makes free throw 3 of 3,1,30-26,,
9:34.0,,,30-26,,Turnover by M. Speights (lost ball)
9:34.0,,,30-26,,Loose ball foul by M. Speights (drawn by J. Brown)
9:22.0,K. Olynyk misses 3-pt shot from 27 ft,,30-26,,
9:21.0,Offensive rebound by J. Brown,,30-26,,
9:16.0,T. Rozier misses 3-pt shot from 26 ft,,30-26,,
9:16.0,,,30-26,,Defensive rebound by M. Speights
9:16.0,,,30-26,,LA Clippers full timeout
9:02.0,,,30-26,,J. Crawford misses 2-pt shot from 15 ft
8:57.0,Defensive rebound by T. Rozier,,30-26,,
8:48.0,J. Young misses 3-pt shot from 26 ft,,30-26,,
8:47.0,,,30-26,,Defensive rebound by M. Speights
8:37.0,,,30-26,,R. Felton misses 2-pt shot from 2 ft (block by J. Brown)
8:35.0,Defensive rebound by M. Smart,,30-26,,
8:34.0,,,30-26,,Personal foul by J. Crawford (drawn by K. Olynyk)
8:34.0,Official timeout,,30-26,,
8:34.0,A. Bradley enters the game for J. Young,,30-26,,
8:34.0,,,30-26,,D. Jordan enters the game for M. Speights
8:21.0,J. Brown makes 2-pt shot from 3 ft (assist by T. Rozier),2,32-26,,
7:58.0,,,32-26,,J. Crawford misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by A. Bradley,,32-26,,
7:48.0,M. Smart misses 2-pt shot from 18 ft,,32-26,,
7:48.0,,,32-26,,Defensive rebound by Team
7:48.0,Loose ball foul by J. Brown (drawn by W. Johnson),,32-26,,
7:33.0,,,32-26,,Turnover by A. Rivers (lost ball; steal by K. Olynyk)
7:27.0,Turnover by A. Bradley (bad pass; steal by W. Johnson),,32-26,,
7:19.0,,,32-26,,J. Crawford misses 2-pt shot from 18 ft
7:16.0,Defensive rebound by K. Olynyk,,32-26,,
7:00.0,A. Bradley misses 3-pt shot from 27 ft,,32-26,,
6:59.0,,,32-26,,Defensive rebound by A. Rivers
6:54.0,Personal foul by J. Brown (drawn by A. Rivers),,32-26,,
6:54.0,,,32-26,,C. Paul enters the game for R. Felton
6:54.0,,,32-26,,J. Redick enters the game for A. Rivers
6:54.0,J. Crowder enters the game for J. Brown,,32-26,,
6:54.0,J. Young enters the game for M. Smart,,32-26,,
6:54.0,,,32-26,,B. Griffin enters the game for W. Johnson
6:43.0,,,32-26,,J. Crawford misses 2-pt shot from 3 ft
6:41.0,Defensive rebound by K. Olynyk,,32-26,,
6:35.0,T. Rozier makes 2-pt shot from 4 ft (assist by J. Crowder),2,34-26,,
6:20.0,,,34-28,2,B. Griffin makes 2-pt shot from 19 ft (assist by J. Redick)
5:57.0,J. Young misses 3-pt shot from 25 ft,,34-28,,
5:56.0,Offensive rebound by K. Olynyk,,34-28,,
5:53.0,T. Rozier makes 3-pt shot from 25 ft (assist by A. Bradley),3,37-28,,
5:33.0,,,37-30,2,B. Griffin makes 2-pt shot from 4 ft (assist by J. Redick)
5:18.0,A. Bradley misses 2-pt shot from 15 ft,,37-30,,
5:15.0,Offensive rebound by K. Olynyk,,37-30,,
5:14.0,T. Rozier misses 3-pt shot from 26 ft,,37-30,,
5:13.0,,,37-30,,Defensive rebound by D. Jordan
5:07.0,,,37-30,,Shooting foul by J. Young (drawn by J. Crawford)
5:07.0,,,37-30,,LA Clippers full timeout
5:07.0,,,37-31,1,J. Crawford makes free throw 1 of 2
5:07.0,,,37-32,1,J. Crawford makes free throw 2 of 2
5:07.0,I. Thomas enters the game for K. Olynyk,,37-30,,
5:07.0,A. Johnson enters the game for T. Rozier,,37-30,,
4:45.0,J. Crowder misses 3-pt shot from 25 ft,,37-32,,
4:45.0,,,37-32,,Defensive rebound by D. Jordan
4:45.0,Personal foul by J. Crowder (drawn by D. Jordan),,37-32,,
4:45.0,,,37-32,,D. Jordan misses free throw 1 of 2
4:45.0,,,37-32,,Offensive rebound by Team
4:45.0,,,37-32,,D. Jordan misses free throw 2 of 2
4:45.0,,,37-32,,A. Rivers enters the game for J. Crawford
4:44.0,Defensive rebound by J. Crowder,,37-32,,
4:28.0,Turnover by I. Thomas (lost ball; steal by C. Paul),,37-32,,
4:24.0,,,37-34,2,C. Paul makes 2-pt shot from 3 ft (assist by A. Rivers)
4:01.0,J. Crowder misses 2-pt shot from 19 ft,,37-34,,
3:58.0,,,37-34,,Defensive rebound by D. Jordan
3:51.0,,,37-34,,B. Griffin misses 2-pt shot from 17 ft
3:50.0,Defensive rebound by A. Johnson,,37-34,,
3:44.0,I. Thomas misses 3-pt shot from 26 ft,,37-34,,
3:42.0,,,37-34,,Defensive rebound by C. Paul
3:32.0,Personal foul by J. Crowder (drawn by D. Jordan),,37-34,,
3:32.0,,,37-34,,D. Jordan misses free throw 1 of 2
3:32.0,,,37-34,,Offensive rebound by Team
3:32.0,,,37-34,,D. Jordan misses free throw 2 of 2
3:32.0,M. Smart enters the game for J. Young,,37-34,,
3:31.0,Defensive rebound by J. Crowder,,37-34,,
3:14.0,J. Crowder makes 3-pt shot from 27 ft (assist by M. Smart),3,40-34,,
3:03.0,Personal take foul by A. Johnson (drawn by D. Jordan),,40-34,,
3:03.0,,,40-34,,D. Jordan misses free throw 1 of 2
3:03.0,,,40-34,,Offensive rebound by Team
3:03.0,,,40-35,1,D. Jordan makes free throw 2 of 2
2:50.0,M. Smart makes 2-pt shot from 6 ft (assist by A. Johnson),2,42-35,,
2:38.0,Personal foul by A. Johnson (drawn by C. Paul),,42-35,,
2:38.0,Boston full timeout,,42-35,,
2:38.0,,,42-36,1,C. Paul makes free throw 1 of 2
2:38.0,,,42-37,1,C. Paul makes free throw 2 of 2
2:38.0,K. Olynyk enters the game for A. Johnson,,42-35,,
2:23.0,M. Smart misses 2-pt shot from 4 ft (block by D. Jordan),,42-37,,
2:21.0,,,42-37,,Defensive rebound by A. Rivers
2:14.0,Personal foul by K. Olynyk (drawn by D. Jordan),,42-37,,
2:14.0,,,42-37,,D. Jordan misses free throw 1 of 2
2:14.0,,,42-37,,Offensive rebound by Team
2:14.0,,,42-37,,D. Jordan misses free throw 2 of 2
2:14.0,T. Rozier enters the game for A. Bradley,,42-37,,
2:13.0,Defensive rebound by K. Olynyk,,42-37,,
2:01.0,I. Thomas makes 2-pt shot from 1 ft,2,44-37,,
1:51.0,,,44-37,,C. Paul misses 3-pt shot from 26 ft
1:50.0,,,44-37,,Offensive rebound by D. Jordan
1:50.0,,,44-37,,Shooting foul by K. Olynyk (drawn by D. Jordan)
1:50.0,,,44-38,1,D. Jordan makes free throw 1 of 2
1:50.0,,,44-38,,D. Jordan misses free throw 2 of 2
1:50.0,T. Zeller enters the game for K. Olynyk,,44-38,,
1:48.0,Defensive rebound by J. Crowder,,44-38,,
1:39.0,Turnover by I. Thomas (bad pass),,44-38,,
1:15.0,,,44-38,,B. Griffin misses 3-pt shot from 26 ft
1:14.0,,,44-38,,Offensive rebound by C. Paul
1:11.0,,,44-38,,Turnover by C. Paul (lost ball; steal by M. Smart)
1:07.0,J. Crowder misses 2-pt shot from 2 ft,,44-38,,
1:06.0,,,44-38,,Defensive rebound by B. Griffin
1:00.0,,,44-40,2,C. Paul makes 2-pt shot from 8 ft
0:49.0,I. Thomas misses 2-pt shot from 13 ft,,44-40,,
0:45.0,,,44-40,,Defensive rebound by D. Jordan
0:30.0,,,44-40,,C. Paul misses 2-pt shot from 15 ft
0:29.0,Defensive rebound by Team,,44-40,,
0:28.0,,,44-40,,L. Mbah a Moute enters the game for J. Redick
0:11.0,M. Smart makes 2-pt shot from 16 ft,2,46-40,,
0:01.0,,,46-42,2,C. Paul makes 2-pt shot from 2 ft
0:01.0,,,46-42,,Shooting foul by T. Zeller (drawn by C. Paul)
0:01.0,,,46-43,1,C. Paul makes free throw 1 of 1
0:00.0,M. Smart misses 3-pt shot from 61 ft,,46-43,,
0:00.0,Offensive rebound by Team,,46-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,J. Crowder misses 2-pt shot from 20 ft,,46-43,,
11:32.0,Offensive rebound by A. Johnson,,46-43,,
11:23.0,I. Thomas misses 2-pt shot from 2 ft,,46-43,,
11:18.0,,,46-43,,Defensive rebound by J. Redick
11:12.0,,,46-43,,J. Redick misses 2-pt shot from 18 ft
11:10.0,,,46-43,,Offensive rebound by D. Jordan
11:10.0,,,46-43,,D. Jordan misses 2-pt shot at rim
11:04.0,Defensive rebound by J. Brown,,46-43,,
11:02.0,,,46-43,,Personal foul by J. Redick (drawn by J. Brown)
10:53.0,J. Crowder misses 2-pt shot from 2 ft,,46-43,,
10:50.0,,,46-43,,Defensive rebound by L. Mbah a Moute
10:39.0,,,46-43,,Shooting foul by A. Bradley (drawn by B. Griffin)
10:39.0,,,46-44,1,B. Griffin makes free throw 1 of 2
10:39.0,,,46-45,1,B. Griffin makes free throw 2 of 2
10:22.0,A. Bradley makes 2-pt shot from 7 ft,2,48-45,,
9:59.0,,,48-47,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
9:35.0,A. Bradley misses 2-pt shot from 20 ft,,48-47,,
9:34.0,,,48-47,,Defensive rebound by B. Griffin
9:15.0,,,48-47,,J. Redick misses 2-pt shot from 21 ft
9:15.0,Defensive rebound by A. Bradley,,48-47,,
9:15.0,,,48-47,,Personal take foul by D. Jordan (drawn by A. Bradley)
8:57.0,A. Johnson misses 2-pt shot from 4 ft (block by D. Jordan),,48-47,,
8:55.0,Offensive rebound by A. Johnson,,48-47,,
8:48.0,J. Crowder makes 2-pt shot from 22 ft (assist by A. Johnson),2,50-47,,
8:28.0,,,50-47,,Shooting foul by J. Brown (drawn by D. Jordan)
8:28.0,,,50-47,,D. Jordan misses free throw 1 of 2
8:28.0,,,50-47,,Offensive rebound by Team
8:28.0,,,50-48,1,D. Jordan makes free throw 2 of 2
8:14.0,A. Bradley makes 2-pt shot at rim,2,52-48,,
7:54.0,,,52-50,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by B. Griffin)
7:49.0,,,52-50,,Personal foul by B. Griffin (drawn by I. Thomas)
7:43.0,A. Johnson misses 2-pt shot from 4 ft (block by L. Mbah a Moute),,52-50,,
7:43.0,Offensive rebound by Team,,52-50,,
7:41.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Brown),2,54-50,,
7:29.0,,,54-50,,J. Redick misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by A. Johnson,,54-50,,
7:19.0,I. Thomas makes 3-pt shot from 26 ft,3,57-50,,
6:54.0,,,57-50,,L. Mbah a Moute misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by I. Thomas,,57-50,,
6:51.0,Shooting foul by J. Redick (drawn by A. Johnson),,57-50,,
6:51.0,A. Johnson makes free throw 1 of 2,1,58-50,,
6:51.0,A. Johnson misses free throw 2 of 2,,58-50,,
6:51.0,M. Smart enters the game for J. Brown,,58-50,,
6:51.0,,,58-50,,J. Crawford enters the game for D. Jordan
6:51.0,,,58-50,,M. Speights enters the game for J. Redick
6:49.0,,,58-50,,Defensive rebound by M. Speights
6:38.0,,,58-50,,B. Griffin misses 2-pt shot from 19 ft
6:37.0,Defensive rebound by I. Thomas,,58-50,,
6:28.0,A. Bradley misses 2-pt shot from 1 ft,,58-50,,
6:27.0,,,58-50,,Defensive rebound by L. Mbah a Moute
6:20.0,,,58-50,,M. Speights misses 3-pt shot from 28 ft
6:19.0,Defensive rebound by J. Crowder,,58-50,,
6:11.0,Shooting foul by J. Crawford (drawn by I. Thomas),,58-50,,
6:11.0,I. Thomas makes free throw 1 of 2,1,59-50,,
6:11.0,I. Thomas makes free throw 2 of 2,1,60-50,,
6:11.0,,,59-50,,A. Rivers enters the game for L. Mbah a Moute
5:50.0,,,60-50,,M. Speights misses 3-pt shot from 26 ft
5:49.0,,,60-50,,Offensive rebound by B. Griffin
5:49.0,,,60-50,,Shooting foul by A. Johnson (drawn by B. Griffin)
5:49.0,,,60-50,,LA Clippers full timeout
5:49.0,,,60-51,1,B. Griffin makes free throw 1 of 2
5:49.0,,,60-52,1,B. Griffin makes free throw 2 of 2
5:49.0,K. Olynyk enters the game for A. Johnson,,60-50,,
5:49.0,T. Rozier enters the game for A. Bradley,,60-50,,
5:34.0,Shooting foul by M. Speights (drawn by I. Thomas),,60-52,,
5:34.0,I. Thomas makes free throw 1 of 2,1,61-52,,
5:34.0,I. Thomas makes free throw 2 of 2,1,62-52,,
5:17.0,,,62-52,,A. Rivers misses 2-pt shot from 6 ft
5:16.0,,,62-52,,Offensive rebound by M. Speights
5:12.0,,,62-52,,Shooting foul by M. Smart (drawn by M. Speights)
5:12.0,,,62-52,,M. Speights misses free throw 1 of 2
5:12.0,,,62-52,,Offensive rebound by Team
5:12.0,,,62-53,1,M. Speights makes free throw 2 of 2
4:46.0,K. Olynyk makes 2-pt shot at rim (assist by I. Thomas),2,64-53,,
4:35.0,,,64-53,,Turnover by C. Paul (lost ball; steal by I. Thomas)
4:29.0,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas),2,66-53,,
4:09.0,,,66-53,,C. Paul misses 3-pt shot from 25 ft
4:08.0,,,66-53,,Offensive rebound by M. Speights
4:07.0,,,66-55,2,M. Speights makes 2-pt shot from 1 ft
3:48.0,Turnover by K. Olynyk (traveling),,66-55,,
3:34.0,,,66-57,2,C. Paul makes 2-pt shot from 19 ft
3:16.0,J. Crowder misses 3-pt shot from 25 ft,,66-57,,
3:14.0,,,66-57,,Defensive rebound by C. Paul
3:08.0,,,66-60,3,C. Paul makes 3-pt shot from 25 ft
3:08.0,Boston full timeout,,66-60,,
3:08.0,J. Brown enters the game for J. Crowder,,66-60,,
2:55.0,Turnover by K. Olynyk (lost ball; steal by C. Paul),,66-60,,
2:45.0,,,66-62,2,M. Speights makes 2-pt shot from 6 ft (assist by J. Crawford)
2:27.0,I. Thomas makes 2-pt shot from 3 ft (assist by K. Olynyk),2,68-62,,
2:27.0,,,68-62,,Shooting block foul by B. Griffin (drawn by I. Thomas)
2:27.0,I. Thomas makes free throw 1 of 1,1,69-62,,
2:11.0,Personal foul by K. Olynyk (drawn by B. Griffin),,69-62,,
2:11.0,,,69-63,1,B. Griffin makes free throw 1 of 2
2:11.0,,,69-64,1,B. Griffin makes free throw 2 of 2
2:11.0,J. Young enters the game for I. Thomas,,69-63,,
2:11.0,,,69-63,,R. Felton enters the game for C. Paul
1:57.0,,,69-64,,Personal foul by A. Rivers (drawn by M. Smart)
1:57.0,M. Smart makes free throw 1 of 2,1,70-64,,
1:57.0,M. Smart makes free throw 2 of 2,1,71-64,,
1:57.0,J. Mickey enters the game for K. Olynyk,,70-64,,
1:41.0,,,71-67,3,J. Crawford makes 3-pt shot from 26 ft
1:22.0,Turnover by J. Young (bad pass; steal by J. Crawford),,71-67,,
1:14.0,,,71-70,3,J. Crawford makes 3-pt shot from 24 ft (assist by A. Rivers)
0:54.0,T. Rozier misses 2-pt shot from 4 ft,,71-70,,
0:49.0,,,71-70,,Defensive rebound by R. Felton
0:48.0,,,71-72,2,B. Griffin makes 2-pt shot from 5 ft
0:35.0,Offensive charge foul by M. Smart,,71-72,,
0:35.0,Turnover by M. Smart (offensive foul),,71-72,,
0:35.0,A. Bradley enters the game for J. Brown,,71-72,,
0:31.0,,,71-75,3,J. Crawford makes 3-pt shot from 29 ft
0:17.0,A. Bradley misses 2-pt shot from 3 ft,,71-75,,
0:14.0,,,71-75,,Defensive rebound by M. Speights
0:04.0,,,71-75,,J. Crawford misses 3-pt shot from 28 ft
0:00.0,,,71-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,71-75,,Turnover by J. Crawford (bad pass; steal by J. Young)
11:25.0,J. Young makes 3-pt shot from 26 ft (assist by T. Rozier),3,74-75,,
11:04.0,,,74-75,,W. Johnson misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by M. Smart,,74-75,,
10:49.0,K. Olynyk misses 2-pt shot from 5 ft,,74-75,,
10:45.0,,,74-75,,Defensive rebound by R. Felton
10:42.0,,,74-77,2,R. Felton makes 2-pt shot from 3 ft
10:42.0,Shooting block foul by K. Olynyk (drawn by R. Felton),,74-77,,
10:42.0,,,74-78,1,R. Felton makes free throw 1 of 1
10:42.0,,,74-77,,D. Jordan enters the game for M. Speights
10:26.0,T. Rozier misses 3-pt shot from 25 ft,,74-78,,
10:25.0,,,74-78,,Defensive rebound by D. Jordan
10:14.0,,,74-80,2,J. Crawford makes 2-pt shot from 3 ft
10:01.0,,,74-80,,Personal foul by A. Rivers (drawn by M. Smart)
9:51.0,Shooting foul by A. Rivers (drawn by M. Smart),,74-80,,
9:51.0,M. Smart misses free throw 1 of 3,,74-80,,
9:51.0,Offensive rebound by Team,,74-80,,
9:51.0,M. Smart makes free throw 2 of 3,1,75-80,,
9:51.0,M. Smart makes free throw 3 of 3,1,76-80,,
9:51.0,J. Brown enters the game for K. Olynyk,,75-80,,
9:35.0,,,76-82,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
9:24.0,M. Smart misses 3-pt shot from 25 ft,,76-82,,
9:23.0,,,76-82,,Defensive rebound by D. Jordan
9:10.0,,,76-84,2,J. Crawford makes 2-pt shot from 19 ft
9:10.0,Boston full timeout,,76-84,,
9:10.0,A. Bradley enters the game for T. Rozier,,76-84,,
9:10.0,I. Thomas enters the game for J. Young,,76-84,,
8:57.0,J. Brown makes 3-pt shot from 26 ft (assist by I. Thomas),3,79-84,,
8:45.0,,,79-84,,Shooting foul by A. Johnson (drawn by R. Felton)
8:45.0,,,79-85,1,R. Felton makes free throw 1 of 2
8:45.0,,,79-86,1,R. Felton makes free throw 2 of 2
8:40.0,,,79-86,,Personal foul by W. Johnson (drawn by I. Thomas)
8:28.0,Shooting foul by W. Johnson (drawn by A. Bradley),,79-86,,
8:28.0,A. Bradley misses free throw 1 of 2,,79-86,,
8:28.0,Offensive rebound by Team,,79-86,,
8:28.0,A. Bradley makes free throw 2 of 2,1,80-86,,
8:22.0,Personal foul by A. Bradley (drawn by R. Felton),,80-86,,
8:22.0,J. Crowder enters the game for A. Johnson,,80-86,,
8:05.0,,,80-88,2,W. Johnson makes 2-pt shot from 15 ft (assist by J. Crawford)
7:41.0,Turnover by A. Bradley (lost ball; steal by R. Felton),,80-88,,
7:37.0,,,80-90,2,D. Jordan makes 2-pt shot at rim (assist by R. Felton)
7:15.0,I. Thomas misses 3-pt shot from 25 ft,,80-90,,
7:14.0,,,80-90,,Defensive rebound by W. Johnson
7:05.0,,,80-92,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford)
6:50.0,I. Thomas misses 2-pt shot from 1 ft,,80-92,,
6:46.0,,,80-92,,Defensive rebound by D. Jordan
6:36.0,,,80-94,2,D. Jordan makes 2-pt shot at rim (assist by R. Felton)
6:35.0,Boston full timeout,,80-94,,
6:35.0,K. Olynyk enters the game for J. Brown,,80-94,,
6:16.0,J. Crowder misses 3-pt shot from 24 ft,,80-94,,
6:14.0,,,80-94,,Defensive rebound by J. Crawford
6:08.0,,,80-96,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
5:49.0,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas),2,82-96,,
5:33.0,,,82-99,3,A. Rivers makes 3-pt shot from 25 ft (assist by R. Felton)
5:18.0,,,82-99,,Personal foul by A. Rivers (drawn by A. Bradley)
5:18.0,Technical foul by I. Thomas,,82-99,,
