time,LA Lakers,pts.away,score,pts.home,Milwaukee
6:57.0,,,59-46,,Shooting foul by J. Clarkson (drawn by M. Dellavedova)
6:57.0,,,59-47,1,M. Dellavedova makes free throw 1 of 1
6:44.0,Turnover by J. Clarkson (bad pass; steal by M. Dellavedova),,59-47,,
6:33.0,Jump ball: M. Beasley vs. L. Nance (M. Teletovic gains possession),,,,Jump ball: M. Beasley vs. L. Nance (M. Teletovic gains possession)
6:26.0,,,59-47,,M. Beasley misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by L. Williams,,59-47,,
6:15.0,L. Deng misses 3-pt shot from 23 ft,,59-47,,
6:10.0,,,59-47,,Defensive rebound by M. Beasley
6:01.0,,,59-47,,M. Brogdon misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by L. Deng,,59-47,,
5:48.0,L. Williams makes 3-pt shot from 23 ft (assist by L. Nance),3,62-47,,
5:35.0,,,62-47,,Turnover by M. Dellavedova (bad pass; steal by L. Nance)
5:33.0,L. Williams makes 2-pt shot at rim (assist by J. Clarkson),2,64-47,,
5:33.0,,,64-47,,Milwaukee full timeout
5:33.0,J. Randle enters the game for L. Deng,,64-47,,
5:33.0,D. Russell enters the game for J. Clarkson,,64-47,,
5:33.0,T. Black enters the game for L. Nance,,64-47,,
5:33.0,N. Young enters the game for L. Williams,,64-47,,
5:33.0,B. Ingram enters the game for I. Zubac,,64-47,,
5:33.0,,,64-47,,T. Snell enters the game for M. Brogdon
5:33.0,,,64-47,,G. Antetokounmpo enters the game for M. Teletovic
5:19.0,,,64-49,2,M. Beasley makes 2-pt shot from 3 ft
4:56.0,D. Russell makes 3-pt shot from 24 ft (assist by T. Black),3,67-49,,
4:41.0,,,67-49,,M. Beasley misses 2-pt shot from 9 ft
4:41.0,Defensive rebound by Team,,67-49,,
4:17.0,Turnover by Team (shot clock),,67-49,,
4:07.0,,,67-49,,M. Dellavedova misses 2-pt shot from 6 ft
4:05.0,,,67-49,,Offensive rebound by M. Beasley
4:05.0,,,67-51,2,M. Beasley makes 2-pt shot at rim
3:50.0,Offensive foul by T. Black,,67-51,,
3:50.0,Turnover by T. Black (offensive foul),,67-51,,
3:36.0,,,67-51,,Turnover by M. Beasley (bad pass; steal by T. Black)
3:31.0,Turnover by N. Young (bad pass),,67-51,,
3:31.0,,,67-51,,Turnover by M. Dellavedova (bad pass)
3:12.0,D. Russell misses 3-pt shot from 26 ft,,67-51,,
3:10.0,Offensive rebound by T. Black,,67-51,,
3:08.0,T. Black makes 2-pt shot at rim,2,69-51,,
2:55.0,Personal foul by B. Ingram (drawn by G. Antetokounmpo),,69-51,,
2:55.0,LA Lakers full timeout,,69-51,,
2:55.0,,,69-52,1,G. Antetokounmpo makes free throw 1 of 2
2:55.0,,,69-53,1,G. Antetokounmpo makes free throw 2 of 2
2:55.0,,,69-51,,K. Middleton enters the game for M. Dellavedova
2:31.0,J. Randle misses 2-pt shot from 6 ft,,69-53,,
2:29.0,Offensive rebound by Team,,69-53,,
2:15.0,D. Russell makes 3-pt shot from 27 ft,3,72-53,,
1:57.0,,,72-53,,Turnover by M. Beasley (lost ball; steal by N. Young)
1:45.0,Shooting foul by M. Beasley (drawn by J. Randle),,72-53,,
1:45.0,J. Randle misses free throw 1 of 2,,72-53,,
1:45.0,Offensive rebound by Team,,72-53,,
1:45.0,J. Randle misses free throw 2 of 2,,72-53,,
1:44.0,,,72-53,,Defensive rebound by J. Henson
1:33.0,,,72-53,,T. Snell misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by J. Randle,,72-53,,
1:21.0,N. Young makes 3-pt shot from 27 ft (assist by D. Russell),3,75-53,,
1:21.0,Shooting foul by M. Beasley (drawn by N. Young),,75-53,,
1:21.0,N. Young makes free throw 1 of 1,1,76-53,,
1:03.0,,,76-53,,Shooting foul by B. Ingram (drawn by G. Antetokounmpo)
1:03.0,,,76-54,1,G. Antetokounmpo makes free throw 1 of 2
1:03.0,,,76-55,1,G. Antetokounmpo makes free throw 2 of 2
1:03.0,L. Deng enters the game for B. Ingram,,76-54,,
0:44.0,Turnover by T. Black (bad pass),,76-55,,
0:30.0,,,76-55,,Turnover by K. Middleton (lost ball)
0:30.0,LA Lakers full timeout,,76-55,,
0:16.0,D. Russell misses 3-pt shot from 28 ft,,76-55,,
0:15.0,,,76-55,,Defensive rebound by J. Henson
0:01.0,,,76-55,,G. Antetokounmpo misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by L. Deng,,76-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,76-57,2,M. Dellavedova makes 2-pt shot from 8 ft (assist by M. Beasley)
11:43.0,LA Lakers full timeout,,76-57,,
11:25.0,N. Young makes 2-pt shot from 15 ft (assist by D. Russell),2,78-57,,
11:11.0,,,78-57,,Turnover by G. Monroe (bad pass; steal by N. Young)
10:59.0,N. Young makes 3-pt shot from 25 ft,3,81-57,,
10:45.0,,,81-57,,G. Monroe misses 2-pt shot from 5 ft (block by T. Black)
10:43.0,Defensive rebound by J. Randle,,81-57,,
10:38.0,J. Randle misses 2-pt shot from 1 ft,,81-57,,
10:36.0,,,81-57,,Defensive rebound by G. Antetokounmpo
10:31.0,,,81-57,,G. Antetokounmpo misses 2-pt shot from 2 ft
10:31.0,,,81-57,,Offensive rebound by Team
10:25.0,,,81-57,,G. Antetokounmpo misses 3-pt shot from 27 ft
10:22.0,Defensive rebound by J. Randle,,81-57,,
10:10.0,N. Young makes 3-pt shot from 25 ft,3,84-57,,
9:53.0,,,84-57,,Shooting foul by J. Randle (drawn by G. Monroe)
9:53.0,,,84-58,1,G. Monroe makes free throw 1 of 2
9:53.0,,,84-59,1,G. Monroe makes free throw 2 of 2
9:53.0,L. Deng enters the game for B. Ingram,,84-58,,
9:40.0,N. Young misses 3-pt shot from 24 ft,,84-59,,
9:39.0,,,84-59,,Defensive rebound by G. Antetokounmpo
9:28.0,,,84-59,,M. Beasley misses 3-pt shot from 22 ft
9:26.0,Defensive rebound by J. Randle,,84-59,,
9:17.0,Shooting foul by G. Monroe (drawn by T. Black),,84-59,,
9:17.0,T. Black makes free throw 1 of 2,1,85-59,,
9:17.0,T. Black misses free throw 2 of 2,,85-59,,
9:17.0,B. Ingram enters the game for L. Deng,,85-59,,
9:16.0,,,85-59,,Defensive rebound by G. Monroe
8:58.0,,,85-59,,Turnover by G. Antetokounmpo (bad pass; steal by J. Randle)
8:51.0,,,85-59,,Personal foul by T. Snell (drawn by N. Young)
8:37.0,Turnover by J. Randle (bad pass; steal by G. Antetokounmpo),,85-59,,
8:34.0,,,85-59,,Shooting foul by J. Randle (drawn by G. Antetokounmpo)
8:34.0,,,85-60,1,G. Antetokounmpo makes free throw 1 of 2
8:34.0,,,85-61,1,G. Antetokounmpo makes free throw 2 of 2
8:16.0,J. Randle makes 2-pt shot from 10 ft (assist by T. Black),2,87-61,,
8:04.0,,,87-64,3,M. Beasley makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
7:45.0,Turnover by B. Ingram (bad pass; steal by G. Monroe),,87-64,,
7:38.0,,,87-64,,Turnover by M. Beasley (traveling)
7:22.0,J. Randle misses 2-pt shot from 6 ft,,87-64,,
7:21.0,,,87-64,,Defensive rebound by T. Snell
7:11.0,,,87-64,,M. Dellavedova misses 3-pt shot from 28 ft
7:09.0,,,87-64,,Offensive rebound by Team
6:51.0,,,87-64,,G. Monroe misses 2-pt shot from 6 ft
6:51.0,Defensive rebound by D. Russell,,87-64,,
6:51.0,,,87-64,,Personal foul by G. Monroe (drawn by T. Black)
6:39.0,T. Black misses 2-pt shot from 3 ft (block by M. Beasley),,87-64,,
6:37.0,Offensive rebound by N. Young,,87-64,,
6:35.0,N. Young misses 3-pt shot from 26 ft,,87-64,,
6:33.0,,,87-64,,Defensive rebound by G. Antetokounmpo
6:20.0,,,87-66,2,G. Antetokounmpo makes 2-pt shot from 6 ft
6:04.0,Turnover by T. Black (bad pass),,87-66,,
6:04.0,,,87-66,,K. Middleton enters the game for M. Dellavedova
6:04.0,L. Nance enters the game for J. Randle,,87-66,,
6:04.0,I. Zubac enters the game for T. Black,,87-66,,
5:59.0,,,87-66,,Shooting foul by B. Ingram (drawn by G. Antetokounmpo)
5:59.0,,,87-66,,Milwaukee full timeout
5:59.0,,,87-67,1,G. Antetokounmpo makes free throw 1 of 2
5:59.0,,,87-67,,G. Antetokounmpo misses free throw 2 of 2
5:59.0,,,87-66,,T. Maker enters the game for G. Monroe
5:59.0,,,87-66,,M. Teletovic enters the game for M. Beasley
5:59.0,J. Clarkson enters the game for D. Russell,,87-66,,
5:57.0,Defensive rebound by B. Ingram,,87-67,,
5:42.0,J. Clarkson misses 2-pt shot from 6 ft,,87-67,,
5:41.0,,,87-67,,Defensive rebound by M. Teletovic
5:29.0,,,87-67,,K. Middleton misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by I. Zubac,,87-67,,
5:12.0,I. Zubac makes 2-pt shot from 3 ft,2,89-67,,
4:53.0,,,89-67,,M. Teletovic misses 2-pt shot from 12 ft
4:52.0,Defensive rebound by N. Young,,89-67,,
4:29.0,J. Clarkson makes 3-pt shot from 26 ft,3,92-67,,
4:10.0,,,92-69,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Maker)
3:50.0,N. Young misses 3-pt shot from 23 ft,,92-69,,
3:50.0,,,92-69,,Defensive rebound by T. Maker
3:50.0,Offensive foul by N. Young,,92-69,,
3:49.0,L. Deng enters the game for B. Ingram,,92-69,,
3:49.0,L. Williams enters the game for N. Young,,92-69,,
3:39.0,,,92-69,,M. Teletovic misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by I. Zubac,,92-69,,
3:33.0,Turnover by I. Zubac (bad pass; steal by K. Middleton),,92-69,,
3:30.0,,,92-71,2,K. Middleton makes 2-pt shot at rim
3:11.0,,,92-71,,Personal block foul by K. Middleton (drawn by J. Clarkson)
3:11.0,,,92-71,,M. Brogdon enters the game for T. Snell
2:58.0,L. Williams makes 3-pt shot from 25 ft,3,95-71,,
2:39.0,,,95-73,2,T. Maker makes 2-pt shot at rim (assist by M. Teletovic)
2:30.0,Shooting foul by T. Maker,,95-73,,
2:30.0,LA Lakers full timeout,,95-73,,
2:30.0,L. Williams makes free throw 1 of 3,1,96-73,,
2:30.0,L. Williams makes free throw 2 of 3,1,97-73,,
2:30.0,L. Williams makes free throw 3 of 3,1,98-73,,
2:04.0,,,98-76,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by K. Middleton)
1:45.0,I. Zubac misses 2-pt shot from 2 ft,,98-76,,
1:43.0,,,98-76,,Defensive rebound by T. Maker
1:40.0,,,98-78,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
1:27.0,Turnover by L. Williams (bad pass; steal by M. Brogdon),,98-78,,
1:23.0,,,98-78,,Shooting foul by I. Zubac (drawn by G. Antetokounmpo)
1:23.0,,,98-79,1,G. Antetokounmpo makes free throw 1 of 2
1:23.0,,,98-80,1,G. Antetokounmpo makes free throw 2 of 2
1:13.0,,,98-80,,Personal foul by K. Middleton
1:13.0,L. Williams makes free throw 1 of 2,1,99-80,,
1:13.0,L. Williams makes free throw 2 of 2,1,100-80,,
0:59.0,,,100-83,3,T. Maker makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
0:45.0,J. Clarkson makes 3-pt shot from 31 ft (assist by I. Zubac),3,103-83,,
0:38.0,Personal foul by J. Clarkson (drawn by K. Middleton),,103-83,,
0:38.0,,,103-83,,K. Middleton misses free throw 1 of 2
0:38.0,,,103-83,,Offensive rebound by Team
0:38.0,,,103-84,1,K. Middleton makes free throw 2 of 2
0:31.0,Turnover by L. Williams (bad pass; steal by K. Middleton),,103-84,,
0:20.0,,,103-84,,M. Brogdon misses 3-pt shot from 23 ft
0:19.0,,,103-84,,Offensive rebound by G. Antetokounmpo
0:18.0,,,103-84,,Turnover by G. Antetokounmpo (lost ball)
0:18.0,Jump ball: G. Antetokounmpo vs. L. Nance (L. Williams gains possession),,,,Jump ball: G. Antetokounmpo vs. L. Nance (L. Williams gains possession)
0:01.0,I. Zubac misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,103-84,,
0:00.0,,,103-84,,Defensive rebound by M. Brogdon
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,L. Deng misses 2-pt shot from 1 ft,,103-84,,
11:34.0,Offensive rebound by I. Zubac,,103-84,,
11:33.0,I. Zubac makes 2-pt shot from 1 ft,2,105-84,,
11:18.0,,,105-84,,T. Maker misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by L. Nance,,105-84,,
11:05.0,L. Williams misses 3-pt shot from 24 ft,,105-84,,
11:04.0,,,105-84,,Defensive rebound by K. Middleton
10:58.0,,,105-84,,K. Middleton misses 2-pt shot from 7 ft
10:57.0,,,105-84,,Offensive rebound by T. Maker
10:57.0,,,105-86,2,T. Maker makes 2-pt shot from 1 ft
10:31.0,J. Clarkson misses 3-pt shot from 28 ft,,105-86,,
10:30.0,,,105-86,,Defensive rebound by T. Maker
10:13.0,,,105-86,,M. Brogdon misses 2-pt shot from 2 ft (block by I. Zubac)
10:13.0,,,105-86,,Offensive rebound by Team
10:10.0,,,105-86,,K. Middleton misses 2-pt shot from 16 ft
10:09.0,Defensive rebound by L. Nance,,105-86,,
9:51.0,Turnover by L. Williams (lost ball; steal by K. Middleton),,105-86,,
9:47.0,,,105-88,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
9:47.0,LA Lakers full timeout,,105-88,,
9:26.0,I. Zubac misses 2-pt shot from 7 ft,,105-88,,
9:25.0,,,105-88,,Defensive rebound by G. Antetokounmpo
9:12.0,,,105-91,3,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Brogdon)
8:41.0,I. Zubac misses 2-pt shot from 16 ft,,105-91,,
8:40.0,,,105-91,,Defensive rebound by G. Antetokounmpo
8:32.0,,,105-91,,Shooting foul by J. Clarkson (drawn by G. Antetokounmpo)
8:32.0,,,105-92,1,G. Antetokounmpo makes free throw 1 of 2
8:32.0,,,105-93,1,G. Antetokounmpo makes free throw 2 of 2
8:32.0,,,105-92,,J. Terry enters the game for K. Middleton
8:06.0,J. Clarkson misses 3-pt shot from 26 ft,,105-93,,
8:05.0,,,105-93,,Defensive rebound by T. Maker
7:54.0,,,105-93,,T. Maker misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by L. Nance,,105-93,,
7:51.0,,,105-93,,Personal foul by T. Maker (drawn by J. Clarkson)
7:51.0,B. Ingram enters the game for I. Zubac,,105-93,,
7:44.0,,,105-93,,Personal foul by T. Maker (drawn by L. Nance)
7:31.0,L. Williams misses 2-pt shot from 2 ft,,105-93,,
7:29.0,,,105-93,,Defensive rebound by M. Teletovic
7:23.0,,,105-93,,M. Teletovic misses 3-pt shot from 24 ft
7:22.0,,,105-93,,Offensive rebound by J. Terry
7:18.0,,,105-93,,Turnover by G. Antetokounmpo (lost ball; steal by L. Deng)
7:02.0,Turnover by L. Williams (bad pass; steal by G. Antetokounmpo),,105-93,,
6:59.0,,,105-95,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
6:59.0,,,105-95,,Shooting foul by L. Williams (drawn by M. Brogdon)
6:59.0,,,105-96,1,M. Brogdon makes free throw 1 of 1
6:59.0,D. Russell enters the game for L. Williams,,105-95,,
6:59.0,N. Young enters the game for J. Clarkson,,105-95,,
6:38.0,D. Russell misses 3-pt shot from 25 ft,,105-96,,
6:37.0,,,105-96,,Defensive rebound by M. Teletovic
6:29.0,,,105-98,2,M. Brogdon makes 2-pt shot from 1 ft
6:28.0,LA Lakers full timeout,,105-98,,
6:28.0,J. Randle enters the game for B. Ingram,,105-98,,
6:12.0,,,105-98,,Personal foul by J. Terry (drawn by N. Young)
6:06.0,J. Randle makes 2-pt shot at rim (assist by L. Nance),2,107-98,,
5:42.0,,,107-98,,G. Antetokounmpo misses 3-pt shot from 26 ft
5:41.0,Defensive rebound by J. Randle,,107-98,,
5:29.0,,,107-98,,Violation by M. Brogdon (kicked ball)
5:29.0,,,107-98,,M. Beasley enters the game for M. Teletovic
5:24.0,Turnover by D. Russell (bad pass),,107-98,,
5:11.0,,,107-98,,Turnover by M. Brogdon (lost ball)
5:11.0,,,107-98,,Loose ball foul by M. Brogdon (drawn by D. Russell)
5:11.0,,,107-98,,Technical foul by J. Terry
5:11.0,N. Young makes technical free throw,1,108-98,,
4:49.0,D. Russell misses 2-pt shot from 2 ft,,108-98,,
4:48.0,Offensive rebound by L. Nance,,108-98,,
4:48.0,L. Nance misses 2-pt shot from 1 ft,,108-98,,
4:48.0,Offensive rebound by J. Randle,,108-98,,
4:48.0,Shooting foul by T. Maker (drawn by J. Randle),,108-98,,
4:48.0,J. Randle makes 2-pt shot from 1 ft,2,110-98,,
4:48.0,J. Randle makes free throw 1 of 1,1,111-98,,
4:48.0,,,110-98,,G. Monroe enters the game for T. Maker
