time,Orlando,pts.away,score,pts.home,New York
2:29.0,,,15-20,,Defensive rebound by C. Anthony
2:19.0,,,15-22,2,K. O'Quinn makes 2-pt shot from 16 ft (assist by B. Jennings)
2:08.0,,,15-22,,Personal foul by B. Jennings (drawn by E. Payton)
2:08.0,C. Watson enters the game for S. Ibaka,,15-22,,
2:03.0,E. Fournier misses 2-pt shot from 16 ft (block by C. Lee),,15-22,,
2:02.0,,,15-22,,Defensive rebound by W. Hernangomez
1:57.0,,,15-22,,Turnover by W. Hernangomez (bad pass; steal by J. Green)
1:52.0,Shooting foul by W. Hernangomez (drawn by J. Green),,15-22,,
1:52.0,J. Green makes free throw 1 of 2,1,16-22,,
1:52.0,J. Green makes free throw 2 of 2,1,17-22,,
1:31.0,,,17-25,3,W. Hernangomez makes 3-pt shot from 24 ft (assist by B. Jennings)
1:17.0,E. Payton misses 2-pt shot from 2 ft (block by K. O'Quinn),,17-25,,
1:16.0,,,17-25,,Defensive rebound by C. Anthony
1:04.0,,,17-27,2,C. Lee makes 2-pt shot from 14 ft (assist by B. Jennings)
0:50.0,,,17-27,,M. Kuzminskas enters the game for C. Anthony
0:48.0,J. Green makes 2-pt shot from 3 ft (assist by C. Watson),2,19-27,,
0:29.0,,,19-27,,C. Lee misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by E. Fournier,,19-27,,
0:08.0,J. Green misses 2-pt shot from 22 ft,,19-27,,
0:07.0,,,19-27,,Defensive rebound by K. O'Quinn
0:01.0,,,19-27,,B. Jennings misses 2-pt shot from 5 ft
0:00.0,,,19-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Watson makes 2-pt shot from 15 ft,2,21-27,,
11:22.0,Personal foul by B. Biyombo (drawn by W. Hernangomez),,21-27,,
11:16.0,,,21-30,3,M. Kuzminskas makes 3-pt shot from 26 ft (assist by B. Jennings)
10:53.0,E. Payton misses 3-pt shot from 26 ft,,21-30,,
10:52.0,,,21-30,,Defensive rebound by K. O'Quinn
10:36.0,,,21-30,,W. Hernangomez misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by N. Vucevic,,21-30,,
10:28.0,B. Biyombo makes 2-pt shot at rim (assist by C. Watson),2,23-30,,
10:08.0,,,23-32,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by B. Jennings)
9:54.0,C. Watson misses 3-pt shot from 23 ft,,23-32,,
9:53.0,,,23-32,,Defensive rebound by M. Kuzminskas
9:40.0,,,23-32,,M. Kuzminskas misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by B. Biyombo,,23-32,,
9:31.0,Turnover by E. Payton (bad pass),,23-32,,
9:31.0,,,23-32,,K. Porzingis enters the game for W. Hernangomez
9:18.0,,,23-32,,J. Holiday misses 2-pt shot from 3 ft
9:17.0,,,23-32,,Offensive rebound by K. Porzingis
9:17.0,,,23-34,2,K. Porzingis makes 2-pt shot from 1 ft
9:01.0,N. Vucevic misses 2-pt shot from 11 ft,,23-34,,
9:00.0,,,23-34,,Defensive rebound by K. O'Quinn
8:56.0,,,23-36,2,M. Kuzminskas makes 2-pt shot from 3 ft (assist by B. Jennings)
8:55.0,Orlando full timeout,,23-36,,
8:36.0,J. Green makes 2-pt shot from 1 ft,2,25-36,,
8:13.0,,,25-36,,K. O'Quinn misses 2-pt shot from 1 ft
8:12.0,,,25-36,,Offensive rebound by K. Porzingis
8:12.0,,,25-36,,K. Porzingis misses 2-pt shot at rim
8:11.0,,,25-36,,Offensive rebound by K. O'Quinn
8:10.0,,,25-38,2,K. O'Quinn makes 2-pt shot at rim
7:55.0,E. Payton misses 2-pt shot from 7 ft,,25-38,,
7:54.0,,,25-38,,Defensive rebound by K. O'Quinn
7:44.0,,,25-38,,Turnover by K. O'Quinn (bad pass; steal by J. Green)
7:35.0,C. Watson makes 2-pt shot from 4 ft,2,27-38,,
7:24.0,,,27-38,,Shooting foul by C. Watson (drawn by K. O'Quinn)
7:24.0,,,27-39,1,K. O'Quinn makes free throw 1 of 2
7:24.0,,,27-40,1,K. O'Quinn makes free throw 2 of 2
7:12.0,Turnover by E. Payton (bad pass; steal by K. Porzingis),,27-40,,
6:51.0,,,27-40,,B. Jennings misses 2-pt shot from 14 ft
6:50.0,,,27-40,,Offensive rebound by Team
6:50.0,Loose ball foul by E. Payton (drawn by K. Porzingis),,27-40,,
6:50.0,,,27-40,,J. Noah enters the game for K. O'Quinn
6:39.0,,,27-40,,K. Porzingis misses 2-pt shot from 15 ft
6:38.0,,,27-40,,Offensive rebound by Team
6:34.0,,,27-42,2,J. Holiday makes 2-pt shot from 2 ft (assist by M. Kuzminskas)
6:16.0,Shooting foul by M. Kuzminskas (drawn by B. Biyombo),,27-42,,
6:16.0,B. Biyombo misses free throw 1 of 2,,27-42,,
6:16.0,Offensive rebound by Team,,27-42,,
6:16.0,B. Biyombo makes free throw 2 of 2,1,28-42,,
6:00.0,,,28-44,2,K. Porzingis makes 2-pt shot from 1 ft (assist by B. Jennings)
5:45.0,J. Green misses 3-pt shot from 25 ft,,28-44,,
5:44.0,,,28-44,,Defensive rebound by M. Kuzminskas
5:40.0,,,28-44,,Turnover by B. Jennings (bad pass; steal by J. Green)
5:36.0,C. Watson misses 3-pt shot from 25 ft,,28-44,,
5:35.0,,,28-44,,Defensive rebound by Team
5:35.0,Loose ball foul by B. Biyombo (drawn by J. Noah),,28-44,,
5:35.0,Official timeout,,28-44,,
5:35.0,,,28-44,,C. Anthony enters the game for M. Kuzminskas
5:18.0,,,28-44,,J. Holiday misses 2-pt shot from 3 ft
5:17.0,Defensive rebound by E. Payton,,28-44,,
5:10.0,N. Vucevic misses 2-pt shot from 20 ft,,28-44,,
5:09.0,,,28-44,,Defensive rebound by C. Anthony
4:56.0,,,28-44,,Turnover by B. Jennings (bad pass; steal by E. Payton)
4:50.0,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic),2,30-44,,
4:40.0,,,30-44,,Shooting foul by N. Vucevic (drawn by B. Jennings)
4:40.0,,,30-44,,B. Jennings misses free throw 1 of 2
4:40.0,,,30-44,,Offensive rebound by Team
4:40.0,,,30-45,1,B. Jennings makes free throw 2 of 2
4:40.0,S. Ibaka enters the game for N. Vucevic,,30-44,,
4:40.0,E. Fournier enters the game for C. Watson,,30-44,,
4:40.0,,,30-44,,C. Lee enters the game for J. Holiday
4:33.0,Turnover by E. Payton (bad pass),,30-45,,
4:33.0,,,30-45,,D. Rose enters the game for B. Jennings
4:27.0,,,30-45,,Turnover by C. Lee (bad pass)
4:08.0,B. Biyombo makes 2-pt shot from 5 ft (assist by E. Fournier),2,32-45,,
3:54.0,,,32-45,,K. Porzingis misses 2-pt shot from 1 ft
3:53.0,Defensive rebound by S. Ibaka,,32-45,,
3:42.0,S. Ibaka makes 2-pt shot from 16 ft (assist by E. Payton),2,34-45,,
3:33.0,,,34-45,,D. Rose misses 2-pt shot from 9 ft
3:32.0,,,34-45,,Offensive rebound by J. Noah
3:32.0,,,34-45,,J. Noah misses 2-pt shot from 2 ft
3:31.0,,,34-45,,Offensive rebound by J. Noah
3:31.0,,,34-45,,J. Noah misses 2-pt shot from 2 ft
3:30.0,,,34-45,,Offensive rebound by D. Rose
3:29.0,,,34-47,2,D. Rose makes 2-pt shot from 2 ft
3:11.0,S. Ibaka misses 3-pt shot from 27 ft,,34-47,,
3:10.0,Offensive rebound by Team,,34-47,,
3:10.0,,,34-47,,Loose ball foul by C. Anthony (drawn by J. Green)
3:10.0,D. Augustin enters the game for E. Payton,,34-47,,
3:10.0,A. Gordon enters the game for J. Green,,34-47,,
3:04.0,B. Biyombo misses 2-pt shot from 2 ft (block by K. Porzingis),,34-47,,
3:03.0,,,34-47,,Defensive rebound by K. Porzingis
2:52.0,,,34-47,,K. Porzingis misses 2-pt shot from 1 ft (block by B. Biyombo)
2:51.0,Defensive rebound by B. Biyombo,,34-47,,
2:46.0,E. Fournier makes 2-pt shot from 1 ft,2,36-47,,
2:32.0,,,36-47,,C. Anthony misses 2-pt shot from 17 ft
2:31.0,Defensive rebound by Team,,36-47,,
2:31.0,,,36-47,,Loose ball foul by J. Noah (drawn by A. Gordon)
2:31.0,,,36-47,,New York full timeout
2:31.0,N. Vucevic enters the game for B. Biyombo,,36-47,,
2:15.0,N. Vucevic makes 2-pt shot from 11 ft,2,38-47,,
1:50.0,,,38-47,,C. Anthony misses 2-pt shot from 11 ft
1:49.0,,,38-47,,Offensive rebound by C. Lee
1:38.0,,,38-47,,Shooting foul by N. Vucevic (drawn by C. Anthony)
1:38.0,,,38-48,1,C. Anthony makes free throw 1 of 2
1:38.0,,,38-49,1,C. Anthony makes free throw 2 of 2
1:26.0,E. Fournier misses 2-pt shot from 23 ft,,38-49,,
1:25.0,Offensive rebound by S. Ibaka,,38-49,,
1:23.0,N. Vucevic makes 2-pt shot from 1 ft,2,40-49,,
1:13.0,,,40-52,3,K. Porzingis makes 3-pt shot from 26 ft (assist by D. Rose)
0:56.0,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Fournier),3,43-52,,
0:46.0,,,43-54,2,C. Anthony makes 2-pt shot from 13 ft
0:46.0,,,43-54,,Shooting foul by A. Gordon (drawn by C. Anthony)
0:46.0,,,43-55,1,C. Anthony makes free throw 1 of 1
0:46.0,J. Green enters the game for N. Vucevic,,43-54,,
0:44.0,Orlando full timeout,,43-55,,
0:32.0,E. Fournier makes 2-pt shot from 1 ft,2,45-55,,
0:16.0,,,45-55,,Shooting foul by S. Ibaka (drawn by D. Rose)
0:16.0,,,45-56,1,D. Rose makes free throw 1 of 2
0:16.0,,,45-57,1,D. Rose makes free throw 2 of 2
0:16.0,C. Watson enters the game for A. Gordon,,45-56,,
0:16.0,,,45-56,,J. Holiday enters the game for J. Noah
0:00.0,E. Fournier makes 2-pt shot from 14 ft,2,47-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Fournier),3,50-57,,
11:29.0,,,50-57,,C. Anthony misses 3-pt shot from 26 ft
11:28.0,Defensive rebound by D. Augustin,,50-57,,
11:23.0,A. Gordon misses 2-pt shot from 1 ft,,50-57,,
11:22.0,,,50-57,,Defensive rebound by C. Anthony
11:06.0,,,50-57,,K. Porzingis misses 2-pt shot from 15 ft
11:05.0,Defensive rebound by A. Gordon,,50-57,,
10:51.0,Turnover by S. Ibaka (lost ball; steal by C. Anthony),,50-57,,
10:39.0,,,50-57,,D. Rose misses 2-pt shot from 12 ft
10:38.0,Defensive rebound by B. Biyombo,,50-57,,
10:21.0,Turnover by D. Augustin (bad pass; steal by C. Lee),,50-57,,
10:14.0,,,50-57,,Turnover by K. Porzingis (bad pass)
9:57.0,A. Gordon makes 2-pt shot from 18 ft,2,52-57,,
9:42.0,,,52-57,,D. Rose misses 2-pt shot from 1 ft
9:41.0,,,52-57,,Offensive rebound by J. Noah
9:41.0,,,52-57,,J. Noah misses 2-pt shot from 2 ft
9:40.0,Defensive rebound by D. Augustin,,52-57,,
9:34.0,A. Gordon misses 3-pt shot from 25 ft,,52-57,,
9:33.0,,,52-57,,Defensive rebound by J. Noah
9:22.0,,,52-59,2,C. Anthony makes 2-pt shot from 18 ft (assist by J. Noah)
9:13.0,A. Gordon misses 3-pt shot from 25 ft,,52-59,,
9:11.0,,,52-59,,Defensive rebound by D. Rose
8:58.0,,,52-59,,C. Anthony misses 2-pt shot from 18 ft
8:57.0,Defensive rebound by A. Gordon,,52-59,,
8:46.0,S. Ibaka makes 2-pt shot from 1 ft (assist by D. Augustin),2,54-59,,
8:33.0,,,54-61,2,D. Rose makes 2-pt shot from 19 ft
8:14.0,S. Ibaka misses 2-pt shot from 9 ft,,54-61,,
8:13.0,,,54-61,,Defensive rebound by C. Lee
8:01.0,,,54-64,3,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Lee)
7:40.0,Turnover by E. Fournier (lost ball; steal by J. Noah),,54-64,,
7:36.0,,,54-64,,Turnover by K. Porzingis (lost ball)
7:13.0,E. Fournier misses 3-pt shot from 28 ft,,54-64,,
7:12.0,,,54-64,,Defensive rebound by D. Rose
7:03.0,,,54-66,2,C. Anthony makes 2-pt shot from 3 ft
7:02.0,Orlando full timeout,,54-66,,
6:47.0,D. Augustin misses 3-pt shot from 25 ft,,54-66,,
6:46.0,,,54-66,,Defensive rebound by C. Anthony
6:37.0,,,54-66,,Turnover by J. Noah (offensive foul)
6:37.0,,,54-66,,Offensive foul by J. Noah
6:17.0,B. Biyombo makes 2-pt shot from 15 ft (assist by A. Gordon),2,56-66,,
6:01.0,,,56-66,,C. Anthony misses 2-pt shot from 17 ft
6:00.0,Defensive rebound by E. Fournier,,56-66,,
5:49.0,S. Ibaka misses 2-pt shot from 15 ft,,56-66,,
5:48.0,,,56-66,,Defensive rebound by Team
5:48.0,E. Payton enters the game for D. Augustin,,56-66,,
5:48.0,N. Vucevic enters the game for B. Biyombo,,56-66,,
5:34.0,,,56-68,2,J. Noah makes 2-pt shot from 2 ft (assist by C. Anthony)
5:21.0,E. Fournier misses 3-pt shot from 24 ft,,56-68,,
5:20.0,,,56-68,,Defensive rebound by D. Rose
5:05.0,,,56-71,3,C. Lee makes 3-pt shot from 26 ft (assist by K. Porzingis)
4:56.0,Turnover by E. Payton (lost ball; steal by J. Noah),,56-71,,
4:52.0,,,56-73,2,K. Porzingis makes 2-pt shot from 1 ft (assist by C. Lee)
4:51.0,Orlando full timeout,,56-73,,
4:51.0,J. Green enters the game for A. Gordon,,56-73,,
4:42.0,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic),3,59-73,,
4:27.0,,,59-75,2,D. Rose makes 2-pt shot from 6 ft (assist by C. Lee)
4:14.0,S. Ibaka makes 2-pt shot from 1 ft (assist by N. Vucevic),2,61-75,,
4:01.0,,,61-75,,C. Anthony misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by E. Payton,,61-75,,
3:56.0,,,61-75,,Personal block foul by C. Lee (drawn by E. Fournier)
3:56.0,,,61-75,,K. O'Quinn enters the game for J. Noah
3:56.0,,,61-75,,W. Hernangomez enters the game for K. Porzingis
3:48.0,N. Vucevic misses 2-pt shot from 12 ft,,61-75,,
3:47.0,,,61-75,,Defensive rebound by C. Anthony
3:37.0,,,61-75,,K. O'Quinn misses 2-pt shot from 18 ft
3:36.0,Defensive rebound by E. Fournier,,61-75,,
3:30.0,E. Fournier makes 2-pt shot at rim,2,63-75,,
3:14.0,,,63-77,2,D. Rose makes 2-pt shot from 11 ft
3:02.0,S. Ibaka makes 2-pt shot from 15 ft (assist by N. Vucevic),2,65-77,,
2:50.0,,,65-79,2,K. O'Quinn makes 2-pt shot from 16 ft (assist by D. Rose)
2:33.0,E. Fournier misses 3-pt shot from 27 ft,,65-79,,
2:32.0,Offensive rebound by N. Vucevic,,65-79,,
2:31.0,N. Vucevic misses 2-pt shot from 4 ft (block by K. O'Quinn),,65-79,,
2:30.0,Offensive rebound by Team,,65-79,,
2:30.0,,,65-79,,New York full timeout
2:30.0,,,65-79,,Inbound foul by W. Hernangomez
2:30.0,E. Fournier makes free throw 1 of 1,1,66-79,,
2:22.0,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Fournier),2,68-79,,
1:57.0,,,68-79,,D. Rose misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by E. Fournier,,68-79,,
1:46.0,S. Ibaka makes 2-pt shot from 8 ft (assist by N. Vucevic),2,70-79,,
1:21.0,,,70-79,,D. Rose misses 2-pt shot from 3 ft (block by S. Ibaka)
1:20.0,Defensive rebound by E. Payton,,70-79,,
1:16.0,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton),2,72-79,,
0:59.0,,,72-79,,Shooting foul by E. Fournier (drawn by D. Rose)
0:59.0,,,72-80,1,D. Rose makes free throw 1 of 2
0:59.0,,,72-81,1,D. Rose makes free throw 2 of 2
0:59.0,,,72-80,,K. Porzingis enters the game for K. O'Quinn
0:59.0,,,72-80,,M. Kuzminskas enters the game for C. Anthony
0:49.0,Turnover by E. Fournier (bad pass),,72-81,,
0:30.0,,,72-81,,C. Lee misses 2-pt shot from 9 ft
0:29.0,Defensive rebound by N. Vucevic,,72-81,,
0:09.0,Turnover by J. Green (lost ball; steal by M. Kuzminskas),,72-81,,
0:05.0,,,72-81,,Turnover by K. Porzingis (lost ball; steal by E. Payton)
0:01.0,E. Payton misses 3-pt shot from 47 ft (block by M. Kuzminskas),,72-81,,
0:00.0,Offensive rebound by Team,,72-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,72-81,,K. Porzingis misses 2-pt shot from 4 ft
11:43.0,Defensive rebound by B. Biyombo,,72-81,,
11:38.0,,,72-81,,Personal take foul by B. Jennings (drawn by E. Payton)
11:38.0,,,72-81,,K. O'Quinn enters the game for K. Porzingis
11:23.0,N. Vucevic misses 3-pt shot from 25 ft (block by K. O'Quinn),,72-81,,
11:22.0,,,72-81,,Defensive rebound by K. O'Quinn
11:18.0,,,72-81,,Shooting foul by N. Vucevic (drawn by M. Kuzminskas)
11:18.0,,,72-82,1,M. Kuzminskas makes free throw 1 of 2
11:18.0,,,72-82,,M. Kuzminskas misses free throw 2 of 2
11:17.0,Defensive rebound by E. Payton,,72-82,,
11:07.0,B. Biyombo misses 2-pt shot from 2 ft (block by K. O'Quinn),,72-82,,
11:06.0,Offensive rebound by E. Payton,,72-82,,
11:04.0,E. Payton makes 2-pt shot from 5 ft,2,74-82,,
10:51.0,,,74-84,2,W. Hernangomez makes 2-pt shot from 15 ft (assist by B. Jennings)
10:38.0,Shooting foul by W. Hernangomez (drawn by B. Biyombo),,74-84,,
10:38.0,B. Biyombo makes free throw 1 of 2,1,75-84,,
10:38.0,B. Biyombo makes free throw 2 of 2,1,76-84,,
10:22.0,,,76-84,,K. O'Quinn misses 2-pt shot from 15 ft
10:21.0,,,76-84,,Offensive rebound by W. Hernangomez
10:19.0,,,76-86,2,W. Hernangomez makes 2-pt shot from 2 ft
10:05.0,Turnover by J. Green (bad pass; steal by J. Holiday),,76-86,,
9:54.0,,,76-88,2,W. Hernangomez makes 2-pt shot from 14 ft (assist by B. Jennings)
9:53.0,Orlando full timeout,,76-88,,
9:48.0,Offensive foul by N. Vucevic,,76-88,,
9:48.0,Turnover by N. Vucevic (offensive foul),,76-88,,
9:36.0,,,76-88,,J. Holiday misses 2-pt shot from 1 ft (block by B. Biyombo)
9:35.0,Defensive rebound by B. Biyombo,,76-88,,
9:21.0,J. Green misses 3-pt shot from 24 ft,,76-88,,
9:20.0,,,76-88,,Defensive rebound by K. O'Quinn
9:13.0,,,76-90,2,W. Hernangomez makes 2-pt shot from 15 ft (assist by M. Kuzminskas)
8:58.0,Shooting foul by K. O'Quinn (drawn by N. Vucevic),,76-90,,
8:58.0,N. Vucevic makes free throw 1 of 2,1,77-90,,
8:58.0,N. Vucevic makes free throw 2 of 2,1,78-90,,
8:39.0,,,78-90,,J. Holiday misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by C. Watson,,78-90,,
8:28.0,J. Green misses 2-pt shot from 2 ft,,78-90,,
8:27.0,,,78-90,,Defensive rebound by K. O'Quinn
8:22.0,,,78-90,,J. Holiday misses 2-pt shot from 20 ft
8:21.0,,,78-90,,Offensive rebound by B. Jennings
8:15.0,,,78-92,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by M. Kuzminskas)
8:05.0,E. Fournier enters the game for B. Biyombo,,78-92,,
7:52.0,E. Payton misses 2-pt shot from 5 ft,,78-92,,
7:51.0,,,78-92,,Defensive rebound by K. O'Quinn
7:46.0,,,78-95,3,B. Jennings makes 3-pt shot from 26 ft
7:45.0,Orlando full timeout,,78-95,,
7:30.0,N. Vucevic misses 2-pt shot from 8 ft,,78-95,,
7:29.0,Offensive rebound by N. Vucevic,,78-95,,
7:22.0,C. Watson misses 3-pt shot from 23 ft,,78-95,,
7:21.0,Offensive rebound by E. Payton,,78-95,,
7:20.0,E. Payton makes 2-pt shot from 2 ft,2,80-95,,
7:10.0,Personal take foul by E. Fournier (drawn by B. Jennings),,80-95,,
6:53.0,,,80-95,,K. O'Quinn misses 3-pt shot from 28 ft
6:52.0,Defensive rebound by E. Payton,,80-95,,
6:35.0,N. Vucevic misses 2-pt shot from 7 ft,,80-95,,
6:34.0,,,80-95,,Defensive rebound by K. O'Quinn
6:28.0,,,80-95,,B. Jennings misses 2-pt shot from 3 ft
6:27.0,Defensive rebound by Team,,80-95,,
6:27.0,,,80-95,,Loose ball foul by M. Kuzminskas (drawn by C. Watson)
6:18.0,E. Fournier misses 2-pt shot from 3 ft,,80-95,,
6:15.0,Offensive rebound by E. Fournier,,80-95,,
6:13.0,Shooting foul by K. O'Quinn (drawn by N. Vucevic),,80-95,,
6:13.0,N. Vucevic misses free throw 1 of 2,,80-95,,
6:13.0,Offensive rebound by Team,,80-95,,
6:13.0,N. Vucevic misses free throw 2 of 2,,80-95,,
6:13.0,S. Ibaka enters the game for C. Watson,,80-95,,
6:12.0,,,80-95,,Defensive rebound by K. O'Quinn
5:53.0,,,80-98,3,J. Holiday makes 3-pt shot from 27 ft (assist by B. Jennings)
5:36.0,E. Payton makes 3-pt shot from 25 ft (assist by N. Vucevic),3,83-98,,
5:14.0,,,83-98,,W. Hernangomez misses 3-pt shot from 23 ft
5:13.0,,,83-98,,Offensive rebound by K. O'Quinn
5:13.0,,,83-100,2,K. O'Quinn makes 2-pt shot from 2 ft
4:48.0,E. Payton misses 2-pt shot from 15 ft,,83-100,,
