time,Orlando,pts.away,score,pts.home,San Antonio
1:51.0,,,37-33,,Shooting foul by N. Vucevic (drawn by D. Lee)
1:51.0,,,37-34,1,D. Lee makes free throw 1 of 2
1:51.0,,,37-35,1,D. Lee makes free throw 2 of 2
1:42.0,E. Payton misses 2-pt shot from 2 ft,,37-35,,
1:41.0,,,37-35,,Defensive rebound by L. Aldridge
1:22.0,,,37-38,3,M. Ginobili makes 3-pt shot from 25 ft (assist by L. Aldridge)
1:07.0,Turnover by N. Vucevic (traveling),,37-38,,
1:07.0,B. Biyombo enters the game for N. Vucevic,,37-38,,
1:07.0,J. Green enters the game for C. Watson,,37-38,,
0:55.0,,,37-38,,Shooting foul by E. Payton
0:55.0,,,37-39,1,P. Mills makes free throw 1 of 2
0:55.0,,,37-40,1,P. Mills makes free throw 2 of 2
0:55.0,D. Augustin enters the game for E. Payton,,37-39,,
0:42.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. Augustin),3,40-40,,
0:31.0,,,40-40,,Turnover by P. Mills (bad pass; steal by B. Biyombo)
0:28.0,J. Green makes 2-pt shot from 3 ft (assist by D. Augustin),2,42-40,,
0:04.0,,,42-43,3,L. Aldridge makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:00.0,E. Fournier makes 3-pt shot from 25 ft,3,45-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,45-43,,P. Gasol misses 2-pt shot from 15 ft
11:33.0,Defensive rebound by E. Fournier,,45-43,,
11:15.0,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier),2,47-43,,
10:59.0,,,47-43,,Shooting foul by S. Ibaka (drawn by T. Parker)
10:59.0,,,47-44,1,T. Parker makes free throw 1 of 2
10:59.0,,,47-45,1,T. Parker makes free throw 2 of 2
10:45.0,A. Gordon makes 2-pt shot at rim (assist by B. Biyombo),2,49-45,,
10:24.0,,,49-45,,K. Leonard misses 2-pt shot from 17 ft
10:24.0,,,49-45,,Offensive rebound by P. Gasol
10:20.0,,,49-48,3,K. Leonard makes 3-pt shot from 26 ft (assist by P. Gasol)
10:02.0,S. Ibaka makes 2-pt shot from 18 ft (assist by D. Augustin),2,51-48,,
9:46.0,,,51-50,2,D. Green makes 2-pt shot from 2 ft
9:32.0,E. Fournier makes 2-pt shot from 17 ft,2,53-50,,
9:16.0,,,53-50,,K. Leonard misses 2-pt shot at rim (block by B. Biyombo)
9:16.0,,,53-50,,Offensive rebound by P. Gasol
9:16.0,,,53-50,,Shooting foul by E. Fournier (drawn by P. Gasol)
9:16.0,,,53-51,1,P. Gasol makes free throw 1 of 2
9:16.0,,,53-52,1,P. Gasol makes free throw 2 of 2
9:07.0,E. Fournier misses 3-pt shot from 27 ft,,53-52,,
9:06.0,,,53-52,,Defensive rebound by P. Gasol
8:53.0,,,53-52,,T. Parker misses 2-pt shot from 8 ft
8:52.0,Defensive rebound by D. Augustin,,53-52,,
8:27.0,B. Biyombo misses 2-pt shot from 8 ft,,53-52,,
8:25.0,,,53-52,,Defensive rebound by D. Green
8:17.0,,,53-52,,Shooting foul by A. Gordon (drawn by K. Leonard)
8:17.0,,,53-53,1,K. Leonard makes free throw 1 of 2
8:17.0,,,53-54,1,K. Leonard makes free throw 2 of 2
8:00.0,D. Augustin makes 3-pt shot from 25 ft (assist by E. Fournier),3,56-54,,
7:41.0,,,56-54,,Turnover by T. Parker (bad pass)
7:28.0,S. Ibaka makes 3-pt shot from 25 ft (assist by D. Augustin),3,59-54,,
7:12.0,,,59-56,2,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green)
6:51.0,B. Biyombo misses 2-pt shot from 16 ft,,59-56,,
6:50.0,,,59-56,,Defensive rebound by L. Aldridge
6:32.0,,,59-58,2,K. Leonard makes 2-pt shot from 16 ft (assist by D. Green)
6:10.0,A. Gordon makes 2-pt shot from 10 ft,2,61-58,,
