time,Cleveland,pts.away,score,pts.home,Boston
6:10.0,Shooting foul by K. Olynyk (drawn by L. James),,14-9,,
6:10.0,L. James misses free throw 1 of 2,,14-9,,
6:10.0,Offensive rebound by Team,,14-9,,
6:10.0,L. James makes free throw 2 of 2,1,15-9,,
6:04.0,,,15-9,,Boston full timeout
5:50.0,,,15-9,,K. Olynyk misses 2-pt shot from 13 ft
5:48.0,Defensive rebound by K. Love,,15-9,,
5:45.0,Turnover by L. James (lost ball; steal by I. Thomas),,15-9,,
5:29.0,,,15-9,,I. Thomas misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by K. Love,,15-9,,
5:18.0,K. Irving makes 2-pt shot from 19 ft,2,17-9,,
5:00.0,,,17-9,,K. Olynyk misses 3-pt shot from 25 ft
4:59.0,,,17-9,,Offensive rebound by J. Crowder
4:55.0,,,17-9,,A. Bradley misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by K. Love,,17-9,,
4:46.0,,,17-9,,Def 3 sec tech foul by K. Olynyk
4:46.0,K. Irving makes technical free throw,1,18-9,,
4:46.0,K. Korver enters the game for K. Love,,18-9,,
4:46.0,,,18-9,,M. Smart enters the game for I. Thomas
4:40.0,L. James makes 2-pt shot from 2 ft (assist by J. Smith),2,20-9,,
4:27.0,,,20-9,,Turnover by A. Horford (bad pass)
4:17.0,L. James makes 2-pt shot from 3 ft,2,22-9,,
3:55.0,,,22-11,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Horford)
3:41.0,Turnover by K. Irving (bad pass; steal by A. Horford),,22-11,,
3:38.0,,,22-13,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Horford)
3:38.0,Shooting block foul by K. Korver (drawn by A. Bradley),,22-13,,
3:38.0,,,22-13,,A. Bradley misses free throw 1 of 1
3:38.0,Defensive rebound by T. Thompson,,22-13,,
3:38.0,,,22-13,,J. Brown enters the game for J. Crowder
3:15.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,24-13,,
2:59.0,,,24-13,,Turnover by A. Bradley (bad pass; steal by L. James)
2:56.0,K. Irving misses 2-pt shot from 3 ft,,24-13,,
2:55.0,Offensive rebound by T. Thompson,,24-13,,
2:54.0,Offensive foul by T. Thompson,,24-13,,
2:54.0,Turnover by T. Thompson (offensive foul),,24-13,,
2:54.0,Cleveland full timeout,,24-13,,
2:54.0,,,24-13,,I. Thomas enters the game for A. Horford
2:38.0,,,24-15,2,I. Thomas makes 2-pt shot from 20 ft (assist by K. Olynyk)
2:18.0,J. Smith misses 3-pt shot from 25 ft,,24-15,,
2:17.0,Offensive rebound by L. James,,24-15,,
2:06.0,K. Irving misses 3-pt shot from 25 ft,,24-15,,
2:05.0,,,24-15,,Defensive rebound by Team
1:47.0,,,24-17,2,J. Brown makes 2-pt shot from 2 ft (assist by I. Thomas)
1:21.0,L. James makes 2-pt shot from 2 ft,2,26-17,,
1:10.0,,,26-17,,Offensive foul by K. Olynyk
1:10.0,,,26-17,,Turnover by K. Olynyk (offensive foul)
1:10.0,I. Shumpert enters the game for J. Smith,,26-17,,
0:53.0,L. James makes 2-pt shot from 2 ft,2,28-17,,
0:39.0,,,28-17,,K. Olynyk misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by K. Korver,,28-17,,
0:20.0,,,28-17,,Violation by M. Smart (def goaltending)
0:20.0,L. James makes 2-pt shot from 5 ft,2,30-17,,
0:02.0,,,30-19,2,J. Brown makes 2-pt shot from 2 ft (assist by I. Thomas)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,30-19,,Personal foul by M. Smart (drawn by R. Jefferson)
11:38.0,,,30-19,,Shooting block foul by M. Smart (drawn by D. Williams)
11:38.0,D. Williams makes free throw 1 of 2,1,31-19,,
11:38.0,D. Williams makes free throw 2 of 2,1,32-19,,
11:24.0,,,32-19,,I. Thomas misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by K. Love,,32-19,,
11:12.0,D. Williams misses 2-pt shot from 8 ft,,32-19,,
11:11.0,,,32-19,,Defensive rebound by J. Brown
11:04.0,,,32-19,,M. Smart misses 3-pt shot from 26 ft
11:03.0,,,32-19,,Offensive rebound by J. Brown
11:00.0,,,32-19,,A. Horford misses 2-pt shot from 3 ft
10:59.0,Defensive rebound by Team,,32-19,,
10:59.0,,,32-19,,Loose ball foul by A. Horford (drawn by K. Love)
10:41.0,K. Love makes 2-pt shot from 2 ft,2,34-19,,
10:27.0,,,34-19,,Shooting foul by D. Williams (drawn by M. Smart)
10:27.0,,,34-20,1,M. Smart makes free throw 1 of 2
10:27.0,,,34-20,,M. Smart misses free throw 2 of 2
10:27.0,Defensive rebound by I. Shumpert,,34-20,,
10:08.0,K. Love makes 2-pt shot from 1 ft (assist by D. Williams),2,36-20,,
10:07.0,,,36-20,,Boston full timeout
9:50.0,,,36-20,,Turnover by A. Horford (traveling)
9:33.0,Turnover by K. Love (lost ball; steal by M. Smart),,36-20,,
9:28.0,,,36-20,,I. Thomas misses 2-pt shot from 3 ft
9:27.0,,,36-20,,Offensive rebound by J. Brown
9:19.0,,,36-22,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford)
9:06.0,Turnover by D. Williams (bad pass; steal by M. Smart),,36-22,,
9:04.0,,,36-24,2,M. Smart makes 2-pt shot from 2 ft
9:04.0,Shooting block foul by K. Love (drawn by M. Smart),,36-24,,
9:04.0,,,36-25,1,M. Smart makes free throw 1 of 1
9:04.0,L. James enters the game for K. Korver,,36-24,,
9:04.0,,,36-24,,T. Rozier enters the game for J. Brown
8:50.0,D. Williams misses 3-pt shot from 27 ft,,36-25,,
8:49.0,,,36-25,,Defensive rebound by M. Smart
8:39.0,,,36-25,,I. Thomas misses 2-pt shot from 5 ft
8:38.0,,,36-25,,Offensive rebound by Team
8:38.0,,,36-25,,Turnover by I. Thomas (traveling)
8:27.0,I. Shumpert makes 3-pt shot from 26 ft (assist by L. James),3,39-25,,
8:04.0,,,39-25,,J. Crowder misses 2-pt shot from 2 ft
8:04.0,Defensive rebound by K. Love,,39-25,,
8:02.0,Turnover by K. Love (bad pass),,39-25,,
7:47.0,,,39-25,,M. Smart misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by K. Love,,39-25,,
7:35.0,Shooting foul by A. Horford (drawn by K. Love),,39-25,,
7:35.0,K. Love makes free throw 1 of 2,1,40-25,,
7:35.0,K. Love makes free throw 2 of 2,1,41-25,,
7:35.0,K. Irving enters the game for D. Williams,,40-25,,
7:35.0,T. Thompson enters the game for R. Jefferson,,40-25,,
7:35.0,,,40-25,,A. Bradley enters the game for M. Smart
7:22.0,,,41-25,,T. Rozier misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by L. James,,41-25,,
7:06.0,I. Shumpert misses 2-pt shot from 2 ft,,41-25,,
7:05.0,,,41-25,,Defensive rebound by A. Horford
6:53.0,,,41-25,,Turnover by I. Thomas (bad pass; steal by K. Irving)
6:41.0,K. Irving misses 2-pt shot from 2 ft,,41-25,,
6:40.0,,,41-25,,Defensive rebound by Team
6:40.0,,,41-25,,T. Zeller enters the game for T. Rozier
6:29.0,Personal foul by I. Shumpert (drawn by I. Thomas),,41-25,,
6:22.0,,,41-25,,I. Thomas misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by K. Love,,41-25,,
6:11.0,,,41-25,,Violation by Team (jump ball)
6:06.0,Shooting foul by T. Zeller (drawn by K. Irving),,41-25,,
6:06.0,K. Irving makes free throw 1 of 2,1,42-25,,
6:06.0,K. Irving makes free throw 2 of 2,1,43-25,,
5:55.0,,,43-25,,Turnover by A. Bradley (lost ball; steal by K. Irving)
5:49.0,L. James misses 3-pt shot from 25 ft,,43-25,,
5:47.0,Offensive rebound by T. Thompson,,43-25,,
5:43.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,46-25,,
5:29.0,,,46-25,,A. Horford misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by K. Love,,46-25,,
5:17.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,48-25,,
5:17.0,,,48-25,,Boston full timeout
5:17.0,Official timeout,,48-25,,
5:17.0,J. Smith enters the game for K. Love,,48-25,,
5:17.0,,,48-25,,M. Smart enters the game for I. Thomas
4:57.0,,,48-25,,A. Horford misses 2-pt shot from 3 ft
4:56.0,,,48-25,,Offensive rebound by Team
4:56.0,,,48-25,,J. Brown enters the game for T. Zeller
4:54.0,,,48-27,2,J. Brown makes 2-pt shot from 2 ft (assist by J. Crowder)
4:38.0,,,48-27,,Personal foul by A. Bradley (drawn by T. Thompson)
4:38.0,T. Thompson makes free throw 1 of 2,1,49-27,,
4:38.0,T. Thompson misses free throw 2 of 2,,49-27,,
4:38.0,,,49-27,,Defensive rebound by J. Crowder
4:22.0,,,49-27,,J. Crowder misses 2-pt shot from 4 ft (block by K. Irving)
4:20.0,,,49-27,,Offensive rebound by A. Horford
4:20.0,,,49-27,,A. Horford misses 2-pt shot from 2 ft
4:20.0,,,49-27,,Offensive rebound by A. Horford
4:18.0,,,49-27,,A. Horford misses 2-pt shot from 2 ft
4:14.0,,,49-27,,Offensive rebound by Team
4:11.0,,,49-29,2,A. Bradley makes 2-pt shot from 2 ft (assist by J. Crowder)
3:48.0,L. James misses 2-pt shot from 2 ft,,49-29,,
3:47.0,,,49-29,,Defensive rebound by J. Brown
3:42.0,,,49-29,,Shooting foul by K. Irving (drawn by J. Brown)
3:42.0,,,49-29,,J. Brown misses free throw 1 of 2
3:42.0,,,49-29,,Offensive rebound by Team
3:42.0,,,49-29,,J. Brown misses free throw 2 of 2
3:42.0,K. Love enters the game for I. Shumpert,,49-29,,
3:41.0,Defensive rebound by T. Thompson,,49-29,,
3:24.0,T. Thompson makes 2-pt shot from 5 ft (assist by L. James),2,51-29,,
3:03.0,,,51-29,,J. Crowder misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by J. Smith,,51-29,,
2:58.0,Shooting foul by J. Crowder (drawn by K. Love),,51-29,,
2:58.0,Cleveland full timeout,,51-29,,
2:58.0,K. Love makes free throw 1 of 2,1,52-29,,
2:58.0,K. Love makes free throw 2 of 2,1,53-29,,
2:58.0,,,51-29,,I. Thomas enters the game for J. Crowder
2:41.0,,,53-31,2,A. Horford makes 2-pt shot at rim (assist by I. Thomas)
2:17.0,L. James makes 2-pt shot from 6 ft,2,55-31,,
2:00.0,,,55-31,,A. Horford misses 2-pt shot from 12 ft
2:00.0,Defensive rebound by L. James,,55-31,,
1:45.0,L. James makes 2-pt shot from 7 ft,2,57-31,,
1:33.0,,,57-31,,Shooting foul by K. Irving (drawn by I. Thomas)
1:33.0,,,57-31,,I. Thomas misses free throw 1 of 3
1:33.0,,,57-31,,Offensive rebound by Team
1:33.0,,,57-32,1,I. Thomas makes free throw 2 of 3
1:33.0,,,57-32,,I. Thomas misses free throw 3 of 3
1:33.0,Defensive rebound by J. Smith,,57-32,,
1:33.0,I. Shumpert enters the game for K. Irving,,57-32,,
1:15.0,L. James misses 2-pt shot from 20 ft,,57-32,,
1:15.0,,,57-32,,Defensive rebound by Team
1:01.0,,,57-34,2,J. Brown makes 2-pt shot from 5 ft (assist by A. Horford)
0:40.0,Shooting foul by A. Horford (drawn by L. James),,57-34,,
0:40.0,L. James makes free throw 1 of 2,1,58-34,,
0:40.0,L. James makes free throw 2 of 2,1,59-34,,
0:40.0,,,58-34,,J. Crowder enters the game for M. Smart
0:33.0,,,59-34,,I. Thomas misses 2-pt shot from 2 ft
0:31.0,Defensive rebound by I. Shumpert,,59-34,,
0:24.0,L. James misses 2-pt shot from 3 ft,,59-34,,
0:24.0,,,59-34,,Defensive rebound by J. Crowder
0:21.0,,,59-36,2,I. Thomas makes 2-pt shot from 3 ft (assist by J. Crowder)
0:04.0,L. James makes 2-pt shot from 1 ft,2,61-36,,
0:04.0,,,61-36,,Boston full timeout
0:04.0,R. Jefferson enters the game for K. Love,,61-36,,
0:00.0,,,61-39,3,I. Thomas makes 3-pt shot from 27 ft (assist by J. Brown)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by A. Horford (drawn by K. Love),,61-39,,
11:48.0,K. Love makes free throw 1 of 3,1,62-39,,
11:48.0,K. Love makes free throw 2 of 3,1,63-39,,
11:48.0,K. Love makes free throw 3 of 3,1,64-39,,
11:37.0,Personal foul by K. Love (drawn by I. Thomas),,64-39,,
11:27.0,,,64-39,,K. Olynyk misses 2-pt shot from 5 ft
11:26.0,Defensive rebound by L. James,,64-39,,
11:20.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,67-39,,
11:05.0,,,67-41,2,A. Bradley makes 2-pt shot at rim (assist by K. Olynyk)
10:36.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,69-41,,
10:24.0,,,69-43,2,I. Thomas makes 2-pt shot from 1 ft
10:11.0,T. Thompson makes 2-pt shot from 3 ft (assist by J. Smith),2,71-43,,
9:51.0,,,71-46,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Bradley)
9:28.0,,,71-46,,Personal block foul by J. Crowder (drawn by L. James)
9:20.0,K. Irving makes 2-pt shot from 2 ft,2,73-46,,
9:09.0,,,73-48,2,I. Thomas makes 2-pt shot from 13 ft
9:09.0,Loose ball foul by J. Smith,,73-48,,
9:09.0,,,73-49,1,A. Bradley makes free throw 1 of 1
8:52.0,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson),3,76-49,,
8:37.0,,,76-52,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
8:21.0,K. Irving makes 2-pt shot from 3 ft (assist by T. Thompson),2,78-52,,
8:21.0,,,78-52,,Boston full timeout
7:59.0,,,78-52,,Turnover by A. Bradley (lost ball; steal by L. James)
7:41.0,L. James misses 2-pt shot from 5 ft,,78-52,,
7:40.0,,,78-52,,Defensive rebound by A. Horford
7:26.0,,,78-55,3,A. Bradley makes 3-pt shot from 23 ft (assist by K. Olynyk)
7:12.0,K. Irving misses 2-pt shot from 6 ft,,78-55,,
7:11.0,Offensive rebound by T. Thompson,,78-55,,
7:11.0,T. Thompson makes 2-pt shot from 2 ft,2,80-55,,
6:55.0,,,80-55,,K. Olynyk misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by K. Love,,80-55,,
6:48.0,L. James makes 2-pt shot from 3 ft,2,82-55,,
6:33.0,,,82-55,,J. Crowder misses 3-pt shot from 24 ft
6:32.0,,,82-55,,Offensive rebound by J. Crowder
6:28.0,,,82-55,,A. Bradley misses 3-pt shot from 25 ft
6:27.0,,,82-55,,Offensive rebound by J. Crowder
6:23.0,,,82-58,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder)
6:22.0,Cleveland full timeout,,82-58,,
6:22.0,,,82-58,,M. Smart enters the game for K. Olynyk
6:06.0,L. James misses 2-pt shot from 15 ft,,82-58,,
6:05.0,,,82-58,,Defensive rebound by I. Thomas
5:51.0,,,82-58,,Turnover by I. Thomas (bad pass; steal by J. Smith)
5:42.0,K. Love makes 3-pt shot from 26 ft (assist by K. Irving),3,85-58,,
5:28.0,,,85-60,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
5:05.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,88-60,,
4:48.0,,,88-62,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
4:37.0,K. Irving misses 3-pt shot from 25 ft,,88-62,,
4:36.0,,,88-62,,Defensive rebound by A. Bradley
4:30.0,,,88-62,,I. Thomas misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by Team,,88-62,,
4:29.0,,,88-62,,Loose ball foul by M. Smart (drawn by L. James)
4:29.0,I. Shumpert enters the game for J. Smith,,88-62,,
4:10.0,K. Love misses 3-pt shot from 25 ft,,88-62,,
4:09.0,,,88-62,,Defensive rebound by Team
3:57.0,,,88-62,,Shooting foul by L. James (drawn by A. Bradley)
3:57.0,,,88-63,1,A. Bradley makes free throw 1 of 2
3:57.0,,,88-64,1,A. Bradley makes free throw 2 of 2
3:38.0,K. Irving misses 2-pt shot from 2 ft (block by M. Smart),,88-64,,
3:37.0,,,88-64,,Defensive rebound by M. Smart
3:36.0,,,88-64,,Turnover by M. Smart (lost ball; steal by T. Thompson)
3:36.0,Shooting foul by M. Smart (drawn by T. Thompson),,88-64,,
3:36.0,T. Thompson misses free throw 1 of 2,,88-64,,
3:36.0,Offensive rebound by Team,,88-64,,
3:36.0,T. Thompson makes free throw 2 of 2,1,89-64,,
3:36.0,,,88-64,,J. Brown enters the game for J. Crowder
3:18.0,,,89-64,,I. Thomas misses 2-pt shot from 4 ft
3:18.0,Defensive rebound by T. Thompson,,89-64,,
3:12.0,K. Love misses 3-pt shot from 25 ft,,89-64,,
3:11.0,,,89-64,,Defensive rebound by A. Bradley
3:10.0,,,89-64,,Personal foul by M. Smart (drawn by T. Thompson)
3:10.0,Personal foul by T. Thompson,,89-64,,
2:59.0,,,89-66,2,A. Horford makes 2-pt shot from 22 ft (assist by M. Smart)
2:32.0,L. James misses 3-pt shot from 25 ft,,89-66,,
2:31.0,,,89-66,,Defensive rebound by A. Bradley
2:10.0,,,89-66,,I. Thomas misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by Team,,89-66,,
1:47.0,I. Shumpert misses 3-pt shot from 24 ft,,89-66,,
1:46.0,,,89-66,,Defensive rebound by J. Brown
1:44.0,Personal foul by T. Thompson (drawn by M. Smart),,89-66,,
1:44.0,Cleveland full timeout,,89-66,,
1:44.0,K. Korver enters the game for T. Thompson,,89-66,,
1:44.0,,,89-66,,G. Green enters the game for I. Thomas
1:33.0,,,89-68,2,J. Brown makes 2-pt shot from 14 ft
1:09.0,K. Korver misses 3-pt shot from 24 ft,,89-68,,
1:08.0,Offensive rebound by K. Love,,89-68,,
1:08.0,K. Love misses 2-pt shot from 2 ft,,89-68,,
1:07.0,,,89-68,,Defensive rebound by G. Green
0:54.0,,,89-70,2,A. Horford makes 2-pt shot from 5 ft (assist by G. Green)
0:38.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,92-70,,
0:30.0,,,92-73,3,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart)
0:10.0,K. Korver misses 3-pt shot from 23 ft,,92-73,,
0:09.0,,,92-73,,Defensive rebound by A. Bradley
0:04.0,,,92-73,,A. Bradley misses 2-pt shot from 2 ft
0:03.0,,,92-73,,Offensive rebound by M. Smart
0:03.0,,,92-75,2,M. Smart makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,92-75,,A. Bradley misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by R. Jefferson,,92-75,,
11:33.0,,,92-75,,J. Crowder enters the game for A. Horford
11:33.0,,,92-75,,I. Thomas enters the game for M. Smart
11:28.0,D. Williams misses 2-pt shot from 19 ft,,92-75,,
11:26.0,Offensive rebound by R. Jefferson,,92-75,,
11:23.0,K. Korver makes 3-pt shot from 25 ft (assist by I. Shumpert),3,95-75,,
11:02.0,,,95-75,,G. Green misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by I. Shumpert,,95-75,,
10:54.0,K. Korver misses 3-pt shot from 24 ft,,95-75,,
10:53.0,,,95-75,,Defensive rebound by J. Crowder
10:46.0,Personal block foul by R. Jefferson (drawn by I. Thomas),,95-75,,
10:39.0,,,95-77,2,I. Thomas makes 2-pt shot from 2 ft
10:15.0,I. Shumpert misses 2-pt shot from 19 ft,,95-77,,
10:15.0,Offensive rebound by L. James,,95-77,,
10:15.0,Shooting foul by J. Brown (drawn by L. James),,95-77,,
10:15.0,L. James makes free throw 1 of 2,1,96-77,,
10:15.0,L. James makes free throw 2 of 2,1,97-77,,
10:01.0,,,97-79,2,G. Green makes 2-pt shot from 16 ft (assist by J. Crowder)
9:47.0,Shooting foul by I. Thomas (drawn by L. James),,97-79,,
9:47.0,L. James makes free throw 1 of 2,1,98-79,,
9:47.0,L. James makes free throw 2 of 2,1,99-79,,
9:47.0,,,98-79,,M. Smart enters the game for A. Bradley
9:31.0,,,99-79,,J. Brown misses 2-pt shot from 2 ft
9:30.0,,,99-79,,Offensive rebound by J. Brown
9:25.0,,,99-79,,M. Smart misses 3-pt shot from 24 ft
9:24.0,,,99-79,,Offensive rebound by J. Brown
9:22.0,,,99-79,,Turnover by J. Brown (bad pass; steal by I. Shumpert)
9:15.0,K. Korver misses 3-pt shot from 24 ft,,99-79,,
9:14.0,,,99-79,,Defensive rebound by J. Brown
9:00.0,,,99-79,,Offensive foul by M. Smart
9:00.0,,,99-79,,Turnover by M. Smart (offensive foul)
9:00.0,,,99-79,,A. Bradley enters the game for M. Smart
8:50.0,Turnover by L. James (traveling),,99-79,,
8:50.0,Official timeout,,99-79,,
8:28.0,,,99-79,,J. Brown misses 3-pt shot from 26 ft
8:27.0,Defensive rebound by L. James,,99-79,,
8:10.0,I. Shumpert misses 2-pt shot from 1 ft,,99-79,,
8:09.0,Offensive rebound by I. Shumpert,,99-79,,
8:09.0,I. Shumpert misses 2-pt shot from 1 ft,,99-79,,
8:08.0,Offensive rebound by I. Shumpert,,99-79,,
7:48.0,K. Korver misses 3-pt shot from 25 ft,,99-79,,
7:47.0,,,99-79,,Defensive rebound by J. Brown
7:41.0,,,99-82,3,G. Green makes 3-pt shot from 26 ft (assist by I. Thomas)
7:21.0,L. James makes 2-pt shot from 2 ft,2,101-82,,
7:21.0,Shooting foul by J. Brown (drawn by L. James),,101-82,,
7:21.0,L. James makes free throw 1 of 1,1,102-82,,
7:21.0,K. Irving enters the game for D. Williams,,101-82,,
7:21.0,K. Love enters the game for R. Jefferson,,101-82,,
7:21.0,T. Thompson enters the game for K. Korver,,101-82,,
7:21.0,,,101-82,,A. Horford enters the game for J. Brown
7:08.0,,,102-84,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Horford)
6:43.0,L. James makes 2-pt shot from 13 ft,2,104-84,,
6:37.0,,,104-84,,Shooting foul by K. Love (drawn by J. Crowder)
6:37.0,,,104-85,1,J. Crowder makes free throw 1 of 2
6:37.0,,,104-85,,J. Crowder misses free throw 2 of 2
6:37.0,Defensive rebound by K. Love,,104-85,,
6:35.0,,,104-85,,Personal foul by J. Crowder (drawn by K. Love)
6:29.0,,,104-85,,Personal take foul by G. Green (drawn by T. Thompson)
6:29.0,T. Thompson misses free throw 1 of 2,,104-85,,
6:29.0,Offensive rebound by Team,,104-85,,
6:29.0,T. Thompson makes free throw 2 of 2,1,105-85,,
6:17.0,,,105-85,,I. Thomas misses 2-pt shot from 13 ft
6:16.0,Defensive rebound by L. James,,105-85,,
6:04.0,,,105-85,,Personal foul by I. Thomas (drawn by K. Love)
6:04.0,K. Love makes free throw 1 of 2,1,106-85,,
6:04.0,K. Love misses free throw 2 of 2,,106-85,,
6:04.0,,,106-85,,Defensive rebound by A. Horford
5:45.0,,,106-88,3,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas)
5:21.0,L. James makes 3-pt shot from 25 ft,3,109-88,,
5:02.0,,,109-91,3,G. Green makes 3-pt shot from 26 ft (assist by I. Thomas)
4:36.0,L. James misses 3-pt shot from 26 ft,,109-91,,
4:35.0,Offensive rebound by Team,,109-91,,
4:35.0,,,109-91,,Loose ball foul by J. Crowder (drawn by T. Thompson)
4:35.0,,,109-91,,Boston full timeout
4:35.0,T. Thompson makes free throw 1 of 2,1,110-91,,
4:35.0,T. Thompson misses free throw 2 of 2,,110-91,,
4:35.0,,,110-91,,Defensive rebound by A. Horford
4:12.0,,,110-94,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford)
3:47.0,L. James misses 3-pt shot from 25 ft,,110-94,,
3:45.0,,,110-94,,Defensive rebound by Team
3:32.0,,,110-94,,G. Green misses 3-pt shot from 25 ft
3:31.0,,,110-94,,Offensive rebound by A. Horford
3:28.0,,,110-94,,A. Bradley misses 3-pt shot from 23 ft
3:28.0,,,110-94,,Offensive rebound by A. Horford
3:25.0,,,110-94,,Turnover by A. Horford (bad pass; steal by T. Thompson)
3:23.0,Shooting foul by G. Green (drawn by L. James),,110-94,,
3:23.0,L. James makes free throw 1 of 2,1,111-94,,
3:23.0,L. James misses free throw 2 of 2,,111-94,,
3:23.0,,,111-94,,Defensive rebound by G. Green
3:23.0,,,111-94,,T. Zeller enters the game for A. Horford
3:23.0,,,111-94,,T. Rozier enters the game for I. Thomas
