time,Toronto,pts.away,score,pts.home,Charlotte
2:25.0,N. Powell makes 2-pt shot from 2 ft (assist by P. Siakam),2,16-21,,
2:09.0,,,16-24,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by R. Hibbert)
2:05.0,Toronto full timeout,,16-24,,
2:05.0,T. Ross enters the game for N. Powell,,16-24,,
2:05.0,C. Joseph enters the game for K. Lowry,,16-24,,
1:57.0,D. DeRozan misses 2-pt shot from 17 ft,,16-24,,
1:56.0,,,16-24,,Defensive rebound by F. Kaminsky
1:43.0,,,16-24,,M. Belinelli misses 3-pt shot from 27 ft
1:41.0,,,16-24,,Offensive rebound by R. Hibbert
1:33.0,,,16-24,,R. Sessions misses 2-pt shot from 18 ft
1:32.0,,,16-24,,Offensive rebound by R. Hibbert
1:23.0,,,16-24,,M. Kidd-Gilchrist misses 2-pt shot at rim
1:21.0,Defensive rebound by J. Sullinger,,16-24,,
1:10.0,P. Siakam misses 2-pt shot from 2 ft (block by F. Kaminsky),,16-24,,
1:09.0,,,16-24,,Defensive rebound by F. Kaminsky
1:03.0,,,16-26,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
0:40.0,J. Sullinger misses 3-pt shot from 27 ft,,16-26,,
0:38.0,Offensive rebound by P. Siakam,,16-26,,
0:27.0,C. Joseph misses 2-pt shot from 17 ft,,16-26,,
0:26.0,Offensive rebound by Team,,16-26,,
0:26.0,,,16-26,,Loose ball foul by R. Sessions (drawn by C. Joseph)
0:05.0,C. Joseph makes 2-pt shot from 17 ft,2,18-26,,
0:00.0,,,18-26,,R. Hibbert misses 2-pt shot from 18 ft
0:00.0,,,18-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,18-28,2,R. Sessions makes 2-pt shot from 8 ft
11:47.0,,,18-28,,Shooting foul by K. Lowry (drawn by R. Sessions)
11:47.0,,,18-29,1,R. Sessions makes free throw 1 of 1
11:34.0,K. Lowry misses 3-pt shot from 25 ft,,18-29,,
11:33.0,,,18-29,,Defensive rebound by M. Williams
11:26.0,Personal foul by J. Sullinger (drawn by R. Hibbert),,18-29,,
11:16.0,,,18-29,,N. Batum misses 2-pt shot from 10 ft
11:15.0,Defensive rebound by C. Joseph,,18-29,,
11:05.0,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry),3,21-29,,
10:51.0,J. Valanciunas enters the game for J. Sullinger,,21-29,,
10:46.0,,,21-29,,M. Belinelli misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by P. Siakam,,21-29,,
10:35.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,23-29,,
10:27.0,,,23-29,,R. Sessions misses 2-pt shot from 8 ft (block by P. Siakam)
10:25.0,Defensive rebound by K. Lowry,,23-29,,
10:18.0,T. Ross misses 3-pt shot from 26 ft,,23-29,,
10:17.0,,,23-29,,Defensive rebound by M. Williams
10:07.0,,,23-29,,Turnover by R. Hibbert (3 sec)
9:57.0,C. Joseph misses 2-pt shot from 7 ft (block by R. Hibbert),,23-29,,
9:55.0,Offensive rebound by P. Siakam,,23-29,,
9:50.0,C. Joseph misses 3-pt shot from 24 ft,,23-29,,
9:49.0,Offensive rebound by J. Valanciunas,,23-29,,
9:44.0,T. Ross misses 2-pt shot from 10 ft,,23-29,,
9:42.0,,,23-29,,Defensive rebound by M. Williams
9:23.0,,,23-31,2,R. Hibbert makes 2-pt shot from 14 ft (assist by M. Williams)
9:05.0,K. Lowry makes 2-pt shot from 2 ft,2,25-31,,
8:49.0,,,25-31,,Turnover by N. Batum (traveling)
8:49.0,Official timeout,,25-31,,
8:49.0,D. Carroll enters the game for P. Siakam,,25-31,,
8:31.0,K. Lowry misses 3-pt shot from 25 ft,,25-31,,
8:30.0,,,25-31,,Defensive rebound by M. Williams
8:13.0,,,25-31,,N. Batum misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by Team,,25-31,,
8:13.0,,,25-31,,K. Walker enters the game for M. Belinelli
7:48.0,K. Lowry misses 2-pt shot from 12 ft,,25-31,,
7:46.0,Offensive rebound by J. Valanciunas,,25-31,,
7:40.0,J. Valanciunas misses 2-pt shot from 5 ft,,25-31,,
7:40.0,Offensive rebound by Team,,25-31,,
7:40.0,,,25-31,,Loose ball foul by M. Williams (drawn by C. Joseph)
7:24.0,T. Ross misses 2-pt shot from 3 ft,,25-31,,
7:23.0,Offensive rebound by D. Carroll,,25-31,,
7:23.0,D. Carroll makes 2-pt shot from 1 ft,2,27-31,,
7:13.0,Personal foul by K. Lowry (drawn by M. Williams),,27-31,,
7:02.0,,,27-31,,Turnover by N. Batum (bad pass; steal by T. Ross)
6:58.0,Shooting foul by R. Hibbert (drawn by K. Lowry),,27-31,,
6:58.0,K. Lowry makes free throw 1 of 3,1,28-31,,
6:58.0,K. Lowry makes free throw 2 of 3,1,29-31,,
6:58.0,K. Lowry makes free throw 3 of 3,1,30-31,,
6:48.0,,,30-31,,Shooting foul by T. Ross (drawn by N. Batum)
6:48.0,,,30-31,,N. Batum misses free throw 1 of 2
6:48.0,,,30-31,,Offensive rebound by Team
6:48.0,,,30-32,1,N. Batum makes free throw 2 of 2
6:34.0,T. Ross misses 2-pt shot from 9 ft,,30-32,,
6:33.0,,,30-32,,Defensive rebound by Team
6:33.0,Loose ball foul by C. Joseph (drawn by M. Williams),,30-32,,
6:33.0,,,30-33,1,M. Williams makes free throw 1 of 2
6:33.0,,,30-34,1,M. Williams makes free throw 2 of 2
6:33.0,,,30-33,,M. Kidd-Gilchrist enters the game for R. Hibbert
6:33.0,,,30-33,,C. Zeller enters the game for R. Sessions
6:33.0,D. DeRozan enters the game for C. Joseph,,30-33,,
6:14.0,D. Carroll misses 3-pt shot from 25 ft,,30-34,,
6:13.0,,,30-34,,Defensive rebound by K. Walker
6:05.0,,,30-34,,M. Williams misses 3-pt shot from 24 ft
6:04.0,,,30-34,,Offensive rebound by M. Kidd-Gilchrist
5:59.0,,,30-36,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
5:53.0,Toronto full timeout,,30-36,,
5:38.0,K. Lowry makes 2-pt shot from 2 ft,2,32-36,,
5:23.0,,,32-38,2,K. Walker makes 2-pt shot from 10 ft
5:10.0,D. DeRozan misses 2-pt shot from 2 ft,,32-38,,
5:09.0,,,32-38,,Defensive rebound by N. Batum
4:57.0,,,32-38,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by T. Ross,,32-38,,
4:50.0,K. Lowry makes 3-pt shot from 25 ft,3,35-38,,
4:35.0,,,35-41,3,K. Walker makes 3-pt shot from 24 ft
4:17.0,K. Lowry makes 2-pt shot at rim,2,37-41,,
3:57.0,,,37-41,,M. Williams misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by T. Ross,,37-41,,
3:48.0,K. Lowry misses 3-pt shot from 24 ft,,37-41,,
3:46.0,,,37-41,,Defensive rebound by M. Williams
3:31.0,,,37-41,,K. Walker misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by T. Ross,,37-41,,
3:18.0,D. DeRozan makes 2-pt shot from 1 ft,2,39-41,,
3:18.0,,,39-41,,Charlotte full timeout
3:18.0,C. Joseph enters the game for T. Ross,,39-41,,
3:18.0,,,39-41,,F. Kaminsky enters the game for M. Williams
3:01.0,,,39-41,,K. Walker misses 2-pt shot from 1 ft
3:00.0,,,39-41,,Offensive rebound by M. Kidd-Gilchrist
2:56.0,,,39-41,,F. Kaminsky misses 3-pt shot from 24 ft
2:55.0,,,39-41,,Offensive rebound by K. Walker
2:45.0,,,39-43,2,C. Zeller makes 2-pt shot from 6 ft (assist by N. Batum)
2:24.0,D. DeRozan makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,42-43,,
2:07.0,,,42-45,2,N. Batum makes 2-pt shot from 22 ft (assist by K. Walker)
1:54.0,D. DeRozan makes 2-pt shot from 16 ft,2,44-45,,
1:38.0,,,44-45,,Shooting foul by D. Carroll (drawn by C. Zeller)
1:38.0,,,44-46,1,C. Zeller makes free throw 1 of 2
1:38.0,,,44-47,1,C. Zeller makes free throw 2 of 2
1:38.0,N. Powell enters the game for K. Lowry,,44-46,,
1:32.0,Technical foul by K. Lowry,,44-47,,
1:32.0,,,44-48,1,N. Batum makes technical free throw
1:26.0,D. DeRozan makes 2-pt shot from 18 ft,2,46-48,,
1:12.0,,,46-50,2,K. Walker makes 2-pt shot from 2 ft
1:00.0,Turnover by J. Valanciunas (bad pass; steal by N. Batum),,46-50,,
0:53.0,,,46-50,,F. Kaminsky misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by C. Joseph,,46-50,,
0:42.0,D. DeRozan misses 3-pt shot from 25 ft,,46-50,,
0:42.0,Offensive rebound by Team,,46-50,,
0:42.0,,,46-50,,Loose ball foul by C. Zeller (drawn by J. Valanciunas)
0:42.0,Toronto full timeout,,46-50,,
0:42.0,,,46-50,,R. Hibbert enters the game for C. Zeller
0:38.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. DeRozan),,46-50,,
0:38.0,D. DeRozan makes free throw 1 of 2,1,47-50,,
0:38.0,D. DeRozan makes free throw 2 of 2,1,48-50,,
0:38.0,J. Poeltl enters the game for J. Valanciunas,,47-50,,
0:26.0,,,48-53,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
0:09.0,Offensive foul by C. Joseph,,48-53,,
0:09.0,Turnover by C. Joseph (offensive foul),,48-53,,
0:02.0,,,48-55,2,K. Walker makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,48-55,,Turnover by K. Walker (bad pass)
11:32.0,D. Carroll misses 3-pt shot from 23 ft,,48-55,,
11:30.0,,,48-55,,Defensive rebound by M. Kidd-Gilchrist
11:18.0,,,48-55,,Turnover by N. Batum (bad pass; steal by D. Carroll)
11:03.0,D. DeRozan misses 2-pt shot from 18 ft,,48-55,,
11:02.0,,,48-55,,Defensive rebound by N. Batum
10:52.0,,,48-57,2,K. Walker makes 2-pt shot from 1 ft
10:29.0,D. DeRozan misses 2-pt shot from 19 ft,,48-57,,
10:28.0,,,48-57,,Defensive rebound by M. Kidd-Gilchrist
10:22.0,,,48-59,2,N. Batum makes 2-pt shot from 1 ft
10:22.0,Toronto full timeout,,48-59,,
10:03.0,N. Powell makes 2-pt shot from 5 ft,2,50-59,,
9:48.0,,,50-61,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
9:48.0,Violation by J. Valanciunas (def goaltending),,50-61,,
9:31.0,Turnover by D. DeRozan (bad pass; steal by M. Williams),,50-61,,
9:21.0,,,50-61,,M. Williams misses 2-pt shot from 15 ft
9:20.0,,,50-61,,Offensive rebound by C. Zeller
9:13.0,,,50-63,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams)
8:58.0,K. Lowry misses 2-pt shot from 3 ft,,50-63,,
8:56.0,,,50-63,,Defensive rebound by M. Kidd-Gilchrist
8:38.0,,,50-63,,N. Batum misses 2-pt shot from 2 ft (block by D. Carroll)
8:36.0,,,50-63,,Offensive rebound by C. Zeller
8:33.0,,,50-63,,K. Walker misses 3-pt shot from 29 ft
8:33.0,,,50-63,,Offensive rebound by Team
8:33.0,,,50-63,,Turnover by Team (shot clock)
8:22.0,Turnover by K. Lowry (bad pass),,50-63,,
7:56.0,,,50-66,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
7:32.0,K. Lowry makes 2-pt shot from 23 ft,2,52-66,,
7:15.0,,,52-66,,Turnover by N. Batum (lost ball; steal by J. Valanciunas)
7:13.0,J. Valanciunas makes 2-pt shot from 1 ft,2,54-66,,
7:13.0,Shooting foul by K. Walker (drawn by J. Valanciunas),,54-66,,
7:13.0,J. Valanciunas makes free throw 1 of 1,1,55-66,,
7:13.0,T. Ross enters the game for D. Carroll,,54-66,,
6:59.0,P. Siakam enters the game for J. Valanciunas,,55-66,,
6:51.0,,,55-68,2,K. Walker makes 2-pt shot from 10 ft
6:45.0,,,55-68,,Personal foul by K. Walker (drawn by K. Lowry)
6:38.0,D. DeRozan makes 2-pt shot from 16 ft,2,57-68,,
6:17.0,,,57-68,,Shooting foul by P. Siakam (drawn by C. Zeller)
6:17.0,,,57-69,1,C. Zeller makes free throw 1 of 2
6:17.0,,,57-69,,C. Zeller misses free throw 2 of 2
6:15.0,Defensive rebound by N. Powell,,57-69,,
6:01.0,D. DeRozan makes 2-pt shot from 6 ft,2,59-69,,
5:37.0,,,59-72,3,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker)
5:26.0,N. Powell misses 3-pt shot from 24 ft,,59-72,,
5:25.0,,,59-72,,Defensive rebound by N. Batum
5:20.0,,,59-72,,Shooting foul by K. Lowry (drawn by K. Walker)
5:20.0,,,59-73,1,K. Walker makes free throw 1 of 2
5:20.0,,,59-74,1,K. Walker makes free throw 2 of 2
5:20.0,,,59-73,,M. Belinelli enters the game for M. Williams
5:20.0,,,59-73,,F. Kaminsky enters the game for N. Batum
5:04.0,D. DeRozan misses 2-pt shot from 16 ft,,59-74,,
5:03.0,,,59-74,,Defensive rebound by F. Kaminsky
4:49.0,,,59-74,,M. Belinelli misses 3-pt shot from 26 ft
4:48.0,Defensive rebound by D. DeRozan,,59-74,,
4:39.0,N. Powell misses 3-pt shot from 24 ft,,59-74,,
4:38.0,,,59-74,,Defensive rebound by K. Walker
4:22.0,,,59-76,2,F. Kaminsky makes 2-pt shot from 10 ft
4:05.0,K. Lowry misses 3-pt shot from 27 ft,,59-76,,
4:04.0,,,59-76,,Defensive rebound by M. Kidd-Gilchrist
3:49.0,J. Sullinger enters the game for N. Powell,,59-76,,
3:42.0,,,59-76,,K. Walker misses 3-pt shot from 29 ft
3:41.0,Defensive rebound by P. Siakam,,59-76,,
3:29.0,Turnover by D. DeRozan (lost ball; steal by M. Kidd-Gilchrist),,59-76,,
3:22.0,,,59-79,3,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky)
3:21.0,Toronto full timeout,,59-79,,
3:21.0,C. Joseph enters the game for K. Lowry,,59-79,,
3:21.0,,,59-79,,R. Hibbert enters the game for C. Zeller
3:06.0,J. Sullinger misses 3-pt shot from 25 ft,,59-79,,
3:05.0,,,59-79,,Defensive rebound by M. Belinelli
2:50.0,,,59-79,,M. Belinelli misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by D. DeRozan,,59-79,,
2:31.0,T. Ross misses 3-pt shot from 25 ft,,59-79,,
2:30.0,,,59-79,,Defensive rebound by M. Kidd-Gilchrist
2:15.0,,,59-79,,M. Belinelli misses 3-pt shot from 27 ft
2:13.0,Defensive rebound by D. DeRozan,,59-79,,
2:07.0,Shooting foul by R. Hibbert (drawn by D. DeRozan),,59-79,,
2:07.0,,,59-79,,Charlotte full timeout
2:07.0,D. DeRozan makes free throw 1 of 2,1,60-79,,
2:07.0,D. DeRozan misses free throw 2 of 2,,60-79,,
2:05.0,,,60-79,,Defensive rebound by M. Kidd-Gilchrist
1:41.0,,,60-79,,F. Kaminsky misses 2-pt shot from 8 ft
1:40.0,,,60-79,,Offensive rebound by F. Kaminsky
1:28.0,,,60-79,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
1:27.0,Defensive rebound by T. Ross,,60-79,,
1:11.0,J. Sullinger misses 2-pt shot from 8 ft,,60-79,,
1:10.0,,,60-79,,Defensive rebound by F. Kaminsky
1:01.0,,,60-81,2,M. Belinelli makes 2-pt shot from 20 ft (assist by K. Walker)
0:44.0,D. DeRozan misses 2-pt shot from 16 ft,,60-81,,
0:43.0,,,60-81,,Defensive rebound by R. Hibbert
0:33.0,,,60-84,3,K. Walker makes 3-pt shot from 25 ft
0:10.0,D. DeRozan makes 3-pt shot from 27 ft (assist by C. Joseph),3,63-84,,
0:03.0,,,63-87,3,K. Walker makes 3-pt shot from 27 ft
0:03.0,,,63-87,,Shooting foul by C. Joseph (drawn by K. Walker)
0:03.0,,,63-88,1,K. Walker makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,J. Valanciunas misses 2-pt shot from 9 ft,,63-88,,
11:47.0,,,63-88,,Defensive rebound by R. Hibbert
11:39.0,,,63-90,2,R. Sessions makes 2-pt shot from 9 ft
11:18.0,T. Ross misses 3-pt shot from 25 ft,,63-90,,
11:16.0,,,63-90,,Defensive rebound by N. Batum
11:09.0,,,63-90,,Turnover by F. Kaminsky (traveling)
10:56.0,Turnover by C. Joseph (bad pass; steal by F. Kaminsky),,63-90,,
10:36.0,,,63-90,,Turnover by R. Hibbert (bad pass; steal by T. Ross)
10:27.0,D. Carroll misses 2-pt shot from 8 ft,,63-90,,
10:26.0,Offensive rebound by Team,,63-90,,
10:20.0,K. Lowry misses 3-pt shot from 25 ft,,63-90,,
10:18.0,,,63-90,,Defensive rebound by F. Kaminsky
10:12.0,,,63-90,,Turnover by N. Batum (bad pass; steal by K. Lowry)
10:07.0,Shooting foul by R. Hibbert (drawn by K. Lowry),,63-90,,
10:07.0,K. Lowry makes free throw 1 of 2,1,64-90,,
10:07.0,K. Lowry makes free throw 2 of 2,1,65-90,,
9:49.0,,,65-90,,N. Batum misses 2-pt shot from 22 ft
9:47.0,,,65-90,,Offensive rebound by F. Kaminsky
9:37.0,,,65-93,3,R. Sessions makes 3-pt shot from 24 ft (assist by N. Batum)
9:20.0,K. Lowry makes 3-pt shot from 24 ft (assist by T. Ross),3,68-93,,
8:56.0,,,68-93,,R. Sessions misses 2-pt shot from 13 ft
8:54.0,Defensive rebound by J. Valanciunas,,68-93,,
8:53.0,Turnover by J. Valanciunas (lost ball; steal by R. Sessions),,68-93,,
8:48.0,,,68-96,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Belinelli)
8:29.0,T. Ross misses 2-pt shot from 17 ft,,68-96,,
8:29.0,,,68-96,,Defensive rebound by Team
8:29.0,Loose ball foul by J. Valanciunas (drawn by R. Hibbert),,68-96,,
8:29.0,Official timeout,,68-96,,
8:29.0,J. Poeltl enters the game for J. Valanciunas,,68-96,,
8:17.0,,,68-96,,Shooting foul by C. Joseph (drawn by M. Belinelli)
8:17.0,,,68-97,1,M. Belinelli makes free throw 1 of 2
8:17.0,,,68-98,1,M. Belinelli makes free throw 2 of 2
7:53.0,D. Carroll misses 2-pt shot from 13 ft,,68-98,,
7:52.0,,,68-98,,Defensive rebound by R. Sessions
7:40.0,,,68-98,,N. Batum misses 2-pt shot from 16 ft
7:40.0,,,68-98,,Offensive rebound by Team
7:40.0,Loose ball foul by J. Poeltl (drawn by F. Kaminsky),,68-98,,
7:29.0,,,68-98,,R. Sessions misses 2-pt shot from 2 ft
7:28.0,Defensive rebound by J. Poeltl,,68-98,,
7:21.0,K. Lowry makes 3-pt shot from 25 ft (assist by C. Joseph),3,71-98,,
6:59.0,,,71-100,2,F. Kaminsky makes 2-pt shot from 14 ft (assist by N. Batum)
6:44.0,K. Lowry misses 3-pt shot from 25 ft,,71-100,,
6:44.0,,,71-100,,Defensive rebound by Team
6:33.0,,,71-100,,Shooting foul by C. Joseph (drawn by F. Kaminsky)
6:33.0,,,71-101,1,F. Kaminsky makes free throw 1 of 2
6:33.0,,,71-102,1,F. Kaminsky makes free throw 2 of 2
6:33.0,J. Sullinger enters the game for D. Carroll,,71-101,,
6:33.0,N. Powell enters the game for K. Lowry,,71-101,,
6:20.0,Turnover by N. Powell (bad pass; steal by M. Belinelli),,71-102,,
6:15.0,,,71-104,2,M. Belinelli makes 2-pt shot at rim
6:07.0,,,71-104,,Personal foul by R. Sessions (drawn by C. Joseph)
5:58.0,J. Sullinger makes 3-pt shot from 25 ft,3,74-104,,
5:42.0,,,74-104,,N. Batum misses 2-pt shot from 16 ft
5:41.0,Defensive rebound by N. Powell,,74-104,,
5:31.0,Turnover by J. Sullinger (bad pass; steal by F. Kaminsky),,74-104,,
5:29.0,Flagrant foul type 1 by J. Sullinger (drawn by N. Batum),,74-104,,
5:29.0,,,74-104,,Charlotte full timeout
5:29.0,,,74-105,1,N. Batum makes flagrant free throw 1 of 2
5:29.0,,,74-106,1,N. Batum makes flagrant free throw 2 of 2
5:29.0,,,74-104,,B. Roberts enters the game for M. Belinelli
5:29.0,,,74-104,,S. Hawes enters the game for R. Hibbert
5:29.0,,,74-106,,T. Graham enters the game for N. Batum
5:12.0,,,74-106,,F. Kaminsky misses 2-pt shot from 14 ft
5:11.0,Defensive rebound by J. Poeltl,,74-106,,
4:58.0,C. Joseph misses 2-pt shot from 17 ft,,74-106,,
4:57.0,Offensive rebound by J. Poeltl,,74-106,,
4:53.0,J. Sullinger misses 3-pt shot from 25 ft,,74-106,,
4:53.0,,,74-106,,Defensive rebound by Team
4:53.0,F. VanVleet enters the game for C. Joseph,,74-106,,
4:35.0,,,74-106,,T. Graham misses 2-pt shot from 3 ft (block by J. Poeltl)
4:33.0,Defensive rebound by F. VanVleet,,74-106,,
4:20.0,F. VanVleet misses 2-pt shot from 1 ft,,74-106,,
4:19.0,,,74-106,,Defensive rebound by S. Hawes
4:09.0,,,74-106,,T. Graham misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by J. Poeltl,,74-106,,
4:02.0,N. Powell misses 2-pt shot from 2 ft,,74-106,,
4:01.0,,,74-106,,Defensive rebound by B. Roberts
3:49.0,,,74-108,2,S. Hawes makes 2-pt shot from 5 ft (assist by B. Roberts)
3:28.0,T. Ross makes 2-pt shot from 2 ft,2,76-108,,
3:12.0,,,76-108,,B. Roberts misses 2-pt shot from 1 ft (block by J. Sullinger)
3:10.0,Defensive rebound by N. Powell,,76-108,,
3:06.0,F. VanVleet misses 3-pt shot from 24 ft,,76-108,,
3:04.0,Offensive rebound by F. VanVleet,,76-108,,
3:01.0,F. VanVleet misses 2-pt shot from 6 ft,,76-108,,
2:59.0,,,76-108,,Defensive rebound by T. Graham
2:51.0,,,76-108,,Shooting foul by J. Poeltl (drawn by B. Roberts)
2:51.0,Toronto full timeout,,76-108,,
