time,LA Lakers,pts.away,score,pts.home,Indiana
6:36.0,,,9-12,2,T. Young makes 2-pt shot from 1 ft (assist by J. Teague)
6:18.0,T. Mozgov misses 2-pt shot from 17 ft,,9-12,,
6:17.0,,,9-12,,Defensive rebound by T. Young
6:04.0,,,9-12,,M. Turner misses 2-pt shot from 1 ft
6:03.0,Defensive rebound by J. Randle,,9-12,,
5:55.0,Offensive charge foul by J. Randle,,9-12,,
5:55.0,Turnover by J. Randle (offensive foul),,9-12,,
5:55.0,,,9-12,,Indiana full timeout
5:55.0,L. Nance enters the game for J. Randle,,9-12,,
5:55.0,,,9-12,,C. Miles enters the game for M. Turner
5:55.0,,,9-12,,A. Jefferson enters the game for M. Ellis
5:46.0,,,9-15,3,P. George makes 3-pt shot from 26 ft (assist by J. Teague)
5:27.0,Turnover by J. Calderon (bad pass),,9-15,,
5:15.0,,,9-15,,J. Teague misses 2-pt shot from 9 ft
5:15.0,,,9-15,,Offensive rebound by A. Jefferson
5:13.0,,,9-17,2,A. Jefferson makes 2-pt shot from 1 ft
5:03.0,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Calderon),2,11-17,,
4:51.0,,,11-17,,P. George misses 2-pt shot from 6 ft
4:50.0,,,11-17,,Offensive rebound by A. Jefferson
4:44.0,,,11-17,,Turnover by J. Teague (lost ball; steal by L. Nance)
4:39.0,L. Deng makes 2-pt shot at rim,2,13-17,,
4:34.0,,,13-19,2,C. Miles makes 2-pt shot from 1 ft
4:34.0,Shooting block foul by N. Young (drawn by C. Miles),,13-19,,
4:34.0,,,13-20,1,C. Miles makes free throw 1 of 1
4:34.0,B. Ingram enters the game for L. Deng,,13-19,,
4:34.0,J. Clarkson enters the game for N. Young,,13-19,,
4:20.0,B. Ingram misses 3-pt shot from 23 ft,,13-20,,
4:19.0,,,13-20,,Defensive rebound by P. George
4:11.0,,,13-20,,A. Jefferson misses 2-pt shot from 16 ft
4:11.0,Defensive rebound by J. Calderon,,13-20,,
3:57.0,J. Clarkson misses 3-pt shot from 26 ft,,13-20,,
3:55.0,,,13-20,,Defensive rebound by T. Young
3:46.0,,,13-20,,Shooting foul by J. Clarkson (drawn by P. George)
3:46.0,,,13-21,1,P. George makes free throw 1 of 2
3:46.0,,,13-22,1,P. George makes free throw 2 of 2
3:46.0,T. Black enters the game for T. Mozgov,,13-21,,
3:46.0,,,13-21,,L. Allen enters the game for T. Young
3:36.0,Turnover by J. Calderon (bad pass; steal by P. George),,13-22,,
3:30.0,,,13-22,,P. George misses 3-pt shot from 25 ft
3:28.0,,,13-22,,Offensive rebound by P. George
3:25.0,,,13-22,,Turnover by P. George (bad pass; steal by L. Nance)
3:18.0,J. Calderon makes 3-pt shot from 25 ft (assist by B. Ingram),3,16-22,,
2:56.0,,,16-25,3,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague)
2:29.0,L. Nance misses 3-pt shot from 26 ft,,16-25,,
2:28.0,,,16-25,,Defensive rebound by A. Jefferson
2:17.0,LA Lakers full timeout,,16-25,,
2:17.0,L. Williams enters the game for J. Calderon,,16-25,,
2:17.0,,,16-25,,A. Brooks enters the game for P. George
2:17.0,,,16-25,,M. Ellis enters the game for J. Teague
2:14.0,,,16-25,,C. Miles misses 2-pt shot from 16 ft
2:13.0,Defensive rebound by B. Ingram,,16-25,,
1:59.0,J. Clarkson makes 2-pt shot from 4 ft (assist by L. Williams),2,18-25,,
1:47.0,,,18-25,,Turnover by M. Ellis (bad pass)
1:35.0,J. Clarkson misses 3-pt shot from 23 ft,,18-25,,
1:34.0,,,18-25,,Defensive rebound by L. Allen
1:25.0,,,18-27,2,A. Jefferson makes 2-pt shot from 1 ft (assist by A. Brooks)
1:14.0,,,18-27,,Personal foul by C. Miles (drawn by B. Ingram)
1:09.0,B. Ingram misses 3-pt shot from 26 ft,,18-27,,
1:08.0,Offensive rebound by L. Nance,,18-27,,
1:03.0,B. Ingram misses 2-pt shot from 17 ft,,18-27,,
1:03.0,,,18-27,,Defensive rebound by A. Jefferson
0:44.0,,,18-27,,A. Jefferson misses 2-pt shot from 5 ft (block by T. Black)
0:44.0,Defensive rebound by T. Black,,18-27,,
0:38.0,Turnover by L. Williams (bad pass),,18-27,,
0:30.0,,,18-27,,A. Brooks misses 2-pt shot from 18 ft
0:29.0,Defensive rebound by Team,,18-27,,
0:13.0,L. Williams misses 2-pt shot from 13 ft,,18-27,,
0:11.0,Offensive rebound by J. Clarkson,,18-27,,
0:11.0,J. Clarkson misses 2-pt shot from 3 ft,,18-27,,
0:11.0,,,18-27,,Defensive rebound by A. Jefferson
0:00.0,,,18-27,,A. Brooks misses 3-pt shot from 32 ft
0:00.0,,,18-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,18-27,,Offensive foul by A. Jefferson
11:42.0,,,18-27,,Turnover by A. Jefferson (offensive foul)
11:36.0,Turnover by B. Ingram (dbl dribble),,18-27,,
11:19.0,,,18-29,2,A. Brooks makes 2-pt shot from 23 ft (assist by A. Jefferson)
11:09.0,L. Nance misses 2-pt shot from 19 ft,,18-29,,
11:09.0,,,18-29,,Defensive rebound by M. Ellis
10:59.0,,,18-29,,M. Ellis misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by T. Black,,18-29,,
10:52.0,L. Williams makes 3-pt shot from 29 ft,3,21-29,,
10:52.0,Shooting foul by A. Brooks,,21-29,,
10:52.0,L. Williams makes free throw 1 of 1,1,22-29,,
10:35.0,,,22-31,2,C. Miles makes 2-pt shot at rim
10:35.0,,,22-31,,Shooting foul by T. Black (drawn by C. Miles)
10:35.0,,,22-32,1,C. Miles makes free throw 1 of 1
10:23.0,L. Williams makes 2-pt shot from 17 ft,2,24-32,,
10:09.0,,,24-32,,Indiana full timeout
10:02.0,,,24-32,,L. Allen misses 2-pt shot from 20 ft
10:01.0,Defensive rebound by B. Ingram,,24-32,,
9:49.0,B. Ingram makes 2-pt shot from 2 ft (assist by L. Williams),2,26-32,,
9:27.0,,,26-32,,A. Jefferson misses 2-pt shot from 12 ft
9:26.0,Defensive rebound by L. Nance,,26-32,,
9:15.0,,,26-32,,Personal foul by A. Jefferson (drawn by T. Black)
9:15.0,T. Black makes free throw 1 of 2,1,27-32,,
9:15.0,T. Black makes free throw 2 of 2,1,28-32,,
9:15.0,,,27-32,,M. Turner enters the game for A. Jefferson
9:15.0,,,27-32,,P. George enters the game for C. Miles
9:01.0,,,28-32,,P. George misses 2-pt shot from 18 ft
9:00.0,,,28-32,,Offensive rebound by A. Brooks
8:47.0,Personal foul by B. Ingram (drawn by P. George),,28-32,,
8:47.0,,,28-33,1,P. George makes free throw 1 of 2
8:47.0,,,28-34,1,P. George makes free throw 2 of 2
8:33.0,T. Black misses 2-pt shot from 3 ft (block by M. Turner),,28-34,,
8:32.0,,,28-34,,Defensive rebound by M. Turner
8:25.0,,,28-37,3,M. Ellis makes 3-pt shot from 26 ft (assist by M. Turner)
8:10.0,J. Clarkson makes 2-pt shot from 16 ft,2,30-37,,
7:58.0,,,30-39,2,A. Brooks makes 2-pt shot from 17 ft
7:48.0,Turnover by L. Williams (lost ball; steal by L. Allen),,30-39,,
7:39.0,,,30-39,,Turnover by P. George (bad pass; steal by L. Nance)
7:31.0,L. Nance makes 2-pt shot at rim,2,32-39,,
7:16.0,,,32-39,,A. Brooks misses 3-pt shot from 27 ft
7:15.0,Defensive rebound by B. Ingram,,32-39,,
7:05.0,L. Williams misses 3-pt shot from 27 ft,,32-39,,
7:04.0,,,32-39,,Defensive rebound by M. Turner
6:55.0,,,32-39,,Shooting foul by B. Ingram (drawn by M. Turner)
6:55.0,,,32-40,1,M. Turner makes free throw 1 of 2
6:55.0,LA Lakers full timeout,,32-40,,
6:55.0,,,32-41,1,M. Turner makes free throw 2 of 2
6:55.0,,,32-40,,T. Young enters the game for L. Allen
6:55.0,,,32-40,,J. Teague enters the game for A. Brooks
6:55.0,J. Randle enters the game for L. Nance,,32-40,,
6:55.0,T. Mozgov enters the game for B. Ingram,,32-40,,
6:55.0,D. Russell enters the game for T. Black,,32-40,,
6:55.0,N. Young enters the game for L. Williams,,32-40,,
6:43.0,J. Clarkson makes 2-pt shot from 16 ft,2,34-41,,
6:25.0,,,34-44,3,T. Young makes 3-pt shot from 23 ft (assist by M. Ellis)
6:13.0,,,34-44,,Shooting block foul by T. Young (drawn by J. Randle)
6:13.0,J. Randle makes free throw 1 of 2,1,35-44,,
6:13.0,J. Randle makes free throw 2 of 2,1,36-44,,
5:59.0,Shooting block foul by J. Randle (drawn by M. Ellis),,36-44,,
5:59.0,,,36-45,1,M. Ellis makes free throw 1 of 2
5:59.0,,,36-45,,M. Ellis misses free throw 2 of 2
5:59.0,Defensive rebound by T. Mozgov,,36-45,,
5:59.0,L. Deng enters the game for J. Randle,,36-45,,
5:47.0,Shooting foul by M. Turner (drawn by D. Russell),,36-45,,
5:47.0,D. Russell makes free throw 1 of 2,1,37-45,,
5:47.0,D. Russell makes free throw 2 of 2,1,38-45,,
5:26.0,,,38-48,3,M. Ellis makes 3-pt shot from 28 ft (assist by P. George)
5:10.0,T. Mozgov misses 2-pt shot from 2 ft (block by M. Ellis),,38-48,,
5:10.0,Offensive rebound by Team,,38-48,,
5:04.0,D. Russell misses 2-pt shot from 1 ft (block by M. Turner),,38-48,,
5:02.0,Offensive rebound by T. Mozgov,,38-48,,
5:02.0,T. Mozgov makes 2-pt shot at rim,2,40-48,,
4:48.0,,,40-48,,P. George misses 2-pt shot from 15 ft
4:48.0,Defensive rebound by L. Deng,,40-48,,
4:43.0,Turnover by D. Russell (bad pass; steal by T. Young),,40-48,,
4:37.0,,,40-50,2,T. Young makes 2-pt shot at rim
4:30.0,L. Deng makes 2-pt shot from 2 ft,2,42-50,,
4:20.0,,,42-52,2,M. Turner makes 2-pt shot from 1 ft
3:53.0,T. Mozgov misses 3-pt shot from 26 ft,,42-52,,
3:52.0,,,42-52,,Defensive rebound by P. George
3:38.0,,,42-54,2,J. Teague makes 2-pt shot from 16 ft
3:33.0,,,42-54,,C. Miles enters the game for M. Ellis
3:28.0,Turnover by D. Russell (lost ball; steal by P. George),,42-54,,
3:19.0,,,42-57,3,J. Teague makes 3-pt shot from 26 ft (assist by T. Young)
2:53.0,L. Deng misses 2-pt shot from 7 ft (block by P. George),,42-57,,
2:53.0,Offensive rebound by Team,,42-57,,
2:53.0,Official timeout,,42-57,,
2:53.0,Technical foul by L. Deng,,42-57,,
2:53.0,,,42-58,1,P. George makes technical free throw
2:53.0,J. Calderon enters the game for D. Russell,,42-57,,
2:53.0,L. Williams enters the game for J. Clarkson,,42-57,,
2:52.0,Turnover by Team (shot clock),,42-58,,
2:34.0,,,42-58,,P. George misses 3-pt shot from 27 ft
2:33.0,Defensive rebound by N. Young,,42-58,,
2:14.0,T. Mozgov misses 2-pt shot from 2 ft,,42-58,,
2:13.0,Offensive rebound by Team,,42-58,,
2:06.0,,,42-58,,Personal foul by T. Young (drawn by J. Calderon)
2:06.0,J. Calderon makes free throw 1 of 2,1,43-58,,
2:06.0,J. Calderon makes free throw 2 of 2,1,44-58,,
2:06.0,,,43-58,,M. Ellis enters the game for T. Young
1:55.0,,,44-58,,M. Turner misses 3-pt shot from 28 ft
1:54.0,Defensive rebound by N. Young,,44-58,,
1:45.0,L. Deng makes 2-pt shot from 1 ft (assist by L. Williams),2,46-58,,
1:25.0,,,46-58,,J. Teague misses 2-pt shot from 20 ft
1:24.0,Defensive rebound by L. Deng,,46-58,,
1:17.0,Turnover by L. Williams (step out of bounds),,46-58,,
1:03.0,,,46-58,,J. Teague misses 3-pt shot from 26 ft
1:02.0,,,46-58,,Offensive rebound by C. Miles
1:00.0,,,46-60,2,C. Miles makes 2-pt shot from 14 ft
0:38.0,N. Young makes 3-pt shot from 26 ft,3,49-60,,
0:27.0,,,49-60,,Shooting foul by T. Mozgov (drawn by M. Ellis)
0:27.0,,,49-61,1,M. Ellis makes free throw 1 of 2
0:27.0,,,49-62,1,M. Ellis makes free throw 2 of 2
0:02.0,L. Williams misses 2-pt shot from 20 ft,,49-62,,
0:01.0,Offensive rebound by L. Deng,,49-62,,
0:00.0,L. Deng makes 2-pt shot at rim,2,51-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,51-62,,Turnover by J. Teague (bad pass; steal by J. Randle)
11:47.0,,,51-62,,Personal foul by M. Turner (drawn by J. Randle)
11:27.0,N. Young misses 3-pt shot from 26 ft,,51-62,,
11:26.0,,,51-62,,Defensive rebound by J. Teague
11:14.0,,,51-62,,M. Ellis misses 3-pt shot from 27 ft
11:13.0,Defensive rebound by L. Deng,,51-62,,
11:05.0,N. Young makes 3-pt shot from 24 ft (assist by D. Russell),3,54-62,,
10:53.0,,,54-62,,Shooting foul by N. Young (drawn by J. Teague)
10:53.0,,,54-62,,J. Teague misses free throw 1 of 2
10:53.0,,,54-62,,Offensive rebound by Team
10:53.0,,,54-62,,J. Teague misses free throw 2 of 2
10:52.0,Defensive rebound by J. Randle,,54-62,,
10:41.0,D. Russell misses 2-pt shot from 6 ft,,54-62,,
10:41.0,,,54-62,,Defensive rebound by M. Turner
10:40.0,,,54-62,,Turnover by M. Turner (lost ball)
10:29.0,L. Deng misses 3-pt shot from 24 ft,,54-62,,
10:28.0,Offensive rebound by T. Mozgov,,54-62,,
10:28.0,,,54-62,,Personal foul by M. Turner (drawn by T. Mozgov)
10:23.0,D. Russell makes 2-pt shot from 4 ft,2,56-62,,
10:23.0,Shooting foul by J. Teague (drawn by D. Russell),,56-62,,
10:23.0,D. Russell makes free throw 1 of 1,1,57-62,,
10:11.0,,,57-62,,Turnover by P. George (bad pass)
9:59.0,T. Mozgov makes 2-pt shot from 2 ft (assist by D. Russell),2,59-62,,
9:48.0,,,59-62,,J. Teague misses 2-pt shot from 2 ft
9:46.0,,,59-62,,Offensive rebound by T. Young
9:44.0,,,59-64,2,T. Young makes 2-pt shot from 3 ft
9:41.0,LA Lakers full timeout,,59-64,,
9:41.0,L. Nance enters the game for T. Mozgov,,59-64,,
9:27.0,N. Young misses 2-pt shot from 19 ft,,59-64,,
9:25.0,Offensive rebound by L. Nance,,59-64,,
9:25.0,L. Nance misses 2-pt shot from 1 ft,,59-64,,
9:25.0,,,59-64,,Defensive rebound by M. Turner
9:13.0,,,59-64,,J. Teague misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by L. Deng,,59-64,,
9:06.0,Turnover by J. Randle (traveling),,59-64,,
8:42.0,,,59-64,,J. Teague misses 3-pt shot from 27 ft
8:41.0,Defensive rebound by N. Young,,59-64,,
8:24.0,L. Deng makes 2-pt shot from 3 ft,2,61-64,,
8:13.0,,,61-64,,Turnover by P. George (traveling)
8:01.0,D. Russell makes 2-pt shot from 21 ft,2,63-64,,
7:52.0,,,63-66,2,P. George makes 2-pt shot from 2 ft
7:52.0,Shooting block foul by L. Nance (drawn by P. George),,63-66,,
7:52.0,,,63-67,1,P. George makes free throw 1 of 1
7:43.0,D. Russell misses 3-pt shot from 28 ft,,63-67,,
7:42.0,,,63-67,,Defensive rebound by P. George
7:33.0,,,63-67,,Offensive foul by P. George
7:33.0,,,63-67,,Turnover by P. George (offensive foul)
7:27.0,Turnover by L. Nance (bad pass; steal by P. George),,63-67,,
7:26.0,Personal foul by L. Deng (drawn by P. George),,63-67,,
7:20.0,,,63-67,,Turnover by P. George (traveling)
7:05.0,Shooting foul by M. Ellis (drawn by D. Russell),,63-67,,
7:05.0,D. Russell makes free throw 1 of 2,1,64-67,,
7:05.0,D. Russell makes free throw 2 of 2,1,65-67,,
6:50.0,,,65-67,,M. Turner misses 2-pt shot from 18 ft
6:49.0,Defensive rebound by N. Young,,65-67,,
6:38.0,D. Russell misses 3-pt shot from 27 ft,,65-67,,
6:37.0,,,65-67,,Defensive rebound by M. Turner
6:31.0,,,65-67,,Turnover by J. Teague (lost ball; steal by L. Nance)
6:29.0,Turnover by L. Nance (bad pass; steal by J. Teague),,65-67,,
6:22.0,,,65-67,,T. Young misses 3-pt shot from 24 ft
6:22.0,,,65-67,,Offensive rebound by J. Teague
6:19.0,,,65-69,2,J. Teague makes 2-pt shot from 8 ft
6:07.0,,,65-69,,Personal foul by M. Turner (drawn by L. Nance)
6:07.0,L. Nance makes free throw 1 of 2,1,66-69,,
6:07.0,L. Nance makes free throw 2 of 2,1,67-69,,
6:07.0,,,66-69,,A. Jefferson enters the game for M. Turner
5:56.0,Loose ball foul by L. Nance (drawn by A. Jefferson),,67-69,,
5:45.0,,,67-69,,M. Ellis misses 2-pt shot from 1 ft
5:44.0,Defensive rebound by J. Randle,,67-69,,
5:34.0,J. Randle misses 2-pt shot from 2 ft,,67-69,,
5:34.0,,,67-69,,Defensive rebound by T. Young
5:26.0,,,67-71,2,M. Ellis makes 2-pt shot from 1 ft
5:07.0,L. Deng misses 2-pt shot from 2 ft,,67-71,,
5:07.0,,,67-71,,Defensive rebound by T. Young
5:00.0,,,67-71,,C. Miles enters the game for M. Ellis
5:00.0,B. Ingram enters the game for L. Deng,,67-71,,
5:00.0,J. Clarkson enters the game for N. Young,,67-71,,
4:55.0,,,67-73,2,P. George makes 2-pt shot at rim (assist by T. Young)
4:41.0,Shooting foul by P. George (drawn by L. Nance),,67-73,,
4:41.0,L. Nance misses free throw 1 of 2,,67-73,,
4:41.0,Offensive rebound by Team,,67-73,,
4:41.0,L. Nance makes free throw 2 of 2,1,68-73,,
4:41.0,L. Williams enters the game for D. Russell,,67-73,,
4:28.0,,,68-73,,P. George misses 2-pt shot from 20 ft
4:28.0,Defensive rebound by J. Randle,,68-73,,
4:14.0,L. Nance misses 2-pt shot from 19 ft,,68-73,,
4:13.0,,,68-73,,Defensive rebound by A. Jefferson
3:59.0,,,68-73,,J. Teague misses 2-pt shot from 1 ft (block by L. Nance)
3:59.0,,,68-73,,Offensive rebound by Team
3:59.0,T. Mozgov enters the game for J. Randle,,68-73,,
3:53.0,,,68-73,,J. Teague misses 2-pt shot from 6 ft
3:53.0,,,68-73,,Offensive rebound by P. George
3:48.0,,,68-73,,Turnover by Team (shot clock)
3:35.0,Turnover by L. Nance (offensive foul),,68-73,,
3:35.0,Offensive charge foul by L. Nance,,68-73,,
3:23.0,,,68-75,2,C. Miles makes 2-pt shot from 20 ft (assist by J. Teague)
3:11.0,J. Clarkson makes 2-pt shot from 20 ft,2,70-75,,
3:11.0,Shooting foul by J. Teague (drawn by J. Clarkson),,70-75,,
3:11.0,,,70-75,,Indiana full timeout
3:11.0,J. Clarkson makes free throw 1 of 1,1,71-75,,
3:11.0,,,70-75,,L. Allen enters the game for T. Young
3:11.0,T. Black enters the game for L. Nance,,70-75,,
2:53.0,,,71-75,,A. Jefferson misses 2-pt shot from 17 ft
2:53.0,Defensive rebound by T. Black,,71-75,,
2:36.0,Shooting foul by L. Allen (drawn by T. Mozgov),,71-75,,
2:36.0,M. World Peace makes free throw 1 of 2,1,72-75,,
2:36.0,M. World Peace makes free throw 2 of 2,1,73-75,,
2:36.0,M. World Peace enters the game for T. Mozgov,,71-75,,
2:36.0,,,72-75,,M. Ellis enters the game for P. George
2:36.0,,,72-75,,A. Brooks enters the game for J. Teague
2:23.0,,,73-75,,A. Brooks misses 2-pt shot from 18 ft
2:23.0,Defensive rebound by T. Black,,73-75,,
2:09.0,,,73-75,,Shooting block foul by A. Jefferson (drawn by M. World Peace)
2:09.0,M. World Peace misses free throw 1 of 2,,73-75,,
2:09.0,Offensive rebound by Team,,73-75,,
2:09.0,M. World Peace misses free throw 2 of 2,,73-75,,
2:09.0,,,73-75,,Defensive rebound by A. Jefferson
1:52.0,,,73-77,2,M. Ellis makes 2-pt shot from 17 ft
1:36.0,Offensive foul by T. Black,,73-77,,
1:36.0,Turnover by T. Black (offensive foul),,73-77,,
1:18.0,,,73-79,2,M. Ellis makes 2-pt shot from 19 ft
1:06.0,Shooting foul by A. Jefferson (drawn by T. Black),,73-79,,
1:06.0,T. Black makes free throw 1 of 2,1,74-79,,
1:06.0,T. Black makes free throw 2 of 2,1,75-79,,
1:06.0,,,74-79,,K. Seraphin enters the game for A. Jefferson
0:56.0,,,75-79,,M. Ellis misses 2-pt shot from 19 ft
0:56.0,,,75-79,,Offensive rebound by L. Allen
0:52.0,,,75-82,3,C. Miles makes 3-pt shot from 26 ft (assist by L. Allen)
0:35.0,L. Williams makes 2-pt shot from 19 ft (assist by T. Black),2,77-82,,
0:16.0,,,77-82,,M. Ellis misses 2-pt shot at rim
0:15.0,,,77-82,,Offensive rebound by L. Allen
0:15.0,,,77-84,2,L. Allen makes 2-pt shot at rim
0:02.0,J. Clarkson makes 2-pt shot from 13 ft,2,79-84,,
0:00.0,,,79-84,,M. Ellis misses 3-pt shot from 50 ft
0:00.0,,,79-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Clarkson misses 2-pt shot from 9 ft,,79-84,,
11:47.0,Offensive rebound by L. Nance,,79-84,,
11:46.0,L. Nance misses 2-pt shot from 2 ft (block by A. Brooks),,79-84,,
11:46.0,Offensive rebound by Team,,79-84,,
11:34.0,Turnover by L. Williams (bad pass; steal by C. Miles),,79-84,,
11:28.0,,,79-84,,Turnover by C. Miles (lost ball; steal by L. Nance)
11:17.0,J. Clarkson makes 2-pt shot from 1 ft,2,81-84,,
11:00.0,,,81-84,,M. Ellis misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by T. Black,,81-84,,
10:49.0,J. Clarkson misses 2-pt shot from 6 ft (block by C. Miles),,81-84,,
10:47.0,,,81-84,,Defensive rebound by K. Seraphin
10:38.0,,,81-84,,C. Miles misses 3-pt shot from 27 ft
10:37.0,,,81-84,,Offensive rebound by K. Seraphin
10:34.0,,,81-86,2,K. Seraphin makes 2-pt shot from 10 ft
10:14.0,T. Black makes 2-pt shot at rim (assist by L. Nance),2,83-86,,
9:55.0,,,83-88,2,L. Allen makes 2-pt shot from 5 ft (assist by M. Ellis)
9:42.0,L. Nance makes 2-pt shot from 18 ft (assist by J. Calderon),2,85-88,,
9:24.0,,,85-90,2,M. Ellis makes 2-pt shot from 2 ft
9:13.0,L. Williams makes 2-pt shot from 1 ft,2,87-90,,
8:53.0,,,87-90,,Shooting foul by J. Calderon (drawn by A. Brooks)
8:53.0,Official timeout,,87-90,,
8:53.0,,,87-90,,A. Brooks misses free throw 1 of 2
8:53.0,,,87-90,,Offensive rebound by Team
8:53.0,,,87-91,1,A. Brooks makes free throw 2 of 2
8:53.0,,,87-90,,P. George enters the game for M. Ellis
8:37.0,J. Calderon makes 2-pt shot from 15 ft,2,89-91,,
8:18.0,,,89-91,,C. Miles misses 2-pt shot from 10 ft
8:18.0,Defensive rebound by T. Black,,89-91,,
8:06.0,J. Clarkson misses 2-pt shot from 13 ft,,89-91,,
8:06.0,,,89-91,,Defensive rebound by C. Miles
7:54.0,,,89-91,,Turnover by K. Seraphin (bad pass; steal by L. Nance)
7:48.0,L. Williams misses 3-pt shot from 26 ft,,89-91,,
7:47.0,Offensive rebound by T. Black,,89-91,,
7:41.0,J. Calderon misses 3-pt shot from 24 ft,,89-91,,
7:40.0,,,89-91,,Defensive rebound by K. Seraphin
7:22.0,,,89-94,3,A. Brooks makes 3-pt shot from 30 ft
7:02.0,J. Clarkson makes 2-pt shot from 19 ft,2,91-94,,
6:50.0,,,91-96,2,K. Seraphin makes 2-pt shot from 15 ft (assist by A. Brooks)
6:33.0,L. Williams makes 3-pt shot from 24 ft,3,94-96,,
6:33.0,,,94-96,,Indiana full timeout
6:33.0,,,94-96,,M. Turner enters the game for C. Miles
6:33.0,,,94-96,,J. Teague enters the game for K. Seraphin
6:22.0,,,94-96,,M. Turner misses 2-pt shot from 16 ft
6:21.0,,,94-96,,Offensive rebound by Team
6:21.0,,,94-96,,M. Ellis enters the game for L. Allen
6:21.0,,,94-96,,T. Young enters the game for A. Brooks
6:21.0,,,94-96,,Turnover by Team (5 sec inbounds)
6:12.0,Turnover by J. Calderon (bad pass; steal by P. George),,94-96,,
6:00.0,,,94-98,2,J. Teague makes 2-pt shot from 12 ft
5:44.0,L. Williams misses 3-pt shot from 25 ft,,94-98,,
5:43.0,Offensive rebound by T. Black,,94-98,,
5:38.0,J. Clarkson misses 3-pt shot from 24 ft,,94-98,,
5:38.0,,,94-98,,Defensive rebound by T. Young
5:25.0,,,94-100,2,M. Turner makes 2-pt shot from 2 ft (assist by T. Young)
5:25.0,,,94-100,,Shooting foul by T. Black (drawn by M. Turner)
5:25.0,,,94-101,1,M. Turner makes free throw 1 of 1
