time,Portland,pts.away,score,pts.home,Philadelphia
1:22.0,Defensive rebound by E. Davis,,29-20,,
1:10.0,A. Aminu misses 2-pt shot from 1 ft,,29-20,,
1:09.0,,,29-20,,Defensive rebound by R. Covington
1:00.0,,,29-20,,R. Covington misses 3-pt shot from 26 ft
1:00.0,,,29-20,,Offensive rebound by N. Noel
1:00.0,Loose ball foul by E. Davis (drawn by N. Noel),,29-20,,
1:00.0,,,29-20,,T. Luwawu-Cabarrot enters the game for R. Covington
0:50.0,,,29-20,,G. Henderson misses 2-pt shot from 14 ft
0:48.0,Defensive rebound by A. Aminu,,29-20,,
0:35.0,Shooting foul by S. Rodriguez (drawn by C. McCollum),,29-20,,
0:35.0,C. McCollum makes free throw 1 of 2,1,30-20,,
0:35.0,C. McCollum makes free throw 2 of 2,1,31-20,,
0:22.0,,,31-22,2,S. Rodriguez makes 2-pt shot from 17 ft
0:03.0,C. McCollum makes 2-pt shot from 14 ft,2,33-22,,
0:01.0,,,33-22,,G. Henderson misses 3-pt shot from 29 ft
0:00.0,,,33-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,E. Davis misses 2-pt shot from 4 ft,,33-22,,
11:47.0,,,33-22,,Defensive rebound by D. Saric
11:40.0,,,33-22,,D. Saric misses 3-pt shot from 27 ft
11:36.0,Defensive rebound by A. Aminu,,33-22,,
11:27.0,Shooting foul by N. Stauskas (drawn by M. Harkless),,33-22,,
11:27.0,M. Harkless misses free throw 1 of 2,,33-22,,
11:27.0,Offensive rebound by Team,,33-22,,
11:27.0,M. Harkless makes free throw 2 of 2,1,34-22,,
11:14.0,Personal foul by E. Davis (drawn by J. Embiid),,34-22,,
11:03.0,,,34-24,2,J. Embiid makes 2-pt shot from 13 ft (assist by D. Saric)
10:46.0,E. Davis makes 2-pt shot from 2 ft (assist by A. Crabbe),2,36-24,,
10:27.0,Personal foul by A. Aminu (drawn by N. Stauskas),,36-24,,
10:20.0,,,36-24,,S. Rodriguez misses 2-pt shot from 6 ft
10:18.0,Defensive rebound by A. Crabbe,,36-24,,
10:06.0,C. McCollum misses 2-pt shot from 18 ft,,36-24,,
10:04.0,,,36-24,,Defensive rebound by S. Rodriguez
9:56.0,,,36-24,,J. Embiid misses 2-pt shot from 1 ft
9:54.0,,,36-24,,Offensive rebound by J. Embiid
9:54.0,,,36-26,2,J. Embiid makes 2-pt shot from 1 ft
9:42.0,Shooting foul by S. Rodriguez (drawn by A. Crabbe),,36-26,,
9:42.0,A. Crabbe makes free throw 1 of 2,1,37-26,,
9:42.0,A. Crabbe makes free throw 2 of 2,1,38-26,,
9:42.0,,,37-26,,T. McConnell enters the game for S. Rodriguez
9:42.0,,,37-26,,E. Ilyasova enters the game for D. Saric
9:33.0,,,38-26,,T. Luwawu-Cabarrot misses 2-pt shot from 6 ft (block by M. Harkless)
9:31.0,Defensive rebound by E. Davis,,38-26,,
9:21.0,A. Aminu misses 2-pt shot from 7 ft (block by J. Embiid),,38-26,,
9:19.0,,,38-26,,Defensive rebound by J. Embiid
9:18.0,,,38-26,,Turnover by J. Embiid (traveling)
9:11.0,C. McCollum misses 2-pt shot from 18 ft,,38-26,,
9:09.0,,,38-26,,Defensive rebound by T. Luwawu-Cabarrot
8:58.0,,,38-26,,J. Embiid misses 2-pt shot from 2 ft
8:56.0,,,38-26,,Offensive rebound by J. Embiid
8:56.0,,,38-26,,Turnover by E. Ilyasova (traveling)
8:53.0,Official timeout,,38-26,,
8:44.0,Turnover by C. McCollum (bad pass; steal by E. Ilyasova),,38-26,,
8:40.0,,,38-28,2,E. Ilyasova makes 2-pt shot from 2 ft
8:24.0,A. Aminu makes 2-pt shot at rim (assist by E. Davis),2,40-28,,
8:24.0,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Aminu),,40-28,,
8:24.0,A. Aminu makes free throw 1 of 1,1,41-28,,
8:24.0,D. Lillard enters the game for C. McCollum,,40-28,,
8:06.0,,,41-28,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
8:04.0,,,41-28,,Offensive rebound by Team
7:55.0,,,41-30,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell)
7:45.0,D. Lillard misses 3-pt shot from 24 ft (block by J. Embiid),,41-30,,
7:43.0,Offensive rebound by E. Davis,,41-30,,
7:42.0,D. Lillard misses 2-pt shot from 18 ft,,41-30,,
7:40.0,,,41-30,,Defensive rebound by T. Luwawu-Cabarrot
7:36.0,,,41-30,,Shooting foul by A. Aminu (drawn by E. Ilyasova)
7:36.0,,,41-30,,E. Ilyasova misses free throw 1 of 2
7:36.0,,,41-30,,Offensive rebound by Team
7:36.0,,,41-31,1,E. Ilyasova makes free throw 2 of 2
7:36.0,M. Plumlee enters the game for E. Davis,,41-30,,
7:36.0,,,41-30,,R. Covington enters the game for T. Luwawu-Cabarrot
7:22.0,A. Crabbe misses 2-pt shot from 16 ft (block by N. Stauskas),,41-31,,
7:18.0,Offensive rebound by M. Harkless,,41-31,,
7:18.0,Turnover by A. Aminu (traveling),,41-31,,
7:09.0,,,41-33,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. McConnell)
6:49.0,M. Plumlee misses 2-pt shot from 2 ft,,41-33,,
6:48.0,,,41-33,,Defensive rebound by T. McConnell
6:37.0,,,41-33,,Shooting foul by A. Aminu (drawn by J. Embiid)
6:37.0,,,41-33,,J. Embiid misses free throw 1 of 2
6:37.0,,,41-33,,Offensive rebound by Team
6:37.0,,,41-33,,J. Embiid misses free throw 2 of 2
6:37.0,E. Turner enters the game for A. Aminu,,41-33,,
6:37.0,N. Vonleh enters the game for M. Harkless,,41-33,,
6:35.0,Defensive rebound by M. Plumlee,,41-33,,
6:24.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,43-33,,
6:24.0,,,43-33,,Philadelphia full timeout
6:05.0,,,43-36,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by J. Embiid)
5:46.0,N. Vonleh misses 2-pt shot from 3 ft,,43-36,,
5:44.0,Offensive rebound by N. Vonleh,,43-36,,
5:42.0,N. Vonleh misses 2-pt shot from 3 ft (block by E. Ilyasova),,43-36,,
5:41.0,,,43-36,,Defensive rebound by R. Covington
5:37.0,,,43-36,,Turnover by J. Embiid (bad pass)
5:13.0,M. Plumlee misses 2-pt shot from 19 ft,,43-36,,
5:12.0,Offensive rebound by Team,,43-36,,
5:06.0,N. Vonleh makes 2-pt shot from 20 ft (assist by E. Turner),2,45-36,,
4:58.0,,,45-36,,N. Stauskas misses 2-pt shot from 20 ft
4:58.0,,,45-36,,Offensive rebound by Team
4:58.0,Loose ball foul by M. Plumlee (drawn by J. Embiid),,45-36,,
4:58.0,,,45-37,1,J. Embiid makes free throw 1 of 2
4:58.0,,,45-38,1,J. Embiid makes free throw 2 of 2
4:58.0,C. McCollum enters the game for A. Crabbe,,45-37,,
4:37.0,N. Vonleh makes 2-pt shot from 1 ft (assist by E. Turner),2,47-38,,
4:37.0,Shooting foul by E. Ilyasova (drawn by N. Vonleh),,47-38,,
4:37.0,N. Vonleh makes free throw 1 of 1,1,48-38,,
4:37.0,,,47-38,,G. Henderson enters the game for N. Stauskas
4:29.0,,,48-38,,Turnover by J. Embiid (bad pass)
4:18.0,,,48-38,,N. Noel enters the game for J. Embiid
4:09.0,D. Lillard misses 2-pt shot from 4 ft,,48-38,,
4:07.0,Offensive rebound by D. Lillard,,48-38,,
4:06.0,,,48-38,,Violation by E. Ilyasova (def goaltending)
4:06.0,D. Lillard makes 2-pt shot from 3 ft,2,50-38,,
3:55.0,,,50-38,,T. McConnell misses 2-pt shot from 3 ft
3:54.0,,,50-38,,Offensive rebound by T. McConnell
3:50.0,,,50-38,,Offensive foul by E. Ilyasova
3:50.0,,,50-38,,Turnover by E. Ilyasova (offensive foul)
3:50.0,,,50-38,,S. Rodriguez enters the game for T. McConnell
3:50.0,,,50-38,,D. Saric enters the game for E. Ilyasova
3:36.0,C. McCollum misses 2-pt shot from 13 ft,,50-38,,
3:35.0,,,50-38,,Defensive rebound by N. Noel
3:23.0,,,50-38,,Turnover by R. Covington (lost ball; steal by E. Turner)
3:10.0,Shooting foul by R. Covington (drawn by M. Plumlee),,50-38,,
3:10.0,M. Plumlee misses free throw 1 of 2,,50-38,,
3:10.0,Offensive rebound by Team,,50-38,,
3:10.0,M. Plumlee misses free throw 2 of 2,,50-38,,
3:08.0,,,50-38,,Defensive rebound by N. Noel
2:52.0,,,50-38,,R. Covington misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by D. Lillard,,50-38,,
2:45.0,Turnover by D. Lillard (traveling),,50-38,,
2:45.0,Portland full timeout,,50-38,,
2:29.0,,,50-38,,D. Saric misses 2-pt shot from 2 ft
2:26.0,Defensive rebound by M. Plumlee,,50-38,,
2:17.0,E. Turner makes 2-pt shot from 18 ft,2,52-38,,
2:01.0,,,52-41,3,D. Saric makes 3-pt shot from 25 ft (assist by S. Rodriguez)
1:43.0,M. Plumlee misses 2-pt shot from 3 ft (block by D. Saric),,52-41,,
1:40.0,,,52-41,,Defensive rebound by N. Noel
1:35.0,,,52-41,,Turnover by D. Saric (lost ball; steal by M. Plumlee)
1:31.0,C. McCollum makes 2-pt shot at rim,2,54-41,,
1:16.0,,,54-41,,Turnover by N. Noel (traveling)
1:00.0,M. Plumlee misses 2-pt shot from 2 ft,,54-41,,
0:58.0,,,54-41,,Defensive rebound by D. Saric
0:42.0,,,54-41,,Philadelphia full timeout
0:36.0,,,54-43,2,S. Rodriguez makes 2-pt shot from 13 ft
0:36.0,,,54-43,,Violation by Team (jump ball)
0:22.0,D. Lillard makes 2-pt shot from 6 ft,2,56-43,,
0:03.0,,,56-43,,N. Noel misses 2-pt shot from 16 ft
0:02.0,Defensive rebound by C. McCollum,,56-43,,
0:01.0,C. McCollum misses 3-pt shot from 50 ft,,56-43,,
0:00.0,Offensive rebound by Team,,56-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,E. Turner misses 2-pt shot from 18 ft,,56-43,,
11:44.0,Offensive rebound by M. Plumlee,,56-43,,
11:39.0,C. McCollum misses 3-pt shot from 25 ft,,56-43,,
11:37.0,,,56-43,,Defensive rebound by T. McConnell
11:26.0,,,56-46,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by N. Stauskas)
11:07.0,D. Lillard misses 3-pt shot from 25 ft,,56-46,,
11:06.0,,,56-46,,Defensive rebound by Team
10:45.0,,,56-49,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by J. Embiid)
10:22.0,M. Plumlee makes 2-pt shot from 4 ft (assist by E. Turner),2,58-49,,
10:08.0,,,58-49,,Turnover by E. Ilyasova (bad pass; steal by C. McCollum)
9:53.0,Shooting foul by J. Embiid (drawn by N. Vonleh),,58-49,,
9:53.0,N. Vonleh misses free throw 1 of 2,,58-49,,
9:53.0,Offensive rebound by Team,,58-49,,
9:53.0,N. Vonleh misses free throw 2 of 2,,58-49,,
9:52.0,,,58-49,,Defensive rebound by J. Embiid
9:45.0,Personal foul by N. Vonleh (drawn by J. Embiid),,58-49,,
9:40.0,Personal foul by E. Turner (drawn by J. Embiid),,58-49,,
9:27.0,,,58-51,2,J. Embiid makes 2-pt shot from 15 ft
9:09.0,D. Lillard misses 2-pt shot from 1 ft (block by J. Embiid),,58-51,,
9:07.0,,,58-51,,Defensive rebound by E. Ilyasova
9:01.0,,,58-51,,Turnover by J. Embiid (lost ball; steal by D. Lillard)
8:57.0,Turnover by E. Turner (bad pass),,58-51,,
8:49.0,Personal foul by N. Vonleh (drawn by J. Embiid),,58-51,,
8:39.0,,,58-51,,Offensive foul by J. Embiid
8:39.0,,,58-51,,Turnover by J. Embiid (offensive foul)
8:24.0,D. Lillard misses 2-pt shot from 20 ft,,58-51,,
8:24.0,,,58-51,,Defensive rebound by Team
8:24.0,Loose ball foul by M. Plumlee (drawn by J. Embiid),,58-51,,
8:09.0,,,58-51,,J. Embiid misses 2-pt shot from 5 ft
8:07.0,Defensive rebound by D. Lillard,,58-51,,
8:01.0,D. Lillard misses 2-pt shot from 14 ft,,58-51,,
7:59.0,,,58-51,,Defensive rebound by R. Covington
7:53.0,,,58-51,,N. Stauskas misses 2-pt shot from 3 ft
7:51.0,,,58-51,,Offensive rebound by Team
7:43.0,,,58-51,,T. McConnell misses 2-pt shot from 2 ft
7:42.0,Defensive rebound by N. Vonleh,,58-51,,
7:34.0,Offensive foul by C. McCollum,,58-51,,
7:34.0,Turnover by C. McCollum (offensive foul),,58-51,,
7:26.0,,,58-51,,Turnover by R. Covington (offensive foul)
7:26.0,,,58-51,,Offensive foul by R. Covington
7:12.0,C. McCollum misses 3-pt shot from 27 ft,,58-51,,
7:11.0,,,58-51,,Defensive rebound by T. McConnell
7:01.0,,,58-53,2,J. Embiid makes 2-pt shot at rim (assist by E. Ilyasova)
6:57.0,,,58-53,,Personal foul by T. McConnell (drawn by D. Lillard)
6:57.0,,,58-53,,N. Noel enters the game for J. Embiid
6:44.0,N. Vonleh makes 2-pt shot from 15 ft (assist by M. Plumlee),2,60-53,,
6:35.0,,,60-56,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
6:16.0,D. Lillard misses 2-pt shot from 19 ft,,60-56,,
6:14.0,Offensive rebound by M. Plumlee,,60-56,,
6:06.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,62-56,,
5:49.0,,,62-56,,Turnover by E. Ilyasova (lost ball; steal by C. McCollum)
5:36.0,E. Turner misses 2-pt shot from 17 ft,,62-56,,
5:35.0,,,62-56,,Defensive rebound by Team
5:35.0,,,62-56,,Philadelphia full timeout
5:35.0,A. Crabbe enters the game for C. McCollum,,62-56,,
5:35.0,A. Aminu enters the game for N. Vonleh,,62-56,,
5:20.0,,,62-59,3,E. Ilyasova makes 3-pt shot from 27 ft (assist by N. Stauskas)
5:05.0,M. Plumlee misses 2-pt shot from 6 ft,,62-59,,
5:03.0,Offensive rebound by A. Aminu,,62-59,,
4:56.0,E. Turner misses 2-pt shot from 10 ft,,62-59,,
4:55.0,,,62-59,,Defensive rebound by N. Stauskas
4:48.0,,,62-61,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by N. Stauskas)
4:26.0,Shooting foul by N. Stauskas (drawn by M. Plumlee),,62-61,,
4:26.0,M. Plumlee makes free throw 1 of 2,1,63-61,,
4:26.0,M. Plumlee misses free throw 2 of 2,,63-61,,
4:26.0,M. Harkless enters the game for E. Turner,,63-61,,
4:25.0,,,63-61,,Defensive rebound by E. Ilyasova
4:14.0,,,63-63,2,N. Stauskas makes 2-pt shot from 14 ft (assist by N. Noel)
3:57.0,D. Lillard misses 2-pt shot from 9 ft,,63-63,,
3:55.0,Offensive rebound by D. Lillard,,63-63,,
3:54.0,Shooting foul by E. Ilyasova (drawn by D. Lillard),,63-63,,
3:54.0,D. Lillard makes free throw 1 of 2,1,64-63,,
3:54.0,D. Lillard makes free throw 2 of 2,1,65-63,,
3:54.0,E. Davis enters the game for M. Plumlee,,64-63,,
3:38.0,,,65-63,,R. Covington misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by E. Davis,,65-63,,
3:27.0,Turnover by D. Lillard (bad pass; steal by E. Ilyasova),,65-63,,
3:23.0,,,65-65,2,R. Covington makes 2-pt shot from 2 ft (assist by E. Ilyasova)
3:23.0,,,65-65,,Shooting foul by A. Aminu (drawn by R. Covington)
3:23.0,,,65-66,1,R. Covington makes free throw 1 of 1
3:23.0,,,65-65,,G. Henderson enters the game for N. Stauskas
3:23.0,,,65-65,,S. Rodriguez enters the game for T. McConnell
3:06.0,A. Crabbe misses 2-pt shot from 1 ft,,65-66,,
3:04.0,,,65-66,,Defensive rebound by N. Noel
2:59.0,,,65-66,,R. Covington misses 3-pt shot from 26 ft
2:56.0,,,65-66,,Offensive rebound by G. Henderson
2:55.0,,,65-66,,G. Henderson misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by A. Aminu,,65-66,,
2:46.0,Turnover by D. Lillard (lost ball),,65-66,,
2:46.0,Portland full timeout,,65-66,,
2:46.0,C. McCollum enters the game for D. Lillard,,65-66,,
2:46.0,,,65-66,,D. Saric enters the game for E. Ilyasova
2:26.0,,,65-66,,Turnover by N. Noel (bad pass; steal by C. McCollum)
2:10.0,Turnover by C. McCollum (lost ball; steal by R. Covington),,65-66,,
2:05.0,,,65-66,,Shooting foul by E. Davis (drawn by N. Noel)
2:05.0,,,65-67,1,N. Noel makes free throw 1 of 2
2:05.0,,,65-68,1,N. Noel makes free throw 2 of 2
2:05.0,,,65-67,,T. Luwawu-Cabarrot enters the game for R. Covington
1:47.0,M. Harkless misses 2-pt shot from 16 ft,,65-68,,
1:44.0,,,65-68,,Defensive rebound by N. Noel
1:35.0,,,65-68,,S. Rodriguez misses 2-pt shot from 11 ft
1:34.0,Defensive rebound by E. Davis,,65-68,,
1:10.0,A. Aminu makes 3-pt shot from 26 ft (assist by C. McCollum),3,68-68,,
0:49.0,,,68-70,2,N. Noel makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot)
0:32.0,C. McCollum makes 3-pt shot from 25 ft,3,71-70,,
0:11.0,,,71-70,,D. Saric misses 2-pt shot at rim
0:09.0,Defensive rebound by E. Davis,,71-70,,
0:02.0,Turnover by C. McCollum (bad pass; steal by N. Noel),,71-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,71-70,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by A. Aminu)
11:40.0,A. Aminu makes 2-pt shot at rim,2,73-70,,
11:40.0,Shooting foul by S. Rodriguez (drawn by A. Aminu),,73-70,,
11:40.0,A. Aminu makes free throw 1 of 1,1,74-70,,
11:30.0,,,74-72,2,J. Embiid makes 2-pt shot from 3 ft (assist by G. Henderson)
11:30.0,Personal foul by A. Aminu (drawn by J. Embiid),,74-72,,
11:30.0,,,74-72,,J. Embiid misses free throw 1 of 1
11:30.0,Offensive rebound by Team,,74-72,,
11:30.0,N. Vonleh enters the game for A. Aminu,,74-72,,
11:16.0,,,74-72,,Personal foul by T. Luwawu-Cabarrot (drawn by A. Crabbe)
11:01.0,N. Vonleh makes 3-pt shot from 25 ft,3,77-72,,
10:42.0,,,77-72,,S. Rodriguez misses 2-pt shot from 17 ft
10:41.0,Defensive rebound by C. McCollum,,77-72,,
10:37.0,,,77-72,,Personal foul by S. Rodriguez (drawn by C. McCollum)
10:37.0,C. McCollum makes free throw 1 of 2,1,78-72,,
10:37.0,C. McCollum makes free throw 2 of 2,1,79-72,,
10:21.0,,,79-72,,S. Rodriguez misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by C. McCollum,,79-72,,
10:13.0,M. Harkless misses 2-pt shot from 1 ft,,79-72,,
10:12.0,,,79-72,,Defensive rebound by J. Embiid
10:05.0,Personal foul by E. Davis (drawn by J. Embiid),,79-72,,
10:05.0,,,79-72,,J. Embiid misses free throw 1 of 2
10:05.0,,,79-72,,Offensive rebound by Team
10:05.0,,,79-73,1,J. Embiid makes free throw 2 of 2
9:48.0,A. Crabbe makes 2-pt shot from 2 ft (assist by C. McCollum),2,81-73,,
9:36.0,,,81-75,2,J. Embiid makes 2-pt shot from 1 ft (assist by S. Rodriguez)
9:16.0,C. McCollum misses 3-pt shot from 28 ft,,81-75,,
9:10.0,,,81-75,,Defensive rebound by J. Embiid
9:08.0,,,81-75,,J. Embiid misses 2-pt shot from 15 ft
9:06.0,Defensive rebound by N. Vonleh,,81-75,,
8:56.0,C. McCollum misses 2-pt shot from 21 ft,,81-75,,
8:53.0,,,81-75,,Defensive rebound by J. Embiid
8:50.0,,,81-75,,Philadelphia full timeout
8:50.0,D. Lillard enters the game for C. McCollum,,81-75,,
8:50.0,,,81-75,,N. Noel enters the game for J. Embiid
8:50.0,,,81-75,,T. McConnell enters the game for S. Rodriguez
8:40.0,,,81-78,3,G. Henderson makes 3-pt shot from 27 ft (assist by T. Luwawu-Cabarrot)
8:26.0,M. Harkless misses 2-pt shot from 3 ft,,81-78,,
8:22.0,Offensive rebound by M. Harkless,,81-78,,
8:17.0,D. Lillard misses 3-pt shot from 26 ft,,81-78,,
8:15.0,,,81-78,,Defensive rebound by N. Noel
8:00.0,,,81-78,,G. Henderson misses 2-pt shot from 4 ft
7:59.0,,,81-78,,Offensive rebound by N. Noel
7:59.0,,,81-78,,Shooting foul by E. Davis (drawn by N. Noel)
7:59.0,,,81-79,1,N. Noel makes free throw 1 of 2
7:59.0,,,81-79,,N. Noel misses free throw 2 of 2
7:59.0,Defensive rebound by N. Vonleh,,81-79,,
7:46.0,Turnover by D. Lillard (bad pass; steal by N. Noel),,81-79,,
7:40.0,,,81-79,,D. Saric misses 3-pt shot from 27 ft
7:38.0,Defensive rebound by M. Harkless,,81-79,,
7:33.0,D. Lillard makes 2-pt shot from 1 ft,2,83-79,,
7:33.0,Shooting foul by T. McConnell (drawn by D. Lillard),,83-79,,
7:33.0,D. Lillard makes free throw 1 of 1,1,84-79,,
