time,Washington,pts.away,score,pts.home,Golden State
10:29.0,M. Gortat misses free throw 1 of 2,,63-73,,
10:29.0,Offensive rebound by Team,,63-73,,
10:29.0,M. Gortat makes free throw 2 of 2,1,64-73,,
10:09.0,,,64-73,,Shooting foul by M. Gortat (drawn by P. McCaw)
10:09.0,,,64-74,1,P. McCaw makes free throw 1 of 2
10:09.0,,,64-75,1,P. McCaw makes free throw 2 of 2
9:58.0,Turnover by B. Beal (bad pass; steal by K. Thompson),,64-75,,
9:48.0,,,64-77,2,P. McCaw makes 2-pt shot from 3 ft (assist by K. Thompson)
9:33.0,O. Porter makes 2-pt shot from 2 ft (assist by M. Morris),2,66-77,,
9:19.0,,,66-80,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
9:01.0,O. Porter misses 3-pt shot from 24 ft,,66-80,,
9:00.0,,,66-80,,Defensive rebound by D. Green
8:44.0,,,66-80,,S. Curry misses 2-pt shot from 18 ft
8:43.0,Defensive rebound by B. Beal,,66-80,,
8:32.0,B. Beal makes 2-pt shot from 5 ft,2,68-80,,
8:16.0,,,68-82,2,Z. Pachulia makes 2-pt shot from 19 ft (assist by D. Green)
7:54.0,M. Gortat misses 2-pt shot from 2 ft,,68-82,,
7:53.0,Offensive rebound by O. Porter,,68-82,,
7:53.0,O. Porter misses 2-pt shot from 1 ft,,68-82,,
7:52.0,Offensive rebound by O. Porter,,68-82,,
7:50.0,B. Beal misses 2-pt shot from 8 ft (block by K. Thompson),,68-82,,
7:50.0,Offensive rebound by Team,,68-82,,
7:48.0,Turnover by Team (shot clock),,68-82,,
7:48.0,Personal foul by M. Gortat (drawn by Z. Pachulia),,68-82,,
7:46.0,,,68-84,2,K. Thompson makes 2-pt shot from 13 ft (assist by S. Curry)
7:46.0,,,68-84,,Shooting foul by B. Beal (drawn by K. Thompson)
7:46.0,,,68-85,1,K. Thompson makes free throw 1 of 1
7:27.0,B. Beal makes 2-pt shot from 16 ft (assist by O. Porter),2,70-85,,
7:22.0,,,70-85,,Shooting foul by M. Gortat (drawn by Z. Pachulia)
7:22.0,Washington full timeout,,70-85,,
7:22.0,,,70-86,1,Z. Pachulia makes free throw 1 of 2
7:22.0,,,70-87,1,Z. Pachulia makes free throw 2 of 2
7:22.0,K. Oubre enters the game for M. Gortat,,70-85,,
7:08.0,J. Wall misses 2-pt shot from 1 ft,,70-87,,
7:08.0,,,70-87,,Defensive rebound by Z. Pachulia
6:59.0,Violation by M. Morris (kicked ball),,70-87,,
6:59.0,,,70-87,,J. McAdoo enters the game for Z. Pachulia
6:56.0,,,70-90,3,K. Thompson makes 3-pt shot from 28 ft (assist by S. Curry)
6:43.0,B. Beal misses 2-pt shot from 7 ft,,70-90,,
6:42.0,,,70-90,,Defensive rebound by K. Thompson
6:33.0,,,70-90,,Turnover by J. McAdoo (lost ball; steal by J. Wall)
6:27.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,72-90,,
6:13.0,,,72-90,,P. McCaw misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by M. Morris,,72-90,,
6:05.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,75-90,,
5:52.0,,,75-90,,Shooting foul by K. Oubre (drawn by D. Green)
5:52.0,,,75-91,1,D. Green makes free throw 1 of 2
5:52.0,,,75-92,1,D. Green makes free throw 2 of 2
5:52.0,,,75-91,,S. Livingston enters the game for P. McCaw
5:28.0,J. Wall misses 3-pt shot from 25 ft,,75-92,,
5:28.0,Offensive rebound by Team,,75-92,,
5:28.0,,,75-92,,Loose ball foul by S. Curry (drawn by O. Porter)
5:28.0,,,75-92,,A. Iguodala enters the game for D. Green
5:13.0,M. Morris misses 2-pt shot from 20 ft,,75-92,,
5:13.0,,,75-92,,Defensive rebound by S. Livingston
5:07.0,,,75-92,,K. Thompson misses 3-pt shot from 27 ft
5:07.0,Defensive rebound by J. Wall,,75-92,,
5:00.0,J. Wall misses 2-pt shot from 1 ft,,75-92,,
5:00.0,,,75-92,,Defensive rebound by J. McAdoo
4:45.0,,,75-92,,Turnover by A. Iguodala (bad pass; steal by O. Porter)
4:45.0,,,75-92,,Personal foul by S. Livingston (drawn by J. Wall)
4:32.0,Shooting foul by J. McAdoo (drawn by K. Oubre),,75-92,,
4:32.0,K. Oubre misses free throw 1 of 2,,75-92,,
4:32.0,Offensive rebound by Team,,75-92,,
4:32.0,K. Oubre makes free throw 2 of 2,1,76-92,,
4:13.0,,,76-94,2,S. Curry makes 2-pt shot from 3 ft
4:13.0,,,76-94,,Shooting foul by M. Morris (drawn by S. Curry)
4:13.0,,,76-95,1,S. Curry makes free throw 1 of 1
3:58.0,J. Wall misses 2-pt shot from 2 ft,,76-95,,
3:57.0,Offensive rebound by M. Morris,,76-95,,
3:57.0,M. Morris misses 2-pt shot from 2 ft (block by S. Livingston),,76-95,,
3:55.0,Offensive rebound by M. Morris,,76-95,,
3:55.0,M. Morris misses 2-pt shot from 1 ft,,76-95,,
3:54.0,,,76-95,,Defensive rebound by J. McAdoo
3:50.0,,,76-95,,K. Thompson misses 3-pt shot from 26 ft
3:48.0,Defensive rebound by M. Morris,,76-95,,
3:46.0,,,76-95,,Personal foul by S. Livingston (drawn by J. Wall)
3:46.0,J. Wall makes free throw 1 of 2,1,77-95,,
3:46.0,J. Wall makes free throw 2 of 2,1,78-95,,
3:46.0,I. Mahinmi enters the game for M. Morris,,77-95,,
3:36.0,,,78-97,2,S. Curry makes 2-pt shot from 2 ft
3:15.0,Turnover by B. Beal (dbl dribble),,78-97,,
3:15.0,,,78-97,,J. McGee enters the game for J. McAdoo
3:15.0,,,78-97,,D. Green enters the game for K. Thompson
3:06.0,,,78-100,3,S. Curry makes 3-pt shot from 27 ft
2:49.0,K. Oubre misses 3-pt shot from 23 ft,,78-100,,
2:49.0,,,78-100,,Defensive rebound by D. Green
2:44.0,,,78-100,,Shooting foul by I. Mahinmi (drawn by D. Green)
2:44.0,,,78-100,,Golden State full timeout
2:44.0,,,78-100,,D. Green misses free throw 1 of 2
2:44.0,,,78-100,,Offensive rebound by Team
2:44.0,,,78-100,,D. Green misses free throw 2 of 2
2:44.0,B. Jennings enters the game for O. Porter,,78-100,,
2:44.0,B. Bogdanovic enters the game for J. Wall,,78-100,,
2:42.0,Defensive rebound by B. Bogdanovic,,78-100,,
2:23.0,B. Beal makes 2-pt shot from 14 ft (assist by I. Mahinmi),2,80-100,,
2:04.0,,,80-100,,A. Iguodala misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by B. Jennings,,80-100,,
1:54.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Beal),3,83-100,,
1:42.0,,,83-100,,S. Curry misses 3-pt shot from 25 ft
1:42.0,,,83-100,,Offensive rebound by J. McGee
1:41.0,,,83-100,,Turnover by J. McGee (traveling)
1:27.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by B. Beal),2,85-100,,
1:12.0,,,85-100,,Shooting foul by I. Mahinmi (drawn by S. Curry)
1:12.0,,,85-101,1,S. Curry makes free throw 1 of 2
1:12.0,,,85-102,1,S. Curry makes free throw 2 of 2
1:06.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by B. Jennings),3,88-102,,
0:50.0,,,88-104,2,S. Curry makes 2-pt shot from 12 ft (assist by A. Iguodala)
0:36.0,B. Beal misses 2-pt shot from 2 ft (block by J. McGee),,88-104,,
0:35.0,Offensive rebound by B. Jennings,,88-104,,
0:31.0,K. Oubre misses 3-pt shot from 28 ft,,88-104,,
0:30.0,,,88-104,,Defensive rebound by J. McGee
0:22.0,,,88-106,2,S. Livingston makes 2-pt shot from 2 ft
0:01.0,B. Bogdanovic misses 3-pt shot from 25 ft,,88-106,,
0:00.0,Offensive rebound by Team,,88-106,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,K. Oubre misses 3-pt shot from 26 ft,,88-106,,
11:43.0,,,88-106,,Defensive rebound by I. Clark
11:25.0,Jump ball: I. Clark vs. I. Mahinmi,,,,Jump ball: I. Clark vs. I. Mahinmi
11:25.0,,,88-106,,Turnover by I. Clark (lost ball; steal by I. Mahinmi)
11:25.0,,,88-106,,Loose ball foul by I. Clark (drawn by I. Mahinmi)
11:05.0,K. Oubre makes 2-pt shot from 2 ft,2,90-106,,
10:59.0,,,90-106,,K. Thompson misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by B. Jennings,,90-106,,
10:49.0,B. Jennings makes 3-pt shot from 26 ft,3,93-106,,
10:35.0,,,93-106,,M. Barnes misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by B. Jennings,,93-106,,
10:27.0,B. Jennings misses 3-pt shot from 25 ft,,93-106,,
10:26.0,,,93-106,,Defensive rebound by Team
10:19.0,,,93-106,,Turnover by D. West (bad pass)
10:14.0,Turnover by B. Bogdanovic (lost ball),,93-106,,
9:55.0,,,93-106,,K. Thompson misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by K. Oubre,,93-106,,
9:49.0,B. Jennings misses 2-pt shot from 2 ft,,93-106,,
9:48.0,,,93-106,,Defensive rebound by A. Iguodala
9:43.0,,,93-106,,Turnover by A. Iguodala (bad pass; steal by B. Bogdanovic)
9:40.0,,,93-106,,Personal foul by K. Thompson (drawn by K. Oubre)
9:40.0,K. Oubre misses free throw 1 of 2,,93-106,,
9:40.0,Offensive rebound by Team,,93-106,,
9:40.0,K. Oubre makes free throw 2 of 2,1,94-106,,
9:15.0,,,94-106,,D. West misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by I. Mahinmi,,94-106,,
9:08.0,T. Satoransky makes 2-pt shot from 3 ft (assist by B. Jennings),2,96-106,,
9:08.0,,,96-106,,Golden State full timeout
8:52.0,,,96-106,,K. Thompson misses 3-pt shot from 28 ft
8:51.0,,,96-106,,Offensive rebound by I. Clark
8:38.0,,,96-106,,M. Barnes misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by I. Mahinmi,,96-106,,
8:29.0,K. Oubre misses 2-pt shot from 8 ft,,96-106,,
8:29.0,,,96-106,,Defensive rebound by Team
8:29.0,Loose ball foul by K. Oubre (drawn by A. Iguodala),,96-106,,
8:10.0,,,96-108,2,K. Thompson makes 2-pt shot from 18 ft (assist by M. Barnes)
7:56.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by I. Mahinmi),3,99-108,,
7:40.0,,,99-110,2,D. West makes 2-pt shot from 17 ft (assist by A. Iguodala)
7:30.0,B. Bogdanovic misses 3-pt shot from 29 ft,,99-110,,
7:29.0,Offensive rebound by Team,,99-110,,
7:29.0,,,99-110,,D. Green enters the game for M. Barnes
7:27.0,Shooting foul by D. West (drawn by B. Bogdanovic),,99-110,,
7:27.0,B. Bogdanovic makes free throw 1 of 2,1,100-110,,
7:27.0,B. Bogdanovic makes free throw 2 of 2,1,101-110,,
7:13.0,,,101-112,2,K. Thompson makes 2-pt shot from 2 ft
7:00.0,B. Jennings misses 2-pt shot from 17 ft,,101-112,,
6:59.0,,,101-112,,Defensive rebound by A. Iguodala
6:55.0,,,101-112,,Shooting foul by B. Bogdanovic (drawn by D. West)
6:55.0,,,101-113,1,D. West makes free throw 1 of 2
6:55.0,,,101-114,1,D. West makes free throw 2 of 2
6:44.0,I. Mahinmi makes 2-pt shot at rim (assist by T. Satoransky),2,103-114,,
6:31.0,,,103-114,,D. Green misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by B. Jennings,,103-114,,
6:09.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by D. West),,103-114,,
6:09.0,,,103-114,,Defensive rebound by Team
6:09.0,,,103-114,,S. Livingston enters the game for I. Clark
5:50.0,,,103-116,2,D. West makes 2-pt shot from 19 ft (assist by K. Thompson)
5:49.0,Washington full timeout,,103-116,,
5:49.0,,,103-116,,M. Barnes enters the game for K. Thompson
5:49.0,,,103-116,,S. Curry enters the game for A. Iguodala
5:40.0,K. Oubre makes 2-pt shot from 11 ft (assist by T. Satoransky),2,105-116,,
